PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
35201367,"The design and production of incurred test materials are critical for the development and validation of methods for food allergen analysis. This is because production and processing conditions, together with the food matrix, can modify allergens affecting their structure, extractability and detectability. For the ThRAll project, which aims to develop a mass spectrometry-based reference method for the simultaneous accurate quantification of six allergenic ingredients in two hard to analyse matrices. Two highly processed matrices, chocolate bars and broth powder, were selected to incur with six allergenic ingredients (egg, milk, peanut, soy, hazelnut and almond) at 2, 4, 10 and 40 mg total allergenic protein/kg food matrix using a pilot-scale food manufacturing plant. The allergenic activity of the ingredients incurred was verified using food-allergic patient serum/plasma IgE, the homogeneity of the incurred matrices verified and their stability at 4 °C assessed over at least 30-month storage using appropriate enzyme-linked immunosorbent assays (ELISA). Allergens were found at all levels from the chocolate bar and were homogenously distributed, apart from peanut and soy which could only be determined above 4 mg total allergenic ingredient protein/kg. The homogeneity assessment was restricted to analysis of soy, milk and peanut for the broth powder but nevertheless demonstrated that the allergens were homogeneously distributed. All the allergens tested were found to be stable in the incurred matrices for at least 30 months demonstrating they are suitable for method development.",Analytical and bioanalytical chemistry,"['D000485', 'D010367', 'D000069956', 'D004797', 'D005504', 'D005512', 'D006801', 'D011208']","['Allergens', 'Arachis', 'Chocolate', 'Enzyme-Linked Immunosorbent Assay', 'Food Analysis', 'Food Hypersensitivity', 'Humans', 'Powders']",Development of incurred chocolate bars and broth powder with six fully characterised food allergens as test materials for food allergen analysis.,"['Q000032', 'Q000737', 'Q000032', None, 'Q000379', None, None, None]","['analysis', 'chemistry', 'analysis', None, 'methods', None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/35201367,2022
35159490,"Reverse-phase solid-phase extraction (SPE) is regularly used for separating and purifying food-derived oligosaccharides and peptides prior to liquid chromatography-tandem mass spectrometry (LC-MS/MS) analysis. However, the diversity in physicochemical properties of peptides may prevent the complete separation of the two types of analytes. Peptides present in the oligosaccharide fraction not only interfere with glycomics analysis but also escape peptidomics analysis. This work evaluated different SPE approaches for improving LC-MS/MS analysis of both oligosaccharides and peptides through testing on peptide standards and a food sample of commercial interest (proteolyzed almond extract). Compared with conventional reverse-phase SPE, mixed-mode SPE (reverse-phase/strong cation exchange) was more effective in retaining small/hydrophilic peptides and capturing them in the high-organic fraction and thus allowed the identification of more oligosaccharides and dipeptides in the proteolyzed almond extract, with satisfactory MS/MS confirmation. Overall, mixed-mode SPE emerged as the ideal method for simultaneously improving the identification of food-derived oligosaccharides and small peptides using LC-MS/MS analysis.","Foods (Basel, Switzerland)",[],[],Solid-Phase Extraction Approaches for Improving Oligosaccharide and Small Peptide Identification with Liquid Chromatography-High-Resolution Mass Spectrometry: A Case Study on Proteolyzed Almond Extract.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35159490,2022
34885663,"The present study was conducted to quantify the daily intake and target hazard quotient of four essential elements, namely, chromium, cobalt, nickel, and copper, and four toxic trace elements, mercury, cadmium, lead, and arsenic. Thirty food items were assigned to five food categories (seeds, leaves, powders, beans, and fruits) and analyzed using inductively coupled plasma-mass spectrometry. Factor analysis after principal component extraction revealed common metal patterns in all foodstuffs, and using hierarchical cluster analysis, an association map was created to illustrate their similarity. The results indicate that the internationally recommended dietary allowance was exceeded for Cu and Cr in 27 and 29 foodstuffs, respectively. According to the tolerable upper level for Ni and Cu, everyday consumption of these elements through repeated consumption of seeds (fennel, opium poppy, and cannabis) and fruits (almond) can have adverse health effects. Moreover, a robust correlation between Cu and As (","Molecules (Basel, Switzerland)","['D001151', 'D002104', 'D002857', 'D003035', 'D003300', 'D006801', 'D007854', 'D008628', 'D009532', 'D012383', 'D013054', 'D000085943', 'D014131']","['Arsenic', 'Cadmium', 'Chromium', 'Cobalt', 'Copper', 'Humans', 'Lead', 'Mercury', 'Nickel', 'Romania', 'Spectrophotometry, Atomic', 'Supermarkets', 'Trace Elements']",ICP-MS Assessment of Essential and Toxic Trace Elements in Foodstuffs with Different Geographic Origins Available in Romanian Supermarkets.,"['Q000032', 'Q000032', 'Q000032', 'Q000032', 'Q000032', None, 'Q000032', 'Q000032', 'Q000032', None, 'Q000379', None, 'Q000032']","['analysis', 'analysis', 'analysis', 'analysis', 'analysis', None, 'analysis', 'analysis', 'analysis', None, 'methods', None, 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/34885663,2022
34866108,"Oils and lipids are common food components and efficient sources of energy. Both the quantity and the quality of oils and lipids are important with regard to health and disease. Fatty acid ester of hydroxy fatty acid (FAHFA) is a novel lipid class that was discovered as an endogenous lipid; FAHFAs have shown anti-diabetic effects in a mammalian system. We analyzed the overall FAHFA composition in nut oils and other common oils: almond (raw, roasted), walnut, peanut, olive, palm, soybean, and rapeseed oils. We developed a method of liquid chromatography coupled with electrospray ionization triple quadrupole mass spectrometry (LC-ESI/MS/MS) for a comprehensive target analysis of FAHFAs. The analysis revealed wide variation in the FAHFA profiles (15 compounds and 62 peaks). For 7-11 compounds of FAHFA, a total level of 8-29 pmol/mg oil was detected in nuts oils; for 11 compounds, 4.9 pmol/mg oil was detected in olive oil, and for 4-9 compounds, < 2 pmol/mg oil was detected in palm, soy, and rapeseed oils. The major FAHFAs were FAHFA 36:3, FAHFA 36:2, and FAHFA 36:4 in nut oil, FAHFA 36:2, FAHFA 34:1, and FAHFA 36:1 in olive oil, and FAHFA 32:1, FAHFA 34:0, FAHFA 36:0, and FAHFA 36:1 in all of the common oils. The composition of FAHFAs in nut oils is mainly unsaturated fatty acids, whereas those in olive oil are unsaturated fatty acids and saturated fatty acids. The composition of FAHFAs in common oils was mainly saturated fats. This is the first report to demonstrate the quality and quantity of the FAHFAs in the nut oils. Nuts have been described to be a great source of many nutrients and to be beneficial for our health. Our present findings comprise additional evidence that the intake of nuts in daily diets may prevent metabolic and inflammatory-based diseases.",Journal of oleo science,"['D002853', 'D004435', 'D004952', 'D005231', 'D005504', 'D063427', 'D006900', 'D007004', 'D007249', 'D008659', 'D009754', 'D010938', 'D021241', 'D053719']","['Chromatography, Liquid', 'Eating', 'Esters', 'Fatty Acids, Unsaturated', 'Food Analysis', 'Food Quality', 'Hydroxylation', 'Hypoglycemic Agents', 'Inflammation', 'Metabolic Diseases', 'Nuts', 'Plant Oils', 'Spectrometry, Mass, Electrospray Ionization', 'Tandem Mass Spectrometry']",Analysis of Fatty Acid Esters of Hydroxyl Fatty Acid in Nut Oils and Other Plant Oils.,"['Q000379', None, 'Q000032', 'Q000032', None, None, None, None, 'Q000517', 'Q000517', 'Q000737', 'Q000737', 'Q000379', 'Q000379']","['methods', None, 'analysis', 'analysis', None, None, None, None, 'prevention & control', 'prevention & control', 'chemistry', 'chemistry', 'methods', 'methods']",https://www.ncbi.nlm.nih.gov/pubmed/34866108,2022
34482238,"Identification of bioactive peptides is an increasingly important target for food chemists, particularly in consideration of the widespread application of proteolytic enzymes in food processing. Because the characterization of small peptides by LC-MS/MS is challenging, we optimized a dimethyl labeling technique to facilitate small peptide identification, using almond proteins as a model. The method was validated by comparing the MS/MS spectra of standards and almond-derived peptides in their nonderivatized and derivatized forms. Signal enhancement of a",Food chemistry,"['D002853', 'D010455', 'D000068181', 'D053719', 'D057188']","['Chromatography, Liquid', 'Peptides', 'Prunus dulcis', 'Tandem Mass Spectrometry', 'Workflow']",A complete workflow for discovering small bioactive peptides in foods by LC-MS/MS: A case study on almonds.,"[None, None, None, None, None]","[None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34482238,2021
34287910,"To better control the quality of synthetic vanillin obtained by using the guaiacol synthesis method, the olfactory impacts of byproducts on the aroma of the synthetic vanillin samples were evaluated and their optimum concentration ranges were determined. Four byproducts (guaiacol, ortho-vanillin, 5-methyl-vanillin, and 5-formyl-vanillin) were identified by gas chromatography-mass spectrometry (GC-MS) and quantified by gas chromatography-flame ionization detection (GC-FID) in the synthetic vanillin samples with different degrees of purity. The aroma intensities (AIs) of the four byproducts obtained by gas chromatography-olfactometry (GC-O) were: guaiacol (AI: 3.5-4.0, smoke), ortho-vanillin (AI: 1.6-2.5, almond), 5-methyl-vanillin (AI: 2.5-3.3, aldehyde), and 5-formyl-vanillin (AI: 3.2-3.8, green). The aroma perceptual interactions of the four byproducts and the vanillin in the synthetic vanillin samples were determined by S-curve analysis. Guaiacol and 5-methyl-vanillin showed synergistic effects by Feller's additive model. Combined with the results of an addition experiment, when the contents of guaiacol, ortho-vanillin, 5-methyl-vanillin, and 5-formyl-vanillin were within 50, 10, 400, and 1,000 mg/kg respectively, the byproducts had no effects on the aroma quality of the synthetic vanillin samples. PRACTICAL APPLICATION: Synthetic vanillin is one of the most commonly used food additives. Currently, the purity of synthetic vanillin can reach 99.9%, but trace byproducts are still present. Continuing to improve the purity of synthetic vanillin will significantly increase its production costs. Therefore, it is necessary to determine whether the presence of these byproducts affects the aroma quality of the synthetic vanillin samples or not. If they have a negative effect on its aroma, it will be important to reduce their content. If they have no influence or positive role, there is no need to control the content of these byproducts to very low levels. This study determined the content of the byproducts produced during the synthesis of vanillin by guaiacol glyoxylic acid method, judged the perceptual interaction between the byproducts and the vanillin in the synthetic vanillin samples, and determined the optimum range within which the byproducts had no effects on the aroma quality. This study provides a theoretical basis for improving the aroma quality of synthetic vanillin while controlling the production costs.",Journal of food science,"['D001547', 'D008401', 'D006139', 'D009812', 'D064367', 'D055549']","['Benzaldehydes', 'Gas Chromatography-Mass Spectrometry', 'Guaiacol', 'Odorants', 'Olfactometry', 'Volatile Organic Compounds']","Olfactory impact of guaiacol, ortho-vanillin, 5-methyl, and 5-formyl-vanillin as byproducts in synthetic vanillin.","[None, None, None, 'Q000032', None, 'Q000032']","[None, None, None, 'analysis', None, 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/34287910,2021
34190991,"The testing of aflatoxins (AFs) in fresh and processed foods is highly in demand to comply with trade regulations. Consequently, commercial laboratories face huge AF sample loads in food consignments. Worldwide, there is a rising interest in implementing automation to increase sample throughput in AF analysis.",Journal of AOAC International,"['D000348', 'D002851', 'D002523', 'D005506', 'D009754']","['Aflatoxins', 'Chromatography, High Pressure Liquid', 'Edible Grain', 'Food Contamination', 'Nuts']","High-Throughput Analysis of Aflatoxins in Cereals, Nuts, and Processed Products Involving Automated Immunoaffinity Cleanup and Inline HPLC-Fluorescence Detection.","['Q000032', None, 'Q000737', 'Q000032', 'Q000737']","['analysis', None, 'chemistry', 'analysis', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/34190991,2021
34187324,"The present study describes a simple and rapid method for the determination of aflatoxins in almonds using liquid chromatography-tandem mass spectrometry (LC-MS/MS). Aflatoxins were extracted using a modified QuEChERS method with little sample preparation, excluding the use of laborious purification procedures. Extracts were frozen overnight to separate the majority of lipids. The method was successfully validated for almonds. Linearity was demonstrated in the range 0.125-20 µg/kg. Limits of quantification (LOQ) ranged from 0.34 to 0.5 μg/kg. Matrix effect was not significant for the aflatoxins. Satisfactory recoveries were obtained at spike levels below 1 μg/kg and between 1 and 10 μg/kg. Relative standard deviations (RSDs) of repeatability and reproducibility were below 15%. The method was successfully tested with two proficiency tests in almond powder and peanut paste, with acceptable ","Food additives & contaminants. Part A, Chemistry, analysis, control, exposure & risk assessment","['D000348', 'D002853', 'D005504', 'D005506', 'D000068181', 'D053719']","['Aflatoxins', 'Chromatography, Liquid', 'Food Analysis', 'Food Contamination', 'Prunus dulcis', 'Tandem Mass Spectrometry']",A simple extraction method with no lipid removal for the determination of aflatoxins in almonds by liquid chromatography tandem-mass spectrometry (LC-MS/MS).,"['Q000737', None, None, 'Q000032', 'Q000737', None]","['chemistry', None, None, 'analysis', 'chemistry', None]",https://www.ncbi.nlm.nih.gov/pubmed/34187324,2021
34056853,"Almond oil, a rich source of macronutrients and micronutrients, is extracted for food flavorings and the cosmetics industry. In recent years, the need for high-quality and high-quantity production of almond oil for human consumption has been increased. The present review examines the chemical composition of almond oil, storage conditions, and clinical evidence supporting the health benefits of almond oil. From the reviewed studies, it appears that almond oil contains a significant proportion of poly and monounsaturated fatty acids, with oleic acid as the main compound, and an important amount of tocopherol and phytosterol content. Some variations in almond oil composition can be found depending on the kernel's origin and the extraction system used. Some new technologies such as ultrasonic-assisted extraction, supercritical fluid extraction, subcritical fluid extraction, and salt-assisted aqueous extraction have emerged as the most promising extraction techniques that allow eco-friendly and effective recovery of almond oil. This safe oil was reported by several clinical studies to have potential roles in cardiovascular risk management, glucose homeostasis, oxidative stress reduction, neuroprotection, and many dermatologic and cosmetic applications. However, the anticarcinogenic and fertility benefits of almond oil have yet to be experimentally verified.",Comprehensive reviews in food science and food safety,"['D025924', 'D003358', 'D006801', 'D010938', 'D014867']","['Chromatography, Supercritical Fluid', 'Cosmetics', 'Humans', 'Plant Oils', 'Water']","Almond oil: A comprehensive review of chemical composition, extraction methods, preservation conditions, potential health benefits, and safety.","[None, None, None, None, None]","[None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34056853,2021
33805555,"The concentrations of 19 chemical elements have been determined in 36 honey samples of different botanical (wildflower, eucalyptus, eucalyptus red flowers, prickly pears, lemon blossom, thyme, almond, rosemary and jujube) honeys from the three geographical areas of Tunisia (Sidi Bouzid, Nabeul and Sfax) using inductively coupled plasma mass spectrometry (ICP-MS). The aim of this work was to use the multielement analysis together with chemometric tools to verify the botanical and the geographical origin of honeys. The correlation on the basis of mineral element content between the honey samples and their botanical and/or geographical origins was in some measure achieved. The data collected on the samples were also used to evaluate the nutritional quality and the potential health risks associated with elements via consumption of the Tunisian honey. According to the results obtained, the intake of essential elements was small, and the potential health risks associated with toxic or potentially toxic elements via consumption of this food were overall insignificant.","Foods (Basel, Switzerland)",[],[],Discrimination of Tunisian Honey by Mineral and Trace Element Chemometrics Profiling.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/33805555,2021
