PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
35243353,"Flubendiamide (FBD) is the first commercially available phthalic acid diamide that targets ryanodine receptors (RyRs) in insects, which play a major role in lepidoptera control. However, excessive use of FBD can influence the quality of treated products leading to toxic effects on human health. The availability of rapid and convenient methods for evaluating FBD amount in the environment is necessary. Therefore, analytical methods were developed for the determination of residues of FBD and its metabolite desiodo in different food matrices like tomato, cabbage, pigeon pea, apple, chilli and rice. The current review carries forward methods for FBD residues analysis in foods by using several chromatographic techniques including sample preparation steps. The comparison between the different methods employed for quantitative and qualitative analysis of food quality and safety is also discussed. Liquid chromatography (LC) is the predominant analytical method for assessing the quality of foods treated with FBD. Studies related to LC coupled multichannel detector (Ultraviolet (UV), Mass spectrometry (MS)) are also applied to detect pesticide residues. Extraction and clean up steps are essential to obtain reliable results. Moreover, this review reports the allowed limits of residues for the safety of consuming products treated with FBD.",Current research in food science,[],[],Extraction and determination of flubendiamide insecticide in food samples: A review.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35243353,2022
35215355,"Apples are known to be a rich source of phenolic compounds, however detailed studies about their content in the individual parts of apple trees are reported rarely. For this purpose, we tested various stationary phases for the determination of phenolic compounds in leaves, bark, and buds. Phloridzin, phloretin, chlorogenic acid, rutin, and quercitrin were analyzed with high performance liquid chromatography coupled with diode array detection. A YMC Triart C18-ExRS 150 × 4.6 mm, 5 µm particle size analytical column with multilayered particle technology was used. The separation was performed with a mobile phase that consisted of acetonitrile and 0.1% phosphoric acid, according to the gradient program, at a flow rate of 1 mL/min for 12.50 min. The concentration of phenolic compounds from 13 cultivars was in the range of 64.89-106.01 mg/g of dry weight (DW) in leaves, 70.81-113.18 mg/g DW in bark, and 100.68-139.61 mg/g DW in buds. Phloridzin was a major compound. The total antioxidant activity was measured using flow analysis and the correlation with the total amount of phenolic compounds was found. This finding can lead to the re-use of apple tree material to isolate substances that can be utilized in the food, pharmaceutical, or cosmetics industries.","Pharmaceuticals (Basel, Switzerland)",[],[],"Determination of Phloridzin and Other Phenolic Compounds in Apple Tree Leaves, Bark, and Buds Using Liquid Chromatography with Multilayered Column Technology and Evaluation of the Total Antioxidant Activity.",[],[],https://www.ncbi.nlm.nih.gov/pubmed/35215355,2022
35182922,"In order to prepare a kind of efficient fluorescence sensors for determination of cis-diol-containing flavonoids, novel imprinted quantum dots for myricetin (Myr) were prepared based on boronate affinity-based template-immobilization surface imprinting. The obtained boronate affinity-based surface imprinted silica (imprinted APBA-functionalized CdTe QDs) was used as recognition elements. The quantum dots were used as signal-transduction materials. Under the optimum conditions, according to fluorescence quenching of imprinted APBA-functionalized CdTe QDs by Myr, the imprinting factor (IF) for Myr was evaluated to be 7.88. The result indicated that the boronate affinity functionalized quantum dots coated with imprinted silica were successfully prepared. The prepared imprinted APBA-functionalized CdTe QDs exhibited good sensitivity and selectivity for Myr. The fluorescence intensity was inversely proportional to the concentration of Myr in the 0.30-40 μM concentration range. And its detection limit was obtained to be 0.08 μM. Using the fluorescence sensors, the detection of Myr in real samples was successfully carried out, and the concentration of Myr in green tea and apple juice samples was evaluated to be 2.26 mg/g and 0.73 mg/g, respectively. The recoveries for the spiked green tea and apple juice samples were 95.2-105.0% and 91.5-111.0%, respectively. This study also provides an efficient fluorescent detection method for cis-diol-containing flavonoids in real samples.","Spectrochimica acta. Part A, Molecular and biomolecular spectroscopy","['D019187', 'D005419', 'D057230', 'D054802', 'D045663', 'D013050', 'D013691']","['Cadmium Compounds', 'Flavonoids', 'Limit of Detection', 'Molecular Imprinting', 'Quantum Dots', 'Spectrometry, Fluorescence', 'Tellurium']",Boronate affinity-based template-immobilization surface imprinted quantum dots as fluorescent nanosensors for selective and sensitive detection of myricetin.,"[None, None, None, 'Q000379', None, 'Q000379', None]","[None, None, None, 'methods', None, 'methods', None]",https://www.ncbi.nlm.nih.gov/pubmed/35182922,2022
35150386,"Patulin (PAT) is a natural contaminant of fruits (primarily apples) and their products. Significantly, high levels of contamination have been found in fruit juices all over the world. Several in vitro studies have demonstrated PAT's ability to alter intestinal structure and function. However, in real life, the probability of low dose long-term exposure to PAT to humans is significantly higher through contaminated food items. Thus, in the present study, we have exposed normal intestinal cells to non-toxic levels of PAT for 16 weeks and observed that PAT had the ability to cause cancer-like properties in normal intestinal epithelial cells after chronic exposure. Here, our results showed that chronic exposure to low doses of PAT caused enhanced proliferation, migration and invasion ability, and the capability to grow in soft agar (anchorage independence). Moreover, an in vivo study showed the appearance of colonic aberrant crypt foci (ACFs) in PAT-exposed Wistar rats, which are well, establish markers for early colon cancer. Furthermore, as these neoplastic changes are consequences of alterations at the molecular level, here, we combined next-generation RNA sequencing with liquid chromatography mass spectrometry-based proteomic analysis to investigate the possible underlying mechanisms involved in PAT-induced neoplastic changes.",Molecular and cellular biochemistry,[],[],Transcriptomic and proteomic insights into patulin mycotoxin-induced cancer-like phenotypes in normal intestinal epithelial cells.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35150386,2022
35101791,"In this proof-of-concept study, we explore the detection of pesticides in food using a combined power of sensitive UV-induced fingerprint spectroscopy with selective capture by molecularly imprinted polymers (MIPs) and portable cost-effective paper-based analytical devices (PADs). The specific pesticides used herein as model compounds (both pure substances and their application products for spraying), were: strobilurins (i.e. trifloxystrobin), urea pesticides (rimsulfuron), pyrethroids (cypermethrine) and aryloxyphenoxyproponic acid herbicides (Haloxyfop-methyl). Commercially available spraying formulations containing the selected pesticides were positively identified by MIP-PADs swabs of sprayed apple and tomato. The key properties of MIP layer - imprinting factor (IF) and selectivity factor (α) were characterized using trifloxystrobin (IF-3.5, α-4.4) was demonstrated as a potential option for in-field application. The presented method may provide effective help with in-field testing of food and reveal problems such as false product labelling.",Food chemistry,"['D054802', 'D000082582', 'D010575', 'D013050']","['Molecular Imprinting', 'Molecularly Imprinted Polymers', 'Pesticides', 'Spectrometry, Fluorescence']",Detection of pesticides in food products using paper-based devices by UV-induced fluorescence spectroscopy combined with molecularly imprinted polymers.,"[None, None, 'Q000032', None]","[None, None, 'analysis', None]",https://www.ncbi.nlm.nih.gov/pubmed/35101791,2022
35063858,"The influence of infrared frying (IF) on the physicochemical properties of fried apple slices and the oil deterioration was investigated, considering conventional frying (CF) as a reference. IF had a more favorable impact on the heating rate and thermal efficiency, which subsequently resulted an accelerated moisture removal rate. The oil uptake in infrared-fried apple slices were reduced by 12.9%-17.3%, when compared to the CF, as attributed to the denser and smoother morphological microstructure. The color of apple slices was better preserved in IF and the total phenolic and flavonoid contents had a higher retention rate with the optimal infrared power (2000 W in this study). Additionally, infrared frying was proved to be a promising technology to slow down the oil deterioration rate as was observed from lower values of acid value, and carbonyl value, which was also supported by the results of gas chromatography, FT-IR, and LF-NMR analysis.",Food chemistry,"['D003296', 'D027845', 'D017550']","['Cooking', 'Malus', 'Spectroscopy, Fourier Transform Infrared']",Evaluation of the infrared frying on the physicochemical properties of fried apple slices and the deterioration of oil.,"[None, None, None]","[None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/35063858,2022
35044158,"The residue of pesticides in crops, soil, and water continues to be a widespread concern due to the threat to human health and food safety. With the aim to develop highly sensitive sensing materials and portable detection devices, two dicarbazole-based fluorescent micro-/mesoporous polymers (JYs) with a larger specific surface area and pore sizes ranging from 1.1 to 34.2 nm are synthesized. The Stern-Volmer constants of JY fluorescence quenching for imidacloprid (50,063 M",ACS applied materials & interfaces,"['D002227', 'D005456', 'D005506', 'D027845', 'D010573', 'D011108', 'D016062', 'D012987', 'D012989', 'D013050']","['Carbazoles', 'Fluorescent Dyes', 'Food Contamination', 'Malus', 'Pesticide Residues', 'Polymers', 'Porosity', 'Soil', 'Soil Pollutants', 'Spectrometry, Fluorescence']","Micro-/Mesoporous Fluorescent Polymers and Devices for Visual Pesticide Detection with Portability, High Sensitivity, and Ultrafast Response.","['Q000138', 'Q000138', 'Q000032', 'Q000737', 'Q000032', 'Q000138', None, 'Q000737', 'Q000032', None]","['chemical synthesis', 'chemical synthesis', 'analysis', 'chemistry', 'analysis', 'chemical synthesis', None, 'chemistry', 'analysis', None]",https://www.ncbi.nlm.nih.gov/pubmed/35044158,2022
35032801,"The formation of the molecule 4,5-dihydroxy-2-cyclopenten-1-one (DHCP) from the thermal treatment of pectin-containing foods was investigated in small-scale laboratory preparation of sterilized vegetable puree (carrot, zucchini and tomato) and fruit puree (peach and mixture of pear and apple) and in commercial baby foods. DHCP attracts attention due to its cytotoxicity as well as potential antiviral and anti-inflammatory effects. However, its effects and the difficulty of its identification in food are mediated in part by the formation of Michael adducts of DHCP with amino acids. The results revealed that DHCP reacted efficiently with cysteine and glutathione, and to a lesser extent with histidine. Mass spectrometry analysis confirmed the formation of adducts of DHCP with amino acids in a model system, being in a real food system difficult to investigate. However, these formed adducts are of potential interest, although it is not known whether they are safe, bioactive or reversible.",Food chemistry,"['D000596', 'D003517', 'D005638', 'D007225', 'D014675']","['Amino Acids', 'Cyclopentanes', 'Fruit', 'Infant Food', 'Vegetables']",Formation of a bioactive cyclopentenone and its adducts with amino acids in sterilized-fruits and - vegetables baby foods.,"[None, None, None, None, None]","[None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/35032801,2022
35010215,"Food authentication is very important to protect consumers, sellers, and producers from fraud. Although several methods have been developed using a wide range of analytical techniques, most of them require sample destruction and do not allow in situ sampling or analysis, nor reliable quantification of hundreds of molecules at the same time. To overcome these limitations, we have developed and validated a new noninvasive analytical workflow for food authentication. The method uses a functionalized strip to adsorb small molecules from the surface of the food product, followed by gas chromatography-mass spectrometry analysis of the desorbed analytes. We validated the method and applied it to the classification of five different apple varieties. Molecular concentrations obtained from the analysis of 44 apples were used to identify markers for apple cultivars or, in combination with machine learning techniques, to perform cultivar classification. The overall reproducibility of the method was very good, showing a good coefficient of variation for both targeted and untargeted analysis. The approach was able to correctly classify all samples. In addition, the method was also used to detect pesticides and the following molecules were found in almost all samples: chlorpyrifos-methyl, deltamethrin, and malathion. The proposed approach not only showed very good analytical performance, but also proved to be suitable for noninvasive food authentication and pesticide residue analysis.","Foods (Basel, Switzerland)",[],[],New Non-Invasive Method for the Authentication of Apple Cultivars.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35010215,2022
34999933,"The incidence of patulin (PAT) in fruit products is a worldwide concern due to its acute and chronic toxic effects. Therefore, accurate and reliable PAT measurements are important for preventing consumer health risks. Our previous method, which was based on a common technique that uses ethyl acetate extraction and liquid chromatography-tandem mass spectrometry with isotope dilution (ID-LC-MS/MS), has shown great performance for the determination of PAT in apple products. However, prolonged extraction times and multistep clean-up processes were required to sufficiently eliminate the matrix interferences. Herein, a feasible alternative ID-LC-MS/MS method was successfully established, employing simplified and reliable sample preparation steps. The clean-up process was performed using molecularly imprinted polymer-solid-phase extraction (MIP-SPE) cartridges, which eliminated matrix interferences and facilitated the trace quantification. While the previous method used a multimode LC column for the retention of polar patulin, the current method used a UPLC HSS T3 column, which further improved the peak sharpness and reduced the run time. The method was validated by measuring fortified samples in the concentration range of 5‒100 µg/kg. The accuracy varied between 97.8 and 102.0%, with relative standard deviation for interday and intraday precision being below 3%. The measurement uncertainty was lower than 4% (at a 95% level of confidence). Therefore, this method demonstrated adequate metrological quality with greatly enhanced performance over various reported methods. Additional key benefits of this method are easy manipulation, short preparation time, and lower consumption of hazardous solvents. Finally, the method was successfully applied to commercially available apple-based products.",Analytical and bioanalytical chemistry,"['D002853', 'D007201', 'D027845', 'D010365', 'D012015', 'D053719']","['Chromatography, Liquid', 'Indicator Dilution Techniques', 'Malus', 'Patulin', 'Reference Standards', 'Tandem Mass Spectrometry']",Development of isotope dilution-liquid chromatography/tandem mass spectrometry as a candidate reference method for the accurate determination of patulin in apple products.,"['Q000379', None, 'Q000737', 'Q000032', None, 'Q000379']","['methods', None, 'chemistry', 'analysis', None, 'methods']",https://www.ncbi.nlm.nih.gov/pubmed/34999933,2022
