PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
35029107,"In this study, we evaluated the stereoselective bioactivity of four propiconazole stereoisomers against the causal agents of the banana leaf spot disease (",Journal of agricultural and food chemistry,"['D002851', 'D005659', 'D028521', 'D013237', 'D053719', 'D014230']","['Chromatography, High Pressure Liquid', 'Fungicides, Industrial', 'Musa', 'Stereoisomerism', 'Tandem Mass Spectrometry', 'Triazoles']","Four Propiconazole Stereoisomers: Stereoselective Bioactivity, Separation via Liquid Chromatography-Tandem Mass Spectrometry, and Dissipation in Banana Leaves.","[None, None, None, None, None, None]","[None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/35029107,2022
34709825,"Nontarget data acquisition for target analysis (nDATA) workflows using liquid chromatography-high-resolution accurate mass (LC-HRAM) spectrometry, spectral screening software, and a compound database have generated interest because of their potential for screening of pesticides in foods. However, these procedures and particularly the instrument processing software need to be thoroughly evaluated before implementation in routine analysis. In this work, 25 laboratories participated in a collaborative study to evaluate an nDATA workflow on high moisture produce (apple, banana, broccoli, carrot, grape, lettuce, orange, potato, strawberry, and tomato). Samples were extracted in each laboratory by quick, easy, cheap, effective, rugged, and safe (QuEChERS), and data were acquired by ultrahigh-performance liquid chromatography (UHPLC) coupled to a high-resolution quadrupole Orbitrap (QOrbitrap) or quadrupole time-of-flight (QTOF) mass spectrometer operating in full-scan mass spectrometry (MS) data-independent tandem mass spectrometry (LC-FS MS/DIA MS/MS) acquisition mode. The nDATA workflow was evaluated using a restricted compound database with 51 pesticides and vendor processing software. Pesticide identifications were determined by retention time (",Journal of agricultural and food chemistry,"['D002851', 'D002853', 'D005506', 'D005638', 'D010573', 'D010575', 'D053719', 'D014675', 'D057188']","['Chromatography, High Pressure Liquid', 'Chromatography, Liquid', 'Food Contamination', 'Fruit', 'Pesticide Residues', 'Pesticides', 'Tandem Mass Spectrometry', 'Vegetables', 'Workflow']",Multilaboratory Collaborative Study of a Nontarget Data Acquisition for Target Analysis (nDATA) Workflow Using Liquid Chromatography-High-Resolution Accurate Mass Spectrometry for Pesticide Screening in Fruits and Vegetables.,"[None, None, 'Q000032', 'Q000737', 'Q000032', 'Q000032', None, None, None]","[None, None, 'analysis', 'chemistry', 'analysis', 'analysis', None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34709825,2021
34679656,"Bananas are an essential source of staple food and fruit worldwide and are widely regarded as the world's largest fruit crop, with more than 100 million tons total annual production. Banana peel, a by-product that represents about 40% of the entire banana's weight, and pulp are rich in bioactive compounds and have a high antioxidant capacity. As the production of polyphenols in fruit and vegetables is highly dependent on environmental conditions, genetic factors, and the level of maturity, this study aims to characterize six Australian banana cultivars in various stages of ripening for their phenolic compounds using the liquid chromatography-electrospray ionization quadrupole time of flight mass spectrometry (LC-ESI-QTOF-MS/MS), polyphenols quantification with the high-performance liquid chromatography coupled with photodiode array detector (HPLC-PDA), and their antioxidant capacity. All bananas were analysed for total polyphenols content (TPC), total flavonoids content (TFC), and total tannin content (TTC) and their antioxidant activities. Ripe Ducasse peel and pulp contained the highest amounts of total polyphenols content (1.32 and 1.28 mg gallic acid equivalent (GAE) per gram of sample), total tannin contents (3.34 mg catechin equivalent (CE) per gram of sample), and free radical scavenging capacity (106.67 mg ascorbic acid equivalent (AAE) per g of sample). In contrast, ripe Plantain peel had the greatest total flavonoids (0.03 mg quercetin equivalent (QE) per g of sample). On the other hand, unripe Ladyfinger pulp possessed the highest total antioxidant activity (1.03 mg AAE/g of sample). There was a positive correlation between flavonoids and antioxidant activities. By using LC-ESI-QTOF-MS/MS, a total of 24 phenolic compounds were tentatively characterized in this research, including six phenolic acids, 13 flavonoids, and five other polyphenols. Quantification of phenolic compounds by the high-performance liquid chromatography coupled with photodiode array detector (HPLC-PDA) revealed a higher content of phenolic acids. These findings confirmed that banana peel and pulp have considerable antioxidant activity and can be employed in human food and animal feed for variant health enhancement uses.","Antioxidants (Basel, Switzerland)",[],[],Screening and Characterization of Phenolic Compounds from Australian Grown Bananas and Their Antioxidant Capacity.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/34679656,2021
34497319,"Scientific investigations on levels of Organochlorine Pesticide (OCP) residues in plants largely consider the edible parts (crops, vegetables, and fruit plants). Though the non-edible parts of plants are not eaten by human beings directly, these parts are consumed by livestock and other animals, thereby facilitating the flow of chemical residues through the food chain. The objective of the present investigation was to evaluate the concentration of OCP residues in non-edible plant parts to provide insights on their potential ecotoxicological impacts. Eighteen OCP residues were extracted in nine different plant species (banana Musa acuminate, brinjal Solanum melongena, Casuarina equisetifolia, Eucalyptus globulus, lotus Nelumbo nucifera, paddy Oryza sativa, sugarcane Saccharum officinarum, tapioca Manihot esculenta, tomato Lycopersicon esculentum) following QuEChERS method. The concentrations of OCP residues in plant extracts were determined using Gas Chromatography coupled with Mass Spectrometry (GC-MS). The OCP residues, namely: γ-HCH (lindane), heptachlor epoxide isomer, dieldrin, endrin, endrin aldehyde and endrin ketone were found predominantly in seven plant species. Residues of γ-HCH (lindane) were reported in different parts of plant species such as stem (581.14 ng/g in paddy and 585.82 ng/g in tapioca) and leaf (583.3 ng/g in tomato). Seven samples contained residues of heptachlor epoxide isomer (512.53 to 1173.8 ng/g). Dieldrin was found in paddy stem (489.97 ng/g), tapioca stem (490.21 ng/g) and tapioca leaf (490.32 ng/g). The detected OCPs in the present study were 10-50 times higher than the Maximum Residue Limits (MRL, 0.01-0.1 mg/Kg) as prescribed in the Codex Alimentarius of the FAO/WHO. Their elevated concentrations in the plant parts therefore pose risk of contamination to the consumers in the food chain, including human beings those are dependent on the animals as source of protein. The findings of this study are the first report on residue levels of OCPs in non-edible plant parts in the agricultural landscape of Puducherry region, India. Since, this study assumes significance for the strategic location of Oussudu Lake, an interstate lake spread over Puducherry and Tamil Nadu states, regular monitoring of OCP residues in different environmental segments in strategic locations in both the states is suggested, which will help the authorities in devising a comprehensive environmental management plan aiming at the ecosystem at large.",Scientific reports,"['D000383', 'D017753', 'D054750', 'D004784', 'D005506', 'D006843', 'D010573', 'D010944']","['Agriculture', 'Ecosystem', 'Ecotoxicology', 'Environmental Monitoring', 'Food Contamination', 'Hydrocarbons, Chlorinated', 'Pesticide Residues', 'Plants']",Organochlorine pesticide residues in plants and their possible ecotoxicological and agri food impacts.,"[None, None, None, 'Q000379', 'Q000032', 'Q000032', 'Q000032', 'Q000737']","[None, None, None, 'methods', 'analysis', 'analysis', 'analysis', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/34497319,2021
34077335,"The occurrence of pesticide residues in bananas imported from Ecuador and the Philippines into Saudi Arabia was investigated. Eighty-seven banana samples were purchased from various supermarkets around the country. The conventional QuEChERS method was used to extract 294 pesticides in whole bananas and the analysis was carried out using LC-MS/MS and GC-MS/MS. In total, nine pesticides were detected of which azoxystrobin, carbendazim, chlorpyrifos, imazalil, and thiabendazole were the most frequently found in bananas from both countries. The levels of these pesticides were complaint according to the Saudi Food & Drug Authority's (SFDA) maximum residue levels (MRLs), therefore they cannot be considered a public health problem. Detectable residues of these agrochemicals show that they are used extensively in banana cultivation. The Ecuadorian Agency for Agricultural Quality Assurance (Agrocalidad) and the Saudi Ministry of Environment, Water and Agriculture (MEWA) prohibit the use of carbendazim in agriculture, while the Filipino Fertiliser and Pesticide Authority (FPA) allows its use. A legislative comparison of pesticide approval status revealed a lack of consensus between banana exporting and importing countries that could affect food safety and trade.","Food additives & contaminants. Part A, Chemistry, analysis, control, exposure & risk assessment","['D000383', 'D002851', 'D005506', 'D059022', 'D005638', 'D008401', 'D006801', 'D028521', 'D010573', 'D010575', 'D012529', 'D053719']","['Agriculture', 'Chromatography, High Pressure Liquid', 'Food Contamination', 'Food Safety', 'Fruit', 'Gas Chromatography-Mass Spectrometry', 'Humans', 'Musa', 'Pesticide Residues', 'Pesticides', 'Saudi Arabia', 'Tandem Mass Spectrometry']",LC-MS/MS and GC-MS/MS analysis of pesticide residues in Ecuadorian and Filipino Cavendish bananas imported into Saudi Arabia.,"[None, None, 'Q000032', None, None, None, None, 'Q000145', 'Q000032', 'Q000032', None, None]","[None, None, 'analysis', None, None, None, None, 'classification', 'analysis', 'analysis', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34077335,2021
34052469,"Emissions of volatile organic compounds (VOCs) were continuously measured during the aerobic decomposition of banana peel in a laboratory-scale landfill simulator over 25 d. Using direct membrane inlet single-photon ionisation time-of-flight mass spectrometry (MI-SPI-ToF-MS), 18 VOCs belonging to 10 functional groups were detected in the air samples, and their VOC emission profiles were established using cluster analysis on time-resolved data. Three emission stages were clearly identified, with the major release for most VOC compounds occurring during the first 14 d. The emission patterns of the individual compounds were quite similar despite the different release mechanisms. In addition, no apparent increase in temperature was observed inside the simulator during the entire experimental period. We suggest that the volatilisation of the constituents in the waste pile contributed equally to VOC emissions as did the degradation of banana peel via microbial activity. The average emission rate of total VOCs reached 44.3 × 10","Waste management (New York, N.Y.)","['D000393', 'D005502', 'D028521', 'D012037', 'D055549', 'D064091']","['Air Pollutants', 'Food', 'Musa', 'Refuse Disposal', 'Volatile Organic Compounds', 'Waste Disposal Facilities']",Emission of volatile organic compounds during aerobic decomposition of banana peel.,"['Q000032', None, None, None, 'Q000032', None]","['analysis', None, None, None, 'analysis', None]",https://www.ncbi.nlm.nih.gov/pubmed/34052469,2021
33501830,"It is commonly known that the widespread use of antibiotics has led to their existence in food products as residues and ingestion of these food products may create a selection pressure on bacteria inhabiting the human body. In this study, an optimized method for the analysis of antibiotic residues in different food groups, including cereals, meat, eggs, milk, vegetables, and fruits, was developed using solvent extraction, solid-phase extraction cleanup, and liquid chromatography-mass spectrometry (LC-MS/MS). The limits of detection (LODs) were achieved as 0.007-1.1, 0.008-0.46, 0.002-0.67, 0.007-0.63, 0.001-0.098, and 0.005-0.26 ng/g in ng/g in cereals, meat, eggs, milk, vegetables, and fruits, respectively. The overall average recoveries at three spiking levels of the 81 antibiotics (5, 25, and 50 ng/g dry weight) were 82 ± 26, 77 ± 26, 70 ± 34, 69 ± 31, 73 ± 29, and 62 ± 37% in cereals, meat, eggs, milk, vegetables, and fruits, respectively. The method was then applied to the analysis of the targets in the collected wheat flour, mutton, chicken egg, boxed milk, cabbage, and banana samples, with the total concentration of the antibiotics detected being 4.4, 2.3, 36, 5.5, 2.7, and 14 ng/g, respectively. This work suggests that the developed method provides a time- and cost-effective method to identify and quantify antibiotic residues in common food products.",Journal of agricultural and food chemistry,"['D000818', 'D000900', 'D002417', 'D002645', 'D002851', 'D004350', 'D004531', 'D005433', 'D005506', 'D005638', 'D057230', 'D008460', 'D008892', 'D052616', 'D053719', 'D014908', 'D014675']","['Animals', 'Anti-Bacterial Agents', 'Cattle', 'Chickens', 'Chromatography, High Pressure Liquid', 'Drug Residues', 'Eggs', 'Flour', 'Food Contamination', 'Fruit', 'Limit of Detection', 'Meat', 'Milk', 'Solid Phase Extraction', 'Tandem Mass Spectrometry', 'Triticum', 'Vegetables']",Trace Analysis of Multiclass Antibiotics in Food Products by Liquid Chromatography-Tandem Mass Spectrometry: Method Development.,"[None, 'Q000737', None, None, 'Q000379', 'Q000737', 'Q000032', 'Q000032', 'Q000032', 'Q000737', None, 'Q000032', 'Q000737', None, 'Q000379', 'Q000737', 'Q000737']","[None, 'chemistry', None, None, 'methods', 'chemistry', 'analysis', 'analysis', 'analysis', 'chemistry', None, 'analysis', 'chemistry', None, 'methods', 'chemistry', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/33501830,2021
33392987,"The coastline of the department of Antioquia, in Colombia, exhibits a wide variety of aquatic and land ecosystems rich in both diversity and abundance. However, it is exposed to a variety of human activities, including industry, tourism, and mining. Banana cultivation is the main activity carried out in this region, which offers large economic benefits. In addition, there are diverse fishery resources that are main basis of the economy and nutrition for the population. Over the years, the Gulf of Urabá has been affected by serious pollution problems due to elevated contents toxic compounds that deteriorate the aquatic ecosystem, even our laboratory has conducted previous studies in heavy metals in fish from this same area. The aim of this study was to evaluate the contents of chromium (Cr), lead (Pb), and mercury (Hg) in seawater and fish muscle in three fish species from the Gulf of Urabá that are commercialized and consumed by the population of the municipality of Turbo, using microwave-induced plasma optical emission spectrometry (MIP OES). The occurrence of toxic metals in seawater in this area has not been reported, and to the best of our knowledge, this is the first study. Cr and Pb concentrations in seawater from several sampling points were detected ranged from 0.025 to 0.369 mg/L and 0.012-0.165 mg/L, respectively, while Hg levels were below detection limit. Regarding fish samples, Pb and Hg levels range 0.64-1.91 mg/kg and 0.11-1.09 mg/kg, respectively. Sea catfish species exhibited the highest content of metals, followed by stone head catfish and anchovy, it which showed the lowest contamination by metals. In this study, levels that exceed the limits in Colombian regulations regarding metal contents in discharge points to surface water and fishery products for human consumption were found.",Environmental science and pollution research international,"['D000818', 'D017691', 'D002857', 'D003105', 'D017753', 'D004784', 'D006801', 'D007854', 'D008628', 'D019216', 'D012623', 'D014874']","['Animals', 'Caribbean Region', 'Chromium', 'Colombia', 'Ecosystem', 'Environmental Monitoring', 'Humans', 'Lead', 'Mercury', 'Metals, Heavy', 'Seawater', 'Water Pollutants, Chemical']","Assessment of chromium, lead and mercury in seawater and some fish species from the Gulf of Urabá, Colombian Caribbean: a baseline study.","[None, None, None, None, None, None, None, None, 'Q000032', 'Q000032', None, 'Q000032']","[None, None, None, None, None, None, None, None, 'analysis', 'analysis', None, 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/33392987,2021
33310259,"The aim of this paper is to statistically validate the analytical curves of a chromatography method to identify and quantify azoxystrobin, difenoconazole and propiconazole residues in banana pulp, using QuEChERS and GC-SQ/MS. A matrix-matched calibration was used and analytical curves were estimated by weighted least squares regression (WLS), confirming heteroscedasticity for all compounds. Statistical tests were performed to confirm the quality adjustment of the proposed linear model. The correlation coefficient for azoxystrobin, difenoconazole and propiconazole were, respectively, 0.9985, 0.9966 and 0.9997 (concentration range: 0.05 and 2.0 mg kg",Food chemistry,"['D001938', 'D004148', 'D008401', 'D057230', 'D028521', 'D010573', 'D011743', 'D015203', 'D000073739', 'D014230']","['Brazil', 'Dioxolanes', 'Gas Chromatography-Mass Spectrometry', 'Limit of Detection', 'Musa', 'Pesticide Residues', 'Pyrimidines', 'Reproducibility of Results', 'Strobilurins', 'Triazoles']",Statistical evaluation of analytical curves for quantification of pesticides in bananas.,"[None, 'Q000032', 'Q000379', None, 'Q000737', 'Q000032', 'Q000032', None, 'Q000032', 'Q000032']","[None, 'analysis', 'methods', None, 'chemistry', 'analysis', 'analysis', None, 'analysis', 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/33310259,2021
33270234,"Bananas are vulnerable to disease and insect pests after producing fruit. In order to increase the yield and produce high-quality fruit, the insecticides and fungicides are mixed and applied 2-3 times on banana, then the fruit is bagged. Buprofezin, imidacloprid, difenoconazole, and pyraclostrobin are widely used on banana. However, there is a lack of research on the effect of fruit bagging on pesticide dissipation and residues on bananas.",Journal of the science of food and agriculture,"['D002681', 'D002853', 'D005506', 'D018857', 'D005638', 'D006207', 'D007306', 'D028521', 'D010573', 'D010575', 'D000073739', 'D053719']","['China', 'Chromatography, Liquid', 'Food Contamination', 'Food Packaging', 'Fruit', 'Half-Life', 'Insecticides', 'Musa', 'Pesticide Residues', 'Pesticides', 'Strobilurins', 'Tandem Mass Spectrometry']",Bagging and non-bagging treatment on the dissipation and residue of four mixed application pesticides on banana fruit.,"[None, None, 'Q000032', 'Q000295', 'Q000737', None, 'Q000737', 'Q000737', 'Q000737', 'Q000737', 'Q000737', None]","[None, None, 'analysis', 'instrumentation', 'chemistry', None, 'chemistry', 'chemistry', 'chemistry', 'chemistry', 'chemistry', None]",https://www.ncbi.nlm.nih.gov/pubmed/33270234,2021
