PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
34829641,"Culinary spices and herbs have been used to impart a characteristic flavour and aroma in food due to their appealing fragrance. Recently, bioactive compounds from herbs, especially phenolics, have gained much attention due to their potential health outcomes. The aim of this study was to characterize and quantify the phenolic compounds from 10 widely used Australian-grown herbs (oregano, rosemary, bay, basil, sage, fenugreek, dill, parsley, mint and thyme). For this purpose, liquid chromatography mass spectrometry (LC-MS) was used for the complete profiling of polyphenolic compounds and quantification of abundant phenolic compounds was completed with high-performance liquid chromatography-photodiode array detection (HPLC-PDA). Polyphenols from Australian-grown herbs were estimated through total phenolic content (TP), total flavonoids (TF) and total tannins (TT) along with their in-vitro antioxidant activities. Oregano and mint were estimated with the highest value of TP (140.59 ± 9.52 and 103.28 ± 8.08 mg GAE/g, milligram gallic acid equivalent/gram) while rosemary and mint had the highest TF (8.19 ± 0.74 and 7.05 ± 0.43 mg QE (quercetin equivalent)/g). In this study, eighty-four (84) phenolic compounds were screened and confirmed through LC-MS/MS by comparing their masses and fragmentation pattern with published libraries. The results of this study validate the use of these herbs as bioactives and their positive impact on human health.","Antioxidants (Basel, Switzerland)",[],[],LC-MS/MS-QTOF Screening and Identification of Phenolic Compounds from Australian Grown Herbs and Their Antioxidant Potential.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/34829641,2021
34753973,"Nine odorless laboratory-collected hydro-distilled aqueous extracts (basil, calendula, centrifuged oregano, corn silk, laurel, oregano, rosemary, spearmint, thyme) and one industrial steam-distilled oregano hydrolate acquired as by-products of essential oils purification were screened for their in vitro antimicrobial activity against three Salmonella Typhimurium strains (4/74, FS8, FS115) at 4 and 37 °C. Susceptibility to the extracts was mainly plant- and temperature-dependent, though strain dependent effects were also observed. Industrial oregano hydrolate eliminated strains immediately after inoculation, exhibiting the highest antimicrobial potential. Hydro-distilled extracts eliminated/reduced Salmonella levels during incubation at 4 °C. At 37 °C, oregano, centrifuged oregano, thyme, calendula and basil were bactericidal while spearmint, rosemary and corn silk bacteriostatic. A strain-dependent effect was observed for laurel. The individual or combined effect of marinades and edible coatings prepared of industrial hydrolate and hydro-distilled oregano extracts with or without oregano essential oil (OEO) was tested in pork meat at 4 °C inoculated with FS8 strain. Lower in situ activity was observed compared to in vitro assays. Marinades and edible coatings prepared of industrial oregano hydrolate + OEO were the most efficient in inhibiting pathogen. Marination in oregano extract and subsequent coating with either 50% oregano extract + OEO or water + OEO enhanced the performance of oregano extract. In conclusion, by-products of oregano essential oil purification may be promising alternative antimicrobials to pork meat stored under refrigeration when applied in the context of multiple hurdle approach.",Scientific reports,"['D000818', 'D000900', 'D002851', 'D015169', 'D059022', 'D008826', 'D010936', 'D000080305', 'D012486', 'D021241', 'D013552', 'D053719', 'D014867']","['Animals', 'Anti-Bacterial Agents', 'Chromatography, High Pressure Liquid', 'Colony Count, Microbial', 'Food Safety', 'Microbial Sensitivity Tests', 'Plant Extracts', 'Pork Meat', 'Salmonella typhimurium', 'Spectrometry, Mass, Electrospray Ionization', 'Swine', 'Tandem Mass Spectrometry', 'Water']",Evaluation of antimicrobial activities of plant aqueous extracts against Salmonella Typhimurium and their application to improve safety of pork meat.,"[None, 'Q000737', 'Q000379', None, None, None, 'Q000737', 'Q000382', 'Q000187', 'Q000379', None, 'Q000379', 'Q000737']","[None, 'chemistry', 'methods', None, None, None, 'chemistry', 'microbiology', 'drug effects', 'methods', None, 'methods', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/34753973,2022
33483837,"The use of macro- and microalgae, as well as cyanobacteria, becomes increasingly important for human nutrition, even in Western diets. Health effects, positive as well as negative, are believed to result mainly from minor components in the food. In macro- and microalgae as well as in certain cyanobacteria, one class of such minor compounds is sulfolipids, more precisely sulfoquinovosylmonoacylglycerol (SQMG) and sulfoquinovosyldiacylglycerol (SQDG) derivatives. SQMGs and SQDGs consist of a diacylglycerol esterified with varying fatty acid combinations and a sulfoquinovose moiety. Sulfoquinovose is a sulfonated hexose analogous to D-glucose, but featuring a stable carbon-sulfur bond. With regard to their chemical structure, SQDGs can be distinguished according to their sn1- and sn2-bound fatty acids. Although there is great interest in SQDGs, because of their controversially discussed bioactivities, only a negligible number of comprehensive methods for identification and quantification has been published, so far. Within this work, a sample preparation including a quantitative isolation of SQDGs from selected raw materials, a clean-up with solid-phase extraction (SPE), and a sensitive liquid chromatography-tandem mass spectrometry (LC-MS/MS) method for simultaneous identification and quantitation of different, intact SQMGs and SQDGs were developed and validated. The applicability of the method was further demonstrated by comparing a prominent cyanobacterium (Arthrospira sp.) with a microalgae preparation (Chlorella vulgaris), and selected leafy vegetables (spinach, basil).",Analytical and bioanalytical chemistry,"['D002138', 'D002244', 'D002708', 'D002851', 'D002853', 'D000458', 'D004075', 'D006017', 'D007477', 'D008055', 'D058086', 'D018515', 'D015203', 'D052616', 'D012997', 'D021241', 'D053545', 'D013455', 'D053719', 'D014675']","['Calibration', 'Carbon', 'Chlorella', 'Chromatography, High Pressure Liquid', 'Chromatography, Liquid', 'Cyanobacteria', 'Diglycerides', 'Glycolipids', 'Ions', 'Lipids', 'Microalgae', 'Plant Leaves', 'Reproducibility of Results', 'Solid Phase Extraction', 'Solvents', 'Spectrometry, Mass, Electrospray Ionization', 'Spirulina', 'Sulfur', 'Tandem Mass Spectrometry', 'Vegetables']","Development of a targeted HPLC-ESI-QqQ-MS/MS method for the quantification of sulfolipids from a cyanobacterium, selected leafy vegetables, and a microalgae species.","[None, 'Q000737', None, 'Q000379', None, 'Q000378', 'Q000737', 'Q000032', None, 'Q000032', 'Q000378', 'Q000378', None, None, None, 'Q000379', None, 'Q000737', 'Q000379', 'Q000378']","[None, 'chemistry', None, 'methods', None, 'metabolism', 'chemistry', 'analysis', None, 'analysis', 'metabolism', 'metabolism', None, None, None, 'methods', None, 'chemistry', 'methods', 'metabolism']",https://www.ncbi.nlm.nih.gov/pubmed/33483837,2021
32316315,"There is an increasing interest in developing natural methods to replace the current chemicals used for maintaining postharvest quality of citrus fruits. The essential oil antifungal activity of mint (MEO), basil (BEO), and lavender (LEO) acting as the vapor-phases was tested against ","Molecules (Basel, Switzerland)","['D002957', 'D063427', 'D005659', 'D008401', 'D006863', 'D020128', 'D027523', 'D027541', 'D031339', 'D009822', 'D010407', 'D010938']","['Citrus', 'Food Quality', 'Fungicides, Industrial', 'Gas Chromatography-Mass Spectrometry', 'Hydrogen-Ion Concentration', 'Inhibitory Concentration 50', 'Lavandula', 'Mentha', 'Ocimum', 'Oils, Volatile', 'Penicillium', 'Plant Oils']","Assessment of Mint, Basil, and Lavender Essential Oil Vapor-Phase in Antifungal Protection and Lemon Fruit Quality.","['Q000187', None, 'Q000737', None, None, None, None, 'Q000737', None, 'Q000737', 'Q000187', 'Q000737']","['drug effects', None, 'chemistry', None, None, None, None, 'chemistry', None, 'chemistry', 'drug effects', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/32316315,2021
30806167,"Feed control is essential for the safety of animal-origin food. It is estimated that more than 80% of human exposure to dioxins and related compounds comes from the consumption of animal-origin food, and farm animals are exposed to dioxins mainly through the feed. A monitoring programme for dioxins (polychlorinated dibenzo-p-dioxins (PCDDs) and dibenzofurans (PCDFs)) and dioxin-like polychlorinated biphenyls (DL-PCBs) was conducted in the Polish feed market between 2004 and 2017. Using two complementary ISO 17025-accredited analytical methods (bioassay and high-resolution gas chromatography/high-resolution mass spectrometry (HRGC/HRMS)), 2919 samples of plant, animal and minerals origin were analysed. The total number of samples exceeding the maximum limit (ML) was 52, which is 1.8% of all tested samples. They all contained PCDD/Fs in concentrations over the ML, and in 16 samples the limit for the sum of PCDD/F/DL-PCBs was also exceeded. The highest dioxins level was found in feedstuffs derived from Baltic fish; the fish oil was followed by fish meal. Low-chlorinated furans (2.3,7,8 TCDF, 2,3,4,7,8-PCDF and 1,2,3,7,8-PeCDF) were dominant and these congeners accounted for the toxicity expressed in WHO toxic equivalents (WHO-TEQ). In this category, 155 out of the 498 samples (32%) exceeded the action threshold (AT) for PCDD/Fs and in 10 samples (2.0%) for DL-PCBs. Non-compliant fish meals were found in 34 (5.6%) of the tested samples, in 0.7% of compound feeds, and in 1.5% of plant-origin materials. Seven dried plant-derived materials contained PCDD/F level above ML, including alfalfa, maize, apple, basil and beet pulp pellets containing molasses. The dry vegetable materials were mostly contaminated by the 2,3,7,8-furans, the congeners arising from a faulty drying process. No significant time trend can be seen. From the obtained results, it can be concluded that concentrations of PCDD/Fs and DL-PCBs in Polish feed materials were sufficiently low to ensure low concentrations in animal-derived products.","Food additives & contaminants. Part A, Chemistry, analysis, control, exposure & risk assessment","['D000821', 'D000818', 'D000072318', 'D005506', 'D051379', 'D011044', 'D011078', 'D000072317', 'D014407']","['Animal Feed', 'Animals', 'Dibenzofurans', 'Food Contamination', 'Mice', 'Poland', 'Polychlorinated Biphenyls', 'Polychlorinated Dibenzodioxins', 'Tumor Cells, Cultured']","Levels and trends of PCDD/Fs and DL-PCBs in Polish animal feeds, 2004-2017.","['Q000032', None, 'Q000032', 'Q000032', None, None, 'Q000032', 'Q000032', None]","['analysis', None, 'analysis', 'analysis', None, None, 'analysis', 'analysis', None]",https://www.ncbi.nlm.nih.gov/pubmed/30806167,2019
30466367,"Levels of lead (Pb), cadmium (Cd), arsenic (As), and mercury (Hg) were evaluated in 359 samples of commonly consumed spices (cinnamon, parsley, basil, oregano, coriander seed, nutmeg, cumin, bay leaf, fenugreek, rosemary, thyme, fennel, sage, clove, marjoram, tarragon, caraway, dill seed, pepper, and turmeric) from the market in the Republic of Korea. The content of Pb, Cd, and As was assessed by acid wet digestion using a microwave oven and inductively coupled plasma mass spectrometry (ICP-MS). The content of Hg was analysed using a direct mercury analyzer (DMA). Pb, Cd, As, and Hg mean content in spices ranged from 0.039-0.972 mg kg","Food additives & contaminants. Part B, Surveillance","['D001151', 'D002104', 'D005506', 'D019686', 'D007854', 'D013058', 'D008628', 'D019216', 'D056910', 'D017365']","['Arsenic', 'Cadmium', 'Food Contamination', 'Lamiaceae', 'Lead', 'Mass Spectrometry', 'Mercury', 'Metals, Heavy', 'Republic of Korea', 'Spices']",Heavy metals in spices commonly consumed in Republic of Korea.,"['Q000032', 'Q000032', 'Q000032', 'Q000737', 'Q000032', 'Q000379', 'Q000032', 'Q000032', None, 'Q000032']","['analysis', 'analysis', 'analysis', 'chemistry', 'analysis', 'methods', 'analysis', 'analysis', None, 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/30466367,2019
27397646,"A total of 300 samples representing six condiments (black pepper, basil, oregano, nutmeg, paprika, and thyme) were analysed for 11 mycotoxins, 134 pesticides and 4 heavy metals by ultra-high performance liquid chromatography-tandem quadrupole mass spectrometry and inductively coupled plasma mass spectrometry. Mycotoxins were detected in 4%, 10% and 30% of all nutmeg, basil and thyme samples, respectively. The residues of 24 pesticides were detected in 59% of the analysed condiments. The maximum residue levels of pesticides were exceeded in 10% of oregano and 46% of thyme samples. A risk assessment of heavy metals was performed, indicating daily intake levels far below the tolerable intake levels.","Food additives & contaminants. Part B, Surveillance","['D002851', 'D003132', 'D004032', 'D004781', 'D005506', 'D006801', 'D019216', 'D009183', 'D026323', 'D018649', 'D031341', 'D010573', 'D010575', 'D018515', 'D010945', 'D018570', 'D012639', 'D017365', 'D053719', 'D046930']","['Chromatography, High Pressure Liquid', 'Commerce', 'Diet', 'Environmental Exposure', 'Food Contamination', 'Humans', 'Metals, Heavy', 'Mycotoxins', 'Myristica', 'Ocimum basilicum', 'Origanum', 'Pesticide Residues', 'Pesticides', 'Plant Leaves', 'Plants, Edible', 'Risk Assessment', 'Seeds', 'Spices', 'Tandem Mass Spectrometry', 'Thymus Plant']","Mycotoxins, pesticides and toxic metals in commercial spices and herbs.","[None, None, None, 'Q000032', 'Q000032', None, 'Q000032', 'Q000032', None, None, None, 'Q000032', None, 'Q000737', 'Q000737', None, 'Q000737', 'Q000032', None, None]","[None, None, None, 'analysis', 'analysis', None, 'analysis', 'analysis', None, None, None, 'analysis', None, 'chemistry', 'chemistry', None, 'chemistry', 'analysis', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/27397646,2017
26991289,"Despite recent advances in food production technology, food-borne diseases (FBD) remain a challenging public health concern. In several countries, including Brazil, Clostridium perfringens is among the five main causative agents of food-borne diseases. The present study determines antimicrobial activities of essential oils of six condiments commonly used in Brazil, viz., Ocimum basilicum L. (basil), Rosmarinus officinalis L. (rosemary), Origanum majorana L. (marjoram), Mentha × piperita L. var. Piperita (peppermint), Thymus vulgaris L. (thyme) and Pimpinella anisum L. (anise) against C. perfringens strain A. Chemical compositions of the oils were determined by GC-MS (gas chromatography-mass spectrometry). The identities of the isolated compounds were established from the respective Kováts indices, and a comparison of mass spectral data was made with those reported earlier. The antibacterial activity was assessed from minimum inhibitory concentration (MIC) and minimum bactericidal concentration (MBC) using the microdilution method. Minimum inhibitory concentration values were 1.25mgmL(-1) for thyme, 5.0mgmL(-1) for basil and marjoram, and 10mgmL(-1) for rosemary, peppermint and anise. All oils showed bactericidal activity at their minimum inhibitory concentration, except anise oil, which was only bacteriostatic. The use of essential oils from these common spices might serve as an alternative to the use of chemical preservatives in the control and inactivation of pathogens in commercially produced food systems. ",Brazilian journal of microbiology : [publication of the Brazilian Society for Microbiology],"['D000900', 'D001938', 'D003016', 'D008401', 'D008826', 'D018649', 'D009822', 'D031341', 'D010938', 'D027542', 'D046930']","['Anti-Bacterial Agents', 'Brazil', 'Clostridium perfringens', 'Gas Chromatography-Mass Spectrometry', 'Microbial Sensitivity Tests', 'Ocimum basilicum', 'Oils, Volatile', 'Origanum', 'Plant Oils', 'Rosmarinus', 'Thymus Plant']",Antimicrobial activities of six essential oils commonly used as condiments in Brazil against Clostridium perfringens.,"['Q000032', None, 'Q000187', None, None, 'Q000737', 'Q000032', 'Q000737', 'Q000032', 'Q000737', 'Q000737']","['analysis', None, 'drug effects', None, None, 'chemistry', 'analysis', 'chemistry', 'analysis', 'chemistry', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/26991289,2016
26000023,"Herbs are extensively consumed in the United Arab Emirates for their flavoring and medicinal properties. This study aimed at determining the concentration of heavy metals in selected traditional herbs consumed in the United Arab Emirates (UAE). A total of 81 samples of seven herbs, parsley (Petroselinum crispum), basil (Ocimum basilicum), sage (Salvia officinalis), oregano (Origanum vulgare), mint (Mentha spicata), thyme (Thymus vulgaris), and chamomile (Matricaria chamomilla), were purchased from the local market in Dubai and analyzed for their cadmium, lead, copper, iron, and zinc contents. Microwave-assisted digestion was applied for the dissolution of the samples and heavy metals concentration was determined using Atomic Absorption Spectrometry (AAS). Metals were found to be present in varied concentrations in the herb samples. The concentration ranges were found as follows: less than 0.1-1.11 mg·kg(-1) for cadmium, less than 1.0-23.52 mg·kg(-1) for lead, 1.44-156.24 mg·kg(-1) for copper, 12.65-146.67 mg·kg(-1) for zinc, and 81.25-1101.22 mg·kg(-1) for iron. The findings of the study suggest that most of the analyzed herbs contained unsafe levels of heavy metals that exceeded the World Health Organization (WHO) permissible limits (PL). ",Journal of environmental and public health,"['D004785', 'D005504', 'D019216', 'D010946', 'D013054', 'D014479']","['Environmental Pollutants', 'Food Analysis', 'Metals, Heavy', 'Plants, Medicinal', 'Spectrophotometry, Atomic', 'United Arab Emirates']",Determination of heavy metals concentration in traditional herbs commonly consumed in the United Arab Emirates.,"['Q000032', None, 'Q000032', 'Q000737', None, None]","['analysis', None, 'analysis', 'chemistry', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/26000023,2016
24758511,"The essential oils of 2 Cameroonian spices, namely, Xylopia aethiopica and Ocimum canum, were chemically investigated and screened for their antibacterial activity. The essential oils were analyzed by means of GC, GC/MS, and NMR. X. aethiopica oil contained myrtenol (12%), a monoterpenoid in highest concentration. The essential oil of O. canum belonged to the known linalool (44%) rich chemotype. The results of the antibacterial screening against the food spoiling bacteria revealed a significant and broad spectrum of activity for these essential oils. The present material of X. aethiopica, which is having myrtenol in relatively higher concentration, has shown moderate antibacterial activity. The bioassay-guided fractionation of Ocimum canum oil through flash chromatography showed that minor compounds, namely, α-terpineol, chavicol, chavibetol, and trans-p-mentha-2,8-dien-ol, significantly contributed for the overall activity observed. Hence, these results evidenced the possible potential of the essential oil of O. canum as a suitable antibacterial for controlling food-borne pathogens whereas the X. aethiopica oil has moderate possibility.",Journal of food science,"['D000080462', 'D000081248', 'D000840', 'D000900', 'D000081008', 'D000081005', 'D053138', 'D005054', 'D005516', 'D008401', 'D006801', 'D039821', 'D031339', 'D018649', 'D009822', 'D010936', 'D017365', 'D054336']","['Acyclic Monoterpenes', 'Allylbenzene Derivatives', 'Anisoles', 'Anti-Bacterial Agents', 'Bicyclic Monoterpenes', 'Cyclohexane Monoterpenes', 'Cyclohexenes', 'Eugenol', 'Food Microbiology', 'Gas Chromatography-Mass Spectrometry', 'Humans', 'Monoterpenes', 'Ocimum', 'Ocimum basilicum', 'Oils, Volatile', 'Plant Extracts', 'Spices', 'Xylopia']","Antibacterial activity of essential oils of edible spices, Ocimum canum and Xylopia aethiopica.","[None, None, 'Q000032', 'Q000032', None, None, 'Q000032', 'Q000031', None, None, None, 'Q000032', 'Q000737', 'Q000737', 'Q000737', 'Q000737', 'Q000032', 'Q000737']","[None, None, 'analysis', 'analysis', None, None, 'analysis', 'analogs & derivatives', None, None, None, 'analysis', 'chemistry', 'chemistry', 'chemistry', 'chemistry', 'analysis', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/24758511,2015
