PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
35080159,"Disulfoton, an organophosphorus pesticide, is used to control cotton, beet, potato, and other seedling period aphids, leaf moths, underground pests, etc., with internal absorption, killing, gastric poisoning, and fumigation. Disulfoton is a highly toxic organophosphate pesticide, which can inhibit cholinesterase activity, resulting in neurophysiological disorders by inhalation, feeding, and transdermal absorption. Disulfoton is difficult to degrade in the environment, which leads to enrichment in organisms and interference with endocrine. This compound is harmful to the ecological environment and human health. To ensure the quality and safety of food, it is important to develop a detection method for disulfoton and its metabolites in agricultural products. A reliable method based on dispersive solid phase extraction (d-SPE) with ultra high performance liquid chromatography-tandem mass spectrometry (UHPLC-MS/MS) was developed for the determination of disulfoton and its metabolites (disulfoton sulfone, disulfoton sulfoxide, demeton-",Se pu = Chinese journal of chromatography,"['D002851', 'D004222', 'D006801', 'D037742', 'D009943', 'D010575', 'D052616', 'D053719']","['Chromatography, High Pressure Liquid', 'Disulfoton', 'Humans', 'Nanotubes, Carbon', 'Organophosphorus Compounds', 'Pesticides', 'Solid Phase Extraction', 'Tandem Mass Spectrometry']",[Determination of disulfoton and its metabolites in agricultural products by dispersive soild phase extraction-ultra high performance liquid chromatography-tandem mass spectrometry].,"[None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/35080159,2022
35077989,"The optimal conditions for QuEChERS (quick, easy, cheap, effective, rugged and safe) with superior performance were established to rapidly extract 21 heterocyclic amines (HAs) from 9 categories of food matrices including meat and poultry, eggs, soy beans and products, composite foods, fish and seafood, grains, beer, dairy foods, and coffee. The QuEChERS conditions and the developed ultra-high performance liquid chromatography-tandem mass spectrometry analysis conditions were then applied to the determination of HAs in popular food products sold in the Taiwan market. The conditions comply with the food chemical analysis specifications of Taiwan Food and Drug Administration. Coffee products and braised products that require a longer cooking time contained relatively high content of HAs (mainly Harman and Norharman), and their consumption is relatively high resulting in relatively high intake of HAs from these products. The dietary intake of HAs in plant-based protein food products should also be of concern.",Food chemistry,"['D000588', 'D000818', 'D002851', 'D005504', 'D008401', 'D053719']","['Amines', 'Animals', 'Chromatography, High Pressure Liquid', 'Food Analysis', 'Gas Chromatography-Mass Spectrometry', 'Tandem Mass Spectrometry']",Establishment of optimal QuEChERS conditions of various food matrices for rapid measurement of heterocyclic amines in various foods.,"['Q000032', None, None, None, None, None]","['analysis', None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/35077989,2022
34885663,"The present study was conducted to quantify the daily intake and target hazard quotient of four essential elements, namely, chromium, cobalt, nickel, and copper, and four toxic trace elements, mercury, cadmium, lead, and arsenic. Thirty food items were assigned to five food categories (seeds, leaves, powders, beans, and fruits) and analyzed using inductively coupled plasma-mass spectrometry. Factor analysis after principal component extraction revealed common metal patterns in all foodstuffs, and using hierarchical cluster analysis, an association map was created to illustrate their similarity. The results indicate that the internationally recommended dietary allowance was exceeded for Cu and Cr in 27 and 29 foodstuffs, respectively. According to the tolerable upper level for Ni and Cu, everyday consumption of these elements through repeated consumption of seeds (fennel, opium poppy, and cannabis) and fruits (almond) can have adverse health effects. Moreover, a robust correlation between Cu and As (","Molecules (Basel, Switzerland)","['D001151', 'D002104', 'D002857', 'D003035', 'D003300', 'D006801', 'D007854', 'D008628', 'D009532', 'D012383', 'D013054', 'D000085943', 'D014131']","['Arsenic', 'Cadmium', 'Chromium', 'Cobalt', 'Copper', 'Humans', 'Lead', 'Mercury', 'Nickel', 'Romania', 'Spectrophotometry, Atomic', 'Supermarkets', 'Trace Elements']",ICP-MS Assessment of Essential and Toxic Trace Elements in Foodstuffs with Different Geographic Origins Available in Romanian Supermarkets.,"['Q000032', 'Q000032', 'Q000032', 'Q000032', 'Q000032', None, 'Q000032', 'Q000032', 'Q000032', None, 'Q000379', None, 'Q000032']","['analysis', 'analysis', 'analysis', 'analysis', 'analysis', None, 'analysis', 'analysis', 'analysis', None, 'methods', None, 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/34885663,2022
34884943,"Chlorogenic acid (5-O-caffeoylquinic acid) is a phenolic compound from the hydroxycinnamic acid family. Epidemiological, biological, and biochemical studies concur to support the beneficial role of chlorogenic acid in human health, along with other dietary phenolic compounds. Thus, chlorogenic acid has been reported to exert inhibitory effects on carcinogenesis in the large intestine, liver, and tongue, and a protective action on oxidative stress in vivo, together with anti-inflammatory, antidiabetic and antihypertensive activities. It is also claimed to have antifungal, antibacterial and antiviral effects with relatively low toxicity and side effects, alongside properties that do not lead to antimicrobial resistance. Due to its importance, numerous methods for determining chlorogenic acid (CGA), as well as for its derivatives from coffee beans and other plants, were elaborated. The most frequently used methods are infrared spectroscopy, high performance liquid chromatography (HPLC), capillary electrophoresis, liquid chromatography-mass spectrometry and chemiluminescence. Although these methods proved to be efficient for quantifying CGA and its derived products, a number of deficiencies were identified: they are time consuming, laborious, and require expensive instruments. Therefore, electrochemical methods have been developed and used in the determination of CGA in different nutraceuticals or food products. The present review aims to present the main progresses and performance characteristics of electrochemical sensors and biosensors used to detect CGA, as it is reported in a high number of relevant scientific papers published mainly in the last decade.",International journal of molecular sciences,"['D015374', 'D002726', 'D040503', 'D055664', 'D006801', 'D010936', 'D010944']","['Biosensing Techniques', 'Chlorogenic Acid', 'Coffea', 'Electrochemical Techniques', 'Humans', 'Plant Extracts', 'Plants']",A Review on Electrochemical Sensors and Biosensors Used in Chlorogenic Acid Electroanalysis.,"['Q000379', 'Q000032', 'Q000737', None, None, 'Q000032', 'Q000737']","['methods', 'analysis', 'chemistry', None, None, 'analysis', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/34884943,2021
34792196,"Food processing can alter protein structure, modulate enzyme accessibility, and therefore the release of bioactive peptides. Thus, processing techniques, boiling, high-pressure processing (HPP), and a combination of both, were compared for their efficiency to release antioxidant peptides after alcalase hydrolysis of Great Northern Beans (GNBs). The oxygen radical absorbance capacity (ORAC) indicated that boiled hydrolysates had the highest antioxidant activity (370.9 ± 43.8 µmol TEAC/g). Mass spectrometry-based analysis suggested that di- and tri-peptide expression were significantly altered among the three treatments, and either Ile, Leu, Phe, and Arg containing peptides potentially contributed toward the enhanced antioxidant activity. Furthermore, the total phenolic content of the HPP-treated hydrolysate was higher than the other two treatments, with ferulic acid being the most prominent phenolic compound present in the bean hydrolysates. This study indicates that thermal processing such as boiling is more effective in modulating the release of antioxidant peptides. PRACTICAL APPLICATIONS: Common beans (Phaseolus vulgaris), such as Great Northern Beans (GNBs) are one of the major pulse crops in the United States. Storage proteins in beans can release peptides with biological activities after enzymatic hydrolysis. However, processing conditions can modulate the release of peptides. The present study is primarily focused on comparing the two processing methods, boiling and HPP, and their combination for the generation of peptides with potential antioxidant activity in alcalase-digested GNBs. Data from the study suggest that thermal treatment such as boiling is more effective in modulating the release of peptides from alcalase hydrolysate of GNBs with antioxidant activity. This is particularly important because over different cultures around the world, boiling is the most widely used processing method for the cooking of beans, and hence, these data also ensure that boiling is the most effective method in getting the most beneficial effects from the consumption of beans.",Journal of food biochemistry,"['D000975', 'D027805', 'D010636', 'D011492', 'D013381']","['Antioxidants', 'Phaseolus', 'Phenols', 'Protein Hydrolysates', 'Subtilisins']",Evaluating the effect of high-pressure processing in contrast to boiling on the antioxidant activity from alcalase hydrolysate of Great Northern Beans (Phaseolus vulgaris).,"['Q000494', None, None, None, None]","['pharmacology', None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34792196,2022
34684614,"Lutein is mainly supplied by dietary fruit and vegetables, and they are commonly jointly assessed in observational and interventional studies. Lutein bioavailability and health benefits depend on the food matrix. This study aimed to assess the effect of dietary intervention with lutein-rich fruit or vegetables on lutein status markers, including serum and faecal concentrations (by high pressure liquid chromatography), dietary intake (24 h recalls ×3), and macular pigment optical density (MPOD) and contrast threshold (CT) as visual outcomes. Twenty-nine healthy normolipemic subjects, aged 45-65 y, consumed 1.8 mg lutein/day supplied from fruits (14 subjects, 500 g/day of oranges, kiwi and avocados) or vegetables (15 subjects, 180 g/day of green beans, pumpkin, and sweet corn) for four weeks. Serum lutein concentration increased by 37%. The effect of the food group intervention was statistically significant for serum lutein+zeaxanthin concentration (",Nutrients,"['D015415', 'D002338', 'D004032', 'D005163', 'D005243', 'D005260', 'D005638', 'D006801', 'D014975', 'D065348', 'D008297', 'D008875', 'D025341', 'D014675', 'D065146']","['Biomarkers', 'Carotenoids', 'Diet', 'Factor Analysis, Statistical', 'Feces', 'Female', 'Fruit', 'Humans', 'Lutein', 'Macular Pigment', 'Male', 'Middle Aged', 'Principal Component Analysis', 'Vegetables', 'Zeaxanthins']","Changes in Lutein Status Markers (Serum and Faecal Concentrations, Macular Pigment) in Response to a Lutein-Rich Fruit or Vegetable (Three Pieces/Day) Dietary Intervention in Normolipemic Subjects.","['Q000097', 'Q000097', None, None, 'Q000737', None, 'Q000737', None, 'Q000097', 'Q000097', None, None, None, 'Q000737', 'Q000097']","['blood', 'blood', None, None, 'chemistry', None, 'chemistry', None, 'blood', 'blood', None, None, None, 'chemistry', 'blood']",https://www.ncbi.nlm.nih.gov/pubmed/34684614,2021
34441568,"The cocoa bean shell (CBS) is one of the main cocoa byproducts with a prospective to be used as a functional food ingredient due to its nutritional and sensory properties. This study aims to define the chemical fingerprint of CBSs obtained from cocoa beans of diverse cultivars and collected in different geographical areas of Venezuela assessed using high-performance liquid chromatography coupled to photodiodes array and mass spectrometry (HPLC-PDA-MS/MS) and spectrophotometric assays combined with multivariate analysis for classification purposes. The study provides a comprehensive fingerprint and quantitative data for 39 compounds, including methylxanthines and several polyphenols, such as flavan-3-ols, procyanidins, and ","Foods (Basel, Switzerland)",[],[],Characterization and Classification of Cocoa Bean Shells from Different Regions of Venezuela Using HPLC-PDA-MS/MS and Spectrophotometric Techniques Coupled to Chemometric Analysis.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/34441568,2021
34391100,"Multiresidue quantitative and qualitative screening method for the analysis of pesticide residues in dried cocoa beans was validated and applied to imported and domestic cocoa beans samples. The quantitative method comprises of 15 pesticides while the screening method covers 110 pesticides of different chemical classes. The method was based on modified QuEChERS (Quick Easy Cheap Efficient Rugged Safe) extraction and detection using triple quadrupole (QQQ-MS) and ion mobility quadrupole time of flight mass spectrometry (IMS-QTOF). The method was quantitatively validated in terms of linearity, limit of quantification (LOQ), specificity, selectivity, accuracy, and precision. On the other hand, screening detection limits were established for 110 pesticides. Finally, the optimized strategy was successfully applied for the routine analysis of pesticide residues in 137 cocoa bean samples and 32% of the total samples were found positive for ametryn, chlorpyrifos, isoprocarb, and metalaxyl.",Food chemistry,"['D004390', 'D008401', 'D057230', 'D010573', 'D010575', 'D052616']","['Chlorpyrifos', 'Gas Chromatography-Mass Spectrometry', 'Limit of Detection', 'Pesticide Residues', 'Pesticides', 'Solid Phase Extraction']",Comprehensive strategy for pesticide residue analysis in cocoa beans through qualitative and quantitative approach.,"[None, None, None, 'Q000032', None, None]","[None, None, None, 'analysis', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34391100,2021
34388232,"The wide application of nano-particles (NPs) has raised a serious concern over their impact on plants. However, evaluation of the effects of NPs on plant metabolism by direct detection of chemicals inside solid tissues presents a challenge. In this study, we report on a direct ionization method in mass spectrometry, internal extractive electrospray ionization (iEESI), for the direct evaluation of phytotoxicity of three different NPs (including CdTe quantum dots (CdTe QDs), gold nano-particles (Au NPs), and silver nano-particles (Ag NPs)) both on surfaces and inside solid tissues from the mung bean seeds (",The Analyst,"['D019187', 'D045663', 'D021241', 'D013691', 'D000070658']","['Cadmium Compounds', 'Quantum Dots', 'Spectrometry, Mass, Electrospray Ionization', 'Tellurium', 'Vigna']",Evaluation of the phytotoxicity of nano-particles on mung beans by internal extractive electrospray ionization mass spectrometry.,"[None, 'Q000633', None, None, None]","[None, 'toxicity', None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34388232,2021
34201792,"Pulse crop seed coats are a sustainable source of antioxidant polyphenols, but are typically treated as low-value products, partly because some polyphenols reduce iron bioavailability in humans. This study correlates antioxidant/iron chelation capabilities of diverse seed coat types from five major pulse crops (common bean, lentil, pea, chickpea and faba bean) with polyphenol composition using mass spectrometry. Untargeted metabolomics was used to identify key differences and a hierarchical analysis revealed that common beans had the most diverse polyphenol profiles among these pulse crops. The highest antioxidant capacities were found in seed coats of black bean and all tannin lentils, followed by maple pea, however, tannin lentils showed much lower iron chelation among these seed coats. Thus, tannin lentils are more desirable sources as natural antioxidants in food applications, whereas black bean and maple pea are more suitable sources for industrial applications. Regardless of pulse crop, proanthocyanidins were primary contributors to antioxidant capacity, and to a lesser extent, anthocyanins and flavan-3-ols, whereas glycosylated flavonols contributed minimally. Higher iron chelation was primarily attributed to proanthocyanidin composition, and also myricetin 3-","Molecules (Basel, Switzerland)","['D000975', 'D044946', 'D001682', 'D002392', 'D029863', 'D000078331', 'D005419', 'D044948', 'D020128', 'D007502', 'D027806', 'D013058', 'D055432', 'D010636', 'D059808', 'D044945', 'D012639', 'D013634', 'D031307']","['Antioxidants', 'Biflavonoids', 'Biological Availability', 'Catechin', 'Cicer', 'Correlation of Data', 'Flavonoids', 'Flavonols', 'Inhibitory Concentration 50', 'Iron Chelating Agents', 'Lens Plant', 'Mass Spectrometry', 'Metabolomics', 'Phenols', 'Polyphenols', 'Proanthocyanidins', 'Seeds', 'Tannins', 'Vicia faba']",An Untargeted Metabolomics Approach for Correlating Pulse Crop Seed Coat Polyphenol Profiles with Antioxidant Capacity and Iron Chelation Ability.,"['Q000032', 'Q000032', None, 'Q000032', 'Q000737', None, 'Q000032', 'Q000032', None, 'Q000737', 'Q000737', None, 'Q000379', 'Q000032', 'Q000032', 'Q000032', 'Q000737', 'Q000032', 'Q000737']","['analysis', 'analysis', None, 'analysis', 'chemistry', None, 'analysis', 'analysis', None, 'chemistry', 'chemistry', None, 'methods', 'analysis', 'analysis', 'analysis', 'chemistry', 'analysis', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/34201792,2021
