PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
35314979,"Carnosine is a naturally occurring dipeptide and a functional component in foods, while also showing health-promoting effects. Generally, food-derived carnosine is quantified via high-performance liquid chromatography (HPLC). We have developed a method for quantifying carnosine in foods using microbial enzymes, β-Ala-Xaa dipeptidase (BapA) and histidine ammonia-lyase (HAL). The carnosine concentrations in extracts of chicken, pork, beef, bonito, and tuna were determined via both HPLC and enzymatic determination. The carnosine contents measured via enzymatic determination were in agreement with those determined via conventional HPLC analysis. Relative standard-deviation values of the conventional HPLC method and the enzymatic determination of carnosine in foods were 0.728-5.76% and 0.504-4.58%, respectively. The recovery of carnosine in food extracts via enzymatic determination was 97-103%. Therefore, the developed enzymatic determination technique using BapA and HAL can be used for the determination of carnosine in meats and fishes with comparable accuracy to that of conventional HPLC analysis.",Analytical sciences : the international journal of the Japan Society for Analytical Chemistry,"['D000818', 'D002336', 'D002417', 'D004150', 'D005399', 'D006638', 'D008460', 'D016958']","['Animals', 'Carnosine', 'Cattle', 'Dipeptidases', 'Fishes', 'Histidine Ammonia-Lyase', 'Meat', 'Pseudomonas putida']",Enzymatic determination of carnosine in meat and fish using β-Ala-Xaa dipeptidase and histidine ammonia-lyase derived from Pseudomonas putida NBRC100650.,"[None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/35314979,2022
35106614,"Analysis of the dipicolinic acid (DPA) released from Clostridium botulinum spores during thermal processing is crucial to obtaining a mechanistic understanding of the factors involved in spore heat resistance and related food safety applications. Here, we developed a novel mixed-mode liquid chromatography-tandem mass spectrometry (LC-MS/MS) method for detection of the DPA released from C. botulinum type A, nonproteolytic types B and F strains, and nonpathogenic surrogate Clostridium sporogenes PA3679 spores. DPA was retained on a mixed-mode C18/anion exchange column and was detected using electrospray ionization (ESI) positive mode within a 4-min analysis time. The intraday and interday precision (%CV) was 1.94-3.46% and 4.04-8.28%, respectively. Matrix effects were minimal across proteolytic type A Giorgio-A, nonproteolytic types QC-B and 202-F, and C. sporogenes PA3679 spore suspensions (90.1-114% of spiked DPA concentrations). DPA recovery in carrot juice and beef broth ranged from 105 to 118%, indicating limited matrix effects of these food products. Experiments that assessed the DPA released from Giorgio-A spores over the course of a 5-min thermal treatment at 108 °C found a significant correlation (R = 0.907; P < 0.05) between the log reduction of spores and amount of DPA released. This mixed-mode LC-MS/MS method provides a means for rapid detection of DPA released from C. botulinum spores during thermal processing and has the potential to be used for experiments in the field of food safety that assess the thermal resistance characteristics of various C. botulinum spore types.",Analytical and bioanalytical chemistry,[],[],Rapid detection and quantitation of dipicolinic acid from Clostridium botulinum spores using mixed-mode liquid chromatography-tandem mass spectrometry.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35106614,2022
34985214,"Chlorpropham is a plant growth regulator and a herbicide. It is commonly used in the post-harvest treatment of potato to inhibit germination. It can also be used for flower thinning and fruit thinning of fruit trees, and for controlling annual gramineous weeds and a few broad-leaved weeds. Improper or excessive use of chlorpropham in crop cultivation will affect the safety of animal-derived food and impair human health through the food chain and water cycle. Therefore, accurate quantification of chlorpropham is imperative for risk assessment and mitigating risks to food safety. A method based on solid phase extraction and ultra-high performance liquid chromatography-tandem mass spectrometry (SPE-UHPLC-MS/MS) was established for the determination of chlorpropham in animal-derived food. First, the pretreatment conditions were optimized. To purify the samples and remove impurities, SPE column cartridges with different packing materials such as PXC, PXA, Florisil, and PLS were investigated. Based on the retention of chlorpropham, the ProElut PLS SPE column was selected as the pretreatment purification column. The washing solution and eluents were then optimized. When water was used as the washing solution, chlorpropham remained adsorbed on the SPE column and was not eluted along with other water-soluble substances. When the proportion of acetonitrile exceeded 40%, chlorpropham adsorbed on the filler of the SPE column could be gradually washed down. Acetonitrile-water solution(30∶70, v/v) was used for washing the SPE column. The elution ability of seven eluents for chlorpropham on the SPE column was then investigated. Among them, pure methanol, pure acetonitrile, and 1% (v/v) formic acid-methanol showed better elution effect. Considering that acetonitrile was used in the sample extraction, it was chosen as the mobile phase eluent. Subsequently, the chromatographic conditions and MS parameters were optimized. By examining the ionization cracking of chlorpropham, the quasimolecular ions and corresponding fragmentations in the chlorpropham primary MS were determined. The separation effect of three C18 columns was investigated. Based on the retention ability and peak effect of chlorpropham on the column, the Agilent ZORBAX SB-C18 (150 mm×2.1 mm, 5 μm) column was used for chlorpropham separation. The response of chlorpropham in the positive and negative ionization modes was investigated and optimized. The results showed that the response was better in the positive ion mode than that in the negative ion mode. After optimizing the chromatographic conditions and MS parameters, the sensitivity of the method was improved. Finally, the analytes were separated on the Agilent ZORBAX SB-C18 (150 mm×2.1 mm, 5 μm) under a gradient elution program using acetonitrile and 0.2% (v/v) formic acid aqueous solution as the mobile phases. The analytes were detected in the multiple reaction monitoring (MRM) mode under positive electrospray ionization (ESI",Se pu = Chinese journal of chromatography,"['D000818', 'D002417', 'D002748', 'D002851', 'D006801', 'D008892', 'D052616', 'D053719']","['Animals', 'Cattle', 'Chlorpropham', 'Chromatography, High Pressure Liquid', 'Humans', 'Milk', 'Solid Phase Extraction', 'Tandem Mass Spectrometry']",[Determination of chlorpropham residues in animal-derived foods by solid phase extraction and ultra-high performance liquid chromatography-tandem mass spectrometry].,"[None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34985214,2022
34865786,"N,N-dimethylpiperidinium (mepiquat) is an important food contaminant formed from natural ingredients during thermal processing. In this study, mepiquat formation in meat (pork and beef) and vegetables (potatoes and broccoli) was investigated via HPLC-MS/MS; the investigated cooking methods were oven baking, pan cooking, deep frying, and microwaving. The results showed that, among all foods, oven-baked potatoes showed the highest mepiquat level of 1064 μg/kg, which appeared after 20 min at 240 °C. The residual rates of mepiquat precursors, pipecolic acid (PipAc), betaine, choline, and trigonelline, were determined in oven-baked potatoes to investigate their correlation with mepiquat formation. The PipAc levels reduced by 99.8% at 260 °C after 30 min of oven baking, exhibiting a significantly high decomposition rate. Therefore, PipAc could be used as a marker of quality for the detection of mepiquat in thermally processed foodstuffs.","Food research international (Ottawa, Ont.)","['D000818', 'D002417', 'D006358', 'D008460', 'D010880', 'D053719', 'D000067075']","['Animals', 'Cattle', 'Hot Temperature', 'Meat', 'Piperidines', 'Tandem Mass Spectrometry', 'Vegetable Products']","Effects of thermal processing on N,N-dimethylpiperidinium (mepiquat) formation in meat and vegetable products.","[None, None, None, None, None, None, None]","[None, None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34865786,2021
34677016,"As among the most widely used pesticides in agriculture, plant growth regulators (PGRs) have a positive influence on plants. However, the overuse of PGRs may induce toxicity in food and even be hazardous to human health. Numerous studies have investigated the presence and residues of PGRs on vegetables and fruits. Animal-derived foods are one of the most dominant food sources providing nutrients to fulfil the daily dietary intake, and could also be potentially contaminated by PGRs. However, there is little information on PGR residues in animal-derived foods. Standardization also lacks among the techniques for PGR determination in animal-derived foods, thereby restricting the further establishment of pesticide usage and food safety regulations. Therefore, in this study, a rapid and effective method for analyzing chlormequat chloride, thidiazuron, and paclobutrazol in animal-derived food samples was established. The method primarily involves high performance liquid chromatography-tandem mass spectrometry combined with the use of isotope-labeled internal standards. The extraction and clean-up procedures were based on the QuEChERS method. The analytes were extracted from pork, beef, chicken, pork liver, egg, and milk samples using acetonitrile, followed by 4 g anhydrous magnesium sulfate (MgSO",Se pu = Chinese journal of chromatography,"['D000818', 'D002417', 'D002851', 'D006801', 'D007554', 'D010937', 'D012015', 'D052616', 'D053719']","['Animals', 'Cattle', 'Chromatography, High Pressure Liquid', 'Humans', 'Isotopes', 'Plant Growth Regulators', 'Reference Standards', 'Solid Phase Extraction', 'Tandem Mass Spectrometry']",[Determination of plant growth regulators in animal-derived foods using QuEChERS-isotope-labeled internal standards with high performance liquid chromatography-tandem mass spectrometry].,"[None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34677016,2021
34146412,"The antioxidant peptides extracted from plants or animals have shown great potential in preventing food quality deterioration caused by oxidization. Here, peptide fractions obtained from hairtail surimi hydrolysates (HSH) were investigated for structure and color-protective effect. The results showed the <3 kDa fraction obtained from HSH by ultrafiltration could be separated into five major fractions (A-E) by gel chromatography, among which fraction A possessed the highest antioxidant activities. This fraction A could be further separated into two fractions (A",Journal of food science,"['D000818', 'D000975', 'D002417', 'D005396', 'D005399', 'D005519', 'D008460', 'D010084', 'D010446', 'D011492']","['Animals', 'Antioxidants', 'Cattle', 'Fish Products', 'Fishes', 'Food Preservation', 'Meat', 'Oxidation-Reduction', 'Peptide Fragments', 'Protein Hydrolysates']",Purification and characterization of antioxidant peptides from hairtail surimi hydrolysates and their effects on beef color stability.,"[None, 'Q000737', None, 'Q000032', 'Q000378', 'Q000379', 'Q000032', None, 'Q000737', 'Q000737']","[None, 'chemistry', None, 'analysis', 'metabolism', 'methods', 'analysis', None, 'chemistry', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/34146412,2021
33920266,"β-Phenylethylamine hydrochloride (PEA-HCl) and ethyl acetoacetate (EAA) are anti-microbials with applications in food processing. As food anti-microbials, the compounds will have to withstand the cooking process without changing to toxic compounds. With this Communication, we address the question of whether PEA and EAA are altered when heated to 73.9 °C or 93.3 °C. A combination of gas chromatography and mass spectrometry was used to analyze solutions of PEA(-HCl) or EAA in beef broth or water. In addition, the anti-microbial activity of PEA-HCl and EAA was compared between heated and unheated samples at a range of concentrations. The gas chromatograms of PEA(-HCl) and EAA showed one peak at early retention times that did not differ between the heated and unheated samples. The mass spectra for PEA and EAA were near identical to those from a spectral database and did not show any differences between the heated and unheated samples. We conclude that PEA(-HCl) and EAA formed pure solutions and were not altered during the heating process. In addition, the anti-microbial activity of PEA-HCl and EAA did not change after the heating of the compounds. Regardless of temperature, the minimal inhibitory concentrations (MICs) for PEA-HCl were 20.75 mmol mL","Antibiotics (Basel, Switzerland)",[],[],The Food Anti-Microbials β-Phenylethylamine (-HCl) and Ethyl Acetoacetate Do Not Change during the Heating Process.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/33920266,2021
33719440,"Food authenticity and safety are major public concerns due to the increasing number of food fraud cases. Meat fraud is an economically motivated practice of covertly replacing one type of meat with a cheaper alternative raising health, safety, and ethical concerns for consumers. In this study, we implement the MasSpec Pen technology for rapid and direct meat analysis and authentication. The MasSpec Pen is an easy-to-use handheld device connected to a mass spectrometer that employs a solvent droplet for gentle chemical analysis of samples. Here, MasSpec Pen analysis was performed directly on several meat and fish types including grain-fed beef, grass-fed beef, venison, cod, halibut, Atlantic salmon, sockeye salmon, and steelhead trout, with a total analysis time of 15 s per sample. Statistical models developed with the Lasso method using a training set of samples yielded per-sample accuracies of 95% for the beef model, 100% for the beef versus venison model, and 84% for the multiclass fish model. Predictors of meat type selected included several molecules previously reported in the skeletal muscles of animals, including carnosine, anserine, succinic acid, xanthine, and taurine. When testing the models on independent test sets of samples, per-sample accuracies of 100% were achieved for all models, demonstrating the robustness of our method for unadulterated meat authentication. MasSpec Pen feasibility testing for classifying venison and grass-fed beef samples adulterated with grain-fed beef achieved per-sample prediction accuracies of 100% for both classifiers using test sets of samples. Altogether, the results obtained in this study provide compelling evidence that the MasSpec Pen technology is a powerful alternative analytical method for meat analysis and investigation of meat fraud.",Journal of agricultural and food chemistry,"['D000818', 'D002417', 'D002523', 'D013058', 'D008460', 'D012474', 'D013672']","['Animals', 'Cattle', 'Edible Grain', 'Mass Spectrometry', 'Meat', 'Salmon', 'Technology']",Rapid Analysis and Authentication of Meat Using the MasSpec Pen Technology.,"[None, None, None, None, 'Q000032', None, None]","[None, None, None, None, 'analysis', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/33719440,2021
33647618,"Analytical methods were validated for the evaluation of acetaldehyde and formaldehyde, which are harmful chemicals, using solid-phase microextraction-gas chromatography/mass spectrometry in four different matrices. Typical home-cooking methods including boiling, pan-frying, and stir-frying, were applied to beef, rapeseed oil, canned pork ham, egg, and rice wine. In addition, monosaccharides, disaccharides, alanine, and glycine were heated for the formation of both aldehydes. All validation parameters, including accuracy, precision, limit of detection, limit of quantification, and uncertainty, for four different matrices were within recommended ranges, confirming the validity of the current method. Acetaldehyde contents ranged from undetectable to 17.92 μg/g and formaldehyde contents ranged from undetectable to 0.27 μg/g. Generally, boiling decreased both aldehydes except acetaldehyde in egg. Pan- and stir-frying increased both aldehyde content substantially in rapeseed oil whereas pan-frying increased acetaldehyde content in canned pork ham and egg. Fructose and sucrose produced higher content of both aldehydes than maltose and glucose when heated. Depending on food type, the cooking process had slightly different effects on the contents of acetaldehyde and formaldehyde.",Journal of hazardous materials,"['D000079', 'D000447', 'D000818', 'D002417', 'D003296', 'D005557', 'D008401']","['Acetaldehyde', 'Aldehydes', 'Animals', 'Cattle', 'Cooking', 'Formaldehyde', 'Gas Chromatography-Mass Spectrometry']",Changes in acetaldehyde and formaldehyde contents in foods depending on the typical home cooking methods.,"[None, 'Q000032', None, None, None, None, None]","[None, 'analysis', None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/33647618,2021
33598948,"As a persistent organic pollutant, pentachlorophenol (PCP) has serious impacts on human health. However, its presence in animal source food products sold in the Guangdong Province (GD) of China, and the resultant dietary exposure have not been elucidated. To address this gap, 3,100 samples from seven food categories, including beef, pork, mutton, offals, broilers, hen eggs, and farmed freshwater fish, marketed throughout four geographical regions of GD, were collected from 2015 to 2018. Gas chromatography coupled with mass spectrometry was employed to detect PCP levels in these food matrices. PCP was found in all food categories, but the average contamination levels were low, ranging from 0.40 µg/kg wet weight (ww) (hen eggs) to 5.85 µg/kg ww (offals). However, higher concentrations of PCP were detected (P < 0.05) in animal source food from the North region. Additionally, a temporal declining trend was observed in this four-year consecutive survey. The estimated human dietary exposure of PCP to population groups, including the general population and subgroups (male and female, children, and adults), was found to be far below the permissible daily intake (3 µg/kg body weight). Therefore, the health impacts of PCP should be correspondingly low for local residents, based on current toxicological knowledge. Regional exposure patterns varied due to different extents of contamination in the four areas, and pork, broilers, and freshwater fish were the major sources of dietary PCP exposure. PRACTICAL APPLICATION: As a persistent organic pollutant, pentachlorophenol (PCP) has serious impacts on human health. However, its presence in animal source food products sold in Guangdong Province of China, and the resultant dietary exposure have not been elucidated. In this study, we conducted an in-depth investigation on the occurrence of PCP in major foodstuff categories, including beef, pork, mutton, broilers, offals, hen eggs, and farmed freshwater fish, marketed in all 21 prefecture-level divisions of Guangdong Province, in order to provide integral insights for regulatory authorities.",Journal of food science,"['D000328', 'D000818', 'D002648', 'D002681', 'D000074341', 'D005260', 'D005399', 'D005504', 'D005506', 'D006801', 'D058751', 'D008297', 'D008460', 'D010416', 'D011200', 'D018570']","['Adult', 'Animals', 'Child', 'China', 'Dietary Exposure', 'Female', 'Fishes', 'Food Analysis', 'Food Contamination', 'Humans', 'Livestock', 'Male', 'Meat', 'Pentachlorophenol', 'Poultry', 'Risk Assessment']","Occurrence and dietary exposure assessment of pentachlorophenol in livestock, poultry, and aquatic foods marketed in Guangdong Province, China: Based on food monitoring data from 2015 to 2018.","[None, None, None, None, 'Q000009', None, 'Q000378', None, 'Q000032', None, 'Q000378', None, 'Q000032', 'Q000009', 'Q000378', 'Q000379']","[None, None, None, None, 'adverse effects', None, 'metabolism', None, 'analysis', None, 'metabolism', None, 'analysis', 'adverse effects', 'metabolism', 'methods']",https://www.ncbi.nlm.nih.gov/pubmed/33598948,2021
