PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
35152015,"The utilization of rapeseed meal in food is limited due to its abundant glucosinolates (GLs). In this study, an LC-MS/MS method for GLs determination in rapeseed meal was developed. Then, the degradation of GLs using rapeseed sprouts derived myrosinase (MYR) was investigated. Results showed that 11 kinds of GLs were identified in rapeseed meal. The LC-MS/MS method had a high linearity (R",Food chemistry,"['D029688', 'D002853', 'D005961', 'D006026', 'D053719']","['Brassica napus', 'Chromatography, Liquid', 'Glucosinolates', 'Glycoside Hydrolases', 'Tandem Mass Spectrometry']",Determination of glucosinolates in rapeseed meal and their degradation by myrosinase from rapeseed sprouts.,"['Q000378', None, 'Q000378', None, None]","['metabolism', None, 'metabolism', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/35152015,2022
34833884,"Rapeseed meal (RSM), a by-product of oilseed extraction connected to the agri-food and biofuel sectors, is currently used as animal feed and for other low-value purposes. With a biorefinery approach, RSM could be valorized as a source of bio-based molecules for high-value applications. This study provides a chemical characterization of RSM in the perspective of its valorization. A qualitative study of main functional groups by fourier transform infrared (FTIR) spectroscopy was integrated with a chemical characterization of macronutrients, minerals by inductively coupled plasma optical emission spectrometry (ICP-OES), phenolic acids and lipid components by high performance liquid chromatography-tandem mass spectrometry (HPLC-MS/MS), HPLC-diode-array detector (HPLC-DAD) and gas chromatography-mass spectrometry/flame ionization detector (GC-MS/FID). The study, conducted on different lots of RSM collected over a one-year period from an oil pressing factory serving a biofuel biorefinery, highlighted a constant quality over time of RSM, characterized by high protein (31-34%), fiber (33-40%) and mineral (5.5-6.8%) contents. Polyphenol extracts showed a significant antioxidant activity and a prevalence of sinapic acid, accounting for more than 85% of total phenolic acids (395-437 mg kg","Molecules (Basel, Switzerland)","['D000821', 'D000975', 'D056804', 'D029688', 'D008401', 'D007220', 'D008903', 'D017550', 'D053719', 'D018505', 'D014866']","['Animal Feed', 'Antioxidants', 'Biofuels', 'Brassica napus', 'Gas Chromatography-Mass Spectrometry', 'Industrial Waste', 'Minerals', 'Spectroscopy, Fourier Transform Infrared', 'Tandem Mass Spectrometry', 'Waste Management', 'Waste Products']",Valorization Potentials of Rapeseed Meal in a Biorefinery Perspective: Focus on Nutritional and Bioactive Components.,"['Q000032', 'Q000737', 'Q000032', 'Q000737', 'Q000379', 'Q000032', 'Q000737', 'Q000379', 'Q000379', 'Q000379', 'Q000032']","['analysis', 'chemistry', 'analysis', 'chemistry', 'methods', 'analysis', 'chemistry', 'methods', 'methods', 'methods', 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/34833884,2021
34812004,"Carbamate pesticides are a class of synthetic pesticides having wide antimicrobial spectrum, good insecticidal efficacy, and a short residual period. These pesticides are used in agriculture, forestry, and animal husbandry. Their widespread use in the last two decades has led to the existence of drug residues in the environment, which are transferred to food, thereby raising concerns regarding the potential threat to human health. Rapid and accurate detection of carbamate pesticide residues in food is of great significance for food safety, and this requires pretreatment to purify the target components and maximize the accuracy and precision of the analysis. A rapid and accurate analytical method based on online solid phase extraction/purification-high performance liquid chromatography-tandem mass spectrometry (online SPE-HPLC-MS/MS) was established for the determination of eight carbamate pesticides in tomato, rice, and cabbage. About 5.0 g of tomato (without water), 2.0 g of cabbage, and 2.0 g of rice (mixed with 3 mL of water) were vortexed at 1000 r/min for 1 min. After adding 2 g of sodium chloride and 10 mL of acetonitrile containing 0.5% (v/v) formic acid, the samples were extracted and centrifuged. The supernatants were combined after the samples were extracted again. The reconstituted solutions were then purified on a CAPCELL PAK C",Se pu = Chinese journal of chromatography,"['D000818', 'D001937', 'D002219', 'D002851', 'D005506', 'D006801', 'D018551', 'D012275', 'D010573', 'D015203', 'D052616', 'D053719']","['Animals', 'Brassica', 'Carbamates', 'Chromatography, High Pressure Liquid', 'Food Contamination', 'Humans', 'Lycopersicon esculentum', 'Oryza', 'Pesticide Residues', 'Reproducibility of Results', 'Solid Phase Extraction', 'Tandem Mass Spectrometry']","[Simultaneous determination of eight carbamate pesticide residues in tomato, rice, and cabbage by online solid phase extraction/purification-high performance liquid chromatography-tandem mass spectrometry].","[None, None, None, None, 'Q000032', None, None, None, 'Q000032', None, None, None]","[None, None, None, None, 'analysis', None, None, None, 'analysis', None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34812004,2021
34770902,"Multiple insecticides' residues after the mixed application of several neonicotinoids cause combined pollution and bring new challenges to food safety and pest control during agricultural production. In this study, three neonicotinoid insecticides, namely imidacloprid (IMI), acetamiprid (ACE), and thiamethoxam (TMX), were mixed and evenly sprayed on ","Molecules (Basel, Switzerland)","['D001937', 'D002851', 'D007306', 'D008956', 'D000073943', 'D009928', 'D064209', 'D010936']","['Brassica', 'Chromatography, High Pressure Liquid', 'Insecticides', 'Models, Chemical', 'Neonicotinoids', 'Organ Specificity', 'Phytochemicals', 'Plant Extracts']",Study on the Dynamic Difference between Single and Mixed Residues of Three Neonicotinoids in ,"['Q000737', None, 'Q000737', None, 'Q000737', None, 'Q000737', 'Q000737']","['chemistry', None, 'chemistry', None, 'chemistry', None, 'chemistry', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/34770902,2021
34339994,"The biosynthesis of polyphenolic compounds in cabbage waste, outer green leaves of white head cabbage (Brassica oleracea L. var. capitata subvar. alba), was stimulated by postharvest irradiation with UVB lamps or sunlight. Both treatments boosted the content of kaempferol and quercetin glycosides, especially in the basal leaf zone, as determined by the HPLC analysis of leaf extracts and by a non-destructive optical sensor. The destructive analysis of samples irradiated by the sun for 6 days at the end of October 2015 in Skierniewice (Poland) showed an increase of leaf flavonols by 82% with respect to controls. The treatment by a broadband UVB fluorescent lamp, with irradiance of 0.38 W m","Journal of photochemistry and photobiology. B, Biology","['D001937', 'D002734', 'D002851', 'D044948', 'D061353', 'D008027', 'D018515', 'D013050', 'D014466']","['Brassica', 'Chlorophyll', 'Chromatography, High Pressure Liquid', 'Flavonols', 'Food Storage', 'Light', 'Plant Leaves', 'Spectrometry, Fluorescence', 'Ultraviolet Rays']",Valorization of waste cabbage leaves by postharvest photochemical treatments monitored with a non-destructive fluorescence-based sensor.,"['Q000737', 'Q000737', None, 'Q000032', None, None, 'Q000737', None, None]","['chemistry', 'chemistry', None, 'analysis', None, None, 'chemistry', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34339994,2021
34227311,"An analytical method for the simultaneous rapid screening and accurate confirmation of 415 pesticide residues in red cabbages was established using liquid chromatography-quadrupole-time of flight-mass spectrometry (LC-QTOF/MS) with single acquisition. In the established method, the pesticides in red cabbage were extracted using acetonitrile-acetic acid (99∶1, v/v) and salted-out using anhydrous magnesium sulfate and sodium chloride. The resultant solution was then cleaned-up by automatic solid phase extraction using a Carbon/NH",Se pu = Chinese journal of chromatography,"['D001937', 'D002853', 'D005506', 'D010573', 'D053719']","['Brassica', 'Chromatography, Liquid', 'Food Contamination', 'Pesticide Residues', 'Tandem Mass Spectrometry']",[Rapid screening and confirmation of 415 pesticide residues in red cabbages by liquid chromatography-quadrupole-time of flight-mass spectrometry].,"['Q000737', None, 'Q000032', 'Q000032', None]","['chemistry', None, 'analysis', 'analysis', None]",https://www.ncbi.nlm.nih.gov/pubmed/34227311,2021
34227143,"Cyantraniliprole is an anthranilic diamide insecticide used for the effective management of diamondback moth in cabbage. Dietary risk assessment of pesticides in food is a major concern now. This study developed a QuEChERS/HPLC-PDA-based highly efficient and reliable method, registering 89.80-100.11% recoveries of cyantraniliprole and its metabolite IN-J9Z38 from cabbage and soil with a relative standard deviation of 0.43-5.77%. Field experiment was conducted to study the residue dissipation of cyantraniliprole in cabbage and soil. Two foliar treatments of 10.26% formulation (Benevia) at 60 (T",Biomedical chromatography : BMC,"['D001937', 'D002851', 'D004032', 'D006801', 'D007306', 'D008954', 'D010573', 'D011720', 'D018570', 'D012989', 'D062367']","['Brassica', 'Chromatography, High Pressure Liquid', 'Diet', 'Humans', 'Insecticides', 'Models, Biological', 'Pesticide Residues', 'Pyrazoles', 'Risk Assessment', 'Soil Pollutants', 'ortho-Aminobenzoates']",Quantification of field-incurred residues of cyantraniliprole and IN-J9Z38 in cabbage/soil using QuEChERS/HPLC-PDA and dietary risk assessment.,"['Q000737', 'Q000379', None, None, 'Q000032', None, 'Q000032', 'Q000032', None, 'Q000032', 'Q000032']","['chemistry', 'methods', None, None, 'analysis', None, 'analysis', 'analysis', None, 'analysis', 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/34227143,2022
33984445,"Clubroot disease, caused by Plasmodiophora brassicae infection, occurs in cruciferous vegetable crops in many areas of the world, sometimes leading to yield loss. In this study, a differentially expressed protein (0305), was found between control and clubroot-diseased Chinese cabbage (Brassica rapa L.) roots through two-dimensional electrophoresis. Mass spectrometry analysis showed that Bra003466 was highly matched to protein 0305. Because the sequence of Bra003466 had 89% percent identity with ATG6 of Arabidopsis thaliana and other Brassica, the gene was named as BrATG6. However, 790 bp sequences were mismatched with the cDNA sequence of the Bra003466 gene from the Brassica database. In this study, we cloned the cDNA of Bra003466 and found the BrATG6 was highly expressed in roots among all organs. When plants were inoculated with P. brassicae Woronin, the expression of BrATG6 was significantly increased in infected roots of Chinese cabbage. This result was verified by reverse transcription-qPCR and in situ hybridization. Examination of disease resistance showed that, compared with wild type plants, A. thaliana ATG6 deletion mutants were more easily infected by P. brassicae than WT. This shows that BrATG6 may play a potential role in the resistance of B. rapa to P. brassicae infection.",Gene,"['D000595', 'D017360', 'D000071186', 'D001937', 'D029741', 'D060467', 'D017343', 'D010935', 'D018517', 'D056909', 'D011528']","['Amino Acid Sequence', 'Arabidopsis', 'Beclin-1', 'Brassica', 'Brassica rapa', 'Disease Resistance', 'Genes, Plant', 'Plant Diseases', 'Plant Roots', 'Plasmodiophorida', 'Protozoan Infections']",Discovery of BrATG6 and its potential role in Brassica rapa L. resistance to infection by Plasmodiophora brassicae.,"['Q000235', 'Q000235', 'Q000235', 'Q000235', 'Q000235', 'Q000235', 'Q000235', 'Q000235', 'Q000235', 'Q000235', 'Q000235']","['genetics', 'genetics', 'genetics', 'genetics', 'genetics', 'genetics', 'genetics', 'genetics', 'genetics', 'genetics', 'genetics']",https://www.ncbi.nlm.nih.gov/pubmed/33984445,2021
33925312,"Red cabbage (RC) and purple sweet potato (PSP) are naturally rich in acylated cyanidin glycosides that can bind metal ions and develop intramolecular π-stacking interactions between the cyanidin chromophore and the phenolic acyl residues. In this work, a large set of RC and PSP anthocyanins was investigated for its coloring properties in the presence of iron and aluminum ions. Although relatively modest, the structural differences between RC and PSP anthocyanins, i.e., the acylation site at the external glucose of the sophorosyl moiety (C2-OH for RC vs. C6-OH for PSP) and the presence of coordinating acyl groups (caffeoyl) in PSP anthocyanins only, made a large difference in the color expressed by their metal complexes. For instance, the Al",International journal of molecular sciences,"['D000215', 'D000535', 'D000872', 'D001937', 'D002614', 'D002851', 'D003116', 'D005505', 'D006863', 'D007477', 'D027723', 'D007501', 'D007700', 'D008670', 'D010636', 'D010860', 'D010936']","['Acylation', 'Aluminum', 'Anthocyanins', 'Brassica', 'Chelating Agents', 'Chromatography, High Pressure Liquid', 'Color', 'Food Coloring Agents', 'Hydrogen-Ion Concentration', 'Ions', 'Ipomoea batatas', 'Iron', 'Kinetics', 'Metals', 'Phenols', 'Pigments, Biological', 'Plant Extracts']",Acylated Anthocyanins from Red Cabbage and Purple Sweet Potato Can Bind Metal Ions and Produce Stable Blue Colors.,"[None, 'Q000737', 'Q000737', 'Q000737', 'Q000378', 'Q000379', None, None, None, 'Q000378', 'Q000737', 'Q000737', None, 'Q000378', 'Q000378', 'Q000737', 'Q000737']","[None, 'chemistry', 'chemistry', 'chemistry', 'metabolism', 'methods', None, None, None, 'metabolism', 'chemistry', 'chemistry', None, 'metabolism', 'metabolism', 'chemistry', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/33925312,2021
33915910,"Nutraceuticals and functional foods are gaining more attention amongst consumers interested in nutritious food. The consumption of foodstuffs with a high content of phytochemicals has been proven to provide various health benefits. The application of biostimulants is a potential strategy to fortify cultivated plants with beneficial bioactive compounds. Nevertheless, it has not yet been established whether the proposed higher plants (St. John's wort, giant goldenrod, common dandelion, red clover, nettle, and valerian) are appropriate for the production of potential bio-products enhancing the nutritional value of white cabbage. Therefore, this research examines the impact of botanical extracts on the growth and nutritional quality of cabbage grown under field conditions. Two extraction methods were used for the production of water-based bio-products, namely: ultrasound-assisted extraction and mechanical homogenisation. Bio-products were applied as foliar sprays to evaluate their impact on total yield, dry weight, photosynthetic pigments, polyphenols, antioxidant activity, vitamin C, nitrates, micro- and macroelements, volatile compounds, fatty acids, sterols, and sugars. Botanical extracts showed different effects on the examined parameters. The best results in terms of physiological and biochemical properties of cabbage were obtained for extracts from common dandelion, valerian, nettle, and giant goldenrod. When enriched with nutrients, vegetables can constitute a valuable component of functional food.","Molecules (Basel, Switzerland)","['D001937', 'D002853', 'D019587', 'D063427', 'D055951', 'D008401', 'D000078622', 'D009753', 'D010788', 'D064209', 'D010936', 'D010945', 'D019655']","['Brassica', 'Chromatography, Liquid', 'Dietary Supplements', 'Food Quality', 'Functional Food', 'Gas Chromatography-Mass Spectrometry', 'Nutrients', 'Nutritive Value', 'Photosynthesis', 'Phytochemicals', 'Plant Extracts', 'Plants, Edible', 'Quantitative Trait, Heritable']",Effect of Botanical Extracts on the Growth and Nutritional Quality of Field-Grown White Head Cabbage (,"['Q000737', None, 'Q000032', None, None, None, 'Q000737', 'Q000187', None, 'Q000737', 'Q000737', None, None]","['chemistry', None, 'analysis', None, None, None, 'chemistry', 'drug effects', None, 'chemistry', 'chemistry', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/33915910,2021
