PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
36078830,"Cereals whole grains contain vitamins, phytochemicals, antioxidants, resistant starch, and minerals with potential benefits to human health. The consumption of whole grains is correlated with a lowered risk of the most important chronic diseases, including type II diabetes, cardiovascular diseases, and some cancers. This study aimed to characterize and evaluate the content of five cultivars of wheat (",International journal of environmental research and public health,"['D001939', 'D003924', 'D001467', 'D006801', 'D000069600', 'D012383', 'D053719', 'D014908']","['Bread', 'Diabetes Mellitus, Type 2', 'Hordeum', 'Humans', 'Plant Breeding', 'Romania', 'Tandem Mass Spectrometry', 'Triticum']",Comparative Quality Assessment of Five Bread Wheat and Five Barley Cultivars Grown in Romania.,"[None, None, 'Q000737', None, None, None, None, 'Q000737']","[None, None, 'chemistry', None, None, None, None, 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/36078830,2022
35908143,"Nickel (Ni) is a widespread metal that occurs in food and drinking water from both natural and anthropogenic sources. Oral exposure to Ni can induce a variety of adverse effects; the European Food Safety Authority established a tolerable daily intake (TDI) of 13 μg/kg bw and a lowest-observed-adverse-effect level (LOAEL) of 4.3 μg/kg bw to assess the risk of allergic reactions upon acute exposure. This study, the first conducted in Armenia, aimed to assess the dietary exposure of the adult Yerevan population (1272 subjects of both sexes) to Ni in a total diet study (TDS). Detection of Ni was carried out using atomic absorption spectrometry. To determine food consumption values, a 24-h recall survey was used. Following the K-means clustering test, two clusters were determined for food product intake. For the risk characterization of acute oral exposure, the margin of exposure (MOE) was calculated using both deterministic and probabilistic (Monte Carlo method) approaches. The average total exposure was 4.396 μg/kg bw, with limited influence by age and gender. The main contributors were ""fruits and vegetables"" followed by ""bread and flour-based products"": the total intake would be 5.11 μg/kg bw for a woman with high consumption of fruits and vegetables. Hence, the estimated chronic dietary exposure was below the TDI, irrespective of age and gender groups, and including high consumers. However, acute oral exposure estimates led to MOE values of less than 30 for most food products, indicating potential health concerns for Ni-sensitized individuals. The Monte Carlo approach indicated that the probability of occurrence of MOE lower than 30 was very high in the case of beef/veal, pork and chicken meat, eggs, and fish, alongside vegetable sources such as buckwheat, tomato, watermelon/melon, and potatoes. The findings prompt an investigation of Ni sources in the target foods in the Caucasus area.",Biological trace element research,[],[],Risk Characterization of the Armenian Population to Nickel: Application of Deterministic and Probabilistic Approaches to a Total Diet Study in Yerevan City.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35908143,2022
35885243,"Understanding how food processing may modify allergen bioaccessibility and the evolution of immunologically active peptides in the gastrointestinal tract is essential if knowledge-based approaches to reducing the allergenicity of food are to be realised. A soy-enriched wheat-based pizza base was subjected to in vitro oral-gastro-duodenal digestion and resulting digests analysed using a combination of sodium dodecyl sulphate-polyacrylamide gel electrophoresis (SDS-PAGE) and mass spectrometry (MS). The digestion profile of pizza base resembled that of bread crust where higher temperatures during baking reduced protein solubility but still resulted in the generation of a complex mixture of peptides. MS profiling showed numerous peptides carrying IgE epitopes, and coeliac toxic motifs were in excess of 20-30 residues long and were only released after either 120 min of gastric digestion or a combination of gastric and duodenal digestion. In silico prediction tools showed an overestimated number of cleavage sites identified experimentally, with low levels of atypical peptic and chymotryptic cleavage sites identified particularly at glutamine residues. These data suggest that such alternative pepsin cleavage sites may play a role in digestion of glutamine-rich cereal foods. They also contribute to efforts to provide benchmarks for mapping in vitro digestion products of novel proteins which form part of the allergenicity risk assessment.","Foods (Basel, Switzerland)",[],[],The Fate of IgE Epitopes and Coeliac Toxic Motifs during Simulated Gastrointestinal Digestion of Pizza Base.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35885243,2022
35666675,"High-molecular-weight glutenin subunits (HMW-GS) and low-molecular-weight glutenin subunits (LMW-GS) in a mature grain play important roles in the formation of a glutenin macropolymer and gluten quality. To characterize the expressed glutenin genes of the bread wheat variety Xinmai 26 during seed development, a total of 18 full-length transcripts were obtained by the newly emerged third-generation RNA sequencing of the PacBio Sequel II platform, including 5 transcripts of HMW-GS genes and 13 transcripts of LMW-GS genes (8 intact genes and 5 pseudogenes). Combined with the patterns of sodium dodecyl sulfate-polyacrylamide gel electrophoresis (SDS-PAGE) and matrix-assisted laser desorption/ionization time-of-flight mass spectrometry (MALDI-TOF-MS), allelic types of the obtained glutenin genes were, respectively, determined, wherein molecular characterization deduced by ",Journal of agricultural and food chemistry,"['D001939', 'D003545', 'D004591', 'D005983', 'D008970', 'D017423', 'D014908']","['Bread', 'Cysteine', 'Electrophoresis, Polyacrylamide Gel', 'Glutens', 'Molecular Weight', 'Sequence Analysis, RNA', 'Triticum']",Characterization of Glutenin Genes in Bread Wheat by Third-Generation RNA Sequencing and the Development of a ,"['Q000032', 'Q000235', None, 'Q000737', None, None, 'Q000737']","['analysis', 'genetics', None, 'chemistry', None, None, 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/35666675,2022
35503969,"Food additives are widespread in the human diet; however, their excessive intake can have an impact on the quality of health. This study evaluated food additives in bread and pasta products consumed by residents in various regions of Jilin Province, People's Republic of China, from 2019 to 2021. We collected samples of bread and six types of pasta products from farmers' markets and morning markets and used high-performance liquid chromatography, UV-visible spectrophotometry, and graphite furnace atomic absorption spectrometry to detect the content of the following food additives: sodium formaldehyde sulfoxylate, aluminum, and borate compounds. For 836 samples in total, we detected the presence of sodium formaldehyde sulfoxylate, aluminum, and borate compounds in excess rates reaching 3.5, 10, and 4.7%, respectively. Aluminum in fried breadsticks exceeded the standard by 40%. The results of this study can be used to assess the overall pass rate of bread and pasta products sold in Jilin Province and support the detection of possible food safety problems.",Journal of food protection,"['D000535', 'D001881', 'D001939', 'D002681', 'D005503', 'D005557', 'D006801', 'D012964', 'D014908']","['Aluminum', 'Borates', 'Bread', 'China', 'Food Additives', 'Formaldehyde', 'Humans', 'Sodium', 'Triticum']","Detection of Sodium Formaldehyde Sulfoxylate, Aluminum, and Borate Compounds in Bread and Pasta Products Consumed by Residents in Jilin Province, China.","['Q000032', 'Q000032', 'Q000032', None, 'Q000737', None, None, None, 'Q000737']","['analysis', 'analysis', 'analysis', None, 'chemistry', None, None, None, 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/35503969,2022
35305432,"A sensitive method based on ultrasound-assisted liquid extraction coupled with liquid chromatography was applied to screen 18 plastic-related contaminants in 168 food composites (namely fish fillets, chicken breast, canned tuna, leafy vegetables, bread and butter) collected in Montreal (Canada), Pretoria and Vhembe (South Africa). Bisphenol A (BPA), bisphenol S (BPS) and seven plasticizers (di-n-butyl phthalate (DBP), diethyl phthalate (DEP), (2-ethylhexyl) phthalate (DEHP), di-(2-ethylhexyl) adipate (DEHA), di-isononyl phthalate (DINP), di-(isononyl)-cyclohexane-1,2-dicarboxylate (DINCH)) were detected in different foods from both countries. DBP and DEP were the most frequently detected contaminants in food collected in Montreal (75% for both) and DINP was the most frequently detected contaminant in food from South Africa (67%). DEHA concentration in packaged fish were significantly higher than the values for non-packaged fish (p < 0.01) suggesting that the packaging film can be one source of DEHA in fish.",Food chemistry,"['D000818', 'D001559', 'D010636', 'D010795', 'D010968', 'D010969', 'D013019']","['Animals', 'Benzhydryl Compounds', 'Phenols', 'Phthalic Acids', 'Plasticizers', 'Plastics', 'South Africa']",Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa.,"[None, 'Q000032', None, 'Q000032', 'Q000032', None, None]","[None, 'analysis', None, 'analysis', 'analysis', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/35305432,2022
35209115,Whole wheat flour has a shorter shelf life than refined wheat flour due to off-flavor development. An untargeted liquid chromatography/mass spectrometry (LC/MS) flavoromics approach was applied to identify compounds that negatively impact the flavor liking in whole wheat bread made from aged flours. The chemical profiles of thirteen breads made from aged flours were obtained using LC/MS and modeled by orthogonal partial least squares (OPLS) to predict flavor liking. Top predictive chemical features (negatively correlated) were identified as pinellic acid (9,"Molecules (Basel, Switzerland)","['D001939', 'D002384', 'D002853', 'D005433', 'D005504', 'D005511', 'D008055', 'D013058', 'D015394', 'D013649', 'D014908']","['Bread', 'Catalysis', 'Chromatography, Liquid', 'Flour', 'Food Analysis', 'Food Handling', 'Lipids', 'Mass Spectrometry', 'Molecular Structure', 'Taste', 'Triticum']",Identification of Non-Volatile Compounds That Impact Flavor Disliking of Whole Wheat Bread Made with Aged Flours.,"['Q000032', None, None, 'Q000032', None, None, 'Q000737', None, None, None, 'Q000737']","['analysis', None, None, 'analysis', None, None, 'chemistry', None, None, None, 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/35209115,2022
35209109,"Carotenoids are essential components in the human diet due to their positive functions in ocular and cognitive health. This study investigated composition of carotenoids in hairless canary seed (HCS) as a novel food and the effect of baking on carotenoids in bread and muffin made from HCS, wheat and corn. Three bread formulations made from wheat and HCS blends were evaluated and compared with control wheat bread. In addition, three low-fat muffin recipes prepared from HCS alone or in blends with corn were assessed. The fate of carotenoid compounds in breads and muffins was monitored after dry mixing, dough/batter formation and oven baking. Carotenoids in products were quantified using UPLC and their identification was confirmed based on LC-MS/MS. Hairless canary seed and corn were fairly rich in carotenoids with a total content of 7.6 and 12.9 µg/g, respectively, compared with wheat (1.3 µg/g). Nineteen carotenoid compounds were identified, with all-","Molecules (Basel, Switzerland)","['D001939', 'D002338', 'D002853', 'D003296', 'D005504', 'D063427', 'D000078622', 'D012639', 'D053719']","['Bread', 'Carotenoids', 'Chromatography, Liquid', 'Cooking', 'Food Analysis', 'Food Quality', 'Nutrients', 'Seeds', 'Tandem Mass Spectrometry']",Identification of Carotenoids in Hairless Canary Seed and the Effect of Baking on Their Composition in Bread and Muffin Products.,"['Q000032', 'Q000032', None, None, None, None, 'Q000032', 'Q000737', None]","['analysis', 'analysis', None, None, None, None, 'analysis', 'chemistry', None]",https://www.ncbi.nlm.nih.gov/pubmed/35209109,2022
35209097,Tritordeum results from the crossbreeding of a wild barley (,"Molecules (Basel, Switzerland)","['D001939', 'D002853', 'D004063', 'D002523', 'D005504', 'D010455', 'D014674', 'D040901', 'D053719', 'D014908']","['Bread', 'Chromatography, Liquid', 'Digestion', 'Edible Grain', 'Food Analysis', 'Peptides', 'Plant Proteins, Dietary', 'Proteomics', 'Tandem Mass Spectrometry', 'Triticum']",Tritordeum as an Innovative Alternative to Wheat: A Comparative Digestion Study on Bread.,"['Q000032', None, None, 'Q000737', None, 'Q000032', 'Q000032', 'Q000379', None, 'Q000737']","['analysis', None, None, 'chemistry', None, 'analysis', 'analysis', 'methods', None, 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/35209097,2022
35054899,"Bread wheat is the most widely cultivated crop worldwide, used in the production of food products and a feed source for animals. Selection tools that can be applied early in the breeding cycle are needed to accelerate genetic gain for increased wheat production while maintaining or improving grain quality if demand from human population growth is to be fulfilled. Proteomics screening assays of wheat flour can assist breeders to select the best performing breeding lines and discard the worst lines. In this study, we optimised a robust LC-MS shotgun quantitative proteomics method to screen thousands of wheat genotypes. Using 6 cultivars and 4 replicates, we tested 3 resuspension ratios (50, 25, and 17 µL/mg), 2 extraction buffers (with urea or guanidine-hydrochloride), 3 sets of proteases (chymotrypsin, Glu-C, and trypsin/Lys-C), and multiple LC settings. Protein identifications by LC-MS/MS were used to select the best parameters. A total 8738 wheat proteins were identified. The best method was validated on an independent set of 96 cultivars and peptides quantities were normalised using sample weights, an internal standard, and quality controls. Data mining tools found particularly useful to explore the flour proteome are presented (UniProt Retrieve/ID mapping tool, KEGG, AgriGO, REVIGO, and Pathway Tools).",International journal of molecular sciences,"['D002853', 'D002523', 'D005433', 'D018506', 'D006801', 'D010940', 'D020543', 'D040901', 'D015203', 'D053719', 'D014908']","['Chromatography, Liquid', 'Edible Grain', 'Flour', 'Gene Expression Regulation, Plant', 'Humans', 'Plant Proteins', 'Proteome', 'Proteomics', 'Reproducibility of Results', 'Tandem Mass Spectrometry', 'Triticum']",Mining the Wheat Grain Proteome.,"[None, 'Q000235', None, None, None, 'Q000378', None, 'Q000379', None, None, 'Q000235']","[None, 'genetics', None, None, None, 'metabolism', None, 'methods', None, None, 'genetics']",https://www.ncbi.nlm.nih.gov/pubmed/35054899,2022
