PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
35347716,"Fermentation of eight vegetables was studied as an alternative for reclamation of surplus volumes. Fermentation performance was predicted by comparing the amounts of acid that could be produced from the intrinsic sugar content with that buffered by the fresh vegetable matrices prior to reaching an inhibitory pH for fermentative microbes (3.30). Native fermentations were brined with 345.0 mM sodium chloride, 40.0 mM calcium chloride, 6.0 mM potassium sorbate, and vinegar to adjust the initial pH to 4.70. High-performance liquid chromatography analysis, pH, and carbon dioxide measurements and spiral plating on selective media were employed to monitor the progress of fermentations. The average colony counts for yeast and/or molds and Enterobacteriaceae declined to undetectable levels from 3.6 ± 1.5 log CFU/ml within 7 days of fermentation. The fermentation of sugars produced lactic, acetic, succinic, and/or malic acids, and ethanol. As predicted, the fermentation of vegetables with low sugar content, such as broccoli, green leaf lettuce, and green pea proceeded to completion. The fermentation of vegetables with a moderate sugar content, such as green bell pepper, red ripened tomato, and green bean were incomplete at pH 3.1 ± 0.2. The fermentation of high sugar vegetables including sweet potato and corn were expected and observed to be incomplete. It is concluded that the intrinsic sugar content and buffer capacity of surplus vegetables are relevant parameters in obtaining complete fermentations. PRACTICAL APPLICATION: Vegetables are the second most wasted commodity in the United States and a substantial constituent of the global food waste. Development of fermentation to reclaim surplus vegetables from farms, grocery stores, and farmer's markets offers opportunities to ameliorate economic losses and environmental impact and add value to waste. The research described here suggests that a fraction of vegetables could be fermented in cover brines while others, with high sugar content, need specialized handling. Evidently, optimization of vegetable fermentation with starter cultures and added buffers represent an opportunity to stimulate complete bioconversions useful for reclaiming surplus volumes.",Journal of food science,[],[],Vegetable fermentations brined with low salt for reclaiming food waste.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35347716,2022
34865786,"N,N-dimethylpiperidinium (mepiquat) is an important food contaminant formed from natural ingredients during thermal processing. In this study, mepiquat formation in meat (pork and beef) and vegetables (potatoes and broccoli) was investigated via HPLC-MS/MS; the investigated cooking methods were oven baking, pan cooking, deep frying, and microwaving. The results showed that, among all foods, oven-baked potatoes showed the highest mepiquat level of 1064 μg/kg, which appeared after 20 min at 240 °C. The residual rates of mepiquat precursors, pipecolic acid (PipAc), betaine, choline, and trigonelline, were determined in oven-baked potatoes to investigate their correlation with mepiquat formation. The PipAc levels reduced by 99.8% at 260 °C after 30 min of oven baking, exhibiting a significantly high decomposition rate. Therefore, PipAc could be used as a marker of quality for the detection of mepiquat in thermally processed foodstuffs.","Food research international (Ottawa, Ont.)","['D000818', 'D002417', 'D006358', 'D008460', 'D010880', 'D053719', 'D000067075']","['Animals', 'Cattle', 'Hot Temperature', 'Meat', 'Piperidines', 'Tandem Mass Spectrometry', 'Vegetable Products']","Effects of thermal processing on N,N-dimethylpiperidinium (mepiquat) formation in meat and vegetable products.","[None, None, None, None, None, None, None]","[None, None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34865786,2021
34709825,"Nontarget data acquisition for target analysis (nDATA) workflows using liquid chromatography-high-resolution accurate mass (LC-HRAM) spectrometry, spectral screening software, and a compound database have generated interest because of their potential for screening of pesticides in foods. However, these procedures and particularly the instrument processing software need to be thoroughly evaluated before implementation in routine analysis. In this work, 25 laboratories participated in a collaborative study to evaluate an nDATA workflow on high moisture produce (apple, banana, broccoli, carrot, grape, lettuce, orange, potato, strawberry, and tomato). Samples were extracted in each laboratory by quick, easy, cheap, effective, rugged, and safe (QuEChERS), and data were acquired by ultrahigh-performance liquid chromatography (UHPLC) coupled to a high-resolution quadrupole Orbitrap (QOrbitrap) or quadrupole time-of-flight (QTOF) mass spectrometer operating in full-scan mass spectrometry (MS) data-independent tandem mass spectrometry (LC-FS MS/DIA MS/MS) acquisition mode. The nDATA workflow was evaluated using a restricted compound database with 51 pesticides and vendor processing software. Pesticide identifications were determined by retention time (",Journal of agricultural and food chemistry,"['D002851', 'D002853', 'D005506', 'D005638', 'D010573', 'D010575', 'D053719', 'D014675', 'D057188']","['Chromatography, High Pressure Liquid', 'Chromatography, Liquid', 'Food Contamination', 'Fruit', 'Pesticide Residues', 'Pesticides', 'Tandem Mass Spectrometry', 'Vegetables', 'Workflow']",Multilaboratory Collaborative Study of a Nontarget Data Acquisition for Target Analysis (nDATA) Workflow Using Liquid Chromatography-High-Resolution Accurate Mass Spectrometry for Pesticide Screening in Fruits and Vegetables.,"[None, None, 'Q000032', 'Q000737', 'Q000032', 'Q000032', None, None, None]","[None, None, 'analysis', 'chemistry', 'analysis', 'analysis', None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34709825,2021
34681543,"Dietary acrylamide formed during baking and frying of plant-based foods such as bread and other cereal products, coffee, fried potatoes, and olives is reported to induce genotoxic, carcinogenic, neurotoxic, and antifertility properties in vivo, suggesting the need to keep the acrylamide content low with respect to widely consumed heat-processed food including flatbreads. Due to the fact that pigmented corn flours contain biologically active and health-promoting phenolic and anthocyanin compounds, the objective of this study was to potentially define beneficial properties of flatbread by evaluating the acrylamide content determined by high-performance liquid chromatography/mass spectrometry (HPLC/MS) with a detection limit of 1.8 µg/kg and proximate composition by standard methods of six experimental flatbreads made from two white, two blue, one red, and one yellow corn flours obtained by milling commercial seeds. Acrylamide content was also determined in experimental flatbreads made from combinations in quinoa flour, wheat flour, and peanut meal with added broccoli or beet vegetables and of commercial flatbreads including tortillas and wraps. Proximate analysis of flatbreads showed significant differences in protein and fat but not in carbohydrate, mineral, and water content. The acrylamide content of 16 evaluated flatbreads ranged from 0 to 49.1 µg/kg, suggesting that these flatbreads have the potential to serve as low-acrylamide functional foods. The dietary significance of the results is discussed.","Foods (Basel, Switzerland)",[],[],Low Acrylamide Flatbreads from Colored Corn and Other Flours.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/34681543,2021
34203867,"In recent years, there has been a growing interest in studying and exploring the potential health benefits of foods, mainly from vegetables and fruits from regular intake. The presence of secondary metabolites, namely polyphenols, carotenoids and terpenes, in certain food matrices seems to contribute to their functional properties, expressed through an increased prevention in the development of certain chronic diseases, namely coronary heart diseases, neurodegenerative diseases, cancer and diabetes. However, some foods' volatile secondary metabolites also present important bioactive properties, although this is a poorly scientifically explored field. In this context, and in order to explore the potential bioactivity of volatile metabolites in different vegetables and fruits from regular consumption, the volatile composition was established using a green extraction technique, solid phase microextraction in headspace mode (HS-SPME), combined with gas chromatography tandem mass spectrometry (GC-MS). A total of 320 volatile metabolites, comprising 51 terpenic compounds, 45 organosulfur compounds, 31 aldehydes, 37 esters, 29 ketones, 28 alcohols, 23 furanic compounds, 22 hydrocarbons, 19 benzene compounds, 13 nitrogenous compounds, 9 carboxylic acids, 7 ethers, 4 halogenated compounds and 3 naphthalene derivatives, were positively identified. Each investigated fruit and vegetable showed a specific volatile metabolomic profile. The obtained results revealed that terpenic compounds, to which are associated antimicrobial, antioxidant, and anticancer activities, are the most predominant chemical family in beetroot (61%), orange carrot (58%) and white carrot (61%), while organosulfur compounds (antiviral activity) are dominant in onion, garlic and watercress. Broccoli and spinach are essentially constituted by alcohols and aldehydes (enzyme-inhibition and antimicrobial properties), while fruits from the Solanaceae family are characterized by esters in tamarillo and aldehydes in tomato.","Molecules (Basel, Switzerland)","['D000438', 'D000447', 'D004952', 'D005638', 'D008401', 'D007659', 'D055432', 'D052617', 'D013729', 'D014675', 'D055549']","['Alcohols', 'Aldehydes', 'Esters', 'Fruit', 'Gas Chromatography-Mass Spectrometry', 'Ketones', 'Metabolomics', 'Solid Phase Microextraction', 'Terpenes', 'Vegetables', 'Volatile Organic Compounds']",Relationship between Volatile Composition and Bioactive Potential of Vegetables and Fruits of Regular Consumption-An Integrative Approach.,"['Q000032', 'Q000032', 'Q000032', 'Q000737', 'Q000379', 'Q000032', 'Q000379', 'Q000379', 'Q000737', 'Q000737', 'Q000032']","['analysis', 'analysis', 'analysis', 'chemistry', 'methods', 'analysis', 'methods', 'methods', 'chemistry', 'chemistry', 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/34203867,2021
33321348,"Growing evidence of vitamin K's importance in human health beyond blood coagulation and bone health necessitates its further research. A method involving extraction, lipase treatment, clean-up, and detection and quantification by LC-ESI-MS/MS of phylloquinone (PK), menaquinone-4 (MK-4), menaquinone-7 (MK-7) and menaquinone-9 (MK-9) was developed, and single-laboratory validated. The matrices included in the validation were hazelnut, cheese, broccoli, and pork. The LC-method runtime was 9 min. The LOQ for PK, MK-4 and MK-7 was 0.5 µg/100 g food, while for MK-9 it was 2.5 µg/100 g food. The intra- and inter-day precision was <15% for endogenous and spiked levels, except for low content at 4 times the LOQ. Trueness was assessed to be in the range 94-125% for spiking at levels approximately 4 and 10 times LOQ. It is further shown that deuterium labelled MK-7 can be used as an internal standard for MK-9.",Food chemistry,"['D005591', 'D002853', 'D005504', 'D006801', 'D021241', 'D053719', 'D014812', 'D010837', 'D024482']","['Chemical Fractionation', 'Chromatography, Liquid', 'Food Analysis', 'Humans', 'Spectrometry, Mass, Electrospray Ionization', 'Tandem Mass Spectrometry', 'Vitamin K', 'Vitamin K 1', 'Vitamin K 2']","Vitamin K (phylloquinone and menaquinones) in foods - Optimisation of extraction, clean-up and LC-ESI-MS/MS method for quantification.","['Q000379', 'Q000379', 'Q000379', None, 'Q000379', 'Q000379', 'Q000032', 'Q000032', 'Q000032']","['methods', 'methods', 'methods', None, 'methods', 'methods', 'analysis', 'analysis', 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/33321348,2021
33022577,"A metabolomics approach was employed to investigate differences and correlations among key odorants and non-volatile metabolites in broccoli juices fermented by plant- and animal-derived Pediococcus pentosaceus. Forty volatile metabolites were identified by headspace solid-phase microextraction/gas chromatography-mass spectrometry. According to orthogonal projections to latent structures-differential analysis, 24 and 21 differential volatiles were detected after fermentation by plant- and animal-derived P. pentosaceus, respectively. The concentrations of 10 odorants (OAV ≥ 1) detected by gas chromatography-olfactometry changed significantly after fermentation by P. pentosaceus. Using ultrahigh-pressure liquid chromatography/quadrupole time-of-flight mass spectrometry, 49.47% of the non-volatile metabolites were classified as lipids and lipid-like molecules. The relative expressions of five non-volatile metabolites that exhibited significant correlations with odorants using Spearman correlation analysis changed significantly after fermentation. Fermentation with animal- and plant-derived P. pentosaceus can therefore change key odorants and non-volatile metabolites in broccoli juice that contribute to the characteristic organoleptic properties of products.",Food chemistry,"['D000818', 'D001937', 'D005260', 'D005285', 'D000074421', 'D005516', 'D000067030', 'D008401', 'D006801', 'D008297', 'D009812', 'D064367', 'D000070006', 'D052617', 'D055549']","['Animals', 'Brassica', 'Female', 'Fermentation', 'Fermented Foods', 'Food Microbiology', 'Fruit and Vegetable Juices', 'Gas Chromatography-Mass Spectrometry', 'Humans', 'Male', 'Odorants', 'Olfactometry', 'Pediococcus pentosaceus', 'Solid Phase Microextraction', 'Volatile Organic Compounds']",Comprehensive investigation on volatile and non-volatile metabolites in broccoli juices fermented by animal- and plant-derived Pediococcus pentosaceus.,"[None, None, None, None, 'Q000032', None, 'Q000032', 'Q000379', None, None, 'Q000032', None, 'Q000302', 'Q000379', 'Q000032']","[None, None, None, None, 'analysis', None, 'analysis', 'methods', None, None, 'analysis', None, 'isolation & purification', 'methods', 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/33022577,2021
32650243,"In this work, magnetic restricted-access carbon nanotubes (M-RACNTs) were synthesized, characterized and used in the dispersive solid-phase extraction (d-SPE) of organophosphate pesticides (OPPs) from food samples (broccoli, eggplant, cauliflower, and soy milk), followed by spectrophotometric determination in a flow injection analysis system. Fe","Spectrochimica acta. Part A, Molecular and biomolecular spectroscopy","['D002851', 'D057230', 'D060328', 'D037742', 'D010755', 'D052616']","['Chromatography, High Pressure Liquid', 'Limit of Detection', 'Magnetic Phenomena', 'Nanotubes, Carbon', 'Organophosphates', 'Solid Phase Extraction']",Magnetic restricted-access carbon nanotubes for the extraction/pre-concentration of organophosphates from food samples followed by spectrophotometric determination.,"[None, None, None, None, None, None]","[None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/32650243,2021
32036908,"Broccolini is originated from crossing the regular broccoli with Chinese kale. Consequently, it has similar properties to these vegetables, but other very particular characteristics. Its consumption has increased in the last few years and, consequently, there have been some studies related to its quality parameters and the influence of different cooking methods. Nevertheless, changes on its phenolic composition and mineral content originated by its cooking have not been investigated in-depth so far. Here we report the phytochemical profile of broccolini before and after boiling, steaming, and griddling cooking treatments. The mineral content and phytochemicals were assessed by inductively coupled plasma-mass spectrometry (ICP-MS) and high performance liquid chromatography-mass spectrometry (HPLC-MS), respectively. The main phenolics (mainly hydroxycinnamic acid derivatives from caffeic, coumaric, ferulic and sinapic acids) were quantified. Three oxylipins, three flavonoid glycosides and the glucosinolate glucobrassicin were also identified. ABTS and DPPH assays were also used as screening methods to assess the antioxidant potential of broccolini. A significant loss of the phenolic compounds and a reduction of the antioxidant activity were observed after the three cooking methods. Clear disadvantages were detected when broccolini was boiled, namely high losses of phenolic acids and derivatives (70%). Steaming and griddling also led to a significant loss of phenolics (50%) from fresh broccolini. The mineral content of this vegetable after domestic cooking procedures is also reported for the first time, calculating the contribution of broccolini consumption to official daily recommendations.","Food research international (Ottawa, Ont.)","['D000975', 'D001937', 'D002851', 'D003296', 'D003373', 'D005419', 'D005504', 'D006027', 'D062385', 'D008345', 'D013058', 'D009753', 'D010636', 'D010758', 'D064209', 'D011188', 'D014131']","['Antioxidants', 'Brassica', 'Chromatography, High Pressure Liquid', 'Cooking', 'Coumaric Acids', 'Flavonoids', 'Food Analysis', 'Glycosides', 'Hydroxybenzoates', 'Manganese', 'Mass Spectrometry', 'Nutritive Value', 'Phenols', 'Phosphorus', 'Phytochemicals', 'Potassium', 'Trace Elements']",Comparative study of the phytochemical and mineral composition of fresh and cooked broccolini.,"['Q000032', 'Q000737', None, None, 'Q000032', 'Q000032', None, 'Q000032', 'Q000032', 'Q000032', None, None, 'Q000032', 'Q000032', 'Q000032', None, 'Q000032']","['analysis', 'chemistry', None, None, 'analysis', 'analysis', None, 'analysis', 'analysis', 'analysis', None, None, 'analysis', 'analysis', 'analysis', None, 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/32036908,2021
31300856,"Cysteine is a crucial amino acid, found in a huge amount in protein-rich foods. We focused our research to determine the amount of free cysteine consumed highly in foods such as pork, beef, poultry, eggs, dairy, red peppers, soybeans, broccoli, brussels sprouts, oats, and wheat germs. A newly designed carbazole-pyridine-based fluorescent probe (CPI) has been introduced for quantitative estimation of cysteine (Cys) with a ""turn on"" fluorescence in some popular processed food samples chosen from our daily diet. CPI shows both naked eye and UV-visible color changes upon interaction with cysteine. The binding approach between CPI and Cys at biological pH has been thoroughly explored by UV-visible and fluorescence spectroscopy. From Job's plot analysis, 1:1 stoichiometric reaction between CPI and Cys is observed with a detection limit of 3.8 μM. NMR, ESI mass spectrometry, and time-dependent density functional theory (TD-DFT) study enlightens the formation of more stable product CPI-Cys. The ""turn on"" response of the probe CPI occurs due to the interruption of intra-molecular charge transfer (ICT) process upon reacting with cysteine. Moreover, CPI is a very stable, cost-effective compound and exhibits excellent real-time selectivity towards Cys over all other comparative biorelevant analytes. Interestingly, our proposed method is much advantageous as it is able to estimate cysteine predominantly by screening out other comparative biocomponents found in different protein-rich foods.",Analytical and bioanalytical chemistry,"['D002227', 'D003545', 'D005456', 'D005504', 'D057230', 'D008958', 'D011725', 'D013050']","['Carbazoles', 'Cysteine', 'Fluorescent Dyes', 'Food Analysis', 'Limit of Detection', 'Models, Molecular', 'Pyridines', 'Spectrometry, Fluorescence']",Development of a new fluorescent probe for cysteine detection in processed food samples.,"['Q000737', 'Q000032', 'Q000737', 'Q000379', None, None, 'Q000737', 'Q000379']","['chemistry', 'analysis', 'chemistry', 'methods', None, None, 'chemistry', 'methods']",https://www.ncbi.nlm.nih.gov/pubmed/31300856,2019
