PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
35243353,"Flubendiamide (FBD) is the first commercially available phthalic acid diamide that targets ryanodine receptors (RyRs) in insects, which play a major role in lepidoptera control. However, excessive use of FBD can influence the quality of treated products leading to toxic effects on human health. The availability of rapid and convenient methods for evaluating FBD amount in the environment is necessary. Therefore, analytical methods were developed for the determination of residues of FBD and its metabolite desiodo in different food matrices like tomato, cabbage, pigeon pea, apple, chilli and rice. The current review carries forward methods for FBD residues analysis in foods by using several chromatographic techniques including sample preparation steps. The comparison between the different methods employed for quantitative and qualitative analysis of food quality and safety is also discussed. Liquid chromatography (LC) is the predominant analytical method for assessing the quality of foods treated with FBD. Studies related to LC coupled multichannel detector (Ultraviolet (UV), Mass spectrometry (MS)) are also applied to detect pesticide residues. Extraction and clean up steps are essential to obtain reliable results. Moreover, this review reports the allowed limits of residues for the safety of consuming products treated with FBD.",Current research in food science,[],[],Extraction and determination of flubendiamide insecticide in food samples: A review.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35243353,2022
35217466,"More and more attention has been paid to the improved QuEChERS (quick, easy, cheap, effective, rugged and safe) method in dealing complex sample matrices, especially for the study of QuEChERS adsorbents. In this study, a magnetic mesoporous material, which was derived from MIL-88B modified by l-alanine, was synthesized as modified QuEChERS adsorbents for the simultaneous determination of multiple pesticides (Methomyl, Isoprocarb, Carbofuran, 3-Hydroxycarbofuran, Acetamiprid, Imidacloprid) in Chinese cabbage, celery, long bean and leek. The prepared magnetic adsorbents can effectively remove interfering substances from the sample, and the proposed modified QuEChERS method can reduce sample pretreatment time via an external magnetic field. To achieve the best performance of QuEChERS method, the clean-up time and amount of QuEChERS adsorbents were investigated. Under the optimized conditions, a simple, rapid and sensitive method for the determination of 6 pesticide residues in vegetables was established by coupling the modified QuEChERS to ultrahigh-performance liquid chromatography-tandem mass spectrometry. Excellent sensitivity (The limit of detection for the 6 pesticides ranged from 0.001 to 0.020 µg kg",Food chemistry,[],[],Magnetic mesoporous material derived from MIL-88B modified by l-alanine as modified QuEChERS adsorbent for the determination of 6 pesticide residues in 4 vegetables by UPLC-MS/MS.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35217466,2022
34904180,"The conducting polymer polypyrrole nanocones wrapped by metal cobalt (Co/PPy) are a promising platform for the detection of sodium nitrite, which can be obtained by an electrochemical deposition technique under a mild condition. Co/PPy nanocone arrays combined the high conductivity and large specific surface area of PPy nanocones with the redox properties of metal cobalt, and their 3D structure can provide more active sites for nitrite detection. Owing to the microstructure and excellent electrical properties of the nanocomposite, Co/PPy nanocone arrays were convenient to construct a high-performance nitrite sensor. The microscopic morphology and composition of Co/PPy nanocone arrays were characterized by SEM, FT-IR, XPS, and XRD, and their electrochemical performances were also investigated. The experimental results showed that Co/PPy nanocones exhibited excellent performance for nitrite determination. The sensors were used for the determination of nitrite in pickled Chinese cabbage and water samples, and the results were consistent with those of spectrophotometry. Hence, the synthesized Co/PPy nanocone arrays have a broad application prospect in food safety, environmental protection, and industrial manufacturing.",Mikrochimica acta,[],[],A sensitive electrochemical sensor based on metal cobalt wrapped conducting polymer polypyrrole nanocone arrays for the assay of nitrite.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/34904180,2021
34863503,"Dongbei Suancai (DBSC) - a Chinese cabbage-based sauerkraut is a traditional fermented food which is popular in Asian countries. The biogenic amines that are usually generated during spontaneous fermentation have raised public health concern, while inoculation technology may solve this problem. In the current research, the biogenic amines, as well as their interactions with the microbial community in DBSC inoculated with Lactobacillus plantarum SC-5 or spontaneously fermented without inoculation were systematically investigated throughout 60 d fermentation. High-performance liquid chromatography analysis showed that the predominant biogenic amines in DBSC including putrescine, tyramine, spermidine, cadaverine and histamine increased during fermentation. Inoculated DBSC had a significantly lower content of total biogenic amines than the spontaneously fermented DBSC (216.72-237.33 mg/kg vs. 234.62-266.81 mg/kg) during 60 days' fermentation (P < 0.05). High throughput sequencing based on 16S rDNA identified 70 species in the bacterial community belonging to 7 genera of lactic acid bacteria, of which Lactobacillus, Leuconostoc and Lactococcus were dominant. Furthermore, six common genera of bacteria were positively correlated with biogenic amines based on Spearman's rank correlation test. Notably, the abundance of Lactobacillus plantarum SC-5 was negatively correlated with the content of biogenic amines in DBSC. In conclusion, inoculation of the proper starter like Lactobacillus plantarum SC-5 can reduce total biogenic amines in DBSC possibly by modifying the microbial communities in the fermented sauerkraut, which provides practical guidance for industrial production of high quality DBSC.","Food research international (Ottawa, Ont.)","['D001208', 'D001679', 'D002681', 'D048191', 'D007934']","['Asia', 'Biogenic Amines', 'China', 'Lactobacillus plantarum', 'Leuconostoc']",The interaction between Lactobacillus plantarum SC-5 and its biogenic amine formation with different salt concentrations in Chinese Dongbei Suancai.,"[None, None, None, None, None]","[None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34863503,2021
34812004,"Carbamate pesticides are a class of synthetic pesticides having wide antimicrobial spectrum, good insecticidal efficacy, and a short residual period. These pesticides are used in agriculture, forestry, and animal husbandry. Their widespread use in the last two decades has led to the existence of drug residues in the environment, which are transferred to food, thereby raising concerns regarding the potential threat to human health. Rapid and accurate detection of carbamate pesticide residues in food is of great significance for food safety, and this requires pretreatment to purify the target components and maximize the accuracy and precision of the analysis. A rapid and accurate analytical method based on online solid phase extraction/purification-high performance liquid chromatography-tandem mass spectrometry (online SPE-HPLC-MS/MS) was established for the determination of eight carbamate pesticides in tomato, rice, and cabbage. About 5.0 g of tomato (without water), 2.0 g of cabbage, and 2.0 g of rice (mixed with 3 mL of water) were vortexed at 1000 r/min for 1 min. After adding 2 g of sodium chloride and 10 mL of acetonitrile containing 0.5% (v/v) formic acid, the samples were extracted and centrifuged. The supernatants were combined after the samples were extracted again. The reconstituted solutions were then purified on a CAPCELL PAK C",Se pu = Chinese journal of chromatography,"['D000818', 'D001937', 'D002219', 'D002851', 'D005506', 'D006801', 'D018551', 'D012275', 'D010573', 'D015203', 'D052616', 'D053719']","['Animals', 'Brassica', 'Carbamates', 'Chromatography, High Pressure Liquid', 'Food Contamination', 'Humans', 'Lycopersicon esculentum', 'Oryza', 'Pesticide Residues', 'Reproducibility of Results', 'Solid Phase Extraction', 'Tandem Mass Spectrometry']","[Simultaneous determination of eight carbamate pesticide residues in tomato, rice, and cabbage by online solid phase extraction/purification-high performance liquid chromatography-tandem mass spectrometry].","[None, None, None, None, 'Q000032', None, None, None, 'Q000032', None, None, None]","[None, None, None, None, 'analysis', None, None, None, 'analysis', None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34812004,2021
34772571,"A systematic long-term study was conducted to monitor the pesticide residues in commercially important vegetables that are produced, consumed, and exported from India. Residues of 155 commonly used pesticides were determined in 966 samples of cabbage, green chilli, and okra grown in North and North-Western part of India. The residues were extracted using modified Quick, Easy, Cheap, Effective, Rugged, and Safe (QuEChERS) method and quantified by gas chromatography-mass spectrometry and liquid chromatography tandem-mass spectrometry. Acetamiprid, cypermethrin, imidacloprid, metalaxyl, and profenofos were the most frequently detected pesticides. No pesticide was detected in 94.4% cabbage, 34.5% green chilli, and 61% okra samples. The chronic risk assessment due to the dietary exposure of the pesticides was evaluated for Indian adult and child. The results suggested that the detected residue levels in vegetables were within safe limits and their consumption will not pose any dietary risk to the consumers.",Food chemistry,"['D002648', 'D005506', 'D006801', 'D010573', 'D018570', 'D053719', 'D014675']","['Child', 'Food Contamination', 'Humans', 'Pesticide Residues', 'Risk Assessment', 'Tandem Mass Spectrometry', 'Vegetables']",Long-term monitoring of 155 multi-class pesticide residues in Indian vegetables and their risk assessment for consumer safety.,"[None, 'Q000032', None, 'Q000032', None, None, None]","[None, 'analysis', None, 'analysis', None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34772571,2021
34750742,"Soil and water from the trans-Himalayan high-altitude region contain high concentrations of various heavy metals. Vegetables and cereals such as cabbage, spinach, and wheat are most prone to heavy metal accumulation from soil and water which can be toxic for human consumption. It has yet to be studied how consumption of vegetables and cereal with excess heavy metal content can affect human health in high altitude areas. To this end, the objectives of this study are (a) quantify the concentrations of Aluminum (Al), Iron (Fe), Cobalt (Co), Boron (B), Lead (Pb), Arsenic (As), Cadmium (Cd), Selenium (Se), Copper (Cu), and Zinc (Zn) in three crops (wheat, cabbage, and spinach), and (b) evaluate the health risk of excess dietary heavy metal consumption in the local adult population using non-carcinogenic and carcinogenic parameters. A total of 60 samples were analyzed for minerals and potentially toxic elements using Inductively Coupled Plasma-Optical Emission Spectrometry (ICP-OES). Results found that spinach has a high mineral content than wheat and cabbage. The estimated daily intake (EDI) of each metal in each crop was less than the limit of permissible value. The hazard index (HI) of three plant species, and target hazard quotient (THQ) were less than the threshold level (< 1). The carcinogenic risk (CR) value in all the crops was less than the unacceptable risk level (1 × 10",Biological trace element research,[],[],"Health Risk Assessment of Heavy Metals Due to Wheat, Cabbage, and Spinach Consumption at Cold-Arid High Altitude Region.",[],[],https://www.ncbi.nlm.nih.gov/pubmed/34750742,2021
34441651,"Residual pesticides are one of the major food safety concerns around the world. There is a demand for simple and reliable methods to monitor pesticide residues in foods. In this study, a sensitive method for determination of pymetrozine in apple and cabbage samples using surface-enhanced Raman spectroscopy (SERS) based on decanethiol functionalized silver nanoparticles was established. The proposed method performed satisfactorily with the linear detection range of 0.01-1.00 mg/L and limit of detection (LOD) of 0.01 mg/L in methanol. In addition, it was successfully used to detect pymetrozine in apple and cabbage samples, the LOD was 0.02 and 0.03 mg/L, respectively, and the recoveries of spiked cabbage and apple ranged 70.40-104.00%, with relative standard deviations below 12.18% and 10.33% for intra-day and inter-day tests. Moreover, the results of the correlation test with real cabbage samples of liquid chromatography-tandem mass spectrometry showed that they were highly correlated (slope = 0.9895, ","Foods (Basel, Switzerland)",[],[],A Sensitive SERS Method for Determination of Pymetrozine in Apple and Cabbage Based on an Easily Prepared Substrate.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/34441651,2021
34339994,"The biosynthesis of polyphenolic compounds in cabbage waste, outer green leaves of white head cabbage (Brassica oleracea L. var. capitata subvar. alba), was stimulated by postharvest irradiation with UVB lamps or sunlight. Both treatments boosted the content of kaempferol and quercetin glycosides, especially in the basal leaf zone, as determined by the HPLC analysis of leaf extracts and by a non-destructive optical sensor. The destructive analysis of samples irradiated by the sun for 6 days at the end of October 2015 in Skierniewice (Poland) showed an increase of leaf flavonols by 82% with respect to controls. The treatment by a broadband UVB fluorescent lamp, with irradiance of 0.38 W m","Journal of photochemistry and photobiology. B, Biology","['D001937', 'D002734', 'D002851', 'D044948', 'D061353', 'D008027', 'D018515', 'D013050', 'D014466']","['Brassica', 'Chlorophyll', 'Chromatography, High Pressure Liquid', 'Flavonols', 'Food Storage', 'Light', 'Plant Leaves', 'Spectrometry, Fluorescence', 'Ultraviolet Rays']",Valorization of waste cabbage leaves by postharvest photochemical treatments monitored with a non-destructive fluorescence-based sensor.,"['Q000737', 'Q000737', None, 'Q000032', None, None, 'Q000737', None, None]","['chemistry', 'chemistry', None, 'analysis', None, None, 'chemistry', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34339994,2021
34266362,"This study reports a surveillance of multi-pesticide residues of fruits and vegetables sold in the local markets carried out in 2018-2019 in Botswana to access consumer safety. A validated method for analysis of 232 pesticide residues in fruits and vegetables was applied, based on QuEChERS-GC-MS/MS methodology. A total of 83 fruit and vegetable sold in different markets were bought from three different areas of the southern region . Levels of pesticides ranged between 0.0032 ± 0.0009 mg/kg and 70.4 ± 19.4 mg/kg. A total of 78% of the samples contained pesticide residues, whereas only 13% of the samples violated the EU/Codex MRLs. In particular, rape vegetable samples exceeded legislative limits most, followed by cabbage, green pepper and tomato. The most frequently detected compounds were chlopyrifos, chlorfenapyr, tebuconazole, methamidophos and cypermethrin. These results will serve as a foundation for future studies, involving continuous monitoring programmes.","Food additives & contaminants. Part B, Surveillance","['D001902', 'D005506', 'D005638', 'D010573', 'D053719', 'D014675']","['Botswana', 'Food Contamination', 'Fruit', 'Pesticide Residues', 'Tandem Mass Spectrometry', 'Vegetables']",Pesticide residues in fruits and vegetables from the southern part of Botswana.,"[None, 'Q000032', 'Q000737', 'Q000032', None, None]","[None, 'analysis', 'chemistry', 'analysis', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34266362,2021
