PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
35106614,"Analysis of the dipicolinic acid (DPA) released from Clostridium botulinum spores during thermal processing is crucial to obtaining a mechanistic understanding of the factors involved in spore heat resistance and related food safety applications. Here, we developed a novel mixed-mode liquid chromatography-tandem mass spectrometry (LC-MS/MS) method for detection of the DPA released from C. botulinum type A, nonproteolytic types B and F strains, and nonpathogenic surrogate Clostridium sporogenes PA3679 spores. DPA was retained on a mixed-mode C18/anion exchange column and was detected using electrospray ionization (ESI) positive mode within a 4-min analysis time. The intraday and interday precision (%CV) was 1.94-3.46% and 4.04-8.28%, respectively. Matrix effects were minimal across proteolytic type A Giorgio-A, nonproteolytic types QC-B and 202-F, and C. sporogenes PA3679 spore suspensions (90.1-114% of spiked DPA concentrations). DPA recovery in carrot juice and beef broth ranged from 105 to 118%, indicating limited matrix effects of these food products. Experiments that assessed the DPA released from Giorgio-A spores over the course of a 5-min thermal treatment at 108 °C found a significant correlation (R = 0.907; P < 0.05) between the log reduction of spores and amount of DPA released. This mixed-mode LC-MS/MS method provides a means for rapid detection of DPA released from C. botulinum spores during thermal processing and has the potential to be used for experiments in the field of food safety that assess the thermal resistance characteristics of various C. botulinum spore types.",Analytical and bioanalytical chemistry,"['D002853', 'D003014', 'D006358', 'D010848', 'D013171', 'D053719']","['Chromatography, Liquid', 'Clostridium botulinum', 'Hot Temperature', 'Picolinic Acids', 'Spores, Bacterial', 'Tandem Mass Spectrometry']",Rapid detection and quantitation of dipicolinic acid from Clostridium botulinum spores using mixed-mode liquid chromatography-tandem mass spectrometry.,"[None, 'Q000737', None, 'Q000032', 'Q000737', None]","[None, 'chemistry', None, 'analysis', 'chemistry', None]",https://www.ncbi.nlm.nih.gov/pubmed/35106614,2022
35032801,"The formation of the molecule 4,5-dihydroxy-2-cyclopenten-1-one (DHCP) from the thermal treatment of pectin-containing foods was investigated in small-scale laboratory preparation of sterilized vegetable puree (carrot, zucchini and tomato) and fruit puree (peach and mixture of pear and apple) and in commercial baby foods. DHCP attracts attention due to its cytotoxicity as well as potential antiviral and anti-inflammatory effects. However, its effects and the difficulty of its identification in food are mediated in part by the formation of Michael adducts of DHCP with amino acids. The results revealed that DHCP reacted efficiently with cysteine and glutathione, and to a lesser extent with histidine. Mass spectrometry analysis confirmed the formation of adducts of DHCP with amino acids in a model system, being in a real food system difficult to investigate. However, these formed adducts are of potential interest, although it is not known whether they are safe, bioactive or reversible.",Food chemistry,"['D000596', 'D003517', 'D005638', 'D007225', 'D014675']","['Amino Acids', 'Cyclopentanes', 'Fruit', 'Infant Food', 'Vegetables']",Formation of a bioactive cyclopentenone and its adducts with amino acids in sterilized-fruits and - vegetables baby foods.,"[None, None, None, None, None]","[None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/35032801,2022
34941708,"More still needs to be learned regards the relative contamination of heavy metals and pesticide residues, particularly those found in widely consumed Nigerian food crops like cereals, vegetables, and tubers. In this current study, the heavy metals and pesticide residues detectable in widely consumed Nigerian food crops were respectively quantified using atomic absorption spectroscopy (AAS) and gas chromatography (GC). Specifically, the widely consumed Nigerian food crops included cereals (rice, millet, and maize), legume (soybean), tubers (yam and cassava), as well as leaf (fluted pumpkin, ",Toxins,"['D002849', 'D018556', 'D005506', 'D019216', 'D009549', 'D010573', 'D013054']","['Chromatography, Gas', 'Crops, Agricultural', 'Food Contamination', 'Metals, Heavy', 'Nigeria', 'Pesticide Residues', 'Spectrophotometry, Atomic']",Quantification of Heavy Metals and Pesticide Residues in Widely Consumed Nigerian Food Crops Using Atomic Absorption Spectroscopy (AAS) and Gas Chromatography (GC).,"[None, 'Q000737', 'Q000032', 'Q000032', None, 'Q000032', None]","[None, 'chemistry', 'analysis', 'analysis', None, 'analysis', None]",https://www.ncbi.nlm.nih.gov/pubmed/34941708,2022
34829147,"Worldwide, the food industry generates a large number of by-products from a wide variety of sources. These by-products represent an interesting and economical source of added value components with potential functionalities and/or bioactivities, which might be explored for industrial purposes, encouraging and promoting the circular economy concept. In this context, the current work aimed to evaluate the fatty acids (FAs) profile using gas chromatography-flame ionization detector (GC-FID) and Fourier Transform Infrared (FTIR), as well as the determination of related health lipid indices (e.g., atherogenic (AI) and thrombogenic (TI)) as a powerful strategy to investigate the potential applications of different agri-food by-products for human nutrition and animal feeding. This work results showed that polyunsaturated fatty acids (PUFAs) are the predominant group in grape pomace (72.7%), grape bunches (54.3%), and brewer's spent grain (BSG, 59.0%), whereas carrot peels are dominated by monounsaturated fatty acids (MUFAs, 47.3%), and grape stems (46.2%), lees (from 50.8 to 74.1%), and potato peels (77.2%) by saturated fatty acids (SFAs). These findings represent a scientific basis for exploring the nutritional properties of agri-food by-products. Special attention should be given to grape pomace, grape bunches, and BSG since they have a high content of PUFAs (from 54.3 to 72.7%) and lower AI (from 0.11 to 0.38) and TI (from 0.30 to 0.56) indexes, suggesting their potential to provide a variety of health benefits against cardiovascular diseases including well-established hypotriglyceridemia and anti-inflammatory effects, products to which they are added.","Foods (Basel, Switzerland)",[],[],Evaluation of Fatty Acids Profile as a Useful Tool towards Valorization of By-Products of Agri-Food Industry.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/34829147,2021
34709825,"Nontarget data acquisition for target analysis (nDATA) workflows using liquid chromatography-high-resolution accurate mass (LC-HRAM) spectrometry, spectral screening software, and a compound database have generated interest because of their potential for screening of pesticides in foods. However, these procedures and particularly the instrument processing software need to be thoroughly evaluated before implementation in routine analysis. In this work, 25 laboratories participated in a collaborative study to evaluate an nDATA workflow on high moisture produce (apple, banana, broccoli, carrot, grape, lettuce, orange, potato, strawberry, and tomato). Samples were extracted in each laboratory by quick, easy, cheap, effective, rugged, and safe (QuEChERS), and data were acquired by ultrahigh-performance liquid chromatography (UHPLC) coupled to a high-resolution quadrupole Orbitrap (QOrbitrap) or quadrupole time-of-flight (QTOF) mass spectrometer operating in full-scan mass spectrometry (MS) data-independent tandem mass spectrometry (LC-FS MS/DIA MS/MS) acquisition mode. The nDATA workflow was evaluated using a restricted compound database with 51 pesticides and vendor processing software. Pesticide identifications were determined by retention time (",Journal of agricultural and food chemistry,"['D002851', 'D002853', 'D005506', 'D005638', 'D010573', 'D010575', 'D053719', 'D014675', 'D057188']","['Chromatography, High Pressure Liquid', 'Chromatography, Liquid', 'Food Contamination', 'Fruit', 'Pesticide Residues', 'Pesticides', 'Tandem Mass Spectrometry', 'Vegetables', 'Workflow']",Multilaboratory Collaborative Study of a Nontarget Data Acquisition for Target Analysis (nDATA) Workflow Using Liquid Chromatography-High-Resolution Accurate Mass Spectrometry for Pesticide Screening in Fruits and Vegetables.,"[None, None, 'Q000032', 'Q000737', 'Q000032', 'Q000032', None, None, None]","[None, None, 'analysis', 'chemistry', 'analysis', 'analysis', None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34709825,2021
34203867,"In recent years, there has been a growing interest in studying and exploring the potential health benefits of foods, mainly from vegetables and fruits from regular intake. The presence of secondary metabolites, namely polyphenols, carotenoids and terpenes, in certain food matrices seems to contribute to their functional properties, expressed through an increased prevention in the development of certain chronic diseases, namely coronary heart diseases, neurodegenerative diseases, cancer and diabetes. However, some foods' volatile secondary metabolites also present important bioactive properties, although this is a poorly scientifically explored field. In this context, and in order to explore the potential bioactivity of volatile metabolites in different vegetables and fruits from regular consumption, the volatile composition was established using a green extraction technique, solid phase microextraction in headspace mode (HS-SPME), combined with gas chromatography tandem mass spectrometry (GC-MS). A total of 320 volatile metabolites, comprising 51 terpenic compounds, 45 organosulfur compounds, 31 aldehydes, 37 esters, 29 ketones, 28 alcohols, 23 furanic compounds, 22 hydrocarbons, 19 benzene compounds, 13 nitrogenous compounds, 9 carboxylic acids, 7 ethers, 4 halogenated compounds and 3 naphthalene derivatives, were positively identified. Each investigated fruit and vegetable showed a specific volatile metabolomic profile. The obtained results revealed that terpenic compounds, to which are associated antimicrobial, antioxidant, and anticancer activities, are the most predominant chemical family in beetroot (61%), orange carrot (58%) and white carrot (61%), while organosulfur compounds (antiviral activity) are dominant in onion, garlic and watercress. Broccoli and spinach are essentially constituted by alcohols and aldehydes (enzyme-inhibition and antimicrobial properties), while fruits from the Solanaceae family are characterized by esters in tamarillo and aldehydes in tomato.","Molecules (Basel, Switzerland)","['D000438', 'D000447', 'D004952', 'D005638', 'D008401', 'D007659', 'D055432', 'D052617', 'D013729', 'D014675', 'D055549']","['Alcohols', 'Aldehydes', 'Esters', 'Fruit', 'Gas Chromatography-Mass Spectrometry', 'Ketones', 'Metabolomics', 'Solid Phase Microextraction', 'Terpenes', 'Vegetables', 'Volatile Organic Compounds']",Relationship between Volatile Composition and Bioactive Potential of Vegetables and Fruits of Regular Consumption-An Integrative Approach.,"['Q000032', 'Q000032', 'Q000032', 'Q000737', 'Q000379', 'Q000032', 'Q000379', 'Q000379', 'Q000737', 'Q000737', 'Q000032']","['analysis', 'analysis', 'analysis', 'chemistry', 'methods', 'analysis', 'methods', 'methods', 'chemistry', 'chemistry', 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/34203867,2021
34069856,"Food safety issues caused by pesticide residue have exerted far-reaching impacts on human daily life, yet the available detection methods normally focus on surface residue rather than pesticide penetration to the internal area of foods. Herein, we demonstrated gold nanoparticle (AuNP)-immersed paper imprinting mass spectrometry imaging (MSI) for monitoring pesticide migration behaviors in various fruits and vegetables (i.e., apple, cucumber, pepper, plum, carrot, and strawberry). By manually stamping food tissues onto AuNP-immersed paper, this method affords the spatiotemporal visualization of insecticides and fungicides within fruits and vegetables, avoiding tedious and time-consuming sample preparation. Using the established MSI platform, we can track the migration of insecticides and fungicides into the inner region of foods. The results revealed that both the octanol-water partition coefficient of pesticides and water content of garden stuffs could influence the discrepancy in the migration speed of pesticides into food kernels. Taken together, this nanopaper imprinting MSI is poised to be a powerful tool because of its simplicity, rapidity, and easy operation, offering the potential to facilitate further applications in food analysis. Moreover, new perspectives are given to provide guidelines for the rational design of novel pesticide candidates, reducing the risk of food safety issues caused by pesticide residue.","Nanomaterials (Basel, Switzerland)",[],[],Spatiotemporal Visualization of Insecticides and Fungicides within Fruits and Vegetables Using Gold Nanoparticle-Immersed Paper Imprinting Mass Spectrometry Imaging.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/34069856,2021
33509486,"A rapid shot-gun method by Fourier transform ion cyclotron resonance mass spectrometry (FT-ICR-MS) is proposed for the characterization of fennel proteins. After enzymatic digestion with trypsin, few microliters of extract were analyzed by direct infusion in positive ion mode. A custom-made non-redundant fennel-specific proteome database was derived from the well-known NCBI database; additional proteins belonging to recognized allergenic sources (celery, carrot, parsley, birch, and mugwort) were also included in our database, since patients hypersensitive to these plants could also suffer from fennel allergy. The peptide sequence of each protein from that derived list was theoretically sequenced to produce calculated m/z lists of possible m/z ions after tryptic digestions. Then, by using a home-made Matlab algorithm, those lists were matched with the experimental FT-ICR mass spectrum of the fennel peptide mixture. Finally, Peptide Mass Fingerprint searches confirmed the presence of the matched proteins inside the fennel extract with a total of 70 proteins (61 fennel specific and 9 allergenic proteins).","Food research international (Ottawa, Ont.)","['D017357', 'D030001', 'D005583', 'D006801', 'D013058', 'D010449']","['Cyclotrons', 'Foeniculum', 'Fourier Analysis', 'Humans', 'Mass Spectrometry', 'Peptide Mapping']",Investigation of fennel protein extracts by shot-gun Fourier transform ion cyclotron resonance mass spectrometry.,"[None, None, None, None, None, None]","[None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/33509486,2021
32572544,"We developed a highly sensitive and selective method for double-signal analysis (fluorescence and ultraviolet-visible spectrophotometry) of organophosphorus pesticides (OPs), based on reversible quenching of graphene quantum dots (GQDs; fluorophores) with silver nanoparticles (AgNPs; absorbers). We used acetylcholinesterase to catalytically convert acetylthiocholine into thiocholine. In turn, by competitive binding to the AgNPs, the produced thiocholine displaces AgNPs from the GQDs and thus induces fluorescence recovery. However, OP analytes inhibit the activity of acetylcholinesterase and, in so doing, retain the silver-graphene nanoparticle complex and fluorescence quenching. The degree of quenching is proportional to the concentration of OPs; the detection limit is as low as 0.017 μg/L. The ultraviolet-visible absorption of GQDs/AgNPs at 390 nm decreases-because of AgNP aggregation that occurs after desorption from the GQDs-and the absorbance is linearly proportional to the OP concentration. Our system has good selectivity to substances that are commonly present in water and vegetables. We successfully applied our method to OP analysis in water, apple, and carrot samples.",Analytical and bioanalytical chemistry,"['D018552', 'D006108', 'D007306', 'D057230', 'D027845', 'D053768', 'D008743', 'D045663', 'D015203', 'D012834', 'D013050', 'D013056', 'D014874']","['Daucus carota', 'Graphite', 'Insecticides', 'Limit of Detection', 'Malus', 'Metal Nanoparticles', 'Methyl Parathion', 'Quantum Dots', 'Reproducibility of Results', 'Silver', 'Spectrometry, Fluorescence', 'Spectrophotometry, Ultraviolet', 'Water Pollutants, Chemical']",A dual-mode nanoprobe for the determination of parathion methyl based on graphene quantum dots modified silver nanoparticles.,"['Q000737', 'Q000737', 'Q000032', None, 'Q000737', 'Q000737', 'Q000032', 'Q000737', None, 'Q000737', 'Q000379', 'Q000379', 'Q000032']","['chemistry', 'chemistry', 'analysis', None, 'chemistry', 'chemistry', 'analysis', 'chemistry', None, 'chemistry', 'methods', 'methods', 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/32572544,2021
32481534,"The absence of vitamin E from the diet can lead to cardiovascular disease, cancer, cataracts, and premature aging. Vitamin K deficiency can lead to bleeding disorders. These fat-soluble vitamins are important nutritional factors that can be determined in different methods in vegetables. In this work, the simultaneous determination of α-tocopherol, α-tocopheryl acetate, phylloquinone, and menaquinone-4 by gas chromatography-mass spectrometry (GC-MS) has been optimized using both direct injection and solid phase microextraction (SPME). Three different sample pre-treatment approaches based on: (A) solid-liquid-liquid-liquid extraction (SLE-LLE), (B) SLE, and (C) SPME were then applied to extract the target analytes from vegetables samples using menaquinone as internal standard. All the procedures allowed the determination of the target analytes in onion, carrot, celery, and curly kale samples. Similar results were obtained with the three different approaches, even if the one based on SPME offers the best performance, together with a reduced use of solvent, time consumption, and experimental complexity, which makes it the preferable option for industrial applications.","Molecules (Basel, Switzerland)","['D008401', 'D013696', 'D014675', 'D014810', 'D014812', 'D010837', 'D024482', 'D024502']","['Gas Chromatography-Mass Spectrometry', 'Temperature', 'Vegetables', 'Vitamin E', 'Vitamin K', 'Vitamin K 1', 'Vitamin K 2', 'alpha-Tocopherol']","Development, Optimization, and Comparison of Different Sample Pre-Treatments for Simultaneous Determination of Vitamin E and Vitamin K in Vegetables.","[None, None, 'Q000737', 'Q000032', 'Q000032', 'Q000032', 'Q000031', 'Q000032']","[None, None, 'chemistry', 'analysis', 'analysis', 'analysis', 'analogs & derivatives', 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/32481534,2021
