PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
35267361,"Consumption of tree nuts and peanuts has considerably increased over the last decades due to their nutritional composition and the content of beneficial compounds. On the other hand, such widespread consumption worldwide has also generated a growing incidence of allergy in the sensitive population. Allergy to nuts and peanuts represents a global relevant problem, especially due to the risk of the ingestion of hidden allergens as a result of cross-contamination between production lines at industrial level occurring during food manufacturing. The present review provides insights on peanuts, almonds, and four nut allergens-namely hazelnuts, walnuts, cashew, and pistachios-that are likely to cross-contaminate different food commodities. The paper aims at covering both the biochemical aspect linked to the identified allergenic proteins for each allergen category and the different methodological approaches developed for allergens detection and identification. Attention has been also paid to mass spectrometry methods and to current efforts of the scientific community to identify a harmonized approach for allergens quantification through the detection of allergen markers.","Foods (Basel, Switzerland)",[],[],Tree Nuts and Peanuts as a Source of Beneficial Compounds and a Threat for Allergic Consumers: Overview on Methods for Their Detection in Complex Food Products.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35267361,2022
35231713,"Extensive cross-allergic reactivity exists among food-borne plants. As most allergens are glycoproteins, protein sensitization has been extensively studied. However, little attention has been given to the glycan component of glycoproteins. Here, we qualitatively and quantitatively compared the N-glycans of eight cross-reactive plant glycoproteins derived from peach pollen, soy, pine nut, cashew nut, pistachio, walnut, almond, and hazelnut. Cross-reactive carbohydrate determinants (CCDs) were widely present in the allergic glycoproteins according to the following order: pollen > soybean > pistachios > pine nuts > walnuts > cashews > hazelnuts > almonds. The N-glycan structure presented clear differences between the germplasm and vegetative tissue. Importantly, fucosylation and xylosylation levels correlated positively with extensive cross-reactivity between plants, which suggests that CCDs may be one of the causes of cross-allergy. This result provides the foundation for mechanistic studies on plant-derived CCDs as a source of food cross-allergies.",Food chemistry,"['D000485', 'D031021', 'D031211', 'D003429', 'D006023', 'D031324', 'D013058', 'D021184', 'D009754', 'D027927', 'D011134', 'D000068181']","['Allergens', 'Anacardium', 'Corylus', 'Cross Reactions', 'Glycoproteins', 'Juglans', 'Mass Spectrometry', 'Nut Hypersensitivity', 'Nuts', 'Pistacia', 'Polysaccharides', 'Prunus dulcis']",Comparative mass spectrometry analysis of N-glycans from the glycoproteins of eight allergy-inducing plants.,"[None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/35231713,2022
34808757,"Nuts have long been known for their health benefits which are mainly contributed by their lipid components. However, the spatial distribution of lipids in nuts has not been firmly established. In this study, desorption electrospray ionization combined with ion mobility and quadrupole time-of-flight mass spectrometry in positive and negative ion modes was applied to visualize spatially the lipids in eight edible nuts, namely almonds, hazelnuts, cashews, walnuts, peanuts, peach seeds, bitter almonds, and Chinese dwarf cherry seeds. The glycerophospholipids were first imaged in nuts in the negative ion mode, while the glycerolipids and phosphatidylcholines were mainly detected in the positive ion mode. In total 87 characterized components, including 47 glycerophospholipids, 24 glycerolipids, eight alkyl phenolic acids, three fatty acid acyl metabolites, four oligosaccharides, and amygdalin, were visualized in the eight nuts, and the collision cross-sectional values of these components were obtained. The outer shell of the nut cotyledon concentrated more abundant components than the center, while for the hydrolyzed glycerophospholipids, the reverse was observed. The results provide a more comprehensive and in-depth understanding of the location of the diverse metabolite profiles in nuts and of their relationship to their respective health benefits.",Food chemistry,"['D003430', 'D031324', 'D000081362', 'D009754', 'D021241']","['Cross-Sectional Studies', 'Juglans', 'Lipidomics', 'Nuts', 'Spectrometry, Mass, Electrospray Ionization']",Spatial lipidomics of eight edible nuts by desorption electrospray ionization with ion mobility mass spectrometry imaging.,"[None, None, None, None, None]","[None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34808757,2021
34778966,"Cashew apple, the hypertrophied peduncle of cashew nut, is a functional food with a high antioxidant activity and with good characteristics for juice industrialization and fresh consumption such as fleshy pulp, soft peel, without seeds, and exotic flavor. However, it is still poorly used or totally wasted. For this reason, the quality of cashew apples has received more attention from the Brazilian breeding program to maximize their uses. In this study, the volatile compound profiles of peduncles of seven cashew clones and their relation to the aroma and flavor differences were investigated. Nine trained panelists evaluated the cashew apples by descriptive analysis. After the standardization of headspace solid-phase microextraction (HS-SPME) extraction and chromatographic conditions, the volatile organic compounds were analyzed by gas chromatography-mass spectrometry (GC-MS). A total of 48 compounds were identified with esters being the major chemical class, both in number of compounds and chromatographic peak area. The targeted and untargeted principal component analysis (PCA) analyses showed complementary and corroborative results from the cashew apple volatile composition based on genotype. The partial least squares (PLS) modeling revealed the high correlation of the unpleasant sensory attributes with the PRO805 and CAPI17 clones; sweet taste and sweet odor with the CCP76 clone; and cashew aroma/cashew flavor with the EMBRAPA51, HAC276, PRO555, and SLC12.20 clones. The correlation between the most relevant volatile organic compounds (VOC) for cashew apples and the sensory descriptors showed that the compounds methyl butanoate, methyl 3-methylbutanoate, ethyl 2-methylbutanoate, methyl 2-butenoate, methyl 3-methylpentanoate, 3-carene, methyl (E)-2-methyl-2-butenoate, ethyl 4-methylpentanoate, 2-hexenal, butyl 3-methylbutanoate, butyl pentanoate, and 3-methyl butanoic acid were important to explain differences in the characteristic fruit aroma and flavor of cashew apples among the studied clones. PRACTICAL APPLICATION: Cashew crops have been developed by using improved clones with increased nut productivity and resistance to diseases. The Brazilian genetic improvement program is also seeking to improve the quality of peduncles to maximize their use and prevent their destination as agricultural waste. In this study, the volatile profile of peduncles of seven cashew clones was determined and its correlation with the differences in their aroma and flavor attributes established. The results will provide important information about the potential of the new materials for fresh consumption and for the manufacturing of cashew juices, in addition to be used by breeders interested in improving the aroma of the fruit.",Journal of food science,"['D031021', 'D000090022', 'D002999', 'D000069600', 'D055549']","['Anacardium', 'Chemometrics', 'Clone Cells', 'Plant Breeding', 'Volatile Organic Compounds']",Chemometric analysis of the volatile profile in peduncles of cashew clones and its correlation with sensory attributes.,"[None, None, None, None, None]","[None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34778966,2021
34684607,"Nuts are characterized by high nutritional value and are recommended as a part of a healthy diet. At the same time, toxic elements could also be found in them. In this research, we measured the content of As, Cd, Pb and Hg in a wide variety of edible nuts. To determine the As content, inductively coupled plasma mass spectrometry (ICP-MS) was applied. Cd and Pb were detected by the electrothermal atomic absorption spectrometry analytical technique (ETAAS) with Zeeman background correction, while atomic absorption spectrometry method (AAS) with the amalgamation technique in the case of Hg was used. The study material consisted of 120 samples without replications (10 for each subgroup) including the following nuts: Almonds, Brazil nuts, cashew nuts, hazelnuts, macadamia nuts, peanuts, pecan nuts, pine nuts, pistachios and walnuts. Indicators such as the target hazard quotient (THQ), cancer risk (CR) and hazard index (HI) were used to assess the health risk. The highest median As, Cd, Pb and Hg contents were observed for pistachios (192.42 µg/kg), pine nuts (238.40 µg/kg), peanuts (82.06 µg/kg) and pecans (82.06 µg/kg), respectively. The exceedance of the established limits was found in the case of Pb for nine samples: macadamia nuts (221.49 µg/kg; 2350.94 µg/kg; 2581.43 µg/kg), pine nuts (266.33 µg/kg), peanuts (1353.80 µg/kg) and pecans (2689.13 µg/kg, 2758.26 µg/kg, 2992.29 µg/kg and 3169.41 µg/kg). Extremely high (>2500 µg/kg) Pb content was found in 33% of studied pecans imported from the USA. The health risk indicators did not identify increased health risk. This research is significant considering the food safety issues and indicates the need to regularly control the content of toxic elements in food, as well as to establish the specific limits for heavy metals content in nuts. The chemometric analysis included cluster analysis and principal component analysis (PCA). Cluster analysis made it possible to distinguish four subgroups on the basis of the ability to accumulate toxic elements: pine nuts, pecans, pistachios and other analysed nuts. PCA indicated primarily factor 1, distinguishing mainly pecans, macadamia nuts and peanuts. Chemometric analysis can be a useful tool in estimating the ability of different nut species to accumulate contaminants.",Nutrients,"['D005247', 'D006801', 'D009754', 'D018570', 'D018709', 'D018675']","['Feeding Behavior', 'Humans', 'Nuts', 'Risk Assessment', 'Statistics, Nonparametric', 'Toxicity Tests']",Assessment of the Safe Consumption of Nuts in Terms of the Content of Toxic Elements with Chemometric Analysis.,"[None, None, 'Q000737', None, None, None]","[None, None, 'chemistry', None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34684607,2021
32442779,"Many individuals with peanut (PN) allergy have severe reactions to tree nuts (TN) such as walnuts or cashews. Although allergenic proteins in TN and PN have overall low identity, they share discrete sequences similar in physicochemical properties (PCP) to known IgE epitopes. Here, PCP-consensus peptides (cp, 13 aa and 31 aa) were identified from an alignment of epitope rich regions of walnut vicilin, Jug r 2, leader sequence (J2LS) and cross-reactive epitopes in the 2S albumins of peanut and synthesized. A peptide similarity search in the Structural Database of Allergenic Proteins (SDAP) revealed a network of peptides similar (low property distance, PD) to the 13 aa cp (13cp) in many different plant allergens. Peptides similar to the 13cp in PN and TN allergens bound IgE from sera of patients allergic to PN and TN in peptide microarray analysis. The 13cp was used to produce a rabbit consensus peptide antibody (cpAB) that detected proteins containing repeats similar to the 13cp in western blots of various nut extracts, in which reactive proteins were identified by mass spectrometry. The cpAB bound more specifically to allergens and nut extracts containing multiple repeats similar to the 13 cp, such as almond (Pru du 6), peanut (Ara h 2) and walnut (Jug r 2). IgE binding to various nut extracts is inhibited by recombinant J2LS sequence and synthetic 31cp. Thus, several repeated sequences similar to the 13cp are bound by IgE. Multiple similar repeats in several allergens could account for reaction severity and clinically relevant cross-reactivity to PN and TN. These findings may help improve detection, diagnostic, and therapeutic tools.",Molecular immunology,[],[],Epitopes with similar physicochemical properties contribute to cross reactivity between peanut and tree nuts.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/32442779,2020
32290123,"Pistachio and cashew contain allergenic proteins, which causes them to be removed from the diet of allergic people. Previous studies have demonstrated that food processing (thermal and non-thermal) can produce structural and/or conformational changes in proteins by altering their allergenic capacity. In this study, the influence of instant controlled pressure drop (DIC) on pistachio and cashew allergenic capacity has been studied. Western blot was carried out using IgG anti-11S and anti-2S and IgE antibodies from sera of patients sensitized to pistachio and cashew. DIC processing causes changes in the electrophoretic pattern, reducing the number and intensity of protein bands, as the pressure and temperature treatment increment, which results in a remarkable decrease in detection of potentially allergenic proteins. The harshest conditions of DIC (7 bar, 120 s) markedly reduce the immunodetection of allergenic proteins, not only by using IgG (anti 11S and anti 2S) but also when IgE sera from sensitized patients were used for Western blots. Such immunodetection is more affected in pistachio than in cashew nuts, but is not completely removed. Therefore, cashew proteins are possibly more resistant than pistachio proteins. According these findings, instant controlled pressure drop (DIC) can be considered a suitable technique in order to obtain hypoallergenic tree nut flour to be used in the food industry.","Molecules (Basel, Switzerland)","['D000485', 'D031021', 'D052179', 'D002853', 'D005260', 'D005511', 'D006801', 'D007073', 'D008297', 'D021184', 'D009754', 'D027927', 'D010940', 'D053719']","['Allergens', 'Anacardium', 'Antigens, Plant', 'Chromatography, Liquid', 'Female', 'Food Handling', 'Humans', 'Immunoglobulin E', 'Male', 'Nut Hypersensitivity', 'Nuts', 'Pistacia', 'Plant Proteins', 'Tandem Mass Spectrometry']",Influence of Instant Controlled Pressure Drop (DIC) on Allergenic Potential of Tree Nuts.,"['Q000737', 'Q000009', 'Q000276', None, None, None, None, 'Q000276', None, 'Q000175', 'Q000009', 'Q000009', 'Q000009', None]","['chemistry', 'adverse effects', 'immunology', None, None, None, None, 'immunology', None, 'diagnosis', 'adverse effects', 'adverse effects', 'adverse effects', None]",https://www.ncbi.nlm.nih.gov/pubmed/32290123,2021
31242716,"The objective of the present work was to develop an advanced fast phenotyping tool to explore the cashew apple compositions from different genotypes, based on a portable near-infrared (MicroNIR) spectroscopy. This will be in addition to associating the variability of the respective cashew apple pulps with the genotypes by ultra-performance liquid chromatography (UPLC), coupled with high-resolution mass spectrometry (HRMS). The NIR analysis is a non-destructive, low-cost procedure that provides prompt results, while considering the morphology of different cashew apples (shape, size, and color). The UPLC-HRMS analysis is characterized by specific bioactive compounds, such as the derivatives of hydroxybutanoic acid, galloyl, and flavonoids. Furthermore, both techniques allowed the identification of a group of accessions, which presented similarities among the chemical profiling. However, to improve the understanding of cashew chemical and physical variability, further variables related to the cashew apple composition, such as edaphoclimatic conditions, should be considered for future studies. These approaches lead to the conclusion that these two tools are useful for the maintenance of BAG-Caju (Cashew Germplasm Bank) and for the cashew-breeding program.",Metabolites,[],[],Metabolomic Variability of Different Genotypes of Cashew by LC-Ms and Correlation with Near-Infrared Spectroscopy as a Tool for Fast Phenotyping.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/31242716,2020
30940287,"Food allergy is a major concern for public health and food industries. Because of the large numbers of food ingredients to be tested, MS is considered an alternative to existing techniques in terms of high selectivity, sensitivity, and capability to analyze multiple allergens simultaneously. In this study, we developed the method for monitoring significant peptides derived from 13 food allergens (milk, eggs, cod, shrimp, lobster, almonds, brazil nuts, cashew nuts, hazelnuts, walnuts, peanuts, wheat, and soybeans) and evaluated it in thermally processed foods (bread, cookie, fried fish, and frozen pasta). To select significant peptides to monitor, we used a bioinformatics-based approach and experimental confirmatory analysis. It was demonstrated that the developed method could detect target food ingredients from thermally processed foods successfully.",Journal of AOAC International,"['D000485', 'D000595', 'D000818', 'D001939', 'D002853', 'D004531', 'D048388', 'D019684', 'D008892', 'D008121', 'D033561', 'D010455', 'D010940', 'D012758', 'D013025', 'D053719', 'D014908']","['Allergens', 'Amino Acid Sequence', 'Animals', 'Bread', 'Chromatography, Liquid', 'Eggs', 'Gadiformes', 'Magnoliopsida', 'Milk', 'Nephropidae', 'Penaeidae', 'Peptides', 'Plant Proteins', 'Shellfish', 'Soybeans', 'Tandem Mass Spectrometry', 'Triticum']",Simultaneous Detection of 13 Allergens in Thermally Processed Food Using Targeted LC-MS/MS Approach.,"['Q000032', None, None, 'Q000032', 'Q000379', None, None, None, None, None, None, 'Q000032', 'Q000032', 'Q000032', None, 'Q000379', None]","['analysis', None, None, 'analysis', 'methods', None, None, None, None, None, None, 'analysis', 'analysis', 'analysis', None, 'methods', None]",https://www.ncbi.nlm.nih.gov/pubmed/30940287,2020
30607686,"The invasion of food by toxigenic fungi is a threat to public health. This study aimed at enumerating the microbial profile, detection of aflatoxin producing genes and quantification of the levels of aflatoxin contamination of cashew nuts meant for human consumption. A polyphasic method of analysis using newly formulated β-Cyclodextrin Neutral Red Desiccated coconut agar (β-CDNRDCA) and Yeast Extract Sucrose agar (YES) with Thin Layer Chromatography (TLC), Polymerase Chain Reaction (PCR) and High Performance Liquid Chromatographic (HPLC) method was adopted in determining the aflatoxigenic potential of the isolates, the presence of aflatoxin biosynthetic gene (aflM, aflD, aflR, aflJ omt-A) and estimation of the total aflatoxin content of the nuts. The fungal counts ranged from 2.0 to 2.4 log",World journal of microbiology & biotechnology,"['D000348', 'D031021', 'D001230', 'D002851', 'D002855', 'D016133']","['Aflatoxins', 'Anacardium', 'Aspergillus', 'Chromatography, High Pressure Liquid', 'Chromatography, Thin Layer', 'Polymerase Chain Reaction']",A polyphasic method for the identification of aflatoxigenic Aspergilla from cashew nuts.,"['Q000378', 'Q000382', 'Q000378', None, None, None]","['metabolism', 'microbiology', 'metabolism', None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/30607686,2019
