PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
32800224,"Spinetoram (XDE-175-J/L), a new spinosyn-based insecticide, is one of the most widely used bio-pesticide worldwide and its registration for direct application on cauliflower to control Plutella xylostella is currently under review in China. In this study, an accredited method for simultaneous determination of spinetoram and its two metabolites in cauliflower was established and validated using QuEChERS (quick, easy, cheap, effective, rugged, and safe) preparation coupled with ultra-liquid chromatography-tandem mass spectrometry (UPLC-MS/MS). The average recoveries using this method were ranged from 74 to 99% with relative standard deviations (RSDs) of 2.4-10.5%. The dissipation kinetics and terminal residues of spinetoram and its two metabolites in cauliflower were studied in Tianjin and Guizhou over two years under open field conditions. The dissipation experiments revealed that spinetoram was swiftly degraded in cauliflower, with the half-lives less than or equal to 4.85 days. The terminal residues of total spinetoram (sum of spinetoram and its two metabolites) detected in cauliflower samples were in the range of 0.009 mg/kg-0.337 mg/kg. Dietary risk assessment study was implemented based on the scientific data of field trials, food consumption and acceptable daily intake (ADI). The estimated long-term dietary risk probability (RQ) of total spinetoram from cauliflower was between 5.79% and 5.91%, indicating that spinetoram was associated with acceptable risk for dietary cauliflower consumption. The results would provide scientific guidance for proper usage of spinetoram in cauliflower field ecosystem.",Ecotoxicology and environmental safety,"['D001937', 'D002681', 'D002853', 'D004032', 'D017753', 'D007306', 'D007700', 'D018942', 'D010573', 'D018570', 'D053719']","['Brassica', 'China', 'Chromatography, Liquid', 'Diet', 'Ecosystem', 'Insecticides', 'Kinetics', 'Macrolides', 'Pesticide Residues', 'Risk Assessment', 'Tandem Mass Spectrometry']",Residue behavior and dietary risk assessment of spinetoram (XDE-175-J/L) and its two metabolites in cauliflower using QuEChERS method coupled with UPLC-MS/MS.,"['Q000502', None, 'Q000379', None, None, 'Q000032', None, 'Q000633', 'Q000032', None, 'Q000379']","['physiology', None, 'methods', None, None, 'analysis', None, 'toxicity', 'analysis', None, 'methods']",https://www.ncbi.nlm.nih.gov/pubmed/32800224,2020
32650243,"In this work, magnetic restricted-access carbon nanotubes (M-RACNTs) were synthesized, characterized and used in the dispersive solid-phase extraction (d-SPE) of organophosphate pesticides (OPPs) from food samples (broccoli, eggplant, cauliflower, and soy milk), followed by spectrophotometric determination in a flow injection analysis system. Fe","Spectrochimica acta. Part A, Molecular and biomolecular spectroscopy","['D002851', 'D057230', 'D060328', 'D037742', 'D010755', 'D052616']","['Chromatography, High Pressure Liquid', 'Limit of Detection', 'Magnetic Phenomena', 'Nanotubes, Carbon', 'Organophosphates', 'Solid Phase Extraction']",Magnetic restricted-access carbon nanotubes for the extraction/pre-concentration of organophosphates from food samples followed by spectrophotometric determination.,"[None, None, None, None, None, None]","[None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/32650243,2021
32208468,"Pesticides, widely used in modern agriculture, could potentially cause environmental pollution and affect human lives. Hence, the development of a highly sensitive sensing element to detect pesticide residues is crucial for food safety and ecosystem protection. Optical methods based on fluorescence properties provide an ideal approach for screening and quantification of these compounds in different medias including water, plant, and nutritional products. The development of fluorescence emitting carbon dot-based sensors for monitoring pesticides has attracted great attention in recent years. In comparison to other fluorophores, carbon dots have more promising optical features, higher quantum yields and better biocompatibility. This article aims to present a novel fluorescent sensing method of diazinon, glyphosate, and amicarbazone using plant-based carbon dots. A comprehensive characterization of carbon dots obtained from cauliflower was performed by methods including UV-visible, FTIR spectroscopy, fluorometry, AFM, DLS, and zeta sizer. Following this step, carbon dots were used to detect pesticides. The fluorescence quenching property of carbon dots has been utilized to identify detection limit of 0.25, 0.5, and 2 ng ml-1 for diazinon, amicarbazone, and glyphosate, respectively. Also, real sample study revealed that the detection of pesticides accompanied by our developed nano-sensor is repeatable and accurate. According to carbon dots specificity determination, the prepared nano sensor does not have the potential to identify ""bromacil"" and ""dialen super"" pesticides but the other three mentioned pesticides are detectable. The results confirm that synthesized green carbon dots are well qualified for application in food safety and environmental monitoring.",PloS one,"['D002244', 'D003976', 'D004784', 'D005506', 'D005998', 'D057230', 'D018551', 'D010575', 'D045663', 'D013050', 'D014230']","['Carbon', 'Diazinon', 'Environmental Monitoring', 'Food Contamination', 'Glycine', 'Limit of Detection', 'Lycopersicon esculentum', 'Pesticides', 'Quantum Dots', 'Spectrometry, Fluorescence', 'Triazoles']",Ultrasensitive fluorescent detection of pesticides in real sample by using green carbon dots.,"['Q000737', 'Q000032', None, 'Q000032', 'Q000031', None, 'Q000737', 'Q000032', 'Q000737', 'Q000379', 'Q000032']","['chemistry', 'analysis', None, 'analysis', 'analogs & derivatives', None, 'chemistry', 'analysis', 'chemistry', 'methods', 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/32208468,2020
31947847,"This study's aim was to determine the pesticide residues in 10 different vegetable commodities from the Asir region, Saudi Arabia. We evaluated 211 vegetable samples, collected from supermarkets between March 2018 and September 2018, for a total of 80 different pesticides using ultrahigh-performance liquid chromatography-tandem mass spectrometry (UHPLC-MS/MS) and gas chromatography-tandem mass spectrometry (GC-MS/MS) after extraction with a multi-residue method (the QuEChERS method). The results were assessed according to the maximum residue limit (MRL) provided by European regulations for each pesticide in each commodity. All lettuce, cauliflower, and carrot samples were found to be free from pesticide residues. A total of 145 samples (68.7%) contained detectable pesticide residues at or lower than MRLs, and 44 samples (20.9%) contained detectable pesticide residues above MRLs. MRL values were exceeded most often in chili pepper (14 samples) and cucumber (10 samples). Methomyl, imidacloprid, metalaxyl, and cyproconazole were the most frequently detected pesticides. Based on the results of this study, we recommend that a government-supported program for the monitoring of pesticide residues in vegetables be established to promote consumers' health and achieve sustainable farming systems.","Molecules (Basel, Switzerland)","['D002853', 'D005504', 'D005506', 'D008401', 'D006801', 'D010573', 'D053719', 'D014675']","['Chromatography, Liquid', 'Food Analysis', 'Food Contamination', 'Gas Chromatography-Mass Spectrometry', 'Humans', 'Pesticide Residues', 'Tandem Mass Spectrometry', 'Vegetables']","Evaluation of Pesticide Residues in Vegetables from the Asir Region, Saudi Arabia.","[None, None, 'Q000032', None, None, 'Q000032', None, 'Q000737']","[None, None, 'analysis', None, None, 'analysis', None, 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/31947847,2020
31802504,"Methoxyfenozide possesses efficacy against a variety of lepidopteron pests, including the major pests in cauliflower and tea, so it is of great importance to generalize the practical use of methoxyfenozide in the field.",Journal of the science of food and agriculture,"['D001937', 'D028241', 'D002681', 'D002853', 'D005506', 'D006207', 'D006801', 'D006834', 'D007306', 'D007605', 'D010573', 'D018520', 'D018570', 'D053719', 'D013662']","['Brassica', 'Camellia sinensis', 'China', 'Chromatography, Liquid', 'Food Contamination', 'Half-Life', 'Humans', 'Hydrazines', 'Insecticides', 'Juvenile Hormones', 'Pesticide Residues', 'Plant Shoots', 'Risk Assessment', 'Tandem Mass Spectrometry', 'Tea']",Residue dissipation and dietary exposure risk assessment of methoxyfenozide in cauliflower and tea via modified QuEChERS using UPLC/MS/MS.,"['Q000737', 'Q000737', None, 'Q000379', 'Q000032', None, None, 'Q000032', 'Q000032', 'Q000032', 'Q000032', 'Q000737', None, 'Q000379', 'Q000737']","['chemistry', 'chemistry', None, 'methods', 'analysis', None, None, 'analysis', 'analysis', 'analysis', 'analysis', 'chemistry', None, 'methods', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/31802504,2020
31174757,"New cauliflower-like phloroglucinol-glyoxylic acid resin microspheres (PGRMs) with controllable diameters and tuneable surface roughness were prepared using a one-step environmentally-friendly method without a catalyst. The PGRMs obtained exhibited a rough surface, narrow size distribution, and excellent adsorption capacity for polar compounds. The PGRMs were employed as an adsorbent for solid phase extraction (SPE) of kinetin (KT) and 6-benzyladenine (6-BA) in cucumbers and demonstrated better extraction recoveries and purification efficiency than phloroglucin-formaldehyde resin and common commercial adsorbents. Our PGRMs-SPE-HPLC method showed good linearity (r ≥ 0.9997) ranging from 0.04 to 4.00 μg/g for KT and 6-BA, and recoveries at three spiked concentration ranged from 77.8% to 104.4% with RSDs ≤ 6.8%. This PGRMs-SPE-HPLC method was applied successfully to determine of KT and 6-BA in cucumbers.",Food chemistry,"['D000327', 'D001593', 'D002851', 'D018553', 'D005504', 'D006038', 'D007701', 'D008863', 'D010316', 'D010696', 'D010937', 'D011687', 'D052616', 'D013499']","['Adsorption', 'Benzyl Compounds', 'Chromatography, High Pressure Liquid', 'Cucumis sativus', 'Food Analysis', 'Glyoxylates', 'Kinetin', 'Microspheres', 'Particle Size', 'Phloroglucinol', 'Plant Growth Regulators', 'Purines', 'Solid Phase Extraction', 'Surface Properties']",Cauliflower-like resin microspheres with tuneable surface roughness as solid-phase extraction adsorbent for efficient extraction and determination of plant growth regulators in cucumbers.,"[None, 'Q000032', None, 'Q000737', 'Q000295', 'Q000737', 'Q000032', None, None, 'Q000737', 'Q000032', 'Q000032', 'Q000295', None]","[None, 'analysis', None, 'chemistry', 'instrumentation', 'chemistry', 'analysis', None, None, 'chemistry', 'analysis', 'analysis', 'instrumentation', None]",https://www.ncbi.nlm.nih.gov/pubmed/31174757,2019
31108982,"Chlorfluazuron is used as a highly effective insect growth regulator to control a variety of crop pests. However, residues of this pesticide have been shown to be harmful to human health. To evaluate the residual dissipation pattern and risk for dietary intake of chlorfluazuron in various vegetables, a solid phase extraction-ultra performance liquid chromatography-tandem mass spectrometry method was established to analyze chlorfluazuron residues in Chinese cabbage, Chinese kale, Chinese lettuce, and cauliflower. The sample was extracted with acetonitrile and purified using an SPE amino column. The average recovery of the target sample in the analyzed four vegetables was between 75.0% and 104.1%, and the relative standard deviation was between 2.5% and 9.6%. The precision and accuracy of the analysis met the requirements of residue analysis standards. Dissipation kinetic testing of chlorfluazuron in different vegetables showed a half-life of 2.4-12.6 days, with a rapid dissipation rate. The estimated daily intake of the chlorfluazuron was 0.753-1.661 μg/(kg bw·d), and the risk quotient was 0.15-0.35. It showed that chlorfluazuron had a low risk of chronic dietary intake from vegetables in different populations in China. The results of this study has described the degradation rate of chlorfluazuron in four vegetables, evaluated the risk of dietary exposure to Chinese residents. Therefore, it provides supporting data and empirical basis for guiding the reasonable use of chlorfluazuron in vegetable production and in evaluating its dietary intake risk in vegetables.",International journal of environmental research and public health,"['D000097', 'D001937', 'D002681', 'D002853', 'D005506', 'D006801', 'D018545', 'D010573', 'D010575', 'D010671', 'D011725', 'D018570', 'D052616', 'D053719']","['Acetonitriles', 'Brassica', 'China', 'Chromatography, Liquid', 'Food Contamination', 'Humans', 'Lettuce', 'Pesticide Residues', 'Pesticides', 'Phenylurea Compounds', 'Pyridines', 'Risk Assessment', 'Solid Phase Extraction', 'Tandem Mass Spectrometry']","Determination of the Residue Behavior and Risk Assessment of Chlorfluazuron in Chinese Cabbage, Kale, Lettuce and Cauliflower by UPLC-MS/MS.","[None, 'Q000737', None, None, 'Q000032', None, 'Q000737', 'Q000737', 'Q000737', 'Q000737', 'Q000737', None, None, None]","[None, 'chemistry', None, None, 'analysis', None, 'chemistry', 'chemistry', 'chemistry', 'chemistry', 'chemistry', None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/31108982,2019
30536397,The present study investigates the occurrence of pymetrozine residues in cauliflower samples obtained from six cauliflower-producing areas of China during fixed time periods in 2017 and estimates the dietary risk of pymetrozine in cauliflower. A liquid chromatography with tandem mass spectrometry method was developed and validated to detect pymetrozine in cauliflower. The samples were extracted using 20 mL of acetonitrile and purified with dispersive solid-phase extraction using C,Biomedical chromatography : BMC,"['D001937', 'D002681', 'D002853', 'D005511', 'D057230', 'D016014', 'D010573', 'D015203', 'D018570', 'D053719', 'D014227']","['Brassica', 'China', 'Chromatography, Liquid', 'Food Handling', 'Limit of Detection', 'Linear Models', 'Pesticide Residues', 'Reproducibility of Results', 'Risk Assessment', 'Tandem Mass Spectrometry', 'Triazines']",Monitoring residue levels and dietary risk assessment of pymetrozine for Chinese consumption of cauliflower.,"['Q000737', None, None, None, None, None, 'Q000032', None, None, None, 'Q000032']","['chemistry', None, None, None, None, None, 'analysis', None, None, None, 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/30536397,2019
29430599,"Phenolic resin based activated carbon fibers (ACFs) were applied for the first time as a reversed-dispersive solid-phase extraction (r-DSPE) sorbent. A modified quick, easy, cheap, effective, rugged, and safe (QuEChERS) method was applied to determine 26 pesticides (organophosphates, organochlorines, synthetic pyrethroids, and herbicides) in different complex matrices, including cauliflower, cucumber, banana, apple, wheat, and black gram. Different physicochemical characterization techniques were used to investigate the engineering and structural properties of the r-DSPE sorbent. All the chromatographic analyses were performed with a gas chromatograph equipped with an electron capture detector. The recoveries of all 26 pesticides were acceptable (70-120%), with relative standard deviations of less than 15%. The limit of detection and the limit of quantification were 1.13-5.48 ng/g and 3.42-16.60 ng/g, respectively. In the original QuEChERS method, primary secondary amine is extensively used as the r-DSPE sorbent in the cleanup process, but it is eightfold more expensive than the ACFs used in this study. Therefore, the modified QuEChERS method using ACFs during the cleanup process is more efficient, cheaper, and more robust to determine pesticides from different types of matrices, including vegetables, grains, and fruits, and ACFs could be used as a cost-effective alternative to primary secondary amine. Graphical Abstract Sample clean-up using PSA and ACF as r-DSPE sorbent in QuEChERS method.",Analytical and bioanalytical chemistry,"['D002244', 'D000077482', 'D002606', 'D002849', 'D002523', 'D005504', 'D005506', 'D005638', 'D057230', 'D010573', 'D052616', 'D014675']","['Carbon', 'Carbon Fiber', 'Charcoal', 'Chromatography, Gas', 'Edible Grain', 'Food Analysis', 'Food Contamination', 'Fruit', 'Limit of Detection', 'Pesticide Residues', 'Solid Phase Extraction', 'Vegetables']","Inexpensive, effective novel activated carbon fibers for sample cleanup: application to multipesticide residue analysis in food commodities using a QuEChERS method.","['Q000737', None, 'Q000737', 'Q000191', 'Q000737', 'Q000191', 'Q000032', 'Q000737', None, 'Q000032', 'Q000191', 'Q000737']","['chemistry', None, 'chemistry', 'economics', 'chemistry', 'economics', 'analysis', 'chemistry', None, 'analysis', 'economics', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/29430599,2018
28353394,"The aim of the research is to evaluate pesticide residue contamination of fresh and frozen fruits and vegetables, agricultural raw material, purchased from Polish farmers for production of frozen fruits and vegetables, and the estimation of the multiresidue method effectiveness expressed as the proportion of pesticides detected in food samples to the total number of pesticides analyzed by multiresidue methods. A total of 144 samples (of black currants, red currants, raspberries, cherries, strawberries, blackberries, cauliflowers and broccoli) were analyzed using LC-MS/MS method for the determination of 60 pesticides. QuEChERS extraction, matrix-matched calibration and dynamic multiple reaction monitoring method were used. Residues of 15 compounds, mainly fungicides and insecticides, were detected in 46 samples. The percentage of samples with residues above the maximum residue levels (MRL) was 15%, whereas samples with residues below MRL were 17%. A total of 13 samples contained more than one pesticide residue. Pesticide residues were detected most often in samples of black currants (50%), broccoli (36.4%), raspberries (29%) and red currants (21.8%). The most frequently detected pesticides were carbendazim and acetamiprid. The proportion of pesticides detected during our study to the total number of analyzed pesticides amounted to 25%. It was compared to literature findings. For three fourth of multiresidue methods, the proportion was below 50% for methods developed for the analysis of less than 100 pesticides, and below 30% for methods developed for the analysis of more than 100 pesticides. It appears that a lot of efforts and means is lost on pesticides never or rarely detected in examined samples. The workload and cost effectiveness of the development and application of multiresidue methods along with the range of pesticides covered by the method should be carefully and thoroughly considered anytime when a new method or workflow is developed. Including non-targeted screenings in pesticide residue control seems to be an alternative worth considering.","Journal of environmental science and health. Part. B, Pesticides, food contaminants, and agricultural wastes","['D002853', 'D005506', 'D005638', 'D010573', 'D011044', 'D053719', 'D014675']","['Chromatography, Liquid', 'Food Contamination', 'Fruit', 'Pesticide Residues', 'Poland', 'Tandem Mass Spectrometry', 'Vegetables']",LC-MS/MS determination of pesticide residues in fruits and vegetables.,"['Q000379', 'Q000032', 'Q000737', 'Q000032', None, 'Q000379', 'Q000737']","['methods', 'analysis', 'chemistry', 'analysis', None, 'methods', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/28353394,2017
