PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
35314979,"Carnosine is a naturally occurring dipeptide and a functional component in foods, while also showing health-promoting effects. Generally, food-derived carnosine is quantified via high-performance liquid chromatography (HPLC). We have developed a method for quantifying carnosine in foods using microbial enzymes, β-Ala-Xaa dipeptidase (BapA) and histidine ammonia-lyase (HAL). The carnosine concentrations in extracts of chicken, pork, beef, bonito, and tuna were determined via both HPLC and enzymatic determination. The carnosine contents measured via enzymatic determination were in agreement with those determined via conventional HPLC analysis. Relative standard-deviation values of the conventional HPLC method and the enzymatic determination of carnosine in foods were 0.728-5.76% and 0.504-4.58%, respectively. The recovery of carnosine in food extracts via enzymatic determination was 97-103%. Therefore, the developed enzymatic determination technique using BapA and HAL can be used for the determination of carnosine in meats and fishes with comparable accuracy to that of conventional HPLC analysis.",Analytical sciences : the international journal of the Japan Society for Analytical Chemistry,"['D000818', 'D002336', 'D002417', 'D004150', 'D005399', 'D006638', 'D008460', 'D016958']","['Animals', 'Carnosine', 'Cattle', 'Dipeptidases', 'Fishes', 'Histidine Ammonia-Lyase', 'Meat', 'Pseudomonas putida']",Enzymatic determination of carnosine in meat and fish using β-Ala-Xaa dipeptidase and histidine ammonia-lyase derived from Pseudomonas putida NBRC100650.,"[None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/35314979,2022
35305432,"A sensitive method based on ultrasound-assisted liquid extraction coupled with liquid chromatography was applied to screen 18 plastic-related contaminants in 168 food composites (namely fish fillets, chicken breast, canned tuna, leafy vegetables, bread and butter) collected in Montreal (Canada), Pretoria and Vhembe (South Africa). Bisphenol A (BPA), bisphenol S (BPS) and seven plasticizers (di-n-butyl phthalate (DBP), diethyl phthalate (DEP), (2-ethylhexyl) phthalate (DEHP), di-(2-ethylhexyl) adipate (DEHA), di-isononyl phthalate (DINP), di-(isononyl)-cyclohexane-1,2-dicarboxylate (DINCH)) were detected in different foods from both countries. DBP and DEP were the most frequently detected contaminants in food collected in Montreal (75% for both) and DINP was the most frequently detected contaminant in food from South Africa (67%). DEHA concentration in packaged fish were significantly higher than the values for non-packaged fish (p < 0.01) suggesting that the packaging film can be one source of DEHA in fish.",Food chemistry,[],[],Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35305432,2022
35030475,"The objective of this work was to develop a quantitative multi-residue method for analysing antiviral drug residues and their metabolites in poultry meat samples. Antiviral drugs are not licensed for the treatment of influenza in food producing animals. However, there have been some reports indicating their illegal use in poultry. In this study, a method was developed for the analysis of 15 antiviral drug residues in poultry muscle (chicken, duck, quail and turkey) using liquid chromatography coupled to tandem mass spectrometry. This included 13 drugs against influenza and associated metabolites, but also two drugs employed for the treatment of herpes (acyclovir and ganciclovir). The method required the development of a novel chromatographic separation using a hydrophilic interaction chromatographic (HILIC) BEH amide column, which was necessary to retain the highly polar compounds. The analytes were detected using a triple quadrupole mass spectrometer operating in positive electrospray ionization mode. A range of different sample preparation protocols suitable for polar compounds were evaluated. The most effective procedure was based on a simple acetonitrile-based protein precipitation step followed by a further dilution in a methanol/water solution. The confirmatory method was validated according to the EU 2021/808 guidelines on different species including chicken, duck, turkey and quail. The validation was performed using various calibration curves ranging from 0.1 µg kg",Journal of chromatography. A,"['D000818', 'D000998', 'D002851', 'D002853', 'D004350', 'D009132', 'D011200', 'D015203', 'D053719']","['Animals', 'Antiviral Agents', 'Chromatography, High Pressure Liquid', 'Chromatography, Liquid', 'Drug Residues', 'Muscles', 'Poultry', 'Reproducibility of Results', 'Tandem Mass Spectrometry']",Development and validation of a quantitative method for 15 antiviral drugs in poultry muscle using liquid chromatography coupled to tandem mass spectrometry.,"[None, 'Q000032', None, None, 'Q000032', 'Q000737', None, None, None]","[None, 'analysis', None, None, 'analysis', 'chemistry', None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/35030475,2022
34985214,"Chlorpropham is a plant growth regulator and a herbicide. It is commonly used in the post-harvest treatment of potato to inhibit germination. It can also be used for flower thinning and fruit thinning of fruit trees, and for controlling annual gramineous weeds and a few broad-leaved weeds. Improper or excessive use of chlorpropham in crop cultivation will affect the safety of animal-derived food and impair human health through the food chain and water cycle. Therefore, accurate quantification of chlorpropham is imperative for risk assessment and mitigating risks to food safety. A method based on solid phase extraction and ultra-high performance liquid chromatography-tandem mass spectrometry (SPE-UHPLC-MS/MS) was established for the determination of chlorpropham in animal-derived food. First, the pretreatment conditions were optimized. To purify the samples and remove impurities, SPE column cartridges with different packing materials such as PXC, PXA, Florisil, and PLS were investigated. Based on the retention of chlorpropham, the ProElut PLS SPE column was selected as the pretreatment purification column. The washing solution and eluents were then optimized. When water was used as the washing solution, chlorpropham remained adsorbed on the SPE column and was not eluted along with other water-soluble substances. When the proportion of acetonitrile exceeded 40%, chlorpropham adsorbed on the filler of the SPE column could be gradually washed down. Acetonitrile-water solution(30∶70, v/v) was used for washing the SPE column. The elution ability of seven eluents for chlorpropham on the SPE column was then investigated. Among them, pure methanol, pure acetonitrile, and 1% (v/v) formic acid-methanol showed better elution effect. Considering that acetonitrile was used in the sample extraction, it was chosen as the mobile phase eluent. Subsequently, the chromatographic conditions and MS parameters were optimized. By examining the ionization cracking of chlorpropham, the quasimolecular ions and corresponding fragmentations in the chlorpropham primary MS were determined. The separation effect of three C18 columns was investigated. Based on the retention ability and peak effect of chlorpropham on the column, the Agilent ZORBAX SB-C18 (150 mm×2.1 mm, 5 μm) column was used for chlorpropham separation. The response of chlorpropham in the positive and negative ionization modes was investigated and optimized. The results showed that the response was better in the positive ion mode than that in the negative ion mode. After optimizing the chromatographic conditions and MS parameters, the sensitivity of the method was improved. Finally, the analytes were separated on the Agilent ZORBAX SB-C18 (150 mm×2.1 mm, 5 μm) under a gradient elution program using acetonitrile and 0.2% (v/v) formic acid aqueous solution as the mobile phases. The analytes were detected in the multiple reaction monitoring (MRM) mode under positive electrospray ionization (ESI",Se pu = Chinese journal of chromatography,"['D000818', 'D002417', 'D002748', 'D002851', 'D006801', 'D008892', 'D052616', 'D053719']","['Animals', 'Cattle', 'Chlorpropham', 'Chromatography, High Pressure Liquid', 'Humans', 'Milk', 'Solid Phase Extraction', 'Tandem Mass Spectrometry']",[Determination of chlorpropham residues in animal-derived foods by solid phase extraction and ultra-high performance liquid chromatography-tandem mass spectrometry].,"[None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34985214,2022
34980530,"To reduce matrix interference and realize simultaneous detection of multiple homologous compounds (trimethoprim (TMP), diaveridine (DVD), ormetoprim (OMP), baquiloprim (BQP), and aditoprim (ADP) in pig, cattle, chicken, and fish muscles), an immunomagnetic bead (IMB)-based sample purification pretreatment with HPLC-UV was developed. A broad-spectrum monoclonal antibody (mAb, named 14C6) was prepared and conjugated with carboxylic-acid-functionalized magnetic nanoparticles using the active ester method to obtain IMBs for sample purification. The extraction solvent was optimized based on the extraction efficiency. Good linearity was observed for all the five analytes (10-200 μg/kg) with the LOD and LOQ of 5 and 10 μg/kg, respectively. The mean recoveries ranged from 62.5% to 76.9%, while the coefficient of variation was <12.2%. The IMB method afforded greater sample purification and enrichment than those achieved with the SPE column-based conventional method. Hence, the IMB-based sample purification is a useful tool to determine 2,4-diaminopyrimidine residues in edible animal tissues.",Food chemistry,"['D000818', 'D002417', 'D002645', 'D002851', 'D005399', 'D005506', 'D008460', 'D011743', 'D052616', 'D013552', 'D053719']","['Animals', 'Cattle', 'Chickens', 'Chromatography, High Pressure Liquid', 'Fishes', 'Food Contamination', 'Meat', 'Pyrimidines', 'Solid Phase Extraction', 'Swine', 'Tandem Mass Spectrometry']","Rapid determination of 2,4-diaminopyrimidine residues through sample pretreatment using immunomagnetic bead purification along with HPLC-UV.","[None, None, None, None, None, 'Q000032', 'Q000032', 'Q000032', None, None, None]","[None, None, None, None, None, 'analysis', 'analysis', 'analysis', None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34980530,2022
34957176,"Vitamin K content of foods is known to vary substantially by geographical location. In Australia, no Vitamin K database of food exists, thereby creating ambiguity when trying to develop national dietary intake guidelines. This investigation aimed to develop a Vitamin K database for commonly consumed foods that are commercially available in Australian supermarkets. The Vitamin K1 (phylloquinone; PK) and K2 (menaquinone; MK4, MK7) content of 60 foods known to contain Vitamin K were assessed (e.g., vegetables fruits, oils, animal products, dairy and fermented foods). A liquid chromatography with tandem mass spectrometry (LCMS/MS) method was developed and used to measure PK and MKs in different foods with an improved chromatographic separation and detection of Vitamin K's and their analogs. The LOD and LOQ for PK and MK4 was 0.1, 0.5 ng/ml and 0.5, 1.0 ng/ml, respectively. The majority foods contained detectable PK (53/60), about half contained MK4 (31/60), and few contained MK7 (3/60). PK was highest in green leafy vegetables, with moderate amounts in oils. Highest MK4 content was in chicken eggs and meat products such as ham and chicken. This database enables nutritional epidemiologist to estimate dietary Vitamin K intake, especially in Australian cohorts, for a range of health outcomes.",Frontiers in nutrition,[],[],Development of a Vitamin K Database for Commercially Available Food in Australia.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/34957176,2021
34859904,"The characterization and functionality of protein glycosylation among different related species are of common interest. Herein, non-standard quantification and N-glycosylation enrichment technology combined with ultra-high liquid chromatography-tandem mass spectrometry were used to establish detailed N-glycoproteomics of fertilized eggs, and quantitatively compared between Tibetan and lowland chicken. A total of 396N-glycosites from 143 glycoproteins were found. Specifically, compared with lowland chicken egg white, 32N-glycosites of 22 glycoproteins were up-regulated and 57N-glycosites of 25 glycoproteins were down-regulated in Tibetan chicken egg white. Also, 137N-glycosites in 72 glycoproteins showed much higher-degree glycosylation and 36N-glycosites in 15 glycoproteins displayed lower-degree glycosylation in Tibetan chicken egg yolk than those in lowland chicken egg yolk. Through bioinformatic analysis, these varied glycoproteins were highly associated with antifreeze activity, hypoxia adaptation, coagulation cascade, and binding/immunity activities, which may be related to plateau hypoxia and cold stress. PRACTICAL APPLICATIONS: These findings provide a new insight on the role of biological egg N-glycoproteins related to environmental adaptation and evolution, which may be further applied in improving egg processing and human health, by developing biomolecules for food and medical industry.",Journal of food biochemistry,"['D000818', 'D002645', 'D004527', 'D004530', 'D018609', 'D015053']","['Animals', 'Chickens', 'Egg Proteins', 'Egg Yolk', 'Tibet', 'Zygote']",Comparative N-glycoproteomic analysis of Tibetan and lowland chicken fertilized eggs: Implications on proteins biofunction and species evolution.,"[None, 'Q000378', 'Q000737', 'Q000737', None, 'Q000737']","[None, 'metabolism', 'chemistry', 'chemistry', None, 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/34859904,2022
34837906,"Local chickens were spontaneously sampled and slaughtered in the central markets of Coimbatore, Erode, and Namakkal districts, South India.",Asian Pacific journal of cancer prevention : APJCP,"['D000818', 'D002104', 'D002273', 'D002645', 'D005506', 'D006801', 'D007194', 'D007854', 'D008452', 'D011202', 'D013054']","['Animals', 'Cadmium', 'Carcinogens', 'Chickens', 'Food Contamination', 'Humans', 'India', 'Lead', 'Maximum Allowable Concentration', 'Poultry Products', 'Spectrophotometry, Atomic']","Carcinogens in Food: Evaluating the Presence of Cadmium, Lead, in Poultry Meat in South India.","[None, 'Q000032', None, None, 'Q000032', None, None, 'Q000032', None, 'Q000032', None]","[None, 'analysis', None, None, 'analysis', None, None, 'analysis', None, 'analysis', None]",https://www.ncbi.nlm.nih.gov/pubmed/34837906,2022
34677016,"As among the most widely used pesticides in agriculture, plant growth regulators (PGRs) have a positive influence on plants. However, the overuse of PGRs may induce toxicity in food and even be hazardous to human health. Numerous studies have investigated the presence and residues of PGRs on vegetables and fruits. Animal-derived foods are one of the most dominant food sources providing nutrients to fulfil the daily dietary intake, and could also be potentially contaminated by PGRs. However, there is little information on PGR residues in animal-derived foods. Standardization also lacks among the techniques for PGR determination in animal-derived foods, thereby restricting the further establishment of pesticide usage and food safety regulations. Therefore, in this study, a rapid and effective method for analyzing chlormequat chloride, thidiazuron, and paclobutrazol in animal-derived food samples was established. The method primarily involves high performance liquid chromatography-tandem mass spectrometry combined with the use of isotope-labeled internal standards. The extraction and clean-up procedures were based on the QuEChERS method. The analytes were extracted from pork, beef, chicken, pork liver, egg, and milk samples using acetonitrile, followed by 4 g anhydrous magnesium sulfate (MgSO",Se pu = Chinese journal of chromatography,"['D000818', 'D002417', 'D002851', 'D006801', 'D007554', 'D010937', 'D012015', 'D052616', 'D053719']","['Animals', 'Cattle', 'Chromatography, High Pressure Liquid', 'Humans', 'Isotopes', 'Plant Growth Regulators', 'Reference Standards', 'Solid Phase Extraction', 'Tandem Mass Spectrometry']",[Determination of plant growth regulators in animal-derived foods using QuEChERS-isotope-labeled internal standards with high performance liquid chromatography-tandem mass spectrometry].,"[None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34677016,2021
34509144,"The contents and profiles of small molecules in a food can provide information about quality-related properties. Processing methods and deterioration during storage, e.g. from bacterial proliferation and degradation, might also lead to changes in the metabolome, which can be determined by mass spectrometry-based metabolomics. By measuring as many metabolites as possible in differently treated pre-cooked chicken fillets in an untargeted approach, we studied individual and combined effects of vacuum packaging (VP), soluble gas stabilisation (SGS), high pressure processing (HPP), and microwave volumetric heating (MW) on the quality and shelf-life of the finished product. The extensive dataset was processed using an optimised workflow of consecutive software tools with stringent statistical analysis to prevent over-interpretation, which is an inherent risk of metabolomics data. Our results showed the predominant influence of VP on storage quality since SGS, HPP, and MW did not have the potential to extent shelf-life.",Food chemistry,"['D000818', 'D002645', 'D003296', 'D018857', 'D055432', 'D011786', 'D057188']","['Animals', 'Chickens', 'Cooking', 'Food Packaging', 'Metabolomics', 'Quality Control', 'Workflow']",Metabolomics workflow for quality control of differently-processed pre-cooked chicken fillets.,"[None, None, None, None, None, None, None]","[None, None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34509144,2021
