PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
34829121,"In general, sourdough fermentation leads to an improvement in the technological, nutritional, and sensory properties of bakery products. The use of non-conventional flours with a specific autochthonous microbiota may lead to the formation of secondary metabolites, which may even have undesirable physiological and toxicological effects. Chickpea flours from different suppliers have been used to produce sourdoughs by spontaneous and inoculated fermentations. The content of nutritionally undesirable biogenic amines (BA) and beneficial gamma-aminobutyric acid (GABA) was determined by chromatography. Fenugreek sprouts, which are a rich source of amine oxidases, were used to reduce the BA content in the sourdoughs. Spontaneous fermentation resulted in a high accumulation of cadaverine, putrescine, and tyramine for certain flours. The use of commercial starter cultures was not effective in reducing the accumulation of BA in all sourdoughs. The addition of fenugreek sprouts to the suspension of sourdough with pH raised to 6.5 resulted in a significant reduction in BA contents. Enzymatic oxidation was less efficient during kneading. Baking resulted in only a partial degradation of BA and GABA in the crust and not in the crumb. Therefore, it could be suggested to give more importance to the control of sourdough fermentation with regard to the formation of nutritionally undesirable BA and to exploit the possibilities of their degradation.","Foods (Basel, Switzerland)",[],[],Accumulation and Transformation of Biogenic Amines and Gamma-Aminobutyric Acid (GABA) in Chickpea Sourdough.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/34829121,2021
34786560,"The increasing need for sustainable food choices places a demand on developing palatable foods from lower impact production and with a suitable shelf-life. In this context, knowledge of the sensory properties of whole sterilised chickpeas is required to be able to make them more attractive to the consumers. The sensory quality of chickpeas is largely dependent on the aroma and flavour, which can be influenced by storage conditions. In this study, sterilised chickpeas in two different packaging materials with different oxygen permeabilities, stored up to 52 weeks at ambient temperature (20 °C) were investigated using both descriptive sensory profiling and gas chromatography - mass spectrometry - olfactometry analysis (GC-MS-O). During storage, intense, sulphury and meat-like aromas decreased in intensity, while with longer storage time hay-like, green-like and potato-like flavours and aromas became more apparent. A total of 40 odour-active volatiles were detected, of which some had properties reminiscent of the chickpea flavour profiles. However, no clear relationships could be established between these odorants and the sensory changes observed during storage by descriptive sensory analysis. It was concluded that, significant changes in the sensory attributes of sterilised chickpeas occurred during 52 weeks of storage, but that packaging material does not seem to largely influence the sensory attributes during storage.",Current research in food science,[],[],Flavour stability of sterilised chickpeas stored in pouches.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/34786560,2021
34201792,"Pulse crop seed coats are a sustainable source of antioxidant polyphenols, but are typically treated as low-value products, partly because some polyphenols reduce iron bioavailability in humans. This study correlates antioxidant/iron chelation capabilities of diverse seed coat types from five major pulse crops (common bean, lentil, pea, chickpea and faba bean) with polyphenol composition using mass spectrometry. Untargeted metabolomics was used to identify key differences and a hierarchical analysis revealed that common beans had the most diverse polyphenol profiles among these pulse crops. The highest antioxidant capacities were found in seed coats of black bean and all tannin lentils, followed by maple pea, however, tannin lentils showed much lower iron chelation among these seed coats. Thus, tannin lentils are more desirable sources as natural antioxidants in food applications, whereas black bean and maple pea are more suitable sources for industrial applications. Regardless of pulse crop, proanthocyanidins were primary contributors to antioxidant capacity, and to a lesser extent, anthocyanins and flavan-3-ols, whereas glycosylated flavonols contributed minimally. Higher iron chelation was primarily attributed to proanthocyanidin composition, and also myricetin 3-","Molecules (Basel, Switzerland)","['D000975', 'D044946', 'D001682', 'D002392', 'D029863', 'D000078331', 'D005419', 'D044948', 'D020128', 'D007502', 'D027806', 'D013058', 'D055432', 'D010636', 'D059808', 'D044945', 'D012639', 'D013634', 'D031307']","['Antioxidants', 'Biflavonoids', 'Biological Availability', 'Catechin', 'Cicer', 'Correlation of Data', 'Flavonoids', 'Flavonols', 'Inhibitory Concentration 50', 'Iron Chelating Agents', 'Lens Plant', 'Mass Spectrometry', 'Metabolomics', 'Phenols', 'Polyphenols', 'Proanthocyanidins', 'Seeds', 'Tannins', 'Vicia faba']",An Untargeted Metabolomics Approach for Correlating Pulse Crop Seed Coat Polyphenol Profiles with Antioxidant Capacity and Iron Chelation Ability.,"['Q000032', 'Q000032', None, 'Q000032', 'Q000737', None, 'Q000032', 'Q000032', None, 'Q000737', 'Q000737', None, 'Q000379', 'Q000032', 'Q000032', 'Q000032', 'Q000737', 'Q000032', 'Q000737']","['analysis', 'analysis', None, 'analysis', 'chemistry', None, 'analysis', 'analysis', None, 'chemistry', 'chemistry', None, 'methods', 'analysis', 'analysis', 'analysis', 'chemistry', 'analysis', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/34201792,2021
33465691,"Contamination with bacteria leads to food waste and foodborne diseases with severe consequences for the environment and human health. Aiming to reduce food spoilage and infection, the present study developed novel highly active food-grade antimicrobial peptides affecting a wide range of bacteria. After extraction from chickpea, the storage protein legumin was hydrolyzed by the digestive protease chymotrypsin. Subsequent analysis by ultrahigh-performance micro-liquid chromatography-triple quadrupole time-of-flight tandem mass spectrometry determined the resulting peptide profiles. Virtual screening identified 21 potential antimicrobial peptides in the hydrolysates. Among those, the peptides Leg1 (RIKTVTSFDLPALRFLKL) and Leg2 (RIKTVTSFDLPALRWLKL) exhibited antimicrobial activity against 16 different bacteria, including pathogens, spoilage-causing bacteria and two antibiotic-resistant strains. Leg1/Leg2 showed minimum inhibitory concentrations (MIC) down to 15.6 µmol/L and were thus 10-1,000-fold more active compared to conventional food preservatives. Moreover, Leg1 and Leg2 showed bactericidal activity in contrast to the bacteriostatic activity of conventional preservatives.",Food chemistry,"['D000595', 'D001419', 'D029863', 'D005516', 'D005520', 'D006801', 'D008826', 'D010940', 'D052899']","['Amino Acid Sequence', 'Bacteria', 'Cicer', 'Food Microbiology', 'Food Preservatives', 'Humans', 'Microbial Sensitivity Tests', 'Plant Proteins', 'Pore Forming Cytotoxic Proteins']","Generation of antimicrobial peptides Leg1 and Leg2 from chickpea storage protein, active against food spoilage bacteria and foodborne pathogens.","[None, 'Q000187', 'Q000737', None, 'Q000737', None, None, 'Q000737', 'Q000737']","[None, 'drug effects', 'chemistry', None, 'chemistry', None, None, 'chemistry', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/33465691,2021
33267968,"In this study, the solid-state fermentation (SSF) of chickpeas by using Bacillus subtilis lwo was performed to evaluate the effect of fermentation on the proteolysis and the antioxidative properties of chickpeas. The soluble protein, peptide, and free amino nitrogen contents; proteinase activity; degradation of protein; peptide profiles; and the antioxidant activities during fermentation were investigated. Results indicated that during the fermentation process, increasing the protease activity resulted in increased release of soluble proteins, peptides, and free amino nitrogen (FAN), which reached their maximum values (15.4 mg/g, 25.8 mg/g, and 1.03 g/100 g, respectively) at 48 h of fermentation. The electrophoretic profiles indicated that most chickpea proteins were degraded after fermentation for 24 h. High-performance liquid chromatography (HPLC) indicated a decreased/disappearance of hydrophobic/large peptides and increased hydrophilic/small peptides. Moreover, the fermented chickpeas showed higher 2,2-diphenyl-1-picrylhydrazyl (DPPH) and hydroxyl radical scavenging activities than the unfermented chickpeas. These data suggested that the fermentation process by using B. subtilis lwo improved the proteolysis and the antioxidative activities of chickpeas. Thus, this method may provide a novel way to enhance the value of chickpeas, and the chickpeas fermented by B. subtilis lwo can be used in food industries.",International journal of food microbiology,"['D000975', 'D001412', 'D029863', 'D005285', 'D005516', 'D059748']","['Antioxidants', 'Bacillus subtilis', 'Cicer', 'Fermentation', 'Food Microbiology', 'Proteolysis']",Effect of solid-state fermentation with Bacillus subtilis lwo on the proteolysis and the antioxidative properties of chickpeas.,"['Q000032', 'Q000378', 'Q000737', None, 'Q000379', None]","['analysis', 'metabolism', 'chemistry', None, 'methods', None]",https://www.ncbi.nlm.nih.gov/pubmed/33267968,2021
33189480,"Whole grains and pulses are rich in nutrients but often avoided by individuals with gastrointestinal disorders, due to high levels of fermentable oligo-, di-, monosaccharides and polyols (FODMAPs). This study investigated the impact of malting as delivery-system for endogenous enzymes. Malts from barley and wheat (naturally high in fructans), lentils and chickpeas (high in galactooligosaccharides), oat and buckwheat (low in FODMAPs) were produced. While barley and wheat malts had slightly elevated fructan-levels, in oat malt 0.8 g/100 g DM fructans were de novo synthesized. In lentils and chickpeas galactooligosaccharides diminished by 80-90%. Buckwheat did not contain any FODMAPs commonly investigated, but fagopyritols which may have a similar physiological effect. Also fagopyritols were degraded. While malted pulses and buckwheat are directly suitable for low FODMAP applications, using the combined approach of malting and fermentation, malted cereals could contribute to high nutritional values of such products.",Food chemistry,"['D002851', 'D002852', 'D029863', 'D004187', 'D002523', 'D019612', 'D005511', 'D005630', 'D018525', 'D027806', 'D009005', 'D009844', 'D014908']","['Chromatography, High Pressure Liquid', 'Chromatography, Ion Exchange', 'Cicer', 'Disaccharides', 'Edible Grain', 'Fagopyrum', 'Food Handling', 'Fructans', 'Germination', 'Lens Plant', 'Monosaccharides', 'Oligosaccharides', 'Triticum']","Fundamental study on changes in the FODMAP profile of cereals, pseudo-cereals, and pulses during the malting process.","[None, None, 'Q000254', 'Q000032', 'Q000378', 'Q000254', 'Q000379', 'Q000032', None, 'Q000254', 'Q000032', 'Q000032', 'Q000254']","[None, None, 'growth & development', 'analysis', 'metabolism', 'growth & development', 'methods', 'analysis', None, 'growth & development', 'analysis', 'analysis', 'growth & development']",https://www.ncbi.nlm.nih.gov/pubmed/33189480,2021
33086622,"Microextraction procedures for the separation of Pb(II) from water and food samples extracts were developed. A deep eutectic solvent composed of α-benzoin oxime and iron(III) chloride dissolved in phenol was applied as a phase separator support. In addition, this deep eutectic mixture worked as an efficient extractor of Pb(II). The developed microextraction process showed a high ability to tolerate the common coexisting ions in the real samples. The optimum conditions for quantitative recoveries of Pb(II) from aqueous extracts were at pH 2.0, conducted by adding 150 µL from the deep eutectic solvent. The quantitative recoveries were obtained with various initial sample volumes up to 30 mL. Limits of detection and limits of quantification of 0.008 and 0.025 µg L","Molecules (Basel, Switzerland)","['D000818', 'D005290', 'D005506', 'D006801', 'D007854', 'D057230', 'D059627', 'D008892', 'D013054', 'D014867', 'D014874']","['Animals', 'Ferric Compounds', 'Food Contamination', 'Humans', 'Lead', 'Limit of Detection', 'Liquid Phase Microextraction', 'Milk', 'Spectrophotometry, Atomic', 'Water', 'Water Pollutants, Chemical']",Deep Eutectic Solvent-Based Microextraction of Lead(II) Traces from Water and Aqueous Extracts before FAAS Measurements.,"[None, 'Q000737', None, None, 'Q000302', None, None, 'Q000737', None, 'Q000737', 'Q000737']","[None, 'chemistry', None, None, 'isolation & purification', None, None, 'chemistry', None, 'chemistry', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/33086622,2021
32856304,"Beans are a rich source of phosphatidylcholine (PC). This study aims to explore natural PC sources rich in polyunsaturated fatty acid (PUFA) with nutritional interest. PCs from six beans were purified (purity > 98.2%) by thin layer chromatography (TLC), and subsequently identified by ultra-high performance liquid chromatography-Quadrupole (Q)-high-resolution mass spectrometry (UHPLC-Q-HRMS). Results showed that the PC content of chickpea (Cicer arietinum) and soybean (Glycine max) was 50.0 and 34.0 mg/g, respectively, which was significantly higher than that of other beans (P < 0.05). Gas chromatographic analysis showed that soybean contained high proportion of PUFA (58.78%), and chickpea contained high proportion of docosahexaenoic acid (DHA) (2.73%). A total of 49 molecular species were identified by UHPLC-Q-HRMS. (18:2-18:2)PC was predominant in soybean, adzuki bean, runner bean, and common bean. (16:0-18:1)PC was the major species of chickpea PC, and many ether PC species and DHA-PC were identified. Discriminatory analysis by principal component analysis (PCA) indicated that the molecular profiles of chickpea PC were significantly different from other beans studied. The findings suggest that chickpea appears to be an interesting plant source of DHA and ether lipids for dietary supplement. PRACTICAL APPLICATION: In this study, we reported an UHPLC-Q-HRMS technique to identify PC molecular species of six beans. The diversity of PC molecular species in the different beans was classified using chemometrics. This analytical method not only provides comprehensive information to nutritionists about the PC distribution in different beans, but also can identify biomarkers for bean flour fraud identification in food supplementation. Furthermore, the approach gives fragmentation patterns of several PC species and could be further applied to determine the chemical structure of PC molecular species from many natural resources.",Journal of food science,"['D002851', 'D002855', 'D007887', 'D005231', 'D013058', 'D010713', 'D010936']","['Chromatography, High Pressure Liquid', 'Chromatography, Thin Layer', 'Fabaceae', 'Fatty Acids, Unsaturated', 'Mass Spectrometry', 'Phosphatidylcholines', 'Plant Extracts']",Exploration of natural phosphatidylcholine sources from six beans by UHPLC-Q-HRMS.,"['Q000379', None, 'Q000737', 'Q000737', 'Q000379', 'Q000737', 'Q000737']","['methods', None, 'chemistry', 'chemistry', 'methods', 'chemistry', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/32856304,2020
32420683,To identify reliable biomarkers of food intake (BFIs) of pulses.,Molecular nutrition & food research,"['D000328', 'D000470', 'D015415', 'D002853', 'D029863', 'D004435', 'D005260', 'D006801', 'D007211', 'D027806', 'D008297', 'D013058', 'D027805', 'D010875', 'D019518', 'D055815']","['Adult', 'Alkaloids', 'Biomarkers', 'Chromatography, Liquid', 'Cicer', 'Eating', 'Female', 'Humans', 'Indoles', 'Lens Plant', 'Male', 'Mass Spectrometry', 'Phaseolus', 'Pipecolic Acids', 'Postprandial Period', 'Young Adult']","Discovery of Intake Biomarkers of Lentils, Chickpeas, and White Beans by Untargeted LC-MS Metabolomics in Serum and Urine.","[None, 'Q000652', 'Q000097', None, None, None, None, None, 'Q000652', None, None, None, None, 'Q000097', None, None]","[None, 'urine', 'blood', None, None, None, None, None, 'urine', None, None, None, None, 'blood', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/32420683,2021
32356273,"The pod wall of legumes is known to protect the developing seeds from pests and pathogens. However, the mechanism of conferring defense against insects has not yet been deciphered. Here, we have utilized 2-dimensional gel electrophoresis (2D-GE) coupled with mass spectrometry (MS/MS) to identify over expressed proteins in the pod wall of two different cultivars (commercial cultivar: JG 11 and tolerant cultivar: ICC 506-EB) of chickpea after 12 h of application of Helicoverpa armigera oral secretions (simulated herbivory). The assays were performed with a view that larvae are a voracious feeder and cause substantial damage to the pod within 12 h. A total of 600 reproducible protein spots were detected on gels, and the comparative analysis helped identify 35 (12 up-regulated, 23 down-regulated) and 20 (10 up-regulated, 10 down-regulated) differentially expressed proteins in JG 11 and ICC 506-EB, respectively. Functional classification of protein spots of each cultivar after MS/MS indicated that the differentially expressed proteins were associated with various metabolic activities. Also, stress-related proteins such as mannitol dehydrogenase (MADH), disease resistance-like protein-CSA1, serine/threonine kinase (D6PKL2), endoglucanase-19 etc. were up-regulated due to simulated herbivory. The proteins identified with a possible role in defense were further analyzed using the STRING database to advance our knowledge on their interacting partners. It decoded the involvement of several reactive oxygen species (ROS) scavengers and other proteins involved in cell wall reinforcement. The biochemical analysis also confirmed the active role of ROS scavengers during simulated herbivory. Thus, our study provides valuable new insights on chickpea-H.armigera interactions at the protein level.",The protein journal,"['D000818', 'D002473', 'D002480', 'D029863', 'D016166', 'D005638', 'D018506', 'D063990', 'D060434', 'D006790', 'D007814', 'D007915', 'D008354', 'D058977', 'D037121', 'D010940', 'D011494']","['Animals', 'Cell Wall', 'Cellulase', 'Cicer', 'Free Radical Scavengers', 'Fruit', 'Gene Expression Regulation, Plant', 'Gene Ontology', 'Herbivory', 'Host-Parasite Interactions', 'Larva', 'Lepidoptera', 'Mannitol Dehydrogenases', 'Molecular Sequence Annotation', 'Plant Lectins', 'Plant Proteins', 'Protein Kinases']",Defense Response in Chickpea Pod Wall due to Simulated Herbivory Unfolds Differential Proteome Profile.,"[None, 'Q000235', 'Q000235', 'Q000235', 'Q000378', 'Q000235', 'Q000276', None, 'Q000502', 'Q000235', 'Q000472', 'Q000472', 'Q000235', None, 'Q000235', 'Q000235', 'Q000235']","[None, 'genetics', 'genetics', 'genetics', 'metabolism', 'genetics', 'immunology', None, 'physiology', 'genetics', 'pathogenicity', 'pathogenicity', 'genetics', None, 'genetics', 'genetics', 'genetics']",https://www.ncbi.nlm.nih.gov/pubmed/32356273,2021
