PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
35293514,"Increasing the rates of drug resistant bacteria, having adverse effects and also high costs of antibiotics lead to essential oils (EOs) with antibacterial properties have gained importance. The present study was predicted to evaluate antibacterial activity of cinnamon, lavender, tea tree, lemon, coconut, oregano, mint, laurel and eucalyptus EOs alone and in combination. Chemical components of effective EOs were examined through gas chromatography/mass spectrometry (GC/MS). Minimum Inhibitory Concentration (MIC) and Minimum Bactericidal Concentration (MBC) assays were used to identify antibacterial effects of EOs against bacterial strains. The Fractional Inhibitory Concentration index (FICI) of the binary combinations of EOs was determined by checkerboard method. Carvacrol, linalool, linalyl acetate, 1,8-cineole, cinnamaldehyde, terpinen-4-ol and p-cymene were found main components of EOs. Oregano, cinnamon and tea tree EOs exhibited the strongest antibacterial activity with the MIC range between 0.03125-1.00% (v/v). Tea tree/lavender and cinnamon/lavender mixtures showed a synergistic effect against Streptococcus pyogenes and Streptococcus agalactiae. Oregano with tea tree and laurel exhibited a synergistic effect against Staphylococcus aureus. Oregano showed a synergistic effect when combined with cinnamon, lavender and tea tree against S.agalactiae. Our findings indicated that EOs either alone or in combination against pathogens should be preferred as potential antibacterial agents.",Anais da Academia Brasileira de Ciencias,"['D000900', 'D006801', 'D008826', 'D009822', 'D031341', 'D013211']","['Anti-Bacterial Agents', 'Humans', 'Microbial Sensitivity Tests', 'Oils, Volatile', 'Origanum', 'Staphylococcus aureus']",Determination of chemical compositions and antibacterial effects of selected essential oils against human pathogenic strains.,"['Q000737', None, None, 'Q000737', 'Q000737', None]","['chemistry', None, None, 'chemistry', 'chemistry', None]",https://www.ncbi.nlm.nih.gov/pubmed/35293514,2022
35206026,"Spices and aromatic herbs have always had great historical importance in human nutrition. Their use has been documented for centuries as a rich source of bioactive compounds; they have been used for their health benefits and also for flavoring or coloring food. However, despite the many health properties linked to the use of spices and aromatic herbs, these can represent biological hazards and can contain chemical substances of concern. Certainly, monitoring potential health hazards in spices and aromatic herbs includes microbiological safety and also the content of inorganic substances: both represent a key step. This research aims at monitoring the compliance of various spices and aromatic herbs from a non-European country market (namely: black cumin seeds, Iranian Tokhme Sharbati, clove buds, Shahjeera, Abbaszadeh saffron, organic fenugreek, whole black pepper, cinnamon, Abthul Ahmar (Asario), Ajwan seeds, whole coriander seeds, black sesame seeds, Sabja seeds) with the current European Union (EU) and WHO regulations, when available, regarding mineral and microbiological parameters. In particular, microbiological assays using rapid and conventional methods, and trace mineral determination by inductively coupled plasma mass spectrometry (ICP-MS) were performed. Results show the safety of the tested spices, given that the microbiological parameters were within the legal microbiological criteria set by the European Commission Regulation (EC) No. 2073/2005 and its amendment Regulation (EC) No. 1441/2007. With reference to potentially toxic Cd, Pb, As, Hg, these were within the limits set by the European Commission Regulation (EC) No. 1881/2006 and its amendments, Regulation (EU) No. 1317/2021 and Regulation (EU) No. 1323/2021, and WHO. According to EU regulations, for Pb content, 2 samples out of 16 showed values different from the set limits.","Foods (Basel, Switzerland)",[],[],Mineral and Microbiological Analysis of Spices and Aromatic Herbs.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35206026,2022
34689906,"Coumarin is a phytotoxin found in the popular spice cinnamon, which is used to flavor many Asian curry dishes. In this work, we developed and compared the analytical performance of reversed-phase liquid chromatography (RP-LC) and sweeping-micellar electrokinetic chromatography (MEKC) methods for the determination of coumarin in complex curry (gravy) samples. Using a matrix matched sample (curry after solvent extraction with methanol and diluted with 100 mM phosphoric acid), the intra-day and inter-day repeatability of retention/migration time and (corrected) peak area for both methods were acceptable (%RSD (n=6) ≤ 5%). The linear range and limit of quantitation (LOQ) were an order of magnitude better in RP-LC (RP-LC linear range = 0.11-108 mg/kg, LOQ = 0.11 mg/kg) (Sweeping-MEKC linear range = 2.16-216 mg/kg, LOQ = 2.16 mg/kg). However, the limit of detection (S/N=3) and LOQ in sweeping-MEKC was 0.65 mg/kg and 2.16 mg/kg, which were sufficient to report the levels of coumarin ≥ the European limit of 2 mg/kg in foods. During the analysis of 25 curry samples, relatively similar results for sweeping-MEKC and RP-LC were obtained for 6 samples that contained coumarin >LOQ of sweeping-MEKC. Interferences in RP-LC lead to significant overestimation of coumarin levels in 3 samples. Coumarin levels above the EU limit was found in 6 curry samples using the more selective sweeping-MEKC. This work should also raise public awareness on the presence of potentially high levels of coumarin in some foods.",Journal of chromatography. A,"['D020374', 'D056148', 'D003374', 'D000432', 'D008823']","['Chromatography, Micellar Electrokinetic Capillary', 'Chromatography, Reverse-Phase', 'Coumarins', 'Methanol', 'Micelles']",Sweeping-micellar electrokinetic chromatography versus reversed phase liquid chromatography for the determination of coumarin in curry.,"[None, None, None, None, None]","[None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34689906,2021
34600509,"Edible oils have proven health benefits in the prevention and treatment of various disorders since the establishment of human era. This study was aimed to appraise neuropharmacological studies on the commonly used edible oils including Cinnamomum verum (CV), Zingiber officinale (ZO) and Cuminum cyminum (CC).",BMC complementary medicine and therapies,"['D000975', 'D002935', 'D028527', 'D004791', 'D008401', 'D020939', 'D006801', 'D062105', 'D018696', 'D010599', 'D010938']","['Antioxidants', 'Cinnamomum zeylanicum', 'Cuminum', 'Enzyme Inhibitors', 'Gas Chromatography-Mass Spectrometry', 'Ginger', 'Humans', 'Molecular Docking Simulation', 'Neuroprotective Agents', 'Pharmacokinetics', 'Plant Oils']","Neuroprotective potentials of selected natural edible oils using enzyme inhibitory, kinetic and simulation approaches.","['Q000032', 'Q000737', 'Q000737', None, None, 'Q000737', None, None, 'Q000494', None, 'Q000494']","['analysis', 'chemistry', 'chemistry', None, None, 'chemistry', None, None, 'pharmacology', None, 'pharmacology']",https://www.ncbi.nlm.nih.gov/pubmed/34600509,2021
34500670,"Essential oils (EOs) have promising antioxidant activities which are gaining interest as natural alternatives to synthetic antioxidants in the food and cosmetic industries. However, quantitative data on chain-breaking activity and on the kinetics of peroxyl radical trapping are missing. Five phenol-rich EOs were analyzed by GC-MS and studied by oxygen-uptake kinetics in inhibited controlled autoxidations of reference substrates (cumene and squalene). Terpene-rich ","Molecules (Basel, Switzerland)","['D000975', 'D002935', 'D008401', 'D009822', 'D031341', 'D010545', 'D010636']","['Antioxidants', 'Cinnamomum zeylanicum', 'Gas Chromatography-Mass Spectrometry', 'Oils, Volatile', 'Origanum', 'Peroxides', 'Phenols']",Absolute Antioxidant Activity of Five Phenol-Rich Essential Oils.,"['Q000737', 'Q000737', None, 'Q000737', 'Q000737', 'Q000737', 'Q000737']","['chemistry', 'chemistry', None, 'chemistry', 'chemistry', 'chemistry', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/34500670,2021
34495124,"This study aimed to chemically characterize the essential oils (EOs) of Cinnamomum zeylanicum (cinnamon) and Eremanthus erythropappus (candeia) and evaluate their acaricidal activity, together with that of their major compounds and cinnamyl acetate derivative, against Rhipicephalus microplus. Essential oil compounds were identified through gas chromatography. The larval packet test (LPT) at concentrations ranging from 0.31 to 10.0 mg/mL and the adult immersion test (AIT) at concentrations between 2.5 and 60.0 mg/mL were performed. (E)-cinnamaldehyde and α-bisabolol were the major compounds in cinnamon (86.93%) and candeia (78.41%) EOs, respectively. In the LPT, the EOs of cinnamon and candeia and the compounds (E)-cinnamaldehyde, α-bisabolol and cinnamyl acetate resulted in 100% mortality at concentrations of 2.5, 2.5, 5.0, 10.0 and 10.0 mg/mL respectively. In the AIT, percentage control values > 95% were observed for cinnamon and candeia EOs, (E)-cinnamaldehyde and α-bisabolol at the concentrations of 5.0, 60.0, 20.0, and 20.0 mg/mL, respectively, whereas cinnamyl acetate showed low activity. We conclude that EOs and their compounds showed high acaricidal activity, whereas the acetylated derivative of (E)-cinnamaldehyde presented less acaricidal activity on R. microplus engorged females.",Revista brasileira de parasitologia veterinaria = Brazilian journal of veterinary parasitology : Orgao Oficial do Colegio Brasileiro de Parasitologia Veterinaria,"['D056810', 'D000818', 'D002934', 'D002935', 'D007814', 'D009822', 'D048494']","['Acaricides', 'Animals', 'Cinnamates', 'Cinnamomum zeylanicum', 'Larva', 'Oils, Volatile', 'Rhipicephalus']","Acaricidal activity of essential oils of Cinnamomum zeylanicum and Eremanthus erythropappus, major compounds and cinnamyl acetate in Rhipicephalus microplus.","['Q000494', None, None, None, None, 'Q000494', None]","['pharmacology', None, None, None, None, 'pharmacology', None]",https://www.ncbi.nlm.nih.gov/pubmed/34495124,2021
34474871,"This study aimed to fabricate cinnamon essential oil (CO)-laden 45S5 bioactive glass (BG)/soy protein (SP) scaffolds exhibiting antioxidant and antibacterial activity. In this regard, 45S5 BG-based scaffolds were produced by the foam replica method, and subsequently the scaffolds were coated with various concentrations of CO (2.5, 5 and 7 (v/v) %) incorporated SP solution. Scanning electron microscopy images revealed that the CO-laden SP effectively attached to the 45S5 BG scaffold struts. The presence of 45S5 BG, SP and CO was confirmed using Fourier transform infrared spectroscopy. Compressive strength results indicated that SP based coatings improved the scaffolds' mechanical properties compared to uncoated BG scaffolds. The loading efficiency and releasing behaviour of the different CO concentrations were tested by gas chromatography-mass spectroscopy and UV-Vis spectroscopy. The results showed that CO incorporated scaffolds have controlled releasing behaviour over seven days. Furthermore, the coating on the scaffold surfaces slightly retarded, but it did not inhibit, the in vitro bioactivity of the scaffolds. Moreover, the antioxidant and antibacterial activity of CO was studied. The free radical scavenging activity measured by DPPH was 5 ± 1, 41 ± 3, 44 ± 1 and 43 ± 1 % for BGSP, CO2.5, CO5 and CO7, respectively. The antioxidant activity was thus enhanced by incorporating CO. Agar diffusion and colony counting results indicated that the incorporation of CO increased the antibacterial activity of scaffolds against S. aureus and E. coli. In addition, cytotoxicity of the scaffolds was investigated using MG-63 osteoblast-like cells. The results showed that the BG-SP scaffold was non-toxic under the investigated conditions, whereas dose-dependent toxicity was observed in CO-laden scaffolds. Considered together, the developed phytotherapeutic agent laden 45S5 BG-based scaffolds are promising for bone tissue engineering exhibiting capability to combat bone infections and to protect against oxidative stress damage.","Materials science & engineering. C, Materials for biological applications","['D000900', 'D000975', 'D002516', 'D002935', 'D004926', 'D005898', 'D009822', 'D018384', 'D030262', 'D013211', 'D023822', 'D054457']","['Anti-Bacterial Agents', 'Antioxidants', 'Ceramics', 'Cinnamomum zeylanicum', 'Escherichia coli', 'Glass', 'Oils, Volatile', 'Oxidative Stress', 'Soybean Proteins', 'Staphylococcus aureus', 'Tissue Engineering', 'Tissue Scaffolds']",Antibacterial and antioxidant activity of cinnamon essential oil-laden 45S5 bioactive glass/soy protein composite scaffolds for the treatment of bone infections and oxidative stress.,"['Q000494', 'Q000494', None, None, None, None, 'Q000494', None, None, None, None, None]","['pharmacology', 'pharmacology', None, None, None, None, 'pharmacology', None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34474871,2021
34418416,"Encapsulation of volatile essential oils has been investigated to provide an active food packaging (AFP) material with more control over their fast release and pungent smell. In this work, Gum Arabic-based adhesive membrane was developed as a self-stick AFP material, delivering cinnamon essential oil (CEO) in vapor phase. Gum Arabic (GA) was grafted with butyl acrylate (BA) and hydroxyethyl methacrylate [GA-g-poly(BA-HEMA)]. Adhesive membrane was characterized by means of spectral, physicochemical and rheological analysis. GA-adhesive membrane made of 5% wt/v GA, 3.5 m mol HEMA, and 87 m mol BA with 21 N/m tack are loaded with 4, 8 and 10% v/v of CEO and used for antimicrobial bioassays. GA-g-poly(BA-HEMA) membrane prolonged CEO release up to 2 days. 8%v/v CEO showed superior activities against both Gram negative and positive bacteria. Shelf-life of cheese samples, packed with the self-stick membranes loaded with cinnamon extract, has extended from 3 to 8 weeks. Cheese samples that inoculated with shiga toxin producing E. coli O157:H7 and packed in plastic boxes with the self-stick AFP (4, 8 and 10 % CEO), showed significant reduction in the total bacteria counts.",International journal of biological macromolecules,"['D000179', 'D000268', 'D000890', 'D002611', 'D002935', 'D004655', 'D004926', 'D018857', 'D005658', 'D008401', 'D006170', 'D057927', 'D008567', 'D008689', 'D008826', 'D009822', 'D010936', 'D016062', 'D017550']","['Acrylates', 'Adhesiveness', 'Anti-Infective Agents', 'Cheese', 'Cinnamomum zeylanicum', 'Emulsions', 'Escherichia coli', 'Food Packaging', 'Fungi', 'Gas Chromatography-Mass Spectrometry', 'Gum Arabic', 'Hydrophobic and Hydrophilic Interactions', 'Membranes, Artificial', 'Methacrylates', 'Microbial Sensitivity Tests', 'Oils, Volatile', 'Plant Extracts', 'Porosity', 'Spectroscopy, Fourier Transform Infrared']",Self-stick membrane based on grafted gum Arabic as active food packaging for cheese using cinnamon extract.,"['Q000737', None, 'Q000494', None, 'Q000737', 'Q000737', 'Q000187', None, 'Q000187', None, 'Q000737', None, None, 'Q000737', None, 'Q000494', 'Q000737', None, None]","['chemistry', None, 'pharmacology', None, 'chemistry', 'chemistry', 'drug effects', None, 'drug effects', None, 'chemistry', None, None, 'chemistry', None, 'pharmacology', 'chemistry', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34418416,2021
34415684,"Cinnamon was been a widely used plant in medicinal and spices for a long time and has spread all over the world. However, the differences in the components of the bark from Cinnamomum cassia and Cinnamomum verum, the two most common types of cinnamon, have not been thoroughly investigated. In the present experiment, ultra-high-performance liquid chromatography LTQ-Orbitrap Velos Pro hybrid mass spectrometer-based metabolomics coupled with chemometrics and feature-based molecular networking were employed to dramatically distinguish and annotate Cinnamomum cassia Bark and Cinnamomum verum bark. As a consequence, principal component analysis, orthogonal projection to latent structures discriminates analysis, and heat map analysis demonstrated clear discrimination between the profiles of metabolites in cinnamon. Besides, as the known compounds, proanthocyanidins (cinnamtannin B1 and procyanidin B2) and alkaloids (norboldine, norisoboldine) with variable importance in the projection scores >6, and an unknown alkaloid (formula C",Journal of separation science,"['D000470', 'D032904', 'D002935', 'D055432', 'D015394', 'D010936', 'D044945']","['Alkaloids', 'Cinnamomum aromaticum', 'Cinnamomum zeylanicum', 'Metabolomics', 'Molecular Structure', 'Plant Extracts', 'Proanthocyanidins']",Comprehensive feature-based molecular networking and metabolomics approaches to reveal the differences components in Cinnamomum cassia and Cinnamomum verum.,"['Q000032', 'Q000378', 'Q000378', None, None, 'Q000032', 'Q000032']","['analysis', 'metabolism', 'metabolism', None, None, 'analysis', 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/34415684,2022
34411857,"The objective of this study was to identify useful chemical markers for the differentiation of true and false cinnamon; to develop a fast and efficient method of differentiation using MIR associated with chemometric methods. A total of 129 cinnamon samples from 3 countries (Brazil, Sri Lanka, and Paraguay) were purchased, being differentiated by visual analysis. The bioactive compounds, antioxidant activity, HPLC, and MIR analysis were performed. The data obtained were submitted to PCA and PLS-DA. The results showed that the samples of true cinnamon have a higher concentration of eugenol, cinnamaldehyde, and antioxidant capacity, as well as a lower coumarin content. The PCA showed the separation of two groups of cinnamon samples. PLS-DA was effective in differentiating the studied samples with an accuracy of 94.44% and 100% for the composition and MIR analysis, respectively. The MIR proved to be an alternative for the rapid differentiation of true and false cinnamon.",Food chemistry,"['D002851', 'D002935', 'D005054', 'D013057', 'D013188']","['Chromatography, High Pressure Liquid', 'Cinnamomum zeylanicum', 'Eugenol', 'Spectrum Analysis', 'Sri Lanka']",Application of spectroscopic techniques and chemometric methods to differentiate between true cinnamon and false cinnamon.,"[None, None, None, None, None]","[None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34411857,2021
