PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
35206026,"Spices and aromatic herbs have always had great historical importance in human nutrition. Their use has been documented for centuries as a rich source of bioactive compounds; they have been used for their health benefits and also for flavoring or coloring food. However, despite the many health properties linked to the use of spices and aromatic herbs, these can represent biological hazards and can contain chemical substances of concern. Certainly, monitoring potential health hazards in spices and aromatic herbs includes microbiological safety and also the content of inorganic substances: both represent a key step. This research aims at monitoring the compliance of various spices and aromatic herbs from a non-European country market (namely: black cumin seeds, Iranian Tokhme Sharbati, clove buds, Shahjeera, Abbaszadeh saffron, organic fenugreek, whole black pepper, cinnamon, Abthul Ahmar (Asario), Ajwan seeds, whole coriander seeds, black sesame seeds, Sabja seeds) with the current European Union (EU) and WHO regulations, when available, regarding mineral and microbiological parameters. In particular, microbiological assays using rapid and conventional methods, and trace mineral determination by inductively coupled plasma mass spectrometry (ICP-MS) were performed. Results show the safety of the tested spices, given that the microbiological parameters were within the legal microbiological criteria set by the European Commission Regulation (EC) No. 2073/2005 and its amendment Regulation (EC) No. 1441/2007. With reference to potentially toxic Cd, Pb, As, Hg, these were within the limits set by the European Commission Regulation (EC) No. 1881/2006 and its amendments, Regulation (EU) No. 1317/2021 and Regulation (EU) No. 1323/2021, and WHO. According to EU regulations, for Pb content, 2 samples out of 16 showed values different from the set limits.","Foods (Basel, Switzerland)",[],[],Mineral and Microbiological Analysis of Spices and Aromatic Herbs.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35206026,2022
33241389,"Medicinal herbs are the ancient, traditional way of treating many diseases and are now considered the first natural source of pharmaceutical active ingredients. Therefore, it is very important to focus on the hygiene of these plants so as to make sure they are safe for consumption. This work aimed to monitor the common heavy and radioactive elements in some commonly used herbs: anise, chamomile, clover, cumin, coriander, fennel, roselle, rosemary, sage, and thyme. A total of 12 elements were measured including 2 radionuclides, Al, As, Cd, Hg, Co, Cr, Ni, Pb, Sr, Th, U, and V. Heavy metals are ecologically and biologically important, and may be involved in some health disorder symptoms within the human body. Samples were digested with a microwave digester and measurements were completed with ICP-MS/MS in Helium mode to increase sensitivity, lower the background, and avoid interferences. Method validation and verification were performed through the spiking process at 2.0 µg/kg level, and then RSD, LOD, and LOQ were calculated. Recoveries ranged from 93-103% for all elements and RSD% from 2.8-9.6%. Hg and Th were not detected in all samples, while U was detected in some sample of anise, rosemary, sage, and thyme, and ranged from 0.018-0.048 mg/kg. As was detected in anise, fennel, roselle, and rosemary, and ranged from 0.0.031-5.88 mg/kg. Al, Cd, Co, Cr, Ni, Pb, Sr, and V were detected in most samples of all herbs, and ranged from 3.88-17.80, 0.122-0.654, 0.019-0.851, 0.344-2.91, 1.872-5.82, 0.120-12.56, 0.128-0.844, and 0.083-0.912 mg/kg, respectively.",Journal of AOAC International,"['D006801', 'D008628', 'D019216', 'D010946', 'D011868', 'D053719']","['Humans', 'Mercury', 'Metals, Heavy', 'Plants, Medicinal', 'Radioisotopes', 'Tandem Mass Spectrometry']",Determination of Some Common Heavy Metals and Radionuclides in Some Medicinal Herbs Using ICP-MS/MS.,"[None, None, None, None, None, None]","[None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/33241389,2021
32630084,"Chlorpyrifos is an organophosphate pesticide that is wildly used among farmers for crop protection. However, there are concerns regarding its contamination in the environment and food chain. In the present study, an in-house indirect competitive enzyme-linked immunosorbent assay (ic-ELISA) specific for detecting chlorpyrifos is developed and validated against gas chromatography-flame photometric detection (GC-FPD) as the conventional method. The developed ic-ELISA was used for detecting chlorpyrifos residue in vegetable samples. The developed ic-ELISA showed good sensitivity to chlorpyrifos at an IC",International journal of environmental research and public health,"['D004390', 'D005506', 'D007306', 'D010573', 'D013785', 'D014675']","['Chlorpyrifos', 'Food Contamination', 'Insecticides', 'Pesticide Residues', 'Thailand', 'Vegetables']",Monitoring of the Organophosphate Pesticide Chlorpyrifos in Vegetable Samples from Local Markets in Northern Thailand by Developed Immunoassay.,"['Q000032', None, 'Q000032', 'Q000032', None, 'Q000737']","['analysis', None, 'analysis', 'analysis', None, 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/32630084,2020
31451131,"Pesticide residues are routinely tested in spices for trade compliance. This results in a huge sample load for food testing laboratories and demands automation in sample preparation. Although there exists a method for the analysis of pesticides in fruits using an automated sample cleanup by mini-solid-phase extraction (mini-SPE) technique, no study is available to date on spices.",Journal of AOAC International,"['D008401', 'D010573', 'D010575', 'D052616', 'D017365', 'D053719']","['Gas Chromatography-Mass Spectrometry', 'Pesticide Residues', 'Pesticides', 'Solid Phase Extraction', 'Spices', 'Tandem Mass Spectrometry']",Application of Automated Mini-Solid-Phase Extraction Cleanup for the Analysis of Pesticides in Complex Spice Matrixes by GC-MS/MS.,"[None, 'Q000032', 'Q000032', None, 'Q000032', None]","[None, 'analysis', 'analysis', None, 'analysis', None]",https://www.ncbi.nlm.nih.gov/pubmed/31451131,2021
30957566,"Spices and aromatic herbs can be contaminated with mycotoxins, since of their preharvest, postharvest, and storage conditions. In this study, 112 samples of different spices and aromatic herbs were evaluated for their mycotoxins content by HPLC-MS/MS in order to highlight their possible risk linked with human use. The results showed that mycotoxins were occasionally detected only in samples of coriander, laurel, mint, rosemary, and verbena. In both geographical origins a different contamination was detected. Among the investigated mycotoxins, AFB2, AFG1, AFG2, T2 and HT2 were detected, whereas none of the samples contained AFB1 and FB1. The co-occurrence of two toxins were observed for some samples of rosemary and verbena. This study indicates that it is essential minimize the toxins in agriculture, industry, and food-product manufacturing for the consumer health protection.",Natural product research,"['D002851', 'D005506', 'D006801', 'D007558', 'D009183', 'D027542', 'D017365', 'D053719', 'D014416', 'D032412']","['Chromatography, High Pressure Liquid', 'Food Contamination', 'Humans', 'Italy', 'Mycotoxins', 'Rosmarinus', 'Spices', 'Tandem Mass Spectrometry', 'Tunisia', 'Verbena']",Mycotoxins in spices and culinary herbs from Italy and Tunisia.,"['Q000379', 'Q000032', None, None, 'Q000032', 'Q000737', 'Q000032', 'Q000379', None, 'Q000737']","['methods', 'analysis', None, None, 'analysis', 'chemistry', 'analysis', 'methods', None, 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/30957566,2020
30672326,"The objective of this study was to examine the bioactive flavonoids and carotenoids concentration in fifteen south Indian spice and two tree nut species using high performance liquid chromatography (HPLC). Among four flavonoids, catechin concentration was the highest in all spices and nuts and ranged between 97.1 and 1745.4 µg g",Natural product research,"['D000975', 'D002212', 'D002338', 'D002851', 'D028526', 'D005419', 'D005737', 'D007194', 'D009754', 'D017365']","['Antioxidants', 'Capsicum', 'Carotenoids', 'Chromatography, High Pressure Liquid', 'Coriandrum', 'Flavonoids', 'Garlic', 'India', 'Nuts', 'Spices']",Profiling bioactive flavonoids and carotenoids in select south Indian spices and nuts.,"['Q000032', 'Q000737', 'Q000032', 'Q000379', 'Q000737', 'Q000032', 'Q000737', None, 'Q000737', None]","['analysis', 'chemistry', 'analysis', 'methods', 'chemistry', 'analysis', 'chemistry', None, 'chemistry', None]",https://www.ncbi.nlm.nih.gov/pubmed/30672326,2020
30466367,"Levels of lead (Pb), cadmium (Cd), arsenic (As), and mercury (Hg) were evaluated in 359 samples of commonly consumed spices (cinnamon, parsley, basil, oregano, coriander seed, nutmeg, cumin, bay leaf, fenugreek, rosemary, thyme, fennel, sage, clove, marjoram, tarragon, caraway, dill seed, pepper, and turmeric) from the market in the Republic of Korea. The content of Pb, Cd, and As was assessed by acid wet digestion using a microwave oven and inductively coupled plasma mass spectrometry (ICP-MS). The content of Hg was analysed using a direct mercury analyzer (DMA). Pb, Cd, As, and Hg mean content in spices ranged from 0.039-0.972 mg kg","Food additives & contaminants. Part B, Surveillance","['D001151', 'D002104', 'D005506', 'D019686', 'D007854', 'D013058', 'D008628', 'D019216', 'D056910', 'D017365']","['Arsenic', 'Cadmium', 'Food Contamination', 'Lamiaceae', 'Lead', 'Mass Spectrometry', 'Mercury', 'Metals, Heavy', 'Republic of Korea', 'Spices']",Heavy metals in spices commonly consumed in Republic of Korea.,"['Q000032', 'Q000032', 'Q000032', 'Q000737', 'Q000032', 'Q000379', 'Q000032', 'Q000032', None, 'Q000032']","['analysis', 'analysis', 'analysis', 'chemistry', 'analysis', 'methods', 'analysis', 'analysis', None, 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/30466367,2019
30088102,"The present study was carried out to assess heavy metal concentrations in ready-to-eat vegetables (RTEs) collected from open markets. Samples of RTEs including lettuce, coriander, and carrot were collected from five different local markets of Peshawar, Pakistan including Industrial estate, Board, Agriculture University, Firdos, and Hashtnaghri on four different dates, i.e., 21st March, 04th April, 19th April, and 05th May, 2016. The samples were analyzed through atomic absorption spectrophotometer to see the amount of heavy metals present in them. The elements studied were cadmium (Cd), chromium (Cr), copper (Cu), nickel (Ni), and lead (Pb). Maximum Cd, Cr, Cu, Ni, and Pb concentrations in samples collected from different markets were 0.68, 5.28, 12.31, 7.61, and 25.04 mg kg",Environmental monitoring and assessment,"['D000383', 'D002104', 'D002857', 'D003300', 'D000074341', 'D004784', 'D006801', 'D019216', 'D009532', 'D010154', 'D018570', 'D012989', 'D013054', 'D014675']","['Agriculture', 'Cadmium', 'Chromium', 'Copper', 'Dietary Exposure', 'Environmental Monitoring', 'Humans', 'Metals, Heavy', 'Nickel', 'Pakistan', 'Risk Assessment', 'Soil Pollutants', 'Spectrophotometry, Atomic', 'Vegetables']","Concentrations, dietary exposure, and human health risk assessment of heavy metals in market vegetables of Peshawar, Pakistan.","[None, 'Q000032', 'Q000032', 'Q000032', 'Q000706', None, None, 'Q000032', 'Q000032', None, None, 'Q000032', None, 'Q000737']","[None, 'analysis', 'analysis', 'analysis', 'statistics & numerical data', None, None, 'analysis', 'analysis', None, None, 'analysis', None, 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/30088102,2018
30037045,"Spices that are rich in polyphenols are metabolized to a convergent group of phenolic/aromatic acids. We conducted a dose-exposure nutrikinetic study to investigate associations between mixed spices intake and plasma concentrations of selected, unconjugated phenolic/aromatic acids. In a randomized crossover study, 17 Chinese males consumed a curry meal containing 0 g, 6 g, and 12 g of mixed spices. Postprandial blood was drawn up to 7 h at regular intervals and plasma phenolic/aromatic acids were quantified via liquid chromatography tandem mass spectrometry (LC-MS/MS). Cinnamic acid (CNA, ",Nutrients,"['D000328', 'D019540', 'D015415', 'D002212', 'D002853', 'D002934', 'D002935', 'D028526', 'D018592', 'D028527', 'D030024', 'D004032', 'D004305', 'D004435', 'D006801', 'D008297', 'D010648', 'D010936', 'D010949', 'D059808', 'D019518', 'D017365', 'D055815']","['Adult', 'Area Under Curve', 'Biomarkers', 'Capsicum', 'Chromatography, Liquid', 'Cinnamates', 'Cinnamomum zeylanicum', 'Coriandrum', 'Cross-Over Studies', 'Cuminum', 'Curcuma', 'Diet', 'Dose-Response Relationship, Drug', 'Eating', 'Humans', 'Male', 'Phenylacetates', 'Plant Extracts', 'Plasma', 'Polyphenols', 'Postprandial Period', 'Spices', 'Young Adult']",Dose-Dependent Increase in Unconjugated Cinnamic Acid Concentration in Plasma Following Acute Consumption of Polyphenol Rich Curry in the Polyspice Study.,"[None, None, 'Q000097', 'Q000737', None, 'Q000097', 'Q000737', 'Q000737', None, 'Q000737', 'Q000737', None, None, None, None, None, 'Q000097', 'Q000097', 'Q000378', 'Q000097', None, 'Q000032', None]","[None, None, 'blood', 'chemistry', None, 'blood', 'chemistry', 'chemistry', None, 'chemistry', 'chemistry', None, None, None, None, None, 'blood', 'blood', 'metabolism', 'blood', None, 'analysis', None]",https://www.ncbi.nlm.nih.gov/pubmed/30037045,2018
29948688,"Soil near a Pb-Zn-Mn mine was polluted by mining, which may have an impact on human health via the food chain. To evaluate the pollution effects, arsenic (As), cadmium (Cd), chromium (Cr), copper (Cu), manganese (Mn), lead (Pb), and zinc (Zn) in vegetables were determined by inductively coupled plasma atomic emission and mass spectrometry. Lead species were analyzed by X-ray absorption near-edge structure (XANES). Phytoavailability of the elements was evaluated by bioaccumulation of the elements, the sequential extraction procedure, Pb species, and plant uptakes. The target health quotient (THQ) was calculated to evaluate the human health risks. It was found that (1) high concentrations of As, Cd, Cr, and Pb were detectable in vegetables, and bioaccumulation was in the order of Mn > Zn > Cr > Pb > Cu > As > Cd; (2) phytoavailability of the elements was controlled mainly by the soluble fraction, and a linear relationship observed between the soluble fraction and bioaccumulation; (3) a new Pb-fulvic acid complex (Pb-FA) was identified by XANES in rhizosphere soil, and high content of Pb organic matter (60%) and soluble Pb (18%) were found; (4) both Cd and Zn accumulated in both of the Amaranthaceae and the Apiaceae families, indicating that the plants in the same family have the same bioaccumulation trend for the elements in the same group; (5) agricultural activities and plant growing increased phytoavailability of As, Cd, Cu, Pb, and Zn by decreasing the residual and raising the soluble and extractable fractions; (6) arsenic is top of the high health risks, followed by Pb, Cd, and Mn. Coriander, celery, and spinach were the top three highest health risks in the area.",Environmental science and pollution research international,"['D000383', 'D001151', 'D017753', 'D005506', 'D006801', 'D008670', 'D008906', 'D058441', 'D018570', 'D012989', 'D014675', 'D056928']","['Agriculture', 'Arsenic', 'Ecosystem', 'Food Contamination', 'Humans', 'Metals', 'Mining', 'Rhizosphere', 'Risk Assessment', 'Soil Pollutants', 'Vegetables', 'X-Ray Absorption Spectroscopy']","Phytoavailability, bioaccumulation, and human health risks of metal(loid) elements in an agroecosystem near a lead-zinc mine.","[None, 'Q000032', None, None, None, 'Q000032', None, None, 'Q000379', 'Q000032', 'Q000737', None]","[None, 'analysis', None, None, None, 'analysis', None, None, 'methods', 'analysis', 'chemistry', None]",https://www.ncbi.nlm.nih.gov/pubmed/29948688,2019
