PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
35324831,"Various analytical techniques for detecting mycotoxins have been developed in order to control their concentration in food and feed. Conventional analytical approaches for mycotoxin identification include thin-layer chromatography (TLC), high-performance liquid chromatography (HPLC), and gas chromatography (GC). Rapid methods for mycotoxin analysis are also becoming increasingly relevant. One of the most common rapid methods for determining these compounds is the enzyme-linked immunosorbent assay (ELISA). The current study aimed to compare three available ELISA kits for the detection and quantification of aflatoxins B1, B2, G1, and G2 in spiked feed samples at known quantities. All three ELISA kits were validated and showed good performance with high recovery rates and LOD and LOQ values lower than the MRL. The developed HPLC-FL method was validated for all the compounds determining the accuracy, precision, linearity, decision limit, and detection capability with fairly good results. Unknown feed samples (corn, silage, pellet, barley, wheat, soya, and sunflower) were also tested using the best ELISA kit and HPLC, and the results were compared. Both ELISA and HPLC were proven to be suitable methods for mycotoxin analysis. The analytical technique should be determined primarily by the availability and number of samples.",Veterinary sciences,[],[],"Comparative Evaluation of Three Commercial Elisa Kits Used for the Detection of Aflatoxins B1, B2, G1, and G2 in Feedstuffs and Comparison with an HPLC Method.",[],[],https://www.ncbi.nlm.nih.gov/pubmed/35324831,2022
35248864,"We present an easy-to-use lateral flow immunoassay for rapid, precise and sensitive quantification of one of the most hazardous mycotoxins - ochratoxin A (OTA), which is widely present in food and agricultural commodities. The achieved limit of detection during the 20-min OTA registration is 11 pg/mL. The assay provides accurate results in both low- and high-concentration ranges. That is due to the extraordinary steepness of the linear calibration plot: 5-order dynamic range of concentrations causes almost a 1000-fold change in the signal obtained by electronic detection of magnetic biolabels using their non-linear magnetization. High specificity, repeatability, and reproducibility of the assay have been verified, including measuring OTA in real samples of contaminated corn flour. The developed assay is a promising analytical tool for food and feed safety control; it may become an express, convenient and high-precision alternative to the traditional sophisticated laboratory techniques based on liquid chromatography.",Food chemistry,[],[],Express high-sensitive detection of ochratoxin A in food by a lateral flow immunoassay based on magnetic biolabels.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35248864,2022
35209109,"Carotenoids are essential components in the human diet due to their positive functions in ocular and cognitive health. This study investigated composition of carotenoids in hairless canary seed (HCS) as a novel food and the effect of baking on carotenoids in bread and muffin made from HCS, wheat and corn. Three bread formulations made from wheat and HCS blends were evaluated and compared with control wheat bread. In addition, three low-fat muffin recipes prepared from HCS alone or in blends with corn were assessed. The fate of carotenoid compounds in breads and muffins was monitored after dry mixing, dough/batter formation and oven baking. Carotenoids in products were quantified using UPLC and their identification was confirmed based on LC-MS/MS. Hairless canary seed and corn were fairly rich in carotenoids with a total content of 7.6 and 12.9 µg/g, respectively, compared with wheat (1.3 µg/g). Nineteen carotenoid compounds were identified, with all-","Molecules (Basel, Switzerland)","['D001939', 'D002338', 'D002853', 'D003296', 'D005504', 'D063427', 'D000078622', 'D012639', 'D053719']","['Bread', 'Carotenoids', 'Chromatography, Liquid', 'Cooking', 'Food Analysis', 'Food Quality', 'Nutrients', 'Seeds', 'Tandem Mass Spectrometry']",Identification of Carotenoids in Hairless Canary Seed and the Effect of Baking on Their Composition in Bread and Muffin Products.,"['Q000032', 'Q000032', None, None, None, None, 'Q000032', 'Q000737', None]","['analysis', 'analysis', None, None, None, None, 'analysis', 'chemistry', None]",https://www.ncbi.nlm.nih.gov/pubmed/35209109,2022
35202990,A method using isotope dilution-liquid chromatography-tandem mass spectrometry (ID-LC/MS/MS) was developed for the accurate determination of zearalenone (ZEN) and its five major metabolites in corn. ,Food chemistry,[],[],Development of isotope dilution-liquid chromatography/tandem mass spectrometry for the accurate determination of zearalenone and its metabolites in corn.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35202990,2022
35202122,"An immunoaffinity magnetic beads (IMBs) based automatic pretreatment method was developed for the quantitative analysis of deoxynivalenol (DON) by ultra-performance liquid chromatography and ultraviolet detector (UPLC-UV). First, N-hydroxysuccinimide-terminated magnetic beads (NHS-MBs) with good magnetic responsivity and dispersibility were synthesized and characterized by optical microscopy, scanning electron microscopy (SEM), and laser diffraction-based particle size analyzer. Then, the amino groups of anti-DON monoclonal antibody (mAb) and the NHS groups of NHS-MBs were linked by covalent bonds to prepare IMB, without any activation reagent. The essential factors affecting the binding and elution of DON were meticulously tuned. Under optimal conditions, DON could be extracted from a real sample and eluted from IMB by water, enabling environmentally friendly and green analysis. Hence, there was no need for dilution or evaporation prior to UPLC-UV analysis. DON in 20 samples could be purified and concentrated within 30 min by the mycotoxin automated purification instrument (MAPI), allowing for automated, green, high-throughput and simple clean-up. Recoveries at four distinct spiking levels in corn and wheat ranged from 92.0% to 109.5% with good relative standard deviations (RSD, 2.1-7.0%). Comparing the test results of IAC and IMB in commercial samples demonstrated the reliability and superiority of IMB for quantitatively analyzing massive samples.",Toxins,"['D000911', 'D002851', 'D052203', 'D005506', 'D060328', 'D013388', 'D014255', 'D014908', 'D003313']","['Antibodies, Monoclonal', 'Chromatography, High Pressure Liquid', 'Ferrosoferric Oxide', 'Food Contamination', 'Magnetic Phenomena', 'Succinimides', 'Trichothecenes', 'Triticum', 'Zea mays']",An Automatic Immunoaffinity Pretreatment of Deoxynivalenol Coupled with UPLC-UV Analysis.,"['Q000276', 'Q000379', 'Q000737', 'Q000032', None, 'Q000737', 'Q000032', 'Q000737', 'Q000737']","['immunology', 'methods', 'chemistry', 'analysis', None, 'chemistry', 'analysis', 'chemistry', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/35202122,2022
35169269,"Novel Immunological and Mass Spectrometry Methods for Comprehensive Analysis of Recalcitrant Oligosaccharides in AFEX Pretreated Corn Stover. Lignocellulosic biomass is a sustainable alternative to fossil fuel and is extensively used for developing bio-based technologies to produce products such as food, feed, fuel, and chemicals. The key to these technologies is to develop cost competitive processes to convert complex carbohydrates present in plant cell wall to simple sugars such as glucose, xylose, and arabinose. Since lignocellulosic biomass is highly recalcitrant, it must undergo a combination of thermochemical treatment such as Ammonia Fiber Expansion (AFEX), dilute acid (DA), Ionic Liquid (IL) and biological treatment such as enzyme hydrolysis and microbial fermentation to produce desired products. However, when using commercial fungal enzymes during hydrolysis, only 75-85% of the soluble sugars generated are monomeric sugars, while the remaining 15-25% are soluble recalcitrant oligosaccharides that cannot be easily utilized by microorganisms. Previously, we successfully separated and purified the soluble recalcitrant oligosaccharides using a combination of charcoal and celite-based separation followed by size exclusion chromatography and studies their inhibitory properties on enzymes. We discovered that the oligosaccharides with higher degree of polymerization (DP) containing methylated uronic acid substitutions were more recalcitrant towards commercial enzyme mixtures than lower DP and neutral oligosaccharides. Here, we report the use of several complementary techniques that include glycome profiling using plant biomass glycan specific monoclonal antibodies (mAbs) to characterize sugar linkages in plant cell walls and enzymatic hydrolysate, matrix-assisted laser desorption ionization time-of-flight mass spectrometry (MALDI-TOF-MS) using structurally-informative diagnostic peaks offered by negative ion post-secondary decay spectra, gas chromatography followed by mass spectrometry (GC-MS) to characterize oligosaccharide sugar linkages with and without derivatization. Since oligosaccharides (DP 4-20) are small, it is challenging to mobilize these molecules for mAbs binding and characterization. To overcome this problem, we have applied a new biotin-coupling based oligosaccharide immobilization method that successfully tagged most of the low DP soluble oligosaccharides on to a micro-plate surface followed by specific linkage analysis using mAbs in a high-throughput system. This new approach will help develop more advanced versions of future high throughput glycome profiling methods that can be used to separate and characterize oligosaccharides present in biomarkers for diagnostic applications.",Scientific reports,"['D000911', 'D018533', 'D001710', 'D002236', 'D002473', 'D002850', 'D004797', 'D000939', 'D008401', 'D006868', 'D008031', 'D009844', 'D010936', 'D018515', 'D019032', 'D000073893', 'D003313']","['Antibodies, Monoclonal', 'Biomass', 'Biotin', 'Carbohydrate Conformation', 'Cell Wall', 'Chromatography, Gel', 'Enzyme-Linked Immunosorbent Assay', 'Epitopes', 'Gas Chromatography-Mass Spectrometry', 'Hydrolysis', 'Lignin', 'Oligosaccharides', 'Plant Extracts', 'Plant Leaves', 'Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization', 'Sugars', 'Zea mays']",Understanding the structure and composition of recalcitrant oligosaccharides in hydrolysate using high-throughput biotin-based glycome profiling and mass spectrometry.,"['Q000276', None, 'Q000737', None, 'Q000737', 'Q000379', 'Q000379', 'Q000276', 'Q000379', None, 'Q000737', 'Q000737', 'Q000737', 'Q000737', 'Q000379', 'Q000737', 'Q000737']","['immunology', None, 'chemistry', None, 'chemistry', 'methods', 'methods', 'immunology', 'methods', None, 'chemistry', 'chemistry', 'chemistry', 'chemistry', 'methods', 'chemistry', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/35169269,2022
35124380,"Maize and grass silages are important dietary components for ruminant livestock that influence the quality of animal products for human consumption, such as milk, in many parts of the world. Infection of plants by fungi able to produce mycotoxins, either in the field or post-harvest, can result in a decrease of silage nutritional quality and, consequently, in milk quality. In this study, 45 maize and grass silage samples were collected from 25 dairy farms located in the north of Portugal. The occurrence of fungi was evaluated in samples, the most frequently isolated species being Aspergillus fumigatus, Dipodascus geotrichum, Mucor circinelloides, Penicillium paneum, and Aspergillus flavus. The mycotoxigenic profile of the fungal species was studied using the ultra-high-performance liquid chromatography coupled to mass spectrometry-ion trap-time-of-flight (UHPLC-MS-IT-TOF) detection. In addition, a new method based on a QuEChERS extraction followed by the UHPLC- tandem mass spectrometry (UHPLC-MS/MS) detection was developed for simultaneous analysis of 39 mycotoxins in silage. A high co-occurrence of Fusarium mycotoxins was found, although at low levels of contamination. Deoxynivalenol and beauvericin were found in more than 82% of maize silage samples. It can be highlighted the low occurrence of Penicillium and Aspergillus toxins in the maize and grass silages studied despite the frequent detection of species of both genera.",International journal of food microbiology,"['D000818', 'D005506', 'D005658', 'D006801', 'D009183', 'D011174', 'D012820', 'D053719', 'D003313']","['Animals', 'Food Contamination', 'Fungi', 'Humans', 'Mycotoxins', 'Portugal', 'Silage', 'Tandem Mass Spectrometry', 'Zea mays']",Occurrence of mycotoxins and mycotoxigenic fungi in silage from the north of Portugal at feed-out.,"[None, 'Q000032', 'Q000235', None, 'Q000032', None, 'Q000032', None, None]","[None, 'analysis', 'genetics', None, 'analysis', None, 'analysis', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/35124380,2022
35088098,"Long-term exposure to heavy metals from high geological background area may lead to varieties of diseases. Therefore, risk assessment from agricultural products in these areas was crucial to ensure the health of customers. However, the effects of geological background on distributions of heavy metals and their accumulation in plant remain unclear. This study aimed to determine the distributions of mercury (Hg), cadmium (Cd), arsenic (As), lead (Pb), chromium (Cr) and copper (Cu) in 1036 corn and rice samples collected from 9 locations in Guizhou province and to evaluate their health risks. The concentrations of Hg, Cd, As, Pb, Cr and Cu in these two crops were analyzed by inductively coupled plasma-mass spectrometry (ICP-MS), and their health risk were estimated by the target risk quotient approaches. Results showed that the mean concentrations of Hg, Cd, As, Pb, Cr and Cu in corn and rice were 0.01, 0.07, 0.06, 0.27, 0.56 and 1.86 mg/kg which were lower than their respective maximum allowable concentrations (MAC) of 0.02, 0.20, 0.70, 0.20, 0.50 and 10.00 mg/kg except Pb and Cr. The concentrations of Cr and Cu in corn were higher than in rice while Cd, As and Pb in rice were higher than in corn. Moreover, the distributions of Hg, Cd and Cu in corn and rice samples were mainly observed from QDN located at southeast of Guizhou province while Pb, As and Cr were most detected at ZY, QXN and BJ areas, southwest zone. The hazard indices (HIs) values for corn and rice were 0.20 and 2.61. The high HIs (> 1) in rice indicated that the health risk of heavy metals in rice was relatively high and Pb was the major component that attributed to the risk, followed by Cd. These results could provide a reference for the distributions of heavy metals in agricultural products in Guizhou province under crop cultivation conditions, and to provide scientific basis for health risk assessment and ensure food safety.",Bulletin of environmental contamination and toxicology,[],[],Distributions of Heavy Metals in Rice and Corn and Their Health Risk Assessment in Guizhou Province.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35088098,2022
34954830,"Ingredient interactions usually occur in food matrix, which may affect their functions and properties. This study aimed to investigate the interactive effects of mulberry and corn protein on pigment stability and zein digestibility. The interaction of main compounds in both ingredients, that is, cyanidin-3-O-glucoside (C3G) and zein, was characterized via their structural, morphological, thermal stability, and digestible properties using multi-spectroscopic techniques, scanning electron microscopy, high performance liquid chromatography, and in vitro digestion models. Results showed that zein exhibited a strong binding affinity for C3G via van der Waals forces and hydrogen bonds determined in fluorescence assays. The secondary structure of zein changed due to C3G binding, with a decrease in α-helix and an increase in β-sheet. The particle size of zein decreased after interacting with C3G. The zein complexation with mulberry anthocyanin-rich extracts in a simulative food system did not affect the digestibility of zein significantly but enhanced the thermal stability of pigments slightly. Specifically, anthocyanins did not change the susceptibility of zein to pepsin proteolysis, suggesting that binding sites of C3G might not be the cleavage sites of pepsins. These results provide important insight into the binding mechanism of zein and anthocyanins and might help guide the design of anthocyanin-based functional food. PRACTICAL APPLICATION: Zein, as a storage protein widely distributed in corn flour, was commonly co-existing with anthocyanins in starchy food. This study provides insights into the molecular interactions between zein and cyanidin-3-O-glucoside. However, the interaction might not impact the zein digestion but enhance anthocyanin thermal stability. The findings of this work could throw light on the selection of ingredients rich in zein and anthocyanins in the food industry.",Journal of food science,"['D000872', 'D005960', 'D031625', 'D059748', 'D015028']","['Anthocyanins', 'Glucosides', 'Morus', 'Proteolysis', 'Zein']",Interaction characterization of zein with cyanidin-3-O-glucoside and its effect on the stability of mulberry anthocyanins and protein digestion.,"['Q000378', None, None, None, None]","['metabolism', None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34954830,2022
34952071,"Mycotoxins are secondary metabolites produced by specific fungi that have harmful effects on animals and humans. Worldwide more than 300 different mycotoxins are already known, frequently with concentrations in harvest products exceeding acceptable limits. Nevertheless, although these compounds have extensively been studied in food and feed, only little is known about their occurrence and fate in soil and agro-environmental matrices, such as manure, sewage sludge, drainage water and sediments. Therefore, the aim of this review was to (i) resume available methods for quantifying mycotoxins in soil, (ii) describe the occurrence and quantities of mycotoxins in soil and related agro-environmental matrices, and (iii) discuss the environmental fate of these target compounds with specific focus on their leaching potential into groundwater. The safest and most reliable method for mycotoxin quantification relies on mass spectrometry, while the extraction method and solvent composition differ depending on the compound under investigation. Mycotoxin levels detected in soils to date were in the μg range, reaching maximum amounts of 72.1 μg kg",The Science of the total environment,"['D000818', 'D002523', 'D005506', 'D006801', 'D009183', 'D012987', 'D015025']","['Animals', 'Edible Grain', 'Food Contamination', 'Humans', 'Mycotoxins', 'Soil', 'Zearalenone']",Mycotoxins in soil and environment.,"[None, 'Q000737', 'Q000032', None, 'Q000032', None, 'Q000032']","[None, 'chemistry', 'analysis', None, 'analysis', None, 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/34952071,2022
