PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
34287657,"Zearalenone (ZEN), an estrogenic mycotoxin produced by several species of Fusarium fungi, is a common contaminant of cereal-based food worldwide. Due to frequent occurrences associated with high levels of ZEN, maize oil is a particular source of exposure. Although a European maximum level for ZEN in maize oil exists according to Commission Regulation (EC) No. 1126/2007 along with a newly developed international standard method for analysis, certified reference materials (CRM) are still not available. To overcome this lack, the first CRM for the determination of ZEN in contaminated maize germ oil (ERM®-BC715) was developed in the frame of a European Reference Materials (ERM®) project according to the requirements of ISO Guide 35. The whole process of CRM development including preparation, homogeneity and stability studies, and value assignment is presented. The assignment of the certified mass fraction was based upon an in-house study using high-performance liquid chromatography isotope dilution tandem mass spectrometry. Simultaneously, to support the in-house certification study, an interlaboratory comparison study was conducted with 13 expert laboratories using different analytical methods. The certified mass fraction and expanded uncertainty (k = 2) of ERM®-BC715 (362 ± 22) μg kg",Analytical and bioanalytical chemistry,"['D002851', 'D003314', 'D005506', 'D011786', 'D012015', 'D053719', 'D003313', 'D015025']","['Chromatography, High Pressure Liquid', 'Corn Oil', 'Food Contamination', 'Quality Control', 'Reference Standards', 'Tandem Mass Spectrometry', 'Zea mays', 'Zearalenone']",Development and certification of a reference material for zearalenone in maize germ oil.,"['Q000379', 'Q000737', 'Q000032', None, None, 'Q000379', 'Q000737', 'Q000032']","['methods', 'chemistry', 'analysis', None, None, 'methods', 'chemistry', 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/34287657,2021
33714164,"The fatty acid, squalene, and phytosterols, coupled to chemometrics were utilized to detect the adulteration of camellia oil (CAO) with palm superolein (PAO), refined olive oil (ROO), high oleic- sunflower oil (HO-SUO), sunflower oil (SUO), corn oil (COO), rice bran oil (RBO), rice oil (RIO), peanut oil (PEO), sesame oil (SEO), soybean oil (SOO), and rapeseed oil (RAO). CAO was characterized with higher triterpene alcohols, thus differentiated from other vegetable oils in principle component analysis (PCA). Using partial least squares-discriminant analysis (PLS-DA), CAO adulterated with PAO, ROO, HO-SUO, SUO, COO, RBO, RIO, PEO, SEO, SOO, RAO (5%-100%, w/w), could be classified, especially higher than 92.31% of the total discrimination accuracy, at an adulterated ratio above 30%. With less than 22 potential key markers selected by the variable importance in projection (VIP), the optimized PLS models were confirmed to be accurate for the adulterated level prediction in CAO.",Food chemistry,"['D028244', 'D016002', 'D005227', 'D005506', 'D005607', 'D008401', 'D048088', 'D016018', 'D010840', 'D010938', 'D025341']","['Camellia', 'Discriminant Analysis', 'Fatty Acids', 'Food Contamination', 'Fraud', 'Gas Chromatography-Mass Spectrometry', 'Informatics', 'Least-Squares Analysis', 'Phytosterols', 'Plant Oils', 'Principal Component Analysis']",Detection of camellia oil adulteration using chemometrics based on fatty acids GC fingerprints and phytosterols GC-MS fingerprints.,"['Q000737', None, 'Q000032', 'Q000032', 'Q000517', None, None, None, 'Q000032', 'Q000737', None]","['chemistry', None, 'analysis', 'analysis', 'prevention & control', None, None, None, 'analysis', 'chemistry', None]",https://www.ncbi.nlm.nih.gov/pubmed/33714164,2021
33508588,"Soybean oil (SBO), rapeseed oil (RSO), peanut oil (PO), corn oil (CO), olive oil (OO), sunflower oil (SFO), rice germ oil (RGO), walnut oil (WO), torreya seed oil (TSO), and grapeseed oil (GSO) were used to investigate the formation of heterocyclic amines (HAs) in roasted beef patties. Seven HAs, including 2-amino-3,8-dimethylimidazo[4,5-f]quinoxaline (MeIQx), 2-amino-3,4-dimethyl-3H-imidazo[4,5-f]quinolone (MeIQ), 2-amino-3-methyl-3H-imidazo[4,5-f]quinoxaline (IQx), 2-amino-3,4,8-trimethylimidazo[4,5-f]quinoxaline (4,8-DiMeIQx), 2-amino-1-methyl-6-phenylimidazo[4,5-b]pyridine (PhIP), 1-methyl-9H-pyrido[3,4-b]indole (harman), and 9H-pyrido[3,4-b]indole (norharman) were detected in control patties and patties with vegetable oils. GSO, SFO, and WO greatly reduced the content of PhIP and MeIQ. 1.25%TSO and 3.75% RGO showed higher inhibition effects on the more strongly mutagenic compounds (PhIP, MeIQ, IQx, 4,8-DiMeIQx, MeIQx). SBO, PO, and RSO promoted imidazoquin(ox)aline (MeIQ, MeIQx, 4,8-DiMeIQx, and IQx) and β-carboline (harman and norharman); 1.25% SBO had the most significant promoting effect on total HA. This could be useful for the reduction of HA by selecting oils during cooking.",Food chemistry,"['D000588', 'D000818', 'D002417', 'D002851', 'D003296', 'D006571', 'D007093', 'D057230', 'D008460', 'D010938', 'D025341', 'D011810', 'D053719']","['Amines', 'Animals', 'Cattle', 'Chromatography, High Pressure Liquid', 'Cooking', 'Heterocyclic Compounds', 'Imidazoles', 'Limit of Detection', 'Meat', 'Plant Oils', 'Principal Component Analysis', 'Quinoxalines', 'Tandem Mass Spectrometry']",Effects of ten vegetable oils on heterocyclic amine profiles in roasted beef patties using UPLC-MS/MS combined with principal component analysis.,"['Q000032', None, None, None, None, 'Q000737', 'Q000032', None, 'Q000032', 'Q000737', None, 'Q000032', None]","['analysis', None, None, None, None, 'chemistry', 'analysis', None, 'analysis', 'chemistry', None, 'analysis', None]",https://www.ncbi.nlm.nih.gov/pubmed/33508588,2021
33276511,"This paper reports data from a characterization study conducted on the unsaponifiable lipid fraction of dry-grind corn bioethanol side streams. Phytosterols, squalene, tocopherols, tocotrienols, and carotenoids were quantified by High Performance Liquid Chromatography with Diode-Array Detector (HPLC-DAD) and Liquid Chromatography-tandem Mass Spectrometry (LC-MS/MS) in different lots of post-fermentation corn oil and thin stillage collected from a bioethanol plant over a time-span of one year. Fat-soluble bioactives were present at high levels in corn oil, with a prevalence of plant sterols over tocols and squalene. Beta-sitosterol and sitostanol accounted altogether for more than 60% of total sterols. The carotenoid profile was that typical of corn, with lutein and zeaxanthin as the prevalent molecules. The unsaponifiable lipid fraction profile of thin stillage was qualitatively similar to that of post-fermentation corn oil but, in quantitative terms, the amounts of valuable biomolecules were much lower because of the very high dilution of this side stream. Results indicate that post-fermentation corn oil is a promising and sustainable source of health-promoting bioactive molecules. The concomitant presence of a variegate complex of bioactive molecules with high antioxidant potentialities and their potential multifaceted market applications as functional ingredients for food, nutraceutical, and cosmeceutical formulations, make the perspective of their recovery a promising strategy to create new bio-based value chains and maximize the sustainability of corn dry-grind bioethanol biorefineries.","Foods (Basel, Switzerland)",[],[],Corn Bioethanol Side Streams: A Potential Sustainable Source of Fat-Soluble Bioactive Molecules for High-Value Applications.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/33276511,2020
33162254,Magnetic graphene oxide/TiO,Food chemistry,"['D016604', 'D003314', 'D005506', 'D063427', 'D006108', 'D017665', 'D008027', 'D053761', 'D010782', 'D021241', 'D014025', 'D014466']","['Aflatoxin B1', 'Corn Oil', 'Food Contamination', 'Food Quality', 'Graphite', 'Hydroxyl Radical', 'Light', 'Nanocomposites', 'Photolysis', 'Spectrometry, Mass, Electrospray Ionization', 'Titanium', 'Ultraviolet Rays']",Reduction of aflatoxin B,"['Q000737', 'Q000737', None, None, 'Q000737', None, None, 'Q000737', None, None, 'Q000737', None]","['chemistry', 'chemistry', None, None, 'chemistry', None, None, 'chemistry', None, None, 'chemistry', None]",https://www.ncbi.nlm.nih.gov/pubmed/33162254,2021
32930255,"Aflatoxins (AFs), as the secondary metabolites of the toxigenic fungi Aspergillus flavus and Aspergillus parasiticus, are well known to be extremely harmful to humans and animals because of their high toxicity, mutagenicity, carcinogenicity, and teratogenicity. Recurring and increasing studies on AF ingestion incidents indicate that AF contamination is a serious food safety issue worldwide. Currently, immunoaffinity chromatography (IAC) has become the most conventional sample clean-up method for determining AFs in foodstuffs. However, the IAC method may be limited to some laboratories because it requires the use of expensive disposable cartridges and the IA procedure is time-consuming. Herein, to achieve the cost-effective determination of AFs in edible oils, we developed a dispersive solid-phase extraction (DSPE) clean-up method based on humic acids (HAs), which is followed by liquid chromatography coupled with tandem mass spectrometry (LC-MS/MS) analysis. HAs could be directly used as a DSPE sorbent after simple treatment without any chemical modification. In the HA-DSPE, AFs could remain on the HA sorbent by both hydrophobic and hydrophilic interactions, whereas the oil matrix was retained on HA via only hydrophobic interactions. The oil matrix could be sufficiently washed off by n-hexane, whereas the AFs could still be retained on HA; thus, the selective extraction of AFs and clean-up of oil matrices were achieved. Under the optimal conditions of HA-DSPE, satisfactory recoveries ranging from 81.3% to 106.2% for four AFs (B1, B2, G1, and G2) were achieved in various oil matrices i.e. blended oil, mixed olive oil, tea oil, sunflower seed oil, rapeseed oil, sesame oil, soybean oil, rice oil, corn oil, and peanut oil. Minor matrix effects ranging from 89.3% to 112.9% were obtained for the four AFs, which were acceptable. Moreover, the LODs of AFs between 0.063 and 0.102 μg kg-1 completely meet the regulatory levels fixed by the Food and Drug Administration (FDA), the European Union (EU), China, or other countries. The proposed methodology was further validated using a naturally contaminated peanut oil, and the results indicated that the accuracy of the HA-DSPE could match the accuracy of the referenced IAC. In addition, HA-DSPE can be used to directly treat diluted edible oil without liquid-liquid extraction and HA is cheap and can be easily obtained from the market worldwide; these advantages make the proposed methodology simple, low-cost, and accessible for the determination of AFs in edible oils.",Analytical methods : advancing methods and applications,"['D000348', 'D001230', 'D001231', 'D002681', 'D002853', 'D004042', 'D005504', 'D006812', 'D010938', 'D052616', 'D053719']","['Aflatoxins', 'Aspergillus', 'Aspergillus flavus', 'China', 'Chromatography, Liquid', 'Dietary Fats, Unsaturated', 'Food Analysis', 'Humic Substances', 'Plant Oils', 'Solid Phase Extraction', 'Tandem Mass Spectrometry']",Facile dispersive solid-phase extraction based on humic acid for the determination of aflatoxins in various edible oils.,"['Q000032', 'Q000737', 'Q000737', None, None, 'Q000032', 'Q000379', None, 'Q000032', None, None]","['analysis', 'chemistry', 'chemistry', None, None, 'analysis', 'methods', None, 'analysis', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/32930255,2021
32805335,"The objective of this study was to obtain data on pathways of absorption of the synthetic pyrethroids deltamethrin (DLM) and cis-permethrin (CPM) following oral administration to rats. Adult male Sprague-Dawley rats with cannulated mesenteric lymph ducts and hepatic portal veins were given single doses of either 5 mg/kg DLM or 60 mg/kg CPM via the duodenum and lymph and portal blood samples collected for up to 300 min. The pyrethroid dosing vehicles (5 mL/kg body weight) were either corn oil or glycerol formal. Levels of DLM and CPM in lymph and portal blood samples were determined by high-performance liquid chromatography-mass spectrometry-mass spectrometry. Over the time period studied, levels of both DLM and CPM following administration in either corn oil or glycerol formal were greater in lymph than in portal blood. Lymphatic uptake of both DLM and CPM was enhanced following dosing in glycerol formal than in corn oil. The results of this study suggest that after oral administration to rats, these two pyrethroids are predominantly absorbed via the lymphatic system rather than via portal blood. The data obtained in this study thus support a recently developed physiologically-based pharmacokinetic (PBPK) model to evaluate age-related differences in pyrethroid pharmacokinetics in the rat, where it was assumed that absorption of pyrethroids was predominantly via lymphatic uptake.",Toxicology,"['D000284', 'D000818', 'D001692', 'D007306', 'D008196', 'D008297', 'D009570', 'D026023', 'D011169', 'D011722', 'D017207']","['Administration, Oral', 'Animals', 'Biological Transport', 'Insecticides', 'Lymph', 'Male', 'Nitriles', 'Permethrin', 'Portal Vein', 'Pyrethrins', 'Rats, Sprague-Dawley']",Differential lymphatic versus portal vein uptake of the synthetic pyrethroids deltamethrin and cis-permethrin in rats.,"[None, None, None, 'Q000097', 'Q000378', None, 'Q000097', 'Q000097', 'Q000378', 'Q000097', None]","[None, None, None, 'blood', 'metabolism', None, 'blood', 'blood', 'metabolism', 'blood', None]",https://www.ncbi.nlm.nih.gov/pubmed/32805335,2021
32787691,"In this study, we established a rapid and sensitive HPLC-MS/MS method for quantitative determination of tembotrione and its metabolite AE 1417268 (M5) in corn, corn oil, beef, pork, chicken, and eggs. Both analytes eluted from a C18 column within 6 min. The electrospray ionisation-positive mode was used for tembotrione, whereas the negative mode was used for M5. Acetonitrile was the extractant for all samples, and the addition of 2 g NaCl to each homogenised sample facilitated the extraction of the analytes into acetonitrile. The extracted analytes were further purified by the addition of 50 mg of C18 sorbent (25 mg GCB was also added to corn samples) for subsequent HPLC-MS/MS analysis. Satisfactory calibration-curve linearities (R","Food additives & contaminants. Part A, Chemistry, analysis, control, exposure & risk assessment","['D000818', 'D002417', 'D002645', 'D002851', 'D003314', 'D003512', 'D004531', 'D005506', 'D015394', 'D013450', 'D053719', 'D003313']","['Animals', 'Cattle', 'Chickens', 'Chromatography, High Pressure Liquid', 'Corn Oil', 'Cyclohexanones', 'Eggs', 'Food Contamination', 'Molecular Structure', 'Sulfones', 'Tandem Mass Spectrometry', 'Zea mays']","Development and establishment of a QuEChERS-based extraction method for determining tembotrione and its metabolite AE 1417268 in corn, corn oil and certain animal-origin foods by HPLC-MS/MS.","[None, None, None, None, 'Q000032', 'Q000032', 'Q000032', 'Q000032', None, 'Q000032', None, 'Q000737']","[None, None, None, None, 'analysis', 'analysis', 'analysis', 'analysis', None, 'analysis', None, 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/32787691,2021
32069863,"The estrogen-like mycotoxin zearalenone (ZEN) is one of the most widely distributed contaminants especially in maize and its commodities, such as corn oil. ZEN degrading enzymes possess the potential for counteracting the negative effect of ZEN and its associated high safety risk in corn oil. Herein, we targeted enhancing the secretion of ZEN degrading enzyme by Pichia pastoris through constructing an expression plasmid containing three optimized expression cassettes of zlhy-6 codon and signal peptides. Further, we explored various parameters of enzymatic detoxification in neutralized oil and analyzed tocopherols and sterols losses in the corn oil. In addition, the distribution of degraded products was demonstrated as well by Agilent 6510 Quadrupole Time-of-Flight mass spectrometry. P. pastoris GSZ with the glucoamylase signal was observed with the highest ZLHY-6 secretion yield of 0.39 mg/mL. During the refining of corn oil, ZEN in the crude oil was reduced from 1257.3 to 13 µg/kg (3.69% residual) after neutralization and enzymatic detoxification. Compared with the neutralized oil, no significant difference in the total tocopherols and sterols contents was detected after enzymatic detoxification. Finally, the degraded products were found to be entirely eliminated by washing. This study presents an enzymatic strategy for efficient and safe ZEN removal with relatively low nutrient loss, which provides an important basis for further application of enzymatic ZEN elimination in the industrial process of corn oil production.",Toxins,"['D055162', 'D001709', 'D003314', 'D005506', 'D015870', 'D005087', 'D006026', 'D006868', 'D010957', 'D004718', 'D015025', 'D043324']","['Biocatalysis', 'Biotechnology', 'Corn Oil', 'Food Contamination', 'Gene Expression', 'Glucan 1,4-alpha-Glucosidase', 'Glycoside Hydrolases', 'Hydrolysis', 'Plasmids', 'Saccharomycetales', 'Zearalenone', 'beta-Fructofuranosidase']",Zearalenone Removal from Corn Oil by an Enzymatic Strategy.,"[None, 'Q000379', 'Q000032', 'Q000032', None, 'Q000235', 'Q000235', None, None, 'Q000201', 'Q000032', 'Q000235']","[None, 'methods', 'analysis', 'analysis', None, 'genetics', 'genetics', None, None, 'enzymology', 'analysis', 'genetics']",https://www.ncbi.nlm.nih.gov/pubmed/32069863,2021
31825750,"Heterocyclic amines (HCAs) are potent mutagens generated by the high temperatures of the cooking process. The purpose of this study was to develop and validate analytical methods for HCAs determination using high-performance liquid chromatography-tandem mass spectrometry in seven food matrices: corn oil, milk, 20% ethanol, pork, flat fish, sea mustard (","Food additives & contaminants. Part A, Chemistry, analysis, control, exposure & risk assessment","['D000588', 'D002851', 'D003296', 'D005504', 'D005511', 'D059022', 'D006571', 'D057230', 'D053719']","['Amines', 'Chromatography, High Pressure Liquid', 'Cooking', 'Food Analysis', 'Food Handling', 'Food Safety', 'Heterocyclic Compounds', 'Limit of Detection', 'Tandem Mass Spectrometry']",Validation of analytical methods for heterocyclic amines in seven food matrices using high-performance liquid chromatography-tandem mass spectrometry.,"['Q000032', None, None, 'Q000379', None, None, 'Q000032', None, None]","['analysis', None, None, 'methods', None, None, 'analysis', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/31825750,2020
