PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
35325205,"Nucleus-encoded circular RNAs (ncircRNAs) have been widely detected in eukaryotes, and most circRNA identification algorithms are designed to identify them. However, using these algorithms, few mitochondrion-encoded circRNAs (mcircRNAs) have been identified in plants, and the role of plant mcircRNAs has not yet been addressed. Here, we developed a circRNA identification algorithm, mitochondrion-encoded circRNA identifier (MeCi), based on common features of plant mitochondrial genomes. We identified 7,524, 9,819, 1,699, 1,821, 1,809, and 5,133 mcircRNAs in maize (Zea mays), Arabidopsis (Arabidopsis thaliana), rice (Oryza sativa), tomato (Solanum lycopersicum), cucumber (Cucumis sativus), and grape (Vitis vinifera), respectively. These mcircRNAs were experimentally validated. Plant mcircRNAs had distinct characteristics from ncircRNAs, and they were more likely to be derived from RNA degradation but not intron backsplicing. Alternative circularization was prevalent in plant mitochondria, and most parental genomic regions hosted multiple mcircRNA isoforms, which have homogenous 5' termini but heterogeneous 3' ends. By analysis of mitopolysome and mitoribosome profiling data, 1,463 mcircRNAs bound to ribosomes were detected in maize and Arabidopsis. Further analysis of mass spectrometry-based proteomics data identified 358 mcircRNA-derived polypeptides. Overall, we developed a computational pipeline that efficiently identifies plant mcircRNAs, and we demonstrated mcircRNAs are widespread and translated in plants.",Plant physiology,[],[],Mitochondrion-encoded circular RNAs are widespread and translatable in plants.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35325205,2022
35286101,"Sea cucumber contains a wide range of bioactive compounds, including phenolics. This study investigated the free, esterified, and insoluble-bound phenolics of sea cucumber body wall as affected by high-pressure processing (HPP) pretreatment. Sea cucumber body wall was subjected to HPP (200, 400, and 600 MPa for 5, 10, and 15 min), followed by the extraction of phenolics. The contents of total phenolics and antioxidant activity were monitored. Compared to untreated samples, those treated with HPP exhibited significantly higher total phenolics, flavonoids, and antioxidant activities. Treatment of 600 MPa for 10 min offered the optimal results. The highest amount of phenolics was observed in the free phenolic fraction, followed by esterified and insoluble-bound phenolic fractions. Moreover, phenolic extracts showed inhibitory effects against cupric ion-induced low-density lipoprotein (LDL)-cholesterol oxidation, peroxyl and hydroxyl radical-induced DNA scission, α-glucosidase activity, and formation of advanced glycation end products (AGEs). Ultra-high-performance liquid chromatography equipped with a quadrupole time of fight and mass spectrometer (UHPLC-QTOF-MS/MS) identified 20 phenolic compounds, mainly phenolic acids and flavonoids, from the body wall of this species for the first time. Thus, sea cucumber may lead to the production of a multitude of value-added products.",Journal of agricultural and food chemistry,"['D000818', 'D000975', 'D002851', 'D048016', 'D018553', 'D010936', 'D012616', 'D053719']","['Animals', 'Antioxidants', 'Chromatography, High Pressure Liquid', 'Cucumaria', 'Cucumis sativus', 'Plant Extracts', 'Sea Cucumbers', 'Tandem Mass Spectrometry']",Effect of High-Pressure Processing (HPP) on Phenolics of North Atlantic Sea Cucumber (,"[None, 'Q000737', None, None, None, 'Q000737', None, None]","[None, 'chemistry', None, None, None, 'chemistry', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/35286101,2022
35200343,"In this study, a fluorometric and colorimetric dual-readout lateral flow immunoassay (LFIA) using antibody functionalized polydopamine-coated gold nanoparticles (Au@PDAs) as a probe was developed for the detection of carbendazim (CBD). Colloidal gold nanoparticles (AuNPs) were coated with polydopamines (PDA) by the oxidation of dopamine to synthesize Au@PDA nanoparticles. The Au@PDA nanoparticles mediated ZnCdSe/ZnS quantum dots (QDs) fluorescence quenching and recovery, resulting in a reverse fluorescence enhancement detection format of CBD. The CBD detection was obtained by the competition between the CBD and the immobilized antigen for Au@PDAs labelled antibody binding, resulting in a significant fluorescence increase and colorimetry decrease corresponded to the concentration of CBD. Dual readout modes were incorporated into the LFIA using the colorimetry signal under natural light and the fluorescence signal under UV light. The cut-off value in the mode of the colorimetric signal and fluorometric signal for CBD detection was 0.5 μg/mL and 0.0156 μg/mL, respectively. The sensitivity of LFIA of the fluorescence mode was 32 times higher than that of the colorimetry mode. There was negligible cross reactivity obtained by using LFIA for the determination of thiabendazole, benomyl, thiophanate-methyl, and thiophanate-ethyl. Consistent and satisfactory results have been achieved by comparing the results of Au@PDAs-QDs-LFIA and liquid chromatography-tandem mass spectrometry (LC-MS/MS) testing spiked cucumber and strawberry samples, indicating good reliability of the Au@PDAs-QDs-LFIA.",Biosensors,"['D001562', 'D002219', 'D002853', 'D006046', 'D007118', 'D007211', 'D053768', 'D011108', 'D045663', 'D015203', 'D053719']","['Benzimidazoles', 'Carbamates', 'Chromatography, Liquid', 'Gold', 'Immunoassay', 'Indoles', 'Metal Nanoparticles', 'Polymers', 'Quantum Dots', 'Reproducibility of Results', 'Tandem Mass Spectrometry']",A Polydopamine-Coated Gold Nanoparticles Quenching Quantum Dots-Based Dual-Readout Lateral Flow Immunoassay for Sensitive Detection of Carbendazim in Agriproducts.,"['Q000494', 'Q000494', None, 'Q000737', 'Q000379', 'Q000737', 'Q000737', 'Q000737', 'Q000737', None, None]","['pharmacology', 'pharmacology', None, 'chemistry', 'methods', 'chemistry', 'chemistry', 'chemistry', 'chemistry', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/35200343,2022
35137245,"This study developed a quick, easy, cheap, effective, rugged, and safe (QuEChERS) procedure for determining seven pyrethroid pesticide residues in tea, cucumber, and tomato via high-performance liquid chromatography-tandem mass spectrometry (HPLC-MS/MS). The overall average recoveries of the seven pyrethroids were 72%-104% (relative standard deviation (RSD); 2.0%-16.1%, 89%-109% (RSD; 0.7%-17.3%), 82%-110% (RSD; 1.6%-17.1%) for tea, cucumber and tomato, respectively. The determination coefficient (R",Bulletin of environmental contamination and toxicology,"['D002851', 'D005506', 'D007306', 'D057230', 'D010573', 'D011722', 'D053719', 'D013662', 'D014675']","['Chromatography, High Pressure Liquid', 'Food Contamination', 'Insecticides', 'Limit of Detection', 'Pesticide Residues', 'Pyrethrins', 'Tandem Mass Spectrometry', 'Tea', 'Vegetables']",Method Development and Validation of Seven Pyrethroid Insecticides in Tea and Vegetable by Modified QuEChERS and HPLC-MS/MS.,"['Q000379', 'Q000032', 'Q000032', None, 'Q000032', 'Q000032', 'Q000379', 'Q000737', 'Q000737']","['methods', 'analysis', 'analysis', None, 'analysis', 'analysis', 'methods', 'chemistry', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/35137245,2022
35068568,"Sea cucumbers are marine organisms with uses in food, cosmetics, and medicine. This study aimed to identify Indonesian sea cucumbers with high antioxidant and antibacterial activities. Twenty-one sea cucumber species were used for this study. Antioxidant capacity was evaluated using the 2,2-diphenyl-β-picrylhydrazine assay. Antibacterial activity was assessed using the disk diffusion assay, whereas the resazurin-based assay was employed to determine the minimum inhibitory concentration (MIC) and minimum bactericidal concentration (MBC). Volatile compounds possibly related to the biological activity of sea cucumbers were analyzed via gas chromatography-mass spectrometry (GC-MS). ",Journal of food science and technology,[],[],Antioxidant and antibacterial activities in 21 species of Indonesian sea cucumbers.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35068568,2022
35065500,"Oxadixyl is a systemic phenylamide fungicide, used to prevent and control disease caused by phytophthora and downy mildew in a variety of cash crops. In this study, a hapten of oxadixyl was designed and used to prepare a highly specific and sensitive anti-oxadixyl monoclonal antibody (mAb) with a 50% inhibition concentration of 3.68 ng/mL. An immunochromatographic assay (ICA) was developed for screening of oxadixyl residues in cucumber, tomato and wine. The ICA strip provided a visible limit of detection (vLOD) of 1 ng/g and a cut-off value of 20 ng/g in cucumbers and tomatoes and displayed a vLOD of 5 ng/mL and a cut-off value of 100 ng/mL in wine. The calculated limit of detection (cLOD) values of the ICA were 1.45 and 0.55 ng/g for cucumbers and tomatoes and 2.11 ng/mL for wine. The ICA gave recovery rates of 95.4-106.0% for cucumber samples, 96.4-99.5% for tomato samples and 93.0-97.4% for wine samples. Moreover, the test results provided by the ICA were highly consistent with those of LC/MS. These results and data indicated that the ICA was an effective and practical method for rapid and high-throughput detection of oxadixyl residues in cucumber, tomato, wine and other food samples.",Food chemistry,"['D000081', 'D002846', 'D018553', 'D007118', 'D057230', 'D018551', 'D010080', 'D014920']","['Acetamides', 'Chromatography, Affinity', 'Cucumis sativus', 'Immunoassay', 'Limit of Detection', 'Lycopersicon esculentum', 'Oxazoles', 'Wine']","An immunochromatographic assay for the rapid detection of oxadixyl in cucumber, tomato and wine samples.","[None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/35065500,2022
35018637,"Free amino acid (FAA) profiles of fresh, acidified, naturally fermented, and starter culture fermented cucumbers were analyzed by liquid chromatography triple quadrupole mass spectrometry. Fermented cucumbers contained more total FAA than acidified cucumbers (1,302 ± 102 mg/kg and 635 ± 35 mg/kg, respectively). Total FAA content of fermented cucumber was similar regardless of brine salt levels (2-6% NaCl) and starter culture addition. Glutamine (1491.4 ± 69.3 mg/kg), γ-aminobutyric acid (GABA, 269.6 ± 21.4 mg/kg), asparagine (113.0 ± 6.4 mg/kg), and citrulline (110.3 ± 8.5 mg/kg) were the most abundant FAA in fresh pickling cucumber, whereas GABA (181.3 ± 21.5 mg/kg), isoleucine (165.2 ± 11.2 mg/kg), leucine (129.8 ± 10.9 mg/kg), and lysine (110.9 ± 5.0 mg/kg) were the most abundant in fermented cucumber. GABA and ornithine were produced during fermentation, indicating glutamate decarboxylase and arginine deiminase activities. Notably, ornithine was significantly higher in natural (63.3 ± 31.5 mg/kg) versus starter culture fermented cucumbers (3.0 ± 0.7 mg/kg). This new information on FAA composition of fresh and fermented pickling cucumbers shows the impact of fermentation conditions on cucumber amino acid profiles while providing insight for manipulating fermentations for health promotion and consumer acceptance. PRACTICAL APPLICATION: This study reports changes in the free amino acid profiles of raw, fermented and acidified cucumbers, which may be valuable for understanding the impact of these foods on human health and nutrition. This information is useful for food microbiologists studying the metabolism of lactic acid bacteria during fermentation and/or designing starter cultures and could contribute to the development of novel fermented cucumber pickle products with enhanced nutritional value.",Journal of food science,"['D000596', 'D018553', 'D005285', 'D005516', 'D006801', 'D006863', 'D019344']","['Amino Acids', 'Cucumis sativus', 'Fermentation', 'Food Microbiology', 'Humans', 'Hydrogen-Ion Concentration', 'Lactic Acid']",Changes in the free amino acid profile of pickling cucumber during lactic acid fermentation.,"[None, None, None, None, None, None, None]","[None, None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/35018637,2022
34941708,"More still needs to be learned regards the relative contamination of heavy metals and pesticide residues, particularly those found in widely consumed Nigerian food crops like cereals, vegetables, and tubers. In this current study, the heavy metals and pesticide residues detectable in widely consumed Nigerian food crops were respectively quantified using atomic absorption spectroscopy (AAS) and gas chromatography (GC). Specifically, the widely consumed Nigerian food crops included cereals (rice, millet, and maize), legume (soybean), tubers (yam and cassava), as well as leaf (fluted pumpkin, ",Toxins,"['D002849', 'D018556', 'D005506', 'D019216', 'D009549', 'D010573', 'D013054']","['Chromatography, Gas', 'Crops, Agricultural', 'Food Contamination', 'Metals, Heavy', 'Nigeria', 'Pesticide Residues', 'Spectrophotometry, Atomic']",Quantification of Heavy Metals and Pesticide Residues in Widely Consumed Nigerian Food Crops Using Atomic Absorption Spectroscopy (AAS) and Gas Chromatography (GC).,"[None, 'Q000737', 'Q000032', 'Q000032', None, 'Q000032', None]","[None, 'chemistry', 'analysis', 'analysis', None, 'analysis', None]",https://www.ncbi.nlm.nih.gov/pubmed/34941708,2022
34922982,"This research aims to analyze 56 pesticide residues in 100 green-house cucumber and 150 cantaloupe and melon samples collected from markets in Iran by Quick, Easy, Cheap, Effective, Rugged, and Safe (QuEChERS) extraction method based on analysis with ultra-high performance liquid chromatography-tandem mass spectrometry (UHPLC-MS/MS). In addition, non-carcinogenic and carcinogenic probabilistic health risk assessments were evaluated by Hazard Quotient (HQ), Hazard Index (HI), and Carcinogenic Risk (CR) based on the Monte Carlo Simulation (MCS) method. According to Iranian regulation, 18% of cucumber and 22% of cantaloupe and melon samples were contaminated by at least one pesticide. Arrange pesticides based on HQ ranking was diazinon > thiacloprid > imidacloprid tebuconazole for cucumbers and chlorpyrifos > thiacloprid > imidacloprid > metalaxyl for cantaloupes and melons. In addition, HI for adults was 0.067 in cucumber and 0.24 in cantaloupe and melon; and for children, 0.30 in cucumber and 0.60 in cantaloupe and melon. Arrange pesticides based on CR ranking was thiacloprid > imidacloprid > metalaxyl > chlorpyrifos > tebuconazole > diazinon. However, CR was more than 1.0E-6 value due to thiacloprid, so consumers were at considerable carcinogenic risk in these commodities.",Environmental research,"['D000328', 'D002648', 'D028463', 'D018553', 'D019662', 'D005506', 'D006801', 'D007492', 'D009010', 'D010573', 'D018570', 'D053719']","['Adult', 'Child', 'Cucumis melo', 'Cucumis sativus', 'Cucurbitaceae', 'Food Contamination', 'Humans', 'Iran', 'Monte Carlo Method', 'Pesticide Residues', 'Risk Assessment', 'Tandem Mass Spectrometry']","Pesticide residues in green-house cucumber, cantaloupe, and melon samples from Iran: A risk assessment by Monte Carlo Simulation.","[None, None, None, None, None, 'Q000032', None, None, None, 'Q000032', None, 'Q000379']","[None, None, None, None, None, 'analysis', None, None, None, 'analysis', None, 'methods']",https://www.ncbi.nlm.nih.gov/pubmed/34922982,2022
34896950,"Pesticide residues can be found in foods of plant origin which can cause adverse health effects. The aim of this study is to assess the risk of exposure to pesticide residues (180) from foods (478 samples of 49 food items) of plant origin collected in Beirut, Lebanon. Pesticides were extracted by QuEChERS method and analyzed through liquid and gas chromatography tandem mass spectrometry. Of the 387 samples, 58 (32.2%) residues were detected. Over 50 % of the positive samples for 14 residues were exceeding the Maximum Residue Limits of European Union. All of the hazard quotient (HQ) values were less than 1 with respect to all age groups except for the pesticide residue chlorpyrifos in cucumber (1.7945). This suggests that the majority of foods examined for the pesticide residues can be considered safe for consumption by Lebanese children, although Chlorpyrifos in cucumber was of concern.",Food chemistry,"['D002648', 'D005506', 'D008401', 'D006801', 'D007861', 'D010573', 'D018570']","['Child', 'Food Contamination', 'Gas Chromatography-Mass Spectrometry', 'Humans', 'Lebanon', 'Pesticide Residues', 'Risk Assessment']",Risk assessment of pesticide residues from foods of plant origin in Lebanon.,"[None, 'Q000032', None, None, None, 'Q000032', None]","[None, 'analysis', None, None, None, 'analysis', None]",https://www.ncbi.nlm.nih.gov/pubmed/34896950,2022
