PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
36627477,"Technological advances and socioeconomic development of Bangladesh are leading to the best choice between branded and non-branded powdered spices. But toxic metal issues can be another factor to elect them. So lead (Pb) exposure and its consequence on the human body for these two categories of four common spices have been ascertained here. A validated laboratory method using hot plate digestion and flame atomic absorption spectrometry (FAAS) has been used for that. The obtained mean concentration of Pb in branded and non-branded spice powders followed the decreasing order of turmeric > coriander > red chili > cumin powder and turmeric > red chili > cumin > coriander powder, respectively, where, in any analysis mode, the non-branded items are potentially ahead of Pb exposure. The market-based mean concentration between these two categories was not a significant difference (t-test). Approximately 90% of the spice samples have shown within the maximum allowable limit by Bangladesh Standard. The sum of estimated daily intake indicated that most of the city market (67%) for non-branded items and some branded (33%) samples have crossed the maximum tolerable daily intake (> 0.21 mg/kg). So, the human health risk assumption for the inhabitant of studied areas suggests there is no significant level of risk for them due to the consumption of spices regarding non-carcinogenic risk factor (THQ and total THQ) and carcinogenic risk factor (CR). But the development of a quality control process for loose spice powders as well as toxic metal screening from raw materials to finish products urgently needed and continuous monitoring with identifying the source of toxic metal is highly recommended.",Biological trace element research,[],[],Lead Exposure of Four Biologically Important Common Branded and Non-branded Spices: Relative Analysis and Health Implication.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/36627477,2023
36234940,Volatile organic metabolites (VOMs) present in different spices can provide distinct analytical biosignatures related to organoleptic properties and health benefits. This study aimed to establish the volatilomic fingerprint of six of the most consumed spices all over the world (saffron (,"Molecules (Basel, Switzerland)","['D002212', 'D027622', 'D028527', 'D008401', 'D029222', 'D017365', 'D013729', 'D055549']","['Capsicum', 'Crocus', 'Cuminum', 'Gas Chromatography-Mass Spectrometry', 'Piper nigrum', 'Spices', 'Terpenes', 'Volatile Organic Compounds']",Spices Volatilomic Fingerprinting-A Comprehensive Approach to Explore Its Authentication and Bioactive Properties.,"[None, 'Q000737', 'Q000737', 'Q000379', 'Q000737', 'Q000032', 'Q000032', 'Q000032']","[None, 'chemistry', 'chemistry', 'methods', 'chemistry', 'analysis', 'analysis', 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/36234940,2022
35206026,"Spices and aromatic herbs have always had great historical importance in human nutrition. Their use has been documented for centuries as a rich source of bioactive compounds; they have been used for their health benefits and also for flavoring or coloring food. However, despite the many health properties linked to the use of spices and aromatic herbs, these can represent biological hazards and can contain chemical substances of concern. Certainly, monitoring potential health hazards in spices and aromatic herbs includes microbiological safety and also the content of inorganic substances: both represent a key step. This research aims at monitoring the compliance of various spices and aromatic herbs from a non-European country market (namely: black cumin seeds, Iranian Tokhme Sharbati, clove buds, Shahjeera, Abbaszadeh saffron, organic fenugreek, whole black pepper, cinnamon, Abthul Ahmar (Asario), Ajwan seeds, whole coriander seeds, black sesame seeds, Sabja seeds) with the current European Union (EU) and WHO regulations, when available, regarding mineral and microbiological parameters. In particular, microbiological assays using rapid and conventional methods, and trace mineral determination by inductively coupled plasma mass spectrometry (ICP-MS) were performed. Results show the safety of the tested spices, given that the microbiological parameters were within the legal microbiological criteria set by the European Commission Regulation (EC) No. 2073/2005 and its amendment Regulation (EC) No. 1441/2007. With reference to potentially toxic Cd, Pb, As, Hg, these were within the limits set by the European Commission Regulation (EC) No. 1881/2006 and its amendments, Regulation (EU) No. 1317/2021 and Regulation (EU) No. 1323/2021, and WHO. According to EU regulations, for Pb content, 2 samples out of 16 showed values different from the set limits.","Foods (Basel, Switzerland)",[],[],Mineral and Microbiological Analysis of Spices and Aromatic Herbs.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35206026,2022
34600509,"Edible oils have proven health benefits in the prevention and treatment of various disorders since the establishment of human era. This study was aimed to appraise neuropharmacological studies on the commonly used edible oils including Cinnamomum verum (CV), Zingiber officinale (ZO) and Cuminum cyminum (CC).",BMC complementary medicine and therapies,"['D000975', 'D002935', 'D028527', 'D004791', 'D008401', 'D020939', 'D006801', 'D062105', 'D018696', 'D010599', 'D010938']","['Antioxidants', 'Cinnamomum zeylanicum', 'Cuminum', 'Enzyme Inhibitors', 'Gas Chromatography-Mass Spectrometry', 'Ginger', 'Humans', 'Molecular Docking Simulation', 'Neuroprotective Agents', 'Pharmacokinetics', 'Plant Oils']","Neuroprotective potentials of selected natural edible oils using enzyme inhibitory, kinetic and simulation approaches.","['Q000032', 'Q000737', 'Q000737', None, None, 'Q000737', None, None, 'Q000494', None, 'Q000494']","['analysis', 'chemistry', 'chemistry', None, None, 'chemistry', None, None, 'pharmacology', None, 'pharmacology']",https://www.ncbi.nlm.nih.gov/pubmed/34600509,2021
34064351,"Spices have long been used to improve food flavor, due to their appealing fragrance and sensory attributes. Nowadays, spices-based bioactives, particularly phenolic compounds, have gained attention due to their wide range of significant effects in biological systems. The present study was conducted to characterize the 12 widely used spices (allspice, black cardamom, black cumin, black pepper, cardamom, cinnamon, clove, cumin, fennel, nutmeg, star-anise, and turmeric) for their phenolics with the liquid chromatography-electrospray ionization quadrupole time-of-flight mass spectrometry (LC-ESI-QTOF-MS","Antioxidants (Basel, Switzerland)",[],[],Comprehensive Profiling of Most Widely Used Spices for Their Phenolic Compounds through LC-ESI-QTOF-MS,[],[],https://www.ncbi.nlm.nih.gov/pubmed/34064351,2021
33333358,"It was aimed to compare the performances of two spectroscopic methods, fluorescence and mid-infrared spectroscopy, in terms of their adulteration detection and estimation of several chemical properties for various cold pressed seed oils. Spectroscopic profiles, fatty acid, free fatty acid and total phenol contents of pumpkin seed, grape seed, black cumin oil, and sesame seed oils were determined and these oils were mixed with sunflower oil at 1-50% (v/v). Both spectroscopic techniques provided comparable results for determination of adulteration of each oil type and the most successful prediction was obtained for pumpkin seed oil at levels >%1. Combined data set of oils resulted in successful quantification of their free fatty acid value, total phenol and major fatty acids contents with both spectroscopic methods regardless of oil type. Both techniques could be used as reliable, fast and environmentally friendly alternatives in the analyses of different types of seed oils.",Food chemistry,"['D005504', 'D063427', 'D005607', 'D010938', 'D013050', 'D013055']","['Food Analysis', 'Food Quality', 'Fraud', 'Plant Oils', 'Spectrometry, Fluorescence', 'Spectrophotometry, Infrared']",Prediction of chemical parameters and authentication of various cold pressed oils with fluorescence and mid-infrared spectroscopic methods.,"['Q000379', None, 'Q000517', 'Q000737', None, None]","['methods', None, 'prevention & control', 'chemistry', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/33333358,2021
33241389,"Medicinal herbs are the ancient, traditional way of treating many diseases and are now considered the first natural source of pharmaceutical active ingredients. Therefore, it is very important to focus on the hygiene of these plants so as to make sure they are safe for consumption. This work aimed to monitor the common heavy and radioactive elements in some commonly used herbs: anise, chamomile, clover, cumin, coriander, fennel, roselle, rosemary, sage, and thyme. A total of 12 elements were measured including 2 radionuclides, Al, As, Cd, Hg, Co, Cr, Ni, Pb, Sr, Th, U, and V. Heavy metals are ecologically and biologically important, and may be involved in some health disorder symptoms within the human body. Samples were digested with a microwave digester and measurements were completed with ICP-MS/MS in Helium mode to increase sensitivity, lower the background, and avoid interferences. Method validation and verification were performed through the spiking process at 2.0 µg/kg level, and then RSD, LOD, and LOQ were calculated. Recoveries ranged from 93-103% for all elements and RSD% from 2.8-9.6%. Hg and Th were not detected in all samples, while U was detected in some sample of anise, rosemary, sage, and thyme, and ranged from 0.018-0.048 mg/kg. As was detected in anise, fennel, roselle, and rosemary, and ranged from 0.0.031-5.88 mg/kg. Al, Cd, Co, Cr, Ni, Pb, Sr, and V were detected in most samples of all herbs, and ranged from 3.88-17.80, 0.122-0.654, 0.019-0.851, 0.344-2.91, 1.872-5.82, 0.120-12.56, 0.128-0.844, and 0.083-0.912 mg/kg, respectively.",Journal of AOAC International,"['D006801', 'D008628', 'D019216', 'D010946', 'D011868', 'D053719']","['Humans', 'Mercury', 'Metals, Heavy', 'Plants, Medicinal', 'Radioisotopes', 'Tandem Mass Spectrometry']",Determination of Some Common Heavy Metals and Radionuclides in Some Medicinal Herbs Using ICP-MS/MS.,"[None, None, None, None, None, None]","[None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/33241389,2021
32891606,"The present study examined in lambs whether exposure to flavors derived from pregnant mother's diet and transferred to amniotic fluid (AF) could induce a preference for artificial milk containing one of these flavors. To test this hypothesis, cumin was added to the maternal diet in the last month of gestation. Preference for artificial milk containing p-cymene, one of the chemosensory compounds of cumin, was tested within the first two days after birth in maternally deprived lambs born from mothers fed a cumin-flavored diet (Cumin group), or an unflavored diet (Control group). Aromatic profile of AF from cumin-fed mothers was analyzed by GC-MS/MS to determine whether p-cymene could be detected. While the control group avoided the flavored artificial milk on day 1, the Cumin group did not and showed a preference for the cumin-scented formula on day 2. GC-MS/MS profile of AF revealed that four of the main volatile cumin compounds, p-cymene, p-cymenene, β-pinene and γ-terpinene were present in variable amounts in all samples, p-cymene being the most frequently detected. These findings indicate that newborn lambs can memorize flavors from the mother's diet present in AF and that prenatal experience influences their preference for an artificial milk containing one specific flavor.",Physiology & behavior,"['D000653', 'D000818', 'D000831', 'D004032', 'D005260', 'D005518', 'D008892', 'D011247', 'D012756', 'D053719']","['Amniotic Fluid', 'Animals', 'Animals, Newborn', 'Diet', 'Female', 'Food Preferences', 'Milk', 'Pregnancy', 'Sheep', 'Tandem Mass Spectrometry']",Artificial milk preference of newborn lambs is prenatally influenced by transfer of the flavor from the maternal diet to the amniotic fluid.,"[None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/32891606,2021
32320916,"An environmentally friendly, simple method was carried out with the help of an ultrasonic assisted solid-liquid microextraction technique using a new deep eutectic solvent (DES) for the extraction and determination of Sudan dyes (I-IV) in spice samples. In this method, parameters affecting the optimization were researched and optimized such as DES composition, DES volume, ultrasonic time, temperature and, centrifuge time. The analytical performance of the developed method was quite satisfactory, the R","Spectrochimica acta. Part A, Molecular and biomolecular spectroscopy","['D002212', 'D002498', 'D002851', 'D004396', 'D003374', 'D028527', 'D057927', 'D057230', 'D059627', 'D009284', 'D029045', 'D012997', 'D017550', 'D017365', 'D013696', 'D013943', 'D013997', 'D014465']","['Capsicum', 'Centrifugation', 'Chromatography, High Pressure Liquid', 'Coloring Agents', 'Coumarins', 'Cuminum', 'Hydrophobic and Hydrophilic Interactions', 'Limit of Detection', 'Liquid Phase Microextraction', 'Naphthols', 'Rhus', 'Solvents', 'Spectroscopy, Fourier Transform Infrared', 'Spices', 'Temperature', 'Thymol', 'Time Factors', 'Ultrasonics']",Ultrasound-assisted hydrophobic deep eutectic solvent based solid-liquid microextraction of Sudan dyes in spice samples.,"['Q000737', None, None, 'Q000737', 'Q000737', 'Q000737', None, None, 'Q000379', 'Q000302', 'Q000737', 'Q000737', None, 'Q000032', None, 'Q000737', None, 'Q000379']","['chemistry', None, None, 'chemistry', 'chemistry', 'chemistry', None, None, 'methods', 'isolation & purification', 'chemistry', 'chemistry', None, 'analysis', None, 'chemistry', None, 'methods']",https://www.ncbi.nlm.nih.gov/pubmed/32320916,2021
31927601,Deep eutectic solvents (DESs) were investigated as extracting solvent for headspace single-drop microextraction (HS-SDME). The extraction efficiency of 10 DESs mainly composed of tetrabutylammonium bromide (N,Analytical and bioanalytical chemistry,"['D002935', 'D028527', 'D030001', 'D008401', 'D059627', 'D026323', 'D010936', 'D012997', 'D017365', 'D027842', 'D013729', 'D046930']","['Cinnamomum zeylanicum', 'Cuminum', 'Foeniculum', 'Gas Chromatography-Mass Spectrometry', 'Liquid Phase Microextraction', 'Myristica', 'Plant Extracts', 'Solvents', 'Spices', 'Syzygium', 'Terpenes', 'Thymus Plant']",Deep eutectic solvent-based headspace single-drop microextraction for the quantification of terpenes in spices.,"['Q000737', 'Q000737', 'Q000737', 'Q000379', 'Q000379', 'Q000737', 'Q000737', 'Q000737', 'Q000032', 'Q000737', 'Q000032', 'Q000737']","['chemistry', 'chemistry', 'chemistry', 'methods', 'methods', 'chemistry', 'chemistry', 'chemistry', 'analysis', 'chemistry', 'analysis', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/31927601,2020
