PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
34687751,"The levels of 12 trace metal (loid)s (TMs) in 10 vegetable types including leafy vegetables (purslane, purple basil and parsley) and fruiting vegetables (pepper, tomato, eggplant, cucumber, zucchini, green bean and melon) and in maize grown in Malatya province (Turkey) were investigated and non-carcinogenic health risks from consumption of these crops were assessed. The levels of TMs were measured by inductively coupled plasma-optical emission spectrometry. The mean levels of Ni, Cu, Cd, Cr, As and Zn in all crops were below maximum permissible concentrations (MPCs), while those of Pb in pepper (0.109 mg/kg fw), eggplant (0.103 mg/kg fw) and green bean (0.177 mg/kg fw) slightly exceeded MPCs (0.1 mg/kg fw). Leafy vegetables had relatively higher concentrations of Al, As, Ba, Cr, Cu, Fe and Mn compared to fruiting vegetables and maize. The estimated daily intake value of each TM estimated for each crop was found to be below the tolerable daily intake value. The target hazard quotients of all TMs in all crops did not exceed the acceptable non-carcinogenic risk level. However, hazard index (HI) value (1.57) in tomato was found to be above the threshold value of 1, indicating non-carcinogenic risks for consumers due to the intake of combined TMs in tomato. The THQ values of As, Co and Pb contributed 46.4%, 24.5% and 16.4% of the HI value of tomato, respectively. High daily consumption amount of tomato likely resulted in high HI value. The findings obtained in this study reveal that even if the levels of TMs in vegetables are safe, more attention should be paid to non-carcinogenic risks associated with TMs as a result of high vegetable intake.",Environmental research,"['D001151', 'D004784', 'D019216', 'D018570', 'D012989', 'D014675']","['Arsenic', 'Environmental Monitoring', 'Metals, Heavy', 'Risk Assessment', 'Soil Pollutants', 'Vegetables']",Arsenic and trace metal concentrations in different vegetable types and assessment of health risks from their consumption.,"['Q000032', None, 'Q000032', None, 'Q000032', 'Q000737']","['analysis', None, 'analysis', None, 'analysis', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/34687751,2022
34497319,"Scientific investigations on levels of Organochlorine Pesticide (OCP) residues in plants largely consider the edible parts (crops, vegetables, and fruit plants). Though the non-edible parts of plants are not eaten by human beings directly, these parts are consumed by livestock and other animals, thereby facilitating the flow of chemical residues through the food chain. The objective of the present investigation was to evaluate the concentration of OCP residues in non-edible plant parts to provide insights on their potential ecotoxicological impacts. Eighteen OCP residues were extracted in nine different plant species (banana Musa acuminate, brinjal Solanum melongena, Casuarina equisetifolia, Eucalyptus globulus, lotus Nelumbo nucifera, paddy Oryza sativa, sugarcane Saccharum officinarum, tapioca Manihot esculenta, tomato Lycopersicon esculentum) following QuEChERS method. The concentrations of OCP residues in plant extracts were determined using Gas Chromatography coupled with Mass Spectrometry (GC-MS). The OCP residues, namely: γ-HCH (lindane), heptachlor epoxide isomer, dieldrin, endrin, endrin aldehyde and endrin ketone were found predominantly in seven plant species. Residues of γ-HCH (lindane) were reported in different parts of plant species such as stem (581.14 ng/g in paddy and 585.82 ng/g in tapioca) and leaf (583.3 ng/g in tomato). Seven samples contained residues of heptachlor epoxide isomer (512.53 to 1173.8 ng/g). Dieldrin was found in paddy stem (489.97 ng/g), tapioca stem (490.21 ng/g) and tapioca leaf (490.32 ng/g). The detected OCPs in the present study were 10-50 times higher than the Maximum Residue Limits (MRL, 0.01-0.1 mg/Kg) as prescribed in the Codex Alimentarius of the FAO/WHO. Their elevated concentrations in the plant parts therefore pose risk of contamination to the consumers in the food chain, including human beings those are dependent on the animals as source of protein. The findings of this study are the first report on residue levels of OCPs in non-edible plant parts in the agricultural landscape of Puducherry region, India. Since, this study assumes significance for the strategic location of Oussudu Lake, an interstate lake spread over Puducherry and Tamil Nadu states, regular monitoring of OCP residues in different environmental segments in strategic locations in both the states is suggested, which will help the authorities in devising a comprehensive environmental management plan aiming at the ecosystem at large.",Scientific reports,"['D000383', 'D017753', 'D054750', 'D004784', 'D005506', 'D006843', 'D010573', 'D010944']","['Agriculture', 'Ecosystem', 'Ecotoxicology', 'Environmental Monitoring', 'Food Contamination', 'Hydrocarbons, Chlorinated', 'Pesticide Residues', 'Plants']",Organochlorine pesticide residues in plants and their possible ecotoxicological and agri food impacts.,"[None, None, None, 'Q000379', 'Q000032', 'Q000032', 'Q000032', 'Q000737']","[None, None, None, 'methods', 'analysis', 'analysis', 'analysis', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/34497319,2021
33930769,"Understanding of pesticide persistence and diffusion on the fresh vegetables are extremely important in food safety and decontamination process. In this study, we examine the persistence and diffusion behaviour of chlorpyrifos pesticide in five different species of vegetables. The chlorpyrifos pesticide was spiked on the vegetable surfaces and the extracted samples from peel and tissues were subjected to Gas Chromatography equipped with a Flame Photometric Detector (GC-FPD). Further, the chlorpyrifos diffusion behaviour was compared with the osmotic potential, shear strength, cuticular chemical profile and microstructure of peel surface of vegetables. The persistence analysis results revealed that chlorpyrifos level was decreased in peel surface and diffusion rate was increased in inner tissue with respect to durations. Within 72 h exposure, chlorpyrifos reached 0.7 cm depth into the inner tissue of vegetables. Significant level of chlorpyrifos diffusion with P ≤ 0.05 was observed in beetroot (2.47%), khon khol (1.46%) and brinjal (0.92%) compared to cucumber and potato. Remarkably, there was no direct linkage between the chlorpyrifos diffusion rate, osmotic potential and toughness of vegetables. In addition, the Gas Chromatography Mass Spectroscopy (GC-MS) and Scanning Electron Microscopy (SEM) analyses revealed that epicuticular surface microstructure and chemical profiles were not correlated with the chlorpyrifos diffusion in all the tested vegetables. The study results concludes that chlorpyrifos diffusion is vegetable species specific and it is highly variable between the species.",Ecotoxicology and environmental safety,"['D004390', 'D002849', 'D018553', 'D005506', 'D059022', 'D008401', 'D010573', 'D010575', 'D032323', 'D014675']","['Chlorpyrifos', 'Chromatography, Gas', 'Cucumis sativus', 'Food Contamination', 'Food Safety', 'Gas Chromatography-Mass Spectrometry', 'Pesticide Residues', 'Pesticides', 'Solanum melongena', 'Vegetables']",Persistence and diffusion behaviour of chlorpyrifos in five different species of vegetables: A comparative analysis.,"['Q000032', 'Q000379', None, 'Q000032', None, 'Q000379', 'Q000032', 'Q000032', None, 'Q000737']","['analysis', 'methods', None, 'analysis', None, 'methods', 'analysis', 'analysis', None, 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/33930769,2021
33566366,"Dissipation kinetics and dietary risk assessment of spiromesifen is worked out on four summer vegetables, viz. okra, chilli, capsicum and brinjal (eggplant or aubergine) during March-April 2015 at the experimental farm of the Department of Entomology, Dr. Yashwant Singh Parmar University of Horticulture and Forestry Nauni, Solan using good agricultutral practices. Two foliar applications of spiromesifen @ 144.0 g.a.i./ha each were given at 10 days interval with a knapsack sprayer with the first application at the fruit initiation stage. Sample were collected up to 15 days after pesticide application and processed using a modified QuEChERS method, which was validated by doing recovery studies having recovery range and RSD within established guidelines of SANCO. Estimation of spiromesifen residues was conducted on GC-MS. The initial deposits after spraying of spiromesifen on okra, capsicum, chilli and brinjal fruit after 2 h of treatment were 1.327, 0.727, 0.800 and 0.738 mg/kg, respectively. The residues persisted up to 7 days and further dissipated and declined below the limit of quantification of <0.025 mg/kg at 10 days after treatment in all of the crops under investigation. Dissipation of spiromesifen followed first-order kinetics. The spiromesifen residues dissipated to half in 1.6, 1.8, 1.9 and 1.7 days with the suggested safe waiting period of 8.9, 5.2, 6.0 and 7.0 in the respective crops. The hazard quotient was <1 and theoretical maximum dietary intake was less than the maximum permissible intake, which was less than the maximum residue limit in all of the vegetable crops under investigation.",Biomedical chromatography : BMC,"['D000383', 'D008401', 'D007700', 'D016014', 'D010573', 'D015203', 'D018570', 'D012680', 'D013141', 'D014675']","['Agriculture', 'Gas Chromatography-Mass Spectrometry', 'Kinetics', 'Linear Models', 'Pesticide Residues', 'Reproducibility of Results', 'Risk Assessment', 'Sensitivity and Specificity', 'Spiro Compounds', 'Vegetables']",Dissipation kinetics and dietary risk assessment of spiromesifen on major summer vegetables using good agricultural practices.,"[None, 'Q000379', None, None, 'Q000032', None, None, None, 'Q000032', 'Q000737']","[None, 'methods', None, None, 'analysis', None, None, None, 'analysis', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/33566366,2021
33245235,"Plants from the Solanaceae family are known to be sources of several nutritionally relevant steroidal glycoalkaloids (SGAs). With the aim of quantitatively investigating the occurrence of the main SGA from tomatoes, eggplants, and potatoes in various food samples and evaluating their relevance in the human diet, a rapid single-step extraction liquid chromatography-tandem mass spectrometry method was developed. Over the course of isolating several commercially unavailable SGAs from tomato products to use them as reference standards, a previously unknown derivative was detected, structurally characterized, and identified as a novel isomer of esculeoside B-1 and B-2. After validation of the method, 36 food items exclusively derived from Solanaceae plants were analyzed for their SGA contents and a specific occurrence of each alkaloid in tomato, eggplant, or potato products was revealed. This is the first study reporting quantitative data on the occurrence of esculeoside A, B-1, B-2, and ",Journal of agricultural and food chemistry,"['D000470', 'D002853', 'D005638', 'D018551', 'D010936', 'D012503', 'D032323', 'D011198', 'D013256', 'D053719']","['Alkaloids', 'Chromatography, Liquid', 'Fruit', 'Lycopersicon esculentum', 'Plant Extracts', 'Saponins', 'Solanum melongena', 'Solanum tuberosum', 'Steroids', 'Tandem Mass Spectrometry']",Identification of Novel ,"['Q000737', 'Q000379', 'Q000737', 'Q000737', 'Q000737', None, 'Q000737', 'Q000737', 'Q000737', 'Q000379']","['chemistry', 'methods', 'chemistry', 'chemistry', 'chemistry', None, 'chemistry', 'chemistry', 'chemistry', 'methods']",https://www.ncbi.nlm.nih.gov/pubmed/33245235,2021
33094779,"The uncontrolled use of organophosphate (OP) group of pesticides has led to their accumulation in food and vegetables, causing major health issues. Hence, the development of a reliable sensor is imperative for the detection of neurotoxic organophosphates (OP). In the present study, we have intertwined the interfaces of a Metal Organic Framework (MOF), MOF-directed rapid electrochemically grown gold nanorods (aAuNR), cysteamine (Cys) functionalization, and the neurotransmitter acetylcholinesterase (AChE) to fabricate a novel electrochemical bioprobe AChE/Cys/aAuNR/MOF/ITO for sensing OP pesticides with an ultra-low detection limit of 3 ng L-1 over a linear range of 30 to 600 ng L-1. Prior to sensing, in silico docking studies were employed for tracking the structural aspects of the molecular recognition of specific OP as potential inhibitors. The sensor can quantify residues of sprayed OP (chlorpyrifos, malathion, parathion, methyl parathion, ethion) in field vegetables (Abelmoschus esculentus, Solanum melongena, Capsicum annuum, Momordica charantia Linn) using a single calibration curve designed using chlorpyrifos, and the results were validated via gas chromatography-electron capture detector (GC-ECD) measurements. The inhibition rate kinetics of structurally different OP (chlorpyrifos, malathion, methyl parathion) were studied via the bioprobe and further validated using the standard Ellman method, confirming the practical applicability of the sensor for the detection of a specific group of OP. The bioprobe AChE/Cys/aAuNR/MOF/ITO offers good stability, specificity, and anti-interference properties for the detection of OP in real samples.",Nanoscale,"['D006046', 'D000073396', 'D043942', 'D010755', 'D010575', 'D014675']","['Gold', 'Metal-Organic Frameworks', 'Nanotubes', 'Organophosphates', 'Pesticides', 'Vegetables']",Metal Organic Framework steered electrosynthesis of anisotropic gold nanorods for specific sensing of organophosphate pesticides in vegetables collected from the field.,"[None, None, None, 'Q000032', None, None]","[None, None, None, 'analysis', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/33094779,2021
32970426,"Pesticide residue analysis is critically important for ensuring food safety and regulating international trade. In a greenhouse setting, we assessed pesticide residue and exposure patterns using liquid chromatography-mass spectrometry and Allura Red tracer analysis. Our results show significant effects of eggplant canopy position and spray concentration on deposition parameters. Specifically, spray coverage, spray density, deposition, and residue were generally greater for leaves in the higher canopy. Deposition and residue, unlike spray coverage and spray density, linearly correlated with spray concentration. Pesticide residues on leaves linearly correlated with depositions on artificial targets, and a correction factor was constructed to estimate residues from tracer depositions. This comparative analysis suggests that tracer analysis using Allura Red in combination with artificial targets is a time- and cost-saving alternative to conventional residue analysis for assessing spray parameters under high-volume spraying scenarios. A better understanding of pesticide residue and spray patterns will not only enhance the safety of our food supply chain but also improve pest control efficacy within the sustainable integrated pest management framework.",Journal of agricultural and food chemistry,"['D000383', 'D005638', 'D010573', 'D018515', 'D032323']","['Agriculture', 'Fruit', 'Pesticide Residues', 'Plant Leaves', 'Solanum melongena']",Assessing Pesticide Residue and Spray Deposition in Greenhouse Eggplant Canopies to Improve Residue Analysis.,"['Q000379', 'Q000737', 'Q000032', 'Q000737', 'Q000737']","['methods', 'chemistry', 'analysis', 'chemistry', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/32970426,2021
32892012,"Fungicides have been extensively used around the world in agriculture due to their effectiveness of sterilization. Recent evidences have shown that fungicides would exert a negative effect on gut microbiota and result in gut microbiota dysbiosis and metabolism disorder on non-target organisms and even humans. However, research on residues and potential health risks of fungicides in daily consumed vegetables has received less attention compared to insecticides. In this study, we studied three widely applied fungicides, procymidone, dimethomorph, and azoxystrobin, in China. We collected 551 samples of 10 different vegetables in 11 cities from Zhejiang province during 2015-2017. Three fungicides were analyzed by liquid chromatography-tandem mass spectrometry (LC-MS/MS). The average apparent recoveries of three fungicides ranged from 84.2% to 110% with the relative standard deviations lower than 10%. The LOD values of procymidone, dimethomorph, and azoxystrobin was 2, 0.09, and 1 μg/kg, respectively. The levels of procymidone, dimethomorph, and azoxystrobin in those vegetables ranged from ND-875, ND-238, and ND-76 μg/kg, respectively. The highest mean concentrations of procymidone, dimethomorph, and azoxystrobin were found in eggplant (68 μg/kg), spinach (16.4 μg/kg), and kidney bean (4 μg/kg), respectively. Tomato (62.6% of samples), eggplant (44.3% of samples), and cucumber (41.6% of samples) were most frequently detected with fungicides. Solanaceous fruit vegetables have the highest detection rate than other vegetables, and fungicides were most frequently detected in winter. The mean concentrations of three fungicides in different vegetables were all below the maximum residue limits for the national food safety standards of China, and the health risks resulting from consuming those vegetables in adults and children were all within the safe ranges. The data provided here clarify the distributions of fungicides in commonly consumed vegetables and their potential health risks.","Environmental pollution (Barking, Essex : 1987)","['D000328', 'D002648', 'D002681', 'D002853', 'D005638', 'D005659', 'D006801', 'D010573', 'D053719', 'D014675']","['Adult', 'Child', 'China', 'Chromatography, Liquid', 'Fruit', 'Fungicides, Industrial', 'Humans', 'Pesticide Residues', 'Tandem Mass Spectrometry', 'Vegetables']","The distributions of three fungicides in vegetables and their potential health risks in Zhejiang, China: A 3-year study (2015-2017).","[None, None, None, None, 'Q000737', 'Q000032', None, 'Q000032', None, None]","[None, None, None, None, 'chemistry', 'analysis', None, 'analysis', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/32892012,2020
32752118,"Choline is an essential nutrient and choline esters are potential functional food ingredients. We aimed to analyze the choline compound content in 19 cultivated fruits and vegetables and identify those with high acetylcholine content. We utilized liquid chromatography with tandem mass spectrometry to quantify choline compounds according to the standard addition method. Choline compounds were extracted from lyophilized fruit/vegetable powders and passed through a weakly acidic cation exchange column, resulting in a concentrated solution of choline compounds. The compounds were separated on a pentafluorophenyl column and then analyzed using positive mode electrospray ionization. Results showed that acetylcholine and choline were the primary choline compounds in all agricultural products; propionylcholine and butyrylcholine were minor compounds in 17 and 12 agricultural products, respectively. The acetylcholine concentration was 2900-fold higher in eggplants (6.12 mg/100 g fresh weight [FW]) than in other agricultural products (average: 2.11 × 10","Foods (Basel, Switzerland)",[],[],LC-MS/MS Analysis of Choline Compounds in Japanese-Cultivated Vegetables and Fruits.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/32752118,2020
32650243,"In this work, magnetic restricted-access carbon nanotubes (M-RACNTs) were synthesized, characterized and used in the dispersive solid-phase extraction (d-SPE) of organophosphate pesticides (OPPs) from food samples (broccoli, eggplant, cauliflower, and soy milk), followed by spectrophotometric determination in a flow injection analysis system. Fe","Spectrochimica acta. Part A, Molecular and biomolecular spectroscopy","['D002851', 'D057230', 'D060328', 'D037742', 'D010755', 'D052616']","['Chromatography, High Pressure Liquid', 'Limit of Detection', 'Magnetic Phenomena', 'Nanotubes, Carbon', 'Organophosphates', 'Solid Phase Extraction']",Magnetic restricted-access carbon nanotubes for the extraction/pre-concentration of organophosphates from food samples followed by spectrophotometric determination.,"[None, None, None, None, None, None]","[None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/32650243,2021
