PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
35277064,"It is unclear how vegetarian dietary patterns influence plasma metabolites involved in biological processes regulating chronic diseases. We sought to identify plasma metabolic profiles distinguishing vegans (avoiding meat, eggs, dairy) from non-vegetarians (consuming ≥28 g/day red meat) of the Adventist Health Study-2 cohort using global metabolomics profiling with ultra-performance liquid chromatography mass spectrometry (UPLC-MS/MS). Differences in abundance of metabolites or biochemical subclasses were analyzed using linear regression models, adjusting for surrogate and confounding variables, with cross-validation to simulate results from an independent sample. Random forest was used as a learning tool for classification, and principal component analysis was used to identify clusters of related metabolites. Differences in covariate-adjusted metabolite abundance were identified in over 60% of metabolites (586/930), after adjustment for false discovery. The vast majority of differentially abundant metabolites or metabolite subclasses showed lower abundance in vegans, including xanthine, histidine, branched fatty acids, acetylated peptides, ceramides, and long-chain acylcarnitines, among others. Many of these metabolite subclasses have roles in insulin dysregulation, cardiometabolic phenotypes, and inflammation. Analysis of metabolic profiles in vegans and non-vegetarians revealed vast differences in these two dietary groups, reflecting differences in consumption of animal and plant products. These metabolites serve as biomarkers of food intake, many with potential pathophysiological consequences for cardiometabolic diseases.",Nutrients,"['D000818', 'D002853', 'D000067269', 'D014676', 'D006801', 'D055432', 'D053719', 'D000066989', 'D000066988']","['Animals', 'Chromatography, Liquid', 'Diet, Vegan', 'Diet, Vegetarian', 'Humans', 'Metabolomics', 'Tandem Mass Spectrometry', 'Vegans', 'Vegetarians']",The Biology of Veganism: Plasma Metabolomics Analysis Reveals Distinct Profiles of Vegans and Non-Vegetarians in the Adventist Health Study-2 Cohort.,"[None, None, None, None, None, 'Q000379', None, None, None]","[None, None, None, None, None, 'methods', None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/35277064,2022
35201367,"The design and production of incurred test materials are critical for the development and validation of methods for food allergen analysis. This is because production and processing conditions, together with the food matrix, can modify allergens affecting their structure, extractability and detectability. For the ThRAll project, which aims to develop a mass spectrometry-based reference method for the simultaneous accurate quantification of six allergenic ingredients in two hard to analyse matrices. Two highly processed matrices, chocolate bars and broth powder, were selected to incur with six allergenic ingredients (egg, milk, peanut, soy, hazelnut and almond) at 2, 4, 10 and 40 mg total allergenic protein/kg food matrix using a pilot-scale food manufacturing plant. The allergenic activity of the ingredients incurred was verified using food-allergic patient serum/plasma IgE, the homogeneity of the incurred matrices verified and their stability at 4 °C assessed over at least 30-month storage using appropriate enzyme-linked immunosorbent assays (ELISA). Allergens were found at all levels from the chocolate bar and were homogenously distributed, apart from peanut and soy which could only be determined above 4 mg total allergenic ingredient protein/kg. The homogeneity assessment was restricted to analysis of soy, milk and peanut for the broth powder but nevertheless demonstrated that the allergens were homogeneously distributed. All the allergens tested were found to be stable in the incurred matrices for at least 30 months demonstrating they are suitable for method development.",Analytical and bioanalytical chemistry,[],[],Development of incurred chocolate bars and broth powder with six fully characterised food allergens as test materials for food allergen analysis.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35201367,2022
35077989,"The optimal conditions for QuEChERS (quick, easy, cheap, effective, rugged and safe) with superior performance were established to rapidly extract 21 heterocyclic amines (HAs) from 9 categories of food matrices including meat and poultry, eggs, soy beans and products, composite foods, fish and seafood, grains, beer, dairy foods, and coffee. The QuEChERS conditions and the developed ultra-high performance liquid chromatography-tandem mass spectrometry analysis conditions were then applied to the determination of HAs in popular food products sold in the Taiwan market. The conditions comply with the food chemical analysis specifications of Taiwan Food and Drug Administration. Coffee products and braised products that require a longer cooking time contained relatively high content of HAs (mainly Harman and Norharman), and their consumption is relatively high resulting in relatively high intake of HAs from these products. The dietary intake of HAs in plant-based protein food products should also be of concern.",Food chemistry,"['D000588', 'D000818', 'D002851', 'D005504', 'D008401', 'D053719']","['Amines', 'Animals', 'Chromatography, High Pressure Liquid', 'Food Analysis', 'Gas Chromatography-Mass Spectrometry', 'Tandem Mass Spectrometry']",Establishment of optimal QuEChERS conditions of various food matrices for rapid measurement of heterocyclic amines in various foods.,"['Q000032', None, None, None, None, None]","['analysis', None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/35077989,2022
35033875,"The present study mimicked daily life exposure to plastic food package bags and evaluated its effects on the reproductive and neurobehavioral responses using zebrafish model. Gas chromatography-mass spectrometer (GC/MS) full scan analysis revealed that phthalic acid, isobutyl octyl ester (DEHP) and its metabolites were the main leachate from plastic bags. Our results demonstrated that during the eight weeks exposure, leaching from plastic bags treated with boiling water (P-high group) significantly affected the spawn egg production, embryo hatching and larval malformation rate. Cross-spawning trails between zebrafish collected from the controls and P-high group at the end of eight weeks showed that these adverse effects were more severe in the offspring derived from paternal exposure than those derived from the maternal exposure, suggesting leached chemicals may have a more pronounced effect in sperm than in eggs. In addition, P-high group male testis weight, sperm motility and sperm swimming velocities were decreased significantly. After eight weeks treatment, neurobehavioral tests demonstrated significant changes in the swimming speed during free swimming and light-dark stimulation in the adult zebrafish from P-high group, with the effects being more severe in the males than females. P-high group males also showed altered response in the light/dark explore and mirror attacks assays.",Ecotoxicology and environmental safety,"['D000818', 'D005260', 'D018857', 'D008297', 'D010969', 'D012098', 'D013081', 'D014874', 'D015027']","['Animals', 'Female', 'Food Packaging', 'Male', 'Plastics', 'Reproduction', 'Sperm Motility', 'Water Pollutants, Chemical', 'Zebrafish']",Leachate from plastic food packaging induced reproductive and neurobehavioral toxicity in zebrafish.,"[None, None, None, None, 'Q000633', None, None, 'Q000633', None]","[None, None, None, None, 'toxicity', None, None, 'toxicity', None]",https://www.ncbi.nlm.nih.gov/pubmed/35033875,2022
34985214,"Chlorpropham is a plant growth regulator and a herbicide. It is commonly used in the post-harvest treatment of potato to inhibit germination. It can also be used for flower thinning and fruit thinning of fruit trees, and for controlling annual gramineous weeds and a few broad-leaved weeds. Improper or excessive use of chlorpropham in crop cultivation will affect the safety of animal-derived food and impair human health through the food chain and water cycle. Therefore, accurate quantification of chlorpropham is imperative for risk assessment and mitigating risks to food safety. A method based on solid phase extraction and ultra-high performance liquid chromatography-tandem mass spectrometry (SPE-UHPLC-MS/MS) was established for the determination of chlorpropham in animal-derived food. First, the pretreatment conditions were optimized. To purify the samples and remove impurities, SPE column cartridges with different packing materials such as PXC, PXA, Florisil, and PLS were investigated. Based on the retention of chlorpropham, the ProElut PLS SPE column was selected as the pretreatment purification column. The washing solution and eluents were then optimized. When water was used as the washing solution, chlorpropham remained adsorbed on the SPE column and was not eluted along with other water-soluble substances. When the proportion of acetonitrile exceeded 40%, chlorpropham adsorbed on the filler of the SPE column could be gradually washed down. Acetonitrile-water solution(30∶70, v/v) was used for washing the SPE column. The elution ability of seven eluents for chlorpropham on the SPE column was then investigated. Among them, pure methanol, pure acetonitrile, and 1% (v/v) formic acid-methanol showed better elution effect. Considering that acetonitrile was used in the sample extraction, it was chosen as the mobile phase eluent. Subsequently, the chromatographic conditions and MS parameters were optimized. By examining the ionization cracking of chlorpropham, the quasimolecular ions and corresponding fragmentations in the chlorpropham primary MS were determined. The separation effect of three C18 columns was investigated. Based on the retention ability and peak effect of chlorpropham on the column, the Agilent ZORBAX SB-C18 (150 mm×2.1 mm, 5 μm) column was used for chlorpropham separation. The response of chlorpropham in the positive and negative ionization modes was investigated and optimized. The results showed that the response was better in the positive ion mode than that in the negative ion mode. After optimizing the chromatographic conditions and MS parameters, the sensitivity of the method was improved. Finally, the analytes were separated on the Agilent ZORBAX SB-C18 (150 mm×2.1 mm, 5 μm) under a gradient elution program using acetonitrile and 0.2% (v/v) formic acid aqueous solution as the mobile phases. The analytes were detected in the multiple reaction monitoring (MRM) mode under positive electrospray ionization (ESI",Se pu = Chinese journal of chromatography,"['D000818', 'D002417', 'D002748', 'D002851', 'D006801', 'D008892', 'D052616', 'D053719']","['Animals', 'Cattle', 'Chlorpropham', 'Chromatography, High Pressure Liquid', 'Humans', 'Milk', 'Solid Phase Extraction', 'Tandem Mass Spectrometry']",[Determination of chlorpropham residues in animal-derived foods by solid phase extraction and ultra-high performance liquid chromatography-tandem mass spectrometry].,"[None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34985214,2022
34971440,"Three kinds of immunochromatographic assays (ICAs) are proposed for the highly sensitive and rapid determination  of tylosin (TYL) and tilmicosin (TIM) in eggs based on colloidal gold (CG), latex microsphere (LM), and time-resolved fluorescent microsphere (TRFM). Three types of ICAs could tolerate the egg matrix via simple sample pretreatment and demonstrated high sensitivity for TYL and TIM with cut-off values of 6/6/3 μg/kg and 14/14/6 μg/kg, respectively. Furthermore, in a single-blind parallel study 20 egg samples were analyzed  by the three developed ICAs and confirmed by LC-MS/MS. The  results showed good consistency, and there were no false positive and false negative results in our three ICAs. Consequently, the proposed three ICAs offered rapid, highly sensitive, reliable, and selectable testing platforms for screening veterinary medicine or other small molecule contaminants.",Mikrochimica acta,"['D000818', 'D000900', 'D002846', 'D004531', 'D005506', 'D017979', 'D007840', 'D008863', 'D053758', 'D016037', 'D015645']","['Animals', 'Anti-Bacterial Agents', 'Chromatography, Affinity', 'Eggs', 'Food Contamination', 'Gold Colloid', 'Latex', 'Microspheres', 'Nanoparticles', 'Single-Blind Method', 'Tylosin']",Immunochromatographic assays based on three kinds of nanoparticles for the rapid and highly sensitive detection of tylosin and tilmicosin in eggs.,"[None, 'Q000032', 'Q000379', 'Q000032', 'Q000032', 'Q000737', 'Q000737', None, 'Q000737', None, 'Q000031']","[None, 'analysis', 'methods', 'analysis', 'analysis', 'chemistry', 'chemistry', None, 'chemistry', None, 'analogs & derivatives']",https://www.ncbi.nlm.nih.gov/pubmed/34971440,2022
34957176,"Vitamin K content of foods is known to vary substantially by geographical location. In Australia, no Vitamin K database of food exists, thereby creating ambiguity when trying to develop national dietary intake guidelines. This investigation aimed to develop a Vitamin K database for commonly consumed foods that are commercially available in Australian supermarkets. The Vitamin K1 (phylloquinone; PK) and K2 (menaquinone; MK4, MK7) content of 60 foods known to contain Vitamin K were assessed (e.g., vegetables fruits, oils, animal products, dairy and fermented foods). A liquid chromatography with tandem mass spectrometry (LCMS/MS) method was developed and used to measure PK and MKs in different foods with an improved chromatographic separation and detection of Vitamin K's and their analogs. The LOD and LOQ for PK and MK4 was 0.1, 0.5 ng/ml and 0.5, 1.0 ng/ml, respectively. The majority foods contained detectable PK (53/60), about half contained MK4 (31/60), and few contained MK7 (3/60). PK was highest in green leafy vegetables, with moderate amounts in oils. Highest MK4 content was in chicken eggs and meat products such as ham and chicken. This database enables nutritional epidemiologist to estimate dietary Vitamin K intake, especially in Australian cohorts, for a range of health outcomes.",Frontiers in nutrition,[],[],Development of a Vitamin K Database for Commercially Available Food in Australia.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/34957176,2021
34945483,"Food allergies are caused by severe hypersensitivity to specific food allergens such as the egg protein ovalbumin. It is therefore important to test food products for the presence of allergens to protect allergic people from accidental ingestion. For egg detection, ELISA is the only reasonable commercially available test format, although the recognition of target allergens can be affected by food processing, which may lead to false negative results. Current mass spectrometry-based detection methods may overcome this issue, but these approaches are often less sensitive. Here we combined the advantages of antibody-based and MS-based methods by developing an immunoaffinity LC-MS/MS technique to detect the common egg allergen Gal d 2. We investigated the principal functionality of this method with incurred cookie material containing whole egg powder. We found that the new method matched easily the sensitivity of egg specific ELISA tests. Further western blot experiments indicated that this strategy may be unaffected by food processing, providing an important alternative strategy for the detection and quantification of allergens in food.","Foods (Basel, Switzerland)",[],[],Improved Sensitivity of Allergen Detection by Immunoaffinity LC-MS/MS Using Ovalbumin as a Case Study.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/34945483,2021
34859904,"The characterization and functionality of protein glycosylation among different related species are of common interest. Herein, non-standard quantification and N-glycosylation enrichment technology combined with ultra-high liquid chromatography-tandem mass spectrometry were used to establish detailed N-glycoproteomics of fertilized eggs, and quantitatively compared between Tibetan and lowland chicken. A total of 396N-glycosites from 143 glycoproteins were found. Specifically, compared with lowland chicken egg white, 32N-glycosites of 22 glycoproteins were up-regulated and 57N-glycosites of 25 glycoproteins were down-regulated in Tibetan chicken egg white. Also, 137N-glycosites in 72 glycoproteins showed much higher-degree glycosylation and 36N-glycosites in 15 glycoproteins displayed lower-degree glycosylation in Tibetan chicken egg yolk than those in lowland chicken egg yolk. Through bioinformatic analysis, these varied glycoproteins were highly associated with antifreeze activity, hypoxia adaptation, coagulation cascade, and binding/immunity activities, which may be related to plateau hypoxia and cold stress. PRACTICAL APPLICATIONS: These findings provide a new insight on the role of biological egg N-glycoproteins related to environmental adaptation and evolution, which may be further applied in improving egg processing and human health, by developing biomolecules for food and medical industry.",Journal of food biochemistry,"['D000818', 'D002645', 'D004527', 'D004530', 'D018609', 'D015053']","['Animals', 'Chickens', 'Egg Proteins', 'Egg Yolk', 'Tibet', 'Zygote']",Comparative N-glycoproteomic analysis of Tibetan and lowland chicken fertilized eggs: Implications on proteins biofunction and species evolution.,"[None, 'Q000378', 'Q000737', 'Q000737', None, 'Q000737']","[None, 'metabolism', 'chemistry', 'chemistry', None, 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/34859904,2022
34812005,"Enniatins (ENNs) and beauvericin (BEA), known as emerging mycotoxins, are the toxic secondary metabolites produced by various ",Se pu = Chinese journal of chromatography,"['D000818', 'D002851', 'D047630', 'D004531', 'D005506', 'D059625', 'D052616', 'D053719']","['Animals', 'Chromatography, High Pressure Liquid', 'Depsipeptides', 'Eggs', 'Food Contamination', 'Liquid-Liquid Extraction', 'Solid Phase Extraction', 'Tandem Mass Spectrometry']",[Simultaneous determination of beauvericin and four enniatins in eggs by ultra-performance liquid chromatography-tandem mass spectrometry coupled with cold-induced liquid-liquid extraction and dispersive solid phase extraction].,"[None, None, 'Q000032', 'Q000032', 'Q000032', None, None, None]","[None, None, 'analysis', 'analysis', 'analysis', None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34812005,2021
