PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
35337577,"Zingiberis Rhizoma (ZR) is a homologous plant with pungent tastes and aromas, which has unique nutritional value and tremendous application potentiality. Zingiberis Rhizoma Praeparatum (ZRP) and Carbonised Ginger (CG) are processed products of ZR through different processing methods, and they are commonly used ingredients in food supplements. This study used ZR, ZRP and CG from different batches to further understand composition differences after processing. Additionally, we performed non-targeted metabolomics-based profiling of gingerols by ultra-high-performance liquid chromatography coupled with hybrid triple quadrupole time-of-flight mass spectrometry (UHPLC-Q-TOF/MS) in combination with multivariate analysis and compounds identification. In which, we developed a comprehensive SWATH-IDA bi-directionally verified (SIBDV) method integrating the advantages of Sequential Windowed Acquisition of all Theoretical fragment ions (SWATH","Food research international (Ottawa, Ont.)",[],[],Quality control of Zingiberis Rhizoma and its processed products by UHPLC-Q-TOF/MS-based non-targeted metabonomics combining with SIBDV method.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35337577,2022
35205985,"Ginger, a plant widely consumed worldwide, is used as a spice or to enhance the flavor of foods. In this study, the taste characteristics (gingerol, shogaol, and amino acid) of extracts treated with various solubilizing methods were objectively compared. In addition, an E-nose confirmed the flavor pattern combined with principal component analysis (PCA) between each extract gas chromatogram-tandem mass spectrometry was performed to compare and analyze volatile compounds between extraction methods. As a result, high-pressure enzyme-assisted extraction (HPE) and hydrothermal enzyme-assisted extraction (HWE) treatment effectively improved the extraction yield of ginger and the contents of gingerol and shogaol and removed the bitter taste. In addition, radar charts of both E-nose and PCA provided the distribution of flavor substances in HPE and HWE products of ginger. After enzyme-assisted treatment, a strong fruity and piquant flavor was noted. In conclusion, it is suggested that ginger extract of enzyme-assisted treatment has increased flavor compounds and can be an excellent food material.","Foods (Basel, Switzerland)",[],[],"Effects of High-Pressure, Hydrothermal, and Enzyme-Assisted Treatment on the Taste and Flavor Profile of Water-Soluble Ginger (",[],[],https://www.ncbi.nlm.nih.gov/pubmed/35205985,2022
34600509,"Edible oils have proven health benefits in the prevention and treatment of various disorders since the establishment of human era. This study was aimed to appraise neuropharmacological studies on the commonly used edible oils including Cinnamomum verum (CV), Zingiber officinale (ZO) and Cuminum cyminum (CC).",BMC complementary medicine and therapies,"['D000975', 'D002935', 'D028527', 'D004791', 'D008401', 'D020939', 'D006801', 'D062105', 'D018696', 'D010599', 'D010938']","['Antioxidants', 'Cinnamomum zeylanicum', 'Cuminum', 'Enzyme Inhibitors', 'Gas Chromatography-Mass Spectrometry', 'Ginger', 'Humans', 'Molecular Docking Simulation', 'Neuroprotective Agents', 'Pharmacokinetics', 'Plant Oils']","Neuroprotective potentials of selected natural edible oils using enzyme inhibitory, kinetic and simulation approaches.","['Q000032', 'Q000737', 'Q000737', None, None, 'Q000737', None, None, 'Q000494', None, 'Q000494']","['analysis', 'chemistry', 'chemistry', None, None, 'chemistry', None, None, 'pharmacology', None, 'pharmacology']",https://www.ncbi.nlm.nih.gov/pubmed/34600509,2021
34311278,"Ginger (Zingiber officinale Roscoe) is consumed for health-promoting effects and as a food condiment. Comprehensive phytochemical analysis, other than gingerols and shogaols, has not yet been deeply investigated. Hence, the current research aimed to establish a non-targeted metabolomics approach for the discrimination between fresh ginger rhizome samples collected from four different producing countries, i.e., China, India, Pakistan, and Peru. In addition, lab-dried samples were analyzed to trace drying-induced metabolites. A comprehensive extraction procedure was carried out resulting in production of polar and non-polar fractions. The polar fraction was analyzed by ultra-performance liquid chromatography coupled with Fourier transform tandem mass spectrometry (UPLC-C",Phytochemistry,"['D002396', 'D002851', 'D000078332', 'D005233', 'D020939', 'D055432', 'D010936', 'D053719']","['Catechols', 'Chromatography, High Pressure Liquid', 'Data Analysis', 'Fatty Alcohols', 'Ginger', 'Metabolomics', 'Plant Extracts', 'Tandem Mass Spectrometry']",The integration of MS-based metabolomics and multivariate data analysis allows for improved quality assessment of Zingiber officinale Roscoe.,"[None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34311278,2021
33851226,"In this study, for the first time, we propose a sensitive colloidal gold-based lateral flow immunoassay (LFIA) that can be used to detect carbendazim residues in functional foods. The adoption of inline cleanup LFIA strips effectively improved background interference to reduce misjudgment of results. First, the hapten 2-(methylamino)-1H-benzo[d]imidazole-5-carboxylic acid was used to establish the carbendazim immunoassay method. Subsequently, colloidal gold-mAb preparation and LFIA detection conditions were systematically optimized. For root and fruit samples (ginseng, ginger, jujube, and Chinese wolfberry), the designed strips had a cutoff value of 8 ng/mL. For flower and seed samples (chrysanthemum, coix seed, and malt), the cutoff value was 12 ng/mL. Even in a complex matrix, the established LFIA method demonstrates satisfactory sensitivity and anti-interference ability. This method was successfully applied in detection of carbendazim residues in complex functional foods, and the assay results are consistent with those obtained via liquid chromatography-tandem mass spectrometry. In short, the proposed method is fast and sensitive and has strong anti-interference ability. Furthermore, it provides a new technical method highly relevant to the on-site rapid detection of carbendazim residues in complex sample matrix.",Analytical and bioanalytical chemistry,"['D001562', 'D002219', 'D004867', 'D005506', 'D055951', 'D005659', 'D017979', 'D007118', 'D057230', 'D013997']","['Benzimidazoles', 'Carbamates', 'Equipment Design', 'Food Contamination', 'Functional Food', 'Fungicides, Industrial', 'Gold Colloid', 'Immunoassay', 'Limit of Detection', 'Time Factors']",Colloidal gold-based lateral flow immunoassay with inline cleanup for rapid on-site screening of carbendazim in functional foods.,"['Q000032', 'Q000032', None, 'Q000032', 'Q000032', 'Q000032', 'Q000737', 'Q000191', None, None]","['analysis', 'analysis', None, 'analysis', 'analysis', 'analysis', 'chemistry', 'economics', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/33851226,2021
33774787,"Among food and agricultural products, spices play important roles in the diets of millions of people worldwide. These products may be colonized by fungi genus and subsequently mycotoxin production. Due to the large demand and supply of spice for cooking, preservative effects, or medicine purpose, it is essential that further investigation is designed to examine mycotoxins in spice. In the present study, the possible contamination of spices by aflatoxins (AFTs) and ochratoxin A (OTA) were analyzed. A total of 80 spice samples (curry, sumac, ginger, and saffron) were purchased and cultured on appropriate medium. Simultaneously mycotoxins from spices were extracted with immunoaffinity columns (IAC), and the occurrence of AFTs (B1 + B2 + G1 + G2) and OTA was then determined using high-performance liquid chromatography (HPLC) with a fluorescence detector (FD). The results depicted that 62 (77.5%) and 58 (72.5%) spice samples were contaminated with AFTs and OTA, respectively. Out of the 80 analyzed spices samples, the mean concentration of AFTs and OTA was higher in the curry samples. Among spices that contaminated with mycotoxins, 5 (6.25%) and 2 (10%) of the samples were above the acceptable limit of AFTs (≥ 10 μg/kg) and OTA (≥ 15 μg/kg), respectively. Aspergillus species were the predominant species isolated, followed by Penicillium, and finally Mucor species.Among the examined samples, only few curry samples were contaminated with mycotoxins above acceptable limit. Despite this low level of contamination, this spice is used daily in the cuisine of this region of the world, and consequently, even the small amount of these heat stable toxins for a long time may cause many adverse effects. Hence, it is recommended to monitor the toxicogenous fungi contamination and level of mycotoxins in the spices.",Environmental science and pollution research international,"['D000348', 'D002851', 'D005506', 'D006801', 'D007492', 'D009793', 'D017365']","['Aflatoxins', 'Chromatography, High Pressure Liquid', 'Food Contamination', 'Humans', 'Iran', 'Ochratoxins', 'Spices']","Survey of aflatoxins and ochratoxin A contamination in spices by HPLC-based method in Shiraz, Southern of Iran.","['Q000032', None, 'Q000032', None, None, None, 'Q000032']","['analysis', None, 'analysis', None, None, None, 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/33774787,2021
33594765,"Zingiberis Rhizoma (ZR) has been used as a traditional Chinese herb and culinary food for thousands of years. Its two processed products, Zingiberis Rhizoma Praeparatum (ZRP) and carbonised ginger (CG), possess different therapeutic effects.",Phytochemical analysis : PCA,"['D002396', 'D002851', 'D003116', 'D004365', 'D020939', 'D027343']","['Catechols', 'Chromatography, High Pressure Liquid', 'Color', 'Drugs, Chinese Herbal', 'Ginger', 'Rhizome']",Discrimination between Zingiberis Rhizoma Praeparatum and carbonised ginger by colour measurement and fingerprint analysis.,"[None, None, None, None, None, None]","[None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/33594765,2021
33489377,"Essential oils are secondary metabolites that plants produce for protection from pests and predators, attraction of pollinators, and seed dispersal. The oils are made up of a mixture of compounds that give a characteristic flavour and odour. Currently, essential oils are receiving great attention in research for their phytochemical and antimicrobial activities. However, there is scanty information on the chemical composition of many plants. This study provides a detailed analysis of the chemical composition of essential oils of ginger, garlic, tick berry, and Mexican marigold in Kenya. The essential oils were extracted by steam distillation and analysed by gas chromatography-mass spectrometry. The study identified a total of 52 different chemical classes from the essential oils of the four different plants that were analysed. Their percentage composition was also found to vary between the test plants. The essential oils of Mexican marigold constituted the highest composition of the identified chemical classes at 71.2%, followed by ginger at 55.8%, while both tick berry and garlic oils constituted 53.8% of the total classes identified. Terpenes constituted the highest composition in the essential oils of all the four test plants. Other major chemical classes included esters, ketones, organosulfurs, alkanes, cycloalkanes, steroids, aromatic hydrocarbons, and alkanols. Some of these chemical compounds have been shown to have a huge utility potential in biopesticides, pharmaceutical, and food industries, and hence, their industrial extraction and purification from the essential oils of these plants are recommended.",Biochemistry research international,[],[],Characterization of the Volatile Components of Essential Oils of Selected Plants in Kenya.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/33489377,2021
33038774,"A strategy was developed to distinguish and quantitate nonfumigated ginger (NS-ginger) and sulfur-fumigated ginger (S-ginger), based on Fourier transform near infrared spectroscopy (FT-NIR) and chemometrics. FT-NIR provided a reliable method to qualitatively assess ginger samples and batches of S-ginger (41) and NS-ginger (39) were discriminated using principal component analysis and orthogonal partial least squares discriminant analysis of FT-NIR data. To generate quantitative methods based on partial least squares (PLS) and counter propagation artificial neural network (CP-ANN) from the FT-NIR, major gingerols were quantified using high performance liquid chromatography (HPLC) and the data used as a reference. Finally, PLS and CP-ANN were deployed to predict concentrations of target compounds in S- and NS-ginger. The results indicated that FT-NIR can provide an alternative to HPLC for prediction of active components in ginger samples and was able to work directly on solid samples.",Food chemistry,"['D002396', 'D002851', 'D016002', 'D005233', 'D005504', 'D020939', 'D048088', 'D016018', 'D025341', 'D017550', 'D013997']","['Catechols', 'Chromatography, High Pressure Liquid', 'Discriminant Analysis', 'Fatty Alcohols', 'Food Analysis', 'Ginger', 'Informatics', 'Least-Squares Analysis', 'Principal Component Analysis', 'Spectroscopy, Fourier Transform Infrared', 'Time Factors']",Rapid and practical qualitative and quantitative evaluation of non-fumigated ginger and sulfur-fumigated ginger via Fourier-transform infrared spectroscopy and chemometric methods.,"['Q000032', None, None, 'Q000032', 'Q000379', 'Q000737', None, None, None, None, None]","['analysis', None, None, 'analysis', 'methods', 'chemistry', None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/33038774,2020
32719085,"Commercial formulations of 29 commonly used herbal supplements (HSs) and grapefruit juice were evaluated for drug interaction potential via quantification of their CYP3A inhibitory potential in two in vitro experimental models of human small intestine, cryopreserved human intestinal mucosa (CHIM), and cryopreserved human enterocytes (CHEs). Two CYP3A substrates were used-in the studies with CHIM, CYP3A activity was quantified via liquid chromatography tandem mass spectrometry quantification of midazolam 1'-hydroxylation, whereas in CHE, luciferin-IPA metabolism to luciferin was quantified by luminescence. Upon treatment of CHIM with the estimated lumen concentration of the HS upon each oral administration (manufacturers' recommended dosage dissolved in 200 ml of culture medium), >80% CYP3A inhibition was observed for green tea extract, St. John's wort, valerian root, horehound, and grapefruit juice. Less than 50% inhibition was observed for fenugreek, aloe vera, guarana, soy isoflavone, maca, echinacea, spirulina, evening primrose, milk thistle, cranberry, red yeast rice, rhodiola, ginkgo biloba, turmeric, curcumin, white kidney bean, garlic, cinnamon, saw palmetto berries, panax ginseng, black elderberry, wheat grass juice, flaxseed oil, black cohosh, and ginger root. The results were confirmed in a a dose-response study with HSs obtained from three suppliers for the four inhibitory HSs (green tea extract, horehound, St. John's wort, valerian root) and three representative noninhibitory HSs (black cohosh, black elderberry, echinacea). Similar results were obtained with the inhibitory HSs in CHE. The results illustrate that CHIM and CHE represent physiologically relevant in vitro experimental models for the evaluation of drug interaction potential of herbal supplements. Based on the results, green tea extract, horehound, St. John's wort, and valerian root may cause drug interactions with orally administered drugs that are CYP3A substrates, as was observed for grapefruit juice. SIGNIFICANCE STATEMENT: In vitro evaluation of 29 popular herbal supplements in cryopreserved human intestinal mucosa identified green tea extract, horehound, St. John's wort, and valerian root to have CYP3A inhibitory potential similar to that for grapefruit juice, suggesting their potential to have clinically significant pharmacokinetic interaction with orally administered drugs that are CYP3A substrates. The results suggest that cryopreserved human intestinal mucosa can be used for in vitro evaluation of drug interactions involving enteric drug metabolism.",Drug metabolism and disposition: the biological fate of chemicals,"['D000080', 'D000284', 'D000328', 'D032083', 'D015925', 'D051544', 'D065692', 'D019587', 'D004353', 'D020895', 'D005260', 'D049454', 'D018565', 'D000067030', 'D041743', 'D006801', 'D007413', 'D008297', 'D008874', 'D008875', 'D055815']","['Acetals', 'Administration, Oral', 'Adult', 'Citrus paradisi', 'Cryopreservation', 'Cytochrome P-450 CYP3A', 'Cytochrome P-450 CYP3A Inhibitors', 'Dietary Supplements', 'Drug Evaluation, Preclinical', 'Enterocytes', 'Female', 'Firefly Luciferin', 'Food-Drug Interactions', 'Fruit and Vegetable Juices', 'Herb-Drug Interactions', 'Humans', 'Intestinal Mucosa', 'Male', 'Midazolam', 'Middle Aged', 'Young Adult']",Application of Cryopreserved Human Intestinal Mucosa and Cryopreserved Human Enterocytes in the Evaluation of Herb-Drug Interactions: Evaluation of CYP3A Inhibitory Potential of Grapefruit Juice and Commercial Formulations of Twenty-Nine Herbal Supplements.,"['Q000008', None, None, 'Q000737', None, 'Q000378', 'Q000493', 'Q000009', 'Q000379', None, None, 'Q000008', None, 'Q000009', None, None, None, None, 'Q000008', None, None]","['administration & dosage', None, None, 'chemistry', None, 'metabolism', 'pharmacokinetics', 'adverse effects', 'methods', None, None, 'administration & dosage', None, 'adverse effects', None, None, None, None, 'administration & dosage', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/32719085,2021
