PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
34536781,"Advances in Matrix-assisted Laser Desorption/Ionization -Time-Of-Flight Mass Spectrometry (MALDI-TOF-MS) have led to its supremacy for complex assessment of food authenticity studies, like dairy products fraud, holding promise for the discovery of potential authenticity (bio)markers. In this study, an integrated untargeted protein-based workflow in combination with advanced chemometrics is presented, to address authenticity challenges in PDO feta cheese which is legally manufactured by the mixture of sheep/goat milk. Potential markers attributed to specific animal origin were found from protein profiles acquired for authentic feta and white cheeses (prepared from cow milk), belonging to 4 kDa-18.5 kDa mass area. Rapid detection of feta cheese adulteration from cow milk was also achieved down to 1% adulteration level. The discriminative models showed high predictive ability for feta cheese authenticity (Q",Food chemistry,"['D000818', 'D002417', 'D002611', 'D005260', 'D005506', 'D008892', 'D012756', 'D019032', 'D057188']","['Animals', 'Cattle', 'Cheese', 'Female', 'Food Contamination', 'Milk', 'Sheep', 'Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization', 'Workflow']",MALDI-TOF-MS integrated workflow for food authenticity investigations: An untargeted protein-based approach for rapid detection of PDO feta cheese adulteration.,"[None, None, 'Q000032', None, 'Q000032', None, None, None, None]","[None, None, 'analysis', None, 'analysis', None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34536781,2021
34295935,"Chinese dairy industries have developed rapidly, providing consumers with high-quality sources of nutrition. However, many problems have also appeared during the development process, especially the low quality of milk. To improve milk quality, a large amount of concentrated feed is usually added to the diet within a certain period of time, which increases the milk production to a certain extent. However, long-term feeding with high-concentration feed can lead to subacute rumen acidosis. Therefore, the present study aimed to determine the effect of adding a buffer on subacute rumen acidosis, and the improvement of milk production and milk quality. We also aimed to study the mechanism of promoting mammary gland lactation. A total of 12 healthy mid-lactating goats were randomly divided into two groups, they were high-grain diet group (Control) and buffering agent group. To understand the effects of high-grain diets with buffers on amino acids in jugular blood and the effects of amino acids on milk protein synthesis, Milk-Testing™ Milkoscan 4000, commercial kits, and high-performance liquid chromatography (HPLC) measurements were integrated with the milk protein rate, the amino acid concentration in jugular venous blood samples, quantitative real-time PCR, comparative proteomics, and western blotting to study differentially expressed proteins and amino acids in mammary gland tissues of goats fed high-grain diets. Feeding lactating goats with buffering agent increased the percentage of milk protein in milk, significantly increased the amino acid content of jugular blood (",Frontiers in veterinary science,[],[],Effects of a High-Grain Diet With a Buffering Agent on Milk Protein Synthesis in Lactating Goats.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/34295935,2021
34068704,"Endocrine disrupting chemicals (EDCs) are exogenous substances capable of altering the human hormone system and causing various diseases such as infertility and cancer as a result. In this work, a method for determining twenty-three different EDCs including parabens, alkylphenols, phenylphenols, organophosphorus pesticides, bisphenol A and triclosan in dairy products was developed. Samples are conditioned by addition of acetonitrile containing 1% formic acid, centrifugation and clean-up of the extract by continuous solid-phase extraction. EDCs in the extract are derivatised by heating in a microwave oven and quantified by gas chromatography-mass spectrometry. The proposed method features good limits of detection (6-40 ng/kg) and precision (relative standard deviation < 7.6%); also, it is scarcely subject to matrix effects (1-20%). EDC recoveries from spiked samples ranged from 80 to 108%. The method was used to analyse a total of 33 samples of dairy products including cow, sheep and goat milk, yoghourt, milkshakes, cheese, cream, butter and custard. Bisphenol A was the individual contaminant detected in the greatest number of samples, at concentrations from 180 to 4800 ng/kg. 2-Phenylphenol and ethylparaben were found in more than one-half, at concentrations over the range 130-3500 and 89-4300 ng/kg, respectively. In contrast, alkylphenols, organophosphorus pesticides and triclosan were detected in none.","Foods (Basel, Switzerland)",[],[],"Validation and Use of an Accurate, Sensitive Method for Sample Preparation and Gas Chromatography-Mass Spectrometry Determination of Different Endocrine-Disrupting Chemicals in Dairy Products.",[],[],https://www.ncbi.nlm.nih.gov/pubmed/34068704,2021
33497872,"A multi-channel magnetic bead micro-probes assay (MBPA) based on indirect competitive principle was developed for high-throughput detection of zearalenone (ZEA) in edible and medicinal Coix seed. This strategy introduced magnetic beads as the carriers, the specific primary antibodies as the capture probes for targets and the secondary antibodies functionalized goat anti-mouse immunoglobulin G labeled fluorescein isothiocyanate as the fluorescence signal probes. Through the competitive reaction of ZEA in Coix seed samples and that covalently coupled on the surface of MBs with their specific antibodies, as well as fast magnetic separation and sensitive fluorescence detection, the developed MBPA strategy allowed low limit of detection (2.03 ng/mL) with broad dynamic range (2.03-440.67 ng/mL), as well as excellent accuracy with the average recovery rate of 96.39% and relative standard deviation (RSD) of 5.48% for ZEA. 36 samples could realize simultaneous analysis in one operation within less than 20 min only needing 50 μL of solution and 30 s of sampling, avoiding large consumption of time and organic solvents. Multiple centrifugation and cleanup steps were omitted because of magnetic separation, avoiding the loss of targets. Diverse capture and fluorescent probes can be randomly bound onto the surface of MBs, making the MBPA strategy a promising tool for on-site high-throughput monitoring of various trace hazard factors in food safety, and environmental monitoring.",Food chemistry,"['D000818', 'D055910', 'D031742', 'D002523', 'D006863', 'D007118', 'D018189', 'D057230', 'D051379', 'D012639', 'D013050', 'D015025']","['Animals', 'Antibodies, Immobilized', 'Coix', 'Edible Grain', 'Hydrogen-Ion Concentration', 'Immunoassay', 'Immunomagnetic Separation', 'Limit of Detection', 'Mice', 'Seeds', 'Spectrometry, Fluorescence', 'Zearalenone']",Development of a multi-channel magnetic bead micro-probe assay for high-throughput detection of zearalenone in edible and medicinal Coix seed.,"[None, 'Q000737', 'Q000737', 'Q000737', None, 'Q000379', None, None, None, 'Q000737', None, 'Q000032']","[None, 'chemistry', 'chemistry', 'chemistry', None, 'methods', None, None, None, 'chemistry', None, 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/33497872,2021
33138259,"Tryptophan (TRP) is an essential amino acid which cannot be synthesized by humans and animals, but has to be supplied by exogenous sources, notably through the diet. The bulk of dietary TRP flows into the synthesis of body's proteins, but the TRP metabolism also involves several biochemical reactions (i.e., serotonin and kynurenine pathways). Defects in the TRP transport mechanism or catabolism are related to a large number of clinical abnormalities. Therefore, dietary TRP intake is necessary not only for the body's growth but also for most of the body's metabolic functions. Among protein-based foods, milk proteins provide a relatively high amount of TRP. In this paper, a rapid chromatographic method for TRP determination in yoghurt, by ultra high performance liquid chromatography on a reversed-phase column with fluorescence detection (280 nm Ex; 360 nm Em), is provided. A linear gradient elution of acetonitrile in water allowed TRP analysis in 8.0 min. The limit of detection and limit of quantification of the method were 0.011 ng/µL and 0.029 ng/µL, respectively, using 5-methyl-l-tryptophan as the internal standard. The analytical method was successfully applied to commercial yoghurts from different animal species, and the TRP values ranged between 35.19 and 121.97 mg/100 g (goat and cow Greek type yoghurt, respectively).","Molecules (Basel, Switzerland)","['D002851', 'D005504', 'D013050', 'D014364', 'D015014']","['Chromatography, High Pressure Liquid', 'Food Analysis', 'Spectrometry, Fluorescence', 'Tryptophan', 'Yogurt']",Rapid Determination of Total Tryptophan in Yoghurt by Ultra High Performance Liquid Chromatography with Fluorescence Detection.,"[None, None, None, 'Q000032', 'Q000032']","[None, None, None, 'analysis', 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/33138259,2021
33131819,"Today, cheese is valued because of its high nutritional value and unique characteristics. Improving the texture and flavor of cheese by selecting suitable starter cultures is an important way to promote the development of cheese industry. The effect of starter cultures on the physicochemical and textural properties and volatile compounds during the ripening of semihard goat cheese were investigated in this work. Different starter cultures-mesophilic (M) and thermophilic starters (T), Lactobacillus plantarum ssp. plantarum ATCC 14917 (Lp), a mix of the M and T starters (M1), and mix of the M, T, and Lp starters (M2)-were used in the production of the goat cheeses. Volatile compounds were determined by a solid-phase microextraction/gas chromatography-mass spectrometric (SPME/GC-MS) method. The results showed that the moisture content of cheeses produced with the 5 kinds of starter cultures decreased after maturation, whereas ash content increased. The pH values of goat cheeses decreased first and then increased during maturity, and the pH value of M2 cheese was the lowest among the cheeses. The hardness and chewiness of the cheeses increased with increasing maturity, whereas cohesiveness, springiness, and resilience showed the opposite tendency. The 60-d-old cheese made with Lp had the highest chewiness, cohesiveness, springiness, and resilience, whereas the 60-d-old cheese made with M2 had the highest hardness. A total of 53 volatile components were identified by SPME/GC-MS, and carboxylic acids, alcohols, ketones, and esters were the 4 major contributors to the characteristic flavors of the cheeses. Volatile components and their contents differed greatly among the produced cheeses. The M2 cheese contained the highest relative content of the main volatile compounds (90.10%), especially butanoic acid and acetoin. Through a comprehensive comparison of the results, we concluded that M2 cheese had a dense texture and milky flavor, and M2 is a potential starter culture candidate for the production of goat cheese.",Journal of dairy science,"['D000818', 'D002611', 'D055598', 'D005285', 'D005511', 'D006041', 'D048668', 'D048191', 'D017045', 'D013294', 'D012677', 'D052617', 'D048249', 'D013649', 'D055549']","['Animals', 'Cheese', 'Chemical Phenomena', 'Fermentation', 'Food Handling', 'Goats', 'Lactobacillus delbrueckii', 'Lactobacillus plantarum', 'Lactococcus', 'Lactococcus lactis', 'Sensation', 'Solid Phase Microextraction', 'Streptococcus thermophilus', 'Taste', 'Volatile Organic Compounds']",Physicochemical and textural characteristics and volatile compounds of semihard goat cheese as affected by starter cultures.,"[None, 'Q000032', None, None, 'Q000379', None, 'Q000378', 'Q000378', 'Q000378', 'Q000378', None, 'Q000662', 'Q000378', None, 'Q000032']","[None, 'analysis', None, None, 'methods', None, 'metabolism', 'metabolism', 'metabolism', 'metabolism', None, 'veterinary', 'metabolism', None, 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/33131819,2021
32406338,"Throughout the world, more than six billion people consume milk and milk products yearly. The safety and quality of dairy milk are regularly monitored in most countries worldwide. The Israeli monitoring program of chemical residues in milk has not changed in the last decades, focusing only on major veterinary drugs and few selected environmental contaminants such as heavy metals and persistent organic pollutants. Consequently, a knowledge gap exists regarding the potential occurrence of other chemicals such as human pharmaceuticals and non-monitored pesticides in milk. In this survey, 51 commercial bovine and goat milk samples were analysed by LC-MS/MS and pharmaceutical and pesticide residues are reported in the range of 0.1-93 µg/L. Israeli milk samples revealed at least one and up to five chemical residues simultaneously. The pesticides found in milk were below the European maximum residue limit values. The risk assessment performed, indicated negligible risk.","Food additives & contaminants. Part B, Surveillance","['D000818', 'D002417', 'D002851', 'D004032', 'D004350', 'D004785', 'D005506', 'D006041', 'D006801', 'D007557', 'D008452', 'D008892', 'D010573', 'D015203', 'D018570', 'D053719', 'D019155']","['Animals', 'Cattle', 'Chromatography, High Pressure Liquid', 'Diet', 'Drug Residues', 'Environmental Pollutants', 'Food Contamination', 'Goats', 'Humans', 'Israel', 'Maximum Allowable Concentration', 'Milk', 'Pesticide Residues', 'Reproducibility of Results', 'Risk Assessment', 'Tandem Mass Spectrometry', 'Veterinary Drugs']",Human pharmaceutical and pesticide residues in Israeli dairy milk in association with dietary risk assessment.,"[None, None, None, None, 'Q000032', 'Q000032', 'Q000032', None, None, None, None, 'Q000737', 'Q000032', None, None, None, 'Q000032']","[None, None, None, None, 'analysis', 'analysis', 'analysis', None, None, None, None, 'chemistry', 'analysis', None, None, None, 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/32406338,2021
32363424,"The bacteriocinogenic lactic acid bacterium Pediococcus pentosaceus LJR1 isolated from rumen liquor of goat had strong anti-bacterial activity toward Listeria monocytogenes in vitro. This antibacterial activity was lost on treatment with protease indicating that the bacteriocin is proteinaceous in nature. The bacteriocin LJR1 produced by P. pentosaceus was purified following a three step procedure consisting of ammonium sulphate precipitation, gel filtration chromatography and reverse phase-high performance liquid chromatography. The molecular weight of purified bacteriocin was determined to be 4.6 kDa using Tricine SDS-PAGE. Further, we found that the proteinaceous bacteriocin was stable at 100 °C as well as 121 °C for 30 min and 15 min respectively and also at different pH ranging from 4 to 10 when stored for 15 min at 37 °C. Its minimum inhibitory concentration for S. typhi MTCC134 and L. monocytogenes MTCC 1143 was 7.81 µg/ml and 15.63 µg/ml respectively. Scanning electron microscopy analysis of the surface of S. typhi treated with the bacteriocin showed the presence of craters; while in the case of treated L. monocytogenes blebs were observed. The addition of the bacteriocin to shrimp (white leg shrimp) has led to reduction of about 1 log units of L. monocytogenes on day 1 and maintained for 7 days on storage at 4 °C. It is clear that the purified bacteriocin has good potential as a bio preservative for application in food industry.",World journal of microbiology & biotechnology,"['D000818', 'D000900', 'D001430', 'D005516', 'D005519', 'D008089', 'D008826', 'D008970', 'D000070017', 'D000070006', 'D033561', 'D012485', 'D017747']","['Animals', 'Anti-Bacterial Agents', 'Bacteriocins', 'Food Microbiology', 'Food Preservation', 'Listeria monocytogenes', 'Microbial Sensitivity Tests', 'Molecular Weight', 'Pediocins', 'Pediococcus pentosaceus', 'Penaeidae', 'Salmonella typhi', 'Seafood']","Characterization of purified antimicrobial peptide produced by Pediococcus pentosaceus LJR1, and its application in preservation of white leg shrimp.","[None, 'Q000737', 'Q000737', None, 'Q000379', 'Q000166', None, None, 'Q000235', 'Q000235', 'Q000382', 'Q000166', 'Q000382']","[None, 'chemistry', 'chemistry', None, 'methods', 'cytology', None, None, 'genetics', 'genetics', 'microbiology', 'cytology', 'microbiology']",https://www.ncbi.nlm.nih.gov/pubmed/32363424,2020
32199192,"Matrix-assisted laser desorption/ionization time-of-flight (MALDI-TOF) mass spectrometry (MS), a culture based alternative for microbial diversity studies, is an attractive tool to dereplicate large numbers of isolates to a smaller set of representatives for downstream characterization. In the present study, MALDI-TOF MS, combined with a database of reference spectra compiled in previous studies, was applied to identify 88 non-starter lactic acid bacteria (NSLAB) isolated from 18 samples of four different artisanal cheeses produced in the Island of Naxos, Greece, from raw sheep and goat milk without the addition of starters. Eighty-four isolates (95.5%) could be identified directly via MALDI-TOF MS. Lactobacillus brevis and Lactobacillus plantarum were the dominant species, followed by Lactococcus lactis, Leuconostoc mesenteroides Lactobacillus paracasei, Lactobacillus rhamnosus, Pediococcus pentosaceus and Enterococcus faecium. The remaining four isolates represented species present in the database; however, within-species diversity was insufficiently covered. Additionally, pheS sequencing was applied to confirm identification.",International journal of food microbiology,"['D000818', 'D044822', 'D002611', 'D005516', 'D006115', 'D056546', 'D008892', 'D012756', 'D019032']","['Animals', 'Biodiversity', 'Cheese', 'Food Microbiology', 'Greece', 'Lactobacillales', 'Milk', 'Sheep', 'Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization']",MALDI-TOF MS profiling of non-starter lactic acid bacteria from artisanal cheeses of the Greek island of Naxos.,"[None, None, 'Q000382', 'Q000379', None, 'Q000737', 'Q000382', None, None]","[None, None, 'microbiology', 'methods', None, 'chemistry', 'microbiology', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/32199192,2020
31899867,"Diacetoxyscirpenol (DAS) is a type A trichothecene mycotoxin with low molecular weight, and with respect to its toxicity and the occurrence in food and feed, it is known as a potential risk for public and animal health. In the present study, first, a sensitive and specific monoclonal antibody (5E7) was developed. Then, the antibody was applied to develop a competitive-type pressure-dependent immunosensor (CTPDI). The Au@PtNP was synthesized and labeled with goat antimouse antibody (Au@PtNPs-IgG). Finally, the concentration of DAS was negatively correlated with the pressure signal. In the presence of optimal conditions, matrix-matched calibration curves were plotted for wheat samples, in which an optimal IC50 value (half maximal inhibitory concentration) of 3.08 ng/g was achieved. The CTPDI was further applied to detect natural and blind wheat samples, and validation was carried out by liquid chromatography-tandem mass spectrometry. The results showed that CTPDI was highly appropriate and accurate for detection of DAS in wheat.",Analytical chemistry,"['D000911', 'D007118', 'D057230', 'D011312', 'D014255', 'D014908']","['Antibodies, Monoclonal', 'Immunoassay', 'Limit of Detection', 'Pressure', 'Trichothecenes', 'Triticum']",Competitive-Type Pressure-Dependent Immunosensor for Highly Sensitive Detection of Diacetoxyscirpenol in Wheat via Monoclonal Antibody.,"['Q000276', 'Q000379', None, None, 'Q000032', 'Q000737']","['immunology', 'methods', None, None, 'analysis', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/31899867,2021
