PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
30379877,"The goal of this study was to select a representative cucurbit vegetable crop that contained the highest residue levels of the pesticide azoxystrobinon. To do this, we used open field application of azoxystrobinon in four cucurbit crops (cucumber, zucchini, bitter gourd, and loofah) in Beijing, Shandong, and Anhui. Liquid chromatograph-mass spectrometry/mass spectrometry (LC-MS/MS) with selected reaction monitoring was used to determine azoxystrobinon levels in each of the selected cucurbit vegetables. The azoxystrobinon limit of detection was 0.005 mg kg-1 for all samples. Recoveries of azoxystrobinon ranged from 94.2% to 107.1% at spiked levels of 0.005-0.5 mg kg-1. In field trials, the half-life of azoxystrobinon in each of the four cucurbit crops was within the range of 1.4-3.1 d. Based on these results, we recommend that bitter gourd is selected as a representative cucurbit vegetable for future studies of azoxystrobinon. The obtained residual data were also assessed for their dietary risk and results indicated that there is no chronic dietary risk in any of the four, selected cucurbit vegetables. The recommended maximum residue limit (MRL) of azoxystrobinon in this subgroup was 0.2 mg/kg.",PloS one,"['D002681', 'D002853', 'D018556', 'D028464', 'D005659', 'D006207', 'D057230', 'D029777', 'D011743', 'D000073739', 'D053719', 'D014675']","['China', 'Chromatography, Liquid', 'Crops, Agricultural', 'Cucurbita', 'Fungicides, Industrial', 'Half-Life', 'Limit of Detection', 'Momordica charantia', 'Pyrimidines', 'Strobilurins', 'Tandem Mass Spectrometry', 'Vegetables']",Bitter gourd has the highest azoxystrobinon residue after open field application on four cucurbit vegetables.,"[None, 'Q000379', 'Q000737', 'Q000737', 'Q000032', None, None, 'Q000737', 'Q000032', 'Q000032', 'Q000379', 'Q000737']","[None, 'methods', 'chemistry', 'chemistry', 'analysis', None, None, 'chemistry', 'analysis', 'analysis', 'methods', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/30379877,2019
25819788,"Nanoporous carbon with a high specific surface area and unique porous structure represents an attractive material as an adsorbent in analytical chemistry. In this study, a magnetic nanoporous carbon (MNC) was fabricated by direct carbonization of Co-based metal-organic framework in nitrogen atmosphere without using any additional carbon precursors. The MNC was used as an effective magnetic adsorbent for the extraction and enrichment of some phenylurea herbicides (monuron, isoproturon, diuron and buturon) in grape and bitter gourd samples prior to their determination by high performance liquid chromatography with ultraviolet detection. Several important experimental parameters that could influence the extraction efficiency were investigated and optimized. Under the optimum conditions, a good linearity was achieved in the concentration range of 1.0-100.0 ng g(-1) for monuron, diuron and buturon and 1.5-100.0 ng g(-1) for isoproturon with the correlation coefficients (r) larger than 0.9964. The limits of detection (S/N=3) of the method were in the range from 0.17 to 0.46 ng g(-1). The results indicated that the MNC material was stable and efficient adsorbent for the magnetic solid-phase extraction of phenylurea herbicides and would have a great application potential for the extraction and preconcentration of more organic pollutants from real samples.",Analytica chimica acta,"['D000327', 'D002244', 'D003035', 'D006540', 'D059346', 'D008958', 'D008968', 'D029777', 'D036103', 'D009584', 'D009942', 'D010671', 'D016062', 'D012997', 'D013499', 'D027843']","['Adsorption', 'Carbon', 'Cobalt', 'Herbicides', 'Magnets', 'Models, Molecular', 'Molecular Conformation', 'Momordica charantia', 'Nanotechnology', 'Nitrogen', 'Organometallic Compounds', 'Phenylurea Compounds', 'Porosity', 'Solvents', 'Surface Properties', 'Vitis']",Metal-organic framework-templated synthesis of magnetic nanoporous carbon as an efficient absorbent for enrichment of phenylurea herbicides.,"[None, 'Q000737', 'Q000737', 'Q000737', 'Q000737', None, None, 'Q000737', 'Q000379', 'Q000737', 'Q000737', 'Q000737', None, 'Q000737', None, 'Q000737']","[None, 'chemistry', 'chemistry', 'chemistry', 'chemistry', None, None, 'chemistry', 'methods', 'chemistry', 'chemistry', 'chemistry', None, 'chemistry', None, 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/25819788,2015
25639652,"A buffered ethyl acetate extraction method is proposed for the simultaneous analysis of 296 agrochemicals in a wide range of fruit and vegetable matrices by liquid chromatography-tandem mass spectrometry (LC-MS/MS). The optimized quantity of acetate buffer (1% acetic acid + 0.5 g of sodium acetate per 10 g of sample) adjusted the pH of each test matrix to 5-6, which in turn significantly improved recoveries of acidic and basic compounds. The role of diethylene glycol (used in the evaporation step) on signal suppression of certain compounds was evaluated, and its quantity was optimized to minimize such an effect. The method was validated in grape, mango, drumstick, bitter gourd, capsicum, curry leaf, and okra as per the DG-SANCO/12571/2013 guidelines. Recoveries in the fortification range of 1-40 μg/kg were within 70-120% with associated relative standard deviations below 20% for most of the compounds. The method has potential for regulatory and commercial applications with a generic approach. ",Journal of agricultural and food chemistry,"['D016573', 'D005591', 'D002851', 'D005506', 'D005638', 'D053719', 'D014675']","['Agrochemicals', 'Chemical Fractionation', 'Chromatography, High Pressure Liquid', 'Food Contamination', 'Fruit', 'Tandem Mass Spectrometry', 'Vegetables']",Quantitative Screening of Agrochemical Residues in Fruits and Vegetables by Buffered Ethyl Acetate Extraction and LC-MS/MS Analysis.,"['Q000737', 'Q000379', 'Q000379', 'Q000032', 'Q000737', 'Q000379', 'Q000737']","['chemistry', 'methods', 'methods', 'analysis', 'chemistry', 'methods', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/25639652,2015
23870956,"Dispersive liquid-liquid microextraction (DLLME) is applied for the determination of copper in cereals and vegetable food samples using flame atomic absorption spectrometry (FAAS). The maximum extraction efficiency of copper was obtained after the optimisation of parameters such as extraction and dispersing solvents, pH, concentration of 2,9-dimethyl-1,10-phenanothroline (DPT), N-phenylbenzimidoyl thiourea (PBITU) and salt. The optimised methodology exhibited a good linearity in the range of 0.2-20 ng/mL copper with relative standard deviations percentage (RSD,%) from ±1.5% to 3.5%. The method is found to be simple and rapid for the analysis of copper in food samples with the limit of detection (LOD) and quantitation (LOQ) were 0.05 and 0.16 ng/mL, respectively. Good recoveries of copper were obtained in the range of 93.5-98.0% in food samples as well as in Certified Reference Material (99.1%). The application of the proposed method has been successfully tested for the determination of copper in cereals (maize, millet, rice, wheat, gram, lentils, kidney beans and green beans) and vegetable (potato, cauliflower, tomato, spinach, green beans, lettuce, egg plants and bitter gourd) food samples.",Food chemistry,"['D003300', 'D002523', 'D057230', 'D059627', 'D013054', 'D014675']","['Copper', 'Edible Grain', 'Limit of Detection', 'Liquid Phase Microextraction', 'Spectrophotometry, Atomic', 'Vegetables']",Dispersive liquid-liquid microextraction for the determination of copper in cereals and vegetable food samples using flame atomic absorption spectrometry.,"['Q000032', 'Q000737', None, 'Q000379', 'Q000379', 'Q000737']","['analysis', 'chemistry', None, 'methods', 'methods', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/23870956,2014
21831431,"The aim of present study was to assess pesticide residues in vegetables in the Hyderabad region of Pakistan. The concentrations of six pesticides were determined by gas chromatography coupled with mass selective detector (GC-MSD) in locally produced vegetables purchased from wholesale markets. A total of 200 samples of eight vegetables viz. cauliflower, green chilli, eggplant, tomato, peas, bitter gourd, spinach and apple gourd were analyzed for pesticide residues. The results indicated that almost all samples were contained pesticides, only 39% contained pesticide residues at or below maximum residue limits (MRLs), and 61% contained pesticide residues above MRLs. From the six analyzed pesticides, carbofuran and chlorpyrifos were found above to MRLs with concentrations ranging from 0.01-0.39 and 0.05-0.96 mg/kg, respectively. The results provided important information on the current pesticide contamination status of some commonly used vegetables and pointed an urgent need to control the use of some excessively applied and potentially persistent pesticides, such as carbofuran and chlorpyrifos.",Ecotoxicology and environmental safety,"['D002212', 'D004390', 'D004784', 'D006801', 'D018551', 'D027845', 'D010154', 'D010573', 'D018570', 'D012989', 'D014675']","['Capsicum', 'Chlorpyrifos', 'Environmental Monitoring', 'Humans', 'Lycopersicon esculentum', 'Malus', 'Pakistan', 'Pesticide Residues', 'Risk Assessment', 'Soil Pollutants', 'Vegetables']","Assessment of pesticide residues in commonly used vegetables in Hyderabad, Pakistan.","['Q000737', 'Q000032', None, None, 'Q000737', 'Q000737', None, 'Q000032', None, 'Q000032', 'Q000737']","['chemistry', 'analysis', None, None, 'chemistry', 'chemistry', None, 'analysis', None, 'analysis', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/21831431,2012
20632088,"The study was conducted on 20 vegetables including leafy, root, modified stem, and fruity vegetables like bitter gourd, jack fruit, french-bean, onion, colocassia, pointed gourd, capsicum, spinach, potato, fenugreek seeds, carrot, radish, cucumber, beetroot, brinjal, cauliflower, cabbage, tomato, okra, and bottle gourd. Forty-eight pesticides including 13 organochlorines (OCs), 17 organophosphates (OPs), 10 synthetic pyrethriods (SPs), and eight herbicides (H) pesticides were analyzed. A total number of 60 samples, each in triplicates, were analyzed using Quick, Easy, Cheap, Effective, Rugged, and Safe method. The quantification was done by GC-ECD/NPD. The recovery varies from 70.22% to 96.32% with relative standard deviation (RSD) of 15%. However the limit of detection ranged from 0.001-0.009 mg kg(-1)for OCs, SPs, OPs, and H, respectively. Twenty-three pesticides were detected from total 48 analyzed pesticides in the samples with the range of 0.005-12.35 mg kg(-1). The detected pesticides were: Σ-HCH, Dicofol, Σ-Endosulfan, Fenpropathrin, Permethrin-II, β-cyfluthrin-II, Fenvalerate-I, Dichlorvos, Dimethoate, Diazinon, Malathion, Chlorofenvinfos, Anilophos, and Dimethachlor. In some vegetables like radish, cucumber, cauliflower, cabbage, and okra, the detected pesticides (Σ-HCH, Permethrin-II, Dichlorvos, and Chlorofenvinfos) were above maximum residues limit (MRL) (PFA 1954). However, in other vegetables the level of pesticide residues was either below detection limit or MRL.",Environmental monitoring and assessment,"['D002849', 'D004784', 'D006540', 'D006843', 'D007194', 'D009570', 'D010755', 'D010573', 'D011722', 'D014675']","['Chromatography, Gas', 'Environmental Monitoring', 'Herbicides', 'Hydrocarbons, Chlorinated', 'India', 'Nitriles', 'Organophosphates', 'Pesticide Residues', 'Pyrethrins', 'Vegetables']","Monitoring of pesticide residues in market basket samples of vegetable from Lucknow City, India: QuEChERS method.","[None, None, 'Q000032', 'Q000032', None, 'Q000032', 'Q000032', 'Q000032', 'Q000032', 'Q000737']","[None, None, 'analysis', 'analysis', None, 'analysis', 'analysis', 'analysis', 'analysis', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/20632088,2011
19366669,"Although geneticists and archaeologists continue to make progress world-wide in documenting the time and place of the initial domestication of a growing number of plants and animals, far less is known regarding the critically important context of coalescence of various species into distinctive sets or complexes of domesticates in each of the world's 10 or more independent centers of agricultural origin. In this article, the initial emergence of a crop complex is described for one of the best-documented of these independent centers, eastern North America (ENA). Before 4000 B.P. there is no indication of a crop complex in ENA, only isolated evidence for single indigenous domesticate species. By 3800 B.P., however, at least 5 domesticated seed-bearing plants formed a coherent complex in the river valley corridors of ENA. Accelerator mass spectrometer radiocarbon dates and reanalysis of archaeobotanical assemblages from a short occupation of the Riverton Site in Illinois documents the contemporary cultivation at 3800 B.P. of domesticated bottle gourd (Lagenaria siceraria), marshelder (Iva annua var. macrocarpa), sunflower (Helianthus annuus var. macrocarpus), and 2 cultivated varieties of chenopod (Chenopodium berlandieri), as well as the possible cultivation of Cucurbita pepo squash and little barley (Hordeum pusillum). Rather than marking either an abrupt developmental break or a necessary response to population-packing or compressed resource catchments, the coalescence of an initial crop complex in ENA appears to reflect an integrated expansion and enhancement of preexisting hunting and gathering economies that took place within a context of stable long-term adaptation to resource-rich river valley settings.",Proceedings of the National Academy of Sciences of the United States of America,"['D001106', 'D027462', 'D018556', 'D005843', 'D049690', 'D013058', 'D009656', 'D055110', 'D013997']","['Archaeology', 'Chenopodium', 'Crops, Agricultural', 'Geography', 'History, Ancient', 'Mass Spectrometry', 'North America', 'Radiometric Dating', 'Time Factors']",Initial formation of an indigenous crop complex in eastern North America at 3800 B.P.,"[None, 'Q000254', 'Q000266', None, None, None, None, None, None]","[None, 'growth & development', 'history', None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/19366669,2009
17162565,"A novel and cost-effective method of sulfosulfuron extraction has been developed using distilled water as an extraction solvent. Using this method, the environmental fate of sulfosulfuron was investigated in soil under wheat crop. Studies were conducted under natural field conditions in randomized block design and herbicide (75% water dispersible granules (WG)) was applied after 24 days of sowing. The rates of applications were 25 and 50 g of active ingredient (a.i.) per hectare. Soil samples were collected at predetermined intervals and analyzed by high performance liquid chromatography (HPLC). The minimum detection limit was found to be 0.001 micro g g(-1). The dissipation of sulfosulfuron followed first-order rate kinetics and dissipated with a half-life of 5.4-6.3 days. After harvest, field soil was used for conducting a pot experiment with bottle gourd (Lagenaria siceraria) as test plants to study the carry over effect of sulfosulfuron. No phytotoxicity was observed to bottle gourd in pot experiment with harvest soil.","Journal of environmental science and health. Part. B, Pesticides, food contaminants, and agricultural wastes","['D002851', 'D003365', 'D004305', 'D004784', 'D006207', 'D006540', 'D007700', 'D010573', 'D011743', 'D012989', 'D013449', 'D014908']","['Chromatography, High Pressure Liquid', 'Costs and Cost Analysis', 'Dose-Response Relationship, Drug', 'Environmental Monitoring', 'Half-Life', 'Herbicides', 'Kinetics', 'Pesticide Residues', 'Pyrimidines', 'Soil Pollutants', 'Sulfonamides', 'Triticum']",Determination of sulfosulfuron residues in soil under wheat crop by a novel and cost-effective method and evaluation of its carryover effect.,"['Q000379', None, None, None, None, 'Q000032', None, 'Q000032', 'Q000032', 'Q000032', 'Q000032', 'Q000737']","['methods', None, None, None, None, 'analysis', None, 'analysis', 'analysis', 'analysis', 'analysis', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/17162565,2007
16766454,"Di-2-ethylhexyl phthalate (DEHP) is a commonly used plasticizer that is harmful to human health. magnetic resonance spectroscopy from the edible fruit flesh of Benincasa hispida (wax gourd) of the plant family Curcurbitaceae. The DEHP content of seven wax gourd samples collected from southern and northern provinces in China was determined as (mean +/- SD): 18.3 +/- 0.43, 2.64 +/- 0.44, 44.0 +/- 0.34, 62.5 +/- 0.48, 52.0 +/- 0.42, 58.3 +/- 0.55 and 75.5 +/- 0.63 mg kg-1 fresh weight, respectively, indicating that most wax gourds were severely contaminated with DEHP.",Food additives and contaminants,"['D002681', 'D028464', 'D004051', 'D005506', 'D009682', 'D013058', 'D010945', 'D010968', 'D014675']","['China', 'Cucurbita', 'Diethylhexyl Phthalate', 'Food Contamination', 'Magnetic Resonance Spectroscopy', 'Mass Spectrometry', 'Plants, Edible', 'Plasticizers', 'Vegetables']",Di-2-ethylhexyl phthalate in the fruits of Benincasa hispida.,"[None, 'Q000737', 'Q000032', 'Q000032', 'Q000379', 'Q000379', 'Q000737', 'Q000032', 'Q000737']","[None, 'chemistry', 'analysis', 'analysis', 'methods', 'methods', 'chemistry', 'analysis', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/16766454,2006
16556998,"Two squash family protease inhibitors were obtained from wax gourd (Benicasa hispida [Thunb] Cogn.). Even though they were distinctly separated by reversed-phase chromatography, the amino acid sequences of two inhibitors were identical. Both inhibitors were converted into each other, perhaps due to cis-trans isomerization of characteristic Pro in the C-terminal region.","Bioscience, biotechnology, and biochemistry","['D000595', 'D002853', 'D028464', 'D008969', 'D012639', 'D016415', 'D017386', 'D015842']","['Amino Acid Sequence', 'Chromatography, Liquid', 'Cucurbita', 'Molecular Sequence Data', 'Seeds', 'Sequence Alignment', 'Sequence Homology, Amino Acid', 'Serine Proteinase Inhibitors']",Serine proteinase inhibitor from wax gourd (Benincasa hispida [Thunb] Cogn.) seeds.,"[None, None, 'Q000737', None, 'Q000737', None, None, 'Q000737']","[None, None, 'chemistry', None, 'chemistry', None, None, 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/16556998,2006
