PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
35336301,"Samples from various winemaking stages of the production of sparkling wines using different grape varieties were characterized based on the profile of biogenic amines (BAs) and the elemental composition. Liquid chromatography with fluorescence detection (HPLC-FLD) combined with precolumn derivatization with dansyl chloride was used to quantify BAs, while inductively coupled plasma (ICP) techniques were applied to determine a wide range of elements. Musts, base wines, and sparkling wines were analyzed accordingly, and the resulting data were subjected to further chemometric studies to try to extract information on oenological practices, product quality, and varieties. Although good descriptive models were obtained when considering each type of data separately, the performance of data fusion approaches was assessed as well. In this regard, low-level and mid-level approaches were evaluated, and from the results, it was concluded that more comprehensive models can be obtained when joining data of different natures.","Sensors (Basel, Switzerland)","['D001679', 'D002851', 'D027843', 'D014920']","['Biogenic Amines', 'Chromatography, High Pressure Liquid', 'Vitis', 'Wine']",Data Fusion Approaches for the Characterization of Musts and Wines Based on Biogenic Amine and Elemental Composition.,"['Q000032', 'Q000379', 'Q000737', 'Q000032']","['analysis', 'methods', 'chemistry', 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/35336301,2022
35334320,"The extraction of phenolics and tannins from cold-hardy grapes is not maximized with the current methods, which lead to unbalanced wines. This study aims to investigate high-power sonication to improve polyphenolic content in cold-hardy grape juice in comparison with chokeberry juice. Three solid to solvent ratios and times were applied on chokeberry and 'Marquette' grape berries using 50% ethanol or 13% acidified ethanol and compared to a conventional extraction technique. Iron-reactive phenolic compounds, tannins content, and color were analyzed during the extractions using UV-Visible spectrophotometry, and anthocyanin content was analyzed using HPLC-DAD. At the 1:2 solid to solvent ratio, the color intensity, phenolics, and tannins content were improved using the ultrasound-assisted extraction on chokeberries. However, the tannin content of 'Marquette' berries remained the same with both techniques and solvents, suggesting that the plant cell wall structure may have a strong impact on the retention of tannins from cold-hardy grapes.",Food chemistry,[],[],Optimization of the ultrasound-assisted extraction of polyphenols from Aronia and grapes.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35334320,2022
35325205,"Nucleus-encoded circular RNAs (ncircRNAs) have been widely detected in eukaryotes, and most circRNA identification algorithms are designed to identify them. However, using these algorithms, few mitochondrion-encoded circRNAs (mcircRNAs) have been identified in plants, and the role of plant mcircRNAs has not yet been addressed. Here, we developed a circRNA identification algorithm, mitochondrion-encoded circRNA identifier (MeCi), based on common features of plant mitochondrial genomes. We identified 7,524, 9,819, 1,699, 1,821, 1,809, and 5,133 mcircRNAs in maize (Zea mays), Arabidopsis (Arabidopsis thaliana), rice (Oryza sativa), tomato (Solanum lycopersicum), cucumber (Cucumis sativus), and grape (Vitis vinifera), respectively. These mcircRNAs were experimentally validated. Plant mcircRNAs had distinct characteristics from ncircRNAs, and they were more likely to be derived from RNA degradation but not intron backsplicing. Alternative circularization was prevalent in plant mitochondria, and most parental genomic regions hosted multiple mcircRNA isoforms, which have homogenous 5' termini but heterogeneous 3' ends. By analysis of mitopolysome and mitoribosome profiling data, 1,463 mcircRNAs bound to ribosomes were detected in maize and Arabidopsis. Further analysis of mass spectrometry-based proteomics data identified 358 mcircRNA-derived polypeptides. Overall, we developed a computational pipeline that efficiently identifies plant mcircRNAs, and we demonstrated mcircRNAs are widespread and translated in plants.",Plant physiology,[],[],Mitochondrion-encoded circular RNAs are widespread and translatable in plants.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35325205,2022
35276777,"In the present work the feasibility of Tannat grape skin (TGS) as a functional ingredient in the formulation of two snacks (yogurt and biscuits) was studied. The research provided novel information on the effects of the food matrix and digestion process, under simulated human oral gastrointestinal conditions, in the bioaccessibility of TGS bioactive compounds composing of the snacks with health promoting properties (antioxidant, anti-inflammatory, and antidiabetic). TGS polyphenolic profile was analyzed by ultra-high performance liquid chromatography tandem mass spectrometry (UHPLC-MS/MS) finding mainly flavonoids, phenolic acids, and anthocyanins, which may exert antioxidant, anti-inflammatory, and carbohydrase inhibition capacities. TGS digest showed antioxidant and antidiabetic potential compared to the undigested sample (",Nutrients,"['D000872', 'D003920', 'D006801', 'D062410', 'D053719', 'D027843']","['Anthocyanins', 'Diabetes Mellitus', 'Humans', 'Snacks', 'Tandem Mass Spectrometry', 'Vitis']",Tannat Grape Skin: A Feasible Ingredient for the Formulation of Snacks with Potential for Reducing the Risk of Diabetes.,"[None, None, None, None, None, 'Q000737']","[None, None, None, None, None, 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/35276777,2022
35248832,"B-type procyanidin dimers and (+)-catechin dimeric oxidation products were analyzed in grape seed extracts and red wines (UHPLC-Q-Orbitrap MS). The different dimers had different fragmentation patterns according to their interflavan linkage position. Oxidation dimeric compounds had a specific fragment ion at m/z 393, missing for B-Type dimers fragmentations. A fragment ion at m/z 291 occurred and was specific for oxidation dimeric compounds with a COC linkage. Higher level oxidation products had abundant specific fragments: m/z 425, 397 and 245. These fragmentations were useful to identify them in complex samples such as grape seed extracts and wines. Three grape varieties and three ripening stages were selected and the corresponding seed extracts were obtained. The analyses revealed an increasing trend for the oxidation markers during grape ripening. The analysis of Syrah wines (2018, 2014, 2010) showed a decreasing trend of these molecules during wine ageing which might be due to further oxidation.",Food chemistry,"['D002392', 'D002851', 'D056604', 'D027843', 'D014920']","['Catechin', 'Chromatography, High Pressure Liquid', 'Grape Seed Extract', 'Vitis', 'Wine']",UHPLC-Q-Orbitrap /MS,"['Q000032', None, 'Q000032', None, 'Q000032']","['analysis', None, 'analysis', None, 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/35248832,2022
35234001,"&lt;b&gt;Background and Objective:&lt;/b&gt; Various medicinal herbs and fruits in Thailand composed of many bioactive phytochemicals, which are support health and reduce the harmful of many diseases. The main objectives of this study were to extract wild grape residues obtained from wine production and fractionate them by silica column chromatography and investigate the chemical substances and antioxidant competency. &lt;b&gt;Materials and Methods:&lt;/b&gt; Methanolic crude extract of wild grape pomace was fractionated by silica gel chromatography using the mixture methanol/ethyl acetate as eluting solvents. The chemical substances including total phenolic, flavonoid, saponin and condensed-tannin were investigated by colorimetric spectrophotometer. The antioxidant activities with free radical scavenging (DPPH and ABTS) and reducing power antioxidants (FRAP and CUPRAC) were tested. Finally, High Performance Liquid Chromatography (HPLC) was applied for the analysis of the individual phenolic compounds. &lt;b&gt;Results:&lt;/b&gt; The fractionated extracts had higher chemical substances than crude extract, except total phenolic. Among the substances, condensed-tannins showed the highest content in the fractionated extracts. The active substances showed higher ABTS free radical scavenging activity than DPPH and metal-reducing power antioxidant by CUPRAC than FRAP assays. The dominant phenolic substances in the fractionated extracts were gallic acid, resveratrol, quercetin, epicatechin and caffeic acid. &lt;b&gt;Conclusion:&lt;/b&gt; The pomace of immature wild grape fruits from wine production contained various types of chemical substances and antioxidant competency. The obtained results provide more information on the wild grape fruits in terms of phytochemical source and their activity.",Pakistan journal of biological sciences : PJBS,"['D000975', 'D005419', 'D010636', 'D064209', 'D010936', 'D027843']","['Antioxidants', 'Flavonoids', 'Phenols', 'Phytochemicals', 'Plant Extracts', 'Vitis']",Determination of Wild Grape Phenolic Compounds in the Extracts of Winemaking Byproducts and Their Antioxidant Competency.,"['Q000737', 'Q000032', 'Q000032', 'Q000032', 'Q000737', None]","['chemistry', 'analysis', 'analysis', 'analysis', 'chemistry', None]",https://www.ncbi.nlm.nih.gov/pubmed/35234001,2022
35209151,"Conventional extraction methods of proanthocyanidins (PAC) are based on toxic organic solvents, which can raise concerns about the use of extracts in supplemented food and nutraceuticals. Thus, a PAC extraction method was developed for grape seeds (GS) and grape seed powder using food-grade ethanol by optimizing the extraction conditions to generate the maximum yield of PAC. Extraction parameters, % ethanol, solvent: solid (s:s) ratio, sonication time, and temperature were optimized by the central composite design of the response surface method. The yields of PAC under different extraction conditions were quantified by the methylcellulose precipitable tannin assay. The final optimum conditions were 47% ethanol, 10:1 s:s ratio (","Molecules (Basel, Switzerland)","['D000818', 'D002460', 'D002851', 'D004305', 'D000431', 'D005285', 'D056604', 'D022781', 'D059625', 'D051379', 'D019308', 'D044945', 'D012639', 'D012997', 'D013329', 'D000069453']","['Animals', 'Cell Line', 'Chromatography, High Pressure Liquid', 'Dose-Response Relationship, Drug', 'Ethanol', 'Fermentation', 'Grape Seed Extract', 'Hepatocytes', 'Liquid-Liquid Extraction', 'Mice', 'Palmitic Acid', 'Proanthocyanidins', 'Seeds', 'Solvents', 'Structure-Activity Relationship', 'Ultrasonic Waves']",Optimization of the Extraction of Proanthocyanidins from Grape Seeds Using Ultrasonication-Assisted Aqueous Ethanol and Evaluation of Anti-Steatosis Activity In Vitro.,"[None, None, None, None, None, None, 'Q000737', 'Q000187', 'Q000379', None, 'Q000494', 'Q000737', 'Q000737', None, None, None]","[None, None, None, None, None, None, 'chemistry', 'drug effects', 'methods', None, 'pharmacology', 'chemistry', 'chemistry', None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/35209151,2022
35163979,"The aim of this study was to determine the effects of defoliation performed in the Babica red grape variety on the volatile compounds in produced wine. Three treatments were performed during 2017 and 2018: the removal of six leaves before flowering (FL) and at the end of veraison (VER), as well as control (C). Volatile compounds were analyzed using a gas chromatograph coupled to a mass spectrophotometric detector. Results were statistically evaluated by analysis of variance (ANOVA at the ","Molecules (Basel, Switzerland)","['D002849', 'D002980', 'D003678', 'D005638', 'D009812', 'D018515', 'D025341', 'D027843', 'D055549', 'D014887', 'D014920']","['Chromatography, Gas', 'Climate', 'Defoliants, Chemical', 'Fruit', 'Odorants', 'Plant Leaves', 'Principal Component Analysis', 'Vitis', 'Volatile Organic Compounds', 'Weather', 'Wine']",Effects of Defoliation Treatments of Babica Grape Variety(,"['Q000379', None, 'Q000009', 'Q000737', 'Q000032', 'Q000737', None, 'Q000737', 'Q000032', None, 'Q000032']","['methods', None, 'adverse effects', 'chemistry', 'analysis', 'chemistry', None, 'chemistry', 'analysis', None, 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/35163979,2022
35152022,"Touriga Nacional is a well-adapted Portuguese grape variety in São Francisco River Valley (northeastern Brazil). Nevertheless, it has only been indicated to short-term consumption because of the lack of chemical stability, which is attributed to low grape acidity and incomplete phenolic maturity. Therefore, we used Ultra-Performance Liquid Chromatography coupled High-resolution Mass Spectrometry, Nuclear Magnetic Resonance and chemometrics (PCA and PLS-DA) to evaluate the grape maturity and maceration time on chemical composition of wines from two harvest seasons. Moreover, we investigated how these experimental factors could affect their chemical stability. Grapes maturity showed to be the main effect. Overall, phenolic acids and short-chain organic acids were found to be at higher levels in wines produced with unripe grapes from February and shorter maceration time (p < 0.05). Proanthocyanidins and other flavonoids were increased in wines macerated for longer time using overripe grapes harvested in July. Furthermore, stable wines were made from overripe grapes, which contained more galacturonic acid.",Food chemistry,"['D005638', 'D009682', 'D066244', 'D027843', 'D014920']","['Fruit', 'Magnetic Resonance Spectroscopy', 'Proton Magnetic Resonance Spectroscopy', 'Vitis', 'Wine']",,"['Q000737', None, None, 'Q000737', 'Q000032']","['chemistry', None, None, 'chemistry', 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/35152022,2022
35101706,"Matrix complexity of fruit juices and their low antimony level requires sensitive, cost-effective instruments, time-consuming and error-prone sample pretreatment methods. Therefore, a flow-batch procedure (HG-FBA-AFS) was developed for the fast and sensitive determination of total inorganic Sb in grape juice samples by hydride generation atomic fluorescence spectrometry. The sample pretreatment, pre-reduction and stibine formation steps run through the mixing chamber. The HCl and NaBH",Food chemistry,"['D000965', 'D000067030', 'D013050', 'D013054', 'D027843']","['Antimony', 'Fruit and Vegetable Juices', 'Spectrometry, Fluorescence', 'Spectrophotometry, Atomic', 'Vitis']",Fast automated method for the direct determination of total antimony in grape juice samples by hydride generation and atomic fluorescence spectrometric detection without external pretreatment.,"['Q000032', 'Q000032', 'Q000379', None, None]","['analysis', 'analysis', 'methods', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/35101706,2022
