PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
34366473,"Groundnut oil (GNO)/peanut oil is one of the agro-food products with great economic value and hence an attractive target for adulteration and mislabeling. Simple Sequence Repeats (SSR) are markers of choice for DNA fingerprinting studies as they exhibit high polymorphism due to variable number of repeats. Hence, this study was designed to evaluate and optimize a method for DNA isolation from groundnut oil and study the possibility of using the isolated DNA for molecular traceability using SSR markers. Four methods to isolate DNA from groundnut oil were evaluated. All the four methods were modified CTAB protocols, but differed in procedures for extraction, buffer compositions, amount of oil used and DNA carriers. For molecular traceability of oils, extraction and recovery of DNA from edible oil is a key step, especially in refined oils. A method that employed DNA enrichment prior to extraction with CTAB buffer yielded amplifiable DNA from cold pressed GNO, crude hexane extracted GNO and refined GNO. The optimized method for isolation of DNA from groundnut oil is simple, efficient, less costly and reproducible when compared to chromatography and spectroscopy based techniques.",Journal of food science and technology,[],[],"Evaluation of DNA extraction methods for molecular traceability in cold pressed, solvent extracted and refined groundnut oils.",[],[],https://www.ncbi.nlm.nih.gov/pubmed/34366473,2021
33889778,"Metabolite profile provides an overview and avenue for the detection of a vast number of metabolites in food sample at a particular time. Gas chromatography high resolution time-of-flight mass spectrometry (GC-HRTOF-MS) is one of such techniques that can be utilized for profiling known and unknown compounds in a food sample. In this study, the metabolite profiles of Bambara groundnut and ",Heliyon,[],[],Metabolite profile of Bambara groundnut (,[],[],https://www.ncbi.nlm.nih.gov/pubmed/33889778,2021
33288162,"Plant proteins, and specifically those from legume crops, are increasingly recognised as sustainable and functional food ingredients. In this study, we expand on the knowledge of Bambara groundnut (Vigna subterranea (L.) Verdc.) [BGN] proteins, by characterising the composition, microstructure and rheological properties of BGN protein isolates obtained via wet extraction and protein-enriched fractions obtained via dry fractionation. The BGN protein isolates were compared in the context of the major storage protein, vicilin, as previously identified. Molecular weight analysis performed with gel electrophoresis and size-exclusion chromatography coupled to light-scattering, revealed some major bands (190 kDa) and elution patterns with molecular weights (205.6-274.1 kDa) corresponding to that of BGN vicilin, whilst the thermal denaturation temperature (T","Food research international (Ottawa, Ont.)","['D018556', 'D007887', 'D000070658']","['Crops, Agricultural', 'Fabaceae', 'Vigna']",Physicochemical properties and gelling behaviour of Bambara groundnut protein isolates and protein-enriched fractions.,"[None, None, None]","[None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/33288162,2021
30791635,"Diverse peanut varieties are widely cultivated in China. However, few studies have investigated the effects of germination on the phenolic profiles and antioxidant activities of specific Chinese peanut cultivars. Therefore, this study was conducted to evaluate the effects of germination on total phenolic content (TPC), total flavonoid content (TFC), antioxidant activity, and phenolic profiles of seven peanut cultivars in China. The TPC, TFC, and antioxidant activities were determined by spectrophotometry, while phenolic profiles were analyzed by using ultra-high performance liquid chromatography coupled with quadrupole/time-of-flight mass spectrometry (UPLC-QTOF-MS). The results found that germination significantly increased TPC, TFC, and antioxidant activity. Antioxidant activity was found to be closely related to TPC in germinated peanut extracts, which indicates that phenolics are the main contributors of antioxidants in germinated peanuts. In addition, germination induced significant changes in polyphenolic profiles. In the analyzed samples, 36 phenolic compounds were identified in which most were flavonoids. Overall, these findings highlight that germinated peanuts can be a good natural source of natural antioxidants for human consumption and functional food development.","Antioxidants (Basel, Switzerland)",[],[],Comparison of the Phenolic Profiles of Soaked and Germinated Peanut Cultivars via UPLC-QTOF-MS.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/30791635,2020
27748169,"This study was conducted to assess major Aspergillus species and aflatoxins associated with groundnut seeds and cake in Eastern Ethiopia and evaluate growers' management practices. A total of 160 groundnut seed samples from farmers' stores and 50 groundnut cake samples from cafe and restaurants were collected. Fungal isolation was done from groundnut seed samples. Aspergillus flavus was the dominant species followed by Aspergillus parasiticus. Aflatoxin analyses of groundnut seed samples were performed using ultra performance liquid chromatography; 22.5% and 41.3% of samples were positive, with total aflatoxin concentrations of 786 and 3135 ng g","Food additives & contaminants. Part B, Surveillance","['D016604', 'D000348', 'D000383', 'D010367', 'D001230', 'D001231', 'D002851', 'D003296', 'D018556', 'D004032', 'D005002', 'D057140', 'D005506', 'D005513', 'D061353', 'D006801', 'D012147', 'D012639', 'D062211']","['Aflatoxin B1', 'Aflatoxins', 'Agriculture', 'Arachis', 'Aspergillus', 'Aspergillus flavus', 'Chromatography, High Pressure Liquid', 'Cooking', 'Crops, Agricultural', 'Diet', 'Ethiopia', 'Fast Foods', 'Food Contamination', 'Food Inspection', 'Food Storage', 'Humans', 'Restaurants', 'Seeds', 'Spatio-Temporal Analysis']",Aspergillus and aflatoxin in groundnut (Arachis hypogaea L.) and groundnut cake in Eastern Ethiopia.,"['Q000032', 'Q000032', 'Q000379', 'Q000009', 'Q000254', 'Q000254', None, None, 'Q000009', 'Q000009', None, 'Q000009', None, None, None, None, None, 'Q000009', None]","['analysis', 'analysis', 'methods', 'adverse effects', 'growth & development', 'growth & development', None, None, 'adverse effects', 'adverse effects', None, 'adverse effects', None, None, None, None, None, 'adverse effects', None]",https://www.ncbi.nlm.nih.gov/pubmed/27748169,2017
27700622,"Aflatoxins, mainly produced by Aspergillus flavus and Aspergillus parasiticus, are highly toxic and may lead to health problems such as liver cancer. Exposure to aflatoxins may result from ingestion of contaminated foods. Levels of AFB","Food additives & contaminants. Part B, Surveillance","['D000348', 'D000383', 'D010367', 'D001230', 'D002851', 'D004032', 'D007887', 'D005506', 'D005516', 'D005523', 'D006801', 'D027805', 'D011786', 'D012639', 'D000070658', 'D015030']","['Aflatoxins', 'Agriculture', 'Arachis', 'Aspergillus', 'Chromatography, High Pressure Liquid', 'Diet', 'Fabaceae', 'Food Contamination', 'Food Microbiology', 'Food Supply', 'Humans', 'Phaseolus', 'Quality Control', 'Seeds', 'Vigna', 'Zimbabwe']",Natural postharvest aflatoxin occurrence in food legumes in the smallholder farming sector of Zimbabwe.,"['Q000009', 'Q000379', None, None, None, None, None, 'Q000032', None, 'Q000592', None, None, None, 'Q000737', None, None]","['adverse effects', 'methods', None, None, None, None, None, 'analysis', None, 'standards', None, None, None, 'chemistry', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/27700622,2017
28330231,"Mycotoxins are unavoidable contaminants of food grains, feeds, medicinal herbs, and spices, posing as health threat to animals and humans. The objective of this study was to screen medicinal herbs and spices for fungi and mycotoxin contamination and evaluate their safety. Sixty-three samples were examined for fungal contamination and fungal load determined using standard microbiological method. Aflatoxin and citrinin were detected using thin layer chromatography and high-performance chromatography technique. Fifty-eight out of the 63 samples were contaminated, while five were free from fungal contamination. Analysis revealed that 47 % of the samples had a fungal load above 1 × 10",3 Biotech,[],[],Prevalence of toxigenic fungi in common medicinal herbs and spices in India.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/28330231,2020
26660874,"A method was developed and validated for the analysis of 87 pesticides in cotton and groundnut oil by GC with ECD and FPD detectors and LC-MS/MS. The extraction procedure based on QuEChERS followed by low-temperature freezing and dispersive cleanup steps was validated in two oil matrices for 87 pesticides of different classes. Linearity, expressed as coefficient of variation, was within the acceptable range. Of those tested, 77-83 and 77-89% pesticides showed recoveries within the acceptable range of 70-120% on LC-MS/MS in cottonseed oil and groundnut oil, respectively, at different spiking levels. In case of GC analysis, 63-65 and 53-82% pesticides showed recoveries within the acceptable range of 70-120% on GC in cottonseed oil and groundnut oil, respectively, at different spiking levels. The exceptions to these recoveries were the few organochlorines which consistently gave lower recoveries. Recovery factors can be employed while analysing these pesticides by this method as the results obtained were consistent in both oils. RSD was less than 20% for most of the pesticides. The calculated limit of quantitation (LOQ) for most of the pesticides satisfies the maximum residue level (MRL) requirements as per European Union (EU) guidelines and Food Safety and Standards Authority of India (FSSAI).",Analytical and bioanalytical chemistry,"['D002849', 'D002853', 'D003368', 'D000074241', 'D010573', 'D010938', 'D052616', 'D053719']","['Chromatography, Gas', 'Chromatography, Liquid', 'Gossypium', 'Peanut Oil', 'Pesticide Residues', 'Plant Oils', 'Solid Phase Extraction', 'Tandem Mass Spectrometry']",Development and validation of multiresidue analytical method in cotton and groundnut oil for 87 pesticides using low temperature and dispersive cleanup on gas chromatography and liquid chromatography-tandem mass spectrometry.,"['Q000379', 'Q000379', 'Q000737', None, 'Q000737', 'Q000737', None, 'Q000379']","['methods', 'methods', 'chemistry', None, 'chemistry', 'chemistry', None, 'methods']",https://www.ncbi.nlm.nih.gov/pubmed/26660874,2016
26472622,"In this article, the level of contamination of aflatoxin B1 (AFB1) in groundnut and sunflower oils was determined. The 241 oil samples were collected from Khartoum, Gezira, Kordofan and Algadarif states of Sudan and assessed for AFB1 using high-performance liquid chromatography (HPLC). AFB1 levels in groundnut oil samples ranged from 0.5 to 70 µg/kg and were 0.7 to 35 µg/kg in sunflower oil samples. High contamination was found in unrefined samples. It was concluded that AFB1 levels in oil samples indicated that growing, harvesting, handling and storage of the crops were not done properly. ","Food additives & contaminants. Part B, Surveillance","['D016604', 'D010367', 'D004032', 'D004781', 'D005506', 'D006368', 'D006801', 'D000074241', 'D010938', 'D013397', 'D000074242']","['Aflatoxin B1', 'Arachis', 'Diet', 'Environmental Exposure', 'Food Contamination', 'Helianthus', 'Humans', 'Peanut Oil', 'Plant Oils', 'Sudan', 'Sunflower Oil']",Aflatoxin B1 levels in groundnut and sunflower oils in different Sudanese states.,"['Q000032', None, None, None, 'Q000032', None, None, None, 'Q000032', None, None]","['analysis', None, None, None, 'analysis', None, None, None, 'analysis', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/26472622,2016
25310011,"Xylanase and xylooligosaccharides (XOS) are employed in food and feed industries. Though xylanase production from lignocellulosic materials (LCMs) by solid-state fermentation (SSF) is well known, the XOS formed during growth is not recovered due to its conversion to xylose by β-xylosidase and subsequent bacterial metabolism. A new strain, Bacillus subtilis KCX006, was exceptionally found to synthesize β-xylosidase-free endo-xylanase and multiple xylan debranching enzymes constitutively in the presence of LCMs. Absence of β-xylosidase resulted in accumulation of XOS during growth of KCX006 on LCMs. Therefore, this strain was used for simultaneous production of xylanase and XOS from agro-residues in solid-state fermentation (SSF). Partial purification of XOS from culture supernatant using activated charcoal followed by high-performance liquid chromatography (HPLC) analysis showed xylobiose to xylotetraose formed as the major products. Among various LCM substrates, wheat bran and groundnut oil-cake supported highest xylanase and XOS production at 2158 IU/gdw and 24.92 mg/gdw, respectively. The levels of xylanase and XOS were improved by 1.5-fold (3102 IU/gdw) and 1.9-fold (48 mg/gdw), respectively, by optimization of culture conditions.",Preparative biochemistry & biotechnology,"['D001412', 'D002851', 'D005285', 'D005965', 'D006863', 'D009844', 'D012988', 'D013379', 'D013696', 'D014995']","['Bacillus subtilis', 'Chromatography, High Pressure Liquid', 'Fermentation', 'Glucuronates', 'Hydrogen-Ion Concentration', 'Oligosaccharides', 'Soil Microbiology', 'Substrate Specificity', 'Temperature', 'Xylosidases']",Production of xylooligosaccharides in SSF by Bacillus subtilis KCX006 producing β-xylosidase-free endo-xylanase and multiple xylan debranching enzymes.,"['Q000378', None, None, 'Q000378', None, 'Q000378', None, None, None, 'Q000378']","['metabolism', None, None, 'metabolism', None, 'metabolism', None, None, None, 'metabolism']",https://www.ncbi.nlm.nih.gov/pubmed/25310011,2016
