PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
34201792,"Pulse crop seed coats are a sustainable source of antioxidant polyphenols, but are typically treated as low-value products, partly because some polyphenols reduce iron bioavailability in humans. This study correlates antioxidant/iron chelation capabilities of diverse seed coat types from five major pulse crops (common bean, lentil, pea, chickpea and faba bean) with polyphenol composition using mass spectrometry. Untargeted metabolomics was used to identify key differences and a hierarchical analysis revealed that common beans had the most diverse polyphenol profiles among these pulse crops. The highest antioxidant capacities were found in seed coats of black bean and all tannin lentils, followed by maple pea, however, tannin lentils showed much lower iron chelation among these seed coats. Thus, tannin lentils are more desirable sources as natural antioxidants in food applications, whereas black bean and maple pea are more suitable sources for industrial applications. Regardless of pulse crop, proanthocyanidins were primary contributors to antioxidant capacity, and to a lesser extent, anthocyanins and flavan-3-ols, whereas glycosylated flavonols contributed minimally. Higher iron chelation was primarily attributed to proanthocyanidin composition, and also myricetin 3-","Molecules (Basel, Switzerland)","['D000975', 'D044946', 'D001682', 'D002392', 'D029863', 'D000078331', 'D005419', 'D044948', 'D020128', 'D007502', 'D027806', 'D013058', 'D055432', 'D010636', 'D059808', 'D044945', 'D012639', 'D013634', 'D031307']","['Antioxidants', 'Biflavonoids', 'Biological Availability', 'Catechin', 'Cicer', 'Correlation of Data', 'Flavonoids', 'Flavonols', 'Inhibitory Concentration 50', 'Iron Chelating Agents', 'Lens Plant', 'Mass Spectrometry', 'Metabolomics', 'Phenols', 'Polyphenols', 'Proanthocyanidins', 'Seeds', 'Tannins', 'Vicia faba']",An Untargeted Metabolomics Approach for Correlating Pulse Crop Seed Coat Polyphenol Profiles with Antioxidant Capacity and Iron Chelation Ability.,"['Q000032', 'Q000032', None, 'Q000032', 'Q000737', None, 'Q000032', 'Q000032', None, 'Q000737', 'Q000737', None, 'Q000379', 'Q000032', 'Q000032', 'Q000032', 'Q000737', 'Q000032', 'Q000737']","['analysis', 'analysis', None, 'analysis', 'chemistry', None, 'analysis', 'analysis', None, 'chemistry', 'chemistry', None, 'methods', 'analysis', 'analysis', 'analysis', 'chemistry', 'analysis', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/34201792,2021
34082289,"Legumes are the main sources of folates which are not synthesized in the human body. The five folate species: 5-methyl tetrahydrofolate, tetrahydrofolate, pteroyl glutamate, 5-formyl tetrahydrofolate and 10-formyl tetrahydrofolate were quantitatively determined in legumes seeds and sprouts by a newly developed and validated high performance thin layer chromatography method. High resolution plate imaging hyphenated to mass spectrometry was exploited for fingerprint analysis of tested samples. Results indicated that germination of all seeds resulted in a 2.5-4 fold increase in the content of total folates as well as the individual vitamers. The total amount of folate reached a maximum on the fifth day in the case of black-eyed peas (861 μg/100 g Fresh Weight), white beans (755 μg/100 g FW) and brown lentils (681 μg/100 g FW). 5-CH",Food chemistry,"['D002855', 'D007887', 'D005492', 'D005504', 'D018525', 'D007091', 'D027806', 'D002955', 'D013058', 'D057054', 'D015999', 'D015203', 'D012639', 'D013763']","['Chromatography, Thin Layer', 'Fabaceae', 'Folic Acid', 'Food Analysis', 'Germination', 'Image Processing, Computer-Assisted', 'Lens Plant', 'Leucovorin', 'Mass Spectrometry', 'Molecular Imaging', 'Multivariate Analysis', 'Reproducibility of Results', 'Seeds', 'Tetrahydrofolates']",Determination of the effect of germination on the folate content of the seeds of some legumes using HPTLC-mass spectrometry-multivariate image analysis.,"['Q000379', 'Q000737', 'Q000032', 'Q000379', None, None, 'Q000737', 'Q000031', 'Q000379', 'Q000379', None, None, 'Q000737', 'Q000032']","['methods', 'chemistry', 'analysis', 'methods', None, None, 'chemistry', 'analogs & derivatives', 'methods', 'methods', None, None, 'chemistry', 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/34082289,2021
33875217,"Lentilactobacillus parabuchneri, a member of the non-starter microbiota in cheese, was recently associated with fast and effective histamine-formation ability, a safety issue. The present study was performed to investigate Lentilactobacillus parabuchneri KUH8, a histamine-producer (HP) in reduced-salt Cheddar cheese. Four cheeses were manufactured: 1) normal-salt (NS); 2) reduced-salt (RS); 3) normal-salt with HP (NS+HP); 4) reduced-salt with HP (RS+HP). Two replicates were produced with milk from the same batch, and the cheeses ripened at 10 and 15 °C. Cheeses were sampled immediately after manufacture and after 1, 3 and 6 months of ripening. Ultra-high-performance-liquid chromatography indicated that with the HP, histamine reached higher levels in reduced-salt cheeses (3.5-3.7% S/M) at 15 °C (86, 1112, 2149 and 3149 mg kg",Food microbiology,"['D000818', 'D002417', 'D002611', 'D005285', 'D005511', 'D006632', 'D007777', 'D008892', 'D012965']","['Animals', 'Cattle', 'Cheese', 'Fermentation', 'Food Handling', 'Histamine', 'Lactobacillaceae', 'Milk', 'Sodium Chloride']",Histamine-forming ability of Lentilactobacillus parabuchneri in reduced salt Cheddar cheese.,"[None, None, 'Q000032', None, None, 'Q000032', 'Q000378', 'Q000737', 'Q000032']","[None, None, 'analysis', None, None, 'analysis', 'metabolism', 'chemistry', 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/33875217,2021
33189480,"Whole grains and pulses are rich in nutrients but often avoided by individuals with gastrointestinal disorders, due to high levels of fermentable oligo-, di-, monosaccharides and polyols (FODMAPs). This study investigated the impact of malting as delivery-system for endogenous enzymes. Malts from barley and wheat (naturally high in fructans), lentils and chickpeas (high in galactooligosaccharides), oat and buckwheat (low in FODMAPs) were produced. While barley and wheat malts had slightly elevated fructan-levels, in oat malt 0.8 g/100 g DM fructans were de novo synthesized. In lentils and chickpeas galactooligosaccharides diminished by 80-90%. Buckwheat did not contain any FODMAPs commonly investigated, but fagopyritols which may have a similar physiological effect. Also fagopyritols were degraded. While malted pulses and buckwheat are directly suitable for low FODMAP applications, using the combined approach of malting and fermentation, malted cereals could contribute to high nutritional values of such products.",Food chemistry,"['D002851', 'D002852', 'D029863', 'D004187', 'D002523', 'D019612', 'D005511', 'D005630', 'D018525', 'D027806', 'D009005', 'D009844', 'D014908']","['Chromatography, High Pressure Liquid', 'Chromatography, Ion Exchange', 'Cicer', 'Disaccharides', 'Edible Grain', 'Fagopyrum', 'Food Handling', 'Fructans', 'Germination', 'Lens Plant', 'Monosaccharides', 'Oligosaccharides', 'Triticum']","Fundamental study on changes in the FODMAP profile of cereals, pseudo-cereals, and pulses during the malting process.","[None, None, 'Q000254', 'Q000032', 'Q000378', 'Q000254', 'Q000379', 'Q000032', None, 'Q000254', 'Q000032', 'Q000032', 'Q000254']","[None, None, 'growth & development', 'analysis', 'metabolism', 'growth & development', 'methods', 'analysis', None, 'growth & development', 'analysis', 'analysis', 'growth & development']",https://www.ncbi.nlm.nih.gov/pubmed/33189480,2021
33153201,"We determined the concentrations of toxic and essential elements in rice and other grains (lentils, barleys, beans, oats, wheat, and peas) grown in the United States (US) and other countries using Inductively Coupled Plasma Mass Spectrometry (ICPMS). Results showed that median concentrations (in µg/kg) for toxic elements in white rice from the US were 131, 2.8, and 6.5 for arsenic (As), lead (Pb), and cadmium (Cd), respectively. White rice from Thailand, India, and Italy showed higher median toxic elements concentrations (in µg/kg) of 155 for As, 3.6 for Pb, and 8.4 for Cd, than for white rice from the US. Brown rice from the US showed median concentrations (in µg/kg) of 217 (As), 4.5 (Pb), and 17.4 (Cd) while other grains showed median concentrations (in µg/kg) of 5.4, 4.6, and 6.7 for these elements, respectively. None of the samples exceeded the codex standards set for Pb (200 μg/kg in cereals and pulses) and Cd (100 μg/kg in cereals/pulses and 400 μg/kg in polished rice). However, brown rice and one white rice sample did exceed the codex standard for As (200 μg/kg). Essential elements were higher in other grains than in white and brown rice. These findings suggest that alternating or coupling rice with other grains in one's diet could reduce exposure to toxic metals while providing more essential elements to rice diet.",International journal of environmental research and public health,"['D002104', 'D018857', 'D007194', 'D007558', 'D012275', 'D013785', 'D014481']","['Cadmium', 'Food Packaging', 'India', 'Italy', 'Oryza', 'Thailand', 'United States']",Toxic and Essential Elements in Rice and Other Grains from the United States and Other Countries.,"['Q000032', None, None, None, 'Q000737', None, None]","['analysis', None, None, None, 'chemistry', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/33153201,2021
32854310,"Food allergies are a global food challenge. For correct food labelling, the detection and quantification of allergens are necessary. However, novel product formulations and industrial processes produce new scenarios, which require much more technological developments. For this purpose, OMICS technologies, especially proteomics, seemed to be relevant in this context. This review summarises the current knowledge and studies that used proteomics to study food allergens. In the case of the allergenic proteins, a wide variety of isoforms, post-translational modifications and other structural changes during food processing can increase or decrease the allergenicity. Most of the plant-based food allergens are proteins with biological functions involved in storage, structure, and plant defence. The allergenicity of these proteins could be increased by the presence of heavy metals, air pollution, and pesticides. Targeted proteomics like selected/multiple reaction monitoring (SRM/MRM) have been very useful, especially in the case of gluten from wheat, rye and barley, and allergens from lentil, soy, and fruit. Conventional 1D and 2-DE immunoblotting have been further widely used. For animal-based food allergens, the widely used technologies are 1D and 2-DE immunoblotting followed by MALDI-TOF/TOF, and more recently LC-MS/MS, which is becoming useful to assess egg, fish, or milk allergens. The detection and quantification of allergenic proteins using mass spectrometry-based proteomics are promising and would contribute to greater accuracy, therefore improving consumer information.",Biology,[],[],Current Trends in Proteomic Advances for Food Allergen Analysis.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/32854310,2020
32420683,To identify reliable biomarkers of food intake (BFIs) of pulses.,Molecular nutrition & food research,"['D000328', 'D000470', 'D015415', 'D002853', 'D029863', 'D004435', 'D005260', 'D006801', 'D007211', 'D027806', 'D008297', 'D013058', 'D027805', 'D010875', 'D019518', 'D055815']","['Adult', 'Alkaloids', 'Biomarkers', 'Chromatography, Liquid', 'Cicer', 'Eating', 'Female', 'Humans', 'Indoles', 'Lens Plant', 'Male', 'Mass Spectrometry', 'Phaseolus', 'Pipecolic Acids', 'Postprandial Period', 'Young Adult']","Discovery of Intake Biomarkers of Lentils, Chickpeas, and White Beans by Untargeted LC-MS Metabolomics in Serum and Urine.","[None, 'Q000652', 'Q000097', None, None, None, None, None, 'Q000652', None, None, None, None, 'Q000097', None, None]","[None, 'urine', 'blood', None, None, None, None, None, 'urine', None, None, None, None, 'blood', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/32420683,2021
31991254,"The food industry is increasingly innovating and applying new processing technologies and ingredients to develop novel food products that meet the consumers' demand. In this study, the effect of extrusion (at 140 °C and 160 °C) was evaluated in different lentil flours formulations enriched with nutritional yeast, in terms of α-galactosides (raffinose, stachyose, verbascose), inositol phosphates (IPs), trypsin inhibitors and lectins content. The content of α-galactosides and IPs was determined by high performance liquid chromatography. Trypsin inhibitor activity (TIA) was evaluated using a small-scale quantitative assay. The lectin content was analyzed using a haemagglutination assay and a Competitive Indirect Enzyme-linked immunosorbent assay. Extrusion promoted a significant increase, up to 85% in total α-galactosides content. After extrusion, IPs content was significantly decreased and TIA as well as lectins content had a reduction higher than 90%. Extrusion demonstrated to have a beneficial effect by increasing desirable prebiotic compounds and decreasing non-nutritional factors.",Food chemistry,"['D000818', 'D002851', 'D055050', 'D005433', 'D005504', 'D005526', 'D005525', 'D005697', 'D006386', 'D007295', 'D027806', 'D009844', 'D064209', 'D051381', 'D014361', 'D015002']","['Animals', 'Chromatography, High Pressure Liquid', 'Diet, Gluten-Free', 'Flour', 'Food Analysis', 'Food, Formulated', 'Food-Processing Industry', 'Galactosides', 'Hemagglutination Tests', 'Inositol Phosphates', 'Lens Plant', 'Oligosaccharides', 'Phytochemicals', 'Rats', 'Trypsin Inhibitors', 'Yeast, Dried']",Novel gluten-free formulations from lentil flours and nutritional yeast: Evaluation of extrusion effect on phytochemicals and non-nutritional factors.,"[None, None, None, 'Q000032', 'Q000379', 'Q000032', 'Q000379', 'Q000032', None, 'Q000032', 'Q000737', 'Q000032', 'Q000032', None, 'Q000032', 'Q000737']","[None, None, None, 'analysis', 'methods', 'analysis', 'methods', 'analysis', None, 'analysis', 'chemistry', 'analysis', 'analysis', None, 'analysis', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/31991254,2020
31732019,"Legumes are a well-known source of phytochemicals and are commonly believed to have similar composition between different genera. To date, there are no studies evaluating changes in legumes to discover those compounds that help to discriminate for food quality and authenticity. The aim of this work was to characterize and make a comparative analysis of the composition of bioactive compounds between Cicer arietinum L. (chickpea), Lens culinaris L. (lentil) and Phaseolus vulgaris L. (white bean) through an LC-MS-Orbitrap metabolomic approach to establish which compounds discriminate between the three studied legumes. Untargeted metabolomic analysis was carried out by LC-MS-Orbitrap from extracts of freeze-dried legumes prepared from pre-cooked canned legumes. The metabolomic data treatment and statistical analysis were realized by using MAIT R's package, and final identification and characterization was done using MS","Food research international (Ottawa, Ont.)","['D002853', 'D007887', 'D044948', 'D013058', 'D055442', 'D055432', 'D059808']","['Chromatography, Liquid', 'Fabaceae', 'Flavonols', 'Mass Spectrometry', 'Metabolome', 'Metabolomics', 'Polyphenols']",Comparative metabolite fingerprinting of legumes using LC-MS-based untargeted metabolomics.,"['Q000379', 'Q000737', 'Q000032', 'Q000379', None, 'Q000379', 'Q000032']","['methods', 'chemistry', 'analysis', 'methods', None, 'methods', 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/31732019,2020
31631101,"In this study, amino groups were directly coated on reduced graphene oxide sheets and applied for the extraction of cadmium(II) ions from well water, aqueduct (water coming from mountain), lentils and rice prior to measurements by flame atomic absorption spectrometry. The properties of the adsorbent were investigated by field emission scanning electron microscopy, transmission electron microscopy, energy dispersive X-ray, Fourier-transform infrared spectroscopy and a vibrating sample magnetometer. Some parameters related to the adsorption and desorption stages were optimized. After preconcentration, the linear determination range of cadmium(II) was 0.5 - 40 μg L",Analytical sciences : the international journal of the Japan Society for Analytical Chemistry,"['D002104', 'D006108', 'D027806', 'D057230', 'D012275', 'D012989', 'D052616']","['Cadmium', 'Graphite', 'Lens Plant', 'Limit of Detection', 'Oryza', 'Soil Pollutants', 'Solid Phase Extraction']",Amino-modified Graphene Oxide/Fe,"['Q000032', 'Q000737', None, None, None, 'Q000032', 'Q000379']","['analysis', 'chemistry', None, None, None, 'analysis', 'methods']",https://www.ncbi.nlm.nih.gov/pubmed/31631101,2020
