PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
35325205,"Nucleus-encoded circular RNAs (ncircRNAs) have been widely detected in eukaryotes, and most circRNA identification algorithms are designed to identify them. However, using these algorithms, few mitochondrion-encoded circRNAs (mcircRNAs) have been identified in plants, and the role of plant mcircRNAs has not yet been addressed. Here, we developed a circRNA identification algorithm, mitochondrion-encoded circRNA identifier (MeCi), based on common features of plant mitochondrial genomes. We identified 7,524, 9,819, 1,699, 1,821, 1,809, and 5,133 mcircRNAs in maize (Zea mays), Arabidopsis (Arabidopsis thaliana), rice (Oryza sativa), tomato (Solanum lycopersicum), cucumber (Cucumis sativus), and grape (Vitis vinifera), respectively. These mcircRNAs were experimentally validated. Plant mcircRNAs had distinct characteristics from ncircRNAs, and they were more likely to be derived from RNA degradation but not intron backsplicing. Alternative circularization was prevalent in plant mitochondria, and most parental genomic regions hosted multiple mcircRNA isoforms, which have homogenous 5' termini but heterogeneous 3' ends. By analysis of mitopolysome and mitoribosome profiling data, 1,463 mcircRNAs bound to ribosomes were detected in maize and Arabidopsis. Further analysis of mass spectrometry-based proteomics data identified 358 mcircRNA-derived polypeptides. Overall, we developed a computational pipeline that efficiently identifies plant mcircRNAs, and we demonstrated mcircRNAs are widespread and translated in plants.",Plant physiology,[],[],Mitochondrion-encoded circular RNAs are widespread and translatable in plants.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35325205,2022
35292709,"Diet based on cereal, vegetables, oleaginous and dried fish are providing essential metallic elements. It can be also a source of exposure to toxic metallic elements. The aims of this study were to evaluate the contents on nine metallic trace elements (Fe, Zn, Mn, Co, Cd, Pb, Cu, Ni, Cr) in some major raw foodstuffs including rice, maize, peanut, tomato and dried fish in Burkina Faso and assess the health risk of these elements. Two hundred twenty-two samples were collected and analyzed by atomic absorption spectrometry. The health risk assessment was based on the United States Environment Protection Agency (USEPA) model. Iron and Zinc were the elements with the highest concentrations in the investigated foodstuffs. The iron highest median value (68.80 mg/kg) was observed in dried fish followed by maize (43.09 mg/kg) and peanuts (28.92 mg/kg). Rates of 77.95%, 66.66% and 32.5% obtained respectively fro tomato, maize and rice samples were above the maximum limit of lead set by Codex Alimentarius while 47.6%, 71.16% and 0% of maize, tomato and rice samples respectively have shown concentration above the maximum limit of cadmium. Chromium had shown higher contribution rate to the maximum daily intake of 167.11%, 34%, 2% and 8.53% for rice, maize and peanut respectively. A non-cancer risk situation has been observed on rice, maize and peanut consumption. None of the index risk values was above the threshold set by USEPA.",Scientific reports,[],[],Evaluation of metallic trace elements contents in some major raw foodstuffs in Burkina Faso and health risk assessment.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35292709,2022
35202122,"An immunoaffinity magnetic beads (IMBs) based automatic pretreatment method was developed for the quantitative analysis of deoxynivalenol (DON) by ultra-performance liquid chromatography and ultraviolet detector (UPLC-UV). First, N-hydroxysuccinimide-terminated magnetic beads (NHS-MBs) with good magnetic responsivity and dispersibility were synthesized and characterized by optical microscopy, scanning electron microscopy (SEM), and laser diffraction-based particle size analyzer. Then, the amino groups of anti-DON monoclonal antibody (mAb) and the NHS groups of NHS-MBs were linked by covalent bonds to prepare IMB, without any activation reagent. The essential factors affecting the binding and elution of DON were meticulously tuned. Under optimal conditions, DON could be extracted from a real sample and eluted from IMB by water, enabling environmentally friendly and green analysis. Hence, there was no need for dilution or evaporation prior to UPLC-UV analysis. DON in 20 samples could be purified and concentrated within 30 min by the mycotoxin automated purification instrument (MAPI), allowing for automated, green, high-throughput and simple clean-up. Recoveries at four distinct spiking levels in corn and wheat ranged from 92.0% to 109.5% with good relative standard deviations (RSD, 2.1-7.0%). Comparing the test results of IAC and IMB in commercial samples demonstrated the reliability and superiority of IMB for quantitatively analyzing massive samples.",Toxins,"['D000911', 'D002851', 'D052203', 'D005506', 'D060328', 'D013388', 'D014255', 'D014908', 'D003313']","['Antibodies, Monoclonal', 'Chromatography, High Pressure Liquid', 'Ferrosoferric Oxide', 'Food Contamination', 'Magnetic Phenomena', 'Succinimides', 'Trichothecenes', 'Triticum', 'Zea mays']",An Automatic Immunoaffinity Pretreatment of Deoxynivalenol Coupled with UPLC-UV Analysis.,"['Q000276', 'Q000379', 'Q000737', 'Q000032', None, 'Q000737', 'Q000032', 'Q000737', 'Q000737']","['immunology', 'methods', 'chemistry', 'analysis', None, 'chemistry', 'analysis', 'chemistry', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/35202122,2022
35169269,"Novel Immunological and Mass Spectrometry Methods for Comprehensive Analysis of Recalcitrant Oligosaccharides in AFEX Pretreated Corn Stover. Lignocellulosic biomass is a sustainable alternative to fossil fuel and is extensively used for developing bio-based technologies to produce products such as food, feed, fuel, and chemicals. The key to these technologies is to develop cost competitive processes to convert complex carbohydrates present in plant cell wall to simple sugars such as glucose, xylose, and arabinose. Since lignocellulosic biomass is highly recalcitrant, it must undergo a combination of thermochemical treatment such as Ammonia Fiber Expansion (AFEX), dilute acid (DA), Ionic Liquid (IL) and biological treatment such as enzyme hydrolysis and microbial fermentation to produce desired products. However, when using commercial fungal enzymes during hydrolysis, only 75-85% of the soluble sugars generated are monomeric sugars, while the remaining 15-25% are soluble recalcitrant oligosaccharides that cannot be easily utilized by microorganisms. Previously, we successfully separated and purified the soluble recalcitrant oligosaccharides using a combination of charcoal and celite-based separation followed by size exclusion chromatography and studies their inhibitory properties on enzymes. We discovered that the oligosaccharides with higher degree of polymerization (DP) containing methylated uronic acid substitutions were more recalcitrant towards commercial enzyme mixtures than lower DP and neutral oligosaccharides. Here, we report the use of several complementary techniques that include glycome profiling using plant biomass glycan specific monoclonal antibodies (mAbs) to characterize sugar linkages in plant cell walls and enzymatic hydrolysate, matrix-assisted laser desorption ionization time-of-flight mass spectrometry (MALDI-TOF-MS) using structurally-informative diagnostic peaks offered by negative ion post-secondary decay spectra, gas chromatography followed by mass spectrometry (GC-MS) to characterize oligosaccharide sugar linkages with and without derivatization. Since oligosaccharides (DP 4-20) are small, it is challenging to mobilize these molecules for mAbs binding and characterization. To overcome this problem, we have applied a new biotin-coupling based oligosaccharide immobilization method that successfully tagged most of the low DP soluble oligosaccharides on to a micro-plate surface followed by specific linkage analysis using mAbs in a high-throughput system. This new approach will help develop more advanced versions of future high throughput glycome profiling methods that can be used to separate and characterize oligosaccharides present in biomarkers for diagnostic applications.",Scientific reports,"['D000911', 'D018533', 'D001710', 'D002236', 'D002473', 'D002850', 'D004797', 'D000939', 'D008401', 'D006868', 'D008031', 'D009844', 'D010936', 'D018515', 'D019032', 'D000073893', 'D003313']","['Antibodies, Monoclonal', 'Biomass', 'Biotin', 'Carbohydrate Conformation', 'Cell Wall', 'Chromatography, Gel', 'Enzyme-Linked Immunosorbent Assay', 'Epitopes', 'Gas Chromatography-Mass Spectrometry', 'Hydrolysis', 'Lignin', 'Oligosaccharides', 'Plant Extracts', 'Plant Leaves', 'Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization', 'Sugars', 'Zea mays']",Understanding the structure and composition of recalcitrant oligosaccharides in hydrolysate using high-throughput biotin-based glycome profiling and mass spectrometry.,"['Q000276', None, 'Q000737', None, 'Q000737', 'Q000379', 'Q000379', 'Q000276', 'Q000379', None, 'Q000737', 'Q000737', 'Q000737', 'Q000737', 'Q000379', 'Q000737', 'Q000737']","['immunology', None, 'chemistry', None, 'chemistry', 'methods', 'methods', 'immunology', 'methods', None, 'chemistry', 'chemistry', 'chemistry', 'chemistry', 'methods', 'chemistry', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/35169269,2022
35124380,"Maize and grass silages are important dietary components for ruminant livestock that influence the quality of animal products for human consumption, such as milk, in many parts of the world. Infection of plants by fungi able to produce mycotoxins, either in the field or post-harvest, can result in a decrease of silage nutritional quality and, consequently, in milk quality. In this study, 45 maize and grass silage samples were collected from 25 dairy farms located in the north of Portugal. The occurrence of fungi was evaluated in samples, the most frequently isolated species being Aspergillus fumigatus, Dipodascus geotrichum, Mucor circinelloides, Penicillium paneum, and Aspergillus flavus. The mycotoxigenic profile of the fungal species was studied using the ultra-high-performance liquid chromatography coupled to mass spectrometry-ion trap-time-of-flight (UHPLC-MS-IT-TOF) detection. In addition, a new method based on a QuEChERS extraction followed by the UHPLC- tandem mass spectrometry (UHPLC-MS/MS) detection was developed for simultaneous analysis of 39 mycotoxins in silage. A high co-occurrence of Fusarium mycotoxins was found, although at low levels of contamination. Deoxynivalenol and beauvericin were found in more than 82% of maize silage samples. It can be highlighted the low occurrence of Penicillium and Aspergillus toxins in the maize and grass silages studied despite the frequent detection of species of both genera.",International journal of food microbiology,"['D000818', 'D005506', 'D005658', 'D006801', 'D009183', 'D011174', 'D012820', 'D053719', 'D003313']","['Animals', 'Food Contamination', 'Fungi', 'Humans', 'Mycotoxins', 'Portugal', 'Silage', 'Tandem Mass Spectrometry', 'Zea mays']",Occurrence of mycotoxins and mycotoxigenic fungi in silage from the north of Portugal at feed-out.,"[None, 'Q000032', 'Q000235', None, 'Q000032', None, 'Q000032', None, None]","[None, 'analysis', 'genetics', None, 'analysis', None, 'analysis', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/35124380,2022
34944482,"Zein is a type of prolamin storage protein that has a variety of biomedical and industrial applications. Due to the considerable genetic variability and polyploidity of the starting material, as well as the extraction methods used, the characterization of the protein composition of zein requires a combination of different analytical processes. Therefore, we combined modern analytical methods such as mass spectrometry (MS), Sodium dodecyl sulfate polyacrylamide gel electrophoresis (SDS-PAGE), atomic force microscopy (AFM), or Fourier transform infrared spectroscopy-attenuated total reflectance (FTIR-ATR) for a better characterization of the extracted zein. In this study, we present an enhanced eco-friendly extraction method, including grinding and sieving corn seeds, for prolamins proteins using an ultrasonic extraction methodology. The use of an ultrasonic homogenizer, 65% ethanol extraction buffer, and 710 µm maize granulation yielded the highest protein extraction from all experimental conditions we employed. An SDS PAGE analysis of the extracted zein protein mainly revealed two intense bands of approximatively 20 and 23 kDa, suggesting that the extracted zein was mostly α-zein monomer. Additionally, MS analysis revealed as a main component the α-zein PMS2 (Uniprot accession no. P24450) type protein in the maize flour extract. Moreover, AFM studies show that extracting zein with a 65% ethanol and a 710 µm granulation yields a homogeneous content that could allow these proteins to be employed in future medical applications. This research leads to a better understanding of zeins content critical for developing new applications of zein in food and pharmaceutical industries, such as biocompatible medical vehicles based on polyplexes complex nanoparticles of zein with antimicrobial or drug delivery properties.",Biomolecules,"['D004591', 'D055772', 'D013058', 'D018625', 'D010940', 'D040901', 'D017550', 'D014465', 'D003313', 'D015028']","['Electrophoresis, Polyacrylamide Gel', 'Green Chemistry Technology', 'Mass Spectrometry', 'Microscopy, Atomic Force', 'Plant Proteins', 'Proteomics', 'Spectroscopy, Fourier Transform Infrared', 'Ultrasonics', 'Zea mays', 'Zein']",A Proteomic Approach to Identify Zein Proteins upon Eco-Friendly Ultrasound-Based Extraction.,"[None, None, None, None, 'Q000302', 'Q000379', None, None, 'Q000378', 'Q000302']","[None, None, None, None, 'isolation & purification', 'methods', None, None, 'metabolism', 'isolation & purification']",https://www.ncbi.nlm.nih.gov/pubmed/34944482,2022
34941708,"More still needs to be learned regards the relative contamination of heavy metals and pesticide residues, particularly those found in widely consumed Nigerian food crops like cereals, vegetables, and tubers. In this current study, the heavy metals and pesticide residues detectable in widely consumed Nigerian food crops were respectively quantified using atomic absorption spectroscopy (AAS) and gas chromatography (GC). Specifically, the widely consumed Nigerian food crops included cereals (rice, millet, and maize), legume (soybean), tubers (yam and cassava), as well as leaf (fluted pumpkin, ",Toxins,"['D002849', 'D018556', 'D005506', 'D019216', 'D009549', 'D010573', 'D013054']","['Chromatography, Gas', 'Crops, Agricultural', 'Food Contamination', 'Metals, Heavy', 'Nigeria', 'Pesticide Residues', 'Spectrophotometry, Atomic']",Quantification of Heavy Metals and Pesticide Residues in Widely Consumed Nigerian Food Crops Using Atomic Absorption Spectroscopy (AAS) and Gas Chromatography (GC).,"[None, 'Q000737', 'Q000032', 'Q000032', None, 'Q000032', None]","[None, 'chemistry', 'analysis', 'analysis', None, 'analysis', None]",https://www.ncbi.nlm.nih.gov/pubmed/34941708,2022
34822567,"Cereals represent a widely consumed food commodity that might be contaminated by mycotoxins, resulting not only in potential consumer health risks upon dietary exposure but also significant financial losses due to contaminated batch disposal. Thus, continuous improvement of the performance characteristics of methods to enable an effective monitoring of such contaminants in food supply is highly needed. In this study, an ultra-high-performance liquid chromatography coupled to a hybrid quadrupole orbitrap mass analyzer (UHPLC-q-Orbitrap MS) method was optimized and validated in wheat, maize and rye flour matrices. Nineteen analytes were monitored, including both regulated mycotoxins, e.g., ochratoxin A (OTA) or deoxynivalenol (DON), and non-regulated mycotoxins, such as ergot alkaloids (EAs), which are analytes that are expected to be regulated soon in the EU. Low limits of quantification (LOQ) at the part per trillion level were achieved as well as wide linear ranges (four orders of magnitude) and recovery rates within the 68-104% range. Overall, the developed method attained fit-for-purpose results and it highlights the applicability of high-resolution mass spectrometry (HRMS) detection in mycotoxin food analysis.",Toxins,"['D002851', 'D002523', 'D005433', 'D013058', 'D009183', 'D012434', 'D014908', 'D003313']","['Chromatography, High Pressure Liquid', 'Edible Grain', 'Flour', 'Mass Spectrometry', 'Mycotoxins', 'Secale', 'Triticum', 'Zea mays']",Regulated and Non-Regulated Mycotoxin Detection in Cereal Matrices Using an Ultra-High-Performance Liquid Chromatography High-Resolution Mass Spectrometry (UHPLC-HRMS) Method.,"['Q000295', 'Q000737', 'Q000032', 'Q000295', 'Q000032', 'Q000737', 'Q000737', 'Q000737']","['instrumentation', 'chemistry', 'analysis', 'instrumentation', 'analysis', 'chemistry', 'chemistry', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/34822567,2022
34822561,"The study examined 110 samples of baby products based on rice, wheat, maize and multi-grains available on the western Polish market in order to detect the level of deoxynivalenol (DON) by means of HPLC (high-performance liquid chromatography) with a fluorescence detector (HPLC-FLD). DON was detected in 9.09% of the infant food samples, with an average and maximum level of 107.8 ± 30 and 148 μg/kg, respectively. The highest concentration of DON was detected in food for infants: wheat-based (mean 121 ± 7.07, 4.8%), multi-grain (mean 118 ± 5.65, 4.25%) and maize-based (mean 100 ± 37.96; 35.30%). No high DON content and high estimated daily intake were observed in the analyzed products. However, in order to minimize the harmfulness associated with the presence of DON in food for infants and young children, a risk assessment should be performed based on the monitoring results.",Toxins,"['D002523', 'D005506', 'D005516', 'D006801', 'D007223', 'D007225', 'D007231', 'D011044', 'D014255']","['Edible Grain', 'Food Contamination', 'Food Microbiology', 'Humans', 'Infant', 'Infant Food', 'Infant, Newborn', 'Poland', 'Trichothecenes']",Natural Occurrence of Deoxynivalenol in Cereal-Based Baby Foods for Infants from Western Poland.,"['Q000382', 'Q000032', None, None, None, 'Q000032', None, None, 'Q000032']","['microbiology', 'analysis', None, None, None, 'analysis', None, None, 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/34822561,2022
34600685,"Food authenticity relies on genuineness and reliability according to the information displayed on the package. Since the 18th century, when coffee became popularized in the West, adulteration began. Several methods have been developed to detect different kinds of frauds and they have evolved as demands increased and new technologies were introduced. The evolution of the science of coffee authenticity control in the past three centuries is reviewed, focusing on the discrimination between coffee and other foods or between coffee and its by-products. The earliest chemical and physical methods are presented followed by methods developed in the 20th and 21st centuries using microscopy, chromatography and spectroscopy associated with advanced statistical tools, and DNA-based methods. In addition to non-food material, before the 20th century, chicory was the most studied food-adulterant. From the 20th century on, corn, coffee by-products, and barley were the most studied, followed by chicory, rice and other food items. Matrix effects seem to be among the most challenging problems in these approaches, associated with variations in roast degree, particle size (particularly in spectroscopy-based methods), and lack of control over reference samples regarding species and purity. Limits of detection vary considerably within each category, with most limits being too high for commercial use. DNA-based methods appear to be promising to assess coffee authenticity, given that the limits of detection and quantification are low, and specificity is higher than in other methods. Nevertheless, as roast intensity increases, the sensitivity of the method decreases. So far, most reported methods have not been validated and only a few have been tested on commercial brands, except for those involving microscopy which has been highly used for monitoring coffee authenticity although not always efficiently enough.","Food research international (Ottawa, Ont.)","['D003069', 'D005506', 'D005607', 'D015203', 'D003313']","['Coffee', 'Food Contamination', 'Fraud', 'Reproducibility of Results', 'Zea mays']",Three centuries on the science of coffee authenticity control.,"[None, 'Q000032', None, None, None]","[None, 'analysis', None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34600685,2021
