PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
35327266,"Kefalograviera is a well-known hard Greek cheese. The aim of this study was to determine how milk produced from ewes fed omega-3-enriched diets could influence the microbiota as well as the chemical composition of Kefalograviera cheese. At the start of the trial, 30 dairy ewes (Lesvos and Chios crossbreed) were selected and fed a conventional diet, based on alfalfa hay, straw and concentrate feed that contained soybean meal for a period of thirty days. Then, for a period of sixty days the same ewes were fed an omega-3-enriched concentrate feed with a lower level of soybean meal that contained 10% flaxseed and 10% lupins. Milk yield was collected individually on Days 30, 60 and 90 and used to produce three different batches of Kefalograviera cheeses, at the same cheese factory, by using a traditional recipe and identical preparation conditions (pasteurization of milk, salt, rennet and culture). Sample analysis was done after six months of Kefalograviera cheese ripening. MALDI-TOF-MS (matrix-assisted laser desorption/ionization time of flight mass spectrometry) identification was performed by contrasting the samples' mass spectra with the corresponding reference database. The correlation between the different Kefalograviera cheeses revealed the predominant species being ","Foods (Basel, Switzerland)",[],[],Impact of an Omega-3-Enriched Sheep Diet on the Microbiota and Chemical Composition of Kefalograviera Cheese.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35327266,2022
35304181,"The study aimed to investigate the potentially toxic trace elements (PTEs) Pb, Cd, Hg, Mo, and Cu in dairy products sold in Yerevan's markets and to assess the related exposure and possible health risks among the adult population residing in the capital city of Armenia, Yerevan. The PTEs contents were determined in widely consumed dairy products (pasteurized milk, sour cream, matsoun and cheese from cow milk) using graphite furnace atomic absorption spectrometry. PTE contents were in the range of 7.90E-04 (Pb in pasteurized milk) to 6.75E-01 (Cu in cheese) mg/kg. Food consumption was assessed by the 24-h dietary recall method. The PTE daily intakes and margin of exposure (MOE) were calculated by the deterministic approach. The results indicated potential health concerns for the contribution of dairy products to the overall dietary intake of Pb and Cd. MOEs of Pb and Cd (8.71 and 8.80, respectively) estimated for high consumers of cheese (90 g/day and more) were lower than 10. The pilot data set provides the first comprehensive appraisal on the dairy products contamination by PTEs in the Caucasus region. The results point out further attention to sources of Pb and Cd in Armenian dairy products, including environment and farm characteristics.",Food and chemical toxicology : an international journal published for the British Industrial Biological Research Association,[],[],"Risk assessment of potentially toxic trace elements via consumption of dairy products sold in the city of Yerevan, Armenia.",[],[],https://www.ncbi.nlm.nih.gov/pubmed/35304181,2022
35275370,"Lead (Pb) is a highly neurotoxic chemical element known for reducing intelligence quotient (IQ) and promoting antisocial behavior in children and adolescents, while cadmium (Cd) is a carcinogenic bioaccumulative element. Both these metals are included in the priority pollutant list of the United States Environmental Protection Agency and in the WHO List of Chemicals of Major Public Health Concern, where contaminated foods and beverages are the most common pathways of exposure. The objective of this study was to determine total Cd and Pb levels in colored plastic utensils (cups, mugs, bowls, feeding bottles, and plates) for use by children and to measure the specific migration of these elements into beverages and foods. Total contaminant levels were determined using a handheld X-ray fluorescence analyzer. Specific migration tests were conducted using the simulant solutions acetic acid 3% (m/v) and water. Migration levels were determined by ICP-MS. Specific migration tests for Pb were also performed on commercially available samples (cola soft drink, orange juice, vinegar, and milk), with levels determined by graphite-furnace atomic absorption spectrometry (GF-AAS). A total of 674 utensils were analyzed in loco at major commercial centers in Greater São Paulo, of which 87 were purchased for containing Cd and Pb concentrations above permitted limits. Mean concentrations of the metals detected in the purchased utensils were 1110 ppm for Pb and 338 ppm for Cd. For specific migration assays, Pb levels were 187, 13, and 380 times above the permitted limit (0.01 mg.kg -1) for acetic acid, water, and orange juice, respectively. Cd levels were 50 and 2.4 times above the maximum permitted limit (0.005 mg.kg -1) for acetic acid and water, respectively. The districts where the utensils were purchased were grouped according to their social vulnerability index and compared using ANOVA. Pb levels were different between low and medium/high social vulnerability groups (p = 0.006). The findings corroborate the initial hypothesis that these utensils constitute a major source of exposure to PTEs such as Cd and Pb, pointing to the need for stricter regulation and inspection by the Brazilian regulatory agencies.",Environmental science and pollution research international,[],[],Study of controlled migration of cadmium and lead into foods from plastic utensils for children.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35275370,2022
35237645,"Flaxseed supplementation in diet of dairy cow can effectively enhance the production of ω-3 polyunsaturated fatty acids (n-3 PUFA) in raw milk, which further give rise to the changes of volatile organic compounds (VOCs). In this study, we used headspace-gas chromatography-ion mobility spectrometry (HS-GC-IMS) to investigate the VOCs in milk from cows fed three different diets (CK: supplemented with 0 g/d flaxseed; WF: 1,500 g/d whole flaxseed and GF: 1,500 g/d ground flaxseed). A total of 40 VOCs including three acids, six esters, 11 aldehydes, seven alcohols, 13 ketones were identified in all the raw milk samples. Compared with GF supplementation, suppling with WF could influence more compounds in raw milk (GF: five compounds; WF: 22 compounds). Supplementation with WF could increase the concentration of nonanal, heptanal, hexanal, which could cause the occurrence of off-flavors, and reduce the concentration of hexanoic acid (monomer; M), 2-hexanol, ethanol (M), 2-heptanone (dimer; D), 2-pentanone (M), 2-pentanone (D), acetoin (M) in raw milk. GF supplementation in diet could reduce the 2-pentanone (M), 2-pentanone (D). In addition, principal component analysis (PCA) based on the signal intensity of identified VOCs indicated that it is possible to distinguish between the CK and WF milk. However, GF milk could not be distinguished from CK milk. The results demonstrate that compared with GF milk, WF supplementation in diet of dairy cows could increase fishy (heptanal) cardboard-like (pentanal) flavor in milk and decrease sweet (hexanoic acid, 2-heptanone), fruity (ethyl butanoate, ethyl hexanoate, 2-heptanone) flavor which may lead the milk less acceptable. In conclusion, compared with WF, GF supplementation in diet of dairy cow showed higher increase in n-3 PUFA in raw milk, and less influence in VOCs of raw milk and this study might provide theoretical supports for the production of milk rich in n-3 PUFA.",Frontiers in nutrition,[],[],Effect of Flaxseed Supplementation in Diet of Dairy Cow on the Volatile Organic Compounds of Raw Milk by HS-GC-IMS.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35237645,2022
35206115,"Obesity during pregnancy is a worrying public health problem worldwide. Maternal diet is critical for fatty acid (FA) placental transport and FA content in breast milk (BM). We evaluated FA composition in erythrocytes phospholipids (EP) and BM in pregnant women with (OBE, n = 30) and without (non-OBE, n = 31) obesity. Sixty-one healthy women were evaluated at their 20-24th gestational week and followed until 6th month of lactation. Diet was evaluated through a food frequency questionnaire. FA composition of EP and BM was assessed by gas-liquid chromatography. The OBE group showed lower diet quality, but total n-6 and n-3 polyunsaturated FA (PUFA), ALA, EPA, and DHA dietary intake was similar between groups. N-3 PUFA, ALA, DHA, and the n-6/n-3 PUFA ratio in EP were lower at the 6th lactation month in the OBE group. In BM, the arachidonic acid (AA) concentration was lower at the end of the lactation, and DHA content showed an earlier and constant decline in the OBE group compared to the non-OBE group. In conclusion, n-3 PUFA and AA and DHA levels were reduced in EP and BM in pregnant women with obesity. Strategies to increase n-3 PUFA are urgently needed during pregnancy and lactation, particularly in women with obesity.",International journal of environmental research and public health,"['D016718', 'D004912', 'D005260', 'D006801', 'D007774', 'D039382', 'D008895', 'D009765', 'D010743', 'D010920', 'D011247']","['Arachidonic Acid', 'Erythrocytes', 'Female', 'Humans', 'Lactation', 'Maternal Nutritional Physiological Phenomena', 'Milk, Human', 'Obesity', 'Phospholipids', 'Placenta', 'Pregnancy']",Reduced n-3 and n-6 PUFA (DHA and AA) Concentrations in Breast Milk and Erythrocytes Phospholipids during Pregnancy and Lactation in Women with Obesity.,"[None, 'Q000737', None, None, None, None, 'Q000737', None, 'Q000032', None, None]","[None, 'chemistry', None, None, None, None, 'chemistry', None, 'analysis', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/35206115,2022
35201367,"The design and production of incurred test materials are critical for the development and validation of methods for food allergen analysis. This is because production and processing conditions, together with the food matrix, can modify allergens affecting their structure, extractability and detectability. For the ThRAll project, which aims to develop a mass spectrometry-based reference method for the simultaneous accurate quantification of six allergenic ingredients in two hard to analyse matrices. Two highly processed matrices, chocolate bars and broth powder, were selected to incur with six allergenic ingredients (egg, milk, peanut, soy, hazelnut and almond) at 2, 4, 10 and 40 mg total allergenic protein/kg food matrix using a pilot-scale food manufacturing plant. The allergenic activity of the ingredients incurred was verified using food-allergic patient serum/plasma IgE, the homogeneity of the incurred matrices verified and their stability at 4 °C assessed over at least 30-month storage using appropriate enzyme-linked immunosorbent assays (ELISA). Allergens were found at all levels from the chocolate bar and were homogenously distributed, apart from peanut and soy which could only be determined above 4 mg total allergenic ingredient protein/kg. The homogeneity assessment was restricted to analysis of soy, milk and peanut for the broth powder but nevertheless demonstrated that the allergens were homogeneously distributed. All the allergens tested were found to be stable in the incurred matrices for at least 30 months demonstrating they are suitable for method development.",Analytical and bioanalytical chemistry,[],[],Development of incurred chocolate bars and broth powder with six fully characterised food allergens as test materials for food allergen analysis.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35201367,2022
35171914,"Studies comparing methodologies for fatty acids are very important, since they can influence the quality and final quantification of the lipid fraction. Objective-to compare different extraction methods for total lipids and to evaluate the effect of these methodologies on the quantitative composition of fatty acids in milk of lactating ewes raised in tropical pastures. The methodologies used were simple direct transesterification, using the HPLC grade organic solvent n-hexane, Bligh; Dyer (cold extraction, extracting mixture proportions 5, 10, and 15 mL in a ratio of 2:1:1 (v/v/v) of chloroform-methanol-water). The fatty acid methyl esters were separated by gas chromatography coupled with a flame ionization detector (GC-FID). The results show that there was no significant difference (p <0.05) in the total lipid content between the extraction methods. However, the Bligh's method; Dyer obtained the best yield of lipids to be extracted from ewe's milk, since the volume with 15 mL of the extraction solution was able to identify 87% of the chromatographic peaks. It was also observed that ewe's milk has a higher percentage of palmitic, stearic and oleic fatty acids, with percentages of 20.1%, 15.5% and 33.1%, respectively. Therefore, an extraction mixture with a volume of 15 mL used in this study may be an alternative to perform the extraction of milk fat from high lactating ewes in tropical pastures as a routine method, as it expresses the best lipid content of this food.",PloS one,"['D000818', 'D002851', 'D004951', 'D005227', 'D005260', 'D007774', 'D008892', 'D012756', 'D012997', 'D014867']","['Animals', 'Chromatography, High Pressure Liquid', 'Esterification', 'Fatty Acids', 'Female', 'Lactation', 'Milk', 'Sheep', 'Solvents', 'Water']",Comparison of analytical methods for the fatty acid profile in ewes' milk.,"[None, None, None, 'Q000032', None, None, 'Q000737', None, 'Q000737', 'Q000737']","[None, None, None, 'analysis', None, None, 'chemistry', None, 'chemistry', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/35171914,2022
35131548,"Four notorious carcinogens polycyclic aromatic hydrocarbons (benzo[a]pyrene, benz[a]anthracene, chrysene, and benzo[b]fluoranthene), were collectively referred to as PAH4 in food. Three-way fluorescence spectrometry coupled with second-order calibration was first used to detect PAH4 in milks and vegetable oils in this study. The quantitative analysis model of PAH4 based on alternating trilinear decomposition (ATLD) method was established. The feasibilities of parallel factor analysis (PARAFAC) and ATLD were validated and compared. PARAFAC obtained the best LOD at 0.25-0.65 μg L",Food chemistry,"['D000818', 'D001564', 'D008892', 'D010938', 'D011084', 'D013050']","['Animals', 'Benzo(a)pyrene', 'Milk', 'Plant Oils', 'Polycyclic Aromatic Hydrocarbons', 'Spectrometry, Fluorescence']","Time-saving and accurate analysis of BaP, BaA, Chr and BbF in milks and oils by three-way fluorescence spectrometry.","[None, 'Q000032', 'Q000737', 'Q000737', 'Q000032', None]","[None, 'analysis', 'chemistry', 'chemistry', 'analysis', None]",https://www.ncbi.nlm.nih.gov/pubmed/35131548,2022
35124380,"Maize and grass silages are important dietary components for ruminant livestock that influence the quality of animal products for human consumption, such as milk, in many parts of the world. Infection of plants by fungi able to produce mycotoxins, either in the field or post-harvest, can result in a decrease of silage nutritional quality and, consequently, in milk quality. In this study, 45 maize and grass silage samples were collected from 25 dairy farms located in the north of Portugal. The occurrence of fungi was evaluated in samples, the most frequently isolated species being Aspergillus fumigatus, Dipodascus geotrichum, Mucor circinelloides, Penicillium paneum, and Aspergillus flavus. The mycotoxigenic profile of the fungal species was studied using the ultra-high-performance liquid chromatography coupled to mass spectrometry-ion trap-time-of-flight (UHPLC-MS-IT-TOF) detection. In addition, a new method based on a QuEChERS extraction followed by the UHPLC- tandem mass spectrometry (UHPLC-MS/MS) detection was developed for simultaneous analysis of 39 mycotoxins in silage. A high co-occurrence of Fusarium mycotoxins was found, although at low levels of contamination. Deoxynivalenol and beauvericin were found in more than 82% of maize silage samples. It can be highlighted the low occurrence of Penicillium and Aspergillus toxins in the maize and grass silages studied despite the frequent detection of species of both genera.",International journal of food microbiology,"['D000818', 'D005506', 'D005658', 'D006801', 'D009183', 'D011174', 'D012820', 'D053719', 'D003313']","['Animals', 'Food Contamination', 'Fungi', 'Humans', 'Mycotoxins', 'Portugal', 'Silage', 'Tandem Mass Spectrometry', 'Zea mays']",Occurrence of mycotoxins and mycotoxigenic fungi in silage from the north of Portugal at feed-out.,"[None, 'Q000032', 'Q000235', None, 'Q000032', None, 'Q000032', None, None]","[None, 'analysis', 'genetics', None, 'analysis', None, 'analysis', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/35124380,2022
35072106,"Post-translational modification structure of food's proteins might be changed during processing, thereby affecting the nutritional characteristics of the food product. In this study, differences in protein N-glycosylation patterns between milk and yogurt were quantitatively compared based on glycopeptide enrichment, liquid chromatography separation, and tandem mass spectrometry analysis. A total of 181 N-glycosites were identified, among which 142 were quantified in milk and yogurt. Significant alterations in the abundance of 13 of these N-glycosites were evident after the fermentation of milk into yogurt. Overall, the N-glycosylation status of the majority of milk proteins remained relatively unchanged in yogurt, suggesting that their conformations, activities, and functions were maintained despite the fermentation process. Among the main milk proteins, N",Current research in food science,[],[],Quantitative N-glycoproteome analysis of bovine milk and yogurt.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35072106,2022
