PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
34985214,"Chlorpropham is a plant growth regulator and a herbicide. It is commonly used in the post-harvest treatment of potato to inhibit germination. It can also be used for flower thinning and fruit thinning of fruit trees, and for controlling annual gramineous weeds and a few broad-leaved weeds. Improper or excessive use of chlorpropham in crop cultivation will affect the safety of animal-derived food and impair human health through the food chain and water cycle. Therefore, accurate quantification of chlorpropham is imperative for risk assessment and mitigating risks to food safety. A method based on solid phase extraction and ultra-high performance liquid chromatography-tandem mass spectrometry (SPE-UHPLC-MS/MS) was established for the determination of chlorpropham in animal-derived food. First, the pretreatment conditions were optimized. To purify the samples and remove impurities, SPE column cartridges with different packing materials such as PXC, PXA, Florisil, and PLS were investigated. Based on the retention of chlorpropham, the ProElut PLS SPE column was selected as the pretreatment purification column. The washing solution and eluents were then optimized. When water was used as the washing solution, chlorpropham remained adsorbed on the SPE column and was not eluted along with other water-soluble substances. When the proportion of acetonitrile exceeded 40%, chlorpropham adsorbed on the filler of the SPE column could be gradually washed down. Acetonitrile-water solution(30∶70, v/v) was used for washing the SPE column. The elution ability of seven eluents for chlorpropham on the SPE column was then investigated. Among them, pure methanol, pure acetonitrile, and 1% (v/v) formic acid-methanol showed better elution effect. Considering that acetonitrile was used in the sample extraction, it was chosen as the mobile phase eluent. Subsequently, the chromatographic conditions and MS parameters were optimized. By examining the ionization cracking of chlorpropham, the quasimolecular ions and corresponding fragmentations in the chlorpropham primary MS were determined. The separation effect of three C18 columns was investigated. Based on the retention ability and peak effect of chlorpropham on the column, the Agilent ZORBAX SB-C18 (150 mm×2.1 mm, 5 μm) column was used for chlorpropham separation. The response of chlorpropham in the positive and negative ionization modes was investigated and optimized. The results showed that the response was better in the positive ion mode than that in the negative ion mode. After optimizing the chromatographic conditions and MS parameters, the sensitivity of the method was improved. Finally, the analytes were separated on the Agilent ZORBAX SB-C18 (150 mm×2.1 mm, 5 μm) under a gradient elution program using acetonitrile and 0.2% (v/v) formic acid aqueous solution as the mobile phases. The analytes were detected in the multiple reaction monitoring (MRM) mode under positive electrospray ionization (ESI",Se pu = Chinese journal of chromatography,"['D000818', 'D002417', 'D002748', 'D002851', 'D006801', 'D008892', 'D052616', 'D053719']","['Animals', 'Cattle', 'Chlorpropham', 'Chromatography, High Pressure Liquid', 'Humans', 'Milk', 'Solid Phase Extraction', 'Tandem Mass Spectrometry']",[Determination of chlorpropham residues in animal-derived foods by solid phase extraction and ultra-high performance liquid chromatography-tandem mass spectrometry].,"[None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34985214,2022
33669610,"Maternal status of essential and toxic elements affects the health of the mother, developing fetus, or breastfeeding infant. However, few studies have examined the patterns of these elements and their determinants in pregnant or lactating women. Plasma samples of 1211 healthy mid-pregnant, late pregnant, and lactating women enrolled in coastland, lakeland, and inland areas of China from May-July 2014, were analyzed for concentrations of 15 elements, using inductively coupled plasma mass spectrometry. The adjusted median concentrations of elements varied by physiologic stage and region. Lactating versus pregnant women showed higher concentrations of Zn, Cr, Mo, Ni, Sb, Cd and Pb, but lower concentrations of Cu, I, Al and Hg. In pregnant women, the concentrations of Fe, Zn, I, Mo, Ni, Al, Hg and Cd were higher in mid- versus late-pregnancy. Overall, the highest concentrations were observed in Zn, I, Mn, Al, and Pb in coastland, in Hg in lakeland, and in Fe in inland area. Element concentrations varied by maternal age, pre-pregnancy BMI, education, parity, delivery mode, feeding practice, and intakes of aquatic products and mutton. In conclusion, essential and toxic elements coexisted in pregnant and lactating women, and their concentrations varied by physiologic stages, regions, maternal socio-demographic characteristics and dietary factors.",Nutrients,"['D000293', 'D000328', 'D001942', 'D002681', 'D003430', 'D004032', 'D004781', 'D005260', 'D005865', 'D006801', 'D007774', 'D007854', 'D008460', 'D008628', 'D019216', 'D009751', 'D011247', 'D017747', 'D012959', 'D014131', 'D055815']","['Adolescent', 'Adult', 'Breast Feeding', 'China', 'Cross-Sectional Studies', 'Diet', 'Environmental Exposure', 'Female', 'Gestational Age', 'Humans', 'Lactation', 'Lead', 'Meat', 'Mercury', 'Metals, Heavy', 'Nutritional Requirements', 'Pregnancy', 'Seafood', 'Socioeconomic Factors', 'Trace Elements', 'Young Adult']","Patterns and Determinants of Essential and Toxic Elements in Chinese Women at Mid-Pregnancy, Late Pregnancy, and Lactation.","[None, None, None, None, None, None, None, None, None, None, 'Q000097', 'Q000097', None, 'Q000097', 'Q000097', None, None, None, None, 'Q000097', None]","[None, None, None, None, None, None, None, None, None, None, 'blood', 'blood', None, 'blood', 'blood', None, None, None, None, 'blood', None]",https://www.ncbi.nlm.nih.gov/pubmed/33669610,2021
33598948,"As a persistent organic pollutant, pentachlorophenol (PCP) has serious impacts on human health. However, its presence in animal source food products sold in the Guangdong Province (GD) of China, and the resultant dietary exposure have not been elucidated. To address this gap, 3,100 samples from seven food categories, including beef, pork, mutton, offals, broilers, hen eggs, and farmed freshwater fish, marketed throughout four geographical regions of GD, were collected from 2015 to 2018. Gas chromatography coupled with mass spectrometry was employed to detect PCP levels in these food matrices. PCP was found in all food categories, but the average contamination levels were low, ranging from 0.40 µg/kg wet weight (ww) (hen eggs) to 5.85 µg/kg ww (offals). However, higher concentrations of PCP were detected (P < 0.05) in animal source food from the North region. Additionally, a temporal declining trend was observed in this four-year consecutive survey. The estimated human dietary exposure of PCP to population groups, including the general population and subgroups (male and female, children, and adults), was found to be far below the permissible daily intake (3 µg/kg body weight). Therefore, the health impacts of PCP should be correspondingly low for local residents, based on current toxicological knowledge. Regional exposure patterns varied due to different extents of contamination in the four areas, and pork, broilers, and freshwater fish were the major sources of dietary PCP exposure. PRACTICAL APPLICATION: As a persistent organic pollutant, pentachlorophenol (PCP) has serious impacts on human health. However, its presence in animal source food products sold in Guangdong Province of China, and the resultant dietary exposure have not been elucidated. In this study, we conducted an in-depth investigation on the occurrence of PCP in major foodstuff categories, including beef, pork, mutton, broilers, offals, hen eggs, and farmed freshwater fish, marketed in all 21 prefecture-level divisions of Guangdong Province, in order to provide integral insights for regulatory authorities.",Journal of food science,"['D000328', 'D000818', 'D002648', 'D002681', 'D000074341', 'D005260', 'D005399', 'D005504', 'D005506', 'D006801', 'D058751', 'D008297', 'D008460', 'D010416', 'D011200', 'D018570']","['Adult', 'Animals', 'Child', 'China', 'Dietary Exposure', 'Female', 'Fishes', 'Food Analysis', 'Food Contamination', 'Humans', 'Livestock', 'Male', 'Meat', 'Pentachlorophenol', 'Poultry', 'Risk Assessment']","Occurrence and dietary exposure assessment of pentachlorophenol in livestock, poultry, and aquatic foods marketed in Guangdong Province, China: Based on food monitoring data from 2015 to 2018.","[None, None, None, None, 'Q000009', None, 'Q000378', None, 'Q000032', None, 'Q000378', None, 'Q000032', 'Q000009', 'Q000378', 'Q000379']","[None, None, None, None, 'adverse effects', None, 'metabolism', None, 'analysis', None, 'metabolism', None, 'analysis', 'adverse effects', 'metabolism', 'methods']",https://www.ncbi.nlm.nih.gov/pubmed/33598948,2021
33501830,"It is commonly known that the widespread use of antibiotics has led to their existence in food products as residues and ingestion of these food products may create a selection pressure on bacteria inhabiting the human body. In this study, an optimized method for the analysis of antibiotic residues in different food groups, including cereals, meat, eggs, milk, vegetables, and fruits, was developed using solvent extraction, solid-phase extraction cleanup, and liquid chromatography-mass spectrometry (LC-MS/MS). The limits of detection (LODs) were achieved as 0.007-1.1, 0.008-0.46, 0.002-0.67, 0.007-0.63, 0.001-0.098, and 0.005-0.26 ng/g in ng/g in cereals, meat, eggs, milk, vegetables, and fruits, respectively. The overall average recoveries at three spiking levels of the 81 antibiotics (5, 25, and 50 ng/g dry weight) were 82 ± 26, 77 ± 26, 70 ± 34, 69 ± 31, 73 ± 29, and 62 ± 37% in cereals, meat, eggs, milk, vegetables, and fruits, respectively. The method was then applied to the analysis of the targets in the collected wheat flour, mutton, chicken egg, boxed milk, cabbage, and banana samples, with the total concentration of the antibiotics detected being 4.4, 2.3, 36, 5.5, 2.7, and 14 ng/g, respectively. This work suggests that the developed method provides a time- and cost-effective method to identify and quantify antibiotic residues in common food products.",Journal of agricultural and food chemistry,"['D000818', 'D000900', 'D002417', 'D002645', 'D002851', 'D004350', 'D004531', 'D005433', 'D005506', 'D005638', 'D057230', 'D008460', 'D008892', 'D052616', 'D053719', 'D014908', 'D014675']","['Animals', 'Anti-Bacterial Agents', 'Cattle', 'Chickens', 'Chromatography, High Pressure Liquid', 'Drug Residues', 'Eggs', 'Flour', 'Food Contamination', 'Fruit', 'Limit of Detection', 'Meat', 'Milk', 'Solid Phase Extraction', 'Tandem Mass Spectrometry', 'Triticum', 'Vegetables']",Trace Analysis of Multiclass Antibiotics in Food Products by Liquid Chromatography-Tandem Mass Spectrometry: Method Development.,"[None, 'Q000737', None, None, 'Q000379', 'Q000737', 'Q000032', 'Q000032', 'Q000032', 'Q000737', None, 'Q000032', 'Q000737', None, 'Q000379', 'Q000737', 'Q000737']","[None, 'chemistry', None, None, 'methods', 'chemistry', 'analysis', 'analysis', 'analysis', 'chemistry', None, 'analysis', 'chemistry', None, 'methods', 'chemistry', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/33501830,2021
33352404,"Dietary fats may affect blood lipid levels and the development of cardiovascular diseases. Offal, may contribute to food security in marginalised communities and information on the contribution to dietary fat intake is needed to inform dietary guidelines and recommendations and consumers. This study aimed to describe the fatty acid profile, cholesterol content and indexes of lipid quality. The fatty acid profile and cholesterol were determined by gas chromatography coupled with flame ionisation detection (GC-FID). To evaluate lipid quality the indices of atherogenicity (IA) and thrombogenicity (IT) were calculated. Offal products can contribute beneficial fatty acids to the diet, not only in terms of essential fatty acids such as linoleic (C18:2n-6) and alpha linolenic (C18:3n-3) acids, but also the polyunsaturated fatty acids, arachidonic (C20:4n-6) and eicosapentaenoic (C20:5n3) acids. The offal studied in the present work showed a P/S ratio of 0.04-0.12 and the n-6/n-3 ratio varied between 3.9 and 12.5.",Food chemistry,"['D000818', 'D050197', 'D002784', 'D002849', 'D004041', 'D006801', 'D000069466', 'D012756', 'D013927']","['Animals', 'Atherosclerosis', 'Cholesterol', 'Chromatography, Gas', 'Dietary Fats', 'Humans', 'Red Meat', 'Sheep', 'Thrombosis']","Cholesterol, fatty acids profile and the indices of atherogenicity and thrombogenicity of raw lamb and mutton offal.","[None, 'Q000209', 'Q000032', None, 'Q000032', None, 'Q000009', None, 'Q000209']","[None, 'etiology', 'analysis', None, 'analysis', None, 'adverse effects', None, 'etiology']",https://www.ncbi.nlm.nih.gov/pubmed/33352404,2021
32852087,"Methenolone, an anabolic androgenic steroid, has been applied to improve the quality and protein content of meat in animal husbandry. However, the usage of methenolone in sports is banned for its doping effects. Several methods have been reported to monitor the content of methenolone in serum and urine samples, but a highly sensitive detection system has not been developed for the determination of methenolone in animal source food due to its constituent complexity. In this study, a novel detection system was developed to quantify the contents of both free and conjugated methenolone in animal source food including pork, beef, mutton, milk, and eggs by using high-performance liquid chromatography-tandem mass spectrometry (HPLC-MS/MS) coupled with delicate pretreatment procedures. The conjugated methenolone in the above food samples was released by dual enzyme digestion, and the total methenolone was extracted by 1% formic acid in acetonitrile, followed by the purification using a PRiME HLB column or QuEChERS (Quick, Easy, Cheap, Effective, Rugged, and Safe) salt. The compound d",Drug testing and analysis,"['D045930', 'D000818', 'D002417', 'D002851', 'D005504', 'D005506', 'D057230', 'D008460', 'D008710', 'D008892', 'D013552', 'D053719']","['Anabolic Agents', 'Animals', 'Cattle', 'Chromatography, High Pressure Liquid', 'Food Analysis', 'Food Contamination', 'Limit of Detection', 'Meat', 'Methenolone', 'Milk', 'Swine', 'Tandem Mass Spectrometry']",Quantitative analysis of total methenolone in animal source food by liquid chromatography-tandem mass spectrometry.,"['Q000032', None, None, 'Q000379', 'Q000379', 'Q000032', None, 'Q000032', 'Q000032', 'Q000737', None, 'Q000379']","['analysis', None, None, 'methods', 'methods', 'analysis', None, 'analysis', 'analysis', 'chemistry', None, 'methods']",https://www.ncbi.nlm.nih.gov/pubmed/32852087,2021
34213171,A method for the determination of chlormequat chloride (CCC) residues in animal derived foods by high performance liquid chromatography-tandem mass spectrometry (HPLC-MS/MS) was developed. The samples were extracted with acetonitrile containing 1% (v/v) acetic acid and defatted with ,Se pu = Chinese journal of chromatography,"['D000818', 'D002716', 'D002851', 'D004531', 'D005504', 'D008892', 'D000069466', 'D015203', 'D052616', 'D053719']","['Animals', 'Chlormequat', 'Chromatography, High Pressure Liquid', 'Eggs', 'Food Analysis', 'Milk', 'Red Meat', 'Reproducibility of Results', 'Solid Phase Extraction', 'Tandem Mass Spectrometry']",[Determination of chlormequat chloride residues in animal derived foods by high performance liquid chromatography-tandem mass spectrometry].,"[None, 'Q000032', None, 'Q000032', None, None, 'Q000032', None, None, None]","[None, 'analysis', None, 'analysis', None, None, 'analysis', None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34213171,2021
27848091,"The estimated daily intakes (EDIs) of six trace elements (Cu, Zn, Pb, Cd, Hg, and As) in vegetables (leafy vegetable, i.e., bok choy, fruit vegetables, i.e., cucumber and tomato, and other categories, i.e., mushroom, kidney bean, and potato), cereals (rice and wheat flour), and meats (pork, mutton, and beef) most commonly consumed by adult inhabitants of Qiqihar, Northeastern China, were determined to assess the health status of local people. The average EDIs of Cu, Zn, Pb, Cd, Hg, and As were with 20.77 μg (kg bw)",Environmental geochemistry and health,"['D001151', 'D015415', 'D002681', 'D000074341', 'D005506', 'D006197', 'D006801', 'D013058', 'D019216', 'D000075485', 'D018570']","['Arsenic', 'Biomarkers', 'China', 'Dietary Exposure', 'Food Contamination', 'Hair', 'Humans', 'Mass Spectrometry', 'Metals, Heavy', 'Population Health', 'Risk Assessment']","Population health risk via dietary exposure to trace elements (Cu, Zn, Pb, Cd, Hg, and As) in Qiqihar, Northeastern China.","['Q000032', 'Q000032', None, None, 'Q000032', 'Q000737', None, 'Q000379', 'Q000032', None, None]","['analysis', 'analysis', None, None, 'analysis', 'chemistry', None, 'methods', 'analysis', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/27848091,2018
24985383,To investigate the levels of organophosphorus pesticides (OPPs) in animal foods and to assess the diet exposure risk of OPPs to Chinese population.,Zhonghua yu fang yi xue za zhi [Chinese journal of preventive medicine],"['D000821', 'D000818', 'D002417', 'D002681', 'D002849', 'D004032', 'D004531', 'D005502', 'D005506', 'D008460', 'D008892', 'D009943', 'D009946', 'D010573', 'D010575', 'D012756', 'D013552']","['Animal Feed', 'Animals', 'Cattle', 'China', 'Chromatography, Gas', 'Diet', 'Eggs', 'Food', 'Food Contamination', 'Meat', 'Milk', 'Organophosphorus Compounds', 'Organothiophosphorus Compounds', 'Pesticide Residues', 'Pesticides', 'Sheep', 'Swine']",[Ocuurence of organophosphorus pesticides in animal foods and their diet exposure assessment].,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/24985383,2015
24779929,"Trace elements and heavy metals were determined in poultry and livestock meat by inductively coupled plasma mass spectrometry after graphite block digestion. Samples were collected from markets in Taiwan and included beef (20), mutton (20), pork (30), chicken (30), duck (10) and goose (10). Mean concentrations of Mn, Co, As, Se, Mo, Cd, Sb and Pb in meat samples were 0.106-0.365 μg/g, 0.002-0.033 μg/g, 0.005-0.035 μg/g, 0.108-0.349 μg/g, 0.029-0.140 μg/g, <0.002-0.003 μg/g, <0.002-0.004 μg/g and 0.009-0.046 μg/g, respectively. Arsenic concentrations in both pork and chicken were higher than in other meat. Lead concentrations were higher in duck. Risk assessment from these data did not indicate harm for public health.","Food additives & contaminants. Part B, Surveillance","['D000818', 'D002417', 'D005504', 'D005506', 'D008460', 'D019216', 'D011200', 'D012756', 'D013552', 'D014131']","['Animals', 'Cattle', 'Food Analysis', 'Food Contamination', 'Meat', 'Metals, Heavy', 'Poultry', 'Sheep', 'Swine', 'Trace Elements']",Trace elements and heavy metals in poultry and livestock meat in Taiwan.,"[None, None, None, 'Q000032', 'Q000032', 'Q000737', None, None, None, 'Q000737']","[None, None, None, 'analysis', 'analysis', 'chemistry', None, None, None, 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/24779929,2014
