PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
34437418,"Two methods for measuring ochratoxin A in corn, oat, and grape juice were developed and compared. Flow injection (FI) and on-line liquid chromatography (LC) performances were evaluated separately, with both methods using a triple quadrupole tandem mass spectrometer (MS/MS) for quantitation. Samples were fortified with ",Toxins,"['D018554', 'D002853', 'D005433', 'D005506', 'D000067030', 'D009793', 'D053719', 'D014908', 'D003313']","['Avena', 'Chromatography, Liquid', 'Flour', 'Food Contamination', 'Fruit and Vegetable Juices', 'Ochratoxins', 'Tandem Mass Spectrometry', 'Triticum', 'Zea mays']",Comparison of Flow Injection-MS/MS and LC-MS/MS for the Determination of Ochratoxin A.,"['Q000737', 'Q000379', 'Q000032', 'Q000032', 'Q000032', 'Q000032', 'Q000379', None, 'Q000737']","['chemistry', 'methods', 'analysis', 'analysis', 'analysis', 'analysis', 'methods', None, 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/34437418,2022
34330195,Although the common oat (,"Food additives & contaminants. Part A, Chemistry, analysis, control, exposure & risk assessment","['D018554', 'D002853', 'D005504', 'D005506', 'D005511', 'D006801', 'D009183', 'D053719', 'D013997']","['Avena', 'Chromatography, Liquid', 'Food Analysis', 'Food Contamination', 'Food Handling', 'Humans', 'Mycotoxins', 'Tandem Mass Spectrometry', 'Time Factors']",Survey of mycotoxins in milling oats dedicated for food purposes between 2013 and 2019 by LC-MS/MS.,"['Q000737', None, 'Q000379', None, None, None, 'Q000737', None, None]","['chemistry', None, 'methods', None, None, None, 'chemistry', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34330195,2022
34207051,"An ultra-high performance liquid chromatography coupled to tandem mass spectrometry method is proposed for the determination of the major ergot alkaloids (ergometrine, ergosine, ergotamine, ergocornine, ergokryptine, ergocristine) and their epimers (ergometrinine, ergosinine, ergotaminine, ergocorninine, ergokryptinine, and ergocristinine) in oat-based foods and food supplements. A modified QuEChERS (quick, easy, cheap, effective, rugged, and safe) procedure was applied as sample treatment, reducing the consumption of organic solvent and increasing sensitivity. This method involved an extraction with acetonitrile and ammonium carbonate (85:15, ","Molecules (Basel, Switzerland)","['D018554', 'D002254', 'D002851', 'D004873', 'D004874', 'D004876', 'D004879', 'D005506', 'D055951', 'D052616', 'D053719']","['Avena', 'Carbonates', 'Chromatography, High Pressure Liquid', 'Ergolines', 'Ergonovine', 'Ergot Alkaloids', 'Ergotamines', 'Food Contamination', 'Functional Food', 'Solid Phase Extraction', 'Tandem Mass Spectrometry']",Determination of the Main Ergot Alkaloids and Their Epimers in Oat-Based Functional Foods by Ultra-High Performance Liquid Chromatography Tandem Mass Spectrometry.,"['Q000737', 'Q000737', 'Q000379', 'Q000737', 'Q000737', 'Q000737', 'Q000737', 'Q000032', 'Q000032', 'Q000379', 'Q000379']","['chemistry', 'chemistry', 'methods', 'chemistry', 'chemistry', 'chemistry', 'chemistry', 'analysis', 'analysis', 'methods', 'methods']",https://www.ncbi.nlm.nih.gov/pubmed/34207051,2021
33799237,"Oats (Avena sativa L.) are a healthy food, being high in dietary fibre (e.g. β-glucans), antioxidants, minerals, and vitamins. Understanding the effect of variety and crop management on nutritional quality is important. The response of four oat varieties to increased nitrogen levels was investigated across multiple locations and years with respect to yield, grain quality and metabolites (assessed via GC- and LC- MS). A novel high-resolution UHPLC-PDA-MS/MS method was developed, providing improved metabolite enrichment, resolution, and identification. The combined phenotyping approach revealed that, amino acid levels were increased by nitrogen supplementation, as were total protein and nitrogen containing lipid levels, whereas health-beneficial avenanthramides were decreased. Although nitrogen addition significantly increased grain yield and β-glucan content, supporting increasing the total nitrogen levels recommended within agricultural guidelines, oat varietal choice as well as negative impacts upon health beneficial secondary metabolites and the environmental burdens associated with nitrogen fertilisation, require further consideration.",Food chemistry,"['D000975', 'D018554', 'D002851', 'D016002', 'D002523', 'D008401', 'D055442', 'D009584', 'D009753', 'D010641', 'D053719', 'D047071']","['Antioxidants', 'Avena', 'Chromatography, High Pressure Liquid', 'Discriminant Analysis', 'Edible Grain', 'Gas Chromatography-Mass Spectrometry', 'Metabolome', 'Nitrogen', 'Nutritive Value', 'Phenotype', 'Tandem Mass Spectrometry', 'beta-Glucans']",Assessing the impact of nitrogen supplementation in oats across multiple growth locations and years with targeted phenotyping and high-resolution metabolite profiling approaches.,"['Q000737', 'Q000254', None, None, 'Q000737', None, None, 'Q000008', None, None, 'Q000379', 'Q000032']","['chemistry', 'growth & development', None, None, 'chemistry', None, None, 'administration & dosage', None, None, 'methods', 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/33799237,2021
33545578,"An analytical approach using high-performance liquid chromatography-tandem mass spectrometry (LC-MS/MS) was developed to simultaneously detect Fagopyrum esculentum Moench (buckwheat) and cereals containing gluten (Triticum species including wheat and spelt, rye, barley, and oats) that were specified in regulations for food allergen labeling on processed foods. Trypsin-digested peptides were purified from different processed food commodities and heptapeptides derived from buckwheat 13S globulin (GFIVQAR, m/z 395.8 [precursor] > 177.0 [product]) and Triticum low molecular weight glutenin (QIPEQSR, m/z 429.3 [precursor] > 616.2 [product]) were specifically detected each species at levels as low as 0.050-0.056 µg/L and 0.028-0.032 µg/L, respectively. Detection of these synthetic peptides was quantitative to over 100 µg/L by reference to the synthetic peptide calibration curves and at recovery rates, 76.6 ± 4.1%-104.8 ± 17.1% and 82.4 ± 2.0%-105.8 ± 5.3%, for GFIVQAR and QIPEQSR, respectively, when 1-1,000 µg of these peptides were spiked into a retort tomato sauce for pasta or dried instant soup. In combination with LC-MS/MS detection methods specific to other cereals containing gluten (rye, barley, and oats), the developed analytical approach was applicable to a wide variety of processed food commodities for food allergen labeling.",Journal of chromatography. A,"['D000485', 'D002851', 'D002523', 'D005504', 'D005512', 'D010455', 'D053719']","['Allergens', 'Chromatography, High Pressure Liquid', 'Edible Grain', 'Food Analysis', 'Food Hypersensitivity', 'Peptides', 'Tandem Mass Spectrometry']",Development of a simple and reliable high-performance liquid chromatography-tandem mass spectrometry approach to simultaneously detect grains specified in food allergen labeling regulation on processed food commodities.,"['Q000032', None, 'Q000737', None, 'Q000175', 'Q000032', 'Q000379']","['analysis', None, 'chemistry', None, 'diagnosis', 'analysis', 'methods']",https://www.ncbi.nlm.nih.gov/pubmed/33545578,2021
33514480,"While analytical methods targeting specific compounds are critical for food safety, analytes excluded from the targeted list will not be identified. Non-targeted analyses (NTA) using LC/HR-MS complement these approaches by producing information-rich data sets where molecular formula can be generated for each detected compound; however, data mining can be labor intensive. Thus, we examined different NTA approaches to reduce the number of compounds needing further investigation, without relying on a suspect list or MS/MS database, both in single ingredient foods (i.e., oats) and more complex, oat-containing samples. We investigated inherent sample variability and utilized this information to build in-house databases for removing food compounds from sample data. While food databases were useful for data reduction, differential analysis was the most promising approach for single ingredient foods because it substantially reduced the number of features while retaining spiked QC compounds; however, a combination of approaches was necessary with greater sample complexity.",Food chemistry,"['D018554', 'D002853', 'D016208', 'D002523', 'D059022', 'D053719']","['Avena', 'Chromatography, Liquid', 'Databases, Factual', 'Edible Grain', 'Food Safety', 'Tandem Mass Spectrometry']",Strategies for data reduction in non-targeted screening analysis: The impact of sample variability for food safety applications.,"['Q000737', 'Q000379', None, None, 'Q000379', 'Q000379']","['chemistry', 'methods', None, None, 'methods', 'methods']",https://www.ncbi.nlm.nih.gov/pubmed/33514480,2021
33499004,This study reports on the purification and characterization of a digestive α-amylase from blue crab (,International journal of molecular sciences,"['D000818', 'D000975', 'D018554', 'D003386', 'D050260', 'D002850', 'D002852', 'D002855', 'D005433', 'D006863', 'D006868', 'D007477', 'D007700', 'D008970', 'D011198', 'D013213', 'D013379', 'D013501', 'D013696', 'D014781', 'D000516']","['Animals', 'Antioxidants', 'Avena', 'Brachyura', 'Carbohydrate Metabolism', 'Chromatography, Gel', 'Chromatography, Ion Exchange', 'Chromatography, Thin Layer', 'Flour', 'Hydrogen-Ion Concentration', 'Hydrolysis', 'Ions', 'Kinetics', 'Molecular Weight', 'Solanum tuberosum', 'Starch', 'Substrate Specificity', 'Surface-Active Agents', 'Temperature', 'Viscera', 'alpha-Amylases']",A Novel Digestive α-Amylase from Blue Crab (,"[None, 'Q000737', 'Q000737', 'Q000201', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Q000201', 'Q000737']","[None, 'chemistry', 'chemistry', 'enzymology', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'enzymology', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/33499004,2021
33492951,"Application of the aroma extract dilution analysis on the volatiles isolated from oat flour revealed 30 aroma-active compounds in the flavor dilution (FD) factor range of 2-8192, among which oat-flour-like smelling (",Journal of agricultural and food chemistry,"['D000328', 'D018554', 'D005260', 'D005421', 'D005433', 'D005511', 'D008401', 'D006801', 'D008297', 'D009812', 'D013649', 'D055549']","['Adult', 'Avena', 'Female', 'Flavoring Agents', 'Flour', 'Food Handling', 'Gas Chromatography-Mass Spectrometry', 'Humans', 'Male', 'Odorants', 'Taste', 'Volatile Organic Compounds']",Changes in the Concentrations of Key Aroma Compounds in Oat (,"[None, 'Q000737', None, 'Q000737', 'Q000032', None, None, None, None, 'Q000032', None, 'Q000737']","[None, 'chemistry', None, 'chemistry', 'analysis', None, None, None, None, 'analysis', None, 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/33492951,2021
33271952,"Plant-based milk alternatives (PBMA) are a new popular food trend among consumers in Europe and North America. The forecast shows that PBMA will double their value by 2023. The objective of this study was to analyze the nutritional value of commercial products in terms of their fatty acid profile and protein digestibility from commercial PBMA. Eight commercially available PBMA were selected for fatty acid analysis, performed with gas chromatography of methylated fatty acids (GC-FAME), and, from these, four commercial products (almond drink, hemp drink, oat drink, and soy drink) were selected for a short-term in vitro protein digestibility (IVPD) analysis. The fatty acid analysis results showed that most of the products predominantly contained oleic acid (C18:1 ω-9) and linoleic acid (C18:2 ω-6). Hemp drink contained the highest omega-6/omega-3 (ω6/ω3) ratio among all tested products (3.43). Oat drink and almond drink were the PBMA with the highest short-term protein digestibility, non-significantly different from cow's milk, while soy drink showed the lowest value of protein digestibility. In conclusion, PBMA showed a significant variability depending on the plant source, both in terms of fatty acid composition and protein digestibility. These results provide more in-depth nutritional information, for future product development, and for consumer's choice.","Foods (Basel, Switzerland)",[],[],In Vitro Protein Digestibility and Fatty Acid Profile of Commercial Plant-Based Milk Alternatives.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/33271952,2020
33233446,"This four-year study reports the occurrence of ergot alkaloids (EAs) in cereals intended for animal feeding collected in Slovenia. A total of 517 samples of cereals were analysed using liquid chromatography-tandem mass spectrometry for the presence of EAs. The sample set included wheat, rye, triticale, oat, spelt and barley. The study revealed that 17% of the analysed cereal samples were contaminated with at least one ergot alkaloid. EAs have two epimeric forms: -ine and -inine. The incidence rates of the -ine and -inine forms in the analysed samples were 16% and 15%, respectively. The highest contamination rates were observed in rye (54%), oat (50%) and spelt (30%), where the highest mean concentrations of total EAs were also determined (502 µg/kg, 594 µg/kg and 715 µg/kg, respectively). However, the highest concentrations of total EAs were found in wheat and rye (4217 µg/kg and 4114 µg/kg, respectively). The predominant EAs were ergometrine, ergosine and ergocristinine. The occurrence of six or more ergot alkaloids was observed in 49% of the positive samples. A weak correlation (",Toxins,"['D000821', 'D002523', 'D004784', 'D004876', 'D005506', 'D017524']","['Animal Feed', 'Edible Grain', 'Environmental Monitoring', 'Ergot Alkaloids', 'Food Contamination', 'Slovenia']","Ergot and Ergot Alkaloids in Cereal Grains Intended for Animal Feeding Collected in Slovenia: Occurrence, Pattern and Correlations.","['Q000032', 'Q000737', None, 'Q000032', 'Q000032', None]","['analysis', 'chemistry', None, 'analysis', 'analysis', None]",https://www.ncbi.nlm.nih.gov/pubmed/33233446,2021
