PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
35209139,"Extra virgin olive oil (EVOO) is a key component of the Mediterranean diet, with several health benefits derived from its consumption. Moreover, due to its eminent market position, EVOO has been thoroughly studied over the last several years, aiming at its authentication, but also to reveal the chemical profile inherent to its beneficial properties. In the present work, a comparative study was conducted to assess Greek EVOOs' quality and authentication utilizing different analytical approaches, both targeted and untargeted. 173 monovarietal EVOOs from three emblematic Greek cultivars (Koroneiki, Kolovi and Adramytiani), obtained during the harvesting years of 2018-2020, were analyzed and quantified as per their fatty acids methyl esters (FAMEs) composition via the official method (EEC) No 2568/91, as well as their bioactive content through liquid chromatography coupled to high resolution mass spectrometry (LC-HRMS) methodology. In addition to FAMEs analysis, EVOO samples were also analyzed via HRMS-untargeted metabolomics and optical spectroscopy techniques (visible absorption, fluorescence and Raman). The data retrieved from all applied techniques were analyzed with Machine Learning methods for the authentication of the EVOOs' variety. The models' predictive performance was calculated through test samples, while for further evaluation 30 commercially available EVOO samples were also examined in terms of variety. To the best of our knowledge, this is the first study where different techniques from the fields of standard analysis, spectrometry and optical spectroscopy are applied to the same EVOO samples, providing strong insight into EVOOs chemical profile and a comparative evaluation through the different platforms.","Molecules (Basel, Switzerland)","['D005227', 'D005504', 'D000074385', 'D063427', 'D006115', 'D055432', 'D000069463', 'D013057']","['Fatty Acids', 'Food Analysis', 'Food Ingredients', 'Food Quality', 'Greece', 'Metabolomics', 'Olive Oil', 'Spectrum Analysis']",Comparative Evaluation of Different Targeted and Untargeted Analytical Approaches to Assess Greek Extra Virgin Olive Oil Quality and Authentication.,"['Q000032', 'Q000379', 'Q000032', None, None, 'Q000379', 'Q000737', None]","['analysis', 'methods', 'analysis', None, None, 'methods', 'chemistry', None]",https://www.ncbi.nlm.nih.gov/pubmed/35209139,2022
35161972,"As it is high in value, extra virgin olive oil (EVOO) is frequently blended with inferior vegetable oils. This study presents an optical method for determining the adulteration level of EVOO with soybean oil as well as peanut oil using LED-induced fluorescence spectroscopy. Eight LEDs with central wavelengths from ultra-violet (UV) to blue are tested to induce the fluorescence spectra of EVOO, peanut oil, and soybean oil, and the UV LED of 372 nm is selected for further detection. Samples are prepared by mixing olive oil with different volume fractions of peanut or soybean oil, and their fluorescence spectra are collected. Different pre-processing and regression methods are utilized to build the prediction model, and good linearity is obtained between the predicted and actual adulteration concentration. This result, accompanied by the non-destruction and no pre-treatment characteristics, proves that it is feasible to use LED-induced fluorescence spectroscopy as a way to investigate the EVOO adulteration level, and paves the way for building a hand-hold device that can be applied to real market conditions in the future.","Sensors (Basel, Switzerland)","['D010367', 'D005506', 'D000069463', 'D010938', 'D013024', 'D013050']","['Arachis', 'Food Contamination', 'Olive Oil', 'Plant Oils', 'Soybean Oil', 'Spectrometry, Fluorescence']","Quantitative Detection of Extra Virgin Olive Oil Adulteration, as Opposed to Peanut and Soybean Oil, Employing LED-Induced Fluorescence Spectroscopy.","[None, 'Q000032', 'Q000032', 'Q000032', None, None]","[None, 'analysis', 'analysis', 'analysis', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/35161972,2022
34866108,"Oils and lipids are common food components and efficient sources of energy. Both the quantity and the quality of oils and lipids are important with regard to health and disease. Fatty acid ester of hydroxy fatty acid (FAHFA) is a novel lipid class that was discovered as an endogenous lipid; FAHFAs have shown anti-diabetic effects in a mammalian system. We analyzed the overall FAHFA composition in nut oils and other common oils: almond (raw, roasted), walnut, peanut, olive, palm, soybean, and rapeseed oils. We developed a method of liquid chromatography coupled with electrospray ionization triple quadrupole mass spectrometry (LC-ESI/MS/MS) for a comprehensive target analysis of FAHFAs. The analysis revealed wide variation in the FAHFA profiles (15 compounds and 62 peaks). For 7-11 compounds of FAHFA, a total level of 8-29 pmol/mg oil was detected in nuts oils; for 11 compounds, 4.9 pmol/mg oil was detected in olive oil, and for 4-9 compounds, < 2 pmol/mg oil was detected in palm, soy, and rapeseed oils. The major FAHFAs were FAHFA 36:3, FAHFA 36:2, and FAHFA 36:4 in nut oil, FAHFA 36:2, FAHFA 34:1, and FAHFA 36:1 in olive oil, and FAHFA 32:1, FAHFA 34:0, FAHFA 36:0, and FAHFA 36:1 in all of the common oils. The composition of FAHFAs in nut oils is mainly unsaturated fatty acids, whereas those in olive oil are unsaturated fatty acids and saturated fatty acids. The composition of FAHFAs in common oils was mainly saturated fats. This is the first report to demonstrate the quality and quantity of the FAHFAs in the nut oils. Nuts have been described to be a great source of many nutrients and to be beneficial for our health. Our present findings comprise additional evidence that the intake of nuts in daily diets may prevent metabolic and inflammatory-based diseases.",Journal of oleo science,"['D002853', 'D004435', 'D004952', 'D005231', 'D005504', 'D063427', 'D006900', 'D007004', 'D007249', 'D008659', 'D009754', 'D010938', 'D021241', 'D053719']","['Chromatography, Liquid', 'Eating', 'Esters', 'Fatty Acids, Unsaturated', 'Food Analysis', 'Food Quality', 'Hydroxylation', 'Hypoglycemic Agents', 'Inflammation', 'Metabolic Diseases', 'Nuts', 'Plant Oils', 'Spectrometry, Mass, Electrospray Ionization', 'Tandem Mass Spectrometry']",Analysis of Fatty Acid Esters of Hydroxyl Fatty Acid in Nut Oils and Other Plant Oils.,"['Q000379', None, 'Q000032', 'Q000032', None, None, None, None, 'Q000517', 'Q000517', 'Q000737', 'Q000737', 'Q000379', 'Q000379']","['methods', None, 'analysis', 'analysis', None, None, None, None, 'prevention & control', 'prevention & control', 'chemistry', 'chemistry', 'methods', 'methods']",https://www.ncbi.nlm.nih.gov/pubmed/34866108,2022
34773827,"The rise of food fraud practices, affecting a wide variety of goods and their specific characteristics (e.g., quality or geographical origin), demands rapid high-throughput analytical approaches to ensure consumers protection. In this context, this study assesses flow injection analysis coupled to high-resolution mass spectrometry (FIA-HRMS), using a fingerprinting approach and combined with chemometrics, to address four food authentication issues: (i) the geographical origin of three Spanish red wines, (ii) the geographical origin of three European paprikas, (iii) the distinction of olive oil from other vegetable oils and (iv) the assessment of its quality category. In each case, negative and positive ionisation FIA-HRMS fingerprints, and two different data fusion strategies, were evaluated. After external validation, excellent classification accuracies were reached. Moreover, high-resolution mass spectrometry (HRMS) allowed sample matrices characterisation by the putative identification of the most common ions.",Food chemistry,"['D002212', 'D000090022', 'D017022', 'D013058', 'D010938', 'D014920']","['Capsicum', 'Chemometrics', 'Flow Injection Analysis', 'Mass Spectrometry', 'Plant Oils', 'Wine']","FIA-HRMS fingerprinting subjected to chemometrics as a valuable tool to address food classification and authentication: Application to red wine, paprika, and vegetable oil samples.","[None, None, None, None, None, None]","[None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34773827,2021
34360308,"Aflatoxins (AFs) are secondary metabolites toxic to humans as well as animals. The environmental conditions, conventional agricultural practices, and illiteracy are the main factors which favor the production of AFs in food and feed. In the current study 744 samples of vegetable seeds and oils (soybean, sunflower, canola, olive, corn, and mustard) were collected and tested for the presence of aflatoxin B",International journal of environmental research and public health,"['D000348', 'D002851', 'D004435', 'D005260', 'D005506', 'D006801', 'D010154', 'D010938', 'D012639', 'D014675']","['Aflatoxins', 'Chromatography, High Pressure Liquid', 'Eating', 'Female', 'Food Contamination', 'Humans', 'Pakistan', 'Plant Oils', 'Seeds', 'Vegetables']",Occurrence of Aflatoxins in Edible Vegetable Seeds and Oil Samples Available in Pakistani Retail Markets and Estimation of Dietary Intake in Consumers.,"['Q000032', None, None, None, 'Q000032', None, None, None, 'Q000737', None]","['analysis', None, None, None, 'analysis', None, None, None, 'chemistry', None]",https://www.ncbi.nlm.nih.gov/pubmed/34360308,2021
34136186,"The influence of a variety of cooking methods (poaching, boiling, grilling (charcoal or gas)), frying (pan, deep frying, and stir frying) with a variety of oils (vegetable oil, extra virgin olive oil, sesame oil, extra light olive oil, and sunflower oil), microwaving, and oven roasting on polycyclic aromatic hydrocarbons (PAHs) formation in rabbit meat samples was investigated. Meat samples (including three replicates) were prepared without additives or spices. PAHs extraction was carried out by saponification method with potassium hydroxide in methanol which was followed by a silica gel column technique and the samples were quantified by using gas chromatography with mass spectrometry (GC-MS). PAHs standards, fluorene, naphthalene, anthracene, phenanthrene, pyrene, acenaphthalene, fluoranthene, and benzopyrene, were used for this study. The other PAHs except fluorene were not observed (detection limit-0.009 µg/g) in all the samples. Among traditional processing techniques, higher PAH contents were observed as a result of frying. Frying with vegetable oil produced higher fluorene content (0.06-0.13 µg/g) in the deep-fried sample, although sesame oil is the best oil which produces lowest PAH contents in fried samples. Among all the processing techniques, lower fluorene (0.01-0.02 µg/g) content was noticed in poaching. Benzo(a)pyrene was not observed in all the investigated samples which is viewed as a reliable strategy of the cooking process for human consumption. After processing, the cooking loss was determined and oven roasting and grilling exhibited greater moisture loss.",Food science & nutrition,[],[],Impact of different cooking methods on polycyclic aromatic hydrocarbons in rabbit meat.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/34136186,2021
33714164,"The fatty acid, squalene, and phytosterols, coupled to chemometrics were utilized to detect the adulteration of camellia oil (CAO) with palm superolein (PAO), refined olive oil (ROO), high oleic- sunflower oil (HO-SUO), sunflower oil (SUO), corn oil (COO), rice bran oil (RBO), rice oil (RIO), peanut oil (PEO), sesame oil (SEO), soybean oil (SOO), and rapeseed oil (RAO). CAO was characterized with higher triterpene alcohols, thus differentiated from other vegetable oils in principle component analysis (PCA). Using partial least squares-discriminant analysis (PLS-DA), CAO adulterated with PAO, ROO, HO-SUO, SUO, COO, RBO, RIO, PEO, SEO, SOO, RAO (5%-100%, w/w), could be classified, especially higher than 92.31% of the total discrimination accuracy, at an adulterated ratio above 30%. With less than 22 potential key markers selected by the variable importance in projection (VIP), the optimized PLS models were confirmed to be accurate for the adulterated level prediction in CAO.",Food chemistry,"['D028244', 'D016002', 'D005227', 'D005506', 'D005607', 'D008401', 'D048088', 'D016018', 'D010840', 'D010938', 'D025341']","['Camellia', 'Discriminant Analysis', 'Fatty Acids', 'Food Contamination', 'Fraud', 'Gas Chromatography-Mass Spectrometry', 'Informatics', 'Least-Squares Analysis', 'Phytosterols', 'Plant Oils', 'Principal Component Analysis']",Detection of camellia oil adulteration using chemometrics based on fatty acids GC fingerprints and phytosterols GC-MS fingerprints.,"['Q000737', None, 'Q000032', 'Q000032', 'Q000517', None, None, None, 'Q000032', 'Q000737', None]","['chemistry', None, 'analysis', 'analysis', 'prevention & control', None, None, None, 'analysis', 'chemistry', None]",https://www.ncbi.nlm.nih.gov/pubmed/33714164,2021
33530008,"Gel permeation chromatography (GPC) is herein used as size exclusion clean-up technique for highly sensitive and straightforward detection of Polycyclic Aromatic Hydrocarbons (PAHs) in olive oil samples. An advanced chromatographic system has been developed to isolate a series of PAHs with cancerogenic potential, including PAH4 (benzo(a)pyrene BaP, benzo(a)anthracene BaA, benzo(b)fluoranthene BbF and chrysene Chry) reported in the European Regulation. The system avails of two glass chromatographic columns and a switching valve, that allow removal of interfering analytes in olive oil without resorting to any preliminary extraction process. A seven-fold increase of the loaded sample amount versus conventional chromatographic systems (1 g vs 0.150 g) has been pursued, as well as improved PAHs detection and quantification limits (LOD-LOQ for PAH4: 0.21-0.70 ng/g for BaA, 0.26-0.86 ng/g for Chry, 0.23-0.76 ng/g for BbF, 0.32-1.06 ng/g for BaP), in accordance with the continuous need of more and more reducing these limits in food analysis by the European Regulation. The protocol developed represents a highly innovative and efficient analytical method for organic pollutants in complex biological matrices as olive oil, that can have huge impact on technology for PAHs detection in food samples, being suitable for both industrial and small-scale laboratories.",Journal of chromatography. A,"['D002850', 'D002851', 'D005504', 'D057230', 'D000069463', 'D011084', 'D015203']","['Chromatography, Gel', 'Chromatography, High Pressure Liquid', 'Food Analysis', 'Limit of Detection', 'Olive Oil', 'Polycyclic Aromatic Hydrocarbons', 'Reproducibility of Results']",Advanced Gel Permeation Chromatography system with increased loading capacity: Polycyclic aromatic hydrocarbons detection in olive oil as a case of study.,"['Q000379', None, None, None, 'Q000737', 'Q000032', None]","['methods', None, None, None, 'chemistry', 'analysis', None]",https://www.ncbi.nlm.nih.gov/pubmed/33530008,2021
33508588,"Soybean oil (SBO), rapeseed oil (RSO), peanut oil (PO), corn oil (CO), olive oil (OO), sunflower oil (SFO), rice germ oil (RGO), walnut oil (WO), torreya seed oil (TSO), and grapeseed oil (GSO) were used to investigate the formation of heterocyclic amines (HAs) in roasted beef patties. Seven HAs, including 2-amino-3,8-dimethylimidazo[4,5-f]quinoxaline (MeIQx), 2-amino-3,4-dimethyl-3H-imidazo[4,5-f]quinolone (MeIQ), 2-amino-3-methyl-3H-imidazo[4,5-f]quinoxaline (IQx), 2-amino-3,4,8-trimethylimidazo[4,5-f]quinoxaline (4,8-DiMeIQx), 2-amino-1-methyl-6-phenylimidazo[4,5-b]pyridine (PhIP), 1-methyl-9H-pyrido[3,4-b]indole (harman), and 9H-pyrido[3,4-b]indole (norharman) were detected in control patties and patties with vegetable oils. GSO, SFO, and WO greatly reduced the content of PhIP and MeIQ. 1.25%TSO and 3.75% RGO showed higher inhibition effects on the more strongly mutagenic compounds (PhIP, MeIQ, IQx, 4,8-DiMeIQx, MeIQx). SBO, PO, and RSO promoted imidazoquin(ox)aline (MeIQ, MeIQx, 4,8-DiMeIQx, and IQx) and β-carboline (harman and norharman); 1.25% SBO had the most significant promoting effect on total HA. This could be useful for the reduction of HA by selecting oils during cooking.",Food chemistry,"['D000588', 'D000818', 'D002417', 'D002851', 'D003296', 'D006571', 'D007093', 'D057230', 'D008460', 'D010938', 'D025341', 'D011810', 'D053719']","['Amines', 'Animals', 'Cattle', 'Chromatography, High Pressure Liquid', 'Cooking', 'Heterocyclic Compounds', 'Imidazoles', 'Limit of Detection', 'Meat', 'Plant Oils', 'Principal Component Analysis', 'Quinoxalines', 'Tandem Mass Spectrometry']",Effects of ten vegetable oils on heterocyclic amine profiles in roasted beef patties using UPLC-MS/MS combined with principal component analysis.,"['Q000032', None, None, None, None, 'Q000737', 'Q000032', None, 'Q000032', 'Q000737', None, 'Q000032', None]","['analysis', None, None, None, None, 'chemistry', 'analysis', None, 'analysis', 'chemistry', None, 'analysis', None]",https://www.ncbi.nlm.nih.gov/pubmed/33508588,2021
33455560,"Atmospheric contamination of plant raw material with Polycyclic Aromatic Hydrocarbons (PAHs) helps explain their presence in edible vegetable oils. This study compared PAH contamination of Turkish olive fruits during their growing period on the tree and their respective oils from three different industrial sources (petroleum refinery, thermal power plant and heavy industry site). The method included liquid-liquid extraction solid-phase extraction for cleanup followed by HPLC with fluorescence detector. There were statistically significant differences between the three industrial sources in benzo[","Food additives & contaminants. Part A, Chemistry, analysis, control, exposure & risk assessment","['D000393', 'D001564', 'D002851', 'D005506', 'D059022', 'D006801', 'D057230', 'D031658', 'D000069463', 'D011084', 'D052616']","['Air Pollutants', 'Benzo(a)pyrene', 'Chromatography, High Pressure Liquid', 'Food Contamination', 'Food Safety', 'Humans', 'Limit of Detection', 'Olea', 'Olive Oil', 'Polycyclic Aromatic Hydrocarbons', 'Solid Phase Extraction']",Determination of polycyclic aromatic hydrocarbons in olives exposed to three different industrial sources and in their respective oils.,"['Q000737', 'Q000737', None, 'Q000032', None, None, None, 'Q000737', 'Q000737', 'Q000032', None]","['chemistry', 'chemistry', None, 'analysis', None, None, None, 'chemistry', 'chemistry', 'analysis', None]",https://www.ncbi.nlm.nih.gov/pubmed/33455560,2021
