PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
35275370,"Lead (Pb) is a highly neurotoxic chemical element known for reducing intelligence quotient (IQ) and promoting antisocial behavior in children and adolescents, while cadmium (Cd) is a carcinogenic bioaccumulative element. Both these metals are included in the priority pollutant list of the United States Environmental Protection Agency and in the WHO List of Chemicals of Major Public Health Concern, where contaminated foods and beverages are the most common pathways of exposure. The objective of this study was to determine total Cd and Pb levels in colored plastic utensils (cups, mugs, bowls, feeding bottles, and plates) for use by children and to measure the specific migration of these elements into beverages and foods. Total contaminant levels were determined using a handheld X-ray fluorescence analyzer. Specific migration tests were conducted using the simulant solutions acetic acid 3% (m/v) and water. Migration levels were determined by ICP-MS. Specific migration tests for Pb were also performed on commercially available samples (cola soft drink, orange juice, vinegar, and milk), with levels determined by graphite-furnace atomic absorption spectrometry (GF-AAS). A total of 674 utensils were analyzed in loco at major commercial centers in Greater São Paulo, of which 87 were purchased for containing Cd and Pb concentrations above permitted limits. Mean concentrations of the metals detected in the purchased utensils were 1110 ppm for Pb and 338 ppm for Cd. For specific migration assays, Pb levels were 187, 13, and 380 times above the permitted limit (0.01 mg.kg -1) for acetic acid, water, and orange juice, respectively. Cd levels were 50 and 2.4 times above the maximum permitted limit (0.005 mg.kg -1) for acetic acid and water, respectively. The districts where the utensils were purchased were grouped according to their social vulnerability index and compared using ANOVA. Pb levels were different between low and medium/high social vulnerability groups (p = 0.006). The findings corroborate the initial hypothesis that these utensils constitute a major source of exposure to PTEs such as Cd and Pb, pointing to the need for stricter regulation and inspection by the Brazilian regulatory agencies.",Environmental science and pollution research international,[],[],Study of controlled migration of cadmium and lead into foods from plastic utensils for children.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35275370,2022
35053922,"The aim of the present study was to investigate the potential of high-pressure processing (HPP) (600 MPa during 5 min) on emerging mycotoxins, enniatin A (ENNA), enniatin A1 (ENNA1), enniatin B (ENNB), enniatin B1 (ENNB1) reduction in different juice/milk models, and to compare it with the effect of a traditional thermal treatment (HT) (90 °C during 21 s). For this purpose, different juice models (orange juice, orange juice/milk beverage, strawberry juice, strawberry juice/milk beverage, grape juice and grape juice/milk beverage) were prepared and spiked individually with ENNA, ENNA1, ENNB and ENNB1 at a concentration of 100 µg/L. After HPP and HT treatments, ENNs were extracted from treated samples and controls employing dispersive liquid-liquid microextraction methodology (DLLME) and determined by liquid chromatography coupled to ion-trap tandem mass spectrometry (HPLC-MS/MS-IT). The results obtained revealed higher reduction percentages (11% to 75.4%) when the samples were treated under HPP technology. Thermal treatment allowed reduction percentages varying from 2.6% to 24.3%, at best, being ENNA1 the only enniatin that was reduced in all juice models. In general, no significant differences (","Foods (Basel, Switzerland)",[],[],"High Pressure Processing Impact on Emerging Mycotoxins (ENNA, ENNA1, ENNB, ENNB1) Mitigation in Different Juice and Juice-Milk Matrices.",[],[],https://www.ncbi.nlm.nih.gov/pubmed/35053922,2022
35040126,"A combination of magnetic solid-phase extraction using an efficient and cheap magnetic sorbent obtained from sand and dispersive liquid-liquid microextraction has been developed for the extraction of nine multiclass pesticides (clodinafop-propargyl, haloxyfop-R-methyl, fenoxaprop-P-ethyl, oxadiazon, penconazole, diniconazole, chlorpyrifos, fenazaquin, and fenpropathrin) from commercial fruit juices (sour cherry, pomegranate, grape, watermelon, orange, apricot, and peach juices). The enriched pesticides were determined by gas chromatography-flame ionization detector and gas chromatography-mass spectrometry. The sorbent was natural iron oxide entrapped in silica along with some impurities. In this method, to extract the analytes from the samples, an appropriate amount of the magnetic sorbent (at mg level) is added. Then the sorbent particles are isolated from the solution using an external magnetic field and the adsorbed analytes are desorbed from the sorbent by acetone. In the following, a dispersive liquid-liquid microextraction procedure is carried out to concentrate the analytes more and to reach low limits of detection.",Journal of the science of food and agriculture,[],[],Improved magnetic solid-phase extraction based on magnetic sorbent obtained from sand for the extraction of pesticides from fruit juice.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35040126,2022
35012047,"The present study aimed to evaluate if commonly used endodontic irrigants such as 3% sodium hypochlorite (NaOCl, Prime Dental, Thane, India), 2% chlorhexidine (CHX, Sigma-Aldrich Co., St. Louis, MO, USA), and 17% ethylenediaminetetraacetic acid (EDTA, Meta-Biomed Co. Ltd., Cheongju-si, South Korea) influenced the setting time and metal composition of different base endodontic sealers on exposure. AH Plus (Dentsply De Trey GmbH, Konstanz, Germany), Sealapex (SybronEndo, Orange, CA, USA), mineral trioxide aggregate (MTA) Fillapex (Angelus Soluções Odontológicas, Londrina, Brazil), and Tubli-Seal (Kerr Dental, Orange, CA, USA) were selected as the different base representatives of endodontic sealers. These sealers were exposed to 3% NaOCl, 2% CHX, and 17% EDTA, and the individual setting time of the sealers was analyzed. The samples were analyzed for heavy metal elements such as chromium (Cr), nickel (Ni), cobalt (Co), cadmium (Cd), arsenic (As), mercury (Hg), lead (Pb), and beryllium (Be) by using inductively coupled plasma mass spectrometry (ICP-MS) analysis. For statistical analysis, one-way ANOVA and post hoc Tukey's tests were used. All selected sealers showed variation in setting time post-exposure to different irrigants. MTA Fillapex had the shortest mean setting time (215.7 min, post-exposure at 187.3 min) (",Polymers,[],[],Influence of Commonly Used Endodontic Irrigants on the Setting Time and Metal Composition of Various Base Endodontic Sealers.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35012047,2022
34991009,"Cadmium is a notorious toxic heavy metal, that poses serious threat to human health. Sensitive and selective detection of cadmium in cells is of great significance in poison screening and disease diagnosis. Orange-red emissive carbon dots (OR-CDs), prepared from the calcination of selected carbon sources 5-amino-1, 10-phenanthroline (Aphen) and salicylic acid (SA), were found to act as a ""turn on"" type fluorescence probe for Cd",Journal of hazardous materials,"['D002104', 'D002244', 'D005453', 'D005456', 'D006801', 'D045663', 'D013050']","['Cadmium', 'Carbon', 'Fluorescence', 'Fluorescent Dyes', 'Humans', 'Quantum Dots', 'Spectrometry, Fluorescence']",Cadmium induced aggregation of orange-red emissive carbon dots with enhanced fluorescence for intracellular imaging.,"['Q000633', None, None, None, None, 'Q000633', None]","['toxicity', None, None, None, None, 'toxicity', None]",https://www.ncbi.nlm.nih.gov/pubmed/34991009,2022
34957624,"The single and double bonds of the polyene chain of the studied retro-carotenoids are located at the neighboring positions compared to those of regular carotenoids. Our mass spectrometry approach targeted at facilitating the characterization of retro-carotenoids as their structural diversity in nature is not yet fully elucidated. Moreover, extended π-electron systems endow several retro-carotenoids with exceptional colors from golden-orange to vibrant red that stimulate the food industry's interest.",Rapid communications in mass spectrometry : RCM,"['D001274', 'D002338', 'D007477', 'D053719']","['Atmospheric Pressure', 'Carotenoids', 'Ions', 'Tandem Mass Spectrometry']",Atmospheric pressure chemical ionization mass spectrometry of retro-carotenoids.,"[None, 'Q000737', None, None]","[None, 'chemistry', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34957624,2022
34838406,"A rapid screening method for the quantitative analysis of pesticide multiresidues using a high-resolution accurate mass (HRAM) quadrupole time-of-flight (Q-TOF) with a dopant-assisted gas chromatography-atmospheric pressure chemical ionization (GC-APCI) technique were developed. For convenient and constant supply of APCI dopant, a large-volume dopant bottle with a bypass valve was newly designed, and the developed method was tested with 415 pesticide mixtures for representative produce (orange, chili pepper, and brown rice). Methanol-enriched nitrogen gas was used to produce protonated molecular [M + H]",Food chemistry,"['D001274', 'D002212', 'D032084', 'D008401', 'D012275', 'D010575']","['Atmospheric Pressure', 'Capsicum', 'Citrus sinensis', 'Gas Chromatography-Mass Spectrometry', 'Oryza', 'Pesticides']","Development of a quantitative screening method for pesticide multiresidues in orange, chili pepper, and brown rice using gas chromatography-quadrupole time of flight mass spectrometry with dopant-assisted atmospheric pressure chemical ionization.","[None, None, None, None, None, 'Q000032']","[None, None, None, None, None, 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/34838406,2022
34825172,"Organophosphate (OP) insecticide, such as diazinon is found in the environments like water which is still approved for agricultural uses. When diazinon residues enter the human body, it functions as an acetylcholinesterase (AChE) inhibitor. This research aims to measure of chlorpyrifos (CPF), diazinon, and malathion residues in fruit such as apple, orange, and tomato after optimizing extraction conditions. Pesticide residues are measured by gas chromatography (GC) technique. Effective variables on pesticide residues are studied including pesticides kind, sampling station, and fruit kind. Results show that average concentration CPF, diazinon, and malathion residues in orange water are 7.05 ± 0.01 mg L",Food chemistry: X,[],[],"Optimization of extraction conditions and determination of the Chlorpyrifos, Diazinon, and malathion residues in environment samples: Fruit (Apple, Orange, and Tomato).",[],[],https://www.ncbi.nlm.nih.gov/pubmed/34825172,2021
34709825,"Nontarget data acquisition for target analysis (nDATA) workflows using liquid chromatography-high-resolution accurate mass (LC-HRAM) spectrometry, spectral screening software, and a compound database have generated interest because of their potential for screening of pesticides in foods. However, these procedures and particularly the instrument processing software need to be thoroughly evaluated before implementation in routine analysis. In this work, 25 laboratories participated in a collaborative study to evaluate an nDATA workflow on high moisture produce (apple, banana, broccoli, carrot, grape, lettuce, orange, potato, strawberry, and tomato). Samples were extracted in each laboratory by quick, easy, cheap, effective, rugged, and safe (QuEChERS), and data were acquired by ultrahigh-performance liquid chromatography (UHPLC) coupled to a high-resolution quadrupole Orbitrap (QOrbitrap) or quadrupole time-of-flight (QTOF) mass spectrometer operating in full-scan mass spectrometry (MS) data-independent tandem mass spectrometry (LC-FS MS/DIA MS/MS) acquisition mode. The nDATA workflow was evaluated using a restricted compound database with 51 pesticides and vendor processing software. Pesticide identifications were determined by retention time (",Journal of agricultural and food chemistry,"['D002851', 'D002853', 'D005506', 'D005638', 'D010573', 'D010575', 'D053719', 'D014675', 'D057188']","['Chromatography, High Pressure Liquid', 'Chromatography, Liquid', 'Food Contamination', 'Fruit', 'Pesticide Residues', 'Pesticides', 'Tandem Mass Spectrometry', 'Vegetables', 'Workflow']",Multilaboratory Collaborative Study of a Nontarget Data Acquisition for Target Analysis (nDATA) Workflow Using Liquid Chromatography-High-Resolution Accurate Mass Spectrometry for Pesticide Screening in Fruits and Vegetables.,"[None, None, 'Q000032', 'Q000737', 'Q000032', 'Q000032', None, None, None]","[None, None, 'analysis', 'chemistry', 'analysis', 'analysis', None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34709825,2021
34700219,"The peel of Citrus reticulate 'Chachiennsis' (Chachi) is a well-known functional food with multiple health benefits in Asia. There is an old saying ""the longer time Chachi is stored, the better health benefits it has"". Is it convincible? What are the critical bioactive compounds in Chachi? To answer these questions, gas chromatography-mass spectrometry (GC-MS) and ultrahigh performance liquid chromatography-tandem mass spectrometry (UPLC-MS/MS) were used to qualify and quantify the flavonoid glycosides and other bioactive compounds of Chachi with storage time of 5-20 years. Limonene was the representative volatile compound. The level of most volatile compounds decreased along with storage. Sixteen flavonoids glycosides and twenty flavonoids were identified. Nobiletin, hesperitin, tetramethoxy flavone and pentamethoxy flavone were characteristic bioactive compounds for Chachi. Most of them accumulated during 10-year storage, thereafter decreased. Ten years could be the optimal storage time. These results indicated that the old saying should be corrected.",Carbohydrate research,"['D002851', 'D002957', 'D005419', 'D008401', 'D006027', 'D015394', 'D053719']","['Chromatography, High Pressure Liquid', 'Citrus', 'Flavonoids', 'Gas Chromatography-Mass Spectrometry', 'Glycosides', 'Molecular Structure', 'Tandem Mass Spectrometry']",Flavonoid glycosides and other bioactive compounds in Citrus reticulate 'Chachi' peel analysed by tandem mass spectrometry and their changes during storage.,"[None, 'Q000737', 'Q000032', None, 'Q000032', None, None]","[None, 'chemistry', 'analysis', None, 'analysis', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34700219,2022
