PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
35293514,"Increasing the rates of drug resistant bacteria, having adverse effects and also high costs of antibiotics lead to essential oils (EOs) with antibacterial properties have gained importance. The present study was predicted to evaluate antibacterial activity of cinnamon, lavender, tea tree, lemon, coconut, oregano, mint, laurel and eucalyptus EOs alone and in combination. Chemical components of effective EOs were examined through gas chromatography/mass spectrometry (GC/MS). Minimum Inhibitory Concentration (MIC) and Minimum Bactericidal Concentration (MBC) assays were used to identify antibacterial effects of EOs against bacterial strains. The Fractional Inhibitory Concentration index (FICI) of the binary combinations of EOs was determined by checkerboard method. Carvacrol, linalool, linalyl acetate, 1,8-cineole, cinnamaldehyde, terpinen-4-ol and p-cymene were found main components of EOs. Oregano, cinnamon and tea tree EOs exhibited the strongest antibacterial activity with the MIC range between 0.03125-1.00% (v/v). Tea tree/lavender and cinnamon/lavender mixtures showed a synergistic effect against Streptococcus pyogenes and Streptococcus agalactiae. Oregano with tea tree and laurel exhibited a synergistic effect against Staphylococcus aureus. Oregano showed a synergistic effect when combined with cinnamon, lavender and tea tree against S.agalactiae. Our findings indicated that EOs either alone or in combination against pathogens should be preferred as potential antibacterial agents.",Anais da Academia Brasileira de Ciencias,"['D000900', 'D006801', 'D008826', 'D009822', 'D031341', 'D013211']","['Anti-Bacterial Agents', 'Humans', 'Microbial Sensitivity Tests', 'Oils, Volatile', 'Origanum', 'Staphylococcus aureus']",Determination of chemical compositions and antibacterial effects of selected essential oils against human pathogenic strains.,"['Q000737', None, None, 'Q000737', 'Q000737', None]","['chemistry', None, None, 'chemistry', 'chemistry', None]",https://www.ncbi.nlm.nih.gov/pubmed/35293514,2022
34829641,"Culinary spices and herbs have been used to impart a characteristic flavour and aroma in food due to their appealing fragrance. Recently, bioactive compounds from herbs, especially phenolics, have gained much attention due to their potential health outcomes. The aim of this study was to characterize and quantify the phenolic compounds from 10 widely used Australian-grown herbs (oregano, rosemary, bay, basil, sage, fenugreek, dill, parsley, mint and thyme). For this purpose, liquid chromatography mass spectrometry (LC-MS) was used for the complete profiling of polyphenolic compounds and quantification of abundant phenolic compounds was completed with high-performance liquid chromatography-photodiode array detection (HPLC-PDA). Polyphenols from Australian-grown herbs were estimated through total phenolic content (TP), total flavonoids (TF) and total tannins (TT) along with their in-vitro antioxidant activities. Oregano and mint were estimated with the highest value of TP (140.59 ± 9.52 and 103.28 ± 8.08 mg GAE/g, milligram gallic acid equivalent/gram) while rosemary and mint had the highest TF (8.19 ± 0.74 and 7.05 ± 0.43 mg QE (quercetin equivalent)/g). In this study, eighty-four (84) phenolic compounds were screened and confirmed through LC-MS/MS by comparing their masses and fragmentation pattern with published libraries. The results of this study validate the use of these herbs as bioactives and their positive impact on human health.","Antioxidants (Basel, Switzerland)",[],[],LC-MS/MS-QTOF Screening and Identification of Phenolic Compounds from Australian Grown Herbs and Their Antioxidant Potential.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/34829641,2021
34753973,"Nine odorless laboratory-collected hydro-distilled aqueous extracts (basil, calendula, centrifuged oregano, corn silk, laurel, oregano, rosemary, spearmint, thyme) and one industrial steam-distilled oregano hydrolate acquired as by-products of essential oils purification were screened for their in vitro antimicrobial activity against three Salmonella Typhimurium strains (4/74, FS8, FS115) at 4 and 37 °C. Susceptibility to the extracts was mainly plant- and temperature-dependent, though strain dependent effects were also observed. Industrial oregano hydrolate eliminated strains immediately after inoculation, exhibiting the highest antimicrobial potential. Hydro-distilled extracts eliminated/reduced Salmonella levels during incubation at 4 °C. At 37 °C, oregano, centrifuged oregano, thyme, calendula and basil were bactericidal while spearmint, rosemary and corn silk bacteriostatic. A strain-dependent effect was observed for laurel. The individual or combined effect of marinades and edible coatings prepared of industrial hydrolate and hydro-distilled oregano extracts with or without oregano essential oil (OEO) was tested in pork meat at 4 °C inoculated with FS8 strain. Lower in situ activity was observed compared to in vitro assays. Marinades and edible coatings prepared of industrial oregano hydrolate + OEO were the most efficient in inhibiting pathogen. Marination in oregano extract and subsequent coating with either 50% oregano extract + OEO or water + OEO enhanced the performance of oregano extract. In conclusion, by-products of oregano essential oil purification may be promising alternative antimicrobials to pork meat stored under refrigeration when applied in the context of multiple hurdle approach.",Scientific reports,"['D000818', 'D000900', 'D002851', 'D015169', 'D059022', 'D008826', 'D010936', 'D000080305', 'D012486', 'D021241', 'D013552', 'D053719', 'D014867']","['Animals', 'Anti-Bacterial Agents', 'Chromatography, High Pressure Liquid', 'Colony Count, Microbial', 'Food Safety', 'Microbial Sensitivity Tests', 'Plant Extracts', 'Pork Meat', 'Salmonella typhimurium', 'Spectrometry, Mass, Electrospray Ionization', 'Swine', 'Tandem Mass Spectrometry', 'Water']",Evaluation of antimicrobial activities of plant aqueous extracts against Salmonella Typhimurium and their application to improve safety of pork meat.,"[None, 'Q000737', 'Q000379', None, None, None, 'Q000737', 'Q000382', 'Q000187', 'Q000379', None, 'Q000379', 'Q000737']","[None, 'chemistry', 'methods', None, None, None, 'chemistry', 'microbiology', 'drug effects', 'methods', None, 'methods', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/34753973,2022
34500670,"Essential oils (EOs) have promising antioxidant activities which are gaining interest as natural alternatives to synthetic antioxidants in the food and cosmetic industries. However, quantitative data on chain-breaking activity and on the kinetics of peroxyl radical trapping are missing. Five phenol-rich EOs were analyzed by GC-MS and studied by oxygen-uptake kinetics in inhibited controlled autoxidations of reference substrates (cumene and squalene). Terpene-rich ","Molecules (Basel, Switzerland)","['D000975', 'D002935', 'D008401', 'D009822', 'D031341', 'D010545', 'D010636']","['Antioxidants', 'Cinnamomum zeylanicum', 'Gas Chromatography-Mass Spectrometry', 'Oils, Volatile', 'Origanum', 'Peroxides', 'Phenols']",Absolute Antioxidant Activity of Five Phenol-Rich Essential Oils.,"['Q000737', 'Q000737', None, 'Q000737', 'Q000737', 'Q000737', 'Q000737']","['chemistry', 'chemistry', None, 'chemistry', 'chemistry', 'chemistry', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/34500670,2021
33714458,"Nowadays, most of the screening methods in food manufacturing are based on spectroscopic techniques. Ambient Mass Spectrometry is a relatively new field of analytical chemistry which has proven to offer similar speed and ease-of-use when compared to other fingerprinting techniques, alongside the advantages of good selectivity, sensitivity and chemical information. Numerous applications have been explored in food authenticity, based either on the target detection of adulteration markers or, less frequently, on the development of multivariate classification models. The aim of the present work was to evaluate and compare the capabilities of Direct Analysis in Real Time (DART) and Atmospheric Solid Analysis Probe (ASAP) Mass Spectrometry (MS) for the high-throughput authenticity screening of commercial herbs and spices products. The gross addition of bulking material to dried Mediterranean oregano was taken as case study. First, a pilot sample set, constituted by authentic dried oregano, olive leaves (a frequently reported adulterant) and mixtures thereof at different levels (i.e. 10, 20, 30 and 50% w/w) was used. Each sample was fingerprinted by both ambient-MS techniques. After appropriate pre-processing, the whole mass spectra were used for the subsequent multivariate data analysis. Soft Independent Modelling of Class Analogy was adopted as classification algorithm and the model was challenged with both new authentic oregano and in-house prepared blends. To the best of our knowledge, this is the first report of DART-MS and ASAP-MS used in full scan mode and coupled to chemometric modelling as rapid fingerprinting approach for food authentication. Although both the techniques provided satisfactory results, ASAP-MS clearly showed greater potential, leading to reproducible, diagnostic feature-rich mass spectra. For this reason, ASAP-MS was further tested under a more convoluted scenario, where the training and validation sets were enlarged with additional authentic oregano samples and a wider range of adulterant species, respectively. Overall good results were achieved, with 93% model predictive accuracy, and screening detection capability estimated between 5-20% (w/w) addition, depending on the adulterant considered with the only exception of majorana. Investigation of Q residuals could highlight the statistically-relevant chemical markers which could be tentatively annotated by coupling the ASAP probe with a high resolution mass analyser. The results from the validation study confirmed the great potential of ASAP-MS in combination with chemometrics as fast MS-based screening solution and demonstrated its feasibility for classification model building.",Talanta,"['D004340', 'D005506', 'D013058', 'D031341', 'D017365']","['Drug Contamination', 'Food Contamination', 'Mass Spectrometry', 'Origanum', 'Spices']",Critical evaluation of ambient mass spectrometry coupled with chemometrics for the early detection of adulteration scenarios in Origanum vulgare L.,"[None, 'Q000032', None, None, 'Q000032']","[None, 'analysis', None, None, 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/33714458,2021
33158110,"Essential oils (EOs) obtained from aromatic plants are widely used worldwide, especially in cosmetic and food products due to their aroma and biological properties and health benefits. Some EOs have significant antimicrobial and antioxidant activities, and thus could effectively increase the shelf lives of foodstuff and beverages. In this study, fourteen essential oils (clove, eucalyptus, fennel, lavender, oregano, palmarosa, pepper, star anise, tea tree, turmeric, Chinese yin yang, Japanese yin yang, and ylang ylang) from different medicinal plant families were screened by gas-chromatography-mass spectrometry (GC-MS) for their different chemical profiles and bioassays were performed to assess their antifungal and antioxidant activities. The results obtained were assessed by principal component analysis (PCA). PCA distinguished six groups characterized by different terpene chemotypes. Amongst the EOs studied, the clove EO showed the strongest antioxidant activity characterized by an EC","Molecules (Basel, Switzerland)","['D000935', 'D000975', 'D004353', 'D009822', 'D010938', 'D012441']","['Antifungal Agents', 'Antioxidants', 'Drug Evaluation, Preclinical', 'Oils, Volatile', 'Plant Oils', 'Saccharomyces cerevisiae']",Chemometric Screening of Fourteen Essential Oils for Their Composition and Biological Properties.,"['Q000737', 'Q000737', None, 'Q000737', 'Q000737', 'Q000254']","['chemistry', 'chemistry', None, 'chemistry', 'chemistry', 'growth & development']",https://www.ncbi.nlm.nih.gov/pubmed/33158110,2021
32724640,"Spices can be used in cooking to enhance the flavor of food. In order to systematically summarize and discuss the flavor components of 29 elegant spices, the free amino acids, nucleotides, and organic acids in these spices were detected by high-performance liquid chromatography. Cluster analysis was carried out to classify the 29 elegant spices based on similar data. The results showed considerable variations in the total free amino acids (1.12‒31.59 g/kg), organic acids (9.63‒71.90 g/kg), and nucleotides (0.03‒2.72 g/kg) in the elegant spices. Nine of the amino acids, especially glutamic acid and arginine, were found to have a taste active value (TAV) greater than 1. The TAVs of the 5'-nucleotides, succinic acid, oxalic acid, tartaric acid, and ascorbic acid were all >1. The equivalent umami concentration (EUC) of sweet marjoram was 83.69 g MSG/100 g. The 29 elegant spices were divided into two categories according to cluster analysis of the EUC. Oregano fell into one category, and the remaining 28 spices fell into the other category.",Food science & nutrition,[],[],"Determination of free amino acids, organic acids, and nucleotides in 29 elegant spices.",[],[],https://www.ncbi.nlm.nih.gov/pubmed/32724640,2020
32474229,"To control Pseudomonas and Shewanella as important psychrotrophic spoilage bacteria in fish meat, we used ethanolic extracts of oregano (Origanum vulgare subsp. vulgare) and nettle (Urtica dioica), with phytochemical characterisation of the extracts and their bioactive compounds. Liquid chromatography coupled with photodiode array detection and electrospray ionisation-mass spectrometry was used for qualitative compositional determination of the extracts. Four main compounds were identified in the oregano extract, with rosmarinic acid the most abundant, followed by three glycosylated phenolics, one of which is reported for the first time in O. vulgare: 4'-O-β-d-glucopyranosyl-3',4'-dihydroxybenzyl-4-hydroxybenzoate. Six main compounds were identified in the nettle extract, as caffeoylmalic acid and five flavonoid glycosides. These oregano and nettle ethanolic extracts showed in-vitro antimicrobial activities against selected Pseudomonas and Shewanella strains in broth and fish meat homogenate when evaluated at two inoculum concentrations. The antimicrobial activities were more pronounced for the nettle extract at the lower inoculum concentration, and for both the Shewanella strains. Growth inhibition in the fish meat homogenate was evaluated at 3.13 mg/mL and 1.56 mg/mL at 5 °C. Again, the nettle extract showed greater antimicrobial activity, which was seen as the lowest maximum growth rate, followed by the oregano extract, which was inhibitory only at 3.13 mg/mL. Finally, the extracts were applied to fish meat that was then stored at 5 °C for 9 days. Evaluation here was for the counts of the mesophilic, psychrotrophic, Pseudomonas and H",International journal of food microbiology,"['D000818', 'D002109', 'D002934', 'D053630', 'D005393', 'D005399', 'D005419', 'D005516', 'D062385', 'D008293', 'D031341', 'D010636', 'D010936', 'D011549', 'D017747', 'D020592', 'D021241', 'D026982']","['Animals', 'Caffeic Acids', 'Cinnamates', 'Depsides', 'Fish Diseases', 'Fishes', 'Flavonoids', 'Food Microbiology', 'Hydroxybenzoates', 'Malates', 'Origanum', 'Phenols', 'Plant Extracts', 'Pseudomonas', 'Seafood', 'Shewanella', 'Spectrometry, Mass, Electrospray Ionization', 'Urtica dioica']",Targeting fish spoilers Pseudomonas and Shewanella with oregano and nettle extracts.,"[None, 'Q000494', 'Q000494', 'Q000494', 'Q000188', 'Q000382', None, None, 'Q000494', 'Q000494', 'Q000737', 'Q000737', 'Q000494', 'Q000187', 'Q000382', 'Q000187', None, 'Q000737']","[None, 'pharmacology', 'pharmacology', 'pharmacology', 'drug therapy', 'microbiology', None, None, 'pharmacology', 'pharmacology', 'chemistry', 'chemistry', 'pharmacology', 'drug effects', 'microbiology', 'drug effects', None, 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/32474229,2020
30773128,"Contaminants belonging to various classes, as polychlorobiphenyls, polycyclic aromatic hydrocarbons, organochlorine pesticides, organophosphorous pesticides, pyrethroid insecticides, fungicides, herbicides, synergists, carbamates, acaricides and insect growth regulators were simultaneously analysed by GC-MS/MS in 118 Italian and Tunisian culinary herbs and spices. The results obtained in Italian samples shown that laurel samples were the most contaminated with the presence of 15 residues on 140, whereas in rosemary (max value of 35 ng/g for cis-chlorfenyvinphos) and oregano (max value of 118.16 ng/g for ethion) some occasional residues can be observed, but always lower than the maximum residue levels; all the others samples shown no contamination. Among Tunisian samples, only rosemary contains a notably high content of pollutants exceeded the EU maximum residue limits (i.e., alachlor and phosalone with level of 359.2 and 43.3 ng/g, respectively), while oregano was determined to be free of contaminant residues. Considering the comparison among the different organic pollutants in Italian and Tunisian spices and herbs evaluated and the differences observed in this study a harmonization of regulation on contaminant residues in herbs and spices for human consumption should be needed, considering their increased use in diet and cooking.","Journal of environmental science and health. Part. B, Pesticides, food contaminants, and agricultural wastes","['D002219', 'D005504', 'D005506', 'D008401', 'D006843', 'D007558', 'D031341', 'D010575', 'D011078', 'D011722', 'D017365', 'D053719', 'D014416']","['Carbamates', 'Food Analysis', 'Food Contamination', 'Gas Chromatography-Mass Spectrometry', 'Hydrocarbons, Chlorinated', 'Italy', 'Origanum', 'Pesticides', 'Polychlorinated Biphenyls', 'Pyrethrins', 'Spices', 'Tandem Mass Spectrometry', 'Tunisia']",Organic contamination of Italian and Tunisian culinary herbs and spices.,"['Q000032', 'Q000379', 'Q000032', None, 'Q000032', None, 'Q000737', 'Q000032', 'Q000032', 'Q000032', 'Q000032', None, None]","['analysis', 'methods', 'analysis', None, 'analysis', None, 'chemistry', 'analysis', 'analysis', 'analysis', 'analysis', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/30773128,2019
30502160,"The antibacterial effect of PHBV films with oregano or clove essential oil, or their main compounds, carvacrol (CA) and eugenol (EU), respectively, was analysed in food matrices (cheese, chicken breast and pumpkin and melon) and in vitro test for Escherichia coli and Listeria innocua. The migration of CA and EU in the different food matrices was determined to analyse the food matrix effect on the film's antimicrobial effectiveness. The antimicrobial activity in foods was less remarkable than in in vitro test. Despite the antilisterial effect in the in vitro test, this was not noticed in any food matrix. The most significant antibacterial effects against E. coli were observed in cheese and pumpkin, whereas the highest migration of both CA and UE took place in melon. This lack of correlation reflected that many compositional factors affect the active compound's availability to exert its antibacterial action in a specific food.",Food chemistry,"['D000900', 'D002611', 'D028464', 'D000081007', 'D004926', 'D005054', 'D005511', 'D008401', 'D008087', 'D039821', 'D054813', 'D013053']","['Anti-Bacterial Agents', 'Cheese', 'Cucurbita', 'Cymenes', 'Escherichia coli', 'Eugenol', 'Food Handling', 'Gas Chromatography-Mass Spectrometry', 'Listeria', 'Monoterpenes', 'Polyhydroxyalkanoates', 'Spectrophotometry']",Eugenol and carvacrol migration from PHBV films and antibacterial action in different food matrices.,"['Q000737', 'Q000032', 'Q000737', None, 'Q000187', 'Q000032', None, None, 'Q000187', 'Q000032', 'Q000737', None]","['chemistry', 'analysis', 'chemistry', None, 'drug effects', 'analysis', None, None, 'drug effects', 'analysis', 'chemistry', None]",https://www.ncbi.nlm.nih.gov/pubmed/30502160,2019
