PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
35760587,"Edible palm hearts (EPH), known as palmito, chonta or swamp cabbage in America or umbut in Malaysia, is a type of vegetable harvested from palm tree species. EPH is firm and smooth and described as having a flavor resembling artichoke. It has underlying prebiotic potential that selectively stimulates the growth and activity of beneficial colonic microbiota, thus enhancing the host's health. This study is the first to present results of EPH from local species such as oil palm (Elaeis guineensis), sago palm (Metroxylon sagu) and coconut (Cocos nucifera) using in vitro colonic fermentation with human fecal slurry. Samples obtained at 0, 6, 12 and 24 h were evaluated by bacterial enumeration using fluorescent in situ hybridization (FISH), and short-chain fatty acids (SCFA) were analyzed by high-performance liquid chromatography (HPLC).",Journal of the science of food and agriculture,[],[],An in vitro study: prebiotic effects of edible palm hearts in batch human fecal fermentation system.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35760587,2022
34866108,"Oils and lipids are common food components and efficient sources of energy. Both the quantity and the quality of oils and lipids are important with regard to health and disease. Fatty acid ester of hydroxy fatty acid (FAHFA) is a novel lipid class that was discovered as an endogenous lipid; FAHFAs have shown anti-diabetic effects in a mammalian system. We analyzed the overall FAHFA composition in nut oils and other common oils: almond (raw, roasted), walnut, peanut, olive, palm, soybean, and rapeseed oils. We developed a method of liquid chromatography coupled with electrospray ionization triple quadrupole mass spectrometry (LC-ESI/MS/MS) for a comprehensive target analysis of FAHFAs. The analysis revealed wide variation in the FAHFA profiles (15 compounds and 62 peaks). For 7-11 compounds of FAHFA, a total level of 8-29 pmol/mg oil was detected in nuts oils; for 11 compounds, 4.9 pmol/mg oil was detected in olive oil, and for 4-9 compounds, < 2 pmol/mg oil was detected in palm, soy, and rapeseed oils. The major FAHFAs were FAHFA 36:3, FAHFA 36:2, and FAHFA 36:4 in nut oil, FAHFA 36:2, FAHFA 34:1, and FAHFA 36:1 in olive oil, and FAHFA 32:1, FAHFA 34:0, FAHFA 36:0, and FAHFA 36:1 in all of the common oils. The composition of FAHFAs in nut oils is mainly unsaturated fatty acids, whereas those in olive oil are unsaturated fatty acids and saturated fatty acids. The composition of FAHFAs in common oils was mainly saturated fats. This is the first report to demonstrate the quality and quantity of the FAHFAs in the nut oils. Nuts have been described to be a great source of many nutrients and to be beneficial for our health. Our present findings comprise additional evidence that the intake of nuts in daily diets may prevent metabolic and inflammatory-based diseases.",Journal of oleo science,"['D002853', 'D004435', 'D004952', 'D005231', 'D005504', 'D063427', 'D006900', 'D007004', 'D007249', 'D008659', 'D009754', 'D010938', 'D021241', 'D053719']","['Chromatography, Liquid', 'Eating', 'Esters', 'Fatty Acids, Unsaturated', 'Food Analysis', 'Food Quality', 'Hydroxylation', 'Hypoglycemic Agents', 'Inflammation', 'Metabolic Diseases', 'Nuts', 'Plant Oils', 'Spectrometry, Mass, Electrospray Ionization', 'Tandem Mass Spectrometry']",Analysis of Fatty Acid Esters of Hydroxyl Fatty Acid in Nut Oils and Other Plant Oils.,"['Q000379', None, 'Q000032', 'Q000032', None, None, None, None, 'Q000517', 'Q000517', 'Q000737', 'Q000737', 'Q000379', 'Q000379']","['methods', None, 'analysis', 'analysis', None, None, None, None, 'prevention & control', 'prevention & control', 'chemistry', 'chemistry', 'methods', 'methods']",https://www.ncbi.nlm.nih.gov/pubmed/34866108,2022
33714164,"The fatty acid, squalene, and phytosterols, coupled to chemometrics were utilized to detect the adulteration of camellia oil (CAO) with palm superolein (PAO), refined olive oil (ROO), high oleic- sunflower oil (HO-SUO), sunflower oil (SUO), corn oil (COO), rice bran oil (RBO), rice oil (RIO), peanut oil (PEO), sesame oil (SEO), soybean oil (SOO), and rapeseed oil (RAO). CAO was characterized with higher triterpene alcohols, thus differentiated from other vegetable oils in principle component analysis (PCA). Using partial least squares-discriminant analysis (PLS-DA), CAO adulterated with PAO, ROO, HO-SUO, SUO, COO, RBO, RIO, PEO, SEO, SOO, RAO (5%-100%, w/w), could be classified, especially higher than 92.31% of the total discrimination accuracy, at an adulterated ratio above 30%. With less than 22 potential key markers selected by the variable importance in projection (VIP), the optimized PLS models were confirmed to be accurate for the adulterated level prediction in CAO.",Food chemistry,"['D028244', 'D016002', 'D005227', 'D005506', 'D005607', 'D008401', 'D048088', 'D016018', 'D010840', 'D010938', 'D025341']","['Camellia', 'Discriminant Analysis', 'Fatty Acids', 'Food Contamination', 'Fraud', 'Gas Chromatography-Mass Spectrometry', 'Informatics', 'Least-Squares Analysis', 'Phytosterols', 'Plant Oils', 'Principal Component Analysis']",Detection of camellia oil adulteration using chemometrics based on fatty acids GC fingerprints and phytosterols GC-MS fingerprints.,"['Q000737', None, 'Q000032', 'Q000032', 'Q000517', None, None, None, 'Q000032', 'Q000737', None]","['chemistry', None, 'analysis', 'analysis', 'prevention & control', None, None, None, 'analysis', 'chemistry', None]",https://www.ncbi.nlm.nih.gov/pubmed/33714164,2021
33420288,"Infections caused by Staphylococcus aureus are a serious global threat, and with the emergence of antibiotic resistance, even more difficult to treat. One of the possible complications in antistaphylococcal therapy represents negative interactions of antibiotics with food. In this study, the in vitro interaction between oxacillin and crude palm seed oil from Astrocaryum vulgare, Cocos nucifera, and Elaeis guineensis against nine strains of S. aureus was determined using the checkerboard method. Lauric acid was identified as a major constituent of all tested oils by gas chromatography. The results showed strong concentration dependent antagonistic interactions between palm oils and oxacillin with values of fractional inhibitory concentrations indices ranging from 4.02 to 8.56 at concentrations equal or higher than 1024 µg/mL of the tested oils. Similarly, lauric acid in combination with oxacillin produced antagonistic action with fractional inhibitory concentration indices ranging from 4.01 to 4.28 at 1024 µg/mL. These findings suggest that interference between oxacillin and palm oils and their constituents can negatively affect the treatment of staphylococcal infections in humans and other animals.",Scientific reports,"['D000900', 'D004305', 'D004336', 'D007850', 'D008826', 'D010068', 'D010578', 'D013211']","['Anti-Bacterial Agents', 'Dose-Response Relationship, Drug', 'Drug Antagonism', 'Lauric Acids', 'Microbial Sensitivity Tests', 'Oxacillin', 'Petroleum', 'Staphylococcus aureus']","In vitro antagonistic inhibitory effects of palm seed crude oils and their main constituent, lauric acid, with oxacillin in Staphylococcus aureus.","['Q000494', None, None, 'Q000494', None, 'Q000031', 'Q000032', 'Q000187']","['pharmacology', None, None, 'pharmacology', None, 'analogs & derivatives', 'analysis', 'drug effects']",https://www.ncbi.nlm.nih.gov/pubmed/33420288,2021
33332229,"The study aimed to establish the detection method for bound 3-, 2-MCPD, and glycidol using accelerated solvent extraction (ASE) and gas chromatography mass spectrometry (GC-MS). The ASE was modified for reduced solvent volume and process time to extract lipid from the chocolate spread, infant formula, potato chips, and sweetened creamer. The solvent selected for ASE was a mixture of iso-hexane and acetone at 100°C with the lipid and analyte recovery ranging from 96.9% to 98.6% and 84.1% to 107.5%, respectively. The derivatisation of analytes was adopted from the AOCS method Cd29a-13 for GC-MS analysis. The results showed that the coefficient of determination (R","Food additives & contaminants. Part A, Chemistry, analysis, control, exposure & risk assessment","['D004852', 'D005504', 'D005506', 'D008401', 'D005990', 'D020005', 'D012997', 'D000517']","['Epoxy Compounds', 'Food Analysis', 'Food Contamination', 'Gas Chromatography-Mass Spectrometry', 'Glycerol', 'Propanols', 'Solvents', 'alpha-Chlorohydrin']",In-house validation of accelerated solvent extraction-gas chromatography-mass spectrometry for the determination of bound 3- and 2-monochloropropanediols (MCPD) and glycidol in food products.,"['Q000032', None, 'Q000032', None, 'Q000031', 'Q000032', 'Q000737', 'Q000032']","['analysis', None, 'analysis', None, 'analogs & derivatives', 'analysis', 'chemistry', 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/33332229,2021
32931602,"High-fat diet (HFD) interferes with the dietary plan of patients with type 2 diabetes mellitus (T2DM). However, many diabetes patients consume food with higher fat content for a better taste bud experience. In this study, we examined the effect of HFD on rats at the early onset of diabetes and prediabetes by supplementing their feed with palm olein oil to provide a fat content representing 39% of total calorie intake. Urinary profile generated from liquid chromatography-mass spectrometry analysis was used to construct the orthogonal partial least squares discriminant analysis (OPLS-DA) score plots. The data provide insights into the physiological state of an organism. Healthy rats fed with normal chow (NC) and HFD cannot be distinguished by their urinary metabolite profiles, whereas diabetic and prediabetic rats showed a clear separation in OPLS-DA profile between the two diets, indicating a change in their physiological state. Metformin treatment altered the metabolomics profiles of diabetic rats and lowered their blood sugar levels. For prediabetic rats, metformin treatment on both NC- and HFD-fed rats not only reduced their blood sugar levels to normal but also altered the urinary metabolite profile to be more like healthy rats. The use of metformin is therefore beneficial at the prediabetes stage.",Biotechnology and applied biochemistry,"['D000818', 'D001786', 'D003921', 'D003924', 'D059305', 'D016002', 'D004195', 'D007004', 'D016018', 'D008297', 'D055432', 'D008687', 'D051381', 'D017207']","['Animals', 'Blood Glucose', 'Diabetes Mellitus, Experimental', 'Diabetes Mellitus, Type 2', 'Diet, High-Fat', 'Discriminant Analysis', 'Disease Models, Animal', 'Hypoglycemic Agents', 'Least-Squares Analysis', 'Male', 'Metabolomics', 'Metformin', 'Rats', 'Rats, Sprague-Dawley']",The effects of high-fat diet and metformin on urinary metabolites in diabetes and prediabetes rat models.,"[None, 'Q000378', 'Q000188', 'Q000188', 'Q000009', None, None, 'Q000378', None, None, None, 'Q000378', None, None]","[None, 'metabolism', 'drug therapy', 'drug therapy', 'adverse effects', None, None, 'metabolism', None, None, None, 'metabolism', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/32931602,2021
32143131,"In this work is presented the development of a method for As and Se determination in crude palm oil samples by hydride generation atomic fluorescence spectrometry and Hg by cold vapor atomic fluorescence spectrometry after ultrasound-assisted emulsification and extraction induced by emulsion breaking (EIEB). The optimization of the method was carried out by multivariate designs. The developed method has presented limits of quantification (LOQ) of 0.72, 0.12, and 1.5 μg L",Food chemistry,"['D001151', 'D005591', 'D004655', 'D005504', 'D005506', 'D005740', 'D057230', 'D008628', 'D015999', 'D000073878', 'D012643', 'D013050', 'D013054']","['Arsenic', 'Chemical Fractionation', 'Emulsions', 'Food Analysis', 'Food Contamination', 'Gases', 'Limit of Detection', 'Mercury', 'Multivariate Analysis', 'Palm Oil', 'Selenium', 'Spectrometry, Fluorescence', 'Spectrophotometry, Atomic']","Extraction induced by emulsion breaking for As, Se and Hg determination in crude palm oil by vapor generation-AFS.","['Q000032', 'Q000379', 'Q000737', 'Q000379', None, 'Q000737', None, 'Q000032', None, 'Q000032', 'Q000032', 'Q000379', 'Q000379']","['analysis', 'methods', 'chemistry', 'methods', None, 'chemistry', None, 'analysis', None, 'analysis', 'analysis', 'methods', 'methods']",https://www.ncbi.nlm.nih.gov/pubmed/32143131,2020
31680253,"In this article the relationship between lipophilic grape seed proanthocyanidin (LGSP) and acrylamide formation in potato-based products was investigated. The acrylamide, reducing sugar, asparagine, and 3-aminopropionamide contents were determined by high-performance liquid chromatography mass spectrometry (HPLC-MS). Sensory evaluation was used to evaluate the quality of the products.",Journal of the science of food and agriculture,"['D020106', 'D003296', 'D005503', 'D056604', 'D006358', 'D006801', 'D010084', 'D044945', 'D062410', 'D011198', 'D013649']","['Acrylamide', 'Cooking', 'Food Additives', 'Grape Seed Extract', 'Hot Temperature', 'Humans', 'Oxidation-Reduction', 'Proanthocyanidins', 'Snacks', 'Solanum tuberosum', 'Taste']",Addition of lipophilic grape seed proanthocyanidin effectively reduces acrylamide formation.,"['Q000737', None, 'Q000737', 'Q000737', None, None, None, 'Q000737', None, 'Q000737', None]","['chemistry', None, 'chemistry', 'chemistry', None, None, None, 'chemistry', None, 'chemistry', None]",https://www.ncbi.nlm.nih.gov/pubmed/31680253,2020
31677599,"Lipid sources as alternatives to fish oil could alter the nutritional value and flavor quality of crab meat affecting consumer preferences. Herein, an 8-week nutritional trial was designed to investigate the effects of dietary lipid sources including fish oil (FO), krill oil (KO), palm oil, rapeseed oil, soybean oil and linseed oil on profiles of amino acids, fatty acids and volatiles in muscle of swimming crab (Portunus trituberculatus). Volatiles of crab muscle were characterized by headspace solid-phase microextraction and gas chromatography-tandem mass spectrometry. Results revealed that crabs fed FO and KO had significantly higher levels of protein, indispensable amino acids, eicosapentaenoic acid and docosahexaenoic acid in muscle. Principal component analysis and hierarchical cluster analysis demonstrated that muscle volatiles of crabs fed different dietary oils exhibited significant variations. Dietary FO and KO significantly increased the relative levels of 3-methylbutanal, heptanal, benzaldehyde and nonanal in muscle, which may produce more pleasant flavors.",Food chemistry,"['D000818', 'D003386', 'D004041', 'D004281', 'D015118', 'D005227', 'D005421', 'D008401', 'D009752', 'D009753', 'D017747', 'D052617', 'D013550', 'D013649']","['Animals', 'Brachyura', 'Dietary Fats', 'Docosahexaenoic Acids', 'Eicosapentaenoic Acid', 'Fatty Acids', 'Flavoring Agents', 'Gas Chromatography-Mass Spectrometry', 'Nutritional Status', 'Nutritive Value', 'Seafood', 'Solid Phase Microextraction', 'Swimming', 'Taste']",Modification of nutritional values and flavor qualities of muscle of swimming crab (Portunus trituberculatus): Application of a dietary lipid nutrition strategy.,"[None, 'Q000737', 'Q000032', 'Q000032', 'Q000031', 'Q000032', 'Q000032', 'Q000379', None, None, 'Q000032', None, None, None]","[None, 'chemistry', 'analysis', 'analysis', 'analogs & derivatives', 'analysis', 'analysis', 'methods', None, None, 'analysis', None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/31677599,2019
31082722,"Chlorinated paraffins (CPs) are a group of man-made pollutants of growing environmental concern. Short-chain chlorinated paraffins (SCCPs) were recently classified as persistent organic pollutants (POPs), while medium-chain chlorinated paraffins (MCCPs) are still unregulated. Foodstuff is a major pathway for the human CP intake, and the regular diet has been analyzed in several studies recently. However, dietary supplements (DS) had not been analyzed on CPs. Our goal was to investigate the occurrence of CPs in DS and to evaluate the possible threat for the consumers. DS (n = 25) made from plant or fish oils were selected on the German market with main emphasis on vitamin E products. The lipid components were removed by sulphuric acid treatment and silica gel column chromatography. CP quantification was performed via gas chromatography coupled to electron capture negative ion mass spectrometry. Six vitamin E preparations containing palm oil showed alarmingly high CP concentrations of >35 μg/g fat. Six other DS contained much lower CP amounts (<4 μg/g fat). If consumed as recommended, the mean daily intake of CPs (5.5 μg SCCPs + 38 μg MCCPs) via palm oil based DS surpassed that of the regular diet by a factor of 4 for SCCPs and 13 for MCCPs, exceeding the PCB intake via food by up to two orders of magnitude. Samples reached up to 26% of the TDI of MCCPs for an average European adult. Consequently, the P95 intake of those samples would amount to ~43 mg CPs per year. The CP contamination probably originated from raw material, as CPs were also found in palm oils and vitamin E concentrates made from palm oil. Our findings suggest that DS can contain high amounts of contaminants that compromise the purpose of the product and should be considered for regular CP monitoring.",Environment international,"['D019587', 'D004784', 'D005858', 'D006843', 'D000073878', 'D010232', 'D014810']","['Dietary Supplements', 'Environmental Monitoring', 'Germany', 'Hydrocarbons, Chlorinated', 'Palm Oil', 'Paraffin', 'Vitamin E']",High amounts of chlorinated paraffins in oil-based vitamin E dietary supplements on the German market.,"['Q000032', None, None, 'Q000032', 'Q000737', 'Q000032', 'Q000737']","['analysis', None, None, 'analysis', 'chemistry', 'analysis', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/31082722,2019
