PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
34829641,"Culinary spices and herbs have been used to impart a characteristic flavour and aroma in food due to their appealing fragrance. Recently, bioactive compounds from herbs, especially phenolics, have gained much attention due to their potential health outcomes. The aim of this study was to characterize and quantify the phenolic compounds from 10 widely used Australian-grown herbs (oregano, rosemary, bay, basil, sage, fenugreek, dill, parsley, mint and thyme). For this purpose, liquid chromatography mass spectrometry (LC-MS) was used for the complete profiling of polyphenolic compounds and quantification of abundant phenolic compounds was completed with high-performance liquid chromatography-photodiode array detection (HPLC-PDA). Polyphenols from Australian-grown herbs were estimated through total phenolic content (TP), total flavonoids (TF) and total tannins (TT) along with their in-vitro antioxidant activities. Oregano and mint were estimated with the highest value of TP (140.59 ± 9.52 and 103.28 ± 8.08 mg GAE/g, milligram gallic acid equivalent/gram) while rosemary and mint had the highest TF (8.19 ± 0.74 and 7.05 ± 0.43 mg QE (quercetin equivalent)/g). In this study, eighty-four (84) phenolic compounds were screened and confirmed through LC-MS/MS by comparing their masses and fragmentation pattern with published libraries. The results of this study validate the use of these herbs as bioactives and their positive impact on human health.","Antioxidants (Basel, Switzerland)",[],[],LC-MS/MS-QTOF Screening and Identification of Phenolic Compounds from Australian Grown Herbs and Their Antioxidant Potential.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/34829641,2021
33509486,"A rapid shot-gun method by Fourier transform ion cyclotron resonance mass spectrometry (FT-ICR-MS) is proposed for the characterization of fennel proteins. After enzymatic digestion with trypsin, few microliters of extract were analyzed by direct infusion in positive ion mode. A custom-made non-redundant fennel-specific proteome database was derived from the well-known NCBI database; additional proteins belonging to recognized allergenic sources (celery, carrot, parsley, birch, and mugwort) were also included in our database, since patients hypersensitive to these plants could also suffer from fennel allergy. The peptide sequence of each protein from that derived list was theoretically sequenced to produce calculated m/z lists of possible m/z ions after tryptic digestions. Then, by using a home-made Matlab algorithm, those lists were matched with the experimental FT-ICR mass spectrum of the fennel peptide mixture. Finally, Peptide Mass Fingerprint searches confirmed the presence of the matched proteins inside the fennel extract with a total of 70 proteins (61 fennel specific and 9 allergenic proteins).","Food research international (Ottawa, Ont.)","['D017357', 'D030001', 'D005583', 'D006801', 'D013058', 'D010449']","['Cyclotrons', 'Foeniculum', 'Fourier Analysis', 'Humans', 'Mass Spectrometry', 'Peptide Mapping']",Investigation of fennel protein extracts by shot-gun Fourier transform ion cyclotron resonance mass spectrometry.,"[None, None, None, None, None, None]","[None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/33509486,2021
33174278,"The aim of this study was to isolate monogalactosyldiacylglycerols (MGDGs) and digalactosyldiacylglycerols (DGDGs) from perilla [Perilla frutescens (L.) Britton] and to investigate their fatty acid profiles. Perilla displayed the greatest total MGDG and DGDG content among the three types of leaf vegetables tested, that is, spinach, parsley, and perilla, containing 0.16 g/100 g MGDG and 0.04 g/100 g DGDG (on wet weight basis). High purity MGDG (approximately 97 g/100 g) and DGDG (approximately 86 g/100 g) were isolated from perilla chloroform/methanol (2:1, v/v) extracts by two-step silica gel column chromatography. MGDGs were primarily composed of 18:3n-3 and 16:3n-3, predominantly located at the sn-1 and sn-2 positions, respectively. In DGDG, 18:3n-3 and 16:0 were the most abundant fatty acids and were primarily found at the sn-1 and sn-2 positions, respectively. PRACTICAL APPLICATION: MGDGs and DGDGs are the most prevalent forms of galactoglycerolipids found in leaf vegetables including perilla and have been shown to exert health-beneficial effects, such as antitumor, anti-inflammatory, anticancer, and appetite-suppressing activities. Both MGDGs and DGDGs possess emulsifying properties. The present study may help better understand the health-beneficial effects of MGDG and DGDG from perilla, by providing total composition and positional distribution of the fatty acids. The present study also successfully established a protocol to isolate high purity MGDG and DGDG from perilla, thereby increasing their possible use as an ingredient in foods and nutraceuticals.",Journal of food science,"['D005227', 'D038983', 'D031344', 'D028528', 'D010936', 'D018515', 'D018724']","['Fatty Acids', 'Galactolipids', 'Perilla frutescens', 'Petroselinum', 'Plant Extracts', 'Plant Leaves', 'Spinacia oleracea']",Isolation and compositional analysis of galactoglycerolipids from perilla [Perilla frutescens (L.) Britton] leaves and comparison to the galactoglycerolipids from spinach and parsley.,"['Q000032', 'Q000737', 'Q000737', 'Q000737', 'Q000737', 'Q000737', 'Q000737']","['analysis', 'chemistry', 'chemistry', 'chemistry', 'chemistry', 'chemistry', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/33174278,2021
32664342,"Supercritical fluid extraction as an environmentally friendly technology was applied to isolate biologically active extracts from celery and parsley fruits for potential applications in the food industry. The extractions were performed under mild temperature conditions of 39.85 °C and at pressures of 10 and 30 MPa. The extracts were analyzed regarding their chemical composition, antibacterial activity, and cytotoxic effect. Sedanolide was the dominant component of the celery fruit extracts, comprising more than 70% of the obtained fraction, while the content of apiole in the parsley fruit SC CO","Molecules (Basel, Switzerland)","['D000818', 'D000900', 'D000077102', 'D001419', 'D002460', 'D025924', 'D005638', 'D008826', 'D028528', 'D010936', 'D011817', 'D014675']","['Animals', 'Anti-Bacterial Agents', 'Apium', 'Bacteria', 'Cell Line', 'Chromatography, Supercritical Fluid', 'Fruit', 'Microbial Sensitivity Tests', 'Petroselinum', 'Plant Extracts', 'Rabbits', 'Vegetables']",Supercritical Fluid Extraction of Celery and Parsley Fruit-Chemical Composition and Antibacterial Activity.,"[None, 'Q000737', 'Q000737', 'Q000187', None, 'Q000379', 'Q000737', 'Q000379', 'Q000737', 'Q000737', None, 'Q000737']","[None, 'chemistry', 'chemistry', 'drug effects', None, 'methods', 'chemistry', 'methods', 'chemistry', 'chemistry', None, 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/32664342,2021
31503525,"A complex plant polyphenolic preparation (PP) was produced from chokeberry, raspberry, wild strawberry, peach, bilberry, apricot, cranberry, and parsley, using ultrafiltration and C18 preparative chromatography. Thirty main compounds were identified in PP (LC-MS), with the highest contribution of cyanidin 3-O-glucoside, p-coumaroyl glucoside, chlorogenic acid, neochlorogenic acid, and isoquercetin. PP was used (at 0.16% m/m) for the production of a sourdough bread (based on rye flour, water, and salt), followed by ",Journal of medicinal food,"['D000975', 'D001939', 'D005527', 'D005638', 'D019073', 'D006801', 'D010936', 'D059808']","['Antioxidants', 'Bread', 'Food, Fortified', 'Fruit', 'HT29 Cells', 'Humans', 'Plant Extracts', 'Polyphenols']",Study on Biological Activity of Bread Enriched with Natural Polyphenols in Terms of Growth Inhibition of Tumor Intestine Cells.,"['Q000494', None, None, 'Q000737', None, None, 'Q000494', 'Q000494']","['pharmacology', None, None, 'chemistry', None, None, 'pharmacology', 'pharmacology']",https://www.ncbi.nlm.nih.gov/pubmed/31503525,2020
30993530,"Metabolic syndrome, characterized by obesity, low-grade inflammation, insulin resistance, hyperglycemia, dyslipidemia and hypertension, is a major risk factor for cardiovascular mortality. Preclinical studies on recently discovered classes of lipids - fatty acid esters of hydroxy fatty acids (FAHFA) have revealed their anti-inflammatory and insulin-sensitizing potential. The FAHFA levels are significantly decreased in insulin-resistant individuals, their application exhibited anti-inflammatory effects and restoring the glucose-insulin homeostasis. The aim of our research was to analyze the overall FAHFA composition in a common diet, as only a partial FAHFA composition has been revealed so far (only the PAHSA subclass was analyzed in a few foods). A new approach to the FAHFAs analysis includes nano-LC and post-column modifier followed by negative ion mass spectrometry, in order to obtain maximum sensitivity. Analysis of different foods - oat (whole grain, coarse flakes and fine flakes), apple, clementine, lemon, strawberry, blueberry, mango, kiwi, avocado, pineapple, banana, onion, garlic, cherry tomato, carrot, parsley root, pepper and radish - exhibited wide inter-food variation in the FAHFA profiles. Sixteen analyzed FAHFAs (palmitic, oleic, palmitoleic and stearic hydroxy-esters) showed microgram to low nanogram levels (0.165 ng/g - 32 μg/g FW), with the highest abundancy in oat, clementine, garlic and pineapple. Stearic acid hydroxy stearic acid (SAHSA) was the most abundant FAHFA, especially in the food with antioxidative, anti-inflammatory and beneficial metabolic effects. In contrary, the PAHSA - previously proven to have the strongest antihyperglycemic and insulin-sensitizing effects, was not present in some foods (radish, avocado, mango, lemon, cherry tomato, kiwi). Our study proves the importance of overall FAHFA analysis in food (especially in a functional food), because of their potential metabolic benefits and possible future incorporation in special diets.","Plant foods for human nutrition (Dordrecht, Netherlands)","['D000893', 'D004952', 'D005227', 'D005504', 'D055951', 'D006801', 'D007328', 'D008055', 'D013058', 'D024821', 'D010944']","['Anti-Inflammatory Agents', 'Esters', 'Fatty Acids', 'Food Analysis', 'Functional Food', 'Humans', 'Insulin', 'Lipids', 'Mass Spectrometry', 'Metabolic Syndrome', 'Plants']",Analysis of Fatty Acid Esters of Hydroxyl Fatty Acid in Selected Plant Food.,"['Q000032', 'Q000032', 'Q000032', None, None, None, 'Q000378', 'Q000032', None, 'Q000178', 'Q000737']","['analysis', 'analysis', 'analysis', None, None, None, 'metabolism', 'analysis', None, 'diet therapy', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/30993530,2019
30466367,"Levels of lead (Pb), cadmium (Cd), arsenic (As), and mercury (Hg) were evaluated in 359 samples of commonly consumed spices (cinnamon, parsley, basil, oregano, coriander seed, nutmeg, cumin, bay leaf, fenugreek, rosemary, thyme, fennel, sage, clove, marjoram, tarragon, caraway, dill seed, pepper, and turmeric) from the market in the Republic of Korea. The content of Pb, Cd, and As was assessed by acid wet digestion using a microwave oven and inductively coupled plasma mass spectrometry (ICP-MS). The content of Hg was analysed using a direct mercury analyzer (DMA). Pb, Cd, As, and Hg mean content in spices ranged from 0.039-0.972 mg kg","Food additives & contaminants. Part B, Surveillance","['D001151', 'D002104', 'D005506', 'D019686', 'D007854', 'D013058', 'D008628', 'D019216', 'D056910', 'D017365']","['Arsenic', 'Cadmium', 'Food Contamination', 'Lamiaceae', 'Lead', 'Mass Spectrometry', 'Mercury', 'Metals, Heavy', 'Republic of Korea', 'Spices']",Heavy metals in spices commonly consumed in Republic of Korea.,"['Q000032', 'Q000032', 'Q000032', 'Q000737', 'Q000032', 'Q000379', 'Q000032', 'Q000032', None, 'Q000032']","['analysis', 'analysis', 'analysis', 'chemistry', 'analysis', 'methods', 'analysis', 'analysis', None, 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/30466367,2019
28581738,"Furocoumarins are a class of photoactive compounds found in several plant species and may be responsible for the observed association between consumption of citrus products and the risk of skin cancer. Furocoumarin contents of several foods have been reported previously, but no comprehensive database of furocoumarin content of foods is currently available. Therefore, this study aimed to determine the distribution of furocoumarins in popularly consumed foods in the U.S. Samples of three varieties of each of 29 foods known or suspected to contain furocoumarins were purchased, prepared for analysis using a solid phase extraction method, and analyzed using UPLC-MS/MS for the presence of seven major furocoumarins. Most foods measured contained more than one furocoumarin, and some contained all seven of the furocoumarins examined. Total furocoumarin concentration was greatest in fresh parsley (23215 ng/g), grapefruits (21858 ng/g), lime juice (14580 ng/g), grapefruit juice (95341 ng/g), and limes (9151 ng/g). Bergamottin was found in the greatest proportion of foods sampled (23 of 29), followed by bergapten (19 of 29) and 6'7'-dihydroxybergamottin (16 of 29). These measurements will enable more accurate estimation of dietary furocoumarin exposure and will strengthen future epidemiological work investigating the relationships between furocoumarin intake and health outcomes.",Journal of agricultural and food chemistry,"['D002851', 'D005504', 'D005638', 'D000067030', 'D011564', 'D006801', 'D010936', 'D052616', 'D053719', 'D014481', 'D014675']","['Chromatography, High Pressure Liquid', 'Food Analysis', 'Fruit', 'Fruit and Vegetable Juices', 'Furocoumarins', 'Humans', 'Plant Extracts', 'Solid Phase Extraction', 'Tandem Mass Spectrometry', 'United States', 'Vegetables']",Identification and Quantitation of Furocoumarins in Popularly Consumed Foods in the U.S. Using QuEChERS Extraction Coupled with UPLC-MS/MS Analysis.,"['Q000379', None, 'Q000737', 'Q000032', 'Q000737', None, 'Q000737', 'Q000379', 'Q000379', None, 'Q000737']","['methods', None, 'chemistry', 'analysis', 'chemistry', None, 'chemistry', 'methods', 'methods', None, 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/28581738,2017
28455528,"Currently, in mass spectrometry-based metabolomics, limited reference mass spectra are available for flavonoid identification. In the present study, a database of probable mass fragments for 6,867 known flavonoids (FsDatabase) was manually constructed based on new structure- and fragmentation-related rules using new heuristics to overcome flavonoid complexity. We developed the FlavonoidSearch system for flavonoid annotation, which consists of the FsDatabase and a computational tool (FsTool) to automatically search the FsDatabase using the mass spectra of metabolite peaks as queries. This system showed the highest identification accuracy for the flavonoid aglycone when compared to existing tools and revealed accurate discrimination between the flavonoid aglycone and other compounds. Sixteen new flavonoids were found from parsley, and the diversity of the flavonoid aglycone among different fruits and vegetables was investigated.",Scientific reports,"['D016208', 'D005419', 'D013058', 'D055432', 'D028528']","['Databases, Factual', 'Flavonoids', 'Mass Spectrometry', 'Metabolomics', 'Petroselinum']",FlavonoidSearch: A system for comprehensive flavonoid annotation by mass spectrometry.,"[None, 'Q000737', None, 'Q000379', 'Q000737']","[None, 'chemistry', None, 'methods', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/28455528,2018
27117608,"Heavy metals (As, Cd, Co, Cr, Cu, Mn, Ni, Pb and Zn) in various vegetables (cabbage, green onion, lettuce, parsley, rocket, spinach, carrot, onion, potato and cauliflower) from the market in Jordan were measured using inductively coupled plasma-mass spectrometry. As, Cd, Co, Cr, Cu, Mn, Ni, Pb and Zn ranged from 0.009-0.275 mg kg(-1) wet weight, 0.004-0.060 mg kg(-1), 0.003-0.401 mg kg(-1), 0.105-3.51 mg kg(-1), 0.15-1.15 mg kg(-1), 0.93-14.39 mg kg(-1), 0.044-0.702 mg kg(-1), 0.072-0.289 mg kg(-1) and 2.23-6.65 mg kg(-1), respectively. Parsley, followed by spinach, contained the highest concentration of heavy metals. Onion contained high levels of toxic heavy metals. The content of Cu in parsley and spinach and Pb in onion exceeded the Codex limits. However, the daily intake of heavy metals from the tested vegetables was lower than the maximum limits for allowable intake. ","Food additives & contaminants. Part B, Surveillance","['D000328', 'D001151', 'D004032', 'D004034', 'D004785', 'D005062', 'D035263', 'D005506', 'D005513', 'D006801', 'D007597', 'D019216', 'D019055', 'D018515', 'D018517', 'D035281', 'D013054', 'D014480', 'D014675', 'D014944']","['Adult', 'Arsenic', 'Diet', 'Diet Surveys', 'Environmental Pollutants', 'European Union', 'Flowering Tops', 'Food Contamination', 'Food Inspection', 'Humans', 'Jordan', 'Metals, Heavy', 'No-Observed-Adverse-Effect Level', 'Plant Leaves', 'Plant Roots', 'Plant Tubers', 'Spectrophotometry, Atomic', 'United Nations', 'Vegetables', 'World Health Organization']",Heavy metals in vegetables sold in the local market in Jordan.,"[None, 'Q000032', 'Q000009', None, 'Q000032', None, 'Q000009', None, None, None, None, 'Q000032', None, 'Q000009', 'Q000009', 'Q000009', None, None, 'Q000009', None]","[None, 'analysis', 'adverse effects', None, 'analysis', None, 'adverse effects', None, None, None, None, 'analysis', None, 'adverse effects', 'adverse effects', 'adverse effects', None, None, 'adverse effects', None]",https://www.ncbi.nlm.nih.gov/pubmed/27117608,2017
