PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
35503969,"Food additives are widespread in the human diet; however, their excessive intake can have an impact on the quality of health. This study evaluated food additives in bread and pasta products consumed by residents in various regions of Jilin Province, People's Republic of China, from 2019 to 2021. We collected samples of bread and six types of pasta products from farmers' markets and morning markets and used high-performance liquid chromatography, UV-visible spectrophotometry, and graphite furnace atomic absorption spectrometry to detect the content of the following food additives: sodium formaldehyde sulfoxylate, aluminum, and borate compounds. For 836 samples in total, we detected the presence of sodium formaldehyde sulfoxylate, aluminum, and borate compounds in excess rates reaching 3.5, 10, and 4.7%, respectively. Aluminum in fried breadsticks exceeded the standard by 40%. The results of this study can be used to assess the overall pass rate of bread and pasta products sold in Jilin Province and support the detection of possible food safety problems.",Journal of food protection,"['D000535', 'D001881', 'D001939', 'D002681', 'D005503', 'D005557', 'D006801', 'D012964', 'D014908']","['Aluminum', 'Borates', 'Bread', 'China', 'Food Additives', 'Formaldehyde', 'Humans', 'Sodium', 'Triticum']","Detection of Sodium Formaldehyde Sulfoxylate, Aluminum, and Borate Compounds in Bread and Pasta Products Consumed by Residents in Jilin Province, China.","['Q000032', 'Q000032', 'Q000032', None, 'Q000737', None, None, None, 'Q000737']","['analysis', 'analysis', 'analysis', None, 'chemistry', None, None, None, 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/35503969,2022
35413754,"Headspace solid-phase microextraction (HS-SPME) coupled with mass spectrometry-based electronic nose (MS-eNose), in combination with multivariate statistical analysis was used as untargeted method for the rapid authentication of 100% Italian durum wheat pasta. Among the tested classification models, i.e. PCA-LDA, PLS-DA and SVMc, SVMc provided the highest accuracy results in both calibration (90%) and validation (92%) processes. Potential markers discriminating pasta samples were identified by HS-SPME/GC-MS analysis. Specifically, the content of a pattern of 8 out of 59 volatile organic compounds (VOCs) was significantly different between samples of 100% Italian durum wheat pasta and pasta produced with durum wheat of different origins, most of which were related to different lipidic oxidation in the two classes of pasta. The proposed MS-eNose method is a rapid and reliable tool to be used for authenticating Italian pasta useful to promote its typicity and preserving consumers from fraudulent practices.",Food chemistry,"['D062609', 'D008401', 'D013058', 'D052617', 'D014908', 'D055549']","['Electronic Nose', 'Gas Chromatography-Mass Spectrometry', 'Mass Spectrometry', 'Solid Phase Microextraction', 'Triticum', 'Volatile Organic Compounds']",Mass spectrometry-based electronic nose to authenticate 100% Italian durum wheat pasta and characterization of volatile compounds.,"[None, 'Q000379', None, 'Q000379', None, 'Q000032']","[None, 'methods', None, 'methods', None, 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/35413754,2022
35072972,"Vegans might have a higher exposure to mycotoxins due to their heightened consumption of typical mycotoxin containing food sources. Yet, data on internal exposure among vegans in comparison to omnivores are currently lacking.",Molecular nutrition & food research,"['D003430', 'D000067269', 'D005260', 'D006801', 'D008297', 'D009183', 'D018570', 'D053719', 'D000066989']","['Cross-Sectional Studies', 'Diet, Vegan', 'Female', 'Humans', 'Male', 'Mycotoxins', 'Risk Assessment', 'Tandem Mass Spectrometry', 'Vegans']",Mycotoxins in Serum and 24-h Urine of Vegans and Omnivores from the Risks and Benefits of a Vegan Diet (RBVD) Study.,"[None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/35072972,2022
34776374,"Auramine o (AO) is a synthetic dye used in paper and textile industries. Although it has been an unauthorized food additive in many countries due to its toxic and carcinogenic possibility, its illegal uses have been detected in certain food products such as pasta, semolina and spices and also in pharmaceuticals. The presence of AO in food products should be monitored, therefore, to minimize the negative health effects on consumers. In this study, a simple, highly sensitive and selective label free detection method was investigated for AO by G-quadruplex-based fluorescent turn-on strategy. The optimum fluorescent detection assay was achieved with a specific G-quadruplex DNA sequence, c-myc, at 400 nM in Tris-HCl buffer at pH 7.4. The linearity of fluorescence intensity depending on AO concentration ranged from 0 to 0.07 µM and LOD and LOQ were 3 nM and 10 nM, respectively. The G-quadruplex-based detection assay was highly specific for AO as compared to other two synthetic food colorings and successfully applied to determine AO in pasta, bulgur and curry powder with recoveries in the range from 70.33% to 106.49%. This G-quadruplex-based label free detection assay has a significant potential to be used in the detection of AO in food products.","Spectrochimica acta. Part A, Molecular and biomolecular spectroscopy","['D001576', 'D015374', 'D005456', 'D054856', 'D057230', 'D013050', 'D013194']","['Benzophenoneidum', 'Biosensing Techniques', 'Fluorescent Dyes', 'G-Quadruplexes', 'Limit of Detection', 'Spectrometry, Fluorescence', 'Staining and Labeling']",Label free detection of auramine O by G-quadruplex-based fluorescent turn-on strategy.,"[None, None, None, None, None, None, None]","[None, None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34776374,2021
34237558,"This study investigates the impact of different pasta cooking durations (al dente, fully cooked or overcooked) on the carotenoid content and physical properties of whole wheat and refined semolina pasta prepared from three Canadian durum wheat cultivars. Carotenoids were analyzed using HPLC and spectrophotometry. Generally increasing cooking duration non-significantly increased lutein, zeaxanthin, total carotenoids, significantly increased the cis carotenoids but decreased carotenoid retention and firmness regardless of flour type or wheat cultivar. Despite this decrease, whole wheat pasta was significantly firmer than semolina when overcooked regardless of wheat cultivar. Antioxidant capacity was highly influenced by flour type but did not show a clear trend with cooking duration. Overall analysis indicates that increasing cooking duration of whole wheat or semolina pasta above 7 or 8 mins respectively allows for the maximum extraction of carotenoids with possible accessibility by digestive enzymes when consumed but this affects cooking quality including high cooking loss.",Food chemistry,"['D000975', 'D002170', 'D002338', 'D003296', 'D005433', 'D014908']","['Antioxidants', 'Canada', 'Carotenoids', 'Cooking', 'Flour', 'Triticum']","Influence of cooking duration on carotenoids, physical properties and in vitro antioxidant capacity of pasta prepared from three Canadian durum wheat cultivars.","[None, None, None, None, 'Q000032', None]","[None, None, None, None, 'analysis', None]",https://www.ncbi.nlm.nih.gov/pubmed/34237558,2021
34227367,"A valid method based on ultra-performance liquid chromatography-tandem mass spectrometry (UPLC-MS/MS) with a chiral stationary phase was established for the determination of myclobutanil enantiomer residue in wheat grain and its processed products (flour, bran, pasta, steamed bun, noodle, and cooking water). The wheat grain and processed product samples were extracted with acetonitrile and purified with primary secondary amine (PSA) and C18. The enantiomers of myclobutanil were separated by Chiral column Lux Cellulose-1 (150 mm×2.0 mm, 3 μm, Phenomenex). The column temperature, sample volume injected, and flow rate were 30 ℃, 5 μL, and 0.25 mL/min, respectively. The mobile phase consisted of phase A (25%), water with 0.1% formic acid and 4 mM ammonium acetate, and phase B (75%), methanol with 0.1% formic acid and 4 mM ammonium acetate. A Waters Xevo TQ-S Micro MS/MS system (Waters, USA) was used for mass spectrometric analysis. An electrospray ionization (ESI) source operating in the positive ionization mode. MS analyses were performed in the multiple reaction monitoring (MRM) mode. The qualitative ions of myclobutanil were ",Se pu = Chinese journal of chromatography,"['D002851', 'D002853', 'D005433', 'D005506', 'D009570', 'D053719', 'D014230', 'D014908']","['Chromatography, High Pressure Liquid', 'Chromatography, Liquid', 'Flour', 'Food Contamination', 'Nitriles', 'Tandem Mass Spectrometry', 'Triazoles', 'Triticum']",[Determination of myclobutanil enantiomers in wheat and its processed products by ultraperformance liquid chromatography-tandem mass spectrometry based on a chiral stationary phase].,"[None, None, 'Q000032', 'Q000032', 'Q000032', None, 'Q000032', 'Q000737']","[None, None, 'analysis', 'analysis', 'analysis', None, 'analysis', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/34227367,2021
33923097,"Celiac disease (CD) is a genetic-based autoimmune disorder which is characterized by inflammation in the small intestinal mucosa due to the intolerance to gluten. Celiac people should consume products without gluten, which are elaborated mainly with maize or other cereals. Contamination of cereals with mycotoxins, such as fumonisins (FBs) and aflatoxins (AFs) is frequently reported worldwide. Therefore, food ingestion is the main source of mycotoxin exposure. A new analytical method was developed and validated for simultaneous analysis of 21 mycotoxins in gluten-free pasta, commonly consumed by celiac population as an alternative to conventional pasta. Ultrahigh-performance liquid chromatography coupled to quadrupole Orbitrap high-resolution mass spectrometry (UHPLC-Q-Exactive Orbitrap MS) was used for analyte separation and detection. The mycotoxins included in this work were those widely reported to occur in cereal samples, namely, ochratoxin-A (OTA), aflatoxins (AFB1, AFB2, AFG1 and AFG2), zearalenone (ZON), deoxynivalenol (DON), 3-acetyl-deoxynivalenol and 15-acetyl-deoxynivalenol (3-AcDON and 15-AcDON, respectively), nivalenol (NIV), neosolaniol (NEO), fusarenone-X, (FUS-X), T-2 toxin (T-2) and HT-2 toxin (HT-2), fumonisin B1 and B2 (FB1 and FB2, respectively), enniatins (ENN A, ENN A1, ENN B and ENN B1) and beauvericin (BEA). The validated method was successfully applied to 84 gluten-free pasta samples collected from several local markets of Campania region (Italy) during September to November 2020 to monitor the occurrence of mycotoxins and to assess the exposure to these food contaminants. A significant number of samples (95%) showed mycotoxin contamination, being ",Toxins,"['D000293', 'D000328', 'D000368', 'D002648', 'D002675', 'D002851', 'D055050', 'D002523', 'D005260', 'D005516', 'D006801', 'D008297', 'D013058', 'D008875', 'D009183', 'D018570', 'D055815']","['Adolescent', 'Adult', 'Aged', 'Child', 'Child, Preschool', 'Chromatography, High Pressure Liquid', 'Diet, Gluten-Free', 'Edible Grain', 'Female', 'Food Microbiology', 'Humans', 'Male', 'Mass Spectrometry', 'Middle Aged', 'Mycotoxins', 'Risk Assessment', 'Young Adult']",Mycotoxin Occurrence and Risk Assessment in Gluten-Free Pasta through UHPLC-Q-Exactive Orbitrap MS.,"[None, None, None, None, None, 'Q000379', 'Q000009', 'Q000737', None, 'Q000706', None, None, 'Q000379', None, 'Q000009', None, None]","[None, None, None, None, None, 'methods', 'adverse effects', 'chemistry', None, 'statistics & numerical data', None, None, 'methods', None, 'adverse effects', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/33923097,2021
33916622,"Durum wheat grains, which are mostly used for the production of pasta and several baked goods, represent a main source of vegetable proteins and calories. Concurrently, many contaminants, including toxic trace elements, may accumulate in them, posing a potential severe hazard to human health. In this context, for official control and food safety purposes, 346 samples of whole durum wheat imported into the Italian market from six countries (Australia, Canada, Kazakhstan, Russia, Turkey, and the United States) during the period 2015-2020 were analysed for cadmium (Cd), lead (Pb), and mercury (Hg) content using inductively coupled plasma mass spectrometry (ICP-MS). All the analysed samples were compliant with Food Agriculture Organization-World Health Organization and European Union regulations. The mean values were 0.0322 and 0.0162 mg kg","Foods (Basel, Switzerland)",[],[],Evaluation and Dietary Exposure Assessment of Selected Toxic Trace Elements in Durum Wheat (,[],[],https://www.ncbi.nlm.nih.gov/pubmed/33916622,2021
33545578,"An analytical approach using high-performance liquid chromatography-tandem mass spectrometry (LC-MS/MS) was developed to simultaneously detect Fagopyrum esculentum Moench (buckwheat) and cereals containing gluten (Triticum species including wheat and spelt, rye, barley, and oats) that were specified in regulations for food allergen labeling on processed foods. Trypsin-digested peptides were purified from different processed food commodities and heptapeptides derived from buckwheat 13S globulin (GFIVQAR, m/z 395.8 [precursor] > 177.0 [product]) and Triticum low molecular weight glutenin (QIPEQSR, m/z 429.3 [precursor] > 616.2 [product]) were specifically detected each species at levels as low as 0.050-0.056 µg/L and 0.028-0.032 µg/L, respectively. Detection of these synthetic peptides was quantitative to over 100 µg/L by reference to the synthetic peptide calibration curves and at recovery rates, 76.6 ± 4.1%-104.8 ± 17.1% and 82.4 ± 2.0%-105.8 ± 5.3%, for GFIVQAR and QIPEQSR, respectively, when 1-1,000 µg of these peptides were spiked into a retort tomato sauce for pasta or dried instant soup. In combination with LC-MS/MS detection methods specific to other cereals containing gluten (rye, barley, and oats), the developed analytical approach was applicable to a wide variety of processed food commodities for food allergen labeling.",Journal of chromatography. A,"['D000485', 'D002851', 'D002523', 'D005504', 'D005512', 'D010455', 'D053719']","['Allergens', 'Chromatography, High Pressure Liquid', 'Edible Grain', 'Food Analysis', 'Food Hypersensitivity', 'Peptides', 'Tandem Mass Spectrometry']",Development of a simple and reliable high-performance liquid chromatography-tandem mass spectrometry approach to simultaneously detect grains specified in food allergen labeling regulation on processed food commodities.,"['Q000032', None, 'Q000737', None, 'Q000175', 'Q000032', 'Q000379']","['analysis', None, 'chemistry', None, 'diagnosis', 'analysis', 'methods']",https://www.ncbi.nlm.nih.gov/pubmed/33545578,2021
33007362,"Flour-based products, one staple food items of Armenians' diet, can be major contributors to the total exposure to trace elements. Therefore, this pilot study estimated the exposure to potentially toxic trace elements (Pb, Cd, Hg, Ni, Mo, Cu), and the related health risks, through consumption of the main flour-based products (white bread, lavash, pasta, cookies) in the capital city Yerevan. The TE contents in market samples were analyzed using atomic absorption spectrometry. The product consumption data were obtained via a 24-h recall survey amongst Yerevan adults (1272 respondents). Following the K-mean clustering test, three clusters were determined for each type of the product intake. The daily intakes and margin of exposure of trace elements were calculated by the deterministic approach. Considering the health-based guidance values and the obtained daily intakes, concerns for consumer safety were identified in case of dietary exposure to Ni. Moreover, the estimated of all studied elements highlighted that a consumer health concern (identified by margin of exposure less than 10) cannot be excluded in the case of white bread (mainly) as well as lavash and cookies consumption. This pilot study provides important highlights towards future total diet studies in Armenia.",Food and chemical toxicology : an international journal published for the British Industrial Biological Research Association,"['D000818', 'D001136', 'D003906', 'D000074341', 'D005433', 'D006801', 'D010865', 'D018570', 'D014131']","['Animals', 'Armenia', 'Developing Countries', 'Dietary Exposure', 'Flour', 'Humans', 'Pilot Projects', 'Risk Assessment', 'Trace Elements']","Risk assessment of dietary exposure to potentially toxic trace elements in emerging countries: A pilot study on intake via flour-based products in Yerevan, Armenia.","[None, None, None, None, None, None, None, None, 'Q000633']","[None, None, None, None, None, None, None, None, 'toxicity']",https://www.ncbi.nlm.nih.gov/pubmed/33007362,2021
