PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
35347716,"Fermentation of eight vegetables was studied as an alternative for reclamation of surplus volumes. Fermentation performance was predicted by comparing the amounts of acid that could be produced from the intrinsic sugar content with that buffered by the fresh vegetable matrices prior to reaching an inhibitory pH for fermentative microbes (3.30). Native fermentations were brined with 345.0 mM sodium chloride, 40.0 mM calcium chloride, 6.0 mM potassium sorbate, and vinegar to adjust the initial pH to 4.70. High-performance liquid chromatography analysis, pH, and carbon dioxide measurements and spiral plating on selective media were employed to monitor the progress of fermentations. The average colony counts for yeast and/or molds and Enterobacteriaceae declined to undetectable levels from 3.6 ± 1.5 log CFU/ml within 7 days of fermentation. The fermentation of sugars produced lactic, acetic, succinic, and/or malic acids, and ethanol. As predicted, the fermentation of vegetables with low sugar content, such as broccoli, green leaf lettuce, and green pea proceeded to completion. The fermentation of vegetables with a moderate sugar content, such as green bell pepper, red ripened tomato, and green bean were incomplete at pH 3.1 ± 0.2. The fermentation of high sugar vegetables including sweet potato and corn were expected and observed to be incomplete. It is concluded that the intrinsic sugar content and buffer capacity of surplus vegetables are relevant parameters in obtaining complete fermentations. PRACTICAL APPLICATION: Vegetables are the second most wasted commodity in the United States and a substantial constituent of the global food waste. Development of fermentation to reclaim surplus vegetables from farms, grocery stores, and farmer's markets offers opportunities to ameliorate economic losses and environmental impact and add value to waste. The research described here suggests that a fraction of vegetables could be fermented in cover brines while others, with high sugar content, need specialized handling. Evidently, optimization of vegetable fermentation with starter cultures and added buffers represent an opportunity to stimulate complete bioconversions useful for reclaiming surplus volumes.",Journal of food science,[],[],Vegetable fermentations brined with low salt for reclaiming food waste.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35347716,2022
35312095,"The present work describes the persistence, dissipation behaviour, half-life, risk assessment and novel gas chromatography method for the residue estimation of cypermethrin in green pea by spraying cypermethrin 10EC at 50 g a.i. ha",Biomedical chromatography : BMC,[],[],"Risk assessment, development and validation of a GC-ECD-based method for the quantification of cypermethrin from green pea.",[],[],https://www.ncbi.nlm.nih.gov/pubmed/35312095,2022
35243353,"Flubendiamide (FBD) is the first commercially available phthalic acid diamide that targets ryanodine receptors (RyRs) in insects, which play a major role in lepidoptera control. However, excessive use of FBD can influence the quality of treated products leading to toxic effects on human health. The availability of rapid and convenient methods for evaluating FBD amount in the environment is necessary. Therefore, analytical methods were developed for the determination of residues of FBD and its metabolite desiodo in different food matrices like tomato, cabbage, pigeon pea, apple, chilli and rice. The current review carries forward methods for FBD residues analysis in foods by using several chromatographic techniques including sample preparation steps. The comparison between the different methods employed for quantitative and qualitative analysis of food quality and safety is also discussed. Liquid chromatography (LC) is the predominant analytical method for assessing the quality of foods treated with FBD. Studies related to LC coupled multichannel detector (Ultraviolet (UV), Mass spectrometry (MS)) are also applied to detect pesticide residues. Extraction and clean up steps are essential to obtain reliable results. Moreover, this review reports the allowed limits of residues for the safety of consuming products treated with FBD.",Current research in food science,[],[],Extraction and determination of flubendiamide insecticide in food samples: A review.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35243353,2022
35080159,"Disulfoton, an organophosphorus pesticide, is used to control cotton, beet, potato, and other seedling period aphids, leaf moths, underground pests, etc., with internal absorption, killing, gastric poisoning, and fumigation. Disulfoton is a highly toxic organophosphate pesticide, which can inhibit cholinesterase activity, resulting in neurophysiological disorders by inhalation, feeding, and transdermal absorption. Disulfoton is difficult to degrade in the environment, which leads to enrichment in organisms and interference with endocrine. This compound is harmful to the ecological environment and human health. To ensure the quality and safety of food, it is important to develop a detection method for disulfoton and its metabolites in agricultural products. A reliable method based on dispersive solid phase extraction (d-SPE) with ultra high performance liquid chromatography-tandem mass spectrometry (UHPLC-MS/MS) was developed for the determination of disulfoton and its metabolites (disulfoton sulfone, disulfoton sulfoxide, demeton-",Se pu = Chinese journal of chromatography,"['D002851', 'D004222', 'D006801', 'D037742', 'D009943', 'D010575', 'D052616', 'D053719']","['Chromatography, High Pressure Liquid', 'Disulfoton', 'Humans', 'Nanotubes, Carbon', 'Organophosphorus Compounds', 'Pesticides', 'Solid Phase Extraction', 'Tandem Mass Spectrometry']",[Determination of disulfoton and its metabolites in agricultural products by dispersive soild phase extraction-ultra high performance liquid chromatography-tandem mass spectrometry].,"[None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/35080159,2022
34361692,"Butterfly pea flower have great sensory attraction, but they have not yet been used widely in Vietnam. Extracts of butterfly pea flowers can be used conveniently as a natural blue colorant for food products. In this study, the identification of anthocyanin compounds in butterfly pea flowers was performed by UPLC coupled with a UV and Mass spectrometer instrument. Positive and negative ion electrospray MS/MS chromatograms and spectra of the anthocyanin compounds were determined. By analyzing the chromatograms and spectra for each ion, five anthocyanins were identified in the butterfly pea flower extract; these were delphinidin-3-(6″-","Molecules (Basel, Switzerland)","['D000872', 'D002851', 'D031292', 'D035264', 'D010860', 'D010936', 'D053719', 'D014466', 'D014744']","['Anthocyanins', 'Chromatography, High Pressure Liquid', 'Clitoria', 'Flowers', 'Pigments, Biological', 'Plant Extracts', 'Tandem Mass Spectrometry', 'Ultraviolet Rays', 'Vietnam']",Identification of Anthocyanin Compounds in Butterfly Pea Flowers (,"['Q000737', 'Q000379', 'Q000737', 'Q000737', 'Q000737', 'Q000737', 'Q000379', None, None]","['chemistry', 'methods', 'chemistry', 'chemistry', 'chemistry', 'chemistry', 'methods', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34361692,2021
34312871,"The use of plant proteins as food ingredients might be limited due to the presence of foreign or 'off' flavors, which may evolve during extraction and subsequent processing. In this study, the influence of dry (TVP) and wet (WTP) texturization on characteristic volatile compounds of two different pea protein isolates was assessed using gas chromatography-mass spectrometry-olfactometry (GC-MS-O) after direct immersion stir bar sorptive extraction (DI-SBSE).",Journal of the science of food and agriculture,"['D005223', 'D005421', 'D008401', 'D009812', 'D010084', 'D000078724', 'D018532', 'D052616', 'D055549']","['Fats', 'Flavoring Agents', 'Gas Chromatography-Mass Spectrometry', 'Odorants', 'Oxidation-Reduction', 'Pea Proteins', 'Peas', 'Solid Phase Extraction', 'Volatile Organic Compounds']",Influence of protein extraction and texturization on odor-active compounds of pea proteins.,"['Q000737', 'Q000737', None, 'Q000032', None, 'Q000737', 'Q000737', 'Q000379', 'Q000737']","['chemistry', 'chemistry', None, 'analysis', None, 'chemistry', 'chemistry', 'methods', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/34312871,2022
34201792,"Pulse crop seed coats are a sustainable source of antioxidant polyphenols, but are typically treated as low-value products, partly because some polyphenols reduce iron bioavailability in humans. This study correlates antioxidant/iron chelation capabilities of diverse seed coat types from five major pulse crops (common bean, lentil, pea, chickpea and faba bean) with polyphenol composition using mass spectrometry. Untargeted metabolomics was used to identify key differences and a hierarchical analysis revealed that common beans had the most diverse polyphenol profiles among these pulse crops. The highest antioxidant capacities were found in seed coats of black bean and all tannin lentils, followed by maple pea, however, tannin lentils showed much lower iron chelation among these seed coats. Thus, tannin lentils are more desirable sources as natural antioxidants in food applications, whereas black bean and maple pea are more suitable sources for industrial applications. Regardless of pulse crop, proanthocyanidins were primary contributors to antioxidant capacity, and to a lesser extent, anthocyanins and flavan-3-ols, whereas glycosylated flavonols contributed minimally. Higher iron chelation was primarily attributed to proanthocyanidin composition, and also myricetin 3-","Molecules (Basel, Switzerland)","['D000975', 'D044946', 'D001682', 'D002392', 'D029863', 'D000078331', 'D005419', 'D044948', 'D020128', 'D007502', 'D027806', 'D013058', 'D055432', 'D010636', 'D059808', 'D044945', 'D012639', 'D013634', 'D031307']","['Antioxidants', 'Biflavonoids', 'Biological Availability', 'Catechin', 'Cicer', 'Correlation of Data', 'Flavonoids', 'Flavonols', 'Inhibitory Concentration 50', 'Iron Chelating Agents', 'Lens Plant', 'Mass Spectrometry', 'Metabolomics', 'Phenols', 'Polyphenols', 'Proanthocyanidins', 'Seeds', 'Tannins', 'Vicia faba']",An Untargeted Metabolomics Approach for Correlating Pulse Crop Seed Coat Polyphenol Profiles with Antioxidant Capacity and Iron Chelation Ability.,"['Q000032', 'Q000032', None, 'Q000032', 'Q000737', None, 'Q000032', 'Q000032', None, 'Q000737', 'Q000737', None, 'Q000379', 'Q000032', 'Q000032', 'Q000032', 'Q000737', 'Q000032', 'Q000737']","['analysis', 'analysis', None, 'analysis', 'chemistry', None, 'analysis', 'analysis', None, 'chemistry', 'chemistry', None, 'methods', 'analysis', 'analysis', 'analysis', 'chemistry', 'analysis', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/34201792,2021
34082289,"Legumes are the main sources of folates which are not synthesized in the human body. The five folate species: 5-methyl tetrahydrofolate, tetrahydrofolate, pteroyl glutamate, 5-formyl tetrahydrofolate and 10-formyl tetrahydrofolate were quantitatively determined in legumes seeds and sprouts by a newly developed and validated high performance thin layer chromatography method. High resolution plate imaging hyphenated to mass spectrometry was exploited for fingerprint analysis of tested samples. Results indicated that germination of all seeds resulted in a 2.5-4 fold increase in the content of total folates as well as the individual vitamers. The total amount of folate reached a maximum on the fifth day in the case of black-eyed peas (861 μg/100 g Fresh Weight), white beans (755 μg/100 g FW) and brown lentils (681 μg/100 g FW). 5-CH",Food chemistry,"['D002855', 'D007887', 'D005492', 'D005504', 'D018525', 'D007091', 'D027806', 'D002955', 'D013058', 'D057054', 'D015999', 'D015203', 'D012639', 'D013763']","['Chromatography, Thin Layer', 'Fabaceae', 'Folic Acid', 'Food Analysis', 'Germination', 'Image Processing, Computer-Assisted', 'Lens Plant', 'Leucovorin', 'Mass Spectrometry', 'Molecular Imaging', 'Multivariate Analysis', 'Reproducibility of Results', 'Seeds', 'Tetrahydrofolates']",Determination of the effect of germination on the folate content of the seeds of some legumes using HPTLC-mass spectrometry-multivariate image analysis.,"['Q000379', 'Q000737', 'Q000032', 'Q000379', None, None, 'Q000737', 'Q000031', 'Q000379', 'Q000379', None, None, 'Q000737', 'Q000032']","['methods', 'chemistry', 'analysis', 'methods', None, None, 'chemistry', 'analogs & derivatives', 'methods', 'methods', None, None, 'chemistry', 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/34082289,2021
33920266,"β-Phenylethylamine hydrochloride (PEA-HCl) and ethyl acetoacetate (EAA) are anti-microbials with applications in food processing. As food anti-microbials, the compounds will have to withstand the cooking process without changing to toxic compounds. With this Communication, we address the question of whether PEA and EAA are altered when heated to 73.9 °C or 93.3 °C. A combination of gas chromatography and mass spectrometry was used to analyze solutions of PEA(-HCl) or EAA in beef broth or water. In addition, the anti-microbial activity of PEA-HCl and EAA was compared between heated and unheated samples at a range of concentrations. The gas chromatograms of PEA(-HCl) and EAA showed one peak at early retention times that did not differ between the heated and unheated samples. The mass spectra for PEA and EAA were near identical to those from a spectral database and did not show any differences between the heated and unheated samples. We conclude that PEA(-HCl) and EAA formed pure solutions and were not altered during the heating process. In addition, the anti-microbial activity of PEA-HCl and EAA did not change after the heating of the compounds. Regardless of temperature, the minimal inhibitory concentrations (MICs) for PEA-HCl were 20.75 mmol mL","Antibiotics (Basel, Switzerland)",[],[],The Food Anti-Microbials β-Phenylethylamine (-HCl) and Ethyl Acetoacetate Do Not Change during the Heating Process.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/33920266,2021
33813806,"Literature data about semi-volatile organic compounds in plants and the effect of cerium oxide nanoparticles on them are scarce. Surface modification of nanoparticles may change nanoparticle-environment interaction, and therefore affects compounds in plants. In this research, uncoated and glucose-, levan-, and pullulan-coated cerium oxide nanoparticles were used for wheat and pea treatment during the growth. The aim was the screening of semi-volatile organic compounds from plants' shoots using comprehensive two-dimensional gas chromatography-mass spectrometry, a powerful separation technique allowing to reach unique separation resolution, and investigation of qualitative changes after the treatment with coated cerium oxide nanoparticles. The results were analyzed by the identification of individual peaks and fingerprint analysis by image processing. Wheat samples contained a higher number of semi-volatile organic compounds (108) compared to pea (77) but were less affected by the treatments with coated nanoparticles. The highest number of compounds was detected in wheat after the treatment with levan- and pullulan-coated nanoparticles, and in pea after treatment with levan-coated nanoparticles. This article reports a successful application of a semi-volatile organic compounds profile presented only as categorical variables and unique fingerprint images for the inter-cultivar recognition. This method may be useful in screening nanoparticles' effects on different plants.",Journal of separation science,"['D002563', 'D008401', 'D053758', 'D018532', 'D014908', 'D055549']","['Cerium', 'Gas Chromatography-Mass Spectrometry', 'Nanoparticles', 'Peas', 'Triticum', 'Volatile Organic Compounds']",Screening of semi-volatile compounds in plants treated with coated cerium oxide nanoparticles by comprehensive two-dimensional gas chromatography.,"['Q000737', None, 'Q000737', 'Q000737', 'Q000737', 'Q000737']","['chemistry', None, 'chemistry', 'chemistry', 'chemistry', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/33813806,2021
