PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
35292709,"Diet based on cereal, vegetables, oleaginous and dried fish are providing essential metallic elements. It can be also a source of exposure to toxic metallic elements. The aims of this study were to evaluate the contents on nine metallic trace elements (Fe, Zn, Mn, Co, Cd, Pb, Cu, Ni, Cr) in some major raw foodstuffs including rice, maize, peanut, tomato and dried fish in Burkina Faso and assess the health risk of these elements. Two hundred twenty-two samples were collected and analyzed by atomic absorption spectrometry. The health risk assessment was based on the United States Environment Protection Agency (USEPA) model. Iron and Zinc were the elements with the highest concentrations in the investigated foodstuffs. The iron highest median value (68.80 mg/kg) was observed in dried fish followed by maize (43.09 mg/kg) and peanuts (28.92 mg/kg). Rates of 77.95%, 66.66% and 32.5% obtained respectively fro tomato, maize and rice samples were above the maximum limit of lead set by Codex Alimentarius while 47.6%, 71.16% and 0% of maize, tomato and rice samples respectively have shown concentration above the maximum limit of cadmium. Chromium had shown higher contribution rate to the maximum daily intake of 167.11%, 34%, 2% and 8.53% for rice, maize and peanut respectively. A non-cancer risk situation has been observed on rice, maize and peanut consumption. None of the index risk values was above the threshold set by USEPA.",Scientific reports,[],[],Evaluation of metallic trace elements contents in some major raw foodstuffs in Burkina Faso and health risk assessment.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35292709,2022
35267361,"Consumption of tree nuts and peanuts has considerably increased over the last decades due to their nutritional composition and the content of beneficial compounds. On the other hand, such widespread consumption worldwide has also generated a growing incidence of allergy in the sensitive population. Allergy to nuts and peanuts represents a global relevant problem, especially due to the risk of the ingestion of hidden allergens as a result of cross-contamination between production lines at industrial level occurring during food manufacturing. The present review provides insights on peanuts, almonds, and four nut allergens-namely hazelnuts, walnuts, cashew, and pistachios-that are likely to cross-contaminate different food commodities. The paper aims at covering both the biochemical aspect linked to the identified allergenic proteins for each allergen category and the different methodological approaches developed for allergens detection and identification. Attention has been also paid to mass spectrometry methods and to current efforts of the scientific community to identify a harmonized approach for allergens quantification through the detection of allergen markers.","Foods (Basel, Switzerland)",[],[],Tree Nuts and Peanuts as a Source of Beneficial Compounds and a Threat for Allergic Consumers: Overview on Methods for Their Detection in Complex Food Products.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35267361,2022
35201367,"The design and production of incurred test materials are critical for the development and validation of methods for food allergen analysis. This is because production and processing conditions, together with the food matrix, can modify allergens affecting their structure, extractability and detectability. For the ThRAll project, which aims to develop a mass spectrometry-based reference method for the simultaneous accurate quantification of six allergenic ingredients in two hard to analyse matrices. Two highly processed matrices, chocolate bars and broth powder, were selected to incur with six allergenic ingredients (egg, milk, peanut, soy, hazelnut and almond) at 2, 4, 10 and 40 mg total allergenic protein/kg food matrix using a pilot-scale food manufacturing plant. The allergenic activity of the ingredients incurred was verified using food-allergic patient serum/plasma IgE, the homogeneity of the incurred matrices verified and their stability at 4 °C assessed over at least 30-month storage using appropriate enzyme-linked immunosorbent assays (ELISA). Allergens were found at all levels from the chocolate bar and were homogenously distributed, apart from peanut and soy which could only be determined above 4 mg total allergenic ingredient protein/kg. The homogeneity assessment was restricted to analysis of soy, milk and peanut for the broth powder but nevertheless demonstrated that the allergens were homogeneously distributed. All the allergens tested were found to be stable in the incurred matrices for at least 30 months demonstrating they are suitable for method development.",Analytical and bioanalytical chemistry,"['D000485', 'D010367', 'D000069956', 'D004797', 'D005504', 'D005512', 'D006801', 'D011208']","['Allergens', 'Arachis', 'Chocolate', 'Enzyme-Linked Immunosorbent Assay', 'Food Analysis', 'Food Hypersensitivity', 'Humans', 'Powders']",Development of incurred chocolate bars and broth powder with six fully characterised food allergens as test materials for food allergen analysis.,"['Q000032', 'Q000737', 'Q000032', None, 'Q000379', None, None, None]","['analysis', 'chemistry', 'analysis', None, 'methods', None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/35201367,2022
35161972,"As it is high in value, extra virgin olive oil (EVOO) is frequently blended with inferior vegetable oils. This study presents an optical method for determining the adulteration level of EVOO with soybean oil as well as peanut oil using LED-induced fluorescence spectroscopy. Eight LEDs with central wavelengths from ultra-violet (UV) to blue are tested to induce the fluorescence spectra of EVOO, peanut oil, and soybean oil, and the UV LED of 372 nm is selected for further detection. Samples are prepared by mixing olive oil with different volume fractions of peanut or soybean oil, and their fluorescence spectra are collected. Different pre-processing and regression methods are utilized to build the prediction model, and good linearity is obtained between the predicted and actual adulteration concentration. This result, accompanied by the non-destruction and no pre-treatment characteristics, proves that it is feasible to use LED-induced fluorescence spectroscopy as a way to investigate the EVOO adulteration level, and paves the way for building a hand-hold device that can be applied to real market conditions in the future.","Sensors (Basel, Switzerland)","['D010367', 'D005506', 'D000069463', 'D010938', 'D013024', 'D013050']","['Arachis', 'Food Contamination', 'Olive Oil', 'Plant Oils', 'Soybean Oil', 'Spectrometry, Fluorescence']","Quantitative Detection of Extra Virgin Olive Oil Adulteration, as Opposed to Peanut and Soybean Oil, Employing LED-Induced Fluorescence Spectroscopy.","[None, 'Q000032', 'Q000032', 'Q000032', None, None]","[None, 'analysis', 'analysis', 'analysis', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/35161972,2022
35080159,"Disulfoton, an organophosphorus pesticide, is used to control cotton, beet, potato, and other seedling period aphids, leaf moths, underground pests, etc., with internal absorption, killing, gastric poisoning, and fumigation. Disulfoton is a highly toxic organophosphate pesticide, which can inhibit cholinesterase activity, resulting in neurophysiological disorders by inhalation, feeding, and transdermal absorption. Disulfoton is difficult to degrade in the environment, which leads to enrichment in organisms and interference with endocrine. This compound is harmful to the ecological environment and human health. To ensure the quality and safety of food, it is important to develop a detection method for disulfoton and its metabolites in agricultural products. A reliable method based on dispersive solid phase extraction (d-SPE) with ultra high performance liquid chromatography-tandem mass spectrometry (UHPLC-MS/MS) was developed for the determination of disulfoton and its metabolites (disulfoton sulfone, disulfoton sulfoxide, demeton-",Se pu = Chinese journal of chromatography,"['D002851', 'D004222', 'D006801', 'D037742', 'D009943', 'D010575', 'D052616', 'D053719']","['Chromatography, High Pressure Liquid', 'Disulfoton', 'Humans', 'Nanotubes, Carbon', 'Organophosphorus Compounds', 'Pesticides', 'Solid Phase Extraction', 'Tandem Mass Spectrometry']",[Determination of disulfoton and its metabolites in agricultural products by dispersive soild phase extraction-ultra high performance liquid chromatography-tandem mass spectrometry].,"[None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/35080159,2022
35000380,"Peanut allergy is the leading pediatric food allergy. Many attempts have been made to reduce its allergenicity by processing. After roasting, Ara h 2 and its derivatives in the matrix were isolated by immunoaffinity chromatography (IAC). The structure and allergenicity of Ara h 2 were analyzed by circular dichroism, mass spectrometry (MS), western blotting, the enzyme-linked immunoassay, and cell modeling. Our results showed that a large portion of Ara h 2 was fragmented and cross-linked. Ara h 2 monomers accounted for only 13% of the total proteins after IAC purification. In addition, the structure of Ara h 2 changed after roasting. In addition to methylation and oxidation modification, the disulfide bonds of Ara h 2 were found to be rearranged after roasting. In the conformational structure of Ara h 2, the content of the α-helix decreased from 27.1 to 21.6% after roasting, while the content of the random coil increased from 29.1 to 34.3%. Six cleavage sites of trypsin were exposed, while three were covered. In terms of allergenicity, most of the cross-linking products were not recognized by patients' sera. Only one faint band around 40 kDa was observed in our blotting. For Ara h 2 monomers, roasting enhanced their IgE binding capacity and ability to stimulate the degranulation of basophils. The potential allergenicity increase of Ara h 2 monomers did not reflect the allergenicity change of Ara h 2 in the matrix due to the amount and property of its derivatives after roasting.",Journal of agricultural and food chemistry,"['D055516', 'D000485', 'D052179', 'D010367', 'D002648', 'D006358', 'D006801', 'D007073', 'D021183', 'D010940']","['2S Albumins, Plant', 'Allergens', 'Antigens, Plant', 'Arachis', 'Child', 'Hot Temperature', 'Humans', 'Immunoglobulin E', 'Peanut Hypersensitivity', 'Plant Proteins']",Effect of Processing on the Structure and Allergenicity of Peanut Allergen Ara h 2 Roasted in a Matrix.,"[None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/35000380,2022
34915370,"The analysis of free fatty acids (FFAs) in edible oils, especially their fine structure, can provide information for nutritional value evaluation and authentication. Here, a strategy based on epoxidation reaction by mCPBA combined with tandem MS was developed to identify and relatively quantify FFAs, including CC location isomers, which can rapidly distinguish different edible oils. Notably, low-abundant FFAs can be detected directly in the presence of high-abundant triacylglycerol (TAG) without complicated pretreatment. We identified a series of CC location isomers via mCPBA-nanoESI-MS/MS, among them, FA 24:1 (Δ13) and FA 24:1 (Δ17) were first identified in edible oils, and the predominant UFAs was FA 18:1 (Δ9), which occupies 98.35% of FA 18:1 in peanut oil while 89.68% in rapeseed oil. The results demonstrated that the proposed method could provide further in-depth CC positional information of oils, promoting the development of structural determination of fatty acids in food chemistry.",Food chemistry,"['D005227', 'D005230', 'D010938', 'D000074262', 'D053719']","['Fatty Acids', 'Fatty Acids, Nonesterified', 'Plant Oils', 'Rapeseed Oil', 'Tandem Mass Spectrometry']",In-depth free fatty acids annotation of edible oil by mCPBA epoxidation and tandem mass spectrometry.,"[None, None, None, None, None]","[None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34915370,2022
34866108,"Oils and lipids are common food components and efficient sources of energy. Both the quantity and the quality of oils and lipids are important with regard to health and disease. Fatty acid ester of hydroxy fatty acid (FAHFA) is a novel lipid class that was discovered as an endogenous lipid; FAHFAs have shown anti-diabetic effects in a mammalian system. We analyzed the overall FAHFA composition in nut oils and other common oils: almond (raw, roasted), walnut, peanut, olive, palm, soybean, and rapeseed oils. We developed a method of liquid chromatography coupled with electrospray ionization triple quadrupole mass spectrometry (LC-ESI/MS/MS) for a comprehensive target analysis of FAHFAs. The analysis revealed wide variation in the FAHFA profiles (15 compounds and 62 peaks). For 7-11 compounds of FAHFA, a total level of 8-29 pmol/mg oil was detected in nuts oils; for 11 compounds, 4.9 pmol/mg oil was detected in olive oil, and for 4-9 compounds, < 2 pmol/mg oil was detected in palm, soy, and rapeseed oils. The major FAHFAs were FAHFA 36:3, FAHFA 36:2, and FAHFA 36:4 in nut oil, FAHFA 36:2, FAHFA 34:1, and FAHFA 36:1 in olive oil, and FAHFA 32:1, FAHFA 34:0, FAHFA 36:0, and FAHFA 36:1 in all of the common oils. The composition of FAHFAs in nut oils is mainly unsaturated fatty acids, whereas those in olive oil are unsaturated fatty acids and saturated fatty acids. The composition of FAHFAs in common oils was mainly saturated fats. This is the first report to demonstrate the quality and quantity of the FAHFAs in the nut oils. Nuts have been described to be a great source of many nutrients and to be beneficial for our health. Our present findings comprise additional evidence that the intake of nuts in daily diets may prevent metabolic and inflammatory-based diseases.",Journal of oleo science,"['D002853', 'D004435', 'D004952', 'D005231', 'D005504', 'D063427', 'D006900', 'D007004', 'D007249', 'D008659', 'D009754', 'D010938', 'D021241', 'D053719']","['Chromatography, Liquid', 'Eating', 'Esters', 'Fatty Acids, Unsaturated', 'Food Analysis', 'Food Quality', 'Hydroxylation', 'Hypoglycemic Agents', 'Inflammation', 'Metabolic Diseases', 'Nuts', 'Plant Oils', 'Spectrometry, Mass, Electrospray Ionization', 'Tandem Mass Spectrometry']",Analysis of Fatty Acid Esters of Hydroxyl Fatty Acid in Nut Oils and Other Plant Oils.,"['Q000379', None, 'Q000032', 'Q000032', None, None, None, None, 'Q000517', 'Q000517', 'Q000737', 'Q000737', 'Q000379', 'Q000379']","['methods', None, 'analysis', 'analysis', None, None, None, None, 'prevention & control', 'prevention & control', 'chemistry', 'chemistry', 'methods', 'methods']",https://www.ncbi.nlm.nih.gov/pubmed/34866108,2022
34822530,"Toxin-contaminated foods and beverages are a major source of illness, may cause death, and have a significant negative economic impact worldwide. Aflatoxin B1 (AFB1) is a potent toxin that may induce cancer after chronic low-level exposure. This study developed a quantitative recombinant ",Toxins,"['D016604', 'D002851', 'D004797', 'D005506', 'D005516']","['Aflatoxin B1', 'Chromatography, High Pressure Liquid', 'Enzyme-Linked Immunosorbent Assay', 'Food Contamination', 'Food Microbiology']",Validation of New ELISA Technique for Detection of Aflatoxin B1 Contamination in Food Products versus HPLC and VICAM.,"['Q000032', 'Q000379', 'Q000379', 'Q000032', 'Q000379']","['analysis', 'methods', 'methods', 'analysis', 'methods']",https://www.ncbi.nlm.nih.gov/pubmed/34822530,2022
34808757,"Nuts have long been known for their health benefits which are mainly contributed by their lipid components. However, the spatial distribution of lipids in nuts has not been firmly established. In this study, desorption electrospray ionization combined with ion mobility and quadrupole time-of-flight mass spectrometry in positive and negative ion modes was applied to visualize spatially the lipids in eight edible nuts, namely almonds, hazelnuts, cashews, walnuts, peanuts, peach seeds, bitter almonds, and Chinese dwarf cherry seeds. The glycerophospholipids were first imaged in nuts in the negative ion mode, while the glycerolipids and phosphatidylcholines were mainly detected in the positive ion mode. In total 87 characterized components, including 47 glycerophospholipids, 24 glycerolipids, eight alkyl phenolic acids, three fatty acid acyl metabolites, four oligosaccharides, and amygdalin, were visualized in the eight nuts, and the collision cross-sectional values of these components were obtained. The outer shell of the nut cotyledon concentrated more abundant components than the center, while for the hydrolyzed glycerophospholipids, the reverse was observed. The results provide a more comprehensive and in-depth understanding of the location of the diverse metabolite profiles in nuts and of their relationship to their respective health benefits.",Food chemistry,"['D003430', 'D031324', 'D000081362', 'D009754', 'D021241']","['Cross-Sectional Studies', 'Juglans', 'Lipidomics', 'Nuts', 'Spectrometry, Mass, Electrospray Ionization']",Spatial lipidomics of eight edible nuts by desorption electrospray ionization with ion mobility mass spectrometry imaging.,"[None, None, None, None, None]","[None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34808757,2021
