PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
35408751,"The aim of the present study was to determine the volatile compounds of three different species of chili peppers, using solid-phase microextraction (SPME) methods in combination with gas chromatography-mass spectrometry (GC-MS). The detection of marker aroma compounds could be used as a parameter to differentiate between species of chili peppers for their detection and traceability in chili pepper food. The sensorial contribution was also investigated to identify the predominant notes in each species and to evaluate how they can influence the overall aroma. Three different pepper species belonging to the ","Molecules (Basel, Switzerland)","['D002212', 'D008401', 'D009812', 'D052617', 'D014675', 'D055549']","['Capsicum', 'Gas Chromatography-Mass Spectrometry', 'Odorants', 'Solid Phase Microextraction', 'Vegetables', 'Volatile Organic Compounds']","Elucidation of Analytical-Compositional Fingerprinting of Three Different Species of Chili Pepper by Using Headspace Solid-Phase Microextraction Coupled with Gas Chromatography-Mass Spectrometry Analysis, and Sensory Profile Evaluation.","['Q000737', 'Q000379', 'Q000032', 'Q000379', None, 'Q000032']","['chemistry', 'methods', 'analysis', 'methods', None, 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/35408751,2022
35347716,"Fermentation of eight vegetables was studied as an alternative for reclamation of surplus volumes. Fermentation performance was predicted by comparing the amounts of acid that could be produced from the intrinsic sugar content with that buffered by the fresh vegetable matrices prior to reaching an inhibitory pH for fermentative microbes (3.30). Native fermentations were brined with 345.0 mM sodium chloride, 40.0 mM calcium chloride, 6.0 mM potassium sorbate, and vinegar to adjust the initial pH to 4.70. High-performance liquid chromatography analysis, pH, and carbon dioxide measurements and spiral plating on selective media were employed to monitor the progress of fermentations. The average colony counts for yeast and/or molds and Enterobacteriaceae declined to undetectable levels from 3.6 ± 1.5 log CFU/ml within 7 days of fermentation. The fermentation of sugars produced lactic, acetic, succinic, and/or malic acids, and ethanol. As predicted, the fermentation of vegetables with low sugar content, such as broccoli, green leaf lettuce, and green pea proceeded to completion. The fermentation of vegetables with a moderate sugar content, such as green bell pepper, red ripened tomato, and green bean were incomplete at pH 3.1 ± 0.2. The fermentation of high sugar vegetables including sweet potato and corn were expected and observed to be incomplete. It is concluded that the intrinsic sugar content and buffer capacity of surplus vegetables are relevant parameters in obtaining complete fermentations. PRACTICAL APPLICATION: Vegetables are the second most wasted commodity in the United States and a substantial constituent of the global food waste. Development of fermentation to reclaim surplus vegetables from farms, grocery stores, and farmer's markets offers opportunities to ameliorate economic losses and environmental impact and add value to waste. The research described here suggests that a fraction of vegetables could be fermented in cover brines while others, with high sugar content, need specialized handling. Evidently, optimization of vegetable fermentation with starter cultures and added buffers represent an opportunity to stimulate complete bioconversions useful for reclaiming surplus volumes.",Journal of food science,[],[],Vegetable fermentations brined with low salt for reclaiming food waste.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35347716,2022
35195174,"Food loss due to contamination caused by fungi has much impact on agriculture and leads to significant economic losses. Synthetic and natural fungicides have been used for avoiding losses of several food products due to fungal contamination. As a result, species of the genus Capsicum have been used for preserving food because of their chemical compounds with antifungal activity. Therefore, this study aimed at identifying some phenolic compounds found in both ethyl acetate extract (EAE) and methanolic extract (ME) from habanero pepper (C. chinense) ripe fruit by liquid chromatography tandem mass spectrometry with electrospray ionization (LC-ESI-MS/MS) and at evaluating their antifungal activities against fungi Sclerotinia sclerotiorum, Rhizopus stolonifer and Colletotrichum gloeosporioides. Extracts resulted from a sequential process of maceration. Antifungal activity was evaluated by the disk diffusion method (DDM) at the following doses of both diluted extracts: 25 µL, 50 µL, 100 µL and 200 µL. The chemical analysis showed that there were protocatechuic acid, gentisic acid, vanillic acid, kaempferol-3-O-robinobiosideo and naringenin in both extracts. EAE showed high inhibition of mycelial growth at both doses 100µL and 200µL against the three fungi while methanolic exhibited weak activity even at the highest dose under investigation. However, further in-depth studies are needed to reinforce their uses and practical applications to the agricultural field.",Brazilian journal of biology = Revista brasleira de biologia,"['D000085', 'D000935', 'D000975', 'D002212', 'D005638', 'D000432', 'D010936', 'D053719']","['Acetates', 'Antifungal Agents', 'Antioxidants', 'Capsicum', 'Fruit', 'Methanol', 'Plant Extracts', 'Tandem Mass Spectrometry']",Phenolic compounds and antifungal activity of ethyl acetate extract and methanolic extract from Capsicum chinense Jacq. ripe fruit.,"[None, 'Q000737', 'Q000494', None, 'Q000737', 'Q000032', 'Q000737', None]","[None, 'chemistry', 'pharmacology', None, 'chemistry', 'analysis', 'chemistry', None]",https://www.ncbi.nlm.nih.gov/pubmed/35195174,2022
34838406,"A rapid screening method for the quantitative analysis of pesticide multiresidues using a high-resolution accurate mass (HRAM) quadrupole time-of-flight (Q-TOF) with a dopant-assisted gas chromatography-atmospheric pressure chemical ionization (GC-APCI) technique were developed. For convenient and constant supply of APCI dopant, a large-volume dopant bottle with a bypass valve was newly designed, and the developed method was tested with 415 pesticide mixtures for representative produce (orange, chili pepper, and brown rice). Methanol-enriched nitrogen gas was used to produce protonated molecular [M + H]",Food chemistry,"['D001274', 'D002212', 'D032084', 'D008401', 'D012275', 'D010575']","['Atmospheric Pressure', 'Capsicum', 'Citrus sinensis', 'Gas Chromatography-Mass Spectrometry', 'Oryza', 'Pesticides']","Development of a quantitative screening method for pesticide multiresidues in orange, chili pepper, and brown rice using gas chromatography-quadrupole time of flight mass spectrometry with dopant-assisted atmospheric pressure chemical ionization.","[None, None, None, None, None, 'Q000032']","[None, None, None, None, None, 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/34838406,2022
34812593,"Cera pepper (Capsicum pubescens) is an exotic fruit considered as a rich source of nutraceuticals with known benefits for human health and also an economic resource for local producers in Mexico. The present investigation reports on the in vitro and in situ antifungal activity of the essential oil from Mentha piperita and its two major volatiles (menthol and menthone) against Fusarium sambucinum, which is a causal agent of soft rot in cera pepper. The application of these components in pepper fruits previously infected with F. sambucinum caused a significant delay (p<0.05) in the emergence of soft rot symptoms. This effect was reflected in the maintenance of pH and fruit firmness during a period of 10 days. The nutrimental content of the fruits (protein, fiber, fat and other proximate parameters) was conserved in the same period of time. The nutraceutical content of these fruits was estimated by the quantification of seven carotenoids (violaxanthin, cis-violaxanthin, luteoxanthin, antheraxanthin, lutein, zeaxanthin and β-carotene), ascorbic acid and capsaicinoids (capsaicin and dihydrocapsaicin). According to our results, the essential oil from M. Piperita and its major volatiles exerted a preservative effect on these metabolites. Our findings demonstrated that the essential oil of M. Piperita and its major volatiles represent an ecological alternative for the control of fusariosis caused by F. sambucinum in cera peppers under postharvest conditions.",Chemistry & biodiversity,"['D000935', 'D002211', 'D002212', 'D002338', 'D002851', 'D005638', 'D005670', 'D006863', 'D013058', 'D036142', 'D010935', 'D010936', 'D018515', 'D010938', 'D055549']","['Antifungal Agents', 'Capsaicin', 'Capsicum', 'Carotenoids', 'Chromatography, High Pressure Liquid', 'Fruit', 'Fusarium', 'Hydrogen-Ion Concentration', 'Mass Spectrometry', 'Mentha piperita', 'Plant Diseases', 'Plant Extracts', 'Plant Leaves', 'Plant Oils', 'Volatile Organic Compounds']",Peppermint Essential Oil and Its Major Volatiles as Protective Agents against Soft Rot Caused by Fusarium sambucinum in Cera Pepper (Capsicum pubescens).,"['Q000737', 'Q000032', 'Q000254', 'Q000032', None, 'Q000737', 'Q000187', None, None, 'Q000737', 'Q000382', 'Q000737', 'Q000737', 'Q000737', 'Q000737']","['chemistry', 'analysis', 'growth & development', 'analysis', None, 'chemistry', 'drug effects', None, None, 'chemistry', 'microbiology', 'chemistry', 'chemistry', 'chemistry', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/34812593,2022
34773827,"The rise of food fraud practices, affecting a wide variety of goods and their specific characteristics (e.g., quality or geographical origin), demands rapid high-throughput analytical approaches to ensure consumers protection. In this context, this study assesses flow injection analysis coupled to high-resolution mass spectrometry (FIA-HRMS), using a fingerprinting approach and combined with chemometrics, to address four food authentication issues: (i) the geographical origin of three Spanish red wines, (ii) the geographical origin of three European paprikas, (iii) the distinction of olive oil from other vegetable oils and (iv) the assessment of its quality category. In each case, negative and positive ionisation FIA-HRMS fingerprints, and two different data fusion strategies, were evaluated. After external validation, excellent classification accuracies were reached. Moreover, high-resolution mass spectrometry (HRMS) allowed sample matrices characterisation by the putative identification of the most common ions.",Food chemistry,"['D002212', 'D000090022', 'D017022', 'D013058', 'D010938', 'D014920']","['Capsicum', 'Chemometrics', 'Flow Injection Analysis', 'Mass Spectrometry', 'Plant Oils', 'Wine']","FIA-HRMS fingerprinting subjected to chemometrics as a valuable tool to address food classification and authentication: Application to red wine, paprika, and vegetable oil samples.","[None, None, None, None, None, None]","[None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34773827,2021
34735138,"Dietary biomarkers show great promise for objectively assessing the food intake in humans. In this study, potential urinary biomarkers for red bell pepper intake were identified based on a dietary intervention study and a comprehensive metabolomics approach. Spot urine samples from 14 volunteers were collected in the two phases of the study (control phase: abstaining from any bell pepper/paprika products; case phase: consumption of a defined amount of fresh red bell pepper and abstaining from any further bell pepper/paprika products) and analyzed by high-performance liquid chromatography high-resolution mass spectrometry (HPLC-HRMS). Comparison of the obtained metabolomics data using statistical analysis revealed that the respective urine metabolomes differ significantly, which was attributable to the bell pepper intake. Some of the most discriminating metabolites were selected and isolated from human urine for unequivocal structure elucidation by nuclear magnetic resonance (NMR) spectroscopy. Herein, seven novel glucuronidated metabolites most likely derived from capsanthin and capsianosides were identified, implying their potential application as dietary biomarkers for the entire ",Journal of agricultural and food chemistry,"['D015415', 'D002212', 'D002851', 'D006801', 'D009682', 'D055432']","['Biomarkers', 'Capsicum', 'Chromatography, High Pressure Liquid', 'Humans', 'Magnetic Resonance Spectroscopy', 'Metabolomics']",Identification of Potential Urinary Biomarkers for Bell Pepper Intake by HPLC-HRMS-Based Metabolomics and Structure Elucidation by NMR.,"[None, None, None, None, None, None]","[None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34735138,2021
34684758,"Dried and ground red pepper is a spice used as seasoning in various traditional dishes all over the world; nevertheless, the pedoclimatic conditions of the diverse cultivation areas provide different chemical characteristics, and, consequently, diverse organoleptic properties to this product. In the present study, the volatile profiles of 96 samples of two different ground bell peppers harvested in diverse Italian geographical areas, Altino (Abruzzo) and Senise (Lucania), and a commercial sweet paprika, have been studied by means of headspace solid-phase microextraction (HS-SPME) coupled with gas chromatography-mass spectrometry (GC-MS). The investigation of their volatile profile has led to the identification of 59 analytes. Eventually, a discriminant classifier, Partial Least Squares Discriminant Analysis (PLS-DA), was exploited to discriminate samples according to their geographical origin. The model provided very accurate results in external validation; in fact, it correctly classified all the 30 test samples, achieving 100% correct classification (on the validation set). Furthermore, in order to understand which volatiles contribute the most at differentiating the bell peppers from the different origins, a variable selection approach, Variable Importance in Projection (VIP), was used. This strategy led to the selection of sixteen diverse compounds which characterize the different bell pepper spices.","Molecules (Basel, Switzerland)","['D002212', 'D016002', 'D008401', 'D005843', 'D007558', 'D009812', 'D052617', 'D017365', 'D013649', 'D055549']","['Capsicum', 'Discriminant Analysis', 'Gas Chromatography-Mass Spectrometry', 'Geography', 'Italy', 'Odorants', 'Solid Phase Microextraction', 'Spices', 'Taste', 'Volatile Organic Compounds']",Geographical Discrimination of Bell Pepper (,"['Q000737', None, 'Q000379', None, None, 'Q000032', 'Q000379', 'Q000032', 'Q000502', 'Q000032']","['chemistry', None, 'methods', None, None, 'analysis', 'methods', 'analysis', 'physiology', 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/34684758,2021
34399550,"Food safety problems caused by pesticide residues in vegetables have become a top issue to raise public concern. In this study, bell peppers were grown in an experimental field and sprayed with two systemic (azoxystrobin and difenoconazole) and one contact (chlorothalonil) fungicides. Ozone (ozonated water and water continuously bubble with ozone) or conventional domestic (washing with distilled water, detergent, acetic acid, sodium bicarbonate, and sodium hypochlorite solutions) procedures were investigated to identify the most effective way to remove fungicide residues in bell peppers. The residues in the fruits and the washing solutions were determined by solid-liquid extraction with a low-temperature partition (SLE/LTP) and liquid-liquid extraction with a low-temperature partition (LLE/LTP), respectively, and analyzed by gas chromatography. Water continuously bubbled with ozone a concentration of 3 mg L","Food research international (Ottawa, Ont.)","['D002212', 'D002849', 'D005506', 'D005659', 'D010573']","['Capsicum', 'Chromatography, Gas', 'Food Contamination', 'Fungicides, Industrial', 'Pesticide Residues']",The efficacy of washing strategies in the elimination of fungicide residues and the alterations on the quality of bell peppers.,"[None, None, 'Q000032', 'Q000032', 'Q000032']","[None, None, 'analysis', 'analysis', 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/34399550,2021
34067264,"This study reports the results of aflatoxins B/G monitoring in food of vegetal origin, imported in Southern Italy from extra-European Union countries. From 2017 to 2020, we analyzed 1675 samples using an accredited HPLC method with fluorescence detection. We found out 295 samples (17.6%) were contaminated by aflatoxin B1, 204 by aflatoxins B/G (12.2%), while 75 (4.5%) resulted non-compliant to maximum limits set by the European Union law. Most of the batches tested were unprocessed food; the distribution of contamination levels, incidence of non-compliant samples, inference for different kinds of food are reported. The study focuses on the food more susceptible to contamination by aflatoxins; nuts are the food more controlled, showing the higher number of non-compliant samples. Our study confirms that pistachio nuts, hazelnuts and almonds are the major sources of exposure for consumers. Still, other products, such as chili pepper and Brazil nuts, need to get more information about their contamination levels. The study's findings are discussed in the perspective of the last opinion by EFSA about chronic exposure to aflatoxins. A case study to evaluate not compliance of a composed food to the European Union law is reported.",Toxins,"['D016604', 'D000348', 'D002212', 'D002851', 'D031211', 'D005506', 'D009754', 'D012306', 'D013997']","['Aflatoxin B1', 'Aflatoxins', 'Capsicum', 'Chromatography, High Pressure Liquid', 'Corylus', 'Food Contamination', 'Nuts', 'Risk', 'Time Factors']",Contamination by Aflatoxins B/G in Food and Commodities Imported in Southern Italy from 2017 to 2020: A Risk-Based Evaluation.,"['Q000032', 'Q000032', 'Q000737', None, 'Q000737', 'Q000032', 'Q000737', None, None]","['analysis', 'analysis', 'chemistry', None, 'chemistry', 'analysis', 'chemistry', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34067264,2021
