PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
35621729,The biosynthesis of 3-isobutyl-2-methoxypyrazine (IBMP) in bell pepper fruits (,Journal of agricultural and food chemistry,"['D002212', 'D005638', 'D008401', 'D007553', 'D009812', 'D011719']","['Capsicum', 'Fruit', 'Gas Chromatography-Mass Spectrometry', 'Isotope Labeling', 'Odorants', 'Pyrazines']",Investigation of Biosynthetic Precursors of 3-Isobutyl-2-Methoxypyrazine Using Stable Isotope Labeling Studies in Bell Pepper Fruits (,"['Q000737', 'Q000737', 'Q000379', None, 'Q000032', None]","['chemistry', 'chemistry', 'methods', None, 'analysis', None]",https://www.ncbi.nlm.nih.gov/pubmed/35621729,2022
35347716,"Fermentation of eight vegetables was studied as an alternative for reclamation of surplus volumes. Fermentation performance was predicted by comparing the amounts of acid that could be produced from the intrinsic sugar content with that buffered by the fresh vegetable matrices prior to reaching an inhibitory pH for fermentative microbes (3.30). Native fermentations were brined with 345.0 mM sodium chloride, 40.0 mM calcium chloride, 6.0 mM potassium sorbate, and vinegar to adjust the initial pH to 4.70. High-performance liquid chromatography analysis, pH, and carbon dioxide measurements and spiral plating on selective media were employed to monitor the progress of fermentations. The average colony counts for yeast and/or molds and Enterobacteriaceae declined to undetectable levels from 3.6 ± 1.5 log CFU/ml within 7 days of fermentation. The fermentation of sugars produced lactic, acetic, succinic, and/or malic acids, and ethanol. As predicted, the fermentation of vegetables with low sugar content, such as broccoli, green leaf lettuce, and green pea proceeded to completion. The fermentation of vegetables with a moderate sugar content, such as green bell pepper, red ripened tomato, and green bean were incomplete at pH 3.1 ± 0.2. The fermentation of high sugar vegetables including sweet potato and corn were expected and observed to be incomplete. It is concluded that the intrinsic sugar content and buffer capacity of surplus vegetables are relevant parameters in obtaining complete fermentations. PRACTICAL APPLICATION: Vegetables are the second most wasted commodity in the United States and a substantial constituent of the global food waste. Development of fermentation to reclaim surplus vegetables from farms, grocery stores, and farmer's markets offers opportunities to ameliorate economic losses and environmental impact and add value to waste. The research described here suggests that a fraction of vegetables could be fermented in cover brines while others, with high sugar content, need specialized handling. Evidently, optimization of vegetable fermentation with starter cultures and added buffers represent an opportunity to stimulate complete bioconversions useful for reclaiming surplus volumes.",Journal of food science,"['D018553', 'D005285', 'D005516', 'D006863', 'D012037', 'D012965', 'D017673', 'D000073893', 'D014675']","['Cucumis sativus', 'Fermentation', 'Food Microbiology', 'Hydrogen-Ion Concentration', 'Refuse Disposal', 'Sodium Chloride', 'Sodium Chloride, Dietary', 'Sugars', 'Vegetables']",Vegetable fermentations brined with low salt for reclaiming food waste.,"['Q000737', None, None, None, None, 'Q000032', 'Q000032', None, None]","['chemistry', None, None, None, None, 'analysis', 'analysis', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/35347716,2022
34735138,"Dietary biomarkers show great promise for objectively assessing the food intake in humans. In this study, potential urinary biomarkers for red bell pepper intake were identified based on a dietary intervention study and a comprehensive metabolomics approach. Spot urine samples from 14 volunteers were collected in the two phases of the study (control phase: abstaining from any bell pepper/paprika products; case phase: consumption of a defined amount of fresh red bell pepper and abstaining from any further bell pepper/paprika products) and analyzed by high-performance liquid chromatography high-resolution mass spectrometry (HPLC-HRMS). Comparison of the obtained metabolomics data using statistical analysis revealed that the respective urine metabolomes differ significantly, which was attributable to the bell pepper intake. Some of the most discriminating metabolites were selected and isolated from human urine for unequivocal structure elucidation by nuclear magnetic resonance (NMR) spectroscopy. Herein, seven novel glucuronidated metabolites most likely derived from capsanthin and capsianosides were identified, implying their potential application as dietary biomarkers for the entire ",Journal of agricultural and food chemistry,"['D015415', 'D002212', 'D002851', 'D006801', 'D009682', 'D055432']","['Biomarkers', 'Capsicum', 'Chromatography, High Pressure Liquid', 'Humans', 'Magnetic Resonance Spectroscopy', 'Metabolomics']",Identification of Potential Urinary Biomarkers for Bell Pepper Intake by HPLC-HRMS-Based Metabolomics and Structure Elucidation by NMR.,"[None, None, None, None, None, None]","[None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34735138,2021
34684758,"Dried and ground red pepper is a spice used as seasoning in various traditional dishes all over the world; nevertheless, the pedoclimatic conditions of the diverse cultivation areas provide different chemical characteristics, and, consequently, diverse organoleptic properties to this product. In the present study, the volatile profiles of 96 samples of two different ground bell peppers harvested in diverse Italian geographical areas, Altino (Abruzzo) and Senise (Lucania), and a commercial sweet paprika, have been studied by means of headspace solid-phase microextraction (HS-SPME) coupled with gas chromatography-mass spectrometry (GC-MS). The investigation of their volatile profile has led to the identification of 59 analytes. Eventually, a discriminant classifier, Partial Least Squares Discriminant Analysis (PLS-DA), was exploited to discriminate samples according to their geographical origin. The model provided very accurate results in external validation; in fact, it correctly classified all the 30 test samples, achieving 100% correct classification (on the validation set). Furthermore, in order to understand which volatiles contribute the most at differentiating the bell peppers from the different origins, a variable selection approach, Variable Importance in Projection (VIP), was used. This strategy led to the selection of sixteen diverse compounds which characterize the different bell pepper spices.","Molecules (Basel, Switzerland)","['D002212', 'D016002', 'D008401', 'D005843', 'D007558', 'D009812', 'D052617', 'D017365', 'D013649', 'D055549']","['Capsicum', 'Discriminant Analysis', 'Gas Chromatography-Mass Spectrometry', 'Geography', 'Italy', 'Odorants', 'Solid Phase Microextraction', 'Spices', 'Taste', 'Volatile Organic Compounds']",Geographical Discrimination of Bell Pepper (,"['Q000737', None, 'Q000379', None, None, 'Q000032', 'Q000379', 'Q000032', 'Q000502', 'Q000032']","['chemistry', None, 'methods', None, None, 'analysis', 'methods', 'analysis', 'physiology', 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/34684758,2021
32962060,"The aim of the study was an investigation of the effect of traditional and non-thermal treatment on the bioactive compounds of red bell pepper. As a thermal process, blanching in water and in steam was studied, while for non-thermal the sonication, pulsed electric field treatment and their combination were used in this experiment. The red bell peppers were evaluated based on quality attributes such as: total carotenoids content; polyphenols; vitamin C; antioxidant activity and sugars content. Vitamin C and sugar content were analyzed using liquid chromatography and other measurements were determined based on the spectrophotometric method. Results showed that the blanching in water or in steam reduced bioactive compounds concentration; whereas non-thermal treatments as pulsed electric field (PEF) applied separately or in combination with ultrasound (US + PEF) let to obtain similar or slightly lower content of bioactive compounds in comparison to untreated peppers. When sonication (US) and combined treatment as PEF + US were applied; in most cases reduction of bioactive compounds concentration occurred. This effect was probably related to the effect of relatively long (30 min) ultrasound treatment. The application of appropriate parameters of non-thermal processing is crucial for the high quality of processed material.","Molecules (Basel, Switzerland)","['D000975', 'D001205', 'D002212', 'D002338', 'D016000', 'D004560', 'D005511', 'D059808', 'D025341', 'D013010', 'D000073893']","['Antioxidants', 'Ascorbic Acid', 'Capsicum', 'Carotenoids', 'Cluster Analysis', 'Electricity', 'Food Handling', 'Polyphenols', 'Principal Component Analysis', 'Sonication', 'Sugars']",The Effect of Traditional and Non-Thermal Treatments on the Bioactive Compounds and Sugars Content of Red Bell Pepper.,"['Q000737', 'Q000032', 'Q000737', 'Q000032', None, None, 'Q000379', 'Q000032', None, None, 'Q000032']","['chemistry', 'analysis', 'chemistry', 'analysis', None, None, 'methods', 'analysis', None, None, 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/32962060,2021
32043997,"An ambient ionization tandem mass spectrometric approach was developed to rapidly screen multiresidue pesticides on fruits and vegetables without sample preparation and chromatographic separation. The residual pesticides on fruits and vegetables were collected by sweeping a metallic probe across the sample surface for 2 cm. The analytes collected on the probe were desorbed and ionized in a thermal desorption electrospray ionization (TD-ESI) source, after which analyte ions were detected by a triple quadruple mass analyzer (QqQ) operated in multiple reaction monitoring (MRM) mode. With this TD-ESI/MS/MS approach, 308 pesticides were monitored, where a mixture containing 15 pesticide standards was successfully identified to demonstrate the capability of this approach to screen trace multiresidue pesticides. The approach had reasonable detection limits (<50 ppb) and reproducibility (RSD: 8.43%, n = 9) from the analysis of a benthiazole standard solution. Real samples including a tomato and bell pepper were analyzed using this TD-ESI/MS/MS approach. After TD-ESI/MS/MS analysis, the organic solvent extracts from the same samples were subjected to TD-ESI/MS/MS, gas chromatography mass spectrometry (GC-MS), and liquid chromatography tandem mass spectrometry (LC-MS/MS) analysis for validation.",Analytica chimica acta,"['D002212', 'D002851', 'D005506', 'D005638', 'D008401', 'D057230', 'D018551', 'D010573', 'D015203', 'D021241', 'D053719', 'D014675']","['Capsicum', 'Chromatography, High Pressure Liquid', 'Food Contamination', 'Fruit', 'Gas Chromatography-Mass Spectrometry', 'Limit of Detection', 'Lycopersicon esculentum', 'Pesticide Residues', 'Reproducibility of Results', 'Spectrometry, Mass, Electrospray Ionization', 'Tandem Mass Spectrometry', 'Vegetables']",Fast screening of trace multiresidue pesticides on fruit and vegetable surfaces using ambient ionization tandem mass spectrometry.,"['Q000737', None, 'Q000032', 'Q000737', None, None, 'Q000737', 'Q000032', None, 'Q000379', 'Q000379', 'Q000737']","['chemistry', None, 'analysis', 'chemistry', None, None, 'chemistry', 'analysis', None, 'methods', 'methods', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/32043997,2020
31505449,"Chromoplasts are typical plastids of fruits and flowers, deriving from chloroplasts through complex processes of re-organization and recycling. Since this transition leads to the production of reactive species, chromoplasts are characteristic sites for biosynthesis and accumulation of carotenoids and other antioxidants. Here, we have analysed the chromoplast membranes from Capsicum annuum L. fruits, finding a significant expression of the capsanthin/capsorubin synthase. This enzyme was isolated by a very mild procedure allowing its analyses under quasi-native conditions. The isolated complex appeared as a red coloured homo-trimer, suggesting the retention of at least one of the typical carotenoids from C. annuum. Moreover, the protein complex was co-purified with a non-proteinaceous fraction of carotenoid aggregates carrying a high molecular weight and separable only by Size Exclusion Chromatography. This last finding suggested a relationship between the carotenoids synthesis on chromoplast membranes, the presence, and storage of organised carotenoids aggregates typical for chromoplasts. Further MS analyses also provided important hints on the interactome network associated to the capsanthin/capsorubin synthase, confirming its functional relevance during ripening. Results are discussed in the frame of the primary role played by carotenoids in quenching the growing oxidative stress during fruits ripening.",Plant physiology and biochemistry : PPB,"['D002212', 'D002338', 'D005638', 'D018384', 'D010940', 'D018087', 'D024341']","['Capsicum', 'Carotenoids', 'Fruit', 'Oxidative Stress', 'Plant Proteins', 'Plastids', 'Xanthophylls']",Characterization under quasi-native conditions of the capsanthin/capsorubin synthase from Capsicum annuum L.,"['Q000201', 'Q000378', 'Q000201', None, 'Q000235', 'Q000201', 'Q000378']","['enzymology', 'metabolism', 'enzymology', None, 'genetics', 'enzymology', 'metabolism']",https://www.ncbi.nlm.nih.gov/pubmed/31505449,2020
31294676,"The purpose of this study was to investigate pesticide residues in bell peppers from Shandong Province, China. A total of 299 samples were collected from 17 cities in 2016. The concentrations of 26 pesticide residues were determined by gas chromatography with mass spectrometry (GC-MS). The results showed that there were 25 pesticides (15 OPs, 7 PYs, 3 CBs) found in 86 bell pepper samples, and the total number of positives was 120. The total frequency was 28.76%. The detection frequency for OPs, PYs and CBs was 16.39%, 12.37% and 3.01%, respectively. The most frequently detected pesticide was bifenthrin, with the frequency of 5.02%. 5.35% of samples contained pesticide residues above the maximum residue limits (MRLs) set by China. 7.36% of samples contained more than one pesticide. The values of %ADI were below 100, while the %ARfD of carbofuran and methidathion exceeded 100 for children. The cumulative risk was highest for OPs. From the public health point of view, the levels of pesticide residues in bell peppers do not pose a serious health risk to adults, but the acute health risk to children should be paid more attention.","Food additives & contaminants. Part A, Chemistry, analysis, control, exposure & risk assessment","['D000328', 'D002212', 'D002648', 'D002681', 'D005506', 'D008401', 'D006801', 'D010573', 'D011722', 'D011786', 'D018570', 'D052616']","['Adult', 'Capsicum', 'Child', 'China', 'Food Contamination', 'Gas Chromatography-Mass Spectrometry', 'Humans', 'Pesticide Residues', 'Pyrethrins', 'Quality Control', 'Risk Assessment', 'Solid Phase Extraction']",Residue levels and health risk of pesticide residues in bell pepper in Shandong.,"[None, 'Q000737', None, None, 'Q000032', None, None, 'Q000032', 'Q000032', None, None, None]","[None, 'chemistry', None, None, 'analysis', None, None, 'analysis', 'analysis', None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/31294676,2019
30613891,"The present study describes the uptake and distribution of fungicides, fluopyram, and tebuconazole in tomato and bell pepper plant tissues from the soil drench application of their combination product fluopyram17.7% + tebuconazole 17.7%. For extraction and cleanup of fluopyram, its metabolite fluopyram benzamide, and tebuconazole samples, the QuEChERS method was used in conjunction with LC-MS/MS. The limit of detection (LOD) and limit of quantification (LOQ) of the method determined were 1.5 μg kg",Environmental science and pollution research international,"['D001549', 'D002212', 'D002853', 'D005638', 'D005659', 'D006207', 'D018551', 'D010573', 'D011725', 'D015203', 'D012989', 'D053719', 'D014230']","['Benzamides', 'Capsicum', 'Chromatography, Liquid', 'Fruit', 'Fungicides, Industrial', 'Half-Life', 'Lycopersicon esculentum', 'Pesticide Residues', 'Pyridines', 'Reproducibility of Results', 'Soil Pollutants', 'Tandem Mass Spectrometry', 'Triazoles']",Uptake and distribution of fluopyram and tebuconazole residues in tomato and bell pepper plant tissues.,"['Q000032', 'Q000737', None, 'Q000737', 'Q000032', None, 'Q000737', 'Q000032', 'Q000032', None, 'Q000032', None, 'Q000032']","['analysis', 'chemistry', None, 'chemistry', 'analysis', None, 'chemistry', 'analysis', 'analysis', None, 'analysis', None, 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/30613891,2019
29131855,"Patients suffering from Refsum's disease show mutations in the enzyme necessary for the degradation of phytanic acid. Accumulation of this tetramethyl-branched fatty acid in inner organs leads to severe neurological and cardiac dysfunctions which can even result in death. Thus, patients with Refsum's disease have to follow a specific diet resigning foods with high levels of phytanic acid and trans-phytol like products from ruminant animals with a tolerable daily intake (TDI) of ≤ 10 mg/d. We recently reported the occurrence of phytyl fatty acid esters (PFAE, trans-phytol esterified with a fatty acid) in bell pepper with trans-phytol amounts of up to 5.4 mg/100 g fresh weight (FW). In this study we carried out in vitro-digestion experiments of PFAE with artificial digestion fluids. Our results demonstrate that PFAE actually are a source for bioavailable trans-phytol and thus add to the TDI. Eating only one portion of bell pepper (∼150 g) could therefore lead to exploitation of the TDI of up to 81%. Analysis of additional vegetable matrices showed that also rocket salad with up to 4.2 mg/100 g FW trans-phytol bound in PFAE represents a risk-relevant food for patients with Refsum's disease and should therefore be taken into account.",PloS one,"['D005227', 'D008401', 'D006801', 'D010831', 'D012035', 'D012307', 'D014675']","['Fatty Acids', 'Gas Chromatography-Mass Spectrometry', 'Humans', 'Phytanic Acid', 'Refsum Disease', 'Risk Factors', 'Vegetables']",Phytyl fatty acid esters in vegetables pose a risk for patients suffering from Refsum's disease.,"['Q000378', None, None, 'Q000378', 'Q000378', None, 'Q000378']","['metabolism', None, None, 'metabolism', 'metabolism', None, 'metabolism']",https://www.ncbi.nlm.nih.gov/pubmed/29131855,2017
