PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
36234940,Volatile organic metabolites (VOMs) present in different spices can provide distinct analytical biosignatures related to organoleptic properties and health benefits. This study aimed to establish the volatilomic fingerprint of six of the most consumed spices all over the world (saffron (,"Molecules (Basel, Switzerland)","['D002212', 'D027622', 'D028527', 'D008401', 'D029222', 'D017365', 'D013729', 'D055549']","['Capsicum', 'Crocus', 'Cuminum', 'Gas Chromatography-Mass Spectrometry', 'Piper nigrum', 'Spices', 'Terpenes', 'Volatile Organic Compounds']",Spices Volatilomic Fingerprinting-A Comprehensive Approach to Explore Its Authentication and Bioactive Properties.,"[None, 'Q000737', 'Q000737', 'Q000379', 'Q000737', 'Q000032', 'Q000032', 'Q000032']","[None, 'chemistry', 'chemistry', 'methods', 'chemistry', 'analysis', 'analysis', 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/36234940,2022
36136535,A total of 603 samples of selected spices from different seasons (winter and summer) were analyzed for the occurrence of aflatoxin B,Toxins,"['D016604', 'D000348', 'D002212', 'D002851', 'D005506', 'D018570', 'D012621', 'D017365', 'D024505']","['Aflatoxin B1', 'Aflatoxins', 'Capsicum', 'Chromatography, High Pressure Liquid', 'Food Contamination', 'Risk Assessment', 'Seasons', 'Spices', 'Tocopherols']",Seasonal Variation of Aflatoxin Levels in Selected Spices Available in Retail Markets: Estimation of Exposure and Risk Assessment.,"['Q000032', 'Q000032', None, None, 'Q000032', None, None, 'Q000032', None]","['analysis', 'analysis', None, None, 'analysis', None, None, 'analysis', None]",https://www.ncbi.nlm.nih.gov/pubmed/36136535,2022
36002476,"Heterosis for agronomic traits is a widespread phenomenon that underpins hybrid crop breeding. However, heterosis at the level of cellular metabolites has not yet been fully explored. Some metabolites are highly sought after, like capsaicinoids found in peppers of the Capsicum genus, which confer the characteristic pungent ('hot') flavour of the fruits. We analysed the metabolic profile of the fruit placenta and pericarp of inter- and intra-specific hybrids of two species of Capsicum peppers, C. chinense (cv. Habanero and cv. Biquinho) and C. annuum var. annuum (cv. Jalapeño and cv. Cascadura Ikeda) in complete diallel crosses with reciprocals. The parents and hybrids were grown in a glasshouse and the profile of primary metabolites (sugars, amino acids and organic acids) and capsaicinoids was generated via gas chromatography-time of flight-mass spectrometry (GC-TOF-MS) and ultra-performance liquid chromatography coupled to a mass spectrometer (UPLC-MS), respectively. We found considerable heterotic effects specifically for capsaicinoids accumulation in the fruit placenta of the hybrids, including those derived from non-pungent parents. Furthermore, a large fraction of fruit primary metabolism was influenced by the specific cross combination, with marked parent-of-origin effects, i.e. whether a specific genotype was used as the pistillate or pollen parent. The differences in metabolite levels between the hybrids and their parents provide a snapshot of heterosis for primary and secondary metabolites and may contribute to explain the manifestation of whole-plant heterotic phenotypes.",Scientific reports,"['D002211', 'D002212', 'D002853', 'D005638', 'D006823', 'D000069600', 'D053719', 'D014675']","['Capsaicin', 'Capsicum', 'Chromatography, Liquid', 'Fruit', 'Hybrid Vigor', 'Plant Breeding', 'Tandem Mass Spectrometry', 'Vegetables']",Heterosis for capsacinoids accumulation in chili pepper hybrids is dependent on parent-of-origin effect.,"[None, 'Q000737', None, 'Q000737', 'Q000235', None, None, None]","[None, 'chemistry', None, 'chemistry', 'genetics', None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/36002476,2022
35796789,"Residue analyses were conducted for 283 pesticide active ingredients on pepper samples collected from the local markets (between April and November) of Çanakkale province of Turkey by using QuEChERS method and LC-MS/MS and GC-MS/MS devices. In present pepper samples, 35 different pesticide residues were detected. About 25.0% (27 samples) of present samples had single residue and 43.5% (47 samples) had multiple residues. Of the detected pesticides, acetamiprid, triadimenol, imidacloprid, boscalid, pirimiphos-methyl, tebuconazole, and metalaxyl were the most common ones, while carbendazim/benomyl, fenpropathrin, and thiram were the banned ones. Moreover, 24 of the pesticide residues detected were above the MRL values, 19 pesticides were in the ""moderately hazardous (II),"" and two pesticides were in the ""extremely hazardous (Ib)"" class (WHO). Present findings revealed that consumer health may be in danger despite all legal measures by the Ministry of Agriculture and Forestry of Turkey, thus greater emphasis should be put on monitoring of pesticide use and residues.",Environmental monitoring and assessment,"['D002853', 'D004784', 'D005506', 'D008401', 'D010573', 'D010575', 'D053719', 'D014421', 'D014675']","['Chromatography, Liquid', 'Environmental Monitoring', 'Food Contamination', 'Gas Chromatography-Mass Spectrometry', 'Pesticide Residues', 'Pesticides', 'Tandem Mass Spectrometry', 'Turkey', 'Vegetables']",Monitoring of pesticide residues in peppers from Çanakkale (Turkey) public market using QuEChERS method and LC-MS/MS and GC-MS/MS detection.,"['Q000379', None, 'Q000032', 'Q000379', 'Q000032', 'Q000032', 'Q000379', None, 'Q000737']","['methods', None, 'analysis', 'methods', 'analysis', 'analysis', 'methods', None, 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/35796789,2022
35709202,"Industrialization plays a vital role in the development of a country's economy. However, it also adversely affects the environment by discharging various unwanted and harmful substances such as heavy metals into the surface and subsurface aquifers. The current research work investigates the identification, characterization, and evaluation of specific heavy metals in industrial wastewater (IWW) and different composite samples of soil and vegetables (onion, pumpkin, lady finger, and green pepper) collected from selected agricultural fields irrigated with canals fed IWW in Mingora city of Swat (Pakistan). Obtained results were compared with the tube well water irrigated soil and vegetables grown in it. Heavy metals accumulation was tested through wet digestion method and atomic absorption spectrophotometry (AAS). The metal transfer factor (MTF) of heavy metals from soil to vegetables was also determined along with the health index (HI) to assess the potential health risk of the metals towards consumers using Monte Carlo simulation technique. Analysis of water samples showed that the concentration in mg l-1 of heavy metals in IWW follows the trend Fe (6.72) > Cr (0.537) > Pb (0.393) > Co (0.204) > Mn (0.125) > Ni (0.121). Analysis of the soil samples irrigated with IWW followed the order of Fe (47.27) > Pb (2.92) > Cr (2.90) >Ni (1.02) > Mn (0.90) > Co (0.68) and Fe (17.12) > Pb (2.12) > Cr (2.03) >Ni (0.76) > Co (0.49) > Mn (0.23) irrigated with TWW. Heavy metals concentration values found in soil irrigated with IWW were higher than the soil irrigated with TWW. Similar trends were found for agricultural produces grown on soil irrigated with IWW and found higher than the normal allowable WHO limits, indicating higher possibilities of health risks if continuously consumed. MTF values were found higher than 1 for ladyfinger and green pepper for Pb intake and pumpkin for Mn intake. The current study suggests the continuous monitoring of soil, irrigation water and agricultural products to prevent heavy metals concentration beyond allowable limits, in the food chain. Thus, concrete preventive measures must be taken to reduce heavy metal accumulation through wastewater irrigation to protect both human and animal health in the study area of Mingora Swat Pakistan.",PloS one,"['D057914', 'D000818', 'D004784', 'D005506', 'D006801', 'D007854', 'D019216', 'D018570', 'D012987', 'D012989', 'D014675', 'D062065', 'D014867']","['Agricultural Irrigation', 'Animals', 'Environmental Monitoring', 'Food Contamination', 'Humans', 'Lead', 'Metals, Heavy', 'Risk Assessment', 'Soil', 'Soil Pollutants', 'Vegetables', 'Waste Water', 'Water']","Assessment of heavy metals accumulation in agricultural soil, vegetables and associated health risks.","['Q000379', None, None, 'Q000032', None, 'Q000032', 'Q000032', None, None, 'Q000032', None, 'Q000032', 'Q000032']","['methods', None, None, 'analysis', None, 'analysis', 'analysis', None, None, 'analysis', None, 'analysis', 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/35709202,2022
35678870,"The past mining activities in Bokkos Local Government Area (LGA) were performed in an uncontrolled way and gave rise to many abandoned ponds now serving as domestic and irrigation water sources. Past research focused mainly on the environmental impact, and we show for the first time what the human health risk through consumption of contaminated food crops is in these communities. This study was designed to determine the level of Potentially Toxic Elements (PTEs) contamination in pond water, soil, and food crops and assess the health risk of inhabitants in the abandoned tin mining community in Bokkos LGA. Samples of the mining pond water, soil, and selected food crops from farms irrigated with the pond water: bitter leaf (Vernonia amygdalina), pepper (Piper nigrum), okra (Albelmoschus esculentus), maize (Zea mays), sweet potato (Ipomoea batatas), and Irish potato (Solanum tuberosum) were analyzed for each of the eight PTEs (viz. Cu, Cr, Fe, Mn, Ni, Zn, Cd, and Pb) using inductively coupled plasma optical emission spectrometry (ICP-OES). The results obtained showed that the levels of all the PTEs analyzed in the soil, pond water, and selected food crops except for Fe and Mn in soil and Cd in sweet potato were greater than their corresponding background area values (p < 0.05). Also, the mean concentrations of all the PTEs except for Cu in pond water were significantly (p < 0.05) higher than the WHO maximum permissible limit. With the exception of Fe, Ni, and Zn for pepper and okra, Cu and Fe for maize grains as well as Cu, Ni, and Zn for sweet and Irish potatoes and Fe and Cd for sweet potato, the mean concentrations of PTEs in the food crops were significantly higher than WHO maximum permissible limit. The EF values of Cd (0.39); Cu (3.59) and Ni (2.81); Cr (9.38) and Pb (17.84); and Mn (178.13) and Zn (83.22) classified the soil as minimally, moderately, significantly, and extremely highly enriched, respectively. The PI values of all the PTEs in the soil studied were all greater than 5, indicating that the soils were severely contaminated. There was evidence that food crops significantly bioaccumulated PTEs either as a result of contaminated soil and/or irrigation water. The bioaccumulation was not uniform and was dominated by transfer from the polluted irrigation water. The bitter leaf, okra, and to some extent maize had the highest transfer of PTEs, and Mn, Cu, and Zn had the highest bioaccumulation in the food crops investigated. The hazardous index (HI) for the eight PTEs through the consumption of food crops was 107 for children and 33 for adults which greatly exceeded the recommended limit of 1, thus indicating that possible health risks exist for both local children and adults. For every PTE, the values of HI for children are many-fold higher than those for adults, which is of particular concern due to the high HI values for Pb found for maize consumption, a typical staple food. The cancer risk values for Cr and Ni for all the food crops were within 10",Archives of environmental contamination and toxicology,"['D000328', 'D002104', 'D002648', 'D018556', 'D004784', 'D006801', 'D007854', 'D019216', 'D009549', 'D018570', 'D012424', 'D012987', 'D012989', 'D014001', 'D014867']","['Adult', 'Cadmium', 'Child', 'Crops, Agricultural', 'Environmental Monitoring', 'Humans', 'Lead', 'Metals, Heavy', 'Nigeria', 'Risk Assessment', 'Rural Population', 'Soil', 'Soil Pollutants', 'Tin', 'Water']","Health Risks for a Rural Community in Bokkos, Plateau State, Nigeria, Exposed to Potentially Toxic Elements from an Abandoned Tin Mine.","[None, 'Q000032', None, None, 'Q000379', None, 'Q000032', 'Q000032', None, None, None, None, 'Q000032', 'Q000032', 'Q000032']","[None, 'analysis', None, None, 'methods', None, 'analysis', 'analysis', None, None, None, None, 'analysis', 'analysis', 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/35678870,2022
35651511,"In this study, furan analysis was conducted on dried red pepper powder treated by three cooking methods (boiling, roasting, and frying). A total of 144 samples were prepared and their furan levels were analysed using automated solid-phase micro-extraction gas chromatography-mass spectrometry. The furan concentration in boiled soup ranged from 1.26 to 4.65 ng/g, and from 7.37 to 27.68 ng/g for boiled red pepper samples. For the roasting method, a furan concentration between 6.66 and 761.37 ng/g was detected. For the frying method, the furan level of edible oils ranged from 3.93 to 125.88 ng/g, and a concentration ranging from 4.88 to 234.52 ng/g was detected for the fried red pepper samples. The cooking method using edible oil obtained a higher furan concentration than the water-based method. Samples using corn germ oil (linoleic acid-rich oil) obtained the highest furan concentration among the four edible oils. In all cooking methods, the higher the heating temperature and time, the higher the furan concentration detected. A kinetic study was conducted using the roasting model system and the apparent activation energy was 60.5 kJ/mol. The results of this study could be useful as a database for furan concentration in dried red pepper powder according to various cooking methods.",Frontiers in nutrition,[],[],"Analysis of Furan in Red Pepper Powder Treated by Three Methods-Boiling, Roasting, and Frying.",[],[],https://www.ncbi.nlm.nih.gov/pubmed/35651511,2022
35621729,The biosynthesis of 3-isobutyl-2-methoxypyrazine (IBMP) in bell pepper fruits (,Journal of agricultural and food chemistry,"['D002212', 'D005638', 'D008401', 'D007553', 'D009812', 'D011719']","['Capsicum', 'Fruit', 'Gas Chromatography-Mass Spectrometry', 'Isotope Labeling', 'Odorants', 'Pyrazines']",Investigation of Biosynthetic Precursors of 3-Isobutyl-2-Methoxypyrazine Using Stable Isotope Labeling Studies in Bell Pepper Fruits (,"['Q000737', 'Q000737', 'Q000379', None, 'Q000032', None]","['chemistry', 'chemistry', 'methods', None, 'analysis', None]",https://www.ncbi.nlm.nih.gov/pubmed/35621729,2022
35408751,"The aim of the present study was to determine the volatile compounds of three different species of chili peppers, using solid-phase microextraction (SPME) methods in combination with gas chromatography-mass spectrometry (GC-MS). The detection of marker aroma compounds could be used as a parameter to differentiate between species of chili peppers for their detection and traceability in chili pepper food. The sensorial contribution was also investigated to identify the predominant notes in each species and to evaluate how they can influence the overall aroma. Three different pepper species belonging to the ","Molecules (Basel, Switzerland)","['D002212', 'D008401', 'D009812', 'D052617', 'D014675', 'D055549']","['Capsicum', 'Gas Chromatography-Mass Spectrometry', 'Odorants', 'Solid Phase Microextraction', 'Vegetables', 'Volatile Organic Compounds']","Elucidation of Analytical-Compositional Fingerprinting of Three Different Species of Chili Pepper by Using Headspace Solid-Phase Microextraction Coupled with Gas Chromatography-Mass Spectrometry Analysis, and Sensory Profile Evaluation.","['Q000737', 'Q000379', 'Q000032', 'Q000379', None, 'Q000032']","['chemistry', 'methods', 'analysis', 'methods', None, 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/35408751,2022
35400419,"The release profiles of protein-bound heterocyclic amines (HAs) in beef myofibril protein (MP) model systems were investigated after different enzyme dosage or stages of digestion were simulated in vitro. The effects of co-digestion of pepper, apple, and onion with bound HAs on the release rate of bound HAs were also explored. The results showed that, at a constant ratio of substrate to enzyme, the bound HAs were not completely converted into free HAs. Most bound HAs were enzymatically released after intestinal digestion, resulting in a significant increase of free HAs. β-Carbolines were more easily hydrolyzed compared with other HAs. Pepper, apple, and onion promoted the release of bound HAs, and the total free HAs was increased 20.44, 41.56, and 33.28 times by 1.0% pepper, 150% apple, and 150% onion. The sensitivity of HAs to different additives was variable, with the most significant changes observed in harman and norharman.","Food research international (Ottawa, Ont.)","['D000588', 'D000818', 'D002417', 'D002851', 'D004063', 'D006571', 'D009210', 'D029222', 'D053719']","['Amines', 'Animals', 'Cattle', 'Chromatography, High Pressure Liquid', 'Digestion', 'Heterocyclic Compounds', 'Myofibrils', 'Piper nigrum', 'Tandem Mass Spectrometry']",Release profiles of beef myofibril protein-bound heterocyclic amines and effects of dietary components on in vitro digestion.,"[None, None, None, 'Q000379', None, None, None, None, 'Q000379']","[None, None, None, 'methods', None, None, None, None, 'methods']",https://www.ncbi.nlm.nih.gov/pubmed/35400419,2022
