PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
35314979,"Carnosine is a naturally occurring dipeptide and a functional component in foods, while also showing health-promoting effects. Generally, food-derived carnosine is quantified via high-performance liquid chromatography (HPLC). We have developed a method for quantifying carnosine in foods using microbial enzymes, β-Ala-Xaa dipeptidase (BapA) and histidine ammonia-lyase (HAL). The carnosine concentrations in extracts of chicken, pork, beef, bonito, and tuna were determined via both HPLC and enzymatic determination. The carnosine contents measured via enzymatic determination were in agreement with those determined via conventional HPLC analysis. Relative standard-deviation values of the conventional HPLC method and the enzymatic determination of carnosine in foods were 0.728-5.76% and 0.504-4.58%, respectively. The recovery of carnosine in food extracts via enzymatic determination was 97-103%. Therefore, the developed enzymatic determination technique using BapA and HAL can be used for the determination of carnosine in meats and fishes with comparable accuracy to that of conventional HPLC analysis.",Analytical sciences : the international journal of the Japan Society for Analytical Chemistry,"['D000818', 'D002336', 'D002417', 'D004150', 'D005399', 'D006638', 'D008460', 'D016958']","['Animals', 'Carnosine', 'Cattle', 'Dipeptidases', 'Fishes', 'Histidine Ammonia-Lyase', 'Meat', 'Pseudomonas putida']",Enzymatic determination of carnosine in meat and fish using β-Ala-Xaa dipeptidase and histidine ammonia-lyase derived from Pseudomonas putida NBRC100650.,"[None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/35314979,2022
34985214,"Chlorpropham is a plant growth regulator and a herbicide. It is commonly used in the post-harvest treatment of potato to inhibit germination. It can also be used for flower thinning and fruit thinning of fruit trees, and for controlling annual gramineous weeds and a few broad-leaved weeds. Improper or excessive use of chlorpropham in crop cultivation will affect the safety of animal-derived food and impair human health through the food chain and water cycle. Therefore, accurate quantification of chlorpropham is imperative for risk assessment and mitigating risks to food safety. A method based on solid phase extraction and ultra-high performance liquid chromatography-tandem mass spectrometry (SPE-UHPLC-MS/MS) was established for the determination of chlorpropham in animal-derived food. First, the pretreatment conditions were optimized. To purify the samples and remove impurities, SPE column cartridges with different packing materials such as PXC, PXA, Florisil, and PLS were investigated. Based on the retention of chlorpropham, the ProElut PLS SPE column was selected as the pretreatment purification column. The washing solution and eluents were then optimized. When water was used as the washing solution, chlorpropham remained adsorbed on the SPE column and was not eluted along with other water-soluble substances. When the proportion of acetonitrile exceeded 40%, chlorpropham adsorbed on the filler of the SPE column could be gradually washed down. Acetonitrile-water solution(30∶70, v/v) was used for washing the SPE column. The elution ability of seven eluents for chlorpropham on the SPE column was then investigated. Among them, pure methanol, pure acetonitrile, and 1% (v/v) formic acid-methanol showed better elution effect. Considering that acetonitrile was used in the sample extraction, it was chosen as the mobile phase eluent. Subsequently, the chromatographic conditions and MS parameters were optimized. By examining the ionization cracking of chlorpropham, the quasimolecular ions and corresponding fragmentations in the chlorpropham primary MS were determined. The separation effect of three C18 columns was investigated. Based on the retention ability and peak effect of chlorpropham on the column, the Agilent ZORBAX SB-C18 (150 mm×2.1 mm, 5 μm) column was used for chlorpropham separation. The response of chlorpropham in the positive and negative ionization modes was investigated and optimized. The results showed that the response was better in the positive ion mode than that in the negative ion mode. After optimizing the chromatographic conditions and MS parameters, the sensitivity of the method was improved. Finally, the analytes were separated on the Agilent ZORBAX SB-C18 (150 mm×2.1 mm, 5 μm) under a gradient elution program using acetonitrile and 0.2% (v/v) formic acid aqueous solution as the mobile phases. The analytes were detected in the multiple reaction monitoring (MRM) mode under positive electrospray ionization (ESI",Se pu = Chinese journal of chromatography,"['D000818', 'D002417', 'D002748', 'D002851', 'D006801', 'D008892', 'D052616', 'D053719']","['Animals', 'Cattle', 'Chlorpropham', 'Chromatography, High Pressure Liquid', 'Humans', 'Milk', 'Solid Phase Extraction', 'Tandem Mass Spectrometry']",[Determination of chlorpropham residues in animal-derived foods by solid phase extraction and ultra-high performance liquid chromatography-tandem mass spectrometry].,"[None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34985214,2022
34865786,"N,N-dimethylpiperidinium (mepiquat) is an important food contaminant formed from natural ingredients during thermal processing. In this study, mepiquat formation in meat (pork and beef) and vegetables (potatoes and broccoli) was investigated via HPLC-MS/MS; the investigated cooking methods were oven baking, pan cooking, deep frying, and microwaving. The results showed that, among all foods, oven-baked potatoes showed the highest mepiquat level of 1064 μg/kg, which appeared after 20 min at 240 °C. The residual rates of mepiquat precursors, pipecolic acid (PipAc), betaine, choline, and trigonelline, were determined in oven-baked potatoes to investigate their correlation with mepiquat formation. The PipAc levels reduced by 99.8% at 260 °C after 30 min of oven baking, exhibiting a significantly high decomposition rate. Therefore, PipAc could be used as a marker of quality for the detection of mepiquat in thermally processed foodstuffs.","Food research international (Ottawa, Ont.)","['D000818', 'D002417', 'D006358', 'D008460', 'D010880', 'D053719', 'D000067075']","['Animals', 'Cattle', 'Hot Temperature', 'Meat', 'Piperidines', 'Tandem Mass Spectrometry', 'Vegetable Products']","Effects of thermal processing on N,N-dimethylpiperidinium (mepiquat) formation in meat and vegetable products.","[None, None, None, None, None, None, None]","[None, None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34865786,2021
34753973,"Nine odorless laboratory-collected hydro-distilled aqueous extracts (basil, calendula, centrifuged oregano, corn silk, laurel, oregano, rosemary, spearmint, thyme) and one industrial steam-distilled oregano hydrolate acquired as by-products of essential oils purification were screened for their in vitro antimicrobial activity against three Salmonella Typhimurium strains (4/74, FS8, FS115) at 4 and 37 °C. Susceptibility to the extracts was mainly plant- and temperature-dependent, though strain dependent effects were also observed. Industrial oregano hydrolate eliminated strains immediately after inoculation, exhibiting the highest antimicrobial potential. Hydro-distilled extracts eliminated/reduced Salmonella levels during incubation at 4 °C. At 37 °C, oregano, centrifuged oregano, thyme, calendula and basil were bactericidal while spearmint, rosemary and corn silk bacteriostatic. A strain-dependent effect was observed for laurel. The individual or combined effect of marinades and edible coatings prepared of industrial hydrolate and hydro-distilled oregano extracts with or without oregano essential oil (OEO) was tested in pork meat at 4 °C inoculated with FS8 strain. Lower in situ activity was observed compared to in vitro assays. Marinades and edible coatings prepared of industrial oregano hydrolate + OEO were the most efficient in inhibiting pathogen. Marination in oregano extract and subsequent coating with either 50% oregano extract + OEO or water + OEO enhanced the performance of oregano extract. In conclusion, by-products of oregano essential oil purification may be promising alternative antimicrobials to pork meat stored under refrigeration when applied in the context of multiple hurdle approach.",Scientific reports,"['D000818', 'D000900', 'D002851', 'D015169', 'D059022', 'D008826', 'D010936', 'D000080305', 'D012486', 'D021241', 'D013552', 'D053719', 'D014867']","['Animals', 'Anti-Bacterial Agents', 'Chromatography, High Pressure Liquid', 'Colony Count, Microbial', 'Food Safety', 'Microbial Sensitivity Tests', 'Plant Extracts', 'Pork Meat', 'Salmonella typhimurium', 'Spectrometry, Mass, Electrospray Ionization', 'Swine', 'Tandem Mass Spectrometry', 'Water']",Evaluation of antimicrobial activities of plant aqueous extracts against Salmonella Typhimurium and their application to improve safety of pork meat.,"[None, 'Q000737', 'Q000379', None, None, None, 'Q000737', 'Q000382', 'Q000187', 'Q000379', None, 'Q000379', 'Q000737']","[None, 'chemistry', 'methods', None, None, None, 'chemistry', 'microbiology', 'drug effects', 'methods', None, 'methods', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/34753973,2022
34741935,"Rodenticides are toxic chemicals used to control rodent populations and are among the most common household toxicants. Ingestion of foods contaminated with rodenticides may cause severe illness or death in humans and animals. A rapid analytical method was developed for the identification of nine common rodenticides in foods using solid-liquid extraction followed by dispersive-solid phase extraction prior to the analysis by liquid chromatography-tandem mass spectrometry (LC-MS/MS) and UV detection. The method validation on a variety of food matrices including cornmeal, peanut, whole wheat flour and pork liver produced average recoveries between 91.2 and 107% with relative standard deviations between 2.6 and 14% for all studied rodenticides. The method detection limits ranged from 2.7 to 8.2 μg/kg (ppb) for eight rodenticides analyzed by LC-MS/MS and between 0.10 and 0.21 mg/kg (ppm) for bromethalin which was analyzed by LC with UV detection. This method could be useful in preparedness for emergency response situations involving widespread food contamination, terrorist acts or for forensic studies.","Journal of chromatography. B, Analytical technologies in the biomedical and life sciences","['D000818', 'D002851', 'D005433', 'D005506', 'D008099', 'D012378', 'D052616', 'D013552', 'D053719', 'D014908']","['Animals', 'Chromatography, High Pressure Liquid', 'Flour', 'Food Contamination', 'Liver', 'Rodenticides', 'Solid Phase Extraction', 'Swine', 'Tandem Mass Spectrometry', 'Triticum']",Rapid method for the detection of rodenticides in contaminated foods.,"[None, 'Q000379', 'Q000032', 'Q000032', 'Q000737', 'Q000032', 'Q000379', None, 'Q000379', 'Q000737']","[None, 'methods', 'analysis', 'analysis', 'chemistry', 'analysis', 'methods', None, 'methods', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/34741935,2022
34732105,"Thermal treatment of protein-rich food can lead to the formation of biologically active heterocyclic aromatic amines (HAAs). One of the methods to learn how to reduce the content as well as the influence of these compounds on heath is the study of factors inhibiting their synthesis. In the current investigation, the effect of onion and garlic on the formation of six possibly carcinogenic non-polar HAAs (α-, γ- and δ-carbolines) and two co-mutagenic β-carbolines (harmane and norharmane) was evaluated by comparing their contents in meat and gravy samples obtained from pan-fried pork dishes prepared in the presence and absence of these vegetables. Carbolines were isolated from food samples by solid phase extraction. The quantitative analysis was performed by high-performance liquid chromatography with fluorescence detection. The concentrations of individual compounds in dishes prepared without added vegetables ranged from 0.02 ng g","Food additives & contaminants. Part A, Chemistry, analysis, control, exposure & risk assessment","['D000588', 'D000818', 'D000975', 'D002243', 'D002273', 'D002851', 'D005737', 'D006247', 'D006358', 'D006801', 'D008460', 'D008461', 'D009153', 'D019697', 'D013552']","['Amines', 'Animals', 'Antioxidants', 'Carbolines', 'Carcinogens', 'Chromatography, High Pressure Liquid', 'Garlic', 'Harmine', 'Hot Temperature', 'Humans', 'Meat', 'Meat Products', 'Mutagens', 'Onions', 'Swine']","The effect of onion and garlic on non-polar heterocyclic aromatic amines (α-, β-, γ- and δ-carbolines) formation in pan-fried meat and gravy.","['Q000737', None, 'Q000737', 'Q000737', 'Q000737', None, 'Q000737', 'Q000031', None, None, 'Q000032', 'Q000032', 'Q000737', 'Q000737', None]","['chemistry', None, 'chemistry', 'chemistry', 'chemistry', None, 'chemistry', 'analogs & derivatives', None, None, 'analysis', 'analysis', 'chemistry', 'chemistry', None]",https://www.ncbi.nlm.nih.gov/pubmed/34732105,2022
34697366,"Nowadays, there is a growing concern about contamination of toxic metals (TM) in pet food due to the great potential for health risks of these elements. TM concentrations in commercial pet foods (n = 100) as well as in ingredients used in their composition (n = 100) were analyzed and compared to the Food and Drug Administration (FDA) maximum tolerable level (MTL), and the TM concentrations found in the different sources of carbohydrate, protein, and fat were compared. The TM concentrations were determined by inductively coupled plasma with optical emission spectrometry (ICP-OES). Concentrations above the MTL for aluminum, mercury, lead, uranium, and vanadium were observed in both dog and cat foods, and the percentage of dog foods that exceeded the MTL of these TM were: 31.9%; 100%; 80.55%; 95.83%; and 75%, respectively, and in cat foods: 10.71%; 100%; 32.14%; 85.71%; 28.57%, respectively. The MTL values of these TMs and the mean values in dog foods (mg/kg dry matter basis) (MTL [mean ± standard deviation]) were: aluminum: 200 (269.17 ± 393.74); mercury: 0.27 (2.51 ± 1.31); lead: 10 (12.55 ± 4.30); uranium: 10 (76.82 ± 28.09); vanadium: 1 (1.35 ± 0.69), while in cat foods were: aluminum: 200 (135.51 ± 143.95); mercury: 0.27 (3.47 ± 4.31); lead: 10 (9.13 ± 5.42); uranium: 10 (49.83 ± 29.18); vanadium: 1 (0.81 ± 0.77). Dry foods presented higher concentrations of most TM (P < 0.05) than wet foods (P < 0.05). Among the carbohydrate sources, there were the highest levels of all TM except cobalt, mercury, and nickel in wheat bran (P < 0.05), while among the protein sources, in general, animal by-products had higher TM concentrations than plant-based ingredients. Pork fat had higher concentrations of arsenic, mercury, and antimony than fish oil and poultry fat. It was concluded that the pet foods evaluated in this study presented high concentrations of the following TM: aluminum, mercury, lead, uranium, and vanadium.",Scientific reports,"['D000821', 'D000818', 'D002415', 'D004285', 'D005504', 'D000074385', 'D000075322', 'D019216']","['Animal Feed', 'Animals', 'Cats', 'Dogs', 'Food Analysis', 'Food Ingredients', 'Heavy Metal Poisoning', 'Metals, Heavy']",Toxic element levels in ingredients and commercial pet foods.,"['Q000032', None, None, None, None, 'Q000032', 'Q000662', 'Q000032']","['analysis', None, None, None, None, 'analysis', 'veterinary', 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/34697366,2022
34677016,"As among the most widely used pesticides in agriculture, plant growth regulators (PGRs) have a positive influence on plants. However, the overuse of PGRs may induce toxicity in food and even be hazardous to human health. Numerous studies have investigated the presence and residues of PGRs on vegetables and fruits. Animal-derived foods are one of the most dominant food sources providing nutrients to fulfil the daily dietary intake, and could also be potentially contaminated by PGRs. However, there is little information on PGR residues in animal-derived foods. Standardization also lacks among the techniques for PGR determination in animal-derived foods, thereby restricting the further establishment of pesticide usage and food safety regulations. Therefore, in this study, a rapid and effective method for analyzing chlormequat chloride, thidiazuron, and paclobutrazol in animal-derived food samples was established. The method primarily involves high performance liquid chromatography-tandem mass spectrometry combined with the use of isotope-labeled internal standards. The extraction and clean-up procedures were based on the QuEChERS method. The analytes were extracted from pork, beef, chicken, pork liver, egg, and milk samples using acetonitrile, followed by 4 g anhydrous magnesium sulfate (MgSO",Se pu = Chinese journal of chromatography,"['D000818', 'D002417', 'D002851', 'D006801', 'D007554', 'D010937', 'D012015', 'D052616', 'D053719']","['Animals', 'Cattle', 'Chromatography, High Pressure Liquid', 'Humans', 'Isotopes', 'Plant Growth Regulators', 'Reference Standards', 'Solid Phase Extraction', 'Tandem Mass Spectrometry']",[Determination of plant growth regulators in animal-derived foods using QuEChERS-isotope-labeled internal standards with high performance liquid chromatography-tandem mass spectrometry].,"[None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34677016,2021
34038778,"A simple extraction procedure coupled with liquid chromatography-Q Orbitrap high resolution mass spectrometry (LC-Q Orbitrap HRMS) for the determination of 19 quinolones in animal-derived foods (pork, fish, egg and milk) has been developed. Sample preparation is based on homogeneous liquid-liquid extraction at pH > 9 using water-miscible acetonitrile with cold-induced phase separation. The procedure allowed one-step enrichment and cleanup of all the 19 quinolones with different logP properties to lower aqueous phase, which eliminated the process of preconcentration and re-dissolution for sample solution. Furthermore, an adsorption phenomenon was observed between conventional borosilicate glass injection vials and most of quinolones. In detection analysis, a scheduled variable full scan strategy was performed to improve detection performance in Q Orbitrap HRMS. Under optimal conditions, a superior limit of quantitation (0.028-0.192 μg/kg) in animal-derived foods was achieved using this proposed method. Lastly, this method was validated and applied successfully in real samples.",Journal of chromatography. A,"['D000097', 'D000818', 'D002851', 'D002853', 'D004350', 'D005399', 'D005506', 'D006863', 'D057230', 'D059625', 'D013058', 'D008892', 'D000080305', 'D015363', 'D014867']","['Acetonitriles', 'Animals', 'Chromatography, High Pressure Liquid', 'Chromatography, Liquid', 'Drug Residues', 'Fishes', 'Food Contamination', 'Hydrogen-Ion Concentration', 'Limit of Detection', 'Liquid-Liquid Extraction', 'Mass Spectrometry', 'Milk', 'Pork Meat', 'Quinolones', 'Water']",Development of a pH-dependent homogeneous liquid-liquid extraction by cold-induced phase separation in acetonitrile/water mixtures for determination of quinolone residues in animal-derived foods.,"['Q000737', None, 'Q000379', 'Q000379', 'Q000032', None, 'Q000032', None, None, 'Q000379', 'Q000379', 'Q000737', None, 'Q000032', 'Q000737']","['chemistry', None, 'methods', 'methods', 'analysis', None, 'analysis', None, None, 'methods', 'methods', 'chemistry', None, 'analysis', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/34038778,2021
33647618,"Analytical methods were validated for the evaluation of acetaldehyde and formaldehyde, which are harmful chemicals, using solid-phase microextraction-gas chromatography/mass spectrometry in four different matrices. Typical home-cooking methods including boiling, pan-frying, and stir-frying, were applied to beef, rapeseed oil, canned pork ham, egg, and rice wine. In addition, monosaccharides, disaccharides, alanine, and glycine were heated for the formation of both aldehydes. All validation parameters, including accuracy, precision, limit of detection, limit of quantification, and uncertainty, for four different matrices were within recommended ranges, confirming the validity of the current method. Acetaldehyde contents ranged from undetectable to 17.92 μg/g and formaldehyde contents ranged from undetectable to 0.27 μg/g. Generally, boiling decreased both aldehydes except acetaldehyde in egg. Pan- and stir-frying increased both aldehyde content substantially in rapeseed oil whereas pan-frying increased acetaldehyde content in canned pork ham and egg. Fructose and sucrose produced higher content of both aldehydes than maltose and glucose when heated. Depending on food type, the cooking process had slightly different effects on the contents of acetaldehyde and formaldehyde.",Journal of hazardous materials,"['D000079', 'D000447', 'D000818', 'D002417', 'D003296', 'D005557', 'D008401']","['Acetaldehyde', 'Aldehydes', 'Animals', 'Cattle', 'Cooking', 'Formaldehyde', 'Gas Chromatography-Mass Spectrometry']",Changes in acetaldehyde and formaldehyde contents in foods depending on the typical home cooking methods.,"[None, 'Q000032', None, None, None, None, None]","[None, 'analysis', None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/33647618,2021
