PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
35347716,"Fermentation of eight vegetables was studied as an alternative for reclamation of surplus volumes. Fermentation performance was predicted by comparing the amounts of acid that could be produced from the intrinsic sugar content with that buffered by the fresh vegetable matrices prior to reaching an inhibitory pH for fermentative microbes (3.30). Native fermentations were brined with 345.0 mM sodium chloride, 40.0 mM calcium chloride, 6.0 mM potassium sorbate, and vinegar to adjust the initial pH to 4.70. High-performance liquid chromatography analysis, pH, and carbon dioxide measurements and spiral plating on selective media were employed to monitor the progress of fermentations. The average colony counts for yeast and/or molds and Enterobacteriaceae declined to undetectable levels from 3.6 ± 1.5 log CFU/ml within 7 days of fermentation. The fermentation of sugars produced lactic, acetic, succinic, and/or malic acids, and ethanol. As predicted, the fermentation of vegetables with low sugar content, such as broccoli, green leaf lettuce, and green pea proceeded to completion. The fermentation of vegetables with a moderate sugar content, such as green bell pepper, red ripened tomato, and green bean were incomplete at pH 3.1 ± 0.2. The fermentation of high sugar vegetables including sweet potato and corn were expected and observed to be incomplete. It is concluded that the intrinsic sugar content and buffer capacity of surplus vegetables are relevant parameters in obtaining complete fermentations. PRACTICAL APPLICATION: Vegetables are the second most wasted commodity in the United States and a substantial constituent of the global food waste. Development of fermentation to reclaim surplus vegetables from farms, grocery stores, and farmer's markets offers opportunities to ameliorate economic losses and environmental impact and add value to waste. The research described here suggests that a fraction of vegetables could be fermented in cover brines while others, with high sugar content, need specialized handling. Evidently, optimization of vegetable fermentation with starter cultures and added buffers represent an opportunity to stimulate complete bioconversions useful for reclaiming surplus volumes.",Journal of food science,[],[],Vegetable fermentations brined with low salt for reclaiming food waste.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35347716,2022
35080159,"Disulfoton, an organophosphorus pesticide, is used to control cotton, beet, potato, and other seedling period aphids, leaf moths, underground pests, etc., with internal absorption, killing, gastric poisoning, and fumigation. Disulfoton is a highly toxic organophosphate pesticide, which can inhibit cholinesterase activity, resulting in neurophysiological disorders by inhalation, feeding, and transdermal absorption. Disulfoton is difficult to degrade in the environment, which leads to enrichment in organisms and interference with endocrine. This compound is harmful to the ecological environment and human health. To ensure the quality and safety of food, it is important to develop a detection method for disulfoton and its metabolites in agricultural products. A reliable method based on dispersive solid phase extraction (d-SPE) with ultra high performance liquid chromatography-tandem mass spectrometry (UHPLC-MS/MS) was developed for the determination of disulfoton and its metabolites (disulfoton sulfone, disulfoton sulfoxide, demeton-",Se pu = Chinese journal of chromatography,"['D002851', 'D004222', 'D006801', 'D037742', 'D009943', 'D010575', 'D052616', 'D053719']","['Chromatography, High Pressure Liquid', 'Disulfoton', 'Humans', 'Nanotubes, Carbon', 'Organophosphorus Compounds', 'Pesticides', 'Solid Phase Extraction', 'Tandem Mass Spectrometry']",[Determination of disulfoton and its metabolites in agricultural products by dispersive soild phase extraction-ultra high performance liquid chromatography-tandem mass spectrometry].,"[None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/35080159,2022
34985214,"Chlorpropham is a plant growth regulator and a herbicide. It is commonly used in the post-harvest treatment of potato to inhibit germination. It can also be used for flower thinning and fruit thinning of fruit trees, and for controlling annual gramineous weeds and a few broad-leaved weeds. Improper or excessive use of chlorpropham in crop cultivation will affect the safety of animal-derived food and impair human health through the food chain and water cycle. Therefore, accurate quantification of chlorpropham is imperative for risk assessment and mitigating risks to food safety. A method based on solid phase extraction and ultra-high performance liquid chromatography-tandem mass spectrometry (SPE-UHPLC-MS/MS) was established for the determination of chlorpropham in animal-derived food. First, the pretreatment conditions were optimized. To purify the samples and remove impurities, SPE column cartridges with different packing materials such as PXC, PXA, Florisil, and PLS were investigated. Based on the retention of chlorpropham, the ProElut PLS SPE column was selected as the pretreatment purification column. The washing solution and eluents were then optimized. When water was used as the washing solution, chlorpropham remained adsorbed on the SPE column and was not eluted along with other water-soluble substances. When the proportion of acetonitrile exceeded 40%, chlorpropham adsorbed on the filler of the SPE column could be gradually washed down. Acetonitrile-water solution(30∶70, v/v) was used for washing the SPE column. The elution ability of seven eluents for chlorpropham on the SPE column was then investigated. Among them, pure methanol, pure acetonitrile, and 1% (v/v) formic acid-methanol showed better elution effect. Considering that acetonitrile was used in the sample extraction, it was chosen as the mobile phase eluent. Subsequently, the chromatographic conditions and MS parameters were optimized. By examining the ionization cracking of chlorpropham, the quasimolecular ions and corresponding fragmentations in the chlorpropham primary MS were determined. The separation effect of three C18 columns was investigated. Based on the retention ability and peak effect of chlorpropham on the column, the Agilent ZORBAX SB-C18 (150 mm×2.1 mm, 5 μm) column was used for chlorpropham separation. The response of chlorpropham in the positive and negative ionization modes was investigated and optimized. The results showed that the response was better in the positive ion mode than that in the negative ion mode. After optimizing the chromatographic conditions and MS parameters, the sensitivity of the method was improved. Finally, the analytes were separated on the Agilent ZORBAX SB-C18 (150 mm×2.1 mm, 5 μm) under a gradient elution program using acetonitrile and 0.2% (v/v) formic acid aqueous solution as the mobile phases. The analytes were detected in the multiple reaction monitoring (MRM) mode under positive electrospray ionization (ESI",Se pu = Chinese journal of chromatography,"['D000818', 'D002417', 'D002748', 'D002851', 'D006801', 'D008892', 'D052616', 'D053719']","['Animals', 'Cattle', 'Chlorpropham', 'Chromatography, High Pressure Liquid', 'Humans', 'Milk', 'Solid Phase Extraction', 'Tandem Mass Spectrometry']",[Determination of chlorpropham residues in animal-derived foods by solid phase extraction and ultra-high performance liquid chromatography-tandem mass spectrometry].,"[None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34985214,2022
34974348,"In this study, an ultrasensitive monoclonal antibody (mAb) was produced and used to develop a gold nanoparticle-based lateral flow immunochromatographic (ICA) strip for screening of clomazone (CLO) in potato and pumpkin samples. With assayed by indirect competitive enzyme-linked immunosorbent assay (ic-ELISA) method, the mAb belonging of IgG2 subclass showed a half-maximal inhibitory concentration (IC50) of 3.47 ng/mL and a linear range of detection of 0.43-28.09 ng/mL. A cross-reactivity test revealed that the mAb had good specificity for CLO. The strip assay had a visual limit of detection (LOD) of 5 µg/kg and a cut-off value of 50 µg/kg for CLO pumpkin samples (potato samples was 100 µg/kg) when evaluated with the naked eye. The results were consistent with ic-ELISA and high performance liquid chromatography tandem mass spectrometry (HPLC-MS). Thus, this ICA strip assay represents a potentially tool for on-site and rapid initial detection of CLO in potato and pumpkin samples.",Food chemistry,"['D028464', 'D004797', 'D006046', 'D017979', 'D007118', 'D007555', 'D057230', 'D053768', 'D023303', 'D011198']","['Cucurbita', 'Enzyme-Linked Immunosorbent Assay', 'Gold', 'Gold Colloid', 'Immunoassay', 'Isoxazoles', 'Limit of Detection', 'Metal Nanoparticles', 'Oxazolidinones', 'Solanum tuberosum']",Rapid and sensitive detection of clomazone in potato and pumpkin samples using a gold nanoparticle-based lateral-flow strip.,"[None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34974348,2022
34829147,"Worldwide, the food industry generates a large number of by-products from a wide variety of sources. These by-products represent an interesting and economical source of added value components with potential functionalities and/or bioactivities, which might be explored for industrial purposes, encouraging and promoting the circular economy concept. In this context, the current work aimed to evaluate the fatty acids (FAs) profile using gas chromatography-flame ionization detector (GC-FID) and Fourier Transform Infrared (FTIR), as well as the determination of related health lipid indices (e.g., atherogenic (AI) and thrombogenic (TI)) as a powerful strategy to investigate the potential applications of different agri-food by-products for human nutrition and animal feeding. This work results showed that polyunsaturated fatty acids (PUFAs) are the predominant group in grape pomace (72.7%), grape bunches (54.3%), and brewer's spent grain (BSG, 59.0%), whereas carrot peels are dominated by monounsaturated fatty acids (MUFAs, 47.3%), and grape stems (46.2%), lees (from 50.8 to 74.1%), and potato peels (77.2%) by saturated fatty acids (SFAs). These findings represent a scientific basis for exploring the nutritional properties of agri-food by-products. Special attention should be given to grape pomace, grape bunches, and BSG since they have a high content of PUFAs (from 54.3 to 72.7%) and lower AI (from 0.11 to 0.38) and TI (from 0.30 to 0.56) indexes, suggesting their potential to provide a variety of health benefits against cardiovascular diseases including well-established hypotriglyceridemia and anti-inflammatory effects, products to which they are added.","Foods (Basel, Switzerland)",[],[],Evaluation of Fatty Acids Profile as a Useful Tool towards Valorization of By-Products of Agri-Food Industry.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/34829147,2021
34786560,"The increasing need for sustainable food choices places a demand on developing palatable foods from lower impact production and with a suitable shelf-life. In this context, knowledge of the sensory properties of whole sterilised chickpeas is required to be able to make them more attractive to the consumers. The sensory quality of chickpeas is largely dependent on the aroma and flavour, which can be influenced by storage conditions. In this study, sterilised chickpeas in two different packaging materials with different oxygen permeabilities, stored up to 52 weeks at ambient temperature (20 °C) were investigated using both descriptive sensory profiling and gas chromatography - mass spectrometry - olfactometry analysis (GC-MS-O). During storage, intense, sulphury and meat-like aromas decreased in intensity, while with longer storage time hay-like, green-like and potato-like flavours and aromas became more apparent. A total of 40 odour-active volatiles were detected, of which some had properties reminiscent of the chickpea flavour profiles. However, no clear relationships could be established between these odorants and the sensory changes observed during storage by descriptive sensory analysis. It was concluded that, significant changes in the sensory attributes of sterilised chickpeas occurred during 52 weeks of storage, but that packaging material does not seem to largely influence the sensory attributes during storage.",Current research in food science,[],[],Flavour stability of sterilised chickpeas stored in pouches.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/34786560,2021
34709825,"Nontarget data acquisition for target analysis (nDATA) workflows using liquid chromatography-high-resolution accurate mass (LC-HRAM) spectrometry, spectral screening software, and a compound database have generated interest because of their potential for screening of pesticides in foods. However, these procedures and particularly the instrument processing software need to be thoroughly evaluated before implementation in routine analysis. In this work, 25 laboratories participated in a collaborative study to evaluate an nDATA workflow on high moisture produce (apple, banana, broccoli, carrot, grape, lettuce, orange, potato, strawberry, and tomato). Samples were extracted in each laboratory by quick, easy, cheap, effective, rugged, and safe (QuEChERS), and data were acquired by ultrahigh-performance liquid chromatography (UHPLC) coupled to a high-resolution quadrupole Orbitrap (QOrbitrap) or quadrupole time-of-flight (QTOF) mass spectrometer operating in full-scan mass spectrometry (MS) data-independent tandem mass spectrometry (LC-FS MS/DIA MS/MS) acquisition mode. The nDATA workflow was evaluated using a restricted compound database with 51 pesticides and vendor processing software. Pesticide identifications were determined by retention time (",Journal of agricultural and food chemistry,"['D002851', 'D002853', 'D005506', 'D005638', 'D010573', 'D010575', 'D053719', 'D014675', 'D057188']","['Chromatography, High Pressure Liquid', 'Chromatography, Liquid', 'Food Contamination', 'Fruit', 'Pesticide Residues', 'Pesticides', 'Tandem Mass Spectrometry', 'Vegetables', 'Workflow']",Multilaboratory Collaborative Study of a Nontarget Data Acquisition for Target Analysis (nDATA) Workflow Using Liquid Chromatography-High-Resolution Accurate Mass Spectrometry for Pesticide Screening in Fruits and Vegetables.,"[None, None, 'Q000032', 'Q000737', 'Q000032', 'Q000032', None, None, None]","[None, None, 'analysis', 'chemistry', 'analysis', 'analysis', None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34709825,2021
34677020,"Starch occurs naturally in the form of semicrystalline granules, and is composed of two types of carbohydrate molecules, amylose (AM) and amylopectin (AP). Starch granules and starch molecules have sizes in the range of 1-100 μm and 20-250 nm, respectively; these size ranges are among the key factors affecting the functional properties of starch. Asymmetrical flow field-flow fractionation (AF4) is a size-based separation technique. The major difference between AF4 and dynamic light scattering or microscopy techniques is that AF4 enables the separation of particles based on their size; consequently, the elution profile can be converted to the size distribution of the samples. In the last two decades, AF4 systems, when coupled online with multiangle light scattering (MALS) and differential refractive index (dRI) detectors (AF4-MALS-dRI), have demonstrated to be applicable for the size characterization of starch at the molecular level. Unlike size exclusion chromatography (SEC), AF4 systems use an open channel that does not require a stationary phase or packing materials. Thus, the shear scission of AP molecules during AF4 separation is minimized. The size detection range of a commercial AF4 system ranges from 1 nm to 10 μm, which is smaller than the size range of starch granules. In this study, a home-made AF4 system was developed, and its capability for the size characterization of starch granules extracted from sweet potato, lotus seed, and rice was investigated. The performance of the developed AF4 system was evaluated by running a mixture of polystyrene (PS) with diameter of 2, 6, 12, and 20 μm, respectively. Baseline separation of four PS samples was achieved, and the resolution for 6 μm PS and 12 μm PS was 1.40. The detection limit of the developed AF4 system was higher than that of commercial AF4 systems. Thus, the developed AF4 system is promising for the separation and characterization of starch granules. The effect of the composition of the carrier liquid on the AF4 separation of starch granules was also studied. Moreover, the accuracy of AF4 in terms of size characterization of the starch granules was evaluated by optical microscopy (OM). The results revealed that the type of dispersant and viscosity of the carrier liquid affect the accuracy of size characterization of the starch granules. The size distribution of rice starch granules obtained using a carrier liquid containing 0.01% (w/v) sodium dodecyl sulfate (used as a dispersant), 0.02% (w/v) NaN",Se pu = Chinese journal of chromatography,"['D000688', 'D031521', 'D008970', 'D012031', 'D013213']","['Amylose', 'Fractionation, Field Flow', 'Molecular Weight', 'Refractometry', 'Starch']",[Development of an asymmetrical flow field-flow fractionation system for the size characterization of starch granules].,"[None, None, None, None, None]","[None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34677020,2021
34641353,"Volatile compounds are the main chemical species determining the characteristic aroma of food. A procedure based on headspace solid-phase microextraction (HP-SPME) coupled to gas chromatography-mass spectrometry (GC-MS) was developed to investigate the volatile compounds of sweet potato. The experimental conditions (fiber coating, incubation temperature and time, extraction time) were optimized for the extraction of volatile compounds from sweet potato. The samples incubated at 80 °C for 30 min and extracted at 80 °C by the fiber with a divinylbenzene/carboxen/polydimethylsiloxane (DVB/CAR/PDMS) coating for 30 min gave the most effective extraction of the analytes. The optimized method was applied to study the volatile profile of four sweet potato cultivars (Anna, Jieshu95-16, Ayamursaki, and Shuangzai) with different aroma. In total, 68 compounds were identified and the dominants were aldehydes, followed by alcohols, ketones, and terpenes. Significant differences were observed among the volatile profile of four cultivars. Furthermore, each cultivar was characterized by different compounds with typical flavor. The results substantiated that the optimized HS-SPME GC-MS method could provide an efficient and convenient approach to study the flavor characteristics of sweet potato. This is the basis for studying the key aroma-active compounds and selecting odor-rich accessions, which will help in the targeted improvement of sweet potato flavor in breeding.","Molecules (Basel, Switzerland)","['D008401', 'D027723', 'D009812', 'D052617', 'D013649', 'D013696', 'D055549']","['Gas Chromatography-Mass Spectrometry', 'Ipomoea batatas', 'Odorants', 'Solid Phase Microextraction', 'Taste', 'Temperature', 'Volatile Organic Compounds']",Optimization of HS-SPME for GC-MS Analysis and Its Application in Characterization of Volatile Compounds in Sweet Potato.,"['Q000379', 'Q000378', 'Q000032', 'Q000379', None, None, 'Q000032']","['methods', 'metabolism', 'analysis', 'methods', None, None, 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/34641353,2021
34448159,"The potato is among the most important food crops in the world and of incalculable value for global food security. In 2012, the crop area for potato in Northern and Western Europe reached almost 1 million ha and a production of over 37 million tons with an average yield between 18 and 45 tons/ha. However, current potato production is put in jeopardy by a number of important biotic stress factors including late blight (Phytophthora infestans), which was responsible for the disastrous Irish potato famine during 1843-1845. P. infestans shows a remarkable capacity for adaptation with respect to host genotype and applied fungicides. This has made disease management to become more and more difficult and put substantial emphasis on gaining more detailed insight into the molecular bases of plant pathogen interactions, in order to find more sophisticated ways for biological pest control. The plant hormones jasmonic acid (JA) and salicylic acid (SA) play central roles in the regulation of plant responses to biotic foes. In addition, other phytohormones including auxins and abscisic acid (ABA) have also been associated with plant defense responses. For this reason, the parallel analysis of multiple plant hormones in small tissue amounts represents an important field of research in contemporary plant sciences. Here, we describe a highly sensitive and accurate method for the quantitative analysis of ABA, JA, SA, and indole-3-acetic acid in potato plants by gas chromatography-coupled tandem mass spectrometry (GC-MS/MS).","Methods in molecular biology (Clifton, N.J.)","['D000040', 'D008401', 'D010935', 'D010937', 'D020156', 'D011198', 'D013312', 'D053719']","['Abscisic Acid', 'Gas Chromatography-Mass Spectrometry', 'Plant Diseases', 'Plant Growth Regulators', 'Salicylic Acid', 'Solanum tuberosum', 'Stress, Physiological', 'Tandem Mass Spectrometry']",Mass Spectrometric Monitoring of Plant Hormone Cross Talk During Biotic Stress Responses in Potato (Solanum tuberosum L.).,"[None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34448159,2022
