PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
35362360,"Field trials were conducted in Guangzhou, Nanning, and Nanjing in two consecutive years to evaluate the terminal residue levels and dissipation trend of pymetrozine and chlorpyrifos in rice ecosystem. Analyses were carried out by high-performance-liquid-chromatography for pymetrozine and gas-chromatography-mass-spectrometry for chlorpyrifos, achieved good linear relationship over range from 0.01 to 5.0 mg·kg","Journal of environmental science and health. Part. B, Pesticides, food contaminants, and agricultural wastes",[],[],Residues and degradation dynamics of pymetrozine and chlorpyrifos in rice field ecosystem.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35362360,2022
35325205,"Nucleus-encoded circular RNAs (ncircRNAs) have been widely detected in eukaryotes, and most circRNA identification algorithms are designed to identify them. However, using these algorithms, few mitochondrion-encoded circRNAs (mcircRNAs) have been identified in plants, and the role of plant mcircRNAs has not yet been addressed. Here, we developed a circRNA identification algorithm, mitochondrion-encoded circRNA identifier (MeCi), based on common features of plant mitochondrial genomes. We identified 7,524, 9,819, 1,699, 1,821, 1,809, and 5,133 mcircRNAs in maize (Zea mays), Arabidopsis (Arabidopsis thaliana), rice (Oryza sativa), tomato (Solanum lycopersicum), cucumber (Cucumis sativus), and grape (Vitis vinifera), respectively. These mcircRNAs were experimentally validated. Plant mcircRNAs had distinct characteristics from ncircRNAs, and they were more likely to be derived from RNA degradation but not intron backsplicing. Alternative circularization was prevalent in plant mitochondria, and most parental genomic regions hosted multiple mcircRNA isoforms, which have homogenous 5' termini but heterogeneous 3' ends. By analysis of mitopolysome and mitoribosome profiling data, 1,463 mcircRNAs bound to ribosomes were detected in maize and Arabidopsis. Further analysis of mass spectrometry-based proteomics data identified 358 mcircRNA-derived polypeptides. Overall, we developed a computational pipeline that efficiently identifies plant mcircRNAs, and we demonstrated mcircRNAs are widespread and translated in plants.",Plant physiology,[],[],Mitochondrion-encoded circular RNAs are widespread and translatable in plants.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35325205,2022
35298847,"Mold growth reduces the quality of stored grains, besides producing toxins that pose a potential threat to human health. Therefore, prevention of grain mold growth during storage is important to ensure a safe and high-quality product, preferably using an eco-friendly antifungal agent. The Puroindoline (PIN) protein was extracted by Triton X-114, and identified by QE mass spectrometry. A. flavus has attracted much attention because of its toxic secondary metabolites, and PIN protein showed a significant inhibition on A. flavus growth. Scanning electron microscopy revealed altered spore morphology of A. flavus following PIN protein treatment, and propidium iodide staining showed incomplete spore cell membranes. The disruption and deformation of A. flavus spores suggest that the cell walls and cell membranes were compromised. Decreased mitochondrial membrane potential and increased levels of intracellular reactive oxygen species (ROS) were detected using JC-1 and 2,7-dichlorodihydrofluorescein diacetate staining, respectively. PIN protein could effectively inhibit the growth and aflatoxins B1 production of A. flavus in stored grains, such as wheat and rice. PIN proteins can inhibit the growth of many common grain storage molds, including Penicillium, Aspergillus spp. (A. flavus, A. glaucus, A. kawachii, A. ochraceus, A. niger), Alternaria, and Fusarium graminearum, in a dose-dependent manner. PIN protein has a significant inhibitory effect on the growth of grain molds, with a stronger inhibitory effect noted in wheat and rice. Our study provides a novel and simple theoretical basis for the selection and storage of mold-resistant in grains and food during storage.",Letters in applied microbiology,[],[],Antifungal activity of puroindoline protein from soft wheat against grain molds and its potential as a biocontrol agent.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35298847,2022
35292709,"Diet based on cereal, vegetables, oleaginous and dried fish are providing essential metallic elements. It can be also a source of exposure to toxic metallic elements. The aims of this study were to evaluate the contents on nine metallic trace elements (Fe, Zn, Mn, Co, Cd, Pb, Cu, Ni, Cr) in some major raw foodstuffs including rice, maize, peanut, tomato and dried fish in Burkina Faso and assess the health risk of these elements. Two hundred twenty-two samples were collected and analyzed by atomic absorption spectrometry. The health risk assessment was based on the United States Environment Protection Agency (USEPA) model. Iron and Zinc were the elements with the highest concentrations in the investigated foodstuffs. The iron highest median value (68.80 mg/kg) was observed in dried fish followed by maize (43.09 mg/kg) and peanuts (28.92 mg/kg). Rates of 77.95%, 66.66% and 32.5% obtained respectively fro tomato, maize and rice samples were above the maximum limit of lead set by Codex Alimentarius while 47.6%, 71.16% and 0% of maize, tomato and rice samples respectively have shown concentration above the maximum limit of cadmium. Chromium had shown higher contribution rate to the maximum daily intake of 167.11%, 34%, 2% and 8.53% for rice, maize and peanut respectively. A non-cancer risk situation has been observed on rice, maize and peanut consumption. None of the index risk values was above the threshold set by USEPA.",Scientific reports,[],[],Evaluation of metallic trace elements contents in some major raw foodstuffs in Burkina Faso and health risk assessment.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35292709,2022
35243353,"Flubendiamide (FBD) is the first commercially available phthalic acid diamide that targets ryanodine receptors (RyRs) in insects, which play a major role in lepidoptera control. However, excessive use of FBD can influence the quality of treated products leading to toxic effects on human health. The availability of rapid and convenient methods for evaluating FBD amount in the environment is necessary. Therefore, analytical methods were developed for the determination of residues of FBD and its metabolite desiodo in different food matrices like tomato, cabbage, pigeon pea, apple, chilli and rice. The current review carries forward methods for FBD residues analysis in foods by using several chromatographic techniques including sample preparation steps. The comparison between the different methods employed for quantitative and qualitative analysis of food quality and safety is also discussed. Liquid chromatography (LC) is the predominant analytical method for assessing the quality of foods treated with FBD. Studies related to LC coupled multichannel detector (Ultraviolet (UV), Mass spectrometry (MS)) are also applied to detect pesticide residues. Extraction and clean up steps are essential to obtain reliable results. Moreover, this review reports the allowed limits of residues for the safety of consuming products treated with FBD.",Current research in food science,[],[],Extraction and determination of flubendiamide insecticide in food samples: A review.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35243353,2022
35189242,"Dissolved organic matter (DOM) in soil is a key factor affecting the bioavailability of heavy metals, but very few studies have focused on the role of DOM in the use of soil amendments to mitigate heavy metal accumulation in crops. Here, eleven materials were added to cadmium (Cd)-contaminated paddy soil in greenhouse pot trials; rice was grown and harvested, the chemodiversity of post-harvest soil DOM was characterized using Fourier-Transform Ion Cyclotron Resonance Mass Spectrometry, and the specific associations between soil DOM traits and water-extractable soil Cd concentration were identified at the molecular level. The results showed that the endogenous release caused by altering soil pH had a greater effect on soil DOM concentration than did the exogenous chemical input due to the application of organic amendments, which in turn contributed to the chemodiversity of DOM. After one season of rice cultivation, soil DOM molecules were mainly dominated by relatively low molecular weight heteroatom-free lignins. C/N, C/H ratios of organic materials influenced DOM molecular fingerprint patterns, and soil pH and redox potential were the main driving forces affecting the chemodiversity of DOM. Furthermore, the low molecular weight, high saturation, low aromaticity, and heteroatom-free DOM molecules are more likely to dissolve Cd from the soil solid phase, thus increasing the potential risk of Cd to the environment. The results provide critical information about amendments-induced changes in DOM chemodiversity and will inform the selection of appropriate soil amendments.",The Science of the total environment,[],[],Chemodiversity of dissolved organic matter in cadmium-contaminated paddy soil amended with different materials.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35189242,2022
35174706,"Arsenic (As) accumulation in rice is of global concern for human health and international trade. Rice is typically reported to contain inorganic As (iAs) and dimethylated arsenate (DMA), with current food guidelines limiting toxic iAs but not less-toxic DMA. Here, we show that the highly toxic dimethylated monothioarsenate (DMMTA) is also found in rice worldwide and has been unknowingly determined as less-toxic DMA by previous routine analytical methods. Using enzymatic extraction followed by high-performance liquid chromatography-inductively coupled plasma-mass spectrometry (HPLC-ICP-MS) analysis with a C18 column, DMMTA was detected in rice grains (",Environmental science & technology,[],[],Widespread Occurrence of the Highly Toxic Dimethylated Monothioarsenate (DMMTA) in Rice Globally.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35174706,2022
35163864,"Ligands plays an important role in the extraction procedures for the determination of cadmium in rice samples by using flame atomic absorption spectrometry (FAAS). In the present study, comparative evaluation of 10 commercially available ligands for formation of Cd(II)-ligand complex and determination of cadmium in rice samples by ultrasound-assisted dispersive liquid-liquid microextraction (UADLLME) combined with FAAS was developed. Sodium diethyldithiocarbamate (DDTC) provided a high distribution coefficient as well as a good absorbance signal, therefore DDTC was used as a ligand in UADLLME. A low density and less toxic solvent, 1-heptanol, was used as the extraction solvent and ethanol was used as the disperser solvent. In addition, the experimental conditions of UADLLME were optimized in standard solution first and then applied in rice, such as the type and volume of extractant and dispersant, pH, extraction time, and temperature. Under the optimal experimental conditions, the detection limit (3σ) was 0.69 μg/L for Cd(II). The proposed method was applied for the determination of Cd(II) in three different rice samples (polished rice, brown rice, and glutinous rice), the recovery test was carried out, and the results ranged between 96.7 to 113.6%. The proposed method has the advantages of simplicity, low cost, and accurate and was successfully applied to analyze Cd(II) in rice.","Molecules (Basel, Switzerland)","['D002104', 'D002614', 'D004050', 'D059627', 'D012275', 'D012997', 'D013054', 'D000069453', 'D014874']","['Cadmium', 'Chelating Agents', 'Ditiocarb', 'Liquid Phase Microextraction', 'Oryza', 'Solvents', 'Spectrophotometry, Atomic', 'Ultrasonic Waves', 'Water Pollutants, Chemical']",Comparison Studies on Several Ligands Used in Determination of Cd(II) in Rice by Flame Atomic Absorption Spectrometry after Ultrasound-Assisted Dispersive Liquid-Liquid Microextraction.,"['Q000032', 'Q000737', 'Q000737', 'Q000379', 'Q000737', 'Q000737', 'Q000379', None, 'Q000032']","['analysis', 'chemistry', 'chemistry', 'methods', 'chemistry', 'chemistry', 'methods', None, 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/35163864,2022
35159429,"Arsenic is a metalloid with natural and anthropogenic sources and its inorganic form is toxic to humans. Rice is highly consumed worldwide and is prone to arsenic contamination; therefore, this study evaluated the inorganic arsenic content of 70 Portuguese rice samples. These were analysed through inductively coupled plasma mass spectrometry (ICP-MS) with a detection limit of 3.3 µg kg","Foods (Basel, Switzerland)",[],[],Arsenic in Portuguese Rice: Is There Any Risk?,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35159429,2022
35132447,"Arsenic is a human carcinogen. Data on urinary arsenic species analyses of Koreans are limited. This study evaluated the arsenic exposure level, contributing factors, and health effects in Korean adults. Dietary intake information and urine samples were obtained from 2044 participants. Arsenic exposure was assessed based on urinary concentrations of arsenic species, such as inorganic arsenic, As(III) and As(V), monomethylarsonic acid (MMA), dimethylarsinic acid (DMA), and arsenobetaine (AsB), using high-performance liquid chromatography with inductively coupled plasma mass spectrometry, followed by determination of biomarkers, malondialdehyde and c-peptide. The geometric mean concentrations were 30.9 μg/L for the sum of inorganic arsenic and their metabolites, and 84.7 μg/L for the total sum of arsenic measured. Urinary concentrations of arsenic species were influenced by age, inhabitant area (inland or coastal), and seafood intake, which was positively correlated with inorganic arsenic, DMA, and AsB. Rice intake was positively correlated with inorganic arsenic and its metabolites but not with AsB. Additionally, malondialdehyde and c-peptide levels were significantly associated with urinary concentrations of various arsenic species. Seafood and rice are major sources of organic/inorganic arsenic exposure in Korean adults; however, it is necessary to evaluate whether their overconsumption could have a potentially detrimental effect on human health.",Archives of environmental contamination and toxicology,[],[],Exposure Levels and Contributing Factors of Various Arsenic Species and Their Health Effects on Korean Adults.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35132447,2022
