PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
34829641,"Culinary spices and herbs have been used to impart a characteristic flavour and aroma in food due to their appealing fragrance. Recently, bioactive compounds from herbs, especially phenolics, have gained much attention due to their potential health outcomes. The aim of this study was to characterize and quantify the phenolic compounds from 10 widely used Australian-grown herbs (oregano, rosemary, bay, basil, sage, fenugreek, dill, parsley, mint and thyme). For this purpose, liquid chromatography mass spectrometry (LC-MS) was used for the complete profiling of polyphenolic compounds and quantification of abundant phenolic compounds was completed with high-performance liquid chromatography-photodiode array detection (HPLC-PDA). Polyphenols from Australian-grown herbs were estimated through total phenolic content (TP), total flavonoids (TF) and total tannins (TT) along with their in-vitro antioxidant activities. Oregano and mint were estimated with the highest value of TP (140.59 ± 9.52 and 103.28 ± 8.08 mg GAE/g, milligram gallic acid equivalent/gram) while rosemary and mint had the highest TF (8.19 ± 0.74 and 7.05 ± 0.43 mg QE (quercetin equivalent)/g). In this study, eighty-four (84) phenolic compounds were screened and confirmed through LC-MS/MS by comparing their masses and fragmentation pattern with published libraries. The results of this study validate the use of these herbs as bioactives and their positive impact on human health.","Antioxidants (Basel, Switzerland)",[],[],LC-MS/MS-QTOF Screening and Identification of Phenolic Compounds from Australian Grown Herbs and Their Antioxidant Potential.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/34829641,2021
34753973,"Nine odorless laboratory-collected hydro-distilled aqueous extracts (basil, calendula, centrifuged oregano, corn silk, laurel, oregano, rosemary, spearmint, thyme) and one industrial steam-distilled oregano hydrolate acquired as by-products of essential oils purification were screened for their in vitro antimicrobial activity against three Salmonella Typhimurium strains (4/74, FS8, FS115) at 4 and 37 °C. Susceptibility to the extracts was mainly plant- and temperature-dependent, though strain dependent effects were also observed. Industrial oregano hydrolate eliminated strains immediately after inoculation, exhibiting the highest antimicrobial potential. Hydro-distilled extracts eliminated/reduced Salmonella levels during incubation at 4 °C. At 37 °C, oregano, centrifuged oregano, thyme, calendula and basil were bactericidal while spearmint, rosemary and corn silk bacteriostatic. A strain-dependent effect was observed for laurel. The individual or combined effect of marinades and edible coatings prepared of industrial hydrolate and hydro-distilled oregano extracts with or without oregano essential oil (OEO) was tested in pork meat at 4 °C inoculated with FS8 strain. Lower in situ activity was observed compared to in vitro assays. Marinades and edible coatings prepared of industrial oregano hydrolate + OEO were the most efficient in inhibiting pathogen. Marination in oregano extract and subsequent coating with either 50% oregano extract + OEO or water + OEO enhanced the performance of oregano extract. In conclusion, by-products of oregano essential oil purification may be promising alternative antimicrobials to pork meat stored under refrigeration when applied in the context of multiple hurdle approach.",Scientific reports,"['D000818', 'D000900', 'D002851', 'D015169', 'D059022', 'D008826', 'D010936', 'D000080305', 'D012486', 'D021241', 'D013552', 'D053719', 'D014867']","['Animals', 'Anti-Bacterial Agents', 'Chromatography, High Pressure Liquid', 'Colony Count, Microbial', 'Food Safety', 'Microbial Sensitivity Tests', 'Plant Extracts', 'Pork Meat', 'Salmonella typhimurium', 'Spectrometry, Mass, Electrospray Ionization', 'Swine', 'Tandem Mass Spectrometry', 'Water']",Evaluation of antimicrobial activities of plant aqueous extracts against Salmonella Typhimurium and their application to improve safety of pork meat.,"[None, 'Q000737', 'Q000379', None, None, None, 'Q000737', 'Q000382', 'Q000187', 'Q000379', None, 'Q000379', 'Q000737']","[None, 'chemistry', 'methods', None, None, None, 'chemistry', 'microbiology', 'drug effects', 'methods', None, 'methods', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/34753973,2022
34020454,"For health reasons it is preferred to prepare food products with edible fats and oils that are high in unsaturated fatty acids. Unfortunately, these unsaturated acids are susceptible to lipid oxidation and the addition of natural antioxidants, e.g., rosemary extracts, etc. is needed.",Journal of AOAC International,"['D000975', 'D008401', 'D006801', 'D010084', 'D010938', 'D017365']","['Antioxidants', 'Gas Chromatography-Mass Spectrometry', 'Humans', 'Oxidation-Reduction', 'Plant Oils', 'Spices']",A Fast GC-MS-Based Method for Efficacy Assessment of Natural Anti-Oxidants for Inhibiting Lipid Oxidation.,"[None, None, None, None, None, 'Q000032']","[None, None, None, None, None, 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/34020454,2021
33805555,"The concentrations of 19 chemical elements have been determined in 36 honey samples of different botanical (wildflower, eucalyptus, eucalyptus red flowers, prickly pears, lemon blossom, thyme, almond, rosemary and jujube) honeys from the three geographical areas of Tunisia (Sidi Bouzid, Nabeul and Sfax) using inductively coupled plasma mass spectrometry (ICP-MS). The aim of this work was to use the multielement analysis together with chemometric tools to verify the botanical and the geographical origin of honeys. The correlation on the basis of mineral element content between the honey samples and their botanical and/or geographical origins was in some measure achieved. The data collected on the samples were also used to evaluate the nutritional quality and the potential health risks associated with elements via consumption of the Tunisian honey. According to the results obtained, the intake of essential elements was small, and the potential health risks associated with toxic or potentially toxic elements via consumption of this food were overall insignificant.","Foods (Basel, Switzerland)",[],[],Discrimination of Tunisian Honey by Mineral and Trace Element Chemometrics Profiling.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/33805555,2021
33241389,"Medicinal herbs are the ancient, traditional way of treating many diseases and are now considered the first natural source of pharmaceutical active ingredients. Therefore, it is very important to focus on the hygiene of these plants so as to make sure they are safe for consumption. This work aimed to monitor the common heavy and radioactive elements in some commonly used herbs: anise, chamomile, clover, cumin, coriander, fennel, roselle, rosemary, sage, and thyme. A total of 12 elements were measured including 2 radionuclides, Al, As, Cd, Hg, Co, Cr, Ni, Pb, Sr, Th, U, and V. Heavy metals are ecologically and biologically important, and may be involved in some health disorder symptoms within the human body. Samples were digested with a microwave digester and measurements were completed with ICP-MS/MS in Helium mode to increase sensitivity, lower the background, and avoid interferences. Method validation and verification were performed through the spiking process at 2.0 µg/kg level, and then RSD, LOD, and LOQ were calculated. Recoveries ranged from 93-103% for all elements and RSD% from 2.8-9.6%. Hg and Th were not detected in all samples, while U was detected in some sample of anise, rosemary, sage, and thyme, and ranged from 0.018-0.048 mg/kg. As was detected in anise, fennel, roselle, and rosemary, and ranged from 0.0.031-5.88 mg/kg. Al, Cd, Co, Cr, Ni, Pb, Sr, and V were detected in most samples of all herbs, and ranged from 3.88-17.80, 0.122-0.654, 0.019-0.851, 0.344-2.91, 1.872-5.82, 0.120-12.56, 0.128-0.844, and 0.083-0.912 mg/kg, respectively.",Journal of AOAC International,"['D006801', 'D008628', 'D019216', 'D010946', 'D011868', 'D053719']","['Humans', 'Mercury', 'Metals, Heavy', 'Plants, Medicinal', 'Radioisotopes', 'Tandem Mass Spectrometry']",Determination of Some Common Heavy Metals and Radionuclides in Some Medicinal Herbs Using ICP-MS/MS.,"[None, None, None, None, None, None]","[None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/33241389,2021
33159585,"Essential oils (EOs) have attracted increased interest for different applications such as food preservatives, feed additives and ingredients in cosmetics. Due to their reported variable composition of components, they might be acutely toxic to humans and animals in small amounts. Despite the necessity, rigorous toxicity testing in terms of safety evaluation has not been reported so far, especially using alternatives to animal models. Here, we provide a strategy by use of alternative in vitro (cell cultures) and in vivo (Caenorhabditis elegans, hen's egg test) approaches for detailed investigation of the impact of commonly used rosemary, citrus and eucalyptus essential oil on acute, developmental and reproductive toxicity as well as on mucous membrane irritation. In general, all EOs under study exhibited a comparable impact on measured parameters, with a slightly increased toxic potential of rosemary oil. In vitro cell culture results indicated a concentration-dependent decrease of cell viability for all EOs, with mean IC",Archives of toxicology,"['D000818', 'D018938', 'D017173', 'D002460', 'D002470', 'D002642', 'D047108', 'D008401', 'D005786', 'D006367', 'D006801', 'D007928', 'D009822', 'D012098', 'D018675', 'D015854']","['Animals', 'Caco-2 Cells', 'Caenorhabditis elegans', 'Cell Line', 'Cell Survival', 'Chick Embryo', 'Embryonic Development', 'Gas Chromatography-Mass Spectrometry', 'Gene Expression Regulation', 'HeLa Cells', 'Humans', 'Lethal Dose 50', 'Oils, Volatile', 'Reproduction', 'Toxicity Tests', 'Up-Regulation']","Acute, reproductive, and developmental toxicity of essential oils assessed with alternative in vitro and in vivo systems.","[None, None, 'Q000187', None, 'Q000187', 'Q000187', 'Q000187', None, 'Q000187', None, None, None, 'Q000633', 'Q000187', 'Q000379', None]","[None, None, 'drug effects', None, 'drug effects', 'drug effects', 'drug effects', None, 'drug effects', None, None, None, 'toxicity', 'drug effects', 'methods', None]",https://www.ncbi.nlm.nih.gov/pubmed/33159585,2021
31923867,"Element contents in different types of spices and aromatic herbs collected from Italy and Tunisia were evaluated. The aim was to evaluate: the possible differences and/or similarities among the analyzed samples; if it is possible related the samples to their geographical origins; the nutritional quality and the potential health risks. Potassium, Ca, Mg and Ni were low in laurel and rosemary; mint and thyme showed the highest Na and the lowest Se contents; arsenic and Cd levels were found highest in verbena which had also the lowest Hg content; lastly, black pepper had the highest Mn and the lowest Pb contents. Instead discrimination between Italian and Tunisian samples for each spices and aromatic herbs under analysis was achieved by PCA. Essential elements intake through samples was small. Levels of Pb in some samples exceed the maximum allowable level, but any safety risk for consumers is excluded.",Food chemistry,"['D013058', 'D015999', 'D025341', 'D027542', 'D012802', 'D017365', 'D046930', 'D014131', 'D014416', 'D032412']","['Mass Spectrometry', 'Multivariate Analysis', 'Principal Component Analysis', 'Rosmarinus', 'Sicily', 'Spices', 'Thymus Plant', 'Trace Elements', 'Tunisia', 'Verbena']","Major, minor and trace element concentrations in spices and aromatic herbs from Sicily (Italy) and Mahdia (Tunisia) by ICP-MS and multivariate analysis.","[None, None, None, 'Q000737', None, 'Q000032', 'Q000737', 'Q000032', None, 'Q000737']","[None, None, None, 'chemistry', None, 'analysis', 'chemistry', 'analysis', None, 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/31923867,2020
31768593,"Honey is one of the food commodities most frequently affected by fraud. Although addition of extraneous sugars is the most common type of fraud, analytical methods are also needed to detect origin masking and misdescription of botanical variety. In this work, multivariate analysis of the content of certain macro- and trace elements, determined by energy-dispersive X-ray fluorescence (ED-XRF) without any type of sample treatment, were used to classify honeys according to botanical variety and geographical origin. Principal component analysis (PCA) and partial least squares-discriminant analysis (PLS-DA) were used to create classification models for nine different botanical varieties-orange, robinia, lavender, rosemary, thyme, lime, chestnut, eucalyptus and manuka-and seven different geographical origins-Italy, Romania, Spain, Portugal, France, Hungary and New Zealand. Although characterised by 100% sensitivity, PCA models lacked specificity. The PLS-DA models constructed for specific combinations of botanical variety-country (BV-C) allowed the successful classification of honey samples, which was verified by external validation samples. Graphical abstract.",Analytical and bioanalytical chemistry,"['D016002', 'D005060', 'D005843', 'D006722', 'D057230', 'D008956', 'D015999', 'D015203', 'D013052']","['Discriminant Analysis', 'Europe', 'Geography', 'Honey', 'Limit of Detection', 'Models, Chemical', 'Multivariate Analysis', 'Reproducibility of Results', 'Spectrometry, X-Ray Emission']",Use of energy-dispersive X-ray fluorescence combined with chemometric modelling to classify honey according to botanical variety and geographical origin.,"[None, None, None, 'Q000032', None, None, None, None, 'Q000379']","[None, None, None, 'analysis', None, None, None, None, 'methods']",https://www.ncbi.nlm.nih.gov/pubmed/31768593,2020
31734008,"An eco-friendly method was used to synthesize carbon dots (CDs) from Rosemary leaves, as a carbon source. The as-synthesized CDs was applied as a fluorophore in an optical sensor after modification with molecularly imprinted polymers (MIPs) for determination of thiabendazole (TBZ). For this purpose, a silica shell using tetraethoxysilane (TEOS), as a Si source, was stabilized on the surface of CDs via reverse microemulsion technique. Following, MIPs were synthesized in the presence of TBZ as a template, using 3-aminopropyl triethoxysilane and TEOS as a functional monomer and a crosslinker, respectively. After optimization of the experimental parameters, a linear dynamic range of 0.03-1.73 μg/mL TBZ with a detection limit as 8 ng/mL were obtained for the suggested method. Finally, the proposed sensor was successfully applied for the determination of TBZ in apple, orange, and tomato juices. This sensor is a simple, rapid, selective, and non-expensive method for TBZ measurement.",Food chemistry,"['D002244', 'D005456', 'D005470', 'D005504', 'D005506', 'D000067030', 'D055772', 'D057230', 'D054802', 'D011108', 'D045663', 'D012821', 'D012822', 'D013050', 'D013827']","['Carbon', 'Fluorescent Dyes', 'Fluorometry', 'Food Analysis', 'Food Contamination', 'Fruit and Vegetable Juices', 'Green Chemistry Technology', 'Limit of Detection', 'Molecular Imprinting', 'Polymers', 'Quantum Dots', 'Silanes', 'Silicon Dioxide', 'Spectrometry, Fluorescence', 'Thiabendazole']","Green synthesized carbon dots embedded in silica molecularly imprinted polymers, characterization and application as a rapid and selective fluorimetric sensor for determination of thiabendazole in juices.","['Q000737', 'Q000737', 'Q000295', 'Q000295', 'Q000032', 'Q000032', None, None, 'Q000379', 'Q000138', 'Q000737', 'Q000737', 'Q000737', 'Q000379', 'Q000032']","['chemistry', 'chemistry', 'instrumentation', 'instrumentation', 'analysis', 'analysis', None, None, 'methods', 'chemical synthesis', 'chemistry', 'chemistry', 'chemistry', 'methods', 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/31734008,2020
31374975,"The increased global market trend for food packaging is imposing new improved methods for the extension of shelf-life and quality of food products. Active packaging, which is based on the incorporation of additives into packaging materials, is becoming significant for this purpose. In this work, nanostructured low-density polyethylene (LDPE) was combined with chitosan (CS) to aim for a food packaging development with an increased oxygen permeability barrier and higher antimicrobial activity. Furthermore, essential oil extracts as rosemary (RO) and Melissa (MO) were added to this packaging matrix in order to improve its antioxidant properties and vanish food odor problems. The novel nanostructured active packaging film was tested using laboratory instrumental methods, such as thermogravimetry (TG), Fourier-transform infrared (FTIR) spectrometry, the X-ray diffraction (XRD) method, a dilatometer for tensile properties (DMA), and an oxygen permeation analyzer (OPA). Moreover, laboratorian tests according to ASTM standards were carried out for the estimation of water sorption, water vapor permeability, overall migration, and, finally, the antioxidant properties of such films. The experimental results have indicated that the final material exhibits advanced properties. More specifically, chitosan addition was observed to lead to an enhanced oxygen and water-vapor permeability barrier while the extracted essential oil addition led to enhanced tensile strength and antioxidant properties.","Nanomaterials (Basel, Switzerland)",[],[],Novel LDPE/Chitosan Rosemary and Melissa Extract Nanostructured Active Packaging Films.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/31374975,2020
