PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
35173144,"Celiac disease (CeD) is an autoimmune disorder induced by consuming gluten proteins from wheat, barley, and rye. Glutens resist gastrointestinal proteolysis, resulting in peptides that elicit inflammation in patients with CeD. Despite well-established connections between glutens and CeD, chemically defined, bioavailable peptides produced from dietary proteins have never been identified from humans in an unbiased manner. This is largely attributable to technical challenges, impeding our knowledge of potentially diverse peptide species that encounter the immune system. Here, we develop a liquid chromatographic-mass spectrometric workflow for untargeted sequence analysis of the urinary peptidome. We detect over 600 distinct dietary peptides, of which ~35% have a CeD-relevant T cell epitope and ~5% are known to stimulate innate immune responses. Remarkably, gluten peptides from patients with CeD qualitatively and quantitatively differ from controls. Our results provide a new foundation for understanding gluten immunogenicity, improving CeD management, and characterizing the dietary and urinary peptidomes.",Nature communications,"['D000595', 'D002446', 'D002853', 'D018984', 'D005983', 'D001467', 'D006801', 'D013058', 'D020543', 'D012434', 'D013601', 'D014908', 'D014556']","['Amino Acid Sequence', 'Celiac Disease', 'Chromatography, Liquid', 'Epitopes, T-Lymphocyte', 'Glutens', 'Hordeum', 'Humans', 'Mass Spectrometry', 'Proteome', 'Secale', 'T-Lymphocytes', 'Triticum', 'Urine']",An efficient urine peptidomics workflow identifies chemically defined dietary gluten peptides from patients with celiac disease.,"[None, 'Q000276', None, 'Q000276', 'Q000032', 'Q000737', None, None, 'Q000032', 'Q000737', 'Q000276', 'Q000737', 'Q000737']","[None, 'immunology', None, 'immunology', 'analysis', 'chemistry', None, None, 'analysis', 'chemistry', 'immunology', 'chemistry', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/35173144,2022
34848764,"Prolamins, alcohol soluble storage proteins of the Triticeae tribe of Gramineae family, are known as gliadin, secalin and hordein in wheat, rye and barley respectively. Prolamins were extracted from fifteen cultivars using DuPont protocol to study their physiochemical, morphological and structural characteristics. SDS-PAGE of prolamins showed well resolved low molecular weight proteins with significant amount of albumin and globulin as cross-contaminant. The β-sheet (32.72-37.41%) and β-turn (30.36-37.91%) were found higher in gliadins, while α-helix (20.32-28.95%) and random coil (9.05-10.28%) in hordeins. The high colloidal stability as depicted by zeta-potential was observed in gliadins (23.5-27.0 mV) followed secalins (11.2-16.6 mV) and hordeins (4.1-7.8 mV). Surface morphology by SEM illustrated the globular particle arrangement in gliadins, sheet like arrangement in secalins and stacked flaky particle arrangement in hordeins fraction. TEM studies showed that secalin and hordein fractions were globular in shape while gliadins in addition to globular structure also possessed rod-shaped particle arrangement. XRD pattern of prolamin fractions showed the ordered crystalline domain at 2θ values of 44.1°, 37.8° and 10.4°. The extracted prolamins fractions showed amorphous as well as crystalline structures as revealed by XRD and TEM analysis. Space saving hexagonal molecular symmetry was also observed in TEM molecular arrangement of prolamins which has profound application in development of plant-based polymers and fibres.",Scientific reports,"['D000418', 'D002623', 'D002851', 'D005903', 'D005916', 'D005983', 'D001467', 'D008027', 'D046529', 'D010316', 'D010455', 'D010940', 'D011108', 'D011208', 'D055315', 'D012542', 'D012434', 'D017550', 'D014908', 'D014961']","['Albumins', 'Chemistry Techniques, Analytical', 'Chromatography, High Pressure Liquid', 'Gliadin', 'Globulins', 'Glutens', 'Hordeum', 'Light', 'Microscopy, Electron, Transmission', 'Particle Size', 'Peptides', 'Plant Proteins', 'Polymers', 'Powders', 'Prolamins', 'Scattering, Radiation', 'Secale', 'Spectroscopy, Fourier Transform Infrared', 'Triticum', 'X-Ray Diffraction']","Characterization of gliadin, secalin and hordein fractions using analytical techniques.","['Q000737', None, None, 'Q000032', 'Q000737', 'Q000032', 'Q000378', None, None, None, 'Q000737', 'Q000737', 'Q000737', None, 'Q000737', None, 'Q000378', None, 'Q000378', None]","['chemistry', None, None, 'analysis', 'chemistry', 'analysis', 'metabolism', None, None, None, 'chemistry', 'chemistry', 'chemistry', None, 'chemistry', None, 'metabolism', None, 'metabolism', None]",https://www.ncbi.nlm.nih.gov/pubmed/34848764,2022
34822567,"Cereals represent a widely consumed food commodity that might be contaminated by mycotoxins, resulting not only in potential consumer health risks upon dietary exposure but also significant financial losses due to contaminated batch disposal. Thus, continuous improvement of the performance characteristics of methods to enable an effective monitoring of such contaminants in food supply is highly needed. In this study, an ultra-high-performance liquid chromatography coupled to a hybrid quadrupole orbitrap mass analyzer (UHPLC-q-Orbitrap MS) method was optimized and validated in wheat, maize and rye flour matrices. Nineteen analytes were monitored, including both regulated mycotoxins, e.g., ochratoxin A (OTA) or deoxynivalenol (DON), and non-regulated mycotoxins, such as ergot alkaloids (EAs), which are analytes that are expected to be regulated soon in the EU. Low limits of quantification (LOQ) at the part per trillion level were achieved as well as wide linear ranges (four orders of magnitude) and recovery rates within the 68-104% range. Overall, the developed method attained fit-for-purpose results and it highlights the applicability of high-resolution mass spectrometry (HRMS) detection in mycotoxin food analysis.",Toxins,"['D002851', 'D002523', 'D005433', 'D013058', 'D009183', 'D012434', 'D014908', 'D003313']","['Chromatography, High Pressure Liquid', 'Edible Grain', 'Flour', 'Mass Spectrometry', 'Mycotoxins', 'Secale', 'Triticum', 'Zea mays']",Regulated and Non-Regulated Mycotoxin Detection in Cereal Matrices Using an Ultra-High-Performance Liquid Chromatography High-Resolution Mass Spectrometry (UHPLC-HRMS) Method.,"['Q000295', 'Q000737', 'Q000032', 'Q000295', 'Q000032', 'Q000737', 'Q000737', 'Q000737']","['instrumentation', 'chemistry', 'analysis', 'instrumentation', 'analysis', 'chemistry', 'chemistry', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/34822567,2022
34449959,"The development of crop varieties that are resistant to lodging is a top priority for breeding programmes. Herein, we characterize the rye mutant ´Stabilstroh' ('stable straw') possessing an exceptional combination of high lodging resistance, tall posture and high biomass production. Nuclear magnetic resonance imaging displayed the 3-dimensional assembly of vascular bundles in stem. A higher number of vascular bundles and a higher degree of their incline were the features of lodging-resistant versus lodging-prone lines. Histology and electron microscopy revealed that stems are fortified by a higher proportion of sclerenchyma and thickened cell walls, as well as some epidermal invaginations. Biochemical analysis using Fourier-transform infrared spectroscopy and inductively coupled plasma-optical emission spectrometry further identified elevated levels of lignin, xylan, zinc and silicon as features associated with high lodging resistance. Combined effects of above features caused superior culm stability. A simplistic mathematical model showed how mechanical forces distribute within the stem under stress. Main traits of the lodging-resistant parental line were heritable and could be traced back to the genetic structure of the mutant. Evaluation of lodging-resistant wheat 'Babax' ('Baviacora') versus contrasting, lodging-prone, genotype ´Pastor´ agreed with above findings on rye. Our findings on mechanical stability and extraordinary culm properties may be important for breeders for the improvement of lodging resistance of tall posture cereal crops.",Plant biotechnology journal,"['D002523', 'D008031', 'D000069600', 'D012434', 'D014908']","['Edible Grain', 'Lignin', 'Plant Breeding', 'Secale', 'Triticum']",A mechanistic view on lodging resistance in rye and wheat: a multiscale comparative study.,"['Q000378', 'Q000378', 'Q000379', 'Q000235', 'Q000378']","['metabolism', 'metabolism', 'methods', 'genetics', 'metabolism']",https://www.ncbi.nlm.nih.gov/pubmed/34449959,2022
34416475,"The pure spectra acquisition of plant disease symptoms is essential to improving the reliability of remote sensing methods in crop protection. The reflectance values read from the pure spectra can be used as valuable training data for development of algorithms designed for plant disease detection at leaf and canopy scale. The aim of this paper is to identify and distinguish spectrally the leaf rust symptoms caused by two closely related special forms (f. sp.) of Puccinia recondita f. sp. tritici on wheat and Puccinia recondita f. sp. recondita on rye at leaf scale. Spectral measurements were made with FieldSpec 3 spectrometer in the wavelength range of 350-2500 nm. The spectrometer was connected to a microscope by optical fiber. Raw spectra of uredinia, chlorotic discoloration, green leaves, senescent inoculated leaves and senescent uninoculated leaves of wheat and rye, all of which obtained for this study, were investigated with a view towards making an automized classification of plant species and their phases. The created Random Forest models were tested separately using pure spectra, and from these vegetation indices were derived as predictors. Three vegetation indices, namely CRI, PRI and GNDVI, appeared to be the most robust in terms of distinguishing uredinia from other symptoms on rye and wheat leaves. PRI, EVI, NDVI","Journal of photochemistry and photobiology. B, Biology","['D000465', 'D016002', 'D008129', 'D008853', 'D010935', 'D018515', 'D000084643', 'D012434', 'D013053', 'D014908']","['Algorithms', 'Discriminant Analysis', 'Lolium', 'Microscopy', 'Plant Diseases', 'Plant Leaves', 'Puccinia', 'Secale', 'Spectrophotometry', 'Triticum']",A random forest model for the classification of wheat and rye leaf rust symptoms based on pure spectra at leaf scale.,"[None, None, 'Q000737', None, 'Q000145', 'Q000737', 'Q000502', None, None, 'Q000737']","[None, None, 'chemistry', None, 'classification', 'chemistry', 'physiology', None, None, 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/34416475,2021
33655655,"Alkylresorcinols (5-alkyl-1,3-dihydroxybenzenes) are amphiphilic phenolic lipid compounds that are abundant in cereals with highest contents in rye. Alkylresorcinols are suspected to show a wide range of favourable biological activities. For such and further testing, highly pure alkylresorcinol standards are required. Especially, purities >> 98% were partly difficult to obtain in the past. Here, we aimed to isolate the most abundant (saturated) alkylresorcinols from rye using countercurrent chromatography. To achieve very high purity, alkylresorcinol-containing extract (∼7.14 g) of rye grains (cold extracts with cyclohexane/ethyl acetate (46/54, w/w)) were preparatively transesterified followed by a preparative hydrogenation. Countercurrent chromatography separation of ∼1 g hydrogenated and transesterified rye grain extract using the solvent system n-hexane-ethyl acetate-methanol-water (9:1:9:1, v/v/v/v) yielded 51.8 mg AR17:0, 77.4 mg AR19:0, 57.2 mg AR21:0, 28.8 mg AR23:0 and 11.5 mg AR25:0 with purities >99% in either case. The isolated alkylresorcinol homologues can be used for subsequent bioassays.",Journal of separation science,"['D003377', 'D005504', 'D005506', 'D012118', 'D012434']","['Countercurrent Distribution', 'Food Analysis', 'Food Contamination', 'Resorcinols', 'Secale']",Isolation of saturated alkylresorcinols from rye grains by countercurrent chromatography.,"[None, None, 'Q000032', 'Q000737', 'Q000737']","[None, None, 'analysis', 'chemistry', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/33655655,2021
33609041,"Ergot alkaloids are secondary metabolites produced by fungi in the genus Claviceps. They contaminate a large variety of cereals, such as rye, triticale, wheat and barley. The ingestion of contaminated cereals might cause adverse health effects in humans and animals. In fact, pigs, cattle, sheep, and poultry are involved in sporadic outbreaks and, although there are several studies about occurrence of ergot alkaloids in grain cereals, there are scarce studies focused on compound feed.",Journal of the science of food and agriculture,"['D000821', 'D000818', 'D002851', 'D002523', 'D004876', 'D005060', 'D005506', 'D005658', 'D001467', 'D013552', 'D053719', 'D014908']","['Animal Feed', 'Animals', 'Chromatography, High Pressure Liquid', 'Edible Grain', 'Ergot Alkaloids', 'Europe', 'Food Contamination', 'Fungi', 'Hordeum', 'Swine', 'Tandem Mass Spectrometry', 'Triticum']",Determination of principal ergot alkaloids in swine feeding.,"['Q000032', None, None, 'Q000737', 'Q000032', None, 'Q000032', 'Q000378', 'Q000737', 'Q000378', None, 'Q000737']","['analysis', None, None, 'chemistry', 'analysis', None, 'analysis', 'metabolism', 'chemistry', 'metabolism', None, 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/33609041,2021
33545578,"An analytical approach using high-performance liquid chromatography-tandem mass spectrometry (LC-MS/MS) was developed to simultaneously detect Fagopyrum esculentum Moench (buckwheat) and cereals containing gluten (Triticum species including wheat and spelt, rye, barley, and oats) that were specified in regulations for food allergen labeling on processed foods. Trypsin-digested peptides were purified from different processed food commodities and heptapeptides derived from buckwheat 13S globulin (GFIVQAR, m/z 395.8 [precursor] > 177.0 [product]) and Triticum low molecular weight glutenin (QIPEQSR, m/z 429.3 [precursor] > 616.2 [product]) were specifically detected each species at levels as low as 0.050-0.056 µg/L and 0.028-0.032 µg/L, respectively. Detection of these synthetic peptides was quantitative to over 100 µg/L by reference to the synthetic peptide calibration curves and at recovery rates, 76.6 ± 4.1%-104.8 ± 17.1% and 82.4 ± 2.0%-105.8 ± 5.3%, for GFIVQAR and QIPEQSR, respectively, when 1-1,000 µg of these peptides were spiked into a retort tomato sauce for pasta or dried instant soup. In combination with LC-MS/MS detection methods specific to other cereals containing gluten (rye, barley, and oats), the developed analytical approach was applicable to a wide variety of processed food commodities for food allergen labeling.",Journal of chromatography. A,"['D000485', 'D002851', 'D002523', 'D005504', 'D005512', 'D010455', 'D053719']","['Allergens', 'Chromatography, High Pressure Liquid', 'Edible Grain', 'Food Analysis', 'Food Hypersensitivity', 'Peptides', 'Tandem Mass Spectrometry']",Development of a simple and reliable high-performance liquid chromatography-tandem mass spectrometry approach to simultaneously detect grains specified in food allergen labeling regulation on processed food commodities.,"['Q000032', None, 'Q000737', None, 'Q000175', 'Q000032', 'Q000379']","['analysis', None, 'chemistry', None, 'diagnosis', 'analysis', 'methods']",https://www.ncbi.nlm.nih.gov/pubmed/33545578,2021
33233446,"This four-year study reports the occurrence of ergot alkaloids (EAs) in cereals intended for animal feeding collected in Slovenia. A total of 517 samples of cereals were analysed using liquid chromatography-tandem mass spectrometry for the presence of EAs. The sample set included wheat, rye, triticale, oat, spelt and barley. The study revealed that 17% of the analysed cereal samples were contaminated with at least one ergot alkaloid. EAs have two epimeric forms: -ine and -inine. The incidence rates of the -ine and -inine forms in the analysed samples were 16% and 15%, respectively. The highest contamination rates were observed in rye (54%), oat (50%) and spelt (30%), where the highest mean concentrations of total EAs were also determined (502 µg/kg, 594 µg/kg and 715 µg/kg, respectively). However, the highest concentrations of total EAs were found in wheat and rye (4217 µg/kg and 4114 µg/kg, respectively). The predominant EAs were ergometrine, ergosine and ergocristinine. The occurrence of six or more ergot alkaloids was observed in 49% of the positive samples. A weak correlation (",Toxins,"['D000821', 'D002523', 'D004784', 'D004876', 'D005506', 'D017524']","['Animal Feed', 'Edible Grain', 'Environmental Monitoring', 'Ergot Alkaloids', 'Food Contamination', 'Slovenia']","Ergot and Ergot Alkaloids in Cereal Grains Intended for Animal Feeding Collected in Slovenia: Occurrence, Pattern and Correlations.","['Q000032', 'Q000737', None, 'Q000032', 'Q000032', None]","['analysis', 'chemistry', None, 'analysis', 'analysis', None]",https://www.ncbi.nlm.nih.gov/pubmed/33233446,2021
32854310,"Food allergies are a global food challenge. For correct food labelling, the detection and quantification of allergens are necessary. However, novel product formulations and industrial processes produce new scenarios, which require much more technological developments. For this purpose, OMICS technologies, especially proteomics, seemed to be relevant in this context. This review summarises the current knowledge and studies that used proteomics to study food allergens. In the case of the allergenic proteins, a wide variety of isoforms, post-translational modifications and other structural changes during food processing can increase or decrease the allergenicity. Most of the plant-based food allergens are proteins with biological functions involved in storage, structure, and plant defence. The allergenicity of these proteins could be increased by the presence of heavy metals, air pollution, and pesticides. Targeted proteomics like selected/multiple reaction monitoring (SRM/MRM) have been very useful, especially in the case of gluten from wheat, rye and barley, and allergens from lentil, soy, and fruit. Conventional 1D and 2-DE immunoblotting have been further widely used. For animal-based food allergens, the widely used technologies are 1D and 2-DE immunoblotting followed by MALDI-TOF/TOF, and more recently LC-MS/MS, which is becoming useful to assess egg, fish, or milk allergens. The detection and quantification of allergenic proteins using mass spectrometry-based proteomics are promising and would contribute to greater accuracy, therefore improving consumer information.",Biology,[],[],Current Trends in Proteomic Advances for Food Allergen Analysis.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/32854310,2020
