PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
35163533,"The need to feed 9.9 billion people by 2050 will require the coordination of farming practices and water utilization by nutrient-dense plants and crops. High levels of lead (Pb), a toxic element that can accumulate in plants, can lead to toxicity in humans. With the development of novel treatment technologies, such as atmospheric cold plasma (ACP) and engineered nanoparticles (NPs), the time to germination and levels of heavy metals in food and feed commodities can be reduced. This study provides insight into the impact of plasma-activated water (PAW) on the germination rates and effects of soybean seeds, and the resultant combination effects of zinc oxide uptake in the presence of lead. Soybean seedlings were watered with PAW (treated for 3, 5, and 7 min at 30, 50, and 70 kV), and the germination and growth rate were monitored for 10 days. The germinated seedlings were then grown hydroponically in a nutrient solution, and the biomass of each example was measured. The PAW treatment that resulted in the best growth of soybean seeds was then exposed to Pb and zinc-oxide nanoparticles (ZnONPs) to investigate heavy metal uptake in the presence of nanoparticles. After acid digestion, the rate of heavy metal uptake by the soybean plants was evaluated using inductively coupled plasma-mass spectrometry. The PAW seeds grew and germinated more quickly, demonstrating that the plasma therapy had an effect. The rate of heavy metal uptake by the plants was also shown to be 5x lower in the presence of ZnONP.",International journal of molecular sciences,"['D000383', 'D018525', 'D018527', 'D053768', 'D019216', 'D058626', 'D036226', 'D012639', 'D013025', 'D013054', 'D015034']","['Agriculture', 'Germination', 'Hydroponics', 'Metal Nanoparticles', 'Metals, Heavy', 'Plasma Gases', 'Seedlings', 'Seeds', 'Soybeans', 'Spectrophotometry, Atomic', 'Zinc Oxide']",Effect of High-Voltage Atmospheric Cold Plasma Treatment on Germination and Heavy Metal Uptake by Soybeans (,"[None, 'Q000187', None, None, 'Q000032', 'Q000494', 'Q000187', 'Q000737', 'Q000737', None, 'Q000032']","[None, 'drug effects', None, None, 'analysis', 'pharmacology', 'drug effects', 'chemistry', 'chemistry', None, 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/35163533,2022
34465490,"Tempe is an Indonesian fermented food prepared from soybean or other non-soy legumes. Non-soy legumes based tempes have been reported to have a nutritional profile different from that of soybean-based tempe. However, a comprehensive study of the metabolite and sensory profiles of legume tempes has not been conducted. This study investigated the metabolite profile of legumes before and after fermentation using a metabolomic approach and its relation to the sensory profile. Four different legumes, namely red kidney bean, soybean, cowpea bean, and jack bean, and four kinds of tempe prepared from the abovementioned legumes were subjected to gas chromatography-mass spectrometry (GC-MS) analysis. These tempe samples were fermented in two different production places, Japan and Indonesia. In total, 83 metabolites were annotated from all samples. Principal component analysis (PCA) showed that the samples were separated based on their type (legume and tempe) along PC1 with a 36.3% variance, in which sugars and amino acids significantly contributed to the separation. In addition, samples were separated along PC2 with a 17.2% variance based on the different production places. The combination of 75% soybean and 25% red kidney bean (75S:25R) could increase the concentrations of amino acids that were initially low in soybean tempe. The 75S:25R tempe showed no significant differences in taste and texture preference compared to the 100% soybean tempe, based on sensory result. These findings provide evidence that metabolomics could be used to identify the differences between tempes from different legumes.",Journal of bioscience and bioengineering,"['D007887', 'D005285', 'D008401', 'D007214', 'D055432', 'D045730', 'D013025']","['Fabaceae', 'Fermentation', 'Gas Chromatography-Mass Spectrometry', 'Indonesia', 'Metabolomics', 'Soy Foods', 'Soybeans']",Gas chromatography-mass spectrometry-based metabolite profiling and sensory profile of Indonesian fermented food (tempe) from various legumes.,"[None, None, None, None, None, 'Q000032', None]","[None, None, None, None, None, 'analysis', None]",https://www.ncbi.nlm.nih.gov/pubmed/34465490,2021
34152133,"Unintentional missing of shrimp and soybean allergen information on precautionary food allergen labeling often occurs in sauce products. To avoid food allergies, sensitive and time-saving analytical methods are urgently needed. However, the currently reported methods usually employed labeled peptides for isotope internal standard quantitation, and the matrix effect caused by protein extraction or digestion can not be corrected. In this study, a labeled peptide-free standard addition method was developed for simultaneous determination of shrimp and soybean in sauce products using ultrahigh-performance liquid chromatography tandem mass spectrometry (UHPLC-MS/MS). Through the rational selection of stable peptides, satisfying mean recoveries and relative standard deviations of the chosen peptides are achieved. The limit of quantifications of each peptide ranged from 0.25 to 5 μg tropomyosin/g sauce and from 1 to 10 μg Gly m 6/g sauce, respectively. Using the labeled peptide-free UHPLC-MS/MS method, not only ideal experimental results were obtained surpassing those obtained with labeled peptides, but also the reagents were economized and shortening of the sample preparation time was achieved.",Journal of agricultural and food chemistry,"['D000485', 'D002851', 'D010455', 'D013025', 'D053719']","['Allergens', 'Chromatography, High Pressure Liquid', 'Peptides', 'Soybeans', 'Tandem Mass Spectrometry']",Labeled Peptide-Free UHPLC-MS/MS Method Used for Simultaneous Determination of Shrimp and Soybean in Sauce Products.,"[None, None, None, None, None]","[None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34152133,2021
33729245,"Plant-based drinks as a substitute for animal milk consumption are crucial products in the food industry. Soy and rice drinks are the most successful milk substitutes but are low in fiber and protein contents, respectively, whilst being rich in sugars. Generally, an improvement is foreseen; thus, apart from supplement addition, a natural occurring strategy is functionalizing the drinks by beneficial bacteria fermentation. The aim of this work is to develop novel plant-based drinks assessing different mixtures of soy and rice milks fermented with single or multi-strain probiotics (Lactobacillus fermentum, L. plantarum, L. helveticus, Bifidobacterium bifidum, and B. longum). The drinks were characterized to study bacterial performances, by means of culture-dependent and -independent techniques, and their volatilome, by means of solid-phase microextraction-gas chromatography-mass spectrometry (SPME-GC-MS) analysis. Through multivariate analysis, these features were investigated and correlated to define accurate descriptors of the produced functional drinks. The results showed that combined drinks and multi-strain fermentation generated higher-value products. For example, combined drinks in comparison with single ones had a lower amount of toxic 2-acetyl-3,5-dimethylfuran and higher abundances of desirable compounds such as 2-butanone, 3-hydroxy and butanoic acid. Multivariate analysis of volatile metabolites and physiological parameters could offer a novel approach to assess the quality of functional plant-based drinks and result in a decisional tool for industrial applications.",Food & function,"['D001628', 'D005285', 'D005516', 'D006801', 'D041941', 'D012275', 'D019936', 'D013025', 'D055549']","['Beverages', 'Fermentation', 'Food Microbiology', 'Humans', 'Milk Substitutes', 'Oryza', 'Probiotics', 'Soybeans', 'Volatile Organic Compounds']",Volatilome changes during probiotic fermentation of combined soy and rice drinks.,"[None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/33729245,2021
32052448,"Red oncom, a fermented product from solid waste of soybean curd process, and black oncom, a similar fermented product but made from defatted peanut cake, have been known to have umami taste. Umami fractions of red oncom and black oncom that are responsible for umami taste have not been investigated yet. The objective of this research was to characterize umami fractions obtained by ultrafiltration and chromatography of both oncoms. The first step, water-soluble extracts of oncoms were ultrafiltered using a membrane with cutoff 3,000 Da and followed by gel filtration chromatography (Sephadex G-25) to obtain umami fractions. Ultrafiltration fractions of red oncom (molecular weight [MW] less than 3,000 Da) and black oncom (MW more than 3,000 Da) had an intense umami taste. The further fractionation by gel filtration chromatography linked to taste dilution analysis yielded umami fractions. Chemical characterization revealed that free glutamic acid, free phenylalanine, and peptides containing their residual amino acids were present in the fractions. PRACTICAL APPLICATION: Umami fractions of red and black oncoms can be used as a source of umami compounds for food industries and food services. The information from this paper can be used by other researchers who will explore umami peptides.",Journal of food science,"['D000596', 'D010367', 'D005591', 'D002850', 'D000074421', 'D005421', 'D006801', 'D007214', 'D008970', 'D010455', 'D013025', 'D013649']","['Amino Acids', 'Arachis', 'Chemical Fractionation', 'Chromatography, Gel', 'Fermented Foods', 'Flavoring Agents', 'Humans', 'Indonesia', 'Molecular Weight', 'Peptides', 'Soybeans', 'Taste']",Umami fractions obtained from water-soluble extracts of red oncom and black oncom-Indonesian fermented soybean and peanut products.,"['Q000032', 'Q000737', None, None, 'Q000032', 'Q000737', None, None, None, 'Q000737', 'Q000737', None]","['analysis', 'chemistry', None, None, 'analysis', 'chemistry', None, None, None, 'chemistry', 'chemistry', None]",https://www.ncbi.nlm.nih.gov/pubmed/32052448,2020
31940983,"Food plants contain hundreds of bioactive phytochemicals arising from different secondary metabolic pathways. Among these, the metabolic route of the amino acid Tryptophan yields a large number of plant natural products with chemically and pharmacologically diverse properties. We propose the identifier ""indolome"" to collect all metabolites in the Tryptophan pathway. In addition, Tryptophan-rich plant sources can be used as substrates for the fermentation by yeast strains to produce pharmacologically active metabolites, such as Melatonin. To pursue this technological development, we have developed a UHPLC-MS/MS method to monitor 14 Tryptophan, Tryptamine, amino-benzoic, and pyridine metabolites. In addition, different extraction procedures to improve the recovery of Tryptophan and its derivatives from the vegetal matrix were tested. We investigated soybeans, pumpkin seeds, sesame seeds, and spirulina because of their botanical diversity and documented healthy effects. Four different extractions with different solvents and temperatures were tested, and water extraction at room temperature was chosen as the most suitable procedure to extract the whole Tryptophan metabolites pattern (called by us ""indolome"") in terms of ease, high efficiency, short time, low cost, and sustainability. In all plant matrices, Tryptophan was the most abundant indole compound, while the pattern of its metabolites was different in the diverse plants extracts. Overall, 5-OH Tryptamine and Kynurenine were the most abundant compounds, despite being 100-1000-fold lower than Tryptophan. Melatonin was undetected in all extracts, but sesame showed the presence of a Melatonin isomer. The results of this study highlight the variability in the occurrence of indole compounds among diverse food plants. The knowledge of Tryptophan metabolism in plants represents a relevant issue for human health and nutrition.","Molecules (Basel, Switzerland)","['D002853', 'D028464', 'D005504', 'D013058', 'D012639', 'D031685', 'D013025', 'D014364']","['Chromatography, Liquid', 'Cucurbita', 'Food Analysis', 'Mass Spectrometry', 'Seeds', 'Sesamum', 'Soybeans', 'Tryptophan']",LC-MS/MS-Based Profiling of Tryptophan-Related Metabolites in Healthy Plant Foods.,"[None, 'Q000737', None, None, 'Q000737', 'Q000737', 'Q000737', 'Q000032']","[None, 'chemistry', None, None, 'chemistry', 'chemistry', 'chemistry', 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/31940983,2020
31902034,"Soybeans, as legumes, belong among food items that contribute most to the dietary intake of the heavy metal cadmium (Cd). The consumption of soy-based foods may contribute significantly to Cd intake in vegetarians as probably the most frequent consumers of these foods. In this research, the weekly dietary intake of Cd from soy-based foods was investigated in 119 participants (including vegetarians, vegans, and non-vegetarians) in the Czech Republic by means of a semi-quantitative food frequency questionnaire (SFFQ) with personal assistance and the measurement of body weight. Cd content in soy-based foods available on the market was determined by means of atomic absorption spectrometry after microwave digestion. Tofu, as the most frequently consumed food item in the vegetarian/vegan group, contributed most to the total dietary Cd intake. It contained 7.6 ± 0.1 μg Cd/kg, while the highest Cd content was observed in tempeh (18.1 ± 0.4 μg/kg). The highest mean dietary Cd intake per week from soy-based foods was 0.4 μg/kg b.w. and was found in the vegan group. The consumption of soy-based foods was the lowest in the non-vegetarian group as was the dietary intake of Cd, which was 0.04 μg/kg b.w. per week.",Environmental monitoring and assessment,"['D001835', 'D002104', 'D018153', 'D004032', 'D000074341', 'D004784', 'D007887', 'D005260', 'D005506', 'D006801', 'D008297', 'D012989', 'D045730', 'D013025', 'D013054', 'D014675', 'D000066988']","['Body Weight', 'Cadmium', 'Czech Republic', 'Diet', 'Dietary Exposure', 'Environmental Monitoring', 'Fabaceae', 'Female', 'Food Contamination', 'Humans', 'Male', 'Soil Pollutants', 'Soy Foods', 'Soybeans', 'Spectrophotometry, Atomic', 'Vegetables', 'Vegetarians']",Estimation of cadmium load from soybeans and soy-based foods for vegetarians.,"[None, 'Q000032', None, None, 'Q000706', None, None, None, 'Q000706', None, None, 'Q000032', 'Q000032', 'Q000737', None, None, None]","[None, 'analysis', None, None, 'statistics & numerical data', None, None, None, 'statistics & numerical data', None, None, 'analysis', 'analysis', 'chemistry', None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/31902034,2020
31614794,"Doenjang, a Korean fermented soybean paste, is vulnerable to contamination by mycotoxins because it is directly exposed to environmental microbiota during fermentation. A method that simultaneously determines 20 mycotoxins in doenjang, including aflatoxins (AFs), ochratoxin A (OTA), zearalenone (ZEN), and fumonisins (FBs) with an immunoaffinity column cleanup was optimized and validated in doenjang using LC-MS/MS. The method showed good performance in the analysis of 20 mycotoxins in doenjang with good linearity (",Toxins,"['D002846', 'D002851', 'D005506', 'D009183', 'D056910', 'D013025', 'D053719']","['Chromatography, Affinity', 'Chromatography, High Pressure Liquid', 'Food Contamination', 'Mycotoxins', 'Republic of Korea', 'Soybeans', 'Tandem Mass Spectrometry']",Simultaneous Determination of Twenty Mycotoxins in the Korean Soybean Paste Doenjang by LC-MS/MS with Immunoaffinity Cleanup.,"[None, None, 'Q000032', 'Q000032', None, 'Q000737', None]","[None, None, 'analysis', 'analysis', None, 'chemistry', None]",https://www.ncbi.nlm.nih.gov/pubmed/31614794,2020
31353597,"A reliable and efficient method was firstly established for the simultaneous determination of saflufenacil and its metabolites (M800H02, M800H11 and M800H35) in cereals (soybean and corn) and fruits (apple, grape and orange), based on a triple quadrupole liquid chromatography mass spectrometer. The four target compounds were extracted with acetonitrile and purified by Florisil or Florisil with octadecylsilane from the cereals and fruits. Determination of the targets was achieved within 3.5 min by using Shim-pack GIST C18 column connected to an electrospray ionization source (ESI",Journal of food biochemistry,"['D002851', 'D005506', 'D005638', 'D006540', 'D057230', 'D011744', 'D013025', 'D013449', 'D053719', 'D003313']","['Chromatography, High Pressure Liquid', 'Food Contamination', 'Fruit', 'Herbicides', 'Limit of Detection', 'Pyrimidinones', 'Soybeans', 'Sulfonamides', 'Tandem Mass Spectrometry', 'Zea mays']",Simultaneous determination of saflufenacil and three metabolites in five agriculture products using liquid chromatography-Tandem mass spectrometry.,"['Q000379', 'Q000032', 'Q000737', 'Q000737', None, 'Q000737', 'Q000737', 'Q000737', 'Q000379', 'Q000737']","['methods', 'analysis', 'chemistry', 'chemistry', None, 'chemistry', 'chemistry', 'chemistry', 'methods', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/31353597,2020
30940287,"Food allergy is a major concern for public health and food industries. Because of the large numbers of food ingredients to be tested, MS is considered an alternative to existing techniques in terms of high selectivity, sensitivity, and capability to analyze multiple allergens simultaneously. In this study, we developed the method for monitoring significant peptides derived from 13 food allergens (milk, eggs, cod, shrimp, lobster, almonds, brazil nuts, cashew nuts, hazelnuts, walnuts, peanuts, wheat, and soybeans) and evaluated it in thermally processed foods (bread, cookie, fried fish, and frozen pasta). To select significant peptides to monitor, we used a bioinformatics-based approach and experimental confirmatory analysis. It was demonstrated that the developed method could detect target food ingredients from thermally processed foods successfully.",Journal of AOAC International,"['D000485', 'D000595', 'D000818', 'D001939', 'D002853', 'D004531', 'D048388', 'D019684', 'D008892', 'D008121', 'D033561', 'D010455', 'D010940', 'D012758', 'D013025', 'D053719', 'D014908']","['Allergens', 'Amino Acid Sequence', 'Animals', 'Bread', 'Chromatography, Liquid', 'Eggs', 'Gadiformes', 'Magnoliopsida', 'Milk', 'Nephropidae', 'Penaeidae', 'Peptides', 'Plant Proteins', 'Shellfish', 'Soybeans', 'Tandem Mass Spectrometry', 'Triticum']",Simultaneous Detection of 13 Allergens in Thermally Processed Food Using Targeted LC-MS/MS Approach.,"['Q000032', None, None, 'Q000032', 'Q000379', None, None, None, None, None, None, 'Q000032', 'Q000032', 'Q000032', None, 'Q000379', None]","['analysis', None, None, 'analysis', 'methods', None, None, None, None, None, None, 'analysis', 'analysis', 'analysis', None, 'methods', None]",https://www.ncbi.nlm.nih.gov/pubmed/30940287,2020
