PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
34124115,"Regional differences were found in breast milk composition. This study intended to profile the composition of fatty acid (FA) and triacylglycerol (TAG) in Chinese breast milk and to explore its association with maternal diet. Breast milk samples and data of 52 lactating women at 60-90 days postpartum were collected. The FA composition was measured using gas chromatography-flame ionization detection (GC-FID), and the TAG profile was detected by an ultra-performance liquid chromatography system, coupled with accurate-mass quadrupole time-of-flight mass spectrometer. A semi-quantitative food intake frequency questionnaire and a one-time 24-h dietary recall were used to evaluate the previous month's and the short-term dietary intake, including dietary patterns, food groups, and nutrients. Oleic-palmitic-linoleic (OPL) is the most predominant TAG within the Chinese human milk, followed by oleic-palmitic-oleic (OPO), with an average OPL-to-OPO ratio of 1.35. Linoleic acid (LA) and oleic acid (OA) accounted for 23.9 and 32.0% of the total FAs, respectively. Among the food groups consumed during the preceding month, LA content was positively associated with the consumption of soybeans and soybean products (",Frontiers in nutrition,[],[],Chinese Breast Milk Fat Composition and Its Associated Dietary Factors: A Pilot Study on Lactating Mothers in Beijing.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/34124115,2021
29146360,"This work aimed at investigating the behaviour of Trolox, vitamin E analogue, in presence of macromolecule-bound antioxidants in aqueous radical medium. Three main groups of macromolecule-bound antioxidants were assayed: dietary fiber (DF), protein and lipid-bound antioxidants, represented by whole wheat, soybean and olive oil products, respectively. Experimental studies were carried out in aqueous ABTS (2,2'-azinobis(3-ethylbenzothiazoline-6-sulfonic acid)) radical medium. Trolox and macromolecule-bound antioxidants were added to radical separately and together in different concentrations. Antioxidant capacities were determined using QUENCHER procedure. pH of radical media was altered for DF and protein-bound antioxidant studies to examine its effect. Chemometric tools were used for experimental design and multivariate data analysis. Results revealed antagonistic interactions for Trolox with all macromolecule-bound antioxidants. The reason behind this antagonism was investigated through oxidation reactions of Trolox via mass spectrometry analysis. Consequently, a proof was obtained for inhibitory effect of bound-antioxidants on auto-regeneration reactions of Trolox.",Food chemistry,"['D000975', 'D052160', 'D002839', 'D000069463', 'D010084', 'D010940', 'D013025', 'D013451', 'D014908', 'D014810']","['Antioxidants', 'Benzothiazoles', 'Chromans', 'Olive Oil', 'Oxidation-Reduction', 'Plant Proteins', 'Soybeans', 'Sulfonic Acids', 'Triticum', 'Vitamin E']",Behaviour of Trolox with macromolecule-bound antioxidants in aqueous medium: Inhibition of auto-regeneration mechanism.,"['Q000737', 'Q000737', 'Q000737', 'Q000737', None, 'Q000737', 'Q000737', 'Q000737', 'Q000737', 'Q000031']","['chemistry', 'chemistry', 'chemistry', 'chemistry', None, 'chemistry', 'chemistry', 'chemistry', 'chemistry', 'analogs & derivatives']",https://www.ncbi.nlm.nih.gov/pubmed/29146360,2018
26149112,"The probe electrospray ionization (PESI) is an ESI-based ionization technique that generates electrospray from the tip of a solid metal needle. In the present work, we describe the PESI mass spectra obtained by in situ measurement of soybeans and several nuts (peanuts, walnuts, cashew nuts, macadamia nuts and almonds) using different solid needles as sampling probes. It was found that PESI-MS is a valuable approach for in situ lipid analysis of these seeds. The phospholipid and triacylglycerol PESI spectra of different nuts and soybean were compared by principal component analysis (PCA). PCA shows significant differences among the data of each family of seeds. Methanolic extracts of nuts and soybean were exposed to air and sunlight for several days. PESI mass spectra were recorded before and after the treatment. Along the aging of the oil (rancidification), the formation of oxidated species with variable number of hydroperoxide groups could be observed in the PESI spectra. The relative intensity of oxidated triacylglycerols signals increased with days of exposition. Monitoring sensitivity of PESI-MS was high. This method provides a fast, simple and sensitive technique for the analysis (detection and characterization) of lipids in seed tissue and degree of oxidation of the oil samples.",Journal of mass spectrometry : JMS,"['D010367', 'D031324', 'D039106', 'D009754', 'D010743', 'D025341', 'D013025', 'D021241', 'D014280']","['Arachis', 'Juglans', 'Macadamia', 'Nuts', 'Phospholipids', 'Principal Component Analysis', 'Soybeans', 'Spectrometry, Mass, Electrospray Ionization', 'Triglycerides']",In situ analysis of soybeans and nuts by probe electrospray ionization mass spectrometry.,"['Q000737', 'Q000737', 'Q000737', 'Q000737', 'Q000032', None, 'Q000737', 'Q000295', 'Q000032']","['chemistry', 'chemistry', 'chemistry', 'chemistry', 'analysis', None, 'chemistry', 'instrumentation', 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/26149112,2016
25624257,"To ensure authenticity of vegetable oils, isoflavones (genistein, genistin, daidzein and daidzin) and resveratrols (cis-resveratrol and trans-resveratrol) were selected as the putative markers for adulteration of soybean and peanut oils. Firstly, mixed mode solid-phase extraction coupled with liquid chromatography tandem mass spectrometry (mixed-mode SPE LC-MS/MS) method was developed to analyze isoflavones and resveratrols in vegetable oils. The concentration of marker compounds in vegetable oils were 0.08-1.47mgkg(-1) for daidzein, ND-78.9μgkg(-1) for daidzin, 0.40-5.89mgkg(-1) for genistein, 1.2-114.9μgkg(-1) for genistin, 3.1-85.0μgkg(-1) for trans-resveratrol and 1.9-51.0μgkg(-1) for cis-resveratrol, which are compatible with the raw materials for oil press. Additionally, the applicability of this method has been successfully tested in thirteen vegetable oils from the market. Mixed-mode SPE LC-MS/MS method can simultaneously detect isoflavones and resveratrols in vegetable oils and assess adulteration and quality of soybean and peanut oils. ",Food chemistry,"['D010367', 'D002851', 'D002853', 'D005506', 'D007529', 'D013058', 'D010938', 'D000077185', 'D052616', 'D013025', 'D013267']","['Arachis', 'Chromatography, High Pressure Liquid', 'Chromatography, Liquid', 'Food Contamination', 'Isoflavones', 'Mass Spectrometry', 'Plant Oils', 'Resveratrol', 'Solid Phase Extraction', 'Soybeans', 'Stilbenes']",Simultaneous determination of isoflavones and resveratrols for adulteration detection of soybean and peanut oils by mixed-mode SPE LC-MS/MS.,"['Q000737', 'Q000379', 'Q000379', None, 'Q000737', 'Q000379', 'Q000737', None, 'Q000379', 'Q000737', 'Q000737']","['chemistry', 'methods', 'methods', None, 'chemistry', 'methods', 'chemistry', None, 'methods', 'chemistry', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/25624257,2015
25463210,"In most cases of mycotoxin detection, quantitation is critical while immunochromatographic strip tests are qualitative in nature. Moreover, the sensitivity of this technique is questioned. In order to overcome these limitations, an ultrasensitive and quantitative immunochromatographic assay (ICA) for rapid and sensitive quantitation of ochratoxin A (OTA) was developed. The assay was based on a competitive format and its sensitivity was improved by using a sensitive and selective OTA monoclonal antibody (OTA-mAb). The visible ICA results were obtained within 15 min, and in addition to visual examination, they were read by the rapid color intensity portable strip reader. The visual and computational detection limits (vLOD and cLOD, respectively) for ochratoxin A were 0.2 and 0.25 ng mL(-1), respectively. These values were lower than those reported by previous studies in a range 5-2500 folds. For validation, contaminated samples including wheat, maize, rice and soybean were assayed by ICA and a standard high performance liquid chromatography (HPLC). The results were in good agreement for both ICA and HPLC methods. The average recoveries of the HPLC were in the range 72-120% while the ICA values were from 76 to 104%, confirming the accuracy and sensitivity of this method.","Journal of chromatography. B, Analytical technologies in the biomedical and life sciences","['D002846', 'D005506', 'D006046', 'D057230', 'D053768', 'D009793', 'D012275', 'D013025', 'D014908', 'D003313']","['Chromatography, Affinity', 'Food Contamination', 'Gold', 'Limit of Detection', 'Metal Nanoparticles', 'Ochratoxins', 'Oryza', 'Soybeans', 'Triticum', 'Zea mays']",Ultrasensitive and quantitative gold nanoparticle-based immunochromatographic assay for detection of ochratoxin A in agro-products.,"['Q000295', 'Q000032', 'Q000737', None, 'Q000737', 'Q000032', 'Q000737', 'Q000737', 'Q000737', 'Q000737']","['instrumentation', 'analysis', 'chemistry', None, 'chemistry', 'analysis', 'chemistry', 'chemistry', 'chemistry', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/25463210,2015
25127643,"Edible oil adulteration is the biggest source of food fraud all over the world. Since characteristic aroma is an important quality criterion for edible oils, we analyzed volatile organic compounds (VOCs) in four edible vegetable oils (soybean, peanut, rapeseed, and sunflower seed oils) by headspace comprehensive two-dimensional gas chromatography time-of-flight mass spectrometry (Headspace-GC×GC-TOFMS) in this study. After qualitative and quantitative analysis of VOCs, we used unsupervised (PCA) and supervised (Random forests) multivariate statistical methods to build a classification model for the four edible oils. The results indicated that the four edible oils had their own characteristic VOCs, which could be used as markers to completely classify these four edible oils into four groups. ",Talanta,"['D010367', 'D029741', 'D016000', 'D005504', 'D008401', 'D015999', 'D010938', 'D025341', 'D015203', 'D013025', 'D000074242', 'D055549']","['Arachis', 'Brassica rapa', 'Cluster Analysis', 'Food Analysis', 'Gas Chromatography-Mass Spectrometry', 'Multivariate Analysis', 'Plant Oils', 'Principal Component Analysis', 'Reproducibility of Results', 'Soybeans', 'Sunflower Oil', 'Volatile Organic Compounds']",Characterization of volatile components in four vegetable oils by headspace two-dimensional comprehensive chromatography time-of-flight mass spectrometry.,"[None, None, None, 'Q000379', 'Q000379', None, 'Q000737', None, None, None, None, 'Q000032']","[None, None, None, 'methods', 'methods', None, 'chemistry', None, None, None, None, 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/25127643,2015
24360437,"The residue levels of chlorpyrifos in soybeans during storage and processing were investigated. Soybeans were treated with chlorpyrifos aqueous solution and placed in a sealed plastic container. The residue of chlorpyrifos was determined in soybeans at six time points within 0 and 112days during storage and oil processing of the soybeans was conducted. The analysis of the residues of chlorpyrifos was carried out by gas chromatography-mass spectrometry (GC-MS). Results show that the dissipation of chlorpyrifos in soybeans is about 62% during the storage period. Moreover, the carryover of the residues from soybeans into oil is found to be related to the processing methods. Processing factor, which is defined as the ratio of chlorpyrifos residue concentration in oil sample to that in the soybean samples, was 11 and 0.25 after cold and hot pressing, respectively. ",Food chemistry,"['D004390', 'D003296', 'D061353', 'D008401', 'D007306', 'D007700', 'D010573', 'D013025']","['Chlorpyrifos', 'Cooking', 'Food Storage', 'Gas Chromatography-Mass Spectrometry', 'Insecticides', 'Kinetics', 'Pesticide Residues', 'Soybeans']",Effects of storage and processing on residue levels of chlorpyrifos in soybeans.,"['Q000737', 'Q000379', 'Q000379', None, 'Q000737', None, 'Q000737', 'Q000737']","['chemistry', 'methods', 'methods', None, 'chemistry', None, 'chemistry', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/24360437,2014
22969785,"Soybean (Glycinemax) is a hugely valuable soft commodity that generates tens of billions of dollars annually. This value is due in part to the balanced composition of the seed which is roughly 1:2:2 oil, starch, and protein by weight. In turn, the seeds have many uses with various derivatives appearing broadly in processed food products. As is true with many edible seeds, soybeans contain proteins that are anti-nutritional factors and allergens. Soybean, along with milk, eggs, fish, crustacean shellfish, tree nuts, peanuts, and wheat, elicit a majority of food allergy reactions in the United States. Soybean seed composition can be affected by breeding, and environmental conditions (e.g., temperature, moisture, insect/pathogen load, and/or soil nutrient levels). The objective of this study was to evaluate the influence of genotype and environment on allergen and anti-nutritional proteins in soybean. To address genetic and environmental effects, four varieties of non-GM soybeans were grown in six geographically distinct regions of North America (Georgia, Iowa, Kansas, Nebraska, Ontario, and Pennsylvania). Absolute quantification of proteins by mass spectrometry can be achieved with a technique called multiple reaction monitoring (MRM), during which signals from an endogenous protein are compared to those from a synthetic heavy-labeled internal standard. Using MRM, eight allergens were absolutely quantified for each variety in each environment. Statistical analyses show that for most allergens, the effects of environment far outweigh the differences between varieties brought about by breeding.",Frontiers in plant science,[],[],Environmental effects on allergen levels in commercially grown non-genetically modified soybeans: assessing variation across north america.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/22969785,2012
17995672,"Oxidation of corn oil during frying of soy-flour-added dough was studied. Flour dough containing soy flour at 0%, 10%, 20%, and 30% was fried in corn oil at 180 degrees C for 2.5 min, and a total of 60 fryings were performed every 30 min. The oxidation of oil was determined by contents of free fatty acids (FFA), conjugated dienoic acids (CDA), polar compounds, and p-anisidine values (PAV). Tocopherols and phospholipids (PLs) in the oil were determined by HPLC. Tocopherols were present in corn oil at 1000 ppm before frying and increased after the first frying of dough containing soy flour due to tocopherol transfer from soy-flour-added dough to the oil during frying. However, as the oil repeated frying, tocopherol contents decreased and its degradation rate was higher in the oil that fried soy-flour-added dough than in the oil that fried the dough without soy flour. PL was not detected in corn oil before and after frying. As the oil repeated frying, FFA, CDA, and polar compounds contents, and PAV of frying oil increased due to the oil oxidation. The values were higher in the oil which fried soy-flour-added dough than in the oil fried the dough without soy flour, indicating the acceleration of oil oxidation by soy flour added to dough. Increase in the oil oxidation by soy flour added to the dough was highly correlated with fast decomposition of tocopherol in the oil.",Journal of food science,"['D002851', 'D003296', 'D003314', 'D004305', 'D005230', 'D005433', 'D005511', 'D006358', 'D010084', 'D010743', 'D013025', 'D013997', 'D024505']","['Chromatography, High Pressure Liquid', 'Cooking', 'Corn Oil', 'Dose-Response Relationship, Drug', 'Fatty Acids, Nonesterified', 'Flour', 'Food Handling', 'Hot Temperature', 'Oxidation-Reduction', 'Phospholipids', 'Soybeans', 'Time Factors', 'Tocopherols']",Oxidation of corn oil during frying of soy-flour-added flour dough.,"['Q000379', 'Q000379', 'Q000737', None, 'Q000032', 'Q000032', 'Q000379', None, None, 'Q000032', 'Q000737', None, 'Q000032']","['methods', 'methods', 'chemistry', None, 'analysis', 'analysis', 'methods', None, None, 'analysis', 'chemistry', None, 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/17995672,2007
16366690,"The body complex of the soybean seed (BCSS) was isolated from the single cells (27.2%) by a sequential procedure of autoclaving with water, cellulase digestion for the primary cell wall, pectinase digestion for the secondary cell wall, and defatting with hexane washing. Its characteristics were then investigated. The defatted BCSS (DBCSS) consisted of protein (76.5%) and mannose-rich carbohydrates (3.2%). Screening of the food-processing protease for the digestion of DBCSS was carried out, and a kind of alkaline protease was selected. The inner protein of DBCSS was easily extracted with 0.1 M sodium carbonate buffer, pH 10, and the insoluble shell of the body complex (SDBCSS) was left. SDBCSS consisted of hydrophobic amino acid-rich protein. SDBCSS was easily digested by the selected alkaline protease. SDBCSS was dissolved by boiling with sodium dodecyl sulfate-mercaptoethanol, and it was found to consist of a protein of approximately 3 kDa. The high enzymatic digestion including the selected protease for soybean seed and defatted soybean meal was carried out; both were extracted and digested with a yield of >99.5%. The final indigestible residue was found as paired hexagonal and filamentous organs of the soybean cells.",Journal of agricultural and food chemistry,"['D000596', 'D002241', 'D002480', 'D002851', 'D004591', 'D005433', 'D006868', 'D010447', 'D010940', 'D012639', 'D013024', 'D013025']","['Amino Acids', 'Carbohydrates', 'Cellulase', 'Chromatography, High Pressure Liquid', 'Electrophoresis, Polyacrylamide Gel', 'Flour', 'Hydrolysis', 'Peptide Hydrolases', 'Plant Proteins', 'Seeds', 'Soybean Oil', 'Soybeans']",Isolation and enzymatic digestion of body complex of soybean seed.,"['Q000032', 'Q000032', 'Q000737', None, None, 'Q000032', None, 'Q000737', 'Q000032', 'Q000737', 'Q000032', 'Q000737']","['analysis', 'analysis', 'chemistry', None, None, 'analysis', None, 'chemistry', 'analysis', 'chemistry', 'analysis', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/16366690,2006
