PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
35327266,"Kefalograviera is a well-known hard Greek cheese. The aim of this study was to determine how milk produced from ewes fed omega-3-enriched diets could influence the microbiota as well as the chemical composition of Kefalograviera cheese. At the start of the trial, 30 dairy ewes (Lesvos and Chios crossbreed) were selected and fed a conventional diet, based on alfalfa hay, straw and concentrate feed that contained soybean meal for a period of thirty days. Then, for a period of sixty days the same ewes were fed an omega-3-enriched concentrate feed with a lower level of soybean meal that contained 10% flaxseed and 10% lupins. Milk yield was collected individually on Days 30, 60 and 90 and used to produce three different batches of Kefalograviera cheeses, at the same cheese factory, by using a traditional recipe and identical preparation conditions (pasteurization of milk, salt, rennet and culture). Sample analysis was done after six months of Kefalograviera cheese ripening. MALDI-TOF-MS (matrix-assisted laser desorption/ionization time of flight mass spectrometry) identification was performed by contrasting the samples' mass spectra with the corresponding reference database. The correlation between the different Kefalograviera cheeses revealed the predominant species being ","Foods (Basel, Switzerland)",[],[],Impact of an Omega-3-Enriched Sheep Diet on the Microbiota and Chemical Composition of Kefalograviera Cheese.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35327266,2022
35163533,"The need to feed 9.9 billion people by 2050 will require the coordination of farming practices and water utilization by nutrient-dense plants and crops. High levels of lead (Pb), a toxic element that can accumulate in plants, can lead to toxicity in humans. With the development of novel treatment technologies, such as atmospheric cold plasma (ACP) and engineered nanoparticles (NPs), the time to germination and levels of heavy metals in food and feed commodities can be reduced. This study provides insight into the impact of plasma-activated water (PAW) on the germination rates and effects of soybean seeds, and the resultant combination effects of zinc oxide uptake in the presence of lead. Soybean seedlings were watered with PAW (treated for 3, 5, and 7 min at 30, 50, and 70 kV), and the germination and growth rate were monitored for 10 days. The germinated seedlings were then grown hydroponically in a nutrient solution, and the biomass of each example was measured. The PAW treatment that resulted in the best growth of soybean seeds was then exposed to Pb and zinc-oxide nanoparticles (ZnONPs) to investigate heavy metal uptake in the presence of nanoparticles. After acid digestion, the rate of heavy metal uptake by the soybean plants was evaluated using inductively coupled plasma-mass spectrometry. The PAW seeds grew and germinated more quickly, demonstrating that the plasma therapy had an effect. The rate of heavy metal uptake by the plants was also shown to be 5x lower in the presence of ZnONP.",International journal of molecular sciences,"['D000383', 'D018525', 'D018527', 'D053768', 'D019216', 'D058626', 'D036226', 'D012639', 'D013025', 'D013054', 'D015034']","['Agriculture', 'Germination', 'Hydroponics', 'Metal Nanoparticles', 'Metals, Heavy', 'Plasma Gases', 'Seedlings', 'Seeds', 'Soybeans', 'Spectrophotometry, Atomic', 'Zinc Oxide']",Effect of High-Voltage Atmospheric Cold Plasma Treatment on Germination and Heavy Metal Uptake by Soybeans (,"[None, 'Q000187', None, None, 'Q000032', 'Q000494', 'Q000187', 'Q000737', 'Q000737', None, 'Q000032']","[None, 'drug effects', None, None, 'analysis', 'pharmacology', 'drug effects', 'chemistry', 'chemistry', None, 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/35163533,2022
35161972,"As it is high in value, extra virgin olive oil (EVOO) is frequently blended with inferior vegetable oils. This study presents an optical method for determining the adulteration level of EVOO with soybean oil as well as peanut oil using LED-induced fluorescence spectroscopy. Eight LEDs with central wavelengths from ultra-violet (UV) to blue are tested to induce the fluorescence spectra of EVOO, peanut oil, and soybean oil, and the UV LED of 372 nm is selected for further detection. Samples are prepared by mixing olive oil with different volume fractions of peanut or soybean oil, and their fluorescence spectra are collected. Different pre-processing and regression methods are utilized to build the prediction model, and good linearity is obtained between the predicted and actual adulteration concentration. This result, accompanied by the non-destruction and no pre-treatment characteristics, proves that it is feasible to use LED-induced fluorescence spectroscopy as a way to investigate the EVOO adulteration level, and paves the way for building a hand-hold device that can be applied to real market conditions in the future.","Sensors (Basel, Switzerland)","['D010367', 'D005506', 'D000069463', 'D010938', 'D013024', 'D013050']","['Arachis', 'Food Contamination', 'Olive Oil', 'Plant Oils', 'Soybean Oil', 'Spectrometry, Fluorescence']","Quantitative Detection of Extra Virgin Olive Oil Adulteration, as Opposed to Peanut and Soybean Oil, Employing LED-Induced Fluorescence Spectroscopy.","[None, 'Q000032', 'Q000032', 'Q000032', None, None]","[None, 'analysis', 'analysis', 'analysis', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/35161972,2022
34941708,"More still needs to be learned regards the relative contamination of heavy metals and pesticide residues, particularly those found in widely consumed Nigerian food crops like cereals, vegetables, and tubers. In this current study, the heavy metals and pesticide residues detectable in widely consumed Nigerian food crops were respectively quantified using atomic absorption spectroscopy (AAS) and gas chromatography (GC). Specifically, the widely consumed Nigerian food crops included cereals (rice, millet, and maize), legume (soybean), tubers (yam and cassava), as well as leaf (fluted pumpkin, ",Toxins,"['D002849', 'D018556', 'D005506', 'D019216', 'D009549', 'D010573', 'D013054']","['Chromatography, Gas', 'Crops, Agricultural', 'Food Contamination', 'Metals, Heavy', 'Nigeria', 'Pesticide Residues', 'Spectrophotometry, Atomic']",Quantification of Heavy Metals and Pesticide Residues in Widely Consumed Nigerian Food Crops Using Atomic Absorption Spectroscopy (AAS) and Gas Chromatography (GC).,"[None, 'Q000737', 'Q000032', 'Q000032', None, 'Q000032', None]","[None, 'chemistry', 'analysis', 'analysis', None, 'analysis', None]",https://www.ncbi.nlm.nih.gov/pubmed/34941708,2022
34866108,"Oils and lipids are common food components and efficient sources of energy. Both the quantity and the quality of oils and lipids are important with regard to health and disease. Fatty acid ester of hydroxy fatty acid (FAHFA) is a novel lipid class that was discovered as an endogenous lipid; FAHFAs have shown anti-diabetic effects in a mammalian system. We analyzed the overall FAHFA composition in nut oils and other common oils: almond (raw, roasted), walnut, peanut, olive, palm, soybean, and rapeseed oils. We developed a method of liquid chromatography coupled with electrospray ionization triple quadrupole mass spectrometry (LC-ESI/MS/MS) for a comprehensive target analysis of FAHFAs. The analysis revealed wide variation in the FAHFA profiles (15 compounds and 62 peaks). For 7-11 compounds of FAHFA, a total level of 8-29 pmol/mg oil was detected in nuts oils; for 11 compounds, 4.9 pmol/mg oil was detected in olive oil, and for 4-9 compounds, < 2 pmol/mg oil was detected in palm, soy, and rapeseed oils. The major FAHFAs were FAHFA 36:3, FAHFA 36:2, and FAHFA 36:4 in nut oil, FAHFA 36:2, FAHFA 34:1, and FAHFA 36:1 in olive oil, and FAHFA 32:1, FAHFA 34:0, FAHFA 36:0, and FAHFA 36:1 in all of the common oils. The composition of FAHFAs in nut oils is mainly unsaturated fatty acids, whereas those in olive oil are unsaturated fatty acids and saturated fatty acids. The composition of FAHFAs in common oils was mainly saturated fats. This is the first report to demonstrate the quality and quantity of the FAHFAs in the nut oils. Nuts have been described to be a great source of many nutrients and to be beneficial for our health. Our present findings comprise additional evidence that the intake of nuts in daily diets may prevent metabolic and inflammatory-based diseases.",Journal of oleo science,"['D002853', 'D004435', 'D004952', 'D005231', 'D005504', 'D063427', 'D006900', 'D007004', 'D007249', 'D008659', 'D009754', 'D010938', 'D021241', 'D053719']","['Chromatography, Liquid', 'Eating', 'Esters', 'Fatty Acids, Unsaturated', 'Food Analysis', 'Food Quality', 'Hydroxylation', 'Hypoglycemic Agents', 'Inflammation', 'Metabolic Diseases', 'Nuts', 'Plant Oils', 'Spectrometry, Mass, Electrospray Ionization', 'Tandem Mass Spectrometry']",Analysis of Fatty Acid Esters of Hydroxyl Fatty Acid in Nut Oils and Other Plant Oils.,"['Q000379', None, 'Q000032', 'Q000032', None, None, None, None, 'Q000517', 'Q000517', 'Q000737', 'Q000737', 'Q000379', 'Q000379']","['methods', None, 'analysis', 'analysis', None, None, None, None, 'prevention & control', 'prevention & control', 'chemistry', 'chemistry', 'methods', 'methods']",https://www.ncbi.nlm.nih.gov/pubmed/34866108,2022
34520209,"Two simple and low-cost QuEChERS approaches were optimized and validated for multimycotoxin determination in grains by UPLC-MS/MS and applied to assess effectiveness of controlled atmosphere (CA) storage in preventing mycotoxin contamination. Common bean, soybean, and maize samples were stored for 6 months. CA treatments were conducted varying O",Journal of agricultural and food chemistry,"['D001272', 'D002853', 'D005506', 'D009183', 'D053719']","['Atmosphere', 'Chromatography, Liquid', 'Food Contamination', 'Mycotoxins', 'Tandem Mass Spectrometry']",Multimycotoxin Determination in Grains: A Comprehensive Study on Method Validation and Assessment of Effectiveness of Controlled Atmosphere Storage in Preventing Mycotoxin Contamination.,"[None, None, 'Q000032', 'Q000032', None]","[None, None, 'analysis', 'analysis', None]",https://www.ncbi.nlm.nih.gov/pubmed/34520209,2021
34465490,"Tempe is an Indonesian fermented food prepared from soybean or other non-soy legumes. Non-soy legumes based tempes have been reported to have a nutritional profile different from that of soybean-based tempe. However, a comprehensive study of the metabolite and sensory profiles of legume tempes has not been conducted. This study investigated the metabolite profile of legumes before and after fermentation using a metabolomic approach and its relation to the sensory profile. Four different legumes, namely red kidney bean, soybean, cowpea bean, and jack bean, and four kinds of tempe prepared from the abovementioned legumes were subjected to gas chromatography-mass spectrometry (GC-MS) analysis. These tempe samples were fermented in two different production places, Japan and Indonesia. In total, 83 metabolites were annotated from all samples. Principal component analysis (PCA) showed that the samples were separated based on their type (legume and tempe) along PC1 with a 36.3% variance, in which sugars and amino acids significantly contributed to the separation. In addition, samples were separated along PC2 with a 17.2% variance based on the different production places. The combination of 75% soybean and 25% red kidney bean (75S:25R) could increase the concentrations of amino acids that were initially low in soybean tempe. The 75S:25R tempe showed no significant differences in taste and texture preference compared to the 100% soybean tempe, based on sensory result. These findings provide evidence that metabolomics could be used to identify the differences between tempes from different legumes.",Journal of bioscience and bioengineering,"['D007887', 'D005285', 'D008401', 'D007214', 'D055432', 'D045730', 'D013025']","['Fabaceae', 'Fermentation', 'Gas Chromatography-Mass Spectrometry', 'Indonesia', 'Metabolomics', 'Soy Foods', 'Soybeans']",Gas chromatography-mass spectrometry-based metabolite profiling and sensory profile of Indonesian fermented food (tempe) from various legumes.,"[None, None, None, None, None, 'Q000032', None]","[None, None, None, None, None, 'analysis', None]",https://www.ncbi.nlm.nih.gov/pubmed/34465490,2021
34407742,"Ethyl carbamate (EC), a potential human dietary carcinogen, is found in fermented foods including the fermented soybean-based condiments, the major part of the Korean diet. Therefore, it is expected that their EC contents might pose health risks. Herein, we collected 111 condiments and estimated their EC contents via gas chromatography-mass spectrometry. Further, dietary intake of EC was evaluated, and the risk levels were assessed via the margin of exposure (MOE) approach and excess cancer risk assessment. EC contents of the condiments ranged from not detectable to 39.47 μg/kg, and the daily EC exposure ranged from 1.4 to 2.0 ng/kg BW per day, depending on gender and age groups in Korea. Of the condiments, soy sauce was the largest contributor to EC exposure. MOE and excess cancer risks for the average consumer were 166,300 and 9.0 × 10","Food additives & contaminants. Part A, Chemistry, analysis, control, exposure & risk assessment","['D003212', 'D000074341', 'D005504', 'D005506', 'D008401', 'D006801', 'D056910', 'D018570', 'D014520']","['Condiments', 'Dietary Exposure', 'Food Analysis', 'Food Contamination', 'Gas Chromatography-Mass Spectrometry', 'Humans', 'Republic of Korea', 'Risk Assessment', 'Urethane']",Ethyl carbamate in retail market condiments and risk assessment of its dietary exposure for the Korean population.,"['Q000032', 'Q000032', None, 'Q000032', None, None, None, None, 'Q000032']","['analysis', 'analysis', None, 'analysis', None, None, None, None, 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/34407742,2022
34360308,"Aflatoxins (AFs) are secondary metabolites toxic to humans as well as animals. The environmental conditions, conventional agricultural practices, and illiteracy are the main factors which favor the production of AFs in food and feed. In the current study 744 samples of vegetable seeds and oils (soybean, sunflower, canola, olive, corn, and mustard) were collected and tested for the presence of aflatoxin B",International journal of environmental research and public health,"['D000348', 'D002851', 'D004435', 'D005260', 'D005506', 'D006801', 'D010154', 'D010938', 'D012639', 'D014675']","['Aflatoxins', 'Chromatography, High Pressure Liquid', 'Eating', 'Female', 'Food Contamination', 'Humans', 'Pakistan', 'Plant Oils', 'Seeds', 'Vegetables']",Occurrence of Aflatoxins in Edible Vegetable Seeds and Oil Samples Available in Pakistani Retail Markets and Estimation of Dietary Intake in Consumers.,"['Q000032', None, None, None, 'Q000032', None, None, None, 'Q000737', None]","['analysis', None, None, None, 'analysis', None, None, None, 'chemistry', None]",https://www.ncbi.nlm.nih.gov/pubmed/34360308,2021
34280411,"Aflatoxins (AFs) are one of the most harmful carcinogenic natural toxins that affect food. Crops containing reasonably high oil content may be affected by Aspergillus species and consequently by AF contamination. In this study, a proposed testing method for AF detection in oilseed was developed, validated, and used for a market survey to assess the probabilistic risk exposure caused by consuming contaminated oilseeds including corn, sunflower seed, and soybean. The test method was optimized for selective extraction and then validated for fitness of purpose; the limits of quantification (LOQs) were 0.2, 0.4, 0.2, and 0.2 μg kg",Toxicon : official journal of the International Society on Toxinology,"['D016604', 'D000348', 'D002850', 'D002851', 'D005506']","['Aflatoxin B1', 'Aflatoxins', 'Chromatography, Gel', 'Chromatography, High Pressure Liquid', 'Food Contamination']",Size-exclusion chromatography selective cleanup of aflatoxins in oilseeds followed by HPLC determination to assess the potential health risk.,"['Q000032', 'Q000032', None, None, 'Q000032']","['analysis', 'analysis', None, None, 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/34280411,2021
34247020,"Fermented soy sauces are used as food seasonings in Eastern countries and all over the world. Depending on their cultural origins, their production differs in parameters such as wheat addition, temperature, and salt concentration. The fermentation of lupine seeds presents an alternative to the use of soybeans; however, the microbiota and influencing factors are currently unknown. In this study, we analyse the microbiota of lupine Moromi (mash) fermentations for a period of six months and determine the influence of different salt concentrations on the microbiota dynamics and the volatile compound composition. Cultured microorganisms were identified by protein profiling using matrix-assisted laser desorption-ionization time-of-flight mass spectrometry (MALDI-TOF MS), and 16S rRNA gene amplicon sequencing provided an overview of the microbiota including non-cultured bacteria. The volatile compounds were determined by gas chromatography-mass spectrometry (GC-MS). At all salt concentrations, we found that Tetragenococcus halophilus (up to 1.4 × 10",International journal of food microbiology,"['D055353', 'D056569', 'D000074421', 'D005516', 'D031297', 'D064307', 'D012336', 'D004718', 'D012639', 'D012965']","['Chromohalobacter', 'Enterococcaceae', 'Fermented Foods', 'Food Microbiology', 'Lupinus', 'Microbiota', 'RNA, Ribosomal, 16S', 'Saccharomycetales', 'Seeds', 'Sodium Chloride']",Microbiota dynamics and volatile compounds in lupine based Moromi fermented at different salt concentrations.,"['Q000378', 'Q000378', 'Q000382', None, 'Q000737', 'Q000187', 'Q000235', 'Q000378', 'Q000382', 'Q000494']","['metabolism', 'metabolism', 'microbiology', None, 'chemistry', 'drug effects', 'genetics', 'metabolism', 'microbiology', 'pharmacology']",https://www.ncbi.nlm.nih.gov/pubmed/34247020,2021
34234208,"Insect olfaction system plays a key role in the foraging food, pollination, mating, oviposition, reproduction and other insect physiological behavior. Odorant binding protein are widely found in the various olfactory sensilla of different insect antennae and involved in chemical signals discrimination from natural environment. In this study, a novel OBP gene, MvitOBP3 is identified from the legume pod borer, Maruca vitrata, which it mainly harms important legume vegetables including cowpea, soybean and lablab bean. Real-time PCR results demonstrated that MvitOBP3 gene was abundantly expressed in the antennal tissue of M. vitrata, while low levels were distributed in the head, thorax, abdomen, leg and wing of adult moths. The recombinant OBP3 protein was purified using the prokaryotic expression and affinity chromatography system. Fluorescence competitive binding experiments indicated that that MvitOBP3 protein exhibited greater binding affinities with host-plant flower volatiles including Butanoic acid butyl ester, Limonene, 1H-indol-4-ol and 2-methyl-3-phenylpropanal, highlighting they may have attractant activities for the oviposition of female moths on the legume vegetables. Moreover, protein homology modeling and molecular docking analysis revealed that there are six amino acid sites of MvitOBP3 involved in the binding of the host-plant volatiles. These findings will further promote to understand the key role of odorant binding protein during host perception and oviposition of M. vitrata moths, which improve the efficiency of semiochemical-based prevention and monitoring for this pest in the legume vegetables field.",Scientific reports,"['D000818', 'D007887', 'D015870', 'D019476', 'D062105', 'D056004', 'D015394', 'D009036', 'D009812', 'D010802', 'D011485', 'D018035', 'D011994', 'D017422', 'D013329', 'D055549']","['Animals', 'Fabaceae', 'Gene Expression', 'Insect Proteins', 'Molecular Docking Simulation', 'Molecular Dynamics Simulation', 'Molecular Structure', 'Moths', 'Odorants', 'Phylogeny', 'Protein Binding', 'Receptors, Odorant', 'Recombinant Proteins', 'Sequence Analysis, DNA', 'Structure-Activity Relationship', 'Volatile Organic Compounds']","Functional characteristics of a novel odorant binding protein in the legume pod borer, Maruca vitrata.","[None, 'Q000469', None, 'Q000737', None, None, None, 'Q000145', None, None, None, 'Q000737', None, None, None, 'Q000378']","[None, 'parasitology', None, 'chemistry', None, None, None, 'classification', None, None, None, 'chemistry', None, None, None, 'metabolism']",https://www.ncbi.nlm.nih.gov/pubmed/34234208,2021
