PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
35161972,"As it is high in value, extra virgin olive oil (EVOO) is frequently blended with inferior vegetable oils. This study presents an optical method for determining the adulteration level of EVOO with soybean oil as well as peanut oil using LED-induced fluorescence spectroscopy. Eight LEDs with central wavelengths from ultra-violet (UV) to blue are tested to induce the fluorescence spectra of EVOO, peanut oil, and soybean oil, and the UV LED of 372 nm is selected for further detection. Samples are prepared by mixing olive oil with different volume fractions of peanut or soybean oil, and their fluorescence spectra are collected. Different pre-processing and regression methods are utilized to build the prediction model, and good linearity is obtained between the predicted and actual adulteration concentration. This result, accompanied by the non-destruction and no pre-treatment characteristics, proves that it is feasible to use LED-induced fluorescence spectroscopy as a way to investigate the EVOO adulteration level, and paves the way for building a hand-hold device that can be applied to real market conditions in the future.","Sensors (Basel, Switzerland)","['D010367', 'D005506', 'D000069463', 'D010938', 'D013024', 'D013050']","['Arachis', 'Food Contamination', 'Olive Oil', 'Plant Oils', 'Soybean Oil', 'Spectrometry, Fluorescence']","Quantitative Detection of Extra Virgin Olive Oil Adulteration, as Opposed to Peanut and Soybean Oil, Employing LED-Induced Fluorescence Spectroscopy.","[None, 'Q000032', 'Q000032', 'Q000032', None, None]","[None, 'analysis', 'analysis', 'analysis', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/35161972,2022
34866108,"Oils and lipids are common food components and efficient sources of energy. Both the quantity and the quality of oils and lipids are important with regard to health and disease. Fatty acid ester of hydroxy fatty acid (FAHFA) is a novel lipid class that was discovered as an endogenous lipid; FAHFAs have shown anti-diabetic effects in a mammalian system. We analyzed the overall FAHFA composition in nut oils and other common oils: almond (raw, roasted), walnut, peanut, olive, palm, soybean, and rapeseed oils. We developed a method of liquid chromatography coupled with electrospray ionization triple quadrupole mass spectrometry (LC-ESI/MS/MS) for a comprehensive target analysis of FAHFAs. The analysis revealed wide variation in the FAHFA profiles (15 compounds and 62 peaks). For 7-11 compounds of FAHFA, a total level of 8-29 pmol/mg oil was detected in nuts oils; for 11 compounds, 4.9 pmol/mg oil was detected in olive oil, and for 4-9 compounds, < 2 pmol/mg oil was detected in palm, soy, and rapeseed oils. The major FAHFAs were FAHFA 36:3, FAHFA 36:2, and FAHFA 36:4 in nut oil, FAHFA 36:2, FAHFA 34:1, and FAHFA 36:1 in olive oil, and FAHFA 32:1, FAHFA 34:0, FAHFA 36:0, and FAHFA 36:1 in all of the common oils. The composition of FAHFAs in nut oils is mainly unsaturated fatty acids, whereas those in olive oil are unsaturated fatty acids and saturated fatty acids. The composition of FAHFAs in common oils was mainly saturated fats. This is the first report to demonstrate the quality and quantity of the FAHFAs in the nut oils. Nuts have been described to be a great source of many nutrients and to be beneficial for our health. Our present findings comprise additional evidence that the intake of nuts in daily diets may prevent metabolic and inflammatory-based diseases.",Journal of oleo science,"['D002853', 'D004435', 'D004952', 'D005231', 'D005504', 'D063427', 'D006900', 'D007004', 'D007249', 'D008659', 'D009754', 'D010938', 'D021241', 'D053719']","['Chromatography, Liquid', 'Eating', 'Esters', 'Fatty Acids, Unsaturated', 'Food Analysis', 'Food Quality', 'Hydroxylation', 'Hypoglycemic Agents', 'Inflammation', 'Metabolic Diseases', 'Nuts', 'Plant Oils', 'Spectrometry, Mass, Electrospray Ionization', 'Tandem Mass Spectrometry']",Analysis of Fatty Acid Esters of Hydroxyl Fatty Acid in Nut Oils and Other Plant Oils.,"['Q000379', None, 'Q000032', 'Q000032', None, None, None, None, 'Q000517', 'Q000517', 'Q000737', 'Q000737', 'Q000379', 'Q000379']","['methods', None, 'analysis', 'analysis', None, None, None, None, 'prevention & control', 'prevention & control', 'chemistry', 'chemistry', 'methods', 'methods']",https://www.ncbi.nlm.nih.gov/pubmed/34866108,2022
34474871,"This study aimed to fabricate cinnamon essential oil (CO)-laden 45S5 bioactive glass (BG)/soy protein (SP) scaffolds exhibiting antioxidant and antibacterial activity. In this regard, 45S5 BG-based scaffolds were produced by the foam replica method, and subsequently the scaffolds were coated with various concentrations of CO (2.5, 5 and 7 (v/v) %) incorporated SP solution. Scanning electron microscopy images revealed that the CO-laden SP effectively attached to the 45S5 BG scaffold struts. The presence of 45S5 BG, SP and CO was confirmed using Fourier transform infrared spectroscopy. Compressive strength results indicated that SP based coatings improved the scaffolds' mechanical properties compared to uncoated BG scaffolds. The loading efficiency and releasing behaviour of the different CO concentrations were tested by gas chromatography-mass spectroscopy and UV-Vis spectroscopy. The results showed that CO incorporated scaffolds have controlled releasing behaviour over seven days. Furthermore, the coating on the scaffold surfaces slightly retarded, but it did not inhibit, the in vitro bioactivity of the scaffolds. Moreover, the antioxidant and antibacterial activity of CO was studied. The free radical scavenging activity measured by DPPH was 5 ± 1, 41 ± 3, 44 ± 1 and 43 ± 1 % for BGSP, CO2.5, CO5 and CO7, respectively. The antioxidant activity was thus enhanced by incorporating CO. Agar diffusion and colony counting results indicated that the incorporation of CO increased the antibacterial activity of scaffolds against S. aureus and E. coli. In addition, cytotoxicity of the scaffolds was investigated using MG-63 osteoblast-like cells. The results showed that the BG-SP scaffold was non-toxic under the investigated conditions, whereas dose-dependent toxicity was observed in CO-laden scaffolds. Considered together, the developed phytotherapeutic agent laden 45S5 BG-based scaffolds are promising for bone tissue engineering exhibiting capability to combat bone infections and to protect against oxidative stress damage.","Materials science & engineering. C, Materials for biological applications","['D000900', 'D000975', 'D002516', 'D002935', 'D004926', 'D005898', 'D009822', 'D018384', 'D030262', 'D013211', 'D023822', 'D054457']","['Anti-Bacterial Agents', 'Antioxidants', 'Ceramics', 'Cinnamomum zeylanicum', 'Escherichia coli', 'Glass', 'Oils, Volatile', 'Oxidative Stress', 'Soybean Proteins', 'Staphylococcus aureus', 'Tissue Engineering', 'Tissue Scaffolds']",Antibacterial and antioxidant activity of cinnamon essential oil-laden 45S5 bioactive glass/soy protein composite scaffolds for the treatment of bone infections and oxidative stress.,"['Q000494', 'Q000494', None, None, None, None, 'Q000494', None, None, None, None, None]","['pharmacology', 'pharmacology', None, None, None, None, 'pharmacology', None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34474871,2021
34360308,"Aflatoxins (AFs) are secondary metabolites toxic to humans as well as animals. The environmental conditions, conventional agricultural practices, and illiteracy are the main factors which favor the production of AFs in food and feed. In the current study 744 samples of vegetable seeds and oils (soybean, sunflower, canola, olive, corn, and mustard) were collected and tested for the presence of aflatoxin B",International journal of environmental research and public health,"['D000348', 'D002851', 'D004435', 'D005260', 'D005506', 'D006801', 'D010154', 'D010938', 'D012639', 'D014675']","['Aflatoxins', 'Chromatography, High Pressure Liquid', 'Eating', 'Female', 'Food Contamination', 'Humans', 'Pakistan', 'Plant Oils', 'Seeds', 'Vegetables']",Occurrence of Aflatoxins in Edible Vegetable Seeds and Oil Samples Available in Pakistani Retail Markets and Estimation of Dietary Intake in Consumers.,"['Q000032', None, None, None, 'Q000032', None, None, None, 'Q000737', None]","['analysis', None, None, None, 'analysis', None, None, None, 'chemistry', None]",https://www.ncbi.nlm.nih.gov/pubmed/34360308,2021
34280411,"Aflatoxins (AFs) are one of the most harmful carcinogenic natural toxins that affect food. Crops containing reasonably high oil content may be affected by Aspergillus species and consequently by AF contamination. In this study, a proposed testing method for AF detection in oilseed was developed, validated, and used for a market survey to assess the probabilistic risk exposure caused by consuming contaminated oilseeds including corn, sunflower seed, and soybean. The test method was optimized for selective extraction and then validated for fitness of purpose; the limits of quantification (LOQs) were 0.2, 0.4, 0.2, and 0.2 μg kg",Toxicon : official journal of the International Society on Toxinology,"['D016604', 'D000348', 'D002850', 'D002851', 'D005506']","['Aflatoxin B1', 'Aflatoxins', 'Chromatography, Gel', 'Chromatography, High Pressure Liquid', 'Food Contamination']",Size-exclusion chromatography selective cleanup of aflatoxins in oilseeds followed by HPLC determination to assess the potential health risk.,"['Q000032', 'Q000032', None, None, 'Q000032']","['analysis', 'analysis', None, None, 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/34280411,2021
34124115,"Regional differences were found in breast milk composition. This study intended to profile the composition of fatty acid (FA) and triacylglycerol (TAG) in Chinese breast milk and to explore its association with maternal diet. Breast milk samples and data of 52 lactating women at 60-90 days postpartum were collected. The FA composition was measured using gas chromatography-flame ionization detection (GC-FID), and the TAG profile was detected by an ultra-performance liquid chromatography system, coupled with accurate-mass quadrupole time-of-flight mass spectrometer. A semi-quantitative food intake frequency questionnaire and a one-time 24-h dietary recall were used to evaluate the previous month's and the short-term dietary intake, including dietary patterns, food groups, and nutrients. Oleic-palmitic-linoleic (OPL) is the most predominant TAG within the Chinese human milk, followed by oleic-palmitic-oleic (OPO), with an average OPL-to-OPO ratio of 1.35. Linoleic acid (LA) and oleic acid (OA) accounted for 23.9 and 32.0% of the total FAs, respectively. Among the food groups consumed during the preceding month, LA content was positively associated with the consumption of soybeans and soybean products (",Frontiers in nutrition,[],[],Chinese Breast Milk Fat Composition and Its Associated Dietary Factors: A Pilot Study on Lactating Mothers in Beijing.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/34124115,2021
33714164,"The fatty acid, squalene, and phytosterols, coupled to chemometrics were utilized to detect the adulteration of camellia oil (CAO) with palm superolein (PAO), refined olive oil (ROO), high oleic- sunflower oil (HO-SUO), sunflower oil (SUO), corn oil (COO), rice bran oil (RBO), rice oil (RIO), peanut oil (PEO), sesame oil (SEO), soybean oil (SOO), and rapeseed oil (RAO). CAO was characterized with higher triterpene alcohols, thus differentiated from other vegetable oils in principle component analysis (PCA). Using partial least squares-discriminant analysis (PLS-DA), CAO adulterated with PAO, ROO, HO-SUO, SUO, COO, RBO, RIO, PEO, SEO, SOO, RAO (5%-100%, w/w), could be classified, especially higher than 92.31% of the total discrimination accuracy, at an adulterated ratio above 30%. With less than 22 potential key markers selected by the variable importance in projection (VIP), the optimized PLS models were confirmed to be accurate for the adulterated level prediction in CAO.",Food chemistry,"['D028244', 'D016002', 'D005227', 'D005506', 'D005607', 'D008401', 'D048088', 'D016018', 'D010840', 'D010938', 'D025341']","['Camellia', 'Discriminant Analysis', 'Fatty Acids', 'Food Contamination', 'Fraud', 'Gas Chromatography-Mass Spectrometry', 'Informatics', 'Least-Squares Analysis', 'Phytosterols', 'Plant Oils', 'Principal Component Analysis']",Detection of camellia oil adulteration using chemometrics based on fatty acids GC fingerprints and phytosterols GC-MS fingerprints.,"['Q000737', None, 'Q000032', 'Q000032', 'Q000517', None, None, None, 'Q000032', 'Q000737', None]","['chemistry', None, 'analysis', 'analysis', 'prevention & control', None, None, None, 'analysis', 'chemistry', None]",https://www.ncbi.nlm.nih.gov/pubmed/33714164,2021
33508588,"Soybean oil (SBO), rapeseed oil (RSO), peanut oil (PO), corn oil (CO), olive oil (OO), sunflower oil (SFO), rice germ oil (RGO), walnut oil (WO), torreya seed oil (TSO), and grapeseed oil (GSO) were used to investigate the formation of heterocyclic amines (HAs) in roasted beef patties. Seven HAs, including 2-amino-3,8-dimethylimidazo[4,5-f]quinoxaline (MeIQx), 2-amino-3,4-dimethyl-3H-imidazo[4,5-f]quinolone (MeIQ), 2-amino-3-methyl-3H-imidazo[4,5-f]quinoxaline (IQx), 2-amino-3,4,8-trimethylimidazo[4,5-f]quinoxaline (4,8-DiMeIQx), 2-amino-1-methyl-6-phenylimidazo[4,5-b]pyridine (PhIP), 1-methyl-9H-pyrido[3,4-b]indole (harman), and 9H-pyrido[3,4-b]indole (norharman) were detected in control patties and patties with vegetable oils. GSO, SFO, and WO greatly reduced the content of PhIP and MeIQ. 1.25%TSO and 3.75% RGO showed higher inhibition effects on the more strongly mutagenic compounds (PhIP, MeIQ, IQx, 4,8-DiMeIQx, MeIQx). SBO, PO, and RSO promoted imidazoquin(ox)aline (MeIQ, MeIQx, 4,8-DiMeIQx, and IQx) and β-carboline (harman and norharman); 1.25% SBO had the most significant promoting effect on total HA. This could be useful for the reduction of HA by selecting oils during cooking.",Food chemistry,"['D000588', 'D000818', 'D002417', 'D002851', 'D003296', 'D006571', 'D007093', 'D057230', 'D008460', 'D010938', 'D025341', 'D011810', 'D053719']","['Amines', 'Animals', 'Cattle', 'Chromatography, High Pressure Liquid', 'Cooking', 'Heterocyclic Compounds', 'Imidazoles', 'Limit of Detection', 'Meat', 'Plant Oils', 'Principal Component Analysis', 'Quinoxalines', 'Tandem Mass Spectrometry']",Effects of ten vegetable oils on heterocyclic amine profiles in roasted beef patties using UPLC-MS/MS combined with principal component analysis.,"['Q000032', None, None, None, None, 'Q000737', 'Q000032', None, 'Q000032', 'Q000737', None, 'Q000032', None]","['analysis', None, None, None, None, 'chemistry', 'analysis', None, 'analysis', 'chemistry', None, 'analysis', None]",https://www.ncbi.nlm.nih.gov/pubmed/33508588,2021
32977514,"The use of chemometric tools is progressing to scientific areas where analytical chemistry is present, such as food science. In analytical food evaluation, oils represent an important field, allowing the exploration of the antioxidant effects of herbs and seeds. However, traditional methodologies have some drawbacks which must be overcome, such as being time-consuming, requiring sample preparation, the use of solvents/reagents, and the generation of toxic waste. The objective of this study is to evaluate the protective effect provided by plant-based substances (directly, or as extracts), including pumpkin seeds, poppy seeds, dehydrated goji berry, and Provençal herbs, against the oxidation of antioxidant-free soybean oil. Synthetic antioxidants tert-butylhydroquinone and butylated hydroxytoluene were also considered. The evaluation was made through thermal degradation of soybean oil at different temperatures, and near-infrared spectroscopy was employed in an n-way mode, coupled with Parallel Factor Analysis (PARAFAC) to extract nontrivial information. The results for PARAFAC indicated that factor 1 shows oxidation product information, while factor 2 presents results regarding the antioxidant effect. The plant-based extract was more effective in improving the frying stability of soybean oil. It was also possible to observe that while the oxidation product concentration increased, the antioxidant concentration decreased as the temperature increased. The proposed method is shown to be a simple and fast way to obtain information on the protective effects of antioxidant additives in edible oils, and has an encouraging potential for use in other applications.","Molecules (Basel, Switzerland)","['D000975', 'D010084', 'D013024', 'D013055', 'D013223', 'D013696']","['Antioxidants', 'Oxidation-Reduction', 'Soybean Oil', 'Spectrophotometry, Infrared', 'Statistics as Topic', 'Temperature']",N-Way NIR Data Treatment through PARAFAC in the Evaluation of Protective Effect of Antioxidants in Soybean Oil.,"['Q000737', None, 'Q000737', None, None, None]","['chemistry', None, 'chemistry', None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/32977514,2021
32930255,"Aflatoxins (AFs), as the secondary metabolites of the toxigenic fungi Aspergillus flavus and Aspergillus parasiticus, are well known to be extremely harmful to humans and animals because of their high toxicity, mutagenicity, carcinogenicity, and teratogenicity. Recurring and increasing studies on AF ingestion incidents indicate that AF contamination is a serious food safety issue worldwide. Currently, immunoaffinity chromatography (IAC) has become the most conventional sample clean-up method for determining AFs in foodstuffs. However, the IAC method may be limited to some laboratories because it requires the use of expensive disposable cartridges and the IA procedure is time-consuming. Herein, to achieve the cost-effective determination of AFs in edible oils, we developed a dispersive solid-phase extraction (DSPE) clean-up method based on humic acids (HAs), which is followed by liquid chromatography coupled with tandem mass spectrometry (LC-MS/MS) analysis. HAs could be directly used as a DSPE sorbent after simple treatment without any chemical modification. In the HA-DSPE, AFs could remain on the HA sorbent by both hydrophobic and hydrophilic interactions, whereas the oil matrix was retained on HA via only hydrophobic interactions. The oil matrix could be sufficiently washed off by n-hexane, whereas the AFs could still be retained on HA; thus, the selective extraction of AFs and clean-up of oil matrices were achieved. Under the optimal conditions of HA-DSPE, satisfactory recoveries ranging from 81.3% to 106.2% for four AFs (B1, B2, G1, and G2) were achieved in various oil matrices i.e. blended oil, mixed olive oil, tea oil, sunflower seed oil, rapeseed oil, sesame oil, soybean oil, rice oil, corn oil, and peanut oil. Minor matrix effects ranging from 89.3% to 112.9% were obtained for the four AFs, which were acceptable. Moreover, the LODs of AFs between 0.063 and 0.102 μg kg-1 completely meet the regulatory levels fixed by the Food and Drug Administration (FDA), the European Union (EU), China, or other countries. The proposed methodology was further validated using a naturally contaminated peanut oil, and the results indicated that the accuracy of the HA-DSPE could match the accuracy of the referenced IAC. In addition, HA-DSPE can be used to directly treat diluted edible oil without liquid-liquid extraction and HA is cheap and can be easily obtained from the market worldwide; these advantages make the proposed methodology simple, low-cost, and accessible for the determination of AFs in edible oils.",Analytical methods : advancing methods and applications,"['D000348', 'D001230', 'D001231', 'D002681', 'D002853', 'D004042', 'D005504', 'D006812', 'D010938', 'D052616', 'D053719']","['Aflatoxins', 'Aspergillus', 'Aspergillus flavus', 'China', 'Chromatography, Liquid', 'Dietary Fats, Unsaturated', 'Food Analysis', 'Humic Substances', 'Plant Oils', 'Solid Phase Extraction', 'Tandem Mass Spectrometry']",Facile dispersive solid-phase extraction based on humic acid for the determination of aflatoxins in various edible oils.,"['Q000032', 'Q000737', 'Q000737', None, None, 'Q000032', 'Q000379', None, 'Q000032', None, None]","['analysis', 'chemistry', 'chemistry', None, None, 'analysis', 'methods', None, 'analysis', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/32930255,2021
