PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
34945618,"Fresh baby spinach leaves are popular in salads and are sold as chilled and plastic-packed products. They are of high nutritional value but very perishable due to microbial contamination and enzymatic browning resulting from leaf senescence. Therefore, innovative food processing methods such as plasma-activated water (PAW) treatment are being explored regarding their applicability for ensuring food safety. PAW's impact on food quality and shelf-life extension has, however, not been investigated extensively in vegetables so far. In the present study, a comprehensive metabolomic analysis was performed to determine possible changes in the metabolite contents of spinach leaves stored in a refrigerated state for eight days. Liquid chromatography high-resolution mass spectrometry, followed by stringent biostatistics, was used to compare the metabolomes in control, tap-water-rinsed or PAW-rinsed samples. No significant differences were discernible between the treatment groups at the beginning or end of the storage period. The observed loss of nutrients and activation of catabolic pathways were characteristic of a transition into the senescent state. Nonetheless, the presence of several polyphenolic antioxidants and γ-linolenic acid in the PAW-treated leaves indicated a significant increase in stress resistance and health-promoting antioxidant capacity in the sample. Furthermore, the enhancement of carbohydrate-related metabolisms indicated a delay in the senescence development. These findings demonstrated the potential of PAW to benefit food quality and the shelf-life of fresh spinach leaves.","Foods (Basel, Switzerland)",[],[],Impact of Plasma-Activated Water Treatment on Quality and Shelf-Life of Fresh Spinach Leaves Evaluated by Comprehensive Metabolomic Analysis.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/34945618,2021
34750742,"Soil and water from the trans-Himalayan high-altitude region contain high concentrations of various heavy metals. Vegetables and cereals such as cabbage, spinach, and wheat are most prone to heavy metal accumulation from soil and water which can be toxic for human consumption. It has yet to be studied how consumption of vegetables and cereal with excess heavy metal content can affect human health in high altitude areas. To this end, the objectives of this study are (a) quantify the concentrations of Aluminum (Al), Iron (Fe), Cobalt (Co), Boron (B), Lead (Pb), Arsenic (As), Cadmium (Cd), Selenium (Se), Copper (Cu), and Zinc (Zn) in three crops (wheat, cabbage, and spinach), and (b) evaluate the health risk of excess dietary heavy metal consumption in the local adult population using non-carcinogenic and carcinogenic parameters. A total of 60 samples were analyzed for minerals and potentially toxic elements using Inductively Coupled Plasma-Optical Emission Spectrometry (ICP-OES). Results found that spinach has a high mineral content than wheat and cabbage. The estimated daily intake (EDI) of each metal in each crop was less than the limit of permissible value. The hazard index (HI) of three plant species, and target hazard quotient (THQ) were less than the threshold level (< 1). The carcinogenic risk (CR) value in all the crops was less than the unacceptable risk level (1 × 10",Biological trace element research,[],[],"Health Risk Assessment of Heavy Metals Due to Wheat, Cabbage, and Spinach Consumption at Cold-Arid High Altitude Region.",[],[],https://www.ncbi.nlm.nih.gov/pubmed/34750742,2021
34203867,"In recent years, there has been a growing interest in studying and exploring the potential health benefits of foods, mainly from vegetables and fruits from regular intake. The presence of secondary metabolites, namely polyphenols, carotenoids and terpenes, in certain food matrices seems to contribute to their functional properties, expressed through an increased prevention in the development of certain chronic diseases, namely coronary heart diseases, neurodegenerative diseases, cancer and diabetes. However, some foods' volatile secondary metabolites also present important bioactive properties, although this is a poorly scientifically explored field. In this context, and in order to explore the potential bioactivity of volatile metabolites in different vegetables and fruits from regular consumption, the volatile composition was established using a green extraction technique, solid phase microextraction in headspace mode (HS-SPME), combined with gas chromatography tandem mass spectrometry (GC-MS). A total of 320 volatile metabolites, comprising 51 terpenic compounds, 45 organosulfur compounds, 31 aldehydes, 37 esters, 29 ketones, 28 alcohols, 23 furanic compounds, 22 hydrocarbons, 19 benzene compounds, 13 nitrogenous compounds, 9 carboxylic acids, 7 ethers, 4 halogenated compounds and 3 naphthalene derivatives, were positively identified. Each investigated fruit and vegetable showed a specific volatile metabolomic profile. The obtained results revealed that terpenic compounds, to which are associated antimicrobial, antioxidant, and anticancer activities, are the most predominant chemical family in beetroot (61%), orange carrot (58%) and white carrot (61%), while organosulfur compounds (antiviral activity) are dominant in onion, garlic and watercress. Broccoli and spinach are essentially constituted by alcohols and aldehydes (enzyme-inhibition and antimicrobial properties), while fruits from the Solanaceae family are characterized by esters in tamarillo and aldehydes in tomato.","Molecules (Basel, Switzerland)","['D000438', 'D000447', 'D004952', 'D005638', 'D008401', 'D007659', 'D055432', 'D052617', 'D013729', 'D014675', 'D055549']","['Alcohols', 'Aldehydes', 'Esters', 'Fruit', 'Gas Chromatography-Mass Spectrometry', 'Ketones', 'Metabolomics', 'Solid Phase Microextraction', 'Terpenes', 'Vegetables', 'Volatile Organic Compounds']",Relationship between Volatile Composition and Bioactive Potential of Vegetables and Fruits of Regular Consumption-An Integrative Approach.,"['Q000032', 'Q000032', 'Q000032', 'Q000737', 'Q000379', 'Q000032', 'Q000379', 'Q000379', 'Q000737', 'Q000737', 'Q000032']","['analysis', 'analysis', 'analysis', 'chemistry', 'methods', 'analysis', 'methods', 'methods', 'chemistry', 'chemistry', 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/34203867,2021
33759100,"In this work, pesticide residues in 493 fruit and vegetable samples obtained from markets in Turkey were detected after QuEChERS (quick, easy, cheap, effective, rugged, and safe) extraction followed by liquid chromatography-tandem mass spectrometry with electron spray ionization (LC-ESI/MS/MS) and gas chromatography-tandem mass spectrometry (GC/MS/MS). Validation of the method was tested based on the European Union SANTE/12682/2019 guidelines. The samples were analyzed to determine the concentrations of 500 pesticide residues. The results indicated that 254 samples of 493 samples contaminated with pesticides, only 22% contained pesticide residues at or below maximum residue limits (MRLs), and 30% contained pesticide residues above MRLs. Chlorpyrifos was the most common pesticide (105 samples) from the detected pesticides; 49 samples were found above to MRLs with concentrations of 0.011-2.001 mg/kg. Among samples, peach (88%), dill (84%), mushroom (83%), arugula (73%), and spinach (72%) were the crops with the higher percentages of pesticide residues.",Environmental science and pollution research international,"['D005506', 'D005638', 'D008401', 'D010573', 'D053719', 'D014421', 'D014675']","['Food Contamination', 'Fruit', 'Gas Chromatography-Mass Spectrometry', 'Pesticide Residues', 'Tandem Mass Spectrometry', 'Turkey', 'Vegetables']",Levels of pesticide residues in fruits and vegetables in the Turkish domestic markets.,"['Q000032', 'Q000737', None, 'Q000032', None, None, None]","['analysis', 'chemistry', None, 'analysis', None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/33759100,2021
33483837,"The use of macro- and microalgae, as well as cyanobacteria, becomes increasingly important for human nutrition, even in Western diets. Health effects, positive as well as negative, are believed to result mainly from minor components in the food. In macro- and microalgae as well as in certain cyanobacteria, one class of such minor compounds is sulfolipids, more precisely sulfoquinovosylmonoacylglycerol (SQMG) and sulfoquinovosyldiacylglycerol (SQDG) derivatives. SQMGs and SQDGs consist of a diacylglycerol esterified with varying fatty acid combinations and a sulfoquinovose moiety. Sulfoquinovose is a sulfonated hexose analogous to D-glucose, but featuring a stable carbon-sulfur bond. With regard to their chemical structure, SQDGs can be distinguished according to their sn1- and sn2-bound fatty acids. Although there is great interest in SQDGs, because of their controversially discussed bioactivities, only a negligible number of comprehensive methods for identification and quantification has been published, so far. Within this work, a sample preparation including a quantitative isolation of SQDGs from selected raw materials, a clean-up with solid-phase extraction (SPE), and a sensitive liquid chromatography-tandem mass spectrometry (LC-MS/MS) method for simultaneous identification and quantitation of different, intact SQMGs and SQDGs were developed and validated. The applicability of the method was further demonstrated by comparing a prominent cyanobacterium (Arthrospira sp.) with a microalgae preparation (Chlorella vulgaris), and selected leafy vegetables (spinach, basil).",Analytical and bioanalytical chemistry,"['D002138', 'D002244', 'D002708', 'D002851', 'D002853', 'D000458', 'D004075', 'D006017', 'D007477', 'D008055', 'D058086', 'D018515', 'D015203', 'D052616', 'D012997', 'D021241', 'D053545', 'D013455', 'D053719', 'D014675']","['Calibration', 'Carbon', 'Chlorella', 'Chromatography, High Pressure Liquid', 'Chromatography, Liquid', 'Cyanobacteria', 'Diglycerides', 'Glycolipids', 'Ions', 'Lipids', 'Microalgae', 'Plant Leaves', 'Reproducibility of Results', 'Solid Phase Extraction', 'Solvents', 'Spectrometry, Mass, Electrospray Ionization', 'Spirulina', 'Sulfur', 'Tandem Mass Spectrometry', 'Vegetables']","Development of a targeted HPLC-ESI-QqQ-MS/MS method for the quantification of sulfolipids from a cyanobacterium, selected leafy vegetables, and a microalgae species.","[None, 'Q000737', None, 'Q000379', None, 'Q000378', 'Q000737', 'Q000032', None, 'Q000032', 'Q000378', 'Q000378', None, None, None, 'Q000379', None, 'Q000737', 'Q000379', 'Q000378']","[None, 'chemistry', None, 'methods', None, 'metabolism', 'chemistry', 'analysis', None, 'analysis', 'metabolism', 'metabolism', None, None, None, 'methods', None, 'chemistry', 'methods', 'metabolism']",https://www.ncbi.nlm.nih.gov/pubmed/33483837,2021
33364182,"The quantitative determination of multiple pesticide residues in food is an iterative process given the frequent changes in monitoring specifications set by regulatory authorities, introduction of new pesticide active ingredients, variety of commodities encountered and advances in the capability of analytical instrumentation and software platforms. The method described here:•replaces our previous methodology [1] that was based on an ethyl acetate extraction [2], two different sample extract clean-up regimes depending on the commodity; either Gel Permeation Chromatography (GPC) or Solid Phase Extraction (SPE) and GC/MSMS analysis using cool on-column injection and permits higher throughput using the same QuEChERS extraction method used for LCMS/MS analysis [3]•uses PTV injection incorporating a deactivated (baffled) injection liner required to improve performance for 'difficult to analyse' pesticides e.g. captan, dichlofluanid, folpet, tolylfluanid.•has been validated for the quantitative determination of 113 different pesticides and their metabolites in a range of fruit and vegetables of high water content and high acid and high water content i.e. cabbage, lemon, pepper, plum and spinach and complies with requirements of European Commission guidance document on Analytical Quality Control and Method Validation Procedures for Pesticides Residues Analysis in food and feed - SANTE/12682/2019 [4].",MethodsX,[],[],Use of a deactivated PTV injector liner and GCMS/MS for the quantitative determination of multiple pesticide residues in fruit and vegetables.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/33364182,2022
33353480,"The current study was conducted to assess the levels of organophosphates and carbamates in vegetables in Kenya and to examine potential consumer health risks. A total of 90 samples were analysed by liquid chromatography/high-resolution tandem mass spectrometry. Residues of acephate, chlorpyrifos, methamidophos, omethoate and profenofos were found in 22% of the samples, ranging from 10 to 1343 μg/kg. The EU MRL was exceeded in 21%, 10%, 8% and 22% of the samples of French beans, kales, spinach and tomatoes, respectively. Chlorpyrifos in spinach had an acute HQ of 3.3 and 2.2 for children and adults, respectively, implying that potential health risks with respect to acute dietary exposure cannot be excluded. For chronic dietary exposure, all chronic HQs were below 1. The HI for the pesticides was 0.54 and 0.34 for children and adults. Routine monitoring of OPs and carbamates in vegetables is recommended to minimise consumer's health risks.","Food additives & contaminants. Part B, Surveillance","['D000328', 'D002219', 'D002648', 'D004390', 'D005506', 'D006801', 'D007630', 'D010573', 'D014675']","['Adult', 'Carbamates', 'Child', 'Chlorpyrifos', 'Food Contamination', 'Humans', 'Kenya', 'Pesticide Residues', 'Vegetables']",Organophosphate and carbamate pesticide residues and accompanying risks in commonly consumed vegetables in Kenya.,"[None, 'Q000032', None, 'Q000032', 'Q000032', None, None, 'Q000032', None]","[None, 'analysis', None, 'analysis', 'analysis', None, None, 'analysis', None]",https://www.ncbi.nlm.nih.gov/pubmed/33353480,2021
33174278,"The aim of this study was to isolate monogalactosyldiacylglycerols (MGDGs) and digalactosyldiacylglycerols (DGDGs) from perilla [Perilla frutescens (L.) Britton] and to investigate their fatty acid profiles. Perilla displayed the greatest total MGDG and DGDG content among the three types of leaf vegetables tested, that is, spinach, parsley, and perilla, containing 0.16 g/100 g MGDG and 0.04 g/100 g DGDG (on wet weight basis). High purity MGDG (approximately 97 g/100 g) and DGDG (approximately 86 g/100 g) were isolated from perilla chloroform/methanol (2:1, v/v) extracts by two-step silica gel column chromatography. MGDGs were primarily composed of 18:3n-3 and 16:3n-3, predominantly located at the sn-1 and sn-2 positions, respectively. In DGDG, 18:3n-3 and 16:0 were the most abundant fatty acids and were primarily found at the sn-1 and sn-2 positions, respectively. PRACTICAL APPLICATION: MGDGs and DGDGs are the most prevalent forms of galactoglycerolipids found in leaf vegetables including perilla and have been shown to exert health-beneficial effects, such as antitumor, anti-inflammatory, anticancer, and appetite-suppressing activities. Both MGDGs and DGDGs possess emulsifying properties. The present study may help better understand the health-beneficial effects of MGDG and DGDG from perilla, by providing total composition and positional distribution of the fatty acids. The present study also successfully established a protocol to isolate high purity MGDG and DGDG from perilla, thereby increasing their possible use as an ingredient in foods and nutraceuticals.",Journal of food science,"['D005227', 'D038983', 'D031344', 'D028528', 'D010936', 'D018515', 'D018724']","['Fatty Acids', 'Galactolipids', 'Perilla frutescens', 'Petroselinum', 'Plant Extracts', 'Plant Leaves', 'Spinacia oleracea']",Isolation and compositional analysis of galactoglycerolipids from perilla [Perilla frutescens (L.) Britton] leaves and comparison to the galactoglycerolipids from spinach and parsley.,"['Q000032', 'Q000737', 'Q000737', 'Q000737', 'Q000737', 'Q000737', 'Q000737']","['analysis', 'chemistry', 'chemistry', 'chemistry', 'chemistry', 'chemistry', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/33174278,2021
33012771,"In the field of food analysis and regulation, different instruments are used to determine the accuracy of quantification values. This is essential, as inconsistencies in values are commonly encountered. To visualize the degree of these discrepancies in each food matrix, we compiled a validation study based on a routine method developed in our laboratory, for 121 pesticides in six agricultural products, namely the grapefruit, potato, paprika, cabbage, spinach, and brown rice. These were analyzed by GC-MS/MS and LC-MS/MS, and the results were compared mainly on the basis of trueness. According to the results of the validation study when using GC-MS/MS, of the 121 pesticides tested in each product class, the number of analytes that satisfied the criteria of the Japanese validation guidelines was 97 in grapefruit, 111 in potato, 110 in paprika, 118 in cabbage, 111 in spinach, and 63 in brown rice. In contrast, in the analysis of the same samples by using LC-MS/MS, the number of analytes that satisfied the criteria of the validation guidelines was 50 in grapefruit, 114 in potato, 103 in paprika, 112 in cabbage, 100 in spinach, and 103 in brown rice. Inconsistences in the differences of trueness were mainly attributed to matrix effects of each instrument, as well as to food matrices, of which the most diverged matrix was that of brown rice (over 20%).",Shokuhin eiseigaku zasshi. Journal of the Food Hygienic Society of Japan,"['D002853', 'D018556', 'D005504', 'D005506', 'D010573', 'D015203', 'D053719']","['Chromatography, Liquid', 'Crops, Agricultural', 'Food Analysis', 'Food Contamination', 'Pesticide Residues', 'Reproducibility of Results', 'Tandem Mass Spectrometry']",[Comparison of Validation Results Obtained by GC-MS/MS and LC-MS/MS for the Analysis of Residual Pesticides in Agricultural Products].,"[None, 'Q000737', 'Q000379', 'Q000032', 'Q000032', None, None]","[None, 'chemistry', 'methods', 'analysis', 'analysis', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/33012771,2020
32892012,"Fungicides have been extensively used around the world in agriculture due to their effectiveness of sterilization. Recent evidences have shown that fungicides would exert a negative effect on gut microbiota and result in gut microbiota dysbiosis and metabolism disorder on non-target organisms and even humans. However, research on residues and potential health risks of fungicides in daily consumed vegetables has received less attention compared to insecticides. In this study, we studied three widely applied fungicides, procymidone, dimethomorph, and azoxystrobin, in China. We collected 551 samples of 10 different vegetables in 11 cities from Zhejiang province during 2015-2017. Three fungicides were analyzed by liquid chromatography-tandem mass spectrometry (LC-MS/MS). The average apparent recoveries of three fungicides ranged from 84.2% to 110% with the relative standard deviations lower than 10%. The LOD values of procymidone, dimethomorph, and azoxystrobin was 2, 0.09, and 1 μg/kg, respectively. The levels of procymidone, dimethomorph, and azoxystrobin in those vegetables ranged from ND-875, ND-238, and ND-76 μg/kg, respectively. The highest mean concentrations of procymidone, dimethomorph, and azoxystrobin were found in eggplant (68 μg/kg), spinach (16.4 μg/kg), and kidney bean (4 μg/kg), respectively. Tomato (62.6% of samples), eggplant (44.3% of samples), and cucumber (41.6% of samples) were most frequently detected with fungicides. Solanaceous fruit vegetables have the highest detection rate than other vegetables, and fungicides were most frequently detected in winter. The mean concentrations of three fungicides in different vegetables were all below the maximum residue limits for the national food safety standards of China, and the health risks resulting from consuming those vegetables in adults and children were all within the safe ranges. The data provided here clarify the distributions of fungicides in commonly consumed vegetables and their potential health risks.","Environmental pollution (Barking, Essex : 1987)","['D000328', 'D002648', 'D002681', 'D002853', 'D005638', 'D005659', 'D006801', 'D010573', 'D053719', 'D014675']","['Adult', 'Child', 'China', 'Chromatography, Liquid', 'Fruit', 'Fungicides, Industrial', 'Humans', 'Pesticide Residues', 'Tandem Mass Spectrometry', 'Vegetables']","The distributions of three fungicides in vegetables and their potential health risks in Zhejiang, China: A 3-year study (2015-2017).","[None, None, None, None, 'Q000737', 'Q000032', None, 'Q000032', None, None]","[None, None, None, None, 'chemistry', 'analysis', None, 'analysis', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/32892012,2020
