PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
35885397,"Food fraud is a common issue in the modern food industry. The undeclared use of foreign proteins in meat products is a major concern in this context. Oilseeds are ideal for this purpose due to their high protein content and since huge amounts of oil meal are obtained as a by-product of oil production. Therefore, a UHPLC-MS/MS method was developed for the simultaneous detection of chia, coconut, flaxseed, hemp, peanut, pumpkin, rapeseed, sesame, soy, and sunflower proteins in meat products. Potential tryptic peptide markers were identified by high-resolution mass spectrometry. The final twenty peptide markers selected, which are specific for one of the ten species targeted, were each measured by multiple reaction monitoring. To the best of our knowledge, twelve new heat-stable marker peptides for chia, coconut, flaxseed, pumpkin, rapeseed, sesame and sunflower have not been reported previously. Emulsion-type sausages with 0.01, 0.25, 0.50, 0.75 and 1.00% protein addition by each oilseed species were produced for matrix calibration. No false-positive results were recorded. In the quantification of the ten oilseed species, 466 of 480 measuring data points of the recovery rate in unknown sausages (0.15 and 0.85% protein addition by each oilseed species) were in the accepted range of 80-120%.","Foods (Basel, Switzerland)",[],[],Simultaneous Mass Spectrometric Detection of Proteins of Ten Oilseed Species in Meat Products.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35885397,2022
35452811,"Hydrophobins (HPs) are relatively small surface-active proteins of fungal origin. Being an industrially important protein, isolation of new molecules from GRAS (Generally Regarded as Safe) strains like mushrooms is the need of the time. In the present work, hydrophobin Vmh3-1 is isolated, purified, and identified from a culture broth and vegetative mycelia of Pleurotus ostreatus grown in a Potato dextrose broth (PDB) in static culture conditions. Purified proteins from the broth and the cell wall showed bands of 11 kDa and 17 kDa when analyzed on SDS-PAGE. Hydrophobin Vmh3-1 was identified in purified protein samples by the Orbitrap-HR-LC-MS/MS analysis with a maximum of 66% sequence coverage. The amphipathic nature of the protein was revealed by an increase in the water contact angle (WCA) of the hydrophilic surface of glass by 87% as well as a decrease in the WCA of the hydrophobic surface of Teflon by 19%. The emulsification property was tested with food-grade oils and Hexane. A maximum activity (EI ",Protein expression and purification,"['D002853', 'D005656', 'D005800', 'D020076', 'D053719', 'D014867']","['Chromatography, Liquid', 'Fungal Proteins', 'Genes, Fungal', 'Pleurotus', 'Tandem Mass Spectrometry', 'Water']",Identification and characterization of a hydrophobin Vmh3 from Pleurotus ostreatus.,"[None, 'Q000737', None, 'Q000235', None, 'Q000378']","[None, 'chemistry', None, 'genetics', None, 'metabolism']",https://www.ncbi.nlm.nih.gov/pubmed/35452811,2022
34360308,"Aflatoxins (AFs) are secondary metabolites toxic to humans as well as animals. The environmental conditions, conventional agricultural practices, and illiteracy are the main factors which favor the production of AFs in food and feed. In the current study 744 samples of vegetable seeds and oils (soybean, sunflower, canola, olive, corn, and mustard) were collected and tested for the presence of aflatoxin B",International journal of environmental research and public health,"['D000348', 'D002851', 'D004435', 'D005260', 'D005506', 'D006801', 'D010154', 'D010938', 'D012639', 'D014675']","['Aflatoxins', 'Chromatography, High Pressure Liquid', 'Eating', 'Female', 'Food Contamination', 'Humans', 'Pakistan', 'Plant Oils', 'Seeds', 'Vegetables']",Occurrence of Aflatoxins in Edible Vegetable Seeds and Oil Samples Available in Pakistani Retail Markets and Estimation of Dietary Intake in Consumers.,"['Q000032', None, None, None, 'Q000032', None, None, None, 'Q000737', None]","['analysis', None, None, None, 'analysis', None, None, None, 'chemistry', None]",https://www.ncbi.nlm.nih.gov/pubmed/34360308,2021
34280411,"Aflatoxins (AFs) are one of the most harmful carcinogenic natural toxins that affect food. Crops containing reasonably high oil content may be affected by Aspergillus species and consequently by AF contamination. In this study, a proposed testing method for AF detection in oilseed was developed, validated, and used for a market survey to assess the probabilistic risk exposure caused by consuming contaminated oilseeds including corn, sunflower seed, and soybean. The test method was optimized for selective extraction and then validated for fitness of purpose; the limits of quantification (LOQs) were 0.2, 0.4, 0.2, and 0.2 μg kg",Toxicon : official journal of the International Society on Toxinology,"['D016604', 'D000348', 'D002850', 'D002851', 'D005506']","['Aflatoxin B1', 'Aflatoxins', 'Chromatography, Gel', 'Chromatography, High Pressure Liquid', 'Food Contamination']",Size-exclusion chromatography selective cleanup of aflatoxins in oilseeds followed by HPLC determination to assess the potential health risk.,"['Q000032', 'Q000032', None, None, 'Q000032']","['analysis', 'analysis', None, None, 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/34280411,2021
34136186,"The influence of a variety of cooking methods (poaching, boiling, grilling (charcoal or gas)), frying (pan, deep frying, and stir frying) with a variety of oils (vegetable oil, extra virgin olive oil, sesame oil, extra light olive oil, and sunflower oil), microwaving, and oven roasting on polycyclic aromatic hydrocarbons (PAHs) formation in rabbit meat samples was investigated. Meat samples (including three replicates) were prepared without additives or spices. PAHs extraction was carried out by saponification method with potassium hydroxide in methanol which was followed by a silica gel column technique and the samples were quantified by using gas chromatography with mass spectrometry (GC-MS). PAHs standards, fluorene, naphthalene, anthracene, phenanthrene, pyrene, acenaphthalene, fluoranthene, and benzopyrene, were used for this study. The other PAHs except fluorene were not observed (detection limit-0.009 µg/g) in all the samples. Among traditional processing techniques, higher PAH contents were observed as a result of frying. Frying with vegetable oil produced higher fluorene content (0.06-0.13 µg/g) in the deep-fried sample, although sesame oil is the best oil which produces lowest PAH contents in fried samples. Among all the processing techniques, lower fluorene (0.01-0.02 µg/g) content was noticed in poaching. Benzo(a)pyrene was not observed in all the investigated samples which is viewed as a reliable strategy of the cooking process for human consumption. After processing, the cooking loss was determined and oven roasting and grilling exhibited greater moisture loss.",Food science & nutrition,[],[],Impact of different cooking methods on polycyclic aromatic hydrocarbons in rabbit meat.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/34136186,2021
34020454,"For health reasons it is preferred to prepare food products with edible fats and oils that are high in unsaturated fatty acids. Unfortunately, these unsaturated acids are susceptible to lipid oxidation and the addition of natural antioxidants, e.g., rosemary extracts, etc. is needed.",Journal of AOAC International,"['D000975', 'D008401', 'D006801', 'D010084', 'D010938', 'D017365']","['Antioxidants', 'Gas Chromatography-Mass Spectrometry', 'Humans', 'Oxidation-Reduction', 'Plant Oils', 'Spices']",A Fast GC-MS-Based Method for Efficacy Assessment of Natural Anti-Oxidants for Inhibiting Lipid Oxidation.,"[None, None, None, None, None, 'Q000032']","[None, None, None, None, None, 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/34020454,2021
33714164,"The fatty acid, squalene, and phytosterols, coupled to chemometrics were utilized to detect the adulteration of camellia oil (CAO) with palm superolein (PAO), refined olive oil (ROO), high oleic- sunflower oil (HO-SUO), sunflower oil (SUO), corn oil (COO), rice bran oil (RBO), rice oil (RIO), peanut oil (PEO), sesame oil (SEO), soybean oil (SOO), and rapeseed oil (RAO). CAO was characterized with higher triterpene alcohols, thus differentiated from other vegetable oils in principle component analysis (PCA). Using partial least squares-discriminant analysis (PLS-DA), CAO adulterated with PAO, ROO, HO-SUO, SUO, COO, RBO, RIO, PEO, SEO, SOO, RAO (5%-100%, w/w), could be classified, especially higher than 92.31% of the total discrimination accuracy, at an adulterated ratio above 30%. With less than 22 potential key markers selected by the variable importance in projection (VIP), the optimized PLS models were confirmed to be accurate for the adulterated level prediction in CAO.",Food chemistry,"['D028244', 'D016002', 'D005227', 'D005506', 'D005607', 'D008401', 'D048088', 'D016018', 'D010840', 'D010938', 'D025341']","['Camellia', 'Discriminant Analysis', 'Fatty Acids', 'Food Contamination', 'Fraud', 'Gas Chromatography-Mass Spectrometry', 'Informatics', 'Least-Squares Analysis', 'Phytosterols', 'Plant Oils', 'Principal Component Analysis']",Detection of camellia oil adulteration using chemometrics based on fatty acids GC fingerprints and phytosterols GC-MS fingerprints.,"['Q000737', None, 'Q000032', 'Q000032', 'Q000517', None, None, None, 'Q000032', 'Q000737', None]","['chemistry', None, 'analysis', 'analysis', 'prevention & control', None, None, None, 'analysis', 'chemistry', None]",https://www.ncbi.nlm.nih.gov/pubmed/33714164,2021
33508588,"Soybean oil (SBO), rapeseed oil (RSO), peanut oil (PO), corn oil (CO), olive oil (OO), sunflower oil (SFO), rice germ oil (RGO), walnut oil (WO), torreya seed oil (TSO), and grapeseed oil (GSO) were used to investigate the formation of heterocyclic amines (HAs) in roasted beef patties. Seven HAs, including 2-amino-3,8-dimethylimidazo[4,5-f]quinoxaline (MeIQx), 2-amino-3,4-dimethyl-3H-imidazo[4,5-f]quinolone (MeIQ), 2-amino-3-methyl-3H-imidazo[4,5-f]quinoxaline (IQx), 2-amino-3,4,8-trimethylimidazo[4,5-f]quinoxaline (4,8-DiMeIQx), 2-amino-1-methyl-6-phenylimidazo[4,5-b]pyridine (PhIP), 1-methyl-9H-pyrido[3,4-b]indole (harman), and 9H-pyrido[3,4-b]indole (norharman) were detected in control patties and patties with vegetable oils. GSO, SFO, and WO greatly reduced the content of PhIP and MeIQ. 1.25%TSO and 3.75% RGO showed higher inhibition effects on the more strongly mutagenic compounds (PhIP, MeIQ, IQx, 4,8-DiMeIQx, MeIQx). SBO, PO, and RSO promoted imidazoquin(ox)aline (MeIQ, MeIQx, 4,8-DiMeIQx, and IQx) and β-carboline (harman and norharman); 1.25% SBO had the most significant promoting effect on total HA. This could be useful for the reduction of HA by selecting oils during cooking.",Food chemistry,"['D000588', 'D000818', 'D002417', 'D002851', 'D003296', 'D006571', 'D007093', 'D057230', 'D008460', 'D010938', 'D025341', 'D011810', 'D053719']","['Amines', 'Animals', 'Cattle', 'Chromatography, High Pressure Liquid', 'Cooking', 'Heterocyclic Compounds', 'Imidazoles', 'Limit of Detection', 'Meat', 'Plant Oils', 'Principal Component Analysis', 'Quinoxalines', 'Tandem Mass Spectrometry']",Effects of ten vegetable oils on heterocyclic amine profiles in roasted beef patties using UPLC-MS/MS combined with principal component analysis.,"['Q000032', None, None, None, None, 'Q000737', 'Q000032', None, 'Q000032', 'Q000737', None, 'Q000032', None]","['analysis', None, None, None, None, 'chemistry', 'analysis', None, 'analysis', 'chemistry', None, 'analysis', None]",https://www.ncbi.nlm.nih.gov/pubmed/33508588,2021
33333358,"It was aimed to compare the performances of two spectroscopic methods, fluorescence and mid-infrared spectroscopy, in terms of their adulteration detection and estimation of several chemical properties for various cold pressed seed oils. Spectroscopic profiles, fatty acid, free fatty acid and total phenol contents of pumpkin seed, grape seed, black cumin oil, and sesame seed oils were determined and these oils were mixed with sunflower oil at 1-50% (v/v). Both spectroscopic techniques provided comparable results for determination of adulteration of each oil type and the most successful prediction was obtained for pumpkin seed oil at levels >%1. Combined data set of oils resulted in successful quantification of their free fatty acid value, total phenol and major fatty acids contents with both spectroscopic methods regardless of oil type. Both techniques could be used as reliable, fast and environmentally friendly alternatives in the analyses of different types of seed oils.",Food chemistry,"['D005504', 'D063427', 'D005607', 'D010938', 'D013050', 'D013055']","['Food Analysis', 'Food Quality', 'Fraud', 'Plant Oils', 'Spectrometry, Fluorescence', 'Spectrophotometry, Infrared']",Prediction of chemical parameters and authentication of various cold pressed oils with fluorescence and mid-infrared spectroscopic methods.,"['Q000379', None, 'Q000517', 'Q000737', None, None]","['methods', None, 'prevention & control', 'chemistry', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/33333358,2021
32930255,"Aflatoxins (AFs), as the secondary metabolites of the toxigenic fungi Aspergillus flavus and Aspergillus parasiticus, are well known to be extremely harmful to humans and animals because of their high toxicity, mutagenicity, carcinogenicity, and teratogenicity. Recurring and increasing studies on AF ingestion incidents indicate that AF contamination is a serious food safety issue worldwide. Currently, immunoaffinity chromatography (IAC) has become the most conventional sample clean-up method for determining AFs in foodstuffs. However, the IAC method may be limited to some laboratories because it requires the use of expensive disposable cartridges and the IA procedure is time-consuming. Herein, to achieve the cost-effective determination of AFs in edible oils, we developed a dispersive solid-phase extraction (DSPE) clean-up method based on humic acids (HAs), which is followed by liquid chromatography coupled with tandem mass spectrometry (LC-MS/MS) analysis. HAs could be directly used as a DSPE sorbent after simple treatment without any chemical modification. In the HA-DSPE, AFs could remain on the HA sorbent by both hydrophobic and hydrophilic interactions, whereas the oil matrix was retained on HA via only hydrophobic interactions. The oil matrix could be sufficiently washed off by n-hexane, whereas the AFs could still be retained on HA; thus, the selective extraction of AFs and clean-up of oil matrices were achieved. Under the optimal conditions of HA-DSPE, satisfactory recoveries ranging from 81.3% to 106.2% for four AFs (B1, B2, G1, and G2) were achieved in various oil matrices i.e. blended oil, mixed olive oil, tea oil, sunflower seed oil, rapeseed oil, sesame oil, soybean oil, rice oil, corn oil, and peanut oil. Minor matrix effects ranging from 89.3% to 112.9% were obtained for the four AFs, which were acceptable. Moreover, the LODs of AFs between 0.063 and 0.102 μg kg-1 completely meet the regulatory levels fixed by the Food and Drug Administration (FDA), the European Union (EU), China, or other countries. The proposed methodology was further validated using a naturally contaminated peanut oil, and the results indicated that the accuracy of the HA-DSPE could match the accuracy of the referenced IAC. In addition, HA-DSPE can be used to directly treat diluted edible oil without liquid-liquid extraction and HA is cheap and can be easily obtained from the market worldwide; these advantages make the proposed methodology simple, low-cost, and accessible for the determination of AFs in edible oils.",Analytical methods : advancing methods and applications,"['D000348', 'D001230', 'D001231', 'D002681', 'D002853', 'D004042', 'D005504', 'D006812', 'D010938', 'D052616', 'D053719']","['Aflatoxins', 'Aspergillus', 'Aspergillus flavus', 'China', 'Chromatography, Liquid', 'Dietary Fats, Unsaturated', 'Food Analysis', 'Humic Substances', 'Plant Oils', 'Solid Phase Extraction', 'Tandem Mass Spectrometry']",Facile dispersive solid-phase extraction based on humic acid for the determination of aflatoxins in various edible oils.,"['Q000032', 'Q000737', 'Q000737', None, None, 'Q000032', 'Q000379', None, 'Q000032', None, None]","['analysis', 'chemistry', 'chemistry', None, None, 'analysis', 'methods', None, 'analysis', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/32930255,2021
