PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
35347716,"Fermentation of eight vegetables was studied as an alternative for reclamation of surplus volumes. Fermentation performance was predicted by comparing the amounts of acid that could be produced from the intrinsic sugar content with that buffered by the fresh vegetable matrices prior to reaching an inhibitory pH for fermentative microbes (3.30). Native fermentations were brined with 345.0 mM sodium chloride, 40.0 mM calcium chloride, 6.0 mM potassium sorbate, and vinegar to adjust the initial pH to 4.70. High-performance liquid chromatography analysis, pH, and carbon dioxide measurements and spiral plating on selective media were employed to monitor the progress of fermentations. The average colony counts for yeast and/or molds and Enterobacteriaceae declined to undetectable levels from 3.6 ± 1.5 log CFU/ml within 7 days of fermentation. The fermentation of sugars produced lactic, acetic, succinic, and/or malic acids, and ethanol. As predicted, the fermentation of vegetables with low sugar content, such as broccoli, green leaf lettuce, and green pea proceeded to completion. The fermentation of vegetables with a moderate sugar content, such as green bell pepper, red ripened tomato, and green bean were incomplete at pH 3.1 ± 0.2. The fermentation of high sugar vegetables including sweet potato and corn were expected and observed to be incomplete. It is concluded that the intrinsic sugar content and buffer capacity of surplus vegetables are relevant parameters in obtaining complete fermentations. PRACTICAL APPLICATION: Vegetables are the second most wasted commodity in the United States and a substantial constituent of the global food waste. Development of fermentation to reclaim surplus vegetables from farms, grocery stores, and farmer's markets offers opportunities to ameliorate economic losses and environmental impact and add value to waste. The research described here suggests that a fraction of vegetables could be fermented in cover brines while others, with high sugar content, need specialized handling. Evidently, optimization of vegetable fermentation with starter cultures and added buffers represent an opportunity to stimulate complete bioconversions useful for reclaiming surplus volumes.",Journal of food science,[],[],Vegetable fermentations brined with low salt for reclaiming food waste.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35347716,2022
34677020,"Starch occurs naturally in the form of semicrystalline granules, and is composed of two types of carbohydrate molecules, amylose (AM) and amylopectin (AP). Starch granules and starch molecules have sizes in the range of 1-100 μm and 20-250 nm, respectively; these size ranges are among the key factors affecting the functional properties of starch. Asymmetrical flow field-flow fractionation (AF4) is a size-based separation technique. The major difference between AF4 and dynamic light scattering or microscopy techniques is that AF4 enables the separation of particles based on their size; consequently, the elution profile can be converted to the size distribution of the samples. In the last two decades, AF4 systems, when coupled online with multiangle light scattering (MALS) and differential refractive index (dRI) detectors (AF4-MALS-dRI), have demonstrated to be applicable for the size characterization of starch at the molecular level. Unlike size exclusion chromatography (SEC), AF4 systems use an open channel that does not require a stationary phase or packing materials. Thus, the shear scission of AP molecules during AF4 separation is minimized. The size detection range of a commercial AF4 system ranges from 1 nm to 10 μm, which is smaller than the size range of starch granules. In this study, a home-made AF4 system was developed, and its capability for the size characterization of starch granules extracted from sweet potato, lotus seed, and rice was investigated. The performance of the developed AF4 system was evaluated by running a mixture of polystyrene (PS) with diameter of 2, 6, 12, and 20 μm, respectively. Baseline separation of four PS samples was achieved, and the resolution for 6 μm PS and 12 μm PS was 1.40. The detection limit of the developed AF4 system was higher than that of commercial AF4 systems. Thus, the developed AF4 system is promising for the separation and characterization of starch granules. The effect of the composition of the carrier liquid on the AF4 separation of starch granules was also studied. Moreover, the accuracy of AF4 in terms of size characterization of the starch granules was evaluated by optical microscopy (OM). The results revealed that the type of dispersant and viscosity of the carrier liquid affect the accuracy of size characterization of the starch granules. The size distribution of rice starch granules obtained using a carrier liquid containing 0.01% (w/v) sodium dodecyl sulfate (used as a dispersant), 0.02% (w/v) NaN",Se pu = Chinese journal of chromatography,"['D000688', 'D031521', 'D008970', 'D012031', 'D013213']","['Amylose', 'Fractionation, Field Flow', 'Molecular Weight', 'Refractometry', 'Starch']",[Development of an asymmetrical flow field-flow fractionation system for the size characterization of starch granules].,"[None, None, None, None, None]","[None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34677020,2021
34641353,"Volatile compounds are the main chemical species determining the characteristic aroma of food. A procedure based on headspace solid-phase microextraction (HP-SPME) coupled to gas chromatography-mass spectrometry (GC-MS) was developed to investigate the volatile compounds of sweet potato. The experimental conditions (fiber coating, incubation temperature and time, extraction time) were optimized for the extraction of volatile compounds from sweet potato. The samples incubated at 80 °C for 30 min and extracted at 80 °C by the fiber with a divinylbenzene/carboxen/polydimethylsiloxane (DVB/CAR/PDMS) coating for 30 min gave the most effective extraction of the analytes. The optimized method was applied to study the volatile profile of four sweet potato cultivars (Anna, Jieshu95-16, Ayamursaki, and Shuangzai) with different aroma. In total, 68 compounds were identified and the dominants were aldehydes, followed by alcohols, ketones, and terpenes. Significant differences were observed among the volatile profile of four cultivars. Furthermore, each cultivar was characterized by different compounds with typical flavor. The results substantiated that the optimized HS-SPME GC-MS method could provide an efficient and convenient approach to study the flavor characteristics of sweet potato. This is the basis for studying the key aroma-active compounds and selecting odor-rich accessions, which will help in the targeted improvement of sweet potato flavor in breeding.","Molecules (Basel, Switzerland)","['D008401', 'D027723', 'D009812', 'D052617', 'D013649', 'D013696', 'D055549']","['Gas Chromatography-Mass Spectrometry', 'Ipomoea batatas', 'Odorants', 'Solid Phase Microextraction', 'Taste', 'Temperature', 'Volatile Organic Compounds']",Optimization of HS-SPME for GC-MS Analysis and Its Application in Characterization of Volatile Compounds in Sweet Potato.,"['Q000379', 'Q000378', 'Q000032', 'Q000379', None, None, 'Q000032']","['methods', 'metabolism', 'analysis', 'methods', None, None, 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/34641353,2021
34287964,"In this study, anthocyanins were extracted and purified from purple sweet potato anthocyanins (PSPA) and the alleviative effect of PSPA on doxorubicin (DOX)-induced cardiotoxicity was investigated. High Performance Liquid Chromatography-Mass Spectrometry (HPLC-MS) results showed that 10 kinds of substances were identified in PSPA and the PSPA was mainly composed of cyanidin (62.9%) and peonidin (21.46%). In in vitro experiments, PSPA reduced the excessive release of inflammatory factors (NO and TNF-α) induced by DOX and decreased the secretion of trimethylamine oxide (TMAO), lactic dehydrogenase (LDH), and creatine kinase (CK) caused by myocardial injury. In in vivo experiments, PSPA inhibited the release of NO and MDA levels in heart tissue. Meanwhile, mice treated with PSPA decreased the levels of LDH, CK, TNF-α, and TMAO in serum and heart tissue when compared with the DOX group. In addition, the histopathological results of the heart tissue also showed a protective effect of PSPA on the pathological changes in heart. These results provide a reference for the application of PSPA as a functional food to intervene in DOX-induced cardiotoxicity. PRACTICAL APPLICATIONS: The effects of anthocyanins from purple sweet potato anthocyanins (PSPA) on doxorubicin (DOX)-induced cardiotoxicity were investigated in vitro and in vivo. The results indicated that PSPA could significantly ameliorate DOX-induced heart failure. The obtained results could provide the potential application of PSPA as an alternative therapy for cardiotoxicity caused by DOX in the functional food industry.",Journal of food biochemistry,"['D000818', 'D000872', 'D066126', 'D002851', 'D004317', 'D027723', 'D051379']","['Animals', 'Anthocyanins', 'Cardiotoxicity', 'Chromatography, High Pressure Liquid', 'Doxorubicin', 'Ipomoea batatas', 'Mice']",Anthocyanins from purple sweet potato alleviate doxorubicin-induced cardiotoxicity in vitro and in vivo.,"[None, 'Q000494', 'Q000517', None, 'Q000633', None, None]","[None, 'pharmacology', 'prevention & control', None, 'toxicity', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34287964,2021
33925312,"Red cabbage (RC) and purple sweet potato (PSP) are naturally rich in acylated cyanidin glycosides that can bind metal ions and develop intramolecular π-stacking interactions between the cyanidin chromophore and the phenolic acyl residues. In this work, a large set of RC and PSP anthocyanins was investigated for its coloring properties in the presence of iron and aluminum ions. Although relatively modest, the structural differences between RC and PSP anthocyanins, i.e., the acylation site at the external glucose of the sophorosyl moiety (C2-OH for RC vs. C6-OH for PSP) and the presence of coordinating acyl groups (caffeoyl) in PSP anthocyanins only, made a large difference in the color expressed by their metal complexes. For instance, the Al",International journal of molecular sciences,"['D000215', 'D000535', 'D000872', 'D001937', 'D002614', 'D002851', 'D003116', 'D005505', 'D006863', 'D007477', 'D027723', 'D007501', 'D007700', 'D008670', 'D010636', 'D010860', 'D010936']","['Acylation', 'Aluminum', 'Anthocyanins', 'Brassica', 'Chelating Agents', 'Chromatography, High Pressure Liquid', 'Color', 'Food Coloring Agents', 'Hydrogen-Ion Concentration', 'Ions', 'Ipomoea batatas', 'Iron', 'Kinetics', 'Metals', 'Phenols', 'Pigments, Biological', 'Plant Extracts']",Acylated Anthocyanins from Red Cabbage and Purple Sweet Potato Can Bind Metal Ions and Produce Stable Blue Colors.,"[None, 'Q000737', 'Q000737', 'Q000737', 'Q000378', 'Q000379', None, None, None, 'Q000378', 'Q000737', 'Q000737', None, 'Q000378', 'Q000378', 'Q000737', 'Q000737']","[None, 'chemistry', 'chemistry', 'chemistry', 'metabolism', 'methods', None, None, None, 'metabolism', 'chemistry', 'chemistry', None, 'metabolism', 'metabolism', 'chemistry', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/33925312,2021
33431342,"Sweet potato shochu oil is one of the by-products of sweet potato shochu production. We investigated the functionality and industrial use of shochu oil as a food-derived raw material. Because of the increased incidence of self-consciousness in people owing to thinning hair, in this study, we examined the hair growth-inducing effects of shochu oil. Minoxidil, the only topical medication approved for hair growth treatment in Japan, was used as a control for the evaluation of hair growth-promoting activity of shochu oil. Human follicle dermal papilla cells treated with shochu oil showed upregulated expression of vascular endothelial growth factor in a concentration-dependent manner, indicating that shochu oil induced the activation of the hair growth cycle. In vivo, epidermal treatment with shochu oil also promoted hair growth in C3H mice. More than 35 components were detected in shochu oil via gas chromatography-mass spectrometry. The main components, accounting for 98.5% of shochu oil, were as follows, in order of decreasing concentration: ethyl palmitate, ethyl linoleate, ethyl oleate, ethyl stearate, ethyl caprate, ethyl laurate, ethyl myristate, and ethyl α-linolenate. Among these, ethyl palmitate, ethyl linoleate, and ethyl α-linolenate promoted hair growth in C3H mice. These results indicate that shochu oil can be used as a hair restorer. To the best of our knowledge, this study is the first to demonstrate the hair growth-promoting activity of shochu oil.",Journal of bioscience and bioengineering,"['D000818', 'D005285', 'D008401', 'D006197', 'D006801', 'D027723', 'D008297', 'D051379', 'D008809', 'D008875', 'D042461']","['Animals', 'Fermentation', 'Gas Chromatography-Mass Spectrometry', 'Hair', 'Humans', 'Ipomoea batatas', 'Male', 'Mice', 'Mice, Inbred C3H', 'Middle Aged', 'Vascular Endothelial Growth Factor A']",Hair growth-promoting activity of components derived from sweet potato shochu.,"[None, None, None, 'Q000187', None, 'Q000737', None, None, None, None, 'Q000378']","[None, None, None, 'drug effects', None, 'chemistry', None, None, None, None, 'metabolism']",https://www.ncbi.nlm.nih.gov/pubmed/33431342,2021
32947695,The purpose of this study was to reveal the absorption and interaction mechanisms of uranium (U) & cadmium (Cd) in corps. Purple sweet potato (Ipomoea batatas L.) was selected as the experimental material. The absorption behavior of U and Cd in this crop and the effects on mineral nutrition were analyzed in a pot experiment. The interactions between U and Cd in purple sweet potato were analyzed using UPLC-MS metabolome analysis. The pot experiment confirmed that the root tuber of the purple sweet potato had accumulated U (1.68-5.16 mg kg,Journal of hazardous materials,"['D002104', 'D002853', 'D027723', 'D053719', 'D014501']","['Cadmium', 'Chromatography, Liquid', 'Ipomoea batatas', 'Tandem Mass Spectrometry', 'Uranium']",Absorption and interaction mechanisms of uranium & cadmium in purple sweet potato(Ipomoea batatas L.).,"['Q000633', None, None, None, None]","['toxicity', None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/32947695,2021
32052705,"We compared inductively coupled plasma-mass spectrometry (ICP-MS) test results for the analysis of heavy metals (As, Ba, Cd, Hg, Pb, and Se) in pet foods and routine veterinary diagnostic specimens using intralaboratory and interlaboratory comparisons. Four laboratories, 1 principal laboratory and 3 collaborating laboratories, conducted instrument comparison (limit of detection [LOD], limit of quantification [LOQ], and linear dynamic range [LDR] on 24 data sets), in-house method comparison (accuracy and precision on 120 data sets), and interlaboratory comparison (reproducibility on 528 data sets using Horwitz equation analysis). Matrices tested included 2 types of pet food jerky treats (chicken and sweet potato), bovine blood, and bovine liver and kidney. The instrument comparison study confirmed that ICP-MS provided the sensitivity necessary for the analysis of all heavy metals tested at concentrations below the level of concern for routine diagnostic testing. The ""in-house"" method comparison samples, spiked at low (0.04 µg/g), medium (0.4 µg/g), and high (8.0 µg/g; note: the high validation level spike for mercury was 2 µg/g) concentration levels, indicated that ICP-MS can meet U.S. FDA acceptance criteria for both accuracy (90-105% recovery) and precision (< 6% coefficient of variation). The interlaboratory comparison studies showed that ICP-MS is a reproducible method for the analysis of heavy metals (HorRat value of 0.5-2.0) except for mercury in one laboratory, which used a different sample preparation method (open block rather than microwave digestion). Overall, our study showed that ICP-MS is a reproducible method for the analysis of heavy metals in spite of minor differences in methodology.","Journal of veterinary diagnostic investigation : official publication of the American Association of Veterinary Laboratory Diagnosticians, Inc","['D000821', 'D000818', 'D002417', 'D007668', 'D008099', 'D013058', 'D019216']","['Animal Feed', 'Animals', 'Cattle', 'Kidney', 'Liver', 'Mass Spectrometry', 'Metals, Heavy']",Interlaboratory comparison of heavy metal testing in animal diagnostic specimens and feed using inductively coupled plasma-mass spectrometry.,"['Q000032', None, 'Q000097', 'Q000737', 'Q000737', 'Q000662', 'Q000032']","['analysis', None, 'blood', 'chemistry', 'chemistry', 'veterinary', 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/32052705,2020
31213019,"Carotenoids and folate are two mandatory supplying micronutrients for children or pregnant women. Inadequate intake of these two nutrients was relevant to a higher mortality of both children and pregnancies. This study is intended to investigate the thermal impact on the changes of carotenoids and folate in sweet potato roots (SPRs). Carotenoids were identified by high performance liquid chromatography (HPLC) while the folate was estimated using a microbial assay. An obvious decline was observed in total carotenoids after heating. Nevertheless, the content of provitamin compound β-carotene exhibited incredible stability during steaming and α-carotene multiplied in certain varieties, evidencing that SPRs could be an efficient way for addressing Vitamin A deficiency (VAD). As for the total folate contents, two varieties were found no significant loss after thermal process while the others showed a significant decrease. The results indicated that steaming process led to generally loss of both carotenoids and folate while the α-carotene and β-carotene were well preserved. The information provided by this study might help with enhancing the food quality in processing industry and the understanding in the nutrition changes during steaming.","Foods (Basel, Switzerland)",[],[],Effect of Thermal Processing on Carotenoids and Folate Changes in Six Varieties of Sweet Potato (,[],[],https://www.ncbi.nlm.nih.gov/pubmed/31213019,2020
30842542,"Sweet potato (Ipomoea batatas L.) is the sixth most important food crop in the world. The industry discarded huge amount of sweet potato stems, rich of peroxidases and phenolics. A simple procedure was developed to make peroxidases and phenolics from sweet potato old stems. Dried stem powder was loaded into columns with water and eluted sequentially with water and 50% ethanol. Peroxidases (91%) were extracted in 5.5-fold water extracts and 87% phenolics were extracted in 4.4-fold ethanol extracts. Purified peroxidases powder was yielded at 3.1 g (8.6 unit/mg) per kilogram stems by PEG6000/Na",Scientific reports,"['D001426', 'D002851', 'D005511', 'D005615', 'D027723', 'D010544', 'D010636', 'D018547']","['Bacterial Proteins', 'Chromatography, High Pressure Liquid', 'Food Handling', 'Freezing', 'Ipomoea batatas', 'Peroxidases', 'Phenols', 'Plant Stems']",Preparation of peroxidase and phenolics using discarded sweet potato old stems.,"['Q000302', None, None, None, 'Q000378', 'Q000302', 'Q000302', 'Q000378']","['isolation & purification', None, None, None, 'metabolism', 'isolation & purification', 'isolation & purification', 'metabolism']",https://www.ncbi.nlm.nih.gov/pubmed/30842542,2020
