PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
34829641,"Culinary spices and herbs have been used to impart a characteristic flavour and aroma in food due to their appealing fragrance. Recently, bioactive compounds from herbs, especially phenolics, have gained much attention due to their potential health outcomes. The aim of this study was to characterize and quantify the phenolic compounds from 10 widely used Australian-grown herbs (oregano, rosemary, bay, basil, sage, fenugreek, dill, parsley, mint and thyme). For this purpose, liquid chromatography mass spectrometry (LC-MS) was used for the complete profiling of polyphenolic compounds and quantification of abundant phenolic compounds was completed with high-performance liquid chromatography-photodiode array detection (HPLC-PDA). Polyphenols from Australian-grown herbs were estimated through total phenolic content (TP), total flavonoids (TF) and total tannins (TT) along with their in-vitro antioxidant activities. Oregano and mint were estimated with the highest value of TP (140.59 ± 9.52 and 103.28 ± 8.08 mg GAE/g, milligram gallic acid equivalent/gram) while rosemary and mint had the highest TF (8.19 ± 0.74 and 7.05 ± 0.43 mg QE (quercetin equivalent)/g). In this study, eighty-four (84) phenolic compounds were screened and confirmed through LC-MS/MS by comparing their masses and fragmentation pattern with published libraries. The results of this study validate the use of these herbs as bioactives and their positive impact on human health.","Antioxidants (Basel, Switzerland)",[],[],LC-MS/MS-QTOF Screening and Identification of Phenolic Compounds from Australian Grown Herbs and Their Antioxidant Potential.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/34829641,2021
34753973,"Nine odorless laboratory-collected hydro-distilled aqueous extracts (basil, calendula, centrifuged oregano, corn silk, laurel, oregano, rosemary, spearmint, thyme) and one industrial steam-distilled oregano hydrolate acquired as by-products of essential oils purification were screened for their in vitro antimicrobial activity against three Salmonella Typhimurium strains (4/74, FS8, FS115) at 4 and 37 °C. Susceptibility to the extracts was mainly plant- and temperature-dependent, though strain dependent effects were also observed. Industrial oregano hydrolate eliminated strains immediately after inoculation, exhibiting the highest antimicrobial potential. Hydro-distilled extracts eliminated/reduced Salmonella levels during incubation at 4 °C. At 37 °C, oregano, centrifuged oregano, thyme, calendula and basil were bactericidal while spearmint, rosemary and corn silk bacteriostatic. A strain-dependent effect was observed for laurel. The individual or combined effect of marinades and edible coatings prepared of industrial hydrolate and hydro-distilled oregano extracts with or without oregano essential oil (OEO) was tested in pork meat at 4 °C inoculated with FS8 strain. Lower in situ activity was observed compared to in vitro assays. Marinades and edible coatings prepared of industrial oregano hydrolate + OEO were the most efficient in inhibiting pathogen. Marination in oregano extract and subsequent coating with either 50% oregano extract + OEO or water + OEO enhanced the performance of oregano extract. In conclusion, by-products of oregano essential oil purification may be promising alternative antimicrobials to pork meat stored under refrigeration when applied in the context of multiple hurdle approach.",Scientific reports,"['D000818', 'D000900', 'D002851', 'D015169', 'D059022', 'D008826', 'D010936', 'D000080305', 'D012486', 'D021241', 'D013552', 'D053719', 'D014867']","['Animals', 'Anti-Bacterial Agents', 'Chromatography, High Pressure Liquid', 'Colony Count, Microbial', 'Food Safety', 'Microbial Sensitivity Tests', 'Plant Extracts', 'Pork Meat', 'Salmonella typhimurium', 'Spectrometry, Mass, Electrospray Ionization', 'Swine', 'Tandem Mass Spectrometry', 'Water']",Evaluation of antimicrobial activities of plant aqueous extracts against Salmonella Typhimurium and their application to improve safety of pork meat.,"[None, 'Q000737', 'Q000379', None, None, None, 'Q000737', 'Q000382', 'Q000187', 'Q000379', None, 'Q000379', 'Q000737']","[None, 'chemistry', 'methods', None, None, None, 'chemistry', 'microbiology', 'drug effects', 'methods', None, 'methods', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/34753973,2022
34500670,"Essential oils (EOs) have promising antioxidant activities which are gaining interest as natural alternatives to synthetic antioxidants in the food and cosmetic industries. However, quantitative data on chain-breaking activity and on the kinetics of peroxyl radical trapping are missing. Five phenol-rich EOs were analyzed by GC-MS and studied by oxygen-uptake kinetics in inhibited controlled autoxidations of reference substrates (cumene and squalene). Terpene-rich ","Molecules (Basel, Switzerland)","['D000975', 'D002935', 'D008401', 'D009822', 'D031341', 'D010545', 'D010636']","['Antioxidants', 'Cinnamomum zeylanicum', 'Gas Chromatography-Mass Spectrometry', 'Oils, Volatile', 'Origanum', 'Peroxides', 'Phenols']",Absolute Antioxidant Activity of Five Phenol-Rich Essential Oils.,"['Q000737', 'Q000737', None, 'Q000737', 'Q000737', 'Q000737', 'Q000737']","['chemistry', 'chemistry', None, 'chemistry', 'chemistry', 'chemistry', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/34500670,2021
33805555,"The concentrations of 19 chemical elements have been determined in 36 honey samples of different botanical (wildflower, eucalyptus, eucalyptus red flowers, prickly pears, lemon blossom, thyme, almond, rosemary and jujube) honeys from the three geographical areas of Tunisia (Sidi Bouzid, Nabeul and Sfax) using inductively coupled plasma mass spectrometry (ICP-MS). The aim of this work was to use the multielement analysis together with chemometric tools to verify the botanical and the geographical origin of honeys. The correlation on the basis of mineral element content between the honey samples and their botanical and/or geographical origins was in some measure achieved. The data collected on the samples were also used to evaluate the nutritional quality and the potential health risks associated with elements via consumption of the Tunisian honey. According to the results obtained, the intake of essential elements was small, and the potential health risks associated with toxic or potentially toxic elements via consumption of this food were overall insignificant.","Foods (Basel, Switzerland)",[],[],Discrimination of Tunisian Honey by Mineral and Trace Element Chemometrics Profiling.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/33805555,2021
33671660,"The chemical composition and biological properties correlation in several medicinal and aromatic plants is still underexplored, especially in its most common form of consumption as tisane. The present study aims to characterize the organic acids and vitamin E composition of five tisanes and their extracts by High-Performance Liquid Chromatography coupled to a diode-array detector (HPLC-DAD) and HPLC coupled to a fluorescence detector techniques, respectively, and the phenolic composition by HPLC-DAD-ESI/MS (mass spectrometry by electrospray ionization). It also focuses on their bioactive properties, namely antioxidant, antimicrobial, anti-inflammatory, cytotoxic, anti-tyrosinase, and anti-diabetic activities. A Principal Component Analysis (PCA) was performed in order to understand the correlation between the chemical composition and bioactive properties of the tisanes. The tisane 5 (T5) composed by lemon thyme, tutsan, cloves, and cinnamon, was the most promising mixture, presenting the lowest values for the lipid peroxidation inhibition, anti-inflammatory, and anti-diabetic activity. It also presented the highest concentration of phenolic acids (caffeoylquinic acids derivatives), and flavan-3-ols (catechin derivatives). Only the dry plants presented tocopherols. For the antihemolytic, antimicrobial, and cytotoxic activity, T2 and T4 (with lemon thyme) were highlighted as the best herbal mixtures. The PCA proved to be a valid tool to select the most promising tisane according to the bioactivity. These results suggest that the studied tisanes can be source of high added-value bioactive compounds with health-promoting effects and potential for application in the food and nutraceutical industries, among others.","Foods (Basel, Switzerland)",[],[],Phytochemical Characterization and Evaluation of Bioactive Properties of Tisanes Prepared from Promising Medicinal and Aromatic Plants.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/33671660,2021
33241389,"Medicinal herbs are the ancient, traditional way of treating many diseases and are now considered the first natural source of pharmaceutical active ingredients. Therefore, it is very important to focus on the hygiene of these plants so as to make sure they are safe for consumption. This work aimed to monitor the common heavy and radioactive elements in some commonly used herbs: anise, chamomile, clover, cumin, coriander, fennel, roselle, rosemary, sage, and thyme. A total of 12 elements were measured including 2 radionuclides, Al, As, Cd, Hg, Co, Cr, Ni, Pb, Sr, Th, U, and V. Heavy metals are ecologically and biologically important, and may be involved in some health disorder symptoms within the human body. Samples were digested with a microwave digester and measurements were completed with ICP-MS/MS in Helium mode to increase sensitivity, lower the background, and avoid interferences. Method validation and verification were performed through the spiking process at 2.0 µg/kg level, and then RSD, LOD, and LOQ were calculated. Recoveries ranged from 93-103% for all elements and RSD% from 2.8-9.6%. Hg and Th were not detected in all samples, while U was detected in some sample of anise, rosemary, sage, and thyme, and ranged from 0.018-0.048 mg/kg. As was detected in anise, fennel, roselle, and rosemary, and ranged from 0.0.031-5.88 mg/kg. Al, Cd, Co, Cr, Ni, Pb, Sr, and V were detected in most samples of all herbs, and ranged from 3.88-17.80, 0.122-0.654, 0.019-0.851, 0.344-2.91, 1.872-5.82, 0.120-12.56, 0.128-0.844, and 0.083-0.912 mg/kg, respectively.",Journal of AOAC International,"['D006801', 'D008628', 'D019216', 'D010946', 'D011868', 'D053719']","['Humans', 'Mercury', 'Metals, Heavy', 'Plants, Medicinal', 'Radioisotopes', 'Tandem Mass Spectrometry']",Determination of Some Common Heavy Metals and Radionuclides in Some Medicinal Herbs Using ICP-MS/MS.,"[None, None, None, None, None, None]","[None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/33241389,2021
32763742,"This work has been aimed at studying the effect of red thyme oil (RTO, Thymus vulgaris L.) on the shelf-life and Penicillium decay of oranges during cold storage. RTO vapours significantly reduced (P ≤ 0.05) the percentage of infected wounds, the external growth area and the production of spores in inoculated orange fruit stored for 12 days at 7 °C in a polypropylene film selected for its appropriate permeability. Among the RTO compounds, p-cymene and thymol were the most abundant in packed boxes at the end of cold storage. The RTO vapours did not affect the main quality parameters of the oranges, or the taste and odour of the juice. The results have shown that an active packaging, using RTO vapours, could be employed, by the citrus industry, to extend the shelf-life of oranges for fresh market use and juice processing.",Food chemistry,"['D000975', 'D002957', 'D003080', 'D063427', 'D061353', 'D000067030', 'D008401', 'D006863', 'D009822', 'D010407', 'D046930']","['Antioxidants', 'Citrus', 'Cold Temperature', 'Food Quality', 'Food Storage', 'Fruit and Vegetable Juices', 'Gas Chromatography-Mass Spectrometry', 'Hydrogen-Ion Concentration', 'Oils, Volatile', 'Penicillium', 'Thymus Plant']","Effect of red thyme oil (Thymus vulgaris L.) vapours on fungal decay, quality parameters and shelf-life of oranges during cold storage.","['Q000737', 'Q000737', None, None, 'Q000379', 'Q000032', None, None, 'Q000032', 'Q000187', 'Q000378']","['chemistry', 'chemistry', None, None, 'methods', 'analysis', None, None, 'analysis', 'drug effects', 'metabolism']",https://www.ncbi.nlm.nih.gov/pubmed/32763742,2020
32020196,"Aedes aegypti L. (Diptera: Culicidae) is one of the most medically important mosquito species, due to its ability to spread viruses of yellow fever, dengue fever, and Zika in humans. In this study, the insecticidal activity of 17 plant essential oils was evaluated via topical application against two strains of Ae. aegypti mosquito, Orlando (insecticide-susceptible) and Puerto Rico (pyrethroid-resistant). Initial screens with the Orlando strain showed that cucumber seed oil (2017 sample) was the most toxic, followed by sandalwood and thyme oil. When the essential oils were mixed with permethrin, they failed to show any significant synergism of insecticidal activity. Sandalwood and thyme oils displayed consistently high mortality against the resistant Puerto Rico strain, with low resistance ratios of 2.1 and 1.4, respectively. In contrast, cucumber seed oil showed significantly less activity against Puerto Rico mosquitoes, with a resistance ratio of 45. Bioactivity-guided fractionation of the 2017 sample of cucumber seed oil sample via flash column chromatography produced 11 fractions, and gas-chromatography/mass spectrometry analysis revealed that the three active fractions were contaminated with 0.33, 0.36, and 0.33% of chlorpyrifos-methyl, an organophosphorus insecticide, whereas inactive fractions did not show any trace of it. These results suggested that the insecticidal activity of cucumber seed oil was probably due to the presence of the insecticide, later confirmed with a clean batch of cucumber seed oil obtained in 2018, which showed negligible insecticidal activity. These findings demonstrate clearly the need for essential oil analysis to confirm purity before any claims are made about pesticidal potency.",Journal of medical entomology,"['D000330', 'D000818', 'D005260', 'D007306', 'D000072138', 'D009822', 'D026023', 'D010574', 'D018675']","['Aedes', 'Animals', 'Female', 'Insecticides', 'Mosquito Vectors', 'Oils, Volatile', 'Permethrin', 'Pesticide Synergists', 'Toxicity Tests']",Screening for Enhancement of Permethrin Toxicity by Plant Essential Oils Against Adult Females of the Yellow Fever Mosquito (Diptera: Culicidae).,"[None, None, None, 'Q000032', None, 'Q000737', None, 'Q000032', None]","[None, None, None, 'analysis', None, 'chemistry', None, 'analysis', None]",https://www.ncbi.nlm.nih.gov/pubmed/32020196,2021
31927601,Deep eutectic solvents (DESs) were investigated as extracting solvent for headspace single-drop microextraction (HS-SDME). The extraction efficiency of 10 DESs mainly composed of tetrabutylammonium bromide (N,Analytical and bioanalytical chemistry,"['D002935', 'D028527', 'D030001', 'D008401', 'D059627', 'D026323', 'D010936', 'D012997', 'D017365', 'D027842', 'D013729', 'D046930']","['Cinnamomum zeylanicum', 'Cuminum', 'Foeniculum', 'Gas Chromatography-Mass Spectrometry', 'Liquid Phase Microextraction', 'Myristica', 'Plant Extracts', 'Solvents', 'Spices', 'Syzygium', 'Terpenes', 'Thymus Plant']",Deep eutectic solvent-based headspace single-drop microextraction for the quantification of terpenes in spices.,"['Q000737', 'Q000737', 'Q000737', 'Q000379', 'Q000379', 'Q000737', 'Q000737', 'Q000737', 'Q000032', 'Q000737', 'Q000032', 'Q000737']","['chemistry', 'chemistry', 'chemistry', 'methods', 'methods', 'chemistry', 'chemistry', 'chemistry', 'analysis', 'chemistry', 'analysis', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/31927601,2020
31923867,"Element contents in different types of spices and aromatic herbs collected from Italy and Tunisia were evaluated. The aim was to evaluate: the possible differences and/or similarities among the analyzed samples; if it is possible related the samples to their geographical origins; the nutritional quality and the potential health risks. Potassium, Ca, Mg and Ni were low in laurel and rosemary; mint and thyme showed the highest Na and the lowest Se contents; arsenic and Cd levels were found highest in verbena which had also the lowest Hg content; lastly, black pepper had the highest Mn and the lowest Pb contents. Instead discrimination between Italian and Tunisian samples for each spices and aromatic herbs under analysis was achieved by PCA. Essential elements intake through samples was small. Levels of Pb in some samples exceed the maximum allowable level, but any safety risk for consumers is excluded.",Food chemistry,"['D013058', 'D015999', 'D025341', 'D027542', 'D012802', 'D017365', 'D046930', 'D014131', 'D014416', 'D032412']","['Mass Spectrometry', 'Multivariate Analysis', 'Principal Component Analysis', 'Rosmarinus', 'Sicily', 'Spices', 'Thymus Plant', 'Trace Elements', 'Tunisia', 'Verbena']","Major, minor and trace element concentrations in spices and aromatic herbs from Sicily (Italy) and Mahdia (Tunisia) by ICP-MS and multivariate analysis.","[None, None, None, 'Q000737', None, 'Q000032', 'Q000737', 'Q000032', None, 'Q000737']","[None, None, None, 'chemistry', None, 'analysis', 'chemistry', 'analysis', None, 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/31923867,2020
