PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
35382700,"This study aimed to assess the levels of selected pesticides residues in harvested tomatoes and their associated dietary risks to consumers at Makambako Town in Njombe region, Tanzania. Forty-two fresh tomatoes were sampled among tomato farmers during harvesting season and extraction of analytes was done using QuEChERS method and analysed by Gas Chromatography-Mass Spectrometer. Residues of chlorpyrifos, profenofos, gamma cyhalothrin and cypermethrin were alternatingly detected in 78.51% of samples. The average concentrations of residues were 0.014, 0.056, 0.003 and 0.2 mg/kg for chlorpyrifos, profenofos, gamma cyhalothrin and cypermethrin and were all below their respective Codex MRLs. The highest concentration was 0.718 mg/kg for cypermethrin, above the Codex MRL of 0.2 mg/kg. The hazard indexes indicate no potential health hazards to the general population due to the lifetime consumption of fresh tomatoes from the study area. Periodic monitoring of residue levels of pesticides in vegetable fruits, including tomatoes, is recommended.","Food additives & contaminants. Part B, Surveillance",[],[],"Dietary risk assessment of selected organophosphoris and pyrethoid pesticide residues in fresh harvested tomatoes at Makambako Town, Njombe region, Tanzania.",[],[],https://www.ncbi.nlm.nih.gov/pubmed/35382700,2022
35347716,"Fermentation of eight vegetables was studied as an alternative for reclamation of surplus volumes. Fermentation performance was predicted by comparing the amounts of acid that could be produced from the intrinsic sugar content with that buffered by the fresh vegetable matrices prior to reaching an inhibitory pH for fermentative microbes (3.30). Native fermentations were brined with 345.0 mM sodium chloride, 40.0 mM calcium chloride, 6.0 mM potassium sorbate, and vinegar to adjust the initial pH to 4.70. High-performance liquid chromatography analysis, pH, and carbon dioxide measurements and spiral plating on selective media were employed to monitor the progress of fermentations. The average colony counts for yeast and/or molds and Enterobacteriaceae declined to undetectable levels from 3.6 ± 1.5 log CFU/ml within 7 days of fermentation. The fermentation of sugars produced lactic, acetic, succinic, and/or malic acids, and ethanol. As predicted, the fermentation of vegetables with low sugar content, such as broccoli, green leaf lettuce, and green pea proceeded to completion. The fermentation of vegetables with a moderate sugar content, such as green bell pepper, red ripened tomato, and green bean were incomplete at pH 3.1 ± 0.2. The fermentation of high sugar vegetables including sweet potato and corn were expected and observed to be incomplete. It is concluded that the intrinsic sugar content and buffer capacity of surplus vegetables are relevant parameters in obtaining complete fermentations. PRACTICAL APPLICATION: Vegetables are the second most wasted commodity in the United States and a substantial constituent of the global food waste. Development of fermentation to reclaim surplus vegetables from farms, grocery stores, and farmer's markets offers opportunities to ameliorate economic losses and environmental impact and add value to waste. The research described here suggests that a fraction of vegetables could be fermented in cover brines while others, with high sugar content, need specialized handling. Evidently, optimization of vegetable fermentation with starter cultures and added buffers represent an opportunity to stimulate complete bioconversions useful for reclaiming surplus volumes.",Journal of food science,[],[],Vegetable fermentations brined with low salt for reclaiming food waste.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35347716,2022
35325205,"Nucleus-encoded circular RNAs (ncircRNAs) have been widely detected in eukaryotes, and most circRNA identification algorithms are designed to identify them. However, using these algorithms, few mitochondrion-encoded circRNAs (mcircRNAs) have been identified in plants, and the role of plant mcircRNAs has not yet been addressed. Here, we developed a circRNA identification algorithm, mitochondrion-encoded circRNA identifier (MeCi), based on common features of plant mitochondrial genomes. We identified 7,524, 9,819, 1,699, 1,821, 1,809, and 5,133 mcircRNAs in maize (Zea mays), Arabidopsis (Arabidopsis thaliana), rice (Oryza sativa), tomato (Solanum lycopersicum), cucumber (Cucumis sativus), and grape (Vitis vinifera), respectively. These mcircRNAs were experimentally validated. Plant mcircRNAs had distinct characteristics from ncircRNAs, and they were more likely to be derived from RNA degradation but not intron backsplicing. Alternative circularization was prevalent in plant mitochondria, and most parental genomic regions hosted multiple mcircRNA isoforms, which have homogenous 5' termini but heterogeneous 3' ends. By analysis of mitopolysome and mitoribosome profiling data, 1,463 mcircRNAs bound to ribosomes were detected in maize and Arabidopsis. Further analysis of mass spectrometry-based proteomics data identified 358 mcircRNA-derived polypeptides. Overall, we developed a computational pipeline that efficiently identifies plant mcircRNAs, and we demonstrated mcircRNAs are widespread and translated in plants.",Plant physiology,[],[],Mitochondrion-encoded circular RNAs are widespread and translatable in plants.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35325205,2022
35304759,"Pesticide residue in food commodities is a serious concern in relation to consumer safety and also the most significant barrier in the trade of food commodities. The dissipation pattern of four insecticides, namely novaluron, λ-cyhalothrin, imidacloprid, and fenazaquin, was evaluated on tomato fruits and cropped soil. The residues were extracted using the QuEChERS analytical method and quantized using a gas chromatograph with electron capture detector, gas chromatograph mass spectrometer, and high-performance liquid chromatography with photo diode array detector. The analytical method was validated using parameters like recovery, linearity, accuracy, matrix effect, and specificity, with limit of detection and limit of quantitation established to be 0.01 and 0.05 mg/kg, respectively, for all the pesticides. The average initial deposits (samples collected after 2 h of application) at the recommended dose of novaluron, λ-cyhalothrin, imidacloprid, and fenazaquin were 0.593, 0.293, 0.227, and 0.431 mg/kg on tomato fruits, respectively, and were below the limit of quantification in soil. The pre-harvest interval of 17, 8, 1, and 13 days was suggested for novaluron, λ-cyhalothrin, imidacloprid, and fenazaquin on tomato, respectively. Risk assessment studies revealed that all pesticides under study are safe and do not pose any threat to humans as theoretical maximum dietary intake is less than the maximum permissible intake and acceptable daily intake.",Biomedical chromatography : BMC,[],[],Dissipation pattern and dietary risk assessment of some commonly used insecticides on tomato (Solanum lycopersicum L.).,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35304759,2022
35292709,"Diet based on cereal, vegetables, oleaginous and dried fish are providing essential metallic elements. It can be also a source of exposure to toxic metallic elements. The aims of this study were to evaluate the contents on nine metallic trace elements (Fe, Zn, Mn, Co, Cd, Pb, Cu, Ni, Cr) in some major raw foodstuffs including rice, maize, peanut, tomato and dried fish in Burkina Faso and assess the health risk of these elements. Two hundred twenty-two samples were collected and analyzed by atomic absorption spectrometry. The health risk assessment was based on the United States Environment Protection Agency (USEPA) model. Iron and Zinc were the elements with the highest concentrations in the investigated foodstuffs. The iron highest median value (68.80 mg/kg) was observed in dried fish followed by maize (43.09 mg/kg) and peanuts (28.92 mg/kg). Rates of 77.95%, 66.66% and 32.5% obtained respectively fro tomato, maize and rice samples were above the maximum limit of lead set by Codex Alimentarius while 47.6%, 71.16% and 0% of maize, tomato and rice samples respectively have shown concentration above the maximum limit of cadmium. Chromium had shown higher contribution rate to the maximum daily intake of 167.11%, 34%, 2% and 8.53% for rice, maize and peanut respectively. A non-cancer risk situation has been observed on rice, maize and peanut consumption. None of the index risk values was above the threshold set by USEPA.",Scientific reports,[],[],Evaluation of metallic trace elements contents in some major raw foodstuffs in Burkina Faso and health risk assessment.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35292709,2022
35243353,"Flubendiamide (FBD) is the first commercially available phthalic acid diamide that targets ryanodine receptors (RyRs) in insects, which play a major role in lepidoptera control. However, excessive use of FBD can influence the quality of treated products leading to toxic effects on human health. The availability of rapid and convenient methods for evaluating FBD amount in the environment is necessary. Therefore, analytical methods were developed for the determination of residues of FBD and its metabolite desiodo in different food matrices like tomato, cabbage, pigeon pea, apple, chilli and rice. The current review carries forward methods for FBD residues analysis in foods by using several chromatographic techniques including sample preparation steps. The comparison between the different methods employed for quantitative and qualitative analysis of food quality and safety is also discussed. Liquid chromatography (LC) is the predominant analytical method for assessing the quality of foods treated with FBD. Studies related to LC coupled multichannel detector (Ultraviolet (UV), Mass spectrometry (MS)) are also applied to detect pesticide residues. Extraction and clean up steps are essential to obtain reliable results. Moreover, this review reports the allowed limits of residues for the safety of consuming products treated with FBD.",Current research in food science,[],[],Extraction and determination of flubendiamide insecticide in food samples: A review.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35243353,2022
35137245,"This study developed a quick, easy, cheap, effective, rugged, and safe (QuEChERS) procedure for determining seven pyrethroid pesticide residues in tea, cucumber, and tomato via high-performance liquid chromatography-tandem mass spectrometry (HPLC-MS/MS). The overall average recoveries of the seven pyrethroids were 72%-104% (relative standard deviation (RSD); 2.0%-16.1%, 89%-109% (RSD; 0.7%-17.3%), 82%-110% (RSD; 1.6%-17.1%) for tea, cucumber and tomato, respectively. The determination coefficient (R",Bulletin of environmental contamination and toxicology,"['D002851', 'D005506', 'D007306', 'D057230', 'D010573', 'D011722', 'D053719', 'D013662', 'D014675']","['Chromatography, High Pressure Liquid', 'Food Contamination', 'Insecticides', 'Limit of Detection', 'Pesticide Residues', 'Pyrethrins', 'Tandem Mass Spectrometry', 'Tea', 'Vegetables']",Method Development and Validation of Seven Pyrethroid Insecticides in Tea and Vegetable by Modified QuEChERS and HPLC-MS/MS.,"['Q000379', 'Q000032', 'Q000032', None, 'Q000032', 'Q000032', 'Q000379', 'Q000737', 'Q000737']","['methods', 'analysis', 'analysis', None, 'analysis', 'analysis', 'methods', 'chemistry', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/35137245,2022
35101791,"In this proof-of-concept study, we explore the detection of pesticides in food using a combined power of sensitive UV-induced fingerprint spectroscopy with selective capture by molecularly imprinted polymers (MIPs) and portable cost-effective paper-based analytical devices (PADs). The specific pesticides used herein as model compounds (both pure substances and their application products for spraying), were: strobilurins (i.e. trifloxystrobin), urea pesticides (rimsulfuron), pyrethroids (cypermethrine) and aryloxyphenoxyproponic acid herbicides (Haloxyfop-methyl). Commercially available spraying formulations containing the selected pesticides were positively identified by MIP-PADs swabs of sprayed apple and tomato. The key properties of MIP layer - imprinting factor (IF) and selectivity factor (α) were characterized using trifloxystrobin (IF-3.5, α-4.4) was demonstrated as a potential option for in-field application. The presented method may provide effective help with in-field testing of food and reveal problems such as false product labelling.",Food chemistry,"['D054802', 'D000082582', 'D010575', 'D013050']","['Molecular Imprinting', 'Molecularly Imprinted Polymers', 'Pesticides', 'Spectrometry, Fluorescence']",Detection of pesticides in food products using paper-based devices by UV-induced fluorescence spectroscopy combined with molecularly imprinted polymers.,"[None, None, 'Q000032', None]","[None, None, 'analysis', None]",https://www.ncbi.nlm.nih.gov/pubmed/35101791,2022
35065500,"Oxadixyl is a systemic phenylamide fungicide, used to prevent and control disease caused by phytophthora and downy mildew in a variety of cash crops. In this study, a hapten of oxadixyl was designed and used to prepare a highly specific and sensitive anti-oxadixyl monoclonal antibody (mAb) with a 50% inhibition concentration of 3.68 ng/mL. An immunochromatographic assay (ICA) was developed for screening of oxadixyl residues in cucumber, tomato and wine. The ICA strip provided a visible limit of detection (vLOD) of 1 ng/g and a cut-off value of 20 ng/g in cucumbers and tomatoes and displayed a vLOD of 5 ng/mL and a cut-off value of 100 ng/mL in wine. The calculated limit of detection (cLOD) values of the ICA were 1.45 and 0.55 ng/g for cucumbers and tomatoes and 2.11 ng/mL for wine. The ICA gave recovery rates of 95.4-106.0% for cucumber samples, 96.4-99.5% for tomato samples and 93.0-97.4% for wine samples. Moreover, the test results provided by the ICA were highly consistent with those of LC/MS. These results and data indicated that the ICA was an effective and practical method for rapid and high-throughput detection of oxadixyl residues in cucumber, tomato, wine and other food samples.",Food chemistry,"['D000081', 'D002846', 'D018553', 'D007118', 'D057230', 'D018551', 'D010080', 'D014920']","['Acetamides', 'Chromatography, Affinity', 'Cucumis sativus', 'Immunoassay', 'Limit of Detection', 'Lycopersicon esculentum', 'Oxazoles', 'Wine']","An immunochromatographic assay for the rapid detection of oxadixyl in cucumber, tomato and wine samples.","[None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/35065500,2022
35032801,"The formation of the molecule 4,5-dihydroxy-2-cyclopenten-1-one (DHCP) from the thermal treatment of pectin-containing foods was investigated in small-scale laboratory preparation of sterilized vegetable puree (carrot, zucchini and tomato) and fruit puree (peach and mixture of pear and apple) and in commercial baby foods. DHCP attracts attention due to its cytotoxicity as well as potential antiviral and anti-inflammatory effects. However, its effects and the difficulty of its identification in food are mediated in part by the formation of Michael adducts of DHCP with amino acids. The results revealed that DHCP reacted efficiently with cysteine and glutathione, and to a lesser extent with histidine. Mass spectrometry analysis confirmed the formation of adducts of DHCP with amino acids in a model system, being in a real food system difficult to investigate. However, these formed adducts are of potential interest, although it is not known whether they are safe, bioactive or reversible.",Food chemistry,"['D000596', 'D003517', 'D005638', 'D007225', 'D014675']","['Amino Acids', 'Cyclopentanes', 'Fruit', 'Infant Food', 'Vegetables']",Formation of a bioactive cyclopentenone and its adducts with amino acids in sterilized-fruits and - vegetables baby foods.,"[None, None, None, None, None]","[None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/35032801,2022
