PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
35314979,"Carnosine is a naturally occurring dipeptide and a functional component in foods, while also showing health-promoting effects. Generally, food-derived carnosine is quantified via high-performance liquid chromatography (HPLC). We have developed a method for quantifying carnosine in foods using microbial enzymes, β-Ala-Xaa dipeptidase (BapA) and histidine ammonia-lyase (HAL). The carnosine concentrations in extracts of chicken, pork, beef, bonito, and tuna were determined via both HPLC and enzymatic determination. The carnosine contents measured via enzymatic determination were in agreement with those determined via conventional HPLC analysis. Relative standard-deviation values of the conventional HPLC method and the enzymatic determination of carnosine in foods were 0.728-5.76% and 0.504-4.58%, respectively. The recovery of carnosine in food extracts via enzymatic determination was 97-103%. Therefore, the developed enzymatic determination technique using BapA and HAL can be used for the determination of carnosine in meats and fishes with comparable accuracy to that of conventional HPLC analysis.",Analytical sciences : the international journal of the Japan Society for Analytical Chemistry,"['D000818', 'D002336', 'D002417', 'D004150', 'D005399', 'D006638', 'D008460', 'D016958']","['Animals', 'Carnosine', 'Cattle', 'Dipeptidases', 'Fishes', 'Histidine Ammonia-Lyase', 'Meat', 'Pseudomonas putida']",Enzymatic determination of carnosine in meat and fish using β-Ala-Xaa dipeptidase and histidine ammonia-lyase derived from Pseudomonas putida NBRC100650.,"[None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/35314979,2022
35305432,"A sensitive method based on ultrasound-assisted liquid extraction coupled with liquid chromatography was applied to screen 18 plastic-related contaminants in 168 food composites (namely fish fillets, chicken breast, canned tuna, leafy vegetables, bread and butter) collected in Montreal (Canada), Pretoria and Vhembe (South Africa). Bisphenol A (BPA), bisphenol S (BPS) and seven plasticizers (di-n-butyl phthalate (DBP), diethyl phthalate (DEP), (2-ethylhexyl) phthalate (DEHP), di-(2-ethylhexyl) adipate (DEHA), di-isononyl phthalate (DINP), di-(isononyl)-cyclohexane-1,2-dicarboxylate (DINCH)) were detected in different foods from both countries. DBP and DEP were the most frequently detected contaminants in food collected in Montreal (75% for both) and DINP was the most frequently detected contaminant in food from South Africa (67%). DEHA concentration in packaged fish were significantly higher than the values for non-packaged fish (p < 0.01) suggesting that the packaging film can be one source of DEHA in fish.",Food chemistry,[],[],Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35305432,2022
35168046,"Plasmalogens are functional and oxidation-sensitive phospholipids abundant in fish. Chilling and freezing are common storage methods for maintaining the quality of fish, but their effect on plasmalogen preservation has not been studied. Therefore, plasmalogen loss in ready-to-eat tuna meat during storage under different conditions was investigated. LC/MS was used to analyze the time- and temperature-dependent changes of plasmalogens, which was the most evident for the species with an ethanolamine headgroup and polyunsaturated fatty acyl chains. Moreover, a series of oxidized plasmalogen molecules were identified, and their storage-induced accumulation was observed. Plasmalogen loss was strongly correlated with total lipid oxidation and phospholipid degradation. Repeated freeze-thaw cycles were found to accelerate the loss of plasmalogens, whereas the different thawing methods did not. The present study provides a deeper understanding of changes in lipid nutrients from fish meat during storage and demonstrates the importance of using advanced strategies to maintain food quality.",Food chemistry,"['D000818', 'D002853', 'D008460', 'D010955', 'D053719', 'D014413']","['Animals', 'Chromatography, Liquid', 'Meat', 'Plasmalogens', 'Tandem Mass Spectrometry', 'Tuna']",LC/MS analysis of storage-induced plasmalogen loss in ready-to-eat fish.,"[None, None, None, None, None, 'Q000378']","[None, None, None, None, None, 'metabolism']",https://www.ncbi.nlm.nih.gov/pubmed/35168046,2022
34736659,"Distribution of Se and Hg in sarcoplasmic, myofibrillar and alkali-soluble protein fractions extracted from muscle tissue of tuna, swordfish and salmon (wild vs. farmed) is investigated for the first time. SEC-UV-ICP-MS analyses revealed that Se and Hg are mostly bound to proteins of 2-12 kDa and up to 574 kDa, respectively. Moreover, Se and Hg appeared associated to proteins of same molecular weight, evidencing that Se-Hg interaction may occur at the level of the fish tissue evaluated. Important differences were found between farmed and wild salmon, suggesting the effect of the type of feed and growing conditions on Se and Hg content and their distribution through protein fractions. Finally, Se speciation studies performed by HPLC-ICP-MS and confirmed by HPLC-ESI-MS/MS showed SeMeSeCys as the only Se specie found in soluble, sarcoplasmic, myofibrillar and alkali-soluble proteins of all fishes analysed, except in soluble proteins extracted from tuna, where SeMet was also identified.",Talanta,"['D000818', 'D002851', 'D005399', 'D008628', 'D009132', 'D012643', 'D053719', 'D014413']","['Animals', 'Chromatography, High Pressure Liquid', 'Fishes', 'Mercury', 'Muscles', 'Selenium', 'Tandem Mass Spectrometry', 'Tuna']",Analysis of Se and Hg biomolecules distribution and Se speciation in poorly studied protein fractions of muscle tissues of highly consumed fishes by SEC-UV-ICP-MS and HPLC-ESI-MS/MS.,"[None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34736659,2021
34435208,"Additional occurrence data are needed to better understand human exposure to per- and poly-fluoroalkyl substances (PFAS) from commercially available foods in the United States. The Food and Drug Administration's (FDA) Total Diet Study (TDS) collects foods that are both nationally and regionally distributed. In 2018, 172 processed foods were collected from grocery stores around Lenexa, KS, as part of the TDS national collection. A previously developed method for the analysis of PFAS in foods as part of the TDS regional collection was modified and optimized for these samples. This method was single lab validated using 5 different matrices and method detection limits were calculated. During the analysis of these samples, challenges arose with method blanks and further investigation into statistical methods to distinguish between blank and sample concentrations were done. The confirmation of two short chain PFAS, perfluorobutanoic acid (PFBA) and perfluoropentanoic acid (PFPeA), was not possible using triple quadrupole mass spectrometry and a confirmation method was developed using high-resolution mass spectrometry. This technique was also used to investigate potential detections and interferents that fell within the retention time criteria for positive detections. In the national collection, positive detections of perfluorooctanesulfonic acid (PFOS) and perfluorononanoic acid (PFNA) were found in frozen fish sticks/patties, PFOS and perfluorodecanoic acid (PFDA) in canned tuna, and PFOS in protein powder. Concentrations were all below 150 ppt, and no other detects were confirmed above the method detection limits in any other foods.",Analytical and bioanalytical chemistry,"['D017738', 'D000818', 'D003652', 'D004032', 'D004785', 'D005227', 'D005399', 'D005466', 'D005506', 'D006801', 'D017747', 'D014481', 'D014486']","['Alkanesulfonic Acids', 'Animals', 'Decanoic Acids', 'Diet', 'Environmental Pollutants', 'Fatty Acids', 'Fishes', 'Fluorocarbons', 'Food Contamination', 'Humans', 'Seafood', 'United States', 'United States Food and Drug Administration']",Analysis of per- and poly-fluoroalkyl substances (PFAS) in processed foods from FDA's Total Diet Study.,"['Q000032', None, 'Q000032', None, 'Q000032', 'Q000032', None, 'Q000032', 'Q000032', None, 'Q000032', None, None]","['analysis', None, 'analysis', None, 'analysis', 'analysis', None, 'analysis', 'analysis', None, 'analysis', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34435208,2022
34153828,"A mild-flavored soup stock made from katsuobushi is an important element of traditional Japanese cuisine and is the basic seasoning responsible for the taste. Fermented and ripened katsuobushi, known as karebushi, is manufactured by simmering skipjack tuna that is then smoke-dried, fermented, and ripened in a repeated molding process by five dominant Aspergillus species. Here, our aim was to characterize and identify the lipolytic enzymes secreted by the dominant Aspergillus species, especially A. chevalieri and A. pseudoglaucus, which are involved in hydrolyzing lipids during the molding process. The crude enzyme preparations from the five Aspergillus spp. cultivated on katsuobushi solid medium hydrolyzed triglycerides in fish oil, and more saturated and unsaturated fatty acids (C16:0, C16:1, C18:0, C18:1) were produced than major polyunsaturated fatty acids (C20:5, C22:6). On the basis of ion exchange chromatograms, the composition of the lipolytic enzymes was different in the five species. There was at least one active fraction with high hydrolytic activity toward fish oil in four of the Aspergillus spp., but not A. sydowii; the lipolytic enzyme secreted by A. sydowii had quite high activity toward the artificial substrate p-nitrophenyl butyrate, but low activity toward the natural oil. The lipolytic fractions from A. chevalieri and A. pseudoglaucus were further purified by hydrophobic interaction chromatography then gel-filtration chromatography; LC-MS-MS Mascot analysis identified a variety of lipolytic enzymes, including cutinase, esterase, phospholipase, and carboxyl esterase in the lipolytic fractions from these species. The identified enzymes had 30%-70% identity to previously reported or manually annotated lipases or esterases from taxa other than Aspergillus. The different lipolytic enzymes likely acted on triglycerides in the katsuobushi fish oil. Furthermore, catalase B and Cu/Zn superoxide dismutase, which limit oxidative damage of lipids, were also identified. These antioxidant enzymes may prevent lipid oxidation and rancidity as the lipolytic enzymes hydrolyze lipids during the long fermentation and ripening process. Umami and richness tastes tended to increase in extracts from culture of protease- and peptidase-producing A. sydowii. Our results will aid in the selection and application of desirable strains of Aspergillus species as starter cultures to improve the storage and quality of fermented and ripened karebushi.",International journal of food microbiology,"['D000818', 'D000975', 'D001230', 'D005285', 'D005516', 'D050356', 'D008066', 'D014413']","['Animals', 'Antioxidants', 'Aspergillus', 'Fermentation', 'Food Microbiology', 'Lipid Metabolism', 'Lipolysis', 'Tuna']",Identification and characterization of extracellular enzymes secreted by Aspergillus spp. involved in lipolysis and lipid-antioxidation during katsuobushi fermentation and ripening.,"[None, None, 'Q000201', None, None, None, None, 'Q000378']","[None, None, 'enzymology', None, None, None, None, 'metabolism']",https://www.ncbi.nlm.nih.gov/pubmed/34153828,2021
33718543,"The safety of food is a matter of global concern today. Continuous monitoring of canned tuna and canned sardines quality is essential regarding metal, nonmetal, and metalloid content. In this article, we present the data on the elemental content obtained in canned tuna and canned sardines by using inductively coupled plasma optical spectrometry (ICP OES), as well as the data on Pollution Index (PI) and Health Risk Index (HRI). Pollution index and health risk index are tools used to assess elemental contamination in the environment and food. A total of 6 metals (Al, Ba, Ca, Cu, Fe, and Zn), one nonmetal (Se), and one metalloid (As) were quantified in the samples of the canned tuna and canned sardines. For elements as Al, Cu, Fe, and Se, PI > 1. In addition, Cd, Co, Cr, Ni, Zn, and Pb have PI values less than 1. The HRI values for some canned tuna samples were above 1 for elements such as Al, Ba, Ca, and As. For canned sardines, the elements Cr, Ni, and As showed HRI values >1.",Data in brief,[],[],"Data on metals, nonmetal, and metalloid in the samples of the canned tuna and canned sardines sold in Brazil.",[],[],https://www.ncbi.nlm.nih.gov/pubmed/33718543,2021
33667084,"Arsenolipids are a class of lipid-soluble arsenic species. They are present in seafoods and show high potentials of cytotoxicity and neurotoxicity. Hindered by traditional low-throughput analytical techniques, the characterization of arsenolipids is far from complete. Here, we report on a sensitive and high-throughput screening method for arsenolipids in krill oil, tuna fillets, hairtail heads, and kelp. We demonstrate the detection and identification of 23 arsenolipids, including novel arsenic-containing fatty acids (AsFAs), hydroxylated AsFAs, arsenic-containing hydrocarbons (AsHCs), hydroxylated AsHCs, thiolated trimethylarsinic acids, and arsenic-containing lysophosphatidylcholines not previously reported. The new method incorporated precursor ion scan (PIS) into data-independent acquisition. High-performance liquid chromatography (HPLC) electrospray ionization quadrupole time-of-flight mass spectrometry (ESI-qToF-MS) was used to perform the sequential window acquisition of all theoretical spectra (SWATH). Comprehensive HPLC-MS and MS/MS data were further processed using a fragment-guided chromatographic computational program ",Environmental science & technology,"['D001151', 'D002851', 'D005227', 'D008055', 'D021241', 'D053719']","['Arsenic', 'Chromatography, High Pressure Liquid', 'Fatty Acids', 'Lipids', 'Spectrometry, Mass, Electrospray Ionization', 'Tandem Mass Spectrometry']",Discovery and Identification of Arsenolipids Using a Precursor-Finder Strategy and Data-Independent Mass Spectrometry.,"[None, None, None, None, None, None]","[None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/33667084,2021
33297103,"Fish consumption is one of the major ways through which humans receive exposure to mercury (Hg). The existing forms of Hg in food, particularly Hg bound to proteins, may affect the absorption of Hg by humans and subsequently its potentially toxic effects. However, the knowledge regarding Hg-binding proteins in edible fish muscle is scarce. In the present study, salmon and tuna fish muscles, collected from seven different regions and countries, were analyzed using metallomics- and proteomics-based techniques. The concentration of Hg in sashimi samples ranged from 4.4 to 317.4 ng/g. Size exclusion chromatography (SEC) coupled with inductively coupled plasma mass spectrometer (ICP-MS) showed that beta-actin was a novel Hg-binding protein from the fish muscles, and this protein could also bind bismuth (Bi), silver (Ag), and copper (Cu). Hg bound to beta-actin accounted for approximately 30.2-37.6% of the total Hg in the tuna muscles and was significantly correlated to total Hg in the fish muscles (r = 0.98, p < 0.01) and in the fraction of soluble proteins (r = 0.94, p < 0.01). These findings suggest that proteins act as the main Hg accumulation sites in edible fish; thus, increasing human exposure to Hg following gastrointestinal digestion.",Chemosphere,"['D000818', 'D002352', 'D005506', 'D006801', 'D008628', 'D012474', 'D017747', 'D014413']","['Animals', 'Carrier Proteins', 'Food Contamination', 'Humans', 'Mercury', 'Salmon', 'Seafood', 'Tuna']",Characterization of the mercury-binding proteins in tuna and salmon sashimi: Implications for health risk of mercury in food.,"[None, None, 'Q000032', None, 'Q000032', None, 'Q000032', None]","[None, None, 'analysis', None, 'analysis', None, 'analysis', None]",https://www.ncbi.nlm.nih.gov/pubmed/33297103,2020
33135171,"The present study investigated Pb, Cd and As concentrations in canned tuna, tuna steak, rainbow trout, smoked mackerel, and Baltic and Atlantic cod, as well as Atlantic salmon. The aim was to spot check the quality of the most commonly purchased types of fish that are available for sale in most common supermarket chains throughout the Poland, as well as to determine potentially less contaminated sources of fish available for retail. A dry ashing digestion protocol followed by inductively coupled plasma mass spectrometry analysis was employed to achieve a better recover of heavy metals and As from fish muscle tissues.",Journal of the science of food and agriculture,"['D000818', 'D001151', 'D002104', 'D003257', 'D000074341', 'D005060', 'D005399', 'D005506', 'D006801', 'D019216', 'D011044', 'D017747', 'D000085943', 'D014874']","['Animals', 'Arsenic', 'Cadmium', 'Consumer Product Safety', 'Dietary Exposure', 'Europe', 'Fishes', 'Food Contamination', 'Humans', 'Metals, Heavy', 'Poland', 'Seafood', 'Supermarkets', 'Water Pollutants, Chemical']",Content of toxic metals and As in marine and freshwater fish species available for sale in EU supermarkets and health risk associated with its consumption.,"[None, 'Q000032', 'Q000032', None, 'Q000032', None, 'Q000145', 'Q000032', None, 'Q000032', None, 'Q000032', None, 'Q000032']","[None, 'analysis', 'analysis', None, 'analysis', None, 'classification', 'analysis', None, 'analysis', None, 'analysis', None, 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/33135171,2021
