PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
35030475,"The objective of this work was to develop a quantitative multi-residue method for analysing antiviral drug residues and their metabolites in poultry meat samples. Antiviral drugs are not licensed for the treatment of influenza in food producing animals. However, there have been some reports indicating their illegal use in poultry. In this study, a method was developed for the analysis of 15 antiviral drug residues in poultry muscle (chicken, duck, quail and turkey) using liquid chromatography coupled to tandem mass spectrometry. This included 13 drugs against influenza and associated metabolites, but also two drugs employed for the treatment of herpes (acyclovir and ganciclovir). The method required the development of a novel chromatographic separation using a hydrophilic interaction chromatographic (HILIC) BEH amide column, which was necessary to retain the highly polar compounds. The analytes were detected using a triple quadrupole mass spectrometer operating in positive electrospray ionization mode. A range of different sample preparation protocols suitable for polar compounds were evaluated. The most effective procedure was based on a simple acetonitrile-based protein precipitation step followed by a further dilution in a methanol/water solution. The confirmatory method was validated according to the EU 2021/808 guidelines on different species including chicken, duck, turkey and quail. The validation was performed using various calibration curves ranging from 0.1 µg kg",Journal of chromatography. A,"['D000818', 'D000998', 'D002851', 'D002853', 'D004350', 'D009132', 'D011200', 'D015203', 'D053719']","['Animals', 'Antiviral Agents', 'Chromatography, High Pressure Liquid', 'Chromatography, Liquid', 'Drug Residues', 'Muscles', 'Poultry', 'Reproducibility of Results', 'Tandem Mass Spectrometry']",Development and validation of a quantitative method for 15 antiviral drugs in poultry muscle using liquid chromatography coupled to tandem mass spectrometry.,"[None, 'Q000032', None, None, 'Q000032', 'Q000737', None, None, None]","[None, 'analysis', None, None, 'analysis', 'chemistry', None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/35030475,2022
35011349,"In this study, the botanical origin, total flavonoid and phenolic content, antioxidant activity, phenolic profile and fatty acid composition of mixed bee pollen loads collected in Bayburt, Turkey, were determined. In addition to these assays, antibacterial activity of bee-collected pollen extract (BCPE) against a variety of food-borne pathogenic bacteria was determined in vitro. Pollen loads were classified into five botanical families based on their color: Asteraceae, Fabaceae, Campanulaceae, Cistaceae and Rosaceae. Total flavonoid, total phenolic, CUPRAC and CERAC concentrations were 173.52 mg GAE/g, 79.21 mg QE/g, 85.59 mg Trolox/g and 118.13 mg Trolox/g, respectively. Twenty-three phenolic compounds were scanned in bee pollen extract by LC-MS/MS, with rutin being the most abundant. Cis-4,7,10,13,16,19 docosahexaenoic acid was the predominant fatty acid, followed by cis-11-eicosenoic acid, palmitic acid, and alfa linolenic acid. In addition, the agar well diffusion (AWD) and micro-broth dilution methods were used to determine of the antibacterial activity of the BCPE sample. MIC values were observed to vary between 2.5-5 mg/mL for Gram-positive bacteria and 5-10 mg/mL for Gram-negative bacteria. These findings indicate that bee pollen could be a potential source of antioxidants and antimicrobials.","Molecules (Basel, Switzerland)","['D000818', 'D000890', 'D000975', 'D019659', 'D001516', 'D029422', 'D002851', 'D030601', 'D004353', 'D007887', 'D005227', 'D005419', 'D008401', 'D006090', 'D006094', 'D006801', 'D010936', 'D011058', 'D059808', 'D053719']","['Animals', 'Anti-Infective Agents', 'Antioxidants', 'Asteraceae', 'Bees', 'Campanulaceae', 'Chromatography, High Pressure Liquid', 'Cistaceae', 'Drug Evaluation, Preclinical', 'Fabaceae', 'Fatty Acids', 'Flavonoids', 'Gas Chromatography-Mass Spectrometry', 'Gram-Negative Bacteria', 'Gram-Positive Bacteria', 'Humans', 'Plant Extracts', 'Pollen', 'Polyphenols', 'Tandem Mass Spectrometry']","Screening of Plant Pollen Sources, Polyphenolic Compounds, Fatty Acids and Antioxidant/Antimicrobial Activity from Bee Pollen.","[None, 'Q000737', 'Q000737', 'Q000737', None, 'Q000737', None, 'Q000737', None, 'Q000737', 'Q000737', 'Q000737', None, 'Q000187', 'Q000187', None, 'Q000737', 'Q000737', 'Q000737', None]","[None, 'chemistry', 'chemistry', 'chemistry', None, 'chemistry', None, 'chemistry', None, 'chemistry', 'chemistry', 'chemistry', None, 'drug effects', 'drug effects', None, 'chemistry', 'chemistry', 'chemistry', None]",https://www.ncbi.nlm.nih.gov/pubmed/35011349,2022
34873666,"Water and soil quality are the two most important parameters for sustainable agriculture and regional development in the basin. This study focused on the causes of soil and water contamination and the potential impact of drinking water on community health. Reasons for metal(loid)s enrichment in the water and soil in the Söke Basin were examined by considering anthropogenic and geogenic inputs. Four rock samples in the drainage network, 28 soil samples, and 29 water samples in the Söke Plain were collected. All samples were analyzed for metal(loid)s by inductively coupled plasma-mass spectrometry (ICP-MS). The carcinogenic and non-carcinogenic effects of water on human health were calculated mathematically. Potential ecological risk index (PERI), enrichment factor (EF), and ecological risk (ER) were calculated for the soil samples. In addition, principal component analysis (PCA) with Varimax rotation and Kaiser normalization was applied to the soil data set. Cr, Ni, and Cd contamination in soils was associated with anthropogenic inputs, while arsenic contamination was related to both anthropogenic and geogenic inputs. As, B, Ba, Pb, and Sb contamination was found in some drinking water. As contamination has been clearly found to be caused by natural geological processes in and around Lake Azap. It was determined that metal(loid)s enrichment occurred in drinking water due to the mixing of geothermal waters affected by seawater intrusion with surface and groundwater. Contamination inputs were geogenic, but their negative impacts appearing in surface water and drinking water occurred due to human influence.",Environmental monitoring and assessment,"['D060766', 'D004784', 'D006801', 'D018570', 'D012987', 'D012989', 'D014421']","['Drinking Water', 'Environmental Monitoring', 'Humans', 'Risk Assessment', 'Soil', 'Soil Pollutants', 'Turkey']","Source, degree and potential health risk of metal(loid)s contamination on the water and soil in the Söke Basin, Western Anatolia, Turkey.","[None, None, None, None, None, 'Q000032', None]","[None, None, None, None, None, 'analysis', None]",https://www.ncbi.nlm.nih.gov/pubmed/34873666,2021
34681617,"Polycyclic aromatic hydrocarbons (PAHs) are commonly ingested via meat and are produced from high-temperature cooking of meat. Some of these PAHs have potential roles in carcinogenesis of colorectal cancer (CRC). We aimed to investigate PAH concentrations in eight types of commonly consumed ready-to-eat meat samples and their potential effects on gene expressions related to CRC. Extraction and clean-up of meat samples were performed using QuEChERS method, and PAHs were detected using GC-MS. Nine different PAHs were found in meat samples. Interestingly, roast turkey contained the highest total PAH content, followed by salami meat. Hams of varying levels of smokedness showed a proportional increase of phenanthrene (PHEN), anthracene (ANTH), and fluorene (FLU). Triple-smoked ham samples showed significantly higher levels of these PAHs compared to single-smoked ham. These three PAHs plus benzo[a]pyrene (B[a]P), being detected in three meat samples, were chosen as treatments to investigate in vitro gene expression changes in human colon cells. After PAH treatment, total RNA was extracted and rtPCR was performed, investigating gene expression related to CRC. B[a]P decreased mRNA expression of ",International journal of molecular sciences,"['D025601', 'D001564', 'D045744', 'D015179', 'D003296', 'D008401', 'D005786', 'D006801', 'D008460', 'D008461', 'D011084', 'D016283', 'D016159']","['Adenomatous Polyposis Coli Protein', 'Benzo(a)pyrene', 'Cell Line, Tumor', 'Colorectal Neoplasms', 'Cooking', 'Gas Chromatography-Mass Spectrometry', 'Gene Expression Regulation', 'Humans', 'Meat', 'Meat Products', 'Polycyclic Aromatic Hydrocarbons', 'Proto-Oncogene Proteins p21(ras)', 'Tumor Suppressor Protein p53']",Polycyclic Aromatic Hydrocarbons Detected in Processed Meats Cause Genetic Changes in Colorectal Cancers.,"['Q000235', 'Q000032', None, 'Q000378', None, None, 'Q000187', None, 'Q000032', 'Q000032', 'Q000032', 'Q000235', 'Q000235']","['genetics', 'analysis', None, 'metabolism', None, None, 'drug effects', None, 'analysis', 'analysis', 'analysis', 'genetics', 'genetics']",https://www.ncbi.nlm.nih.gov/pubmed/34681617,2021
34509930,"This study was conducted to determine the diversity of yeasts and filamentous moulds in mould-matured cheese (MMC) consumed in Turkey. Overall, 120 samples were collected from 12 different geographical locations between March 2016 and April 2017. The morphological observation was applied in combination with matrix-assisted laser desorption/ionization time-of-flight mass spectrometry (MALDI-TOF MS) and molecular analyses to determine yeasts and filamentous moulds in the cheeses. High-performance liquid chromatography (HPLC) technique was used to evaluate the ability of mycotoxins production of fungal isolates and the presence of mycotoxins in cheese samples. A total of 241 fungi (81 filamentous moulds and 160 yeast) were recovered, and Penicillium roqueforti and Debaryomyces hansenii were the most frequently isolated species in all cheese samples. The rep-PCR results indicated a high level of genetic diversity among fungal isolates, regardless of isolation source or geographical origin. Filamentous mould strains isolated from MMC were found to synthesize at least one mycotoxin (Aflatoxin B",International journal of food microbiology,"['D002611', 'D005516', 'D005658', 'D009183', 'D010407', 'D010802', 'D014421']","['Cheese', 'Food Microbiology', 'Fungi', 'Mycotoxins', 'Penicillium', 'Phylogeny', 'Turkey']",Mycotoxigenic and phylogenetic perspective to the yeasts and filamentous moulds in mould-matured Turkish cheese.,"[None, None, 'Q000235', 'Q000032', None, None, None]","[None, None, 'genetics', 'analysis', None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34509930,2021
34379206,"The present study was conducted to investigate pesticide residues on peach and nectarine. For method verification, samples were spiked at 0.1, 1.0, and 10.0 times of maximum residue limit (MRL) for each pesticide. The Quick-Easy-Cheap-Efficient-Rugged-Safe (QuEChERS)-liquid chromatography/tandem mass spectrometry detection revealed that limit of quantifications (LOQs) of pesticides were below the MRL. The overall recovery was 113.51% with relative standard deviation (RSD) of 17.33% for peach and 113.61% with RSD of 11.44% for nectarine. These figures were within the Directorate-General for Health and Food Safety (SANTE) recovery limits (60-140%) and the values specified for the repeatability (RSD ≤ 20%). Samples were collected from 5 different stands at Çanakkale open markets for 12 weeks. None of the residues was not ≥ MRL in any samples. Maximum levels of 567.80 and 322.10 μg/kg boscalid were detected in peach and nectarine, respectively, corresponding approximately 1/10 and 1/15 of the MRL. Maximum levels for tebuconazole were about 1/12 and 1/10 of the MRL for peach (47.53 μg/kg) and nectarine (56.90 μg/kg), respectively. Chlorpyrifos residues of all samples were below LOQ. According to our findings and the World Health Organisation Guideline, chronic exposure levels of pesticides were low and there is no risk to human health in terms of 3 pesticides.",Environmental monitoring and assessment,"['D004784', 'D005506', 'D006801', 'D010573', 'D000068239', 'D018570', 'D053719', 'D014421']","['Environmental Monitoring', 'Food Contamination', 'Humans', 'Pesticide Residues', 'Prunus persica', 'Risk Assessment', 'Tandem Mass Spectrometry', 'Turkey']","Investigation of pesticide residues in peach and nectarine sampled from Çanakkale, Turkey, and consumer dietary risk assessment.","[None, 'Q000032', None, 'Q000032', None, None, None, None]","[None, 'analysis', None, 'analysis', None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34379206,2021
34223652,"'Karaerik' is a novel table grape (Vitis vinifera L.) native to Turkey and widely cultivated in areas bordering the city of Erzincan. Because of the demonstrated beneficial effects on human health of the grape phenolic composition, the aim of this work was to conduct a detailed profiling of non-anthocyanin phenolic fractions from different grape tissues of the 'Karaerik' table grape. Both qualitative and quantitative characterization of phenolic compounds were achieved using high-performance liquid chromatography-diode array detection-electrospray ionization-tandem mass spectrometry. Total phenolic content and oxygen radical absorbance capacity were also determined to evaluate the antioxidant properties of this table grape.",Journal of the science of food and agriculture,"['D000975', 'D002851', 'D005638', 'D010636', 'D010936', 'D014421', 'D027843']","['Antioxidants', 'Chromatography, High Pressure Liquid', 'Fruit', 'Phenols', 'Plant Extracts', 'Turkey', 'Vitis']",Vitis vinifera Turkish novel table grape 'Karaerik'. Part II: Non-anthocyanin phenolic composition and antioxidant capacity.,"['Q000737', None, 'Q000737', 'Q000737', 'Q000737', None, 'Q000737']","['chemistry', None, 'chemistry', 'chemistry', 'chemistry', None, 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/34223652,2021
34013487,"The aim of the current work is to examine the concentrations of nine heavy metals such as chromium, nickel, copper, cadmium, zinc, cobalt, iron, lead, and metal (aluminium) in two body parts (carapace and walking legs) of Liocarcinus depurator from different stations (İlyas bey, Cide koyu, Anadolu feneri, igneada) in the western Black Sea coast of Turkey. And this study was carried out to examine morphological properties of Liocarcinus depurator in the region. The sex ratio (female/male) of 387 samples was calculated as F/M = 1:0.945. The mean carapace length and width were measured as 20.41 ± 2.41 mm and 25.10 ± 2.78 mm for female and 25.49 ± 3.33 mm and 32.32 ± 4.50 mm for male individually. The mean weight of crabs was measured as 4.09 ± 1.37 g for females and 8.33 ± 3.35 g for males. The samples were investigated trace metals by inductively coupled plasma-optical emission spectrometry (ICP-OES). Ranges over trace metals in all samples of L. depurator as follows: Cr 0.6-1.5, Mn 21-130, Cu 8-37, Zn 6-40, Cd 0.2-1.5, Pb 0.1-3.6, Co 0.1-1.1, Fe 22-160, and Ni 0.6-1 mg/kg wet wt. The walking legs and carapace/exoskeleton of female and male crabs were analyzed and contained various concentrations of Pb, Co, Ni, Cr, Cd, Fe, Cu, Zn, and Mn elements. The order of the heavy metal in all samples of L. depurator is shown as Fe > Cu > Mn > Zn > Cr > Cr > Ni > Cd > Pb > Co. In this research, metal levels of the crab samples compared between female and male and found highest mean metal concentrations in the station number 3 (Anadolu feneri) that the Al concentration in the carapace of female was 295.0 mg/kg wet wt and in the walking legs was 306.67 mg/kg wet wt, in the carapace of male was 264.4 mg/kg wet wt, and in the walking legs was 162.61 mg/kg wet wt in station number 3 (Anadolu feneri). The purpose of this work is to analyze the metal composition of this type of crab, which is abundant in the Black Sea region and is not planned to be attached to fisherman's nets, to evaluate whether it will be useful or not.",Environmental monitoring and assessment,"['D000818', 'D059038', 'D003386', 'D004784', 'D005260', 'D008297', 'D019216', 'D014421', 'D014874']","['Animals', 'Black Sea', 'Brachyura', 'Environmental Monitoring', 'Female', 'Male', 'Metals, Heavy', 'Turkey', 'Water Pollutants, Chemical']",Heavy metal concentration levels and biometric analysis of Liocarcinus depurator from different locations on the western Black Sea coast of Turkey.,"[None, None, None, None, None, None, 'Q000032', None, 'Q000032']","[None, None, None, None, None, None, 'analysis', None, 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/34013487,2021
33975270,"The present research aimed to study the total phenolics, total anthocyanins, total antioxidants, aroma profile, organic acids, and carbohydrate contents of 15 sumac genotypes selected from Kahramanmaras province of Turkey. Total phenols and anthocyanins were spectrophotometrically assessed. The DPPH method was used to determine the antioxidant capacity of the genotypes. Volatile component profiles were identified by HS-SPME/GC-MS while organic acids and carbohydrates were assessed by HPLC techniques. Total phenolic content of the genotypes varied from 36.38 (46SMC02) to 58.66 mg/g dw (46SMC10). Total anthocyanin content ranged from 10.87 (46SMC12) to 119.74 mg/L (46SMC05). The total antioxidant capacity was in the range of 73.37 (46SMC07) and 77.00% (46SMC06). A total of 26 volatile compounds were distinctly detected from the genotypes: 11 volatile compounds were classified as alcohols, 7 as terpenes, 6 as aldehydes and 2 as ketones. l-ascorbic acid, oxalic acid, citric acid and malic acid volumes were detected in the genotypes and their quantity ranged from 2.13 to 40.3, 1.3 to 2.9, 49.8 to 95.1 and 1360 to 2800 respectively. Sucrose quantity was found to vary between 1.41 (46SMC14) and 5.85% (46SMC01), glucose between the detection limit (46SMC01, 46SMC13 and 46SMC15) and 0.73% (46SMC09), xylose between 8.53 (46SMC14) and 30.17% (46SMC09) and fructose between an undetected value (46SMC09, 46SMC10 and 46SMC11) and 1.93% (46SMC13). The results presented here indicate that sumac fruit is a good source of nutritious compounds that may be used directly as a food source or food additives.",Food chemistry,"['D000872', 'D000975', 'D002241', 'D002851', 'D005638', 'D008401', 'D005838', 'D010636', 'D064209', 'D029045', 'D013729', 'D014421', 'D055549']","['Anthocyanins', 'Antioxidants', 'Carbohydrates', 'Chromatography, High Pressure Liquid', 'Fruit', 'Gas Chromatography-Mass Spectrometry', 'Genotype', 'Phenols', 'Phytochemicals', 'Rhus', 'Terpenes', 'Turkey', 'Volatile Organic Compounds']",Phytochemical characterization of some sumac (Rhus coriaria L.) genotypes from southern part of turkey.,"['Q000032', 'Q000032', 'Q000032', None, 'Q000737', None, None, 'Q000032', 'Q000032', 'Q000737', 'Q000032', None, 'Q000032']","['analysis', 'analysis', 'analysis', None, 'chemistry', None, None, 'analysis', 'analysis', 'chemistry', 'analysis', None, 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/33975270,2021
33916622,"Durum wheat grains, which are mostly used for the production of pasta and several baked goods, represent a main source of vegetable proteins and calories. Concurrently, many contaminants, including toxic trace elements, may accumulate in them, posing a potential severe hazard to human health. In this context, for official control and food safety purposes, 346 samples of whole durum wheat imported into the Italian market from six countries (Australia, Canada, Kazakhstan, Russia, Turkey, and the United States) during the period 2015-2020 were analysed for cadmium (Cd), lead (Pb), and mercury (Hg) content using inductively coupled plasma mass spectrometry (ICP-MS). All the analysed samples were compliant with Food Agriculture Organization-World Health Organization and European Union regulations. The mean values were 0.0322 and 0.0162 mg kg","Foods (Basel, Switzerland)",[],[],Evaluation and Dietary Exposure Assessment of Selected Toxic Trace Elements in Durum Wheat (,[],[],https://www.ncbi.nlm.nih.gov/pubmed/33916622,2021
