PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
35267361,"Consumption of tree nuts and peanuts has considerably increased over the last decades due to their nutritional composition and the content of beneficial compounds. On the other hand, such widespread consumption worldwide has also generated a growing incidence of allergy in the sensitive population. Allergy to nuts and peanuts represents a global relevant problem, especially due to the risk of the ingestion of hidden allergens as a result of cross-contamination between production lines at industrial level occurring during food manufacturing. The present review provides insights on peanuts, almonds, and four nut allergens-namely hazelnuts, walnuts, cashew, and pistachios-that are likely to cross-contaminate different food commodities. The paper aims at covering both the biochemical aspect linked to the identified allergenic proteins for each allergen category and the different methodological approaches developed for allergens detection and identification. Attention has been also paid to mass spectrometry methods and to current efforts of the scientific community to identify a harmonized approach for allergens quantification through the detection of allergen markers.","Foods (Basel, Switzerland)",[],[],Tree Nuts and Peanuts as a Source of Beneficial Compounds and a Threat for Allergic Consumers: Overview on Methods for Their Detection in Complex Food Products.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35267361,2022
35231713,"Extensive cross-allergic reactivity exists among food-borne plants. As most allergens are glycoproteins, protein sensitization has been extensively studied. However, little attention has been given to the glycan component of glycoproteins. Here, we qualitatively and quantitatively compared the N-glycans of eight cross-reactive plant glycoproteins derived from peach pollen, soy, pine nut, cashew nut, pistachio, walnut, almond, and hazelnut. Cross-reactive carbohydrate determinants (CCDs) were widely present in the allergic glycoproteins according to the following order: pollen > soybean > pistachios > pine nuts > walnuts > cashews > hazelnuts > almonds. The N-glycan structure presented clear differences between the germplasm and vegetative tissue. Importantly, fucosylation and xylosylation levels correlated positively with extensive cross-reactivity between plants, which suggests that CCDs may be one of the causes of cross-allergy. This result provides the foundation for mechanistic studies on plant-derived CCDs as a source of food cross-allergies.",Food chemistry,"['D000485', 'D031021', 'D031211', 'D003429', 'D006023', 'D031324', 'D013058', 'D021184', 'D009754', 'D027927', 'D011134', 'D000068181']","['Allergens', 'Anacardium', 'Corylus', 'Cross Reactions', 'Glycoproteins', 'Juglans', 'Mass Spectrometry', 'Nut Hypersensitivity', 'Nuts', 'Pistacia', 'Polysaccharides', 'Prunus dulcis']",Comparative mass spectrometry analysis of N-glycans from the glycoproteins of eight allergy-inducing plants.,"[None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/35231713,2022
35205208,"The aim of the present study was to investigate how individual phenolic compounds and phenolic groups in walnut husk gratings (e.g., naphthoquinones, flavanols, flavonols, hydroxycinnamic acids) are oxidized over time, with a particular focus on the juglone synthase pathway. Walnut husk gratings were prepared and left under 'degradation' conditions (exposure to the air, room temperature) at increasing times. Following methanol extraction of these husk gratings, the HPLC profile of methanolic extract of husk gratings exhibited twenty-six compounds over time, then hydrojuglone glucoside, α-hydrojuglone, and juglone were detailed by HPLC-mass spectrometry. Initially (0-20 min), the content of hydrojuglone glucoside in the husk gratings decreased by 40.4%, while the content of α-hydrojuglone increased by 20.0%, and then decreased. After an initial delay (0-20 min), juglone increased by 47.9% from 20 to 40 min, and then decreased. This initially confirmed that hydrojuglone glucoside and α-hydrojuglone could be considered as precursors of juglone. Different phenolic groups showed different degradation processes, although they all reached their highest content after 40 min. This might arise from degradation of the phenols, increased free phenols, or activation of the plant defense mechanism due to damage to the tissue, similar to the effects of stress or a pathogen attack. Although it has been reported that the phenolic compounds decrease when food is processed or damaged, they showed increases, which were not indefinite, but time dependent. As phenolic compounds are considered highly beneficial to human health, increases upon processing indicate the need for further investigations into healthier food preparation processes. This is the first study on the degradation pathways of juglone, using a mass spectrometer, in which we suggest that hydrojuglone glucoside and α-hydrojuglone are indeed the precursors of juglone. However, it is possible that there are other degradation pathways of hydrojuglone glucoside, since less juglone is synthesized than expected.",Biology,[],[],Time-Dependent Degradation of Naphthoquinones and Phenolic Compounds in Walnut Husks.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35205208,2022
35011025,"In recent years, angiotensin-converting enzyme (ACE) inhibitory peptide has become a research hotspot because of its essential role in maintaining human blood pressure balance. In this study, two novel ACE inhibitory peptides of Val-Glu-Arg-Gly-Arg-Arg-lle-Thr-Ser-Val (Valine-Glutamate-Arginine-Glycine-Arginine-Arginine-Isoleucine-Threonine-Serine-Valine, VERGRRITSV) and Phe-Val-Ile-Glu-Pro-Asn-Ile-Thr-Pro-Ala (Phenylalanine-Valine-Isoleucine-Glutamate-Proline-Asparagine-Isoleucine-Threonine-Proline-Alanine, FVIEPNITPA) were isolated and purified from defatted walnut meal hydrolysates through a series of preparation processes including ultrafiltration, Sephadex G-15 gel chromatography, and reverse high performance liquid chromatography (RP-HPLC). Both peptides showed high ACE inhibitory activities. The molecular docking study revealed that VERGRRITSV and FVIEPNITPA were primarily attributed to the formation of strong hydrogen bonds with the active pockets of ACE. The binding free energies of VERGRRITSV and FVIEPNITPA with ACE were -14.99 and -14.69 kcal/mol, respectively. Moreover, these ACE inhibitory peptides showed good stability against gastrointestinal enzymes digestion and common food processing conditions (e.g., temperature and pH, sugar, and salt treatments). Furthermore, animal experiment results indicated that the administration of VERGRRITSV or FVIEPNITPA exhibited antihypertensive effects in spontaneously hypertensive rats. Our results demonstrated that walnut could be a potential source of bioactive peptides with ACE inhibitory activity.",Nutrients,"['D000806', 'D000818', 'D000959', 'D004355', 'D005983', 'D006973', 'D031324', 'D062105', 'D010455', 'D064209', 'D008517', 'D011492', 'D051381', 'D011918']","['Angiotensin-Converting Enzyme Inhibitors', 'Animals', 'Antihypertensive Agents', 'Drug Stability', 'Glutens', 'Hypertension', 'Juglans', 'Molecular Docking Simulation', 'Peptides', 'Phytochemicals', 'Phytotherapy', 'Protein Hydrolysates', 'Rats', 'Rats, Inbred SHR']","Novel Angiotensin-Converting Enzyme Inhibitory Peptides Identified from Walnut Glutelin-1 Hydrolysates: Molecular Interaction, Stability, and Antihypertensive Effects.","[None, None, None, None, 'Q000737', 'Q000188', 'Q000737', None, 'Q000737', 'Q000737', None, 'Q000737', None, None]","[None, None, None, None, 'chemistry', 'drug therapy', 'chemistry', None, 'chemistry', 'chemistry', None, 'chemistry', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/35011025,2022
34866108,"Oils and lipids are common food components and efficient sources of energy. Both the quantity and the quality of oils and lipids are important with regard to health and disease. Fatty acid ester of hydroxy fatty acid (FAHFA) is a novel lipid class that was discovered as an endogenous lipid; FAHFAs have shown anti-diabetic effects in a mammalian system. We analyzed the overall FAHFA composition in nut oils and other common oils: almond (raw, roasted), walnut, peanut, olive, palm, soybean, and rapeseed oils. We developed a method of liquid chromatography coupled with electrospray ionization triple quadrupole mass spectrometry (LC-ESI/MS/MS) for a comprehensive target analysis of FAHFAs. The analysis revealed wide variation in the FAHFA profiles (15 compounds and 62 peaks). For 7-11 compounds of FAHFA, a total level of 8-29 pmol/mg oil was detected in nuts oils; for 11 compounds, 4.9 pmol/mg oil was detected in olive oil, and for 4-9 compounds, < 2 pmol/mg oil was detected in palm, soy, and rapeseed oils. The major FAHFAs were FAHFA 36:3, FAHFA 36:2, and FAHFA 36:4 in nut oil, FAHFA 36:2, FAHFA 34:1, and FAHFA 36:1 in olive oil, and FAHFA 32:1, FAHFA 34:0, FAHFA 36:0, and FAHFA 36:1 in all of the common oils. The composition of FAHFAs in nut oils is mainly unsaturated fatty acids, whereas those in olive oil are unsaturated fatty acids and saturated fatty acids. The composition of FAHFAs in common oils was mainly saturated fats. This is the first report to demonstrate the quality and quantity of the FAHFAs in the nut oils. Nuts have been described to be a great source of many nutrients and to be beneficial for our health. Our present findings comprise additional evidence that the intake of nuts in daily diets may prevent metabolic and inflammatory-based diseases.",Journal of oleo science,"['D002853', 'D004435', 'D004952', 'D005231', 'D005504', 'D063427', 'D006900', 'D007004', 'D007249', 'D008659', 'D009754', 'D010938', 'D021241', 'D053719']","['Chromatography, Liquid', 'Eating', 'Esters', 'Fatty Acids, Unsaturated', 'Food Analysis', 'Food Quality', 'Hydroxylation', 'Hypoglycemic Agents', 'Inflammation', 'Metabolic Diseases', 'Nuts', 'Plant Oils', 'Spectrometry, Mass, Electrospray Ionization', 'Tandem Mass Spectrometry']",Analysis of Fatty Acid Esters of Hydroxyl Fatty Acid in Nut Oils and Other Plant Oils.,"['Q000379', None, 'Q000032', 'Q000032', None, None, None, None, 'Q000517', 'Q000517', 'Q000737', 'Q000737', 'Q000379', 'Q000379']","['methods', None, 'analysis', 'analysis', None, None, None, None, 'prevention & control', 'prevention & control', 'chemistry', 'chemistry', 'methods', 'methods']",https://www.ncbi.nlm.nih.gov/pubmed/34866108,2022
34848359,"Walnut kernel, a well-known TCM, is often used after being defatted in tradition. And defatted walnut powder extract (DWPE) has the actions of tonifying the liver and kidney, dissipating stagnation and removing blood stasis, which has the effect on non-alcoholic fatty liver disease (NAFLD). However, the effective components of DWPE in vivo were unclear and the multiple mechanisms of DWPE against NAFLD have not been explored.",Journal of ethnopharmacology,"['D000818', 'D002853', 'D031324', 'D013058', 'D051379', 'D015394', 'D000091484', 'D065626', 'D009754', 'D064209', 'D008517', 'D010936', 'D011208', 'D051381', 'D017207']","['Animals', 'Chromatography, Liquid', 'Juglans', 'Mass Spectrometry', 'Mice', 'Molecular Structure', 'Network Pharmacology', 'Non-alcoholic Fatty Liver Disease', 'Nuts', 'Phytochemicals', 'Phytotherapy', 'Plant Extracts', 'Powders', 'Rats', 'Rats, Sprague-Dawley']",Systematic characterization of the metabolites of defatted walnut powder extract in vivo and screening of the mechanisms against NAFLD by UPLC-Q-Exactive Orbitrap MS combined with network pharmacology.,"[None, 'Q000379', 'Q000737', 'Q000379', None, None, 'Q000379', 'Q000188', 'Q000737', None, None, 'Q000737', 'Q000737', None, None]","[None, 'methods', 'chemistry', 'methods', None, None, 'methods', 'drug therapy', 'chemistry', None, None, 'chemistry', 'chemistry', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34848359,2022
34808757,"Nuts have long been known for their health benefits which are mainly contributed by their lipid components. However, the spatial distribution of lipids in nuts has not been firmly established. In this study, desorption electrospray ionization combined with ion mobility and quadrupole time-of-flight mass spectrometry in positive and negative ion modes was applied to visualize spatially the lipids in eight edible nuts, namely almonds, hazelnuts, cashews, walnuts, peanuts, peach seeds, bitter almonds, and Chinese dwarf cherry seeds. The glycerophospholipids were first imaged in nuts in the negative ion mode, while the glycerolipids and phosphatidylcholines were mainly detected in the positive ion mode. In total 87 characterized components, including 47 glycerophospholipids, 24 glycerolipids, eight alkyl phenolic acids, three fatty acid acyl metabolites, four oligosaccharides, and amygdalin, were visualized in the eight nuts, and the collision cross-sectional values of these components were obtained. The outer shell of the nut cotyledon concentrated more abundant components than the center, while for the hydrolyzed glycerophospholipids, the reverse was observed. The results provide a more comprehensive and in-depth understanding of the location of the diverse metabolite profiles in nuts and of their relationship to their respective health benefits.",Food chemistry,"['D003430', 'D031324', 'D000081362', 'D009754', 'D021241']","['Cross-Sectional Studies', 'Juglans', 'Lipidomics', 'Nuts', 'Spectrometry, Mass, Electrospray Ionization']",Spatial lipidomics of eight edible nuts by desorption electrospray ionization with ion mobility mass spectrometry imaging.,"[None, None, None, None, None]","[None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34808757,2021
34763422,"A high-throughput lipid profiling platform adopting an accurate quantification strategy was built based on Q-Orbitrap mass spectrometry. Lipid components of fresh walnut during postharvest storage were determined, and the fatty acid distributions in triacylglycerol and polar lipids were also characterized. A total of 554 individual lipids in fresh walnut were mainly glycerolipids (56.7%), glycerophospholipids (32.4%), and sphingolipids (11%). With the progress of postharvest storage, 16 lipid subclasses in the stored walnut sample were significantly degraded, in which 34 lipids changed significantly between the fresh and stored groups. The sphingolipid metabolism, glycerolipid metabolism, and linoleic acid metabolism pathways were significantly enriched. The oxidation and degradation mechanism of linoleic acid in walnut kernel during postharvest storage was proposed. The established lipidomics platform can supply reliable and traceable lipid profiling data, help to improve the understanding of lipid degradation in fresh walnut, and offer a framework for analyzing lipid metabolisms in other tree nuts.",Journal of agricultural and food chemistry,"['D005227', 'D031324', 'D000081362', 'D008055', 'D009754']","['Fatty Acids', 'Juglans', 'Lipidomics', 'Lipids', 'Nuts']",Time-Series Lipidomics Insights into the Progressive Characteristics of Lipid Constituents of Fresh Walnut during Postharvest Storage.,"[None, None, None, None, None]","[None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34763422,2021
34684607,"Nuts are characterized by high nutritional value and are recommended as a part of a healthy diet. At the same time, toxic elements could also be found in them. In this research, we measured the content of As, Cd, Pb and Hg in a wide variety of edible nuts. To determine the As content, inductively coupled plasma mass spectrometry (ICP-MS) was applied. Cd and Pb were detected by the electrothermal atomic absorption spectrometry analytical technique (ETAAS) with Zeeman background correction, while atomic absorption spectrometry method (AAS) with the amalgamation technique in the case of Hg was used. The study material consisted of 120 samples without replications (10 for each subgroup) including the following nuts: Almonds, Brazil nuts, cashew nuts, hazelnuts, macadamia nuts, peanuts, pecan nuts, pine nuts, pistachios and walnuts. Indicators such as the target hazard quotient (THQ), cancer risk (CR) and hazard index (HI) were used to assess the health risk. The highest median As, Cd, Pb and Hg contents were observed for pistachios (192.42 µg/kg), pine nuts (238.40 µg/kg), peanuts (82.06 µg/kg) and pecans (82.06 µg/kg), respectively. The exceedance of the established limits was found in the case of Pb for nine samples: macadamia nuts (221.49 µg/kg; 2350.94 µg/kg; 2581.43 µg/kg), pine nuts (266.33 µg/kg), peanuts (1353.80 µg/kg) and pecans (2689.13 µg/kg, 2758.26 µg/kg, 2992.29 µg/kg and 3169.41 µg/kg). Extremely high (>2500 µg/kg) Pb content was found in 33% of studied pecans imported from the USA. The health risk indicators did not identify increased health risk. This research is significant considering the food safety issues and indicates the need to regularly control the content of toxic elements in food, as well as to establish the specific limits for heavy metals content in nuts. The chemometric analysis included cluster analysis and principal component analysis (PCA). Cluster analysis made it possible to distinguish four subgroups on the basis of the ability to accumulate toxic elements: pine nuts, pecans, pistachios and other analysed nuts. PCA indicated primarily factor 1, distinguishing mainly pecans, macadamia nuts and peanuts. Chemometric analysis can be a useful tool in estimating the ability of different nut species to accumulate contaminants.",Nutrients,"['D005247', 'D006801', 'D009754', 'D018570', 'D018709', 'D018675']","['Feeding Behavior', 'Humans', 'Nuts', 'Risk Assessment', 'Statistics, Nonparametric', 'Toxicity Tests']",Assessment of the Safe Consumption of Nuts in Terms of the Content of Toxic Elements with Chemometric Analysis.,"[None, None, 'Q000737', None, None, None]","[None, None, 'chemistry', None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34684607,2021
34479012,"Walnut kernels are health-promoting nuts, which are mainly attributed to polyunsaturated fatty acids, phenolics, and phytosterols. However, the information concerning benefits of walnut proteins are limited. In this study, endopeptidases, aminopeptidases, carboxypeptidases, superoxide dismutases, catalases, and phospholipases with respective relative abundance of 2.730, 1.728, 0.477, 3.148, 0.743, and 0.173‰ were identified by liquid chromatography tandem mass spectrometry. These endogenous proteases exhibited activity in a broad pH range of 2-6.5, and optimal at pH 4.5 and 50 °C. Aspartic endopeptidases were predominant endopeptidases, followed by cysteine ones. There were two types of aspartic endopeptidases, one (not inhibited by pepstatin A) exerted activity at pH 2-3 and the other (inhibited by pepstatin A) optimal at pH 4.5. Carboxypeptidases were optimal at pH 4.5, and aminopeptidases exerted activity at pH near 6.5. These endogenous proteases assisted the digestion of walnut proteins, and soaking, especially peeling, greatly improved the in vitro digestibility.",Food chemistry,"['D016282', 'D002268', 'D031324', 'D009754', 'D010447']","['Aspartic Acid Endopeptidases', 'Carboxypeptidases', 'Juglans', 'Nuts', 'Peptide Hydrolases']",Raw walnut kernel: A natural source for dietary proteases and bioactive proteins.,"[None, None, None, None, None]","[None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34479012,2021
