PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
35040126,"A combination of magnetic solid-phase extraction using an efficient and cheap magnetic sorbent obtained from sand and dispersive liquid-liquid microextraction has been developed for the extraction of nine multiclass pesticides (clodinafop-propargyl, haloxyfop-R-methyl, fenoxaprop-P-ethyl, oxadiazon, penconazole, diniconazole, chlorpyrifos, fenazaquin, and fenpropathrin) from commercial fruit juices (sour cherry, pomegranate, grape, watermelon, orange, apricot, and peach juices). The enriched pesticides were determined by gas chromatography-flame ionization detector and gas chromatography-mass spectrometry. The sorbent was natural iron oxide entrapped in silica along with some impurities. In this method, to extract the analytes from the samples, an appropriate amount of the magnetic sorbent (at mg level) is added. Then the sorbent particles are isolated from the solution using an external magnetic field and the adsorbed analytes are desorbed from the sorbent by acetone. In the following, a dispersive liquid-liquid microextraction procedure is carried out to concentrate the analytes more and to reach low limits of detection.",Journal of the science of food and agriculture,[],[],Improved magnetic solid-phase extraction based on magnetic sorbent obtained from sand for the extraction of pesticides from fruit juice.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35040126,2022
34941708,"More still needs to be learned regards the relative contamination of heavy metals and pesticide residues, particularly those found in widely consumed Nigerian food crops like cereals, vegetables, and tubers. In this current study, the heavy metals and pesticide residues detectable in widely consumed Nigerian food crops were respectively quantified using atomic absorption spectroscopy (AAS) and gas chromatography (GC). Specifically, the widely consumed Nigerian food crops included cereals (rice, millet, and maize), legume (soybean), tubers (yam and cassava), as well as leaf (fluted pumpkin, ",Toxins,"['D002849', 'D018556', 'D005506', 'D019216', 'D009549', 'D010573', 'D013054']","['Chromatography, Gas', 'Crops, Agricultural', 'Food Contamination', 'Metals, Heavy', 'Nigeria', 'Pesticide Residues', 'Spectrophotometry, Atomic']",Quantification of Heavy Metals and Pesticide Residues in Widely Consumed Nigerian Food Crops Using Atomic Absorption Spectroscopy (AAS) and Gas Chromatography (GC).,"[None, 'Q000737', 'Q000032', 'Q000032', None, 'Q000032', None]","[None, 'chemistry', 'analysis', 'analysis', None, 'analysis', None]",https://www.ncbi.nlm.nih.gov/pubmed/34941708,2022
34883355,"Facile and sensitive determination of plant growth regulators (PGRs) in food samples is important but still remains great challenge. Herein, a pipette tip solid phase extraction (PT-SPE) method was developed for fast and sensitively detecting PGRs. The PT-SPE adsorbent was prepared by integrating a novel covalent organic framework (COF) of schiff base network 3 (SNW-3) and polyacrylonitrile (PAN) through electrospinning. The SNW-3 can easily adsorb PGRs with high special affinity through electrovalent bands between the ammonium ions of SNW-3 and the carboxy groups of PGRs. The polymer of PAN acts as scaffold material for SNW-3, which can lower seepage pressure hence accelerates adsorption/desorption kinetics. By combination with HPLC-DAD, a satisfactory method was successfully developed for simultaneous determination of ten PGRs in watermelon. Good analytical performances were achieved with this proposed method, including good linearity (5-500 ng/mL) with high correlation coefficients (R ≥ 0.9981), low limits of detection (S/N = 3, 0.24-3.19 ng/mL) and limits of quantification (S/N = 10, 1.65-5.72 ng/mL), satisfactory precision (intra-day RSDs ≤ 2.7%, inter-day RSDs ≤ 3.7%), and high accuracy (recovery: 82.8-113.0%). The method developed in this study shows high potential for design of high target-affinity adsorbents for food sample preparing.",Journal of chromatography. A,"['D000180', 'D002851', 'D057230', 'D000073396', 'D057139', 'D010937', 'D052616']","['Acrylic Resins', 'Chromatography, High Pressure Liquid', 'Limit of Detection', 'Metal-Organic Frameworks', 'Nanofibers', 'Plant Growth Regulators', 'Solid Phase Extraction']",Combination of pipette tip solid phase extraction and high performance liquid chromatography for determination of plant growth regulators in food samples based on the electrospun covalent organic framework/polyacrylonitrile nanofiber as highly efficient sorbent.,"[None, None, None, None, None, None, None]","[None, None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/34883355,2022
33933966,"Fermentation increases food shelf-life but is characterized by changes that affect product's perception. Watermelon juice was fermented with Lactobacillus plantarum (WJ-LP), L. rhamnosus (WJ-LR), L. casei (WJ-LC), L. brevis (WJ-LB) and Pediococcus pentosaceus (WJ-PP). Their sensory characteristics and volatile compounds were investigated by consumers and Headspace Solid Phase Microextraction integrated with Gas Chromatography-Mass Spectrometry, respectively. WJ-PP and WJ-LB were most liked and perceived with 'watermelon-flavor', 'natural taste', 'sweet' and 'watermelon-color' while WJ-LC, WJ-LP and WJ-LR were least liked and perceived as 'sour', 'bitter', 'off-flavor', 'aftertaste' and 'intense-flavor'. Fifty-four volatiles were identified. After fermentation, alcohols, ketones, monoterpenes, acids, and furans increased while aldehydes and alkanes decreased. Lactic acid fermentation introduced 4-decanone and 2,3-butanedione in WJ-LB, WJ-LC, WJ-LP and WJ-LR, however, heptanal, 2-heptenal, 2,6-nonadienal, 2-decenal, and 2,4-decadienal in WJ-LC, heptanal, 2-hexenal, 2-heptenal, 2,6-nonadienal, 2-decenal and octanal in WJ-LR and 2,6-dimethyl-2,6-octadiene in WJ-LP disappeared. Juice sensory profiles were associated with their volatile compounds.",Food chemistry,"['D000438', 'D000447', 'D029773', 'D005285', 'D000067030', 'D008401', 'D006801', 'D019344', 'D007778', 'D009812', 'D052617', 'D013649', 'D055549']","['Alcohols', 'Aldehydes', 'Citrullus', 'Fermentation', 'Fruit and Vegetable Juices', 'Gas Chromatography-Mass Spectrometry', 'Humans', 'Lactic Acid', 'Lactobacillus', 'Odorants', 'Solid Phase Microextraction', 'Taste', 'Volatile Organic Compounds']",Effect of lactic acid fermentation of watermelon juice on its sensory acceptability and volatile compounds.,"['Q000032', 'Q000032', None, None, 'Q000382', 'Q000379', None, 'Q000378', 'Q000378', 'Q000032', None, None, 'Q000032']","['analysis', 'analysis', None, None, 'microbiology', 'methods', None, 'metabolism', 'metabolism', 'analysis', None, None, 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/33933966,2021
32603648,"Changes of volatile flavor compounds of watermelon juice by heat treatment were investigated by gas chromatography-olfactometry-mass spectrometry. Although the major volatile compounds in watermelon juice, three aldehydes, three alcohols, and one ketone, did not increase significantly by heat treatment, dimethylsulfide and methional increased in heated juice. These two sulfides were suggested to contribute to the off-flavors in heated watermelon juice.","Bioscience, biotechnology, and biochemistry","['D029773', 'D005511', 'D000067030', 'D006358', 'D013649', 'D055549']","['Citrullus', 'Food Handling', 'Fruit and Vegetable Juices', 'Hot Temperature', 'Taste', 'Volatile Organic Compounds']",Changes of volatile flavor compounds of watermelon juice by heat treatment.,"['Q000737', None, 'Q000032', None, None, 'Q000032']","['chemistry', None, 'analysis', None, None, 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/32603648,2021
32307105,"A novel application, which combines targeted and non-targeted approaches, using gas chromatography high-resolution mass spectrometry (GCHRMS) for multiresidue analysis of pesticides in fruits and vegetables is proposed; the aim is to add information to that obtained from targeted methods to be used in pesticide residues monitoring laboratories. Extract from fruit samples obtained with QuEChERS method are analysed with two different approaches: a first step in targeted mode in full scan, and a second step in non-targeted mode with HRMS deconvolution. The targeted method was validated for 191 pesticides, in banana, watermelon, pear and strawberry, with recoveries within 70-120%, precision-RSD <20%, linearity between 1-100 µg/kg (5-100 µg/kg in strawberry) and quantification limits (LOQs) of 5 µg/kg. For targeted method, 12 different pesticides in 14 samples were detected. The non-targeted approach allowed the corroboration of all the results obtained through targeted method, in addition other compounds were tentatively identified.",Journal of chromatography. A,"['D005506', 'D005638', 'D008401', 'D010573', 'D014675']","['Food Contamination', 'Fruit', 'Gas Chromatography-Mass Spectrometry', 'Pesticide Residues', 'Vegetables']",Application of full scan gas chromatography high resolution mass spectrometry data to quantify targeted-pesticide residues and to screen for additional substances of concern in fresh-food commodities.,"['Q000032', 'Q000737', None, 'Q000032', 'Q000737']","['analysis', 'chemistry', None, 'analysis', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/32307105,2020
32193449,"Seed priming uses treatments to improve seed germination and thus potentially increase growth and yield. Low-cost, environmentally friendly, effective seed treatment remain to be optimized and tested for high-value specialty crop like watermelon (Citrullus lanatus) in multi-locations. This remains a particularly acute problem for triploids, which produce desirable seedless watermelons, but show low germination rates. In the present study, turmeric oil nanoemulsions (TNE) and silver nanoparticles (AgNPs) synthesized from agro-industrial byproducts were used as nanopriming agents for diploid (Riverside) and triploid (Maxima) watermelon seeds. Internalization of nanomaterials was confirmed by neutron activation analysis, transmission electron microscopy, and gas chromatography-mass spectrometry. The seedling emergence rate at 14 days after sowing was significantly higher in AgNP-treated triploid seeds compared to other treatments. Soluble sugar (glucose and fructose) contents were enhanced during germination in the AgNP-treated seeds at 96 h. Seedlings grown in the greenhouse were transplanted at four locations in Texas: Edinburg, Pecos, Grapeland, and Snook in 2017. At Snook, higher yield 31.6% and 35.6% compared to control were observed in AgNP-treated Riverside and Maxima watermelons, respectively. To validate the first-year results, treated and untreated seeds of both cultivars were sown in Weslaco, Texas in 2018. While seed emegence and stand establishments were enhanced by seed priming, total phenolics radical-scavenging activities, and macro- and microelements in the watermelon fruits were not significantly different from the control. The results of the present study demonstracted that seed priming with AgNPs can enhance seed germination, growth, and yield while maintaining fruit quality through an eco-friendly and sustainable nanotechnological approach.",Scientific reports,"['D029773', 'D000069599', 'D030024', 'D004655', 'D063427', 'D018525', 'D053758', 'D049329', 'D036103', 'D010938', 'D036226', 'D012639', 'D012834', 'D013781']","['Citrullus', 'Crop Production', 'Curcuma', 'Emulsions', 'Food Quality', 'Germination', 'Nanoparticles', 'Nanostructures', 'Nanotechnology', 'Plant Oils', 'Seedlings', 'Seeds', 'Silver', 'Texas']","Nanoparticle-Mediated Seed Priming Improves Germination, Growth, Yield, and Quality of Watermelons (Citrullus lanatus) at multi-locations in Texas.","['Q000254', 'Q000379', 'Q000737', None, None, None, None, None, 'Q000379', 'Q000302', 'Q000254', 'Q000254', 'Q000494', None]","['growth & development', 'methods', 'chemistry', None, None, None, None, None, 'methods', 'isolation & purification', 'growth & development', 'growth & development', 'pharmacology', None]",https://www.ncbi.nlm.nih.gov/pubmed/32193449,2020
31711217,"A multiresidue method for determining 12 carbamate pesticides in purple cabbage, orange, watermelon, cucumber, cowpea and Lactuca sativa L. employing multi-plug filtration cleanup (m-PFC) and ultra-performance liquid chromatography coupled with electrospray ionization tandem mass spectrometry (UPLC-ESI-MS/MS) was developed. M-PFC was carried out by cleanup at dispersive solid phase extraction (d-SPE), one m-PFC tip-filtration, two m-PFC tip-filtration and other methods (1-3 m-PFC cleanups). Results demonstrated that filtration simplified the cleanup method compared with d-SPE and other m-PFC methods (1-3 m-PFC cleanups). The method validation results showed that the method was linear, selective and accurate. The limits of quantification (LOQs) were 0.05-5.0 μg/kg, and the recoveries were in the range of 70.1-119.9% in different matrices. Although matrix effects were observed, they were successfully compensated using matrix-matched calibration. Finally, the developed method was successfully applied to detect pesticides in real samples.",Journal of chromatographic science,"['D002219', 'D002851', 'D005374', 'D005506', 'D005638', 'D007306', 'D010573', 'D052616', 'D053719', 'D014675']","['Carbamates', 'Chromatography, High Pressure Liquid', 'Filtration', 'Food Contamination', 'Fruit', 'Insecticides', 'Pesticide Residues', 'Solid Phase Extraction', 'Tandem Mass Spectrometry', 'Vegetables']",Determination of 12 Carbamate Insecticides in Typical Vegetables and Fruits by Rapid Multi-Plug Filtration Cleanup and Ultra-Performance Liquid Chromatography/Tandem Mass Spectrometry Detection.,"['Q000737', 'Q000379', None, 'Q000032', 'Q000737', 'Q000737', 'Q000737', None, 'Q000379', 'Q000737']","['chemistry', 'methods', None, 'analysis', 'chemistry', 'chemistry', 'chemistry', None, 'methods', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/31711217,2020
30760761,"Antioxidant levels are key parameters for studies of food quality, stress responses, and plant health. Herein, we have demonstrated that excised leaf disc has both radical scavenging activity and reducing power, and used this concept to develop 2,2-diphenyl-1-picrylhydrazyl (DPPH), 2,2'-azino-bis(3-ethylbenzothiazoline-6-sulfonic acid) (ABTS), and potassium permanganate reduction (PPR) leaf disc assays. Reaction time and reagent concentration for these assays were optimized using leaves from spinach, kale, collards, mustard, and watermelon. Further, these assays were validated for linearity and intra-assay precision. Ultra-high performance liquid chromatography coupled to an electrospray quadrupole time-of-flight mass spectrometer (UPLC/ESI-HR-QTOFMS) was used for phytochemical profiling and studying relative abundances of certain phenolic compounds in various leaf discs suspended and cell-free extracts. The mass spectral analysis showed that leaf disc suspended methanolic extracts had almost same phytochemical profiles to those of cell-free extracts. The DPPH leaf disc assay demonstrated better radical scavenging potential than the conventional cell-free extract method. By contrast, the observed antioxidant activity values in ABTS and PPR leaf disc assays were lower than those of conventional cell-free extract-based methods. In conclusion, the developed leaf disc assays are simple and rapid for the qualitative and comparative assessment of the antioxidant potential of leaf samples, as well as can be a good alternative to conventional cell-free extract based methods.",Scientific reports,"['D000975', 'D001937', 'D002851', 'D046228', 'D010636', 'D018515', 'D021241', 'D018724']","['Antioxidants', 'Brassica', 'Chromatography, High Pressure Liquid', 'Microarray Analysis', 'Phenols', 'Plant Leaves', 'Spectrometry, Mass, Electrospray Ionization', 'Spinacia oleracea']",Leaf Disc Assays for Rapid Measurement of Antioxidant Activity.,"['Q000032', 'Q000737', None, 'Q000379', 'Q000032', 'Q000737', None, 'Q000737']","['analysis', 'chemistry', None, 'methods', 'analysis', 'chemistry', None, 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/30760761,2020
30756297,"Because of accruing oxidative stress with advancing age, older adults may benefit from increased dietary intake of lycopene, a lipophilic carotenoid with potent antioxidant properties. Yet, intake of dietary lycopene as well as circulating lycopene levels are known to decrease with aging. Watermelon is one of the few food sources of dietary lycopene. Because heat treatment increases lycopene bioavailability, ingestion of watermelon in pasteurized juice form may be an optimal delivery vehicle to increase lycopene levels in older adults. However, due to its lipophilic nature, there are concerns that co-ingestion of dietary fat may be necessary for efficient intestinal absorption of lycopene. Thus, this feasibility study aimed to examine the effects of a one-time dose of 100% pasteurized watermelon juice on circulating lycopene concentrations of postmenopausal women after a 10-h overnight fast. Blood was sampled from eight women before and 2 h after ingestion of 360 ml of juice, and serum lycopene was measured by ultra-high performance liquid chromatography. Circulating lycopene levels increased by three-fold (p < 0.001) with increases observed for every participant. Results demonstrate that 100% watermelon juice is a palatable, effective means of increasing serum lycopene in older adult women, a group at risk for low carotenoid intake. Trial registration: Clinicaltrials.gov identifier: NCT03608254 .","Plant foods for human nutrition (Dordrecht, Netherlands)","['D000368', 'D000975', 'D001682', 'D002851', 'D029773', 'D004435', 'D005240', 'D005260', 'D000067030', 'D055951', 'D006801', 'D007408', 'D000077276', 'D008875', 'D018384', 'D017698']","['Aged', 'Antioxidants', 'Biological Availability', 'Chromatography, High Pressure Liquid', 'Citrullus', 'Eating', 'Feasibility Studies', 'Female', 'Fruit and Vegetable Juices', 'Functional Food', 'Humans', 'Intestinal Absorption', 'Lycopene', 'Middle Aged', 'Oxidative Stress', 'Postmenopause']",Watermelon Juice: a Novel Functional Food to Increase Circulating Lycopene in Older Adult Women.,"[None, 'Q000032', None, None, 'Q000737', 'Q000187', None, None, None, None, None, 'Q000187', 'Q000097', None, 'Q000187', None]","[None, 'analysis', None, None, 'chemistry', 'drug effects', None, None, None, None, None, 'drug effects', 'blood', None, 'drug effects', None]",https://www.ncbi.nlm.nih.gov/pubmed/30756297,2019
