PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year
35531409,"Consumption of soybean-based foods is affected by the flavor of the legume; due to the presence of undesirable compounds called ""beany flavors"". To solve this problem, the influence of solid state fermentation by lactobacilli on the production of volatile compounds in soybean paste was determined. The volatile's production was measured by gas chromatography. Forty compounds were identified in the different soybean pastes studied. The results showed that fermentation stimulates the production of desirable volatile compounds in foods such as ketones (22-75%) and decreased unpleasant compounds (10-84%).The consumers acceptance study showed that a group of participants (30% approximately) preferred the fermented samples associated with sweet and acid aroma like yogurt. In conclusion, the fermentation positively influences the generation of desirable volatile compounds and completely reduces hexanal in one sample. Therefore, fermentation with the studied strains is a valid strategy to modify the aroma profile of a soybean-based food matrix.",Journal of food science and technology,[],[],Aroma compounds and consumer acceptability of soybean paste fermented by lactobacilli.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35531409,2022
35499160,"Matrix effects are a great challenge for the quantitative analysis of complex food samples by liquid chromatography-tandem mass spectrometry analysis (LC-MS/MS). Stable isotope labeling (SIL) has been widely used as an effective strategy to eliminate matrix effects. Herein, a copper(I)-catalyzed azide-alkyne cycloaddition (CuAAC) click-reaction-based SIL method was proposed for a highly sensitive and selective determination of six synthetic steroid hormones in three different food samples (milk, yogurt, and eggs) by high-performance liquid chromatography (HPLC)-MS/MS. A pair of novel SIL agents, ",Journal of agricultural and food chemistry,"['D000814', 'D002851', 'D002853', 'D006728', 'D007553', 'D007554', 'D013256', 'D053719']","['Aniline Compounds', 'Chromatography, High Pressure Liquid', 'Chromatography, Liquid', 'Hormones', 'Isotope Labeling', 'Isotopes', 'Steroids', 'Tandem Mass Spectrometry']",Click Isotope Mass Probe for Highly Selective Determination of Trace Steroid Hormones in Food Samples.,"[None, 'Q000379', None, None, None, None, None, 'Q000379']","[None, 'methods', None, None, None, None, None, 'methods']",https://www.ncbi.nlm.nih.gov/pubmed/35499160,2022
35276777,"In the present work the feasibility of Tannat grape skin (TGS) as a functional ingredient in the formulation of two snacks (yogurt and biscuits) was studied. The research provided novel information on the effects of the food matrix and digestion process, under simulated human oral gastrointestinal conditions, in the bioaccessibility of TGS bioactive compounds composing of the snacks with health promoting properties (antioxidant, anti-inflammatory, and antidiabetic). TGS polyphenolic profile was analyzed by ultra-high performance liquid chromatography tandem mass spectrometry (UHPLC-MS/MS) finding mainly flavonoids, phenolic acids, and anthocyanins, which may exert antioxidant, anti-inflammatory, and carbohydrase inhibition capacities. TGS digest showed antioxidant and antidiabetic potential compared to the undigested sample (",Nutrients,"['D000872', 'D003920', 'D006801', 'D062410', 'D053719', 'D027843']","['Anthocyanins', 'Diabetes Mellitus', 'Humans', 'Snacks', 'Tandem Mass Spectrometry', 'Vitis']",Tannat Grape Skin: A Feasible Ingredient for the Formulation of Snacks with Potential for Reducing the Risk of Diabetes.,"[None, None, None, None, None, 'Q000737']","[None, None, None, None, None, 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/35276777,2022
35072106,"Post-translational modification structure of food's proteins might be changed during processing, thereby affecting the nutritional characteristics of the food product. In this study, differences in protein N-glycosylation patterns between milk and yogurt were quantitatively compared based on glycopeptide enrichment, liquid chromatography separation, and tandem mass spectrometry analysis. A total of 181 N-glycosites were identified, among which 142 were quantified in milk and yogurt. Significant alterations in the abundance of 13 of these N-glycosites were evident after the fermentation of milk into yogurt. Overall, the N-glycosylation status of the majority of milk proteins remained relatively unchanged in yogurt, suggesting that their conformations, activities, and functions were maintained despite the fermentation process. Among the main milk proteins, N",Current research in food science,[],[],Quantitative N-glycoproteome analysis of bovine milk and yogurt.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/35072106,2022
34968909,"Previous studies found variations in the health-promoting effects of consuming different dairy products. This study aims at investigating the chemical composition of microbial fermented yogurt, chemically acidified yogurt and whole milk to understand the differences in the effects these products exert on human health. For this purpose, peptides and small compounds present in the products were examined using a combination of liquid chromatography mass spectrometry and nuclear magnetic resonance spectroscopic techniques. Results revealed that each product had its own characteristic peptide, free amino acid and small compound profile, and database search for bioactivity disclosed that fermented yogurt manufactured using a starter culture is associated with a higher bioactivity potential than chemically acidified yogurt or whole milk. Additional cold storage (14 days) further enhances the bioactivity potential of fermented yogurt while heat-inactivation, ensuring long shelf-life, modulates the proteins available for proteolysis and thereby the peptide profile generated.",Food chemistry,[],[],"Chemically acidified, live and heat-inactivated fermented dairy yoghurt show distinct bioactive peptides, free amino acids and small compounds profiles.",[],[],https://www.ncbi.nlm.nih.gov/pubmed/34968909,2022
34964911,"In recent years, the use of bacteriocin-producing Lactobacillus species has received much attention in different areas, including using as probiotics, food preservation, and as broad antimicrobial spectrum activity. In this study, a bacteriocin-producing Lactobacillus strain was isolated from traditional yogurt. The isolate was identified by morphological, biochemical, 16S rRNA analyses, and designated as Latilactobacillus curvatus LAB-3H. The primary antimicrobial activity of the isolate was evaluated on Micrococcus luteus PTCC 1408 by the agar gel diffusion method. The growth of L. curvatus LAB-3H in MRS broth at 37 °C and its antimicrobial activity against Lactobacillus casei ATCC 39,392 was evaluated. In batch culture analysis, bacteriocin production starts at the early exponential growth phase and continues to the middle of the stationary phase about (660 AU/ml) at 28 h and pH 3.8. Bacteriocin produced by L. curvatus LAB-3H showed antibacterial activity against some selected foodborne pathogens, including Listeria monocytogenes PTCC1294, Bacillus cereus PTCC1857, Staphylococcus aureus PTCC1917, and Escherichia coli PTCC1276. For purification of bacteriocin, ammonium sulfate precipitation and cation exchange chromatography methods were used. The maximum antimicrobial activity observed was about 3985.15 AU/mg of protein, which was a 249.22-fold increase, and 5.21% yield compared with that in the cell-free supernatant. The molecular weight of bacteriocin was approximately 55 kDa by SDS-PAGE. The obtained results in this study demonstrate that bacteriocin from L. curvatus LAB-3H is a potential candidate for controlling microbial contaminations and can be used in different sectors, such as food industries.",Archives of microbiology,"['D000900', 'D001430', 'D007778', 'D012336', 'D015014']","['Anti-Bacterial Agents', 'Bacteriocins', 'Lactobacillus', 'RNA, Ribosomal, 16S', 'Yogurt']",Antimicrobial activity of bacteriocin produced by a new Latilactobacillus curvatus sp.LAB-3H isolated from traditional yogurt.,"['Q000494', 'Q000494', None, 'Q000235', None]","['pharmacology', 'pharmacology', None, 'genetics', None]",https://www.ncbi.nlm.nih.gov/pubmed/34964911,2021
34760249,"Flaxseed oil as a natural ingredient has many health benefits due to the rich contents of omega-3 fatty acids. However, its use in food formulations is limited because of low aqueous solubility, easy oxidation owing to the unsaturated nature of the fatty acids such as omega-3. The aim of this study was to prepare a stable nanoemulsion containing flaxseed oil and investigate the fortification of yogurt with this nanoemulsion compared with fortification with bulk flaxseed oil. The nanoemulsion of flaxseed oil-in-water was obtained by low-energy emulsification method. Optimized nanoemulsion contains 3% (w/w) flaxseed vegetable oil, 36% (w/w) surfactant, 10% (w/w) co-surfactant, and 51% (w/w) deionized water as a continuous phase. The result of transmission electron microscopy (TEM) showed that the optimal size was about 60 nm, which was stayed stable for 11 months. The results of gas chromatography (GC) indicated that the amount of omega-3 in nanoemulsion containing flaxseed oil was 27.3% and 19.8% after 7 days and 11 months, respectively. The turbidity results indicated the transparency of nanoemulsion after 11 months as well. The results of centrifuge experiments and thermal stress cycles exhibited that the optimized nanoemulsion was physically stable without any sign of creaming, phase separation, and cracking. In addition, pH and acidity of the yogurt fortified with nanoemulsion containing flaxseed oil were 4.22 and 1.41 wt%, respectively. In conclusion, fortifying yogurt with the nanoemulsion containing flaxseed oil can be considered as a solution to increase solubility, bioavailability, and protection of omega-3.",Food science & nutrition,[],[],Yogurt fortified with omega-3 using nanoemulsion containing flaxseed oil: Investigation of physicochemical properties.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/34760249,2021
34496055,"Polycaprolactone (PCL)was used via double emulsion/solvent evaporation technique for the encapsulation of polyphenols olive leaves (OLs) extracts. In this study, the PCL-microcapsules loaded with OLs polyphenols extract powder were characterized by scanning electron microscopy and fourier transform infrared spectrometry analysis. Their total phenolic (TPC), total flavonoid (TFC) contents, and antioxidant activities (DPPH, FRAP, and ABTS), and polyphenols stability were measured after oral, gastric, and intestinal steps of in vitro digestion. PCL-microcapsules were utilized in formulating novel functional yogurt containing 0, 25, 50, and 75 mg of TPC estimated as mg GAE (added as PCL-microcapsules) per 100g yogurt. All yogurt samples were evaluated for their pH, acidity, syneresis, viscosity, and color during storage. In vitro digestion significantly affected the phenolic composition in non-encapsulated extract whereas it had a lower impact on encapsulated phenolics. Higher protection was provided for encapsulated OLs extract and their higher release was observed at the intestinal phase. Unlike the undigested OLs extract, which had a TPC of 490 mg GAE/100 g, lower values of TPC (136 and 289 mg GAE/100 g) were obtained for non-encapsulated and encapsulated OLs extract, respectively, in the intestinal fluids. Yogurt with PCL-microcapsules had lower viscosity, syneresis, and color parameters, compared to control yogurt. Thus, OLs represent a valuable and cheap source of polyphenols that can be successfully applied in microencapsulated form, in formulating functional yogurt.",Journal of food science,"['D000975', 'D005503', 'D031658', 'D010936', 'D018515', 'D059808', 'D015014']","['Antioxidants', 'Food Additives', 'Olea', 'Plant Extracts', 'Plant Leaves', 'Polyphenols', 'Yogurt']",Bioaccessibility and antioxidant activity of PCL-microencapsulated olive leaves polyphenols and its application in yogurt.,"['Q000737', 'Q000032', 'Q000737', 'Q000494', 'Q000737', 'Q000494', 'Q000032']","['chemistry', 'analysis', 'chemistry', 'pharmacology', 'chemistry', 'pharmacology', 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/34496055,2021
34204298,"Studies examining associations between self-reported dairy intake and health are inconclusive, but biomarkers hold promise for elucidating such relationships by offering objective measures of dietary intake. Previous human intervention studies identified several biomarkers for dairy foods in blood and urine using non-targeted metabolomics. We evaluated the robustness of these biomarkers in a free-living cohort in the Netherlands using both single- and multi-marker approaches. Plasma and urine from 246 participants (54 ± 13 years) who completed a food frequency questionnaire were analyzed using liquid and gas chromatography-mass spectrometry. The targeted metabolite panel included 37 previously-identified candidate biomarkers of milk, cheese, and/or yoghurt consumption. Associations between biomarkers and energy-adjusted dairy food intakes were assessed by a 'single-marker' generalized linear model, and stepwise regression was used to select the best 'multi-marker' panel. Multi-marker models that also accounted for common covariates better captured the subtle differences for milk (urinary galactose, galactitol; sex, body mass index, age) and cheese (plasma pentadecanoic acid, isoleucine, glutamic acid) over single-marker models. No significant associations were observed for yogurt. Further examination of other facets of validity of these biomarkers may improve estimates of dairy food intake in conjunction with self-reported methods, and help reach a clearer consensus on their health impacts.",Metabolites,[],[],Evaluating the Robustness of Biomarkers of Dairy Food Intake in a Free-Living Population Using Single- and Multi-Marker Approaches.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/34204298,2021
34077331,"Carmines (E120) are used worldwide as natural food colouring agents of animal origin, with a widespread application, including yoghurts. Despite being considered safe for human health, carmines are known to cause allergic reactions. Our goal was to evaluate the presence of carmines in different yoghurts with a label declaration of E120, purchased in Portugal, and, for the first time, to assess the human risk. The analytical methodology, recommended by JECFA, was based on acid hydrolysis of the samples followed by spectrophotometric UV-Vis analysis at 494 nm. This methodology allowed for a limit of quantification (LOQ) of 39.0 mg/kg and recovery rates higher than 97.7%. All the samples had carmines at levels above the LOQ, ranging between 43.8 and 193.8 mg/kg, with an average of 125.2 ± 34.5 mg/kg. In total, 8 (26.7%) samples exceeded the European Union (EU) maximum permitted level (MPL) established for carmines in this foodstuff, 150 mg/kg. Solid yoghurts presented higher average levels, 137.2 mg/kg, when compared to liquid samples, 107.2 mg/kg, with a significant statistical difference (","Food additives & contaminants. Part A, Chemistry, analysis, control, exposure & risk assessment","['D001835', 'D002329', 'D004435', 'D005505', 'D006801', 'D011174', 'D018570', 'D013053', 'D015014']","['Body Weight', 'Carmine', 'Eating', 'Food Coloring Agents', 'Humans', 'Portugal', 'Risk Assessment', 'Spectrophotometry', 'Yogurt']",Carmines (E120) in coloured yoghurts: a case-study contribution for human risk assessment.,"[None, 'Q000009', None, 'Q000009', None, None, None, 'Q000379', 'Q000032']","[None, 'adverse effects', None, 'adverse effects', None, None, None, 'methods', 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/34077331,2021
